rank,company,website
1,Walmart,https://www.walmart.com/
2,Amazon,https://www.amazon.com/
3,Apple,https://www.apple.com/
4,CVS Health,https://www.cvshealth.com/
5,UnitedHealth Group,https://www.unitedhealthgroup.com/
6,Exxon Mobil,https://corporate.exxonmobil.com/
7,Berkshire Hathaway,https://www.berkshirehathaway.com/
8,Alphabet,https://abc.xyz/
9,McKesson,https://www.mckesson.com/
10,AmerisourceBergen,https://www.amerisourcebergen.com/
11,Costco Wholesale,https://www.costco.com/
12,Cigna,https://www.cigna.com/
13,AT&T,https://www.att.com/
14,Microsoft,https://www.microsoft.com/en-in
15,Cardinal Health,https://www.cardinalhealth.com/en.html
16,Chevron,https://www.chevron.com/
17,Home Depot,https://www.homedepot.com/
18,Walgreens Boots Alliance,https://www.walgreensbootsalliance.com/
19,Marathon Petroleum,https://www.marathonpetroleum.com/
20,Elevance Health,https://www.elevancehealth.com/
21,Kroger,https://www.kroger.com/
22,Ford Motor,https://www.ford.com/
23,Verizon Communications,https://www.verizon.com/
24,JPMorgan Chase,https://www.jpmorganchase.com/
25,General Motors,https://www.gm.com/
26,Centene,https://www.centene.com/
27,Meta Platforms,https://about.facebook.com/
28,Comcast,https://corporate.comcast.com/
29,Phillips 66,https://www.phillips66.com/
30,Valero Energy,https://www.valero.com/
31,Dell Technologies,https://www.dell.com/en-in
32,Target,https://www.target.com/
33,Fannie Mae,https://www.fanniemae.com/
34,UPS,https://www.ups.com/
35,Lowe's,https://www.lowes.com/
36,Bank of America,https://www.bankofamerica.com/
37,Johnson & Johnson,https://www.jnj.com/
38,Archer Daniels Midland,https://www.adm.com/
39,FedEx,https://www.fedex.com/
40,Humana,https://www.humana.com/
41,Wells Fargo,https://www.wellsfargo.com/
42,State Farm Insurance,https://www.statefarm.com/
43,Pfizer,https://www.pfizer.com/
44,Citigroup,https://www.citigroup.com/
45,PepsiCo,https://www.pepsico.com/
46,Intel,https://www.intel.com/
47,Procter & Gamble,https://www.pg.co.uk/
48,General Electric,https://www.ge.com/
49,IBM,https://www.ibm.com/
50,MetLife,https://www.metlife.com/
51,Prudential Financial,https://www.prudential.com/
52,Albertsons,https://www.albertsons.com/
53,Walt Disney,https://thewaltdisneycompany.com/
54,Energy Transfer,https://www.energytransfer.com/
55,Lockheed Martin,https://www.lockheedmartin.com/
56,Freddie Mac,https://www.freddiemac.com/
57,Goldman Sachs Group,https://www.goldmansachs.com/
58,Raytheon Technologies,https://www.rtx.com/
59,HP,https://www.hp.com/
60,Boeing,https://www.boeing.com/
61,Morgan Stanley,https://www.morganstanley.com/
62,HCAHealthcare,https://www.abbvie.com/
63,AbbVie,https://www.abbvie.com/
64,Dow,https://www.dow.com/
65,Tesla,https://www.tesla.com/
66,Allstate,https://www.allstate.com/
67,AIG,https://www.aig.com/
68,Best Buy,https://www.bestbuy.com/
69,Charter Communications,https://corporate.charter.com/
70,Sysco,https://www.sysco.com/
71,Merck,https://www.merck.com/
72,New York Life Insurance,https://www.newyorklife.com/
73,Caterpillar,https://www.caterpillar.com/
74,Cisco Systems,https://www.cisco.com/
75,TJX,https://www.tjx.com/
76,Publix Super Markets,https://www.publix.com/
77,ConocoPhillips,https://www.conocophillips.com/
78,Liberty Mutual Insurance Group,https://www.libertymutualgroup.com/
79,Progressive,https://www.progressive.com/
80,Nationwide,https://www.nationwide.com/
