,company,url
0,Walmart,https://www.crunchbase.com/organization/walmart
1,Amazon,https://www.crunchbase.com/organization/amazon
2,Apple,https://www.crunchbase.com/organization/apple
3,CVS Health,https://www.crunchbase.com/organization/cvs-caremark
4,UnitedHealth Group,https://www.crunchbase.com/organization/unitedhealth-group
5,Exxon Mobil,https://www.crunchbase.com/organization/exxonmobil
6,Berkshire Hathaway,https://www.crunchbase.com/organization/berkshire-hathaway-corp
7,Alphabet,https://www.crunchbase.com/organization/alphabet
8,McKesson,https://www.crunchbase.com/organization/mckesson
9,AmerisourceBergen,https://www.crunchbase.com/organization/amerisourcebergen-corporation
10,Costco Wholesale,https://www.crunchbase.com/organization/costco
11,Cigna,https://www.crunchbase.com/organization/cigna
12,AT&T,https://www.crunchbase.com/organization/at-t
13,Microsoft,https://www.crunchbase.com/organization/microsoft
14,Cardinal Health,https://www.crunchbase.com/organization/cardinal-health
15,Chevron,https://www.crunchbase.com/organization/chevron
16,Home Depot,https://www.crunchbase.com/organization/the-home-depot-corporate
17,Walgreens Boots Alliance,https://www.crunchbase.com/organization/walgreens-boots-alliance
18,Marathon Petroleum,https://www.crunchbase.com/organization/marathon-petroleum
19,Elevance Health,https://www.crunchbase.com/organization/elevance-health
20,Kroger,https://www.crunchbase.com/organization/kroger
21,Ford Motor,https://www.crunchbase.com/organization/ford
22,Verizon Communications,https://www.crunchbase.com/organization/verizon-communications
23,JPMorgan Chase,https://www.crunchbase.com/organization/jpmorgan-chase-co
24,General Motors,https://www.crunchbase.com/organization/general-motors
25,Centene,https://www.crunchbase.com/organization/centene-corporation
26,Meta Platforms,https://www.crunchbase.com/organization/facebook
27,Comcast,https://www.crunchbase.com/organization/comcast
28,Phillips 66,https://www.crunchbase.com/organization/phillips-66-2
29,Valero Energy,https://www.crunchbase.com/organization/valero-energy
30,Dell Technologies,https://www.crunchbase.com/organization/dell-technologies
31,Target,https://www.crunchbase.com/organization/target
32,Fannie Mae,https://www.crunchbase.com/organization/fannie-mae
33,UPS,https://www.crunchbase.com/organization/united-parcel-service
34,Lowe's,https://www.crunchbase.com/organization/lowes
35,Bank of America,https://www.crunchbase.com/organization/bank-of-america
36,Johnson & Johnson,https://www.crunchbase.com/organization/johnson-johnson
