,Unnamed: 0,company,headquarters,size,founded,type,revenue,website,industry,Description
0,0,Walmart,"Bentonville, AR",10000+ Employees,1962.0,Company - Public (WMT),$10+ billion (USD),careers.walmart.com,General Merchandise & Superstores,"What started small, with a single discount store and the simple idea of selling more for less, has grown over the last 50 years into the largest retailer in the world. Each week, approximately 220 million customers and members visit approximately 10,500 stores and clubs under 48 banners in 24 countries and eCommerce websites. With fiscal year 2021 revenue of $559 billion, Walmart employs over 2.3 million associates worldwide. Walmart continues to be a leader in sustainability, corporate philanthropy and employment opportunity. It’s all part of our unwavering commitment to creating opportunities and bringing value to customers and communities around the world.Working at WalmartOur people make the difference. That phrase started as a meeting theme in 1979 and has since been our way of thinking. We couldn’t serve our customers without the continued support of our greatest asset: our associates. We’re proud to support them by offering jobs at all levels – and investing in our workforce through training and skills development so that all jobs lead to careers.At Walmart, we remind ourselves each day that our work isn’t just about what we achieve but how we achieve it. The way we conduct our business is as important as the products we sell and the services we provide. That means complying with the laws of the communities where we do business. But that is not enough. Associates who work at Walmart are expected to operate based on our high standards and values—respect, service, excellence, and integrity.Acting consistently with these values demands that a culture of integrity guides all our decisions. Our Code of Conduct reflects who we are as a company and how we bring our culture to life in our work every day. It applies to every Walmart associate. We also expect our business partners to embrace our values and meet these high standards. Associates and partners who do not share these values do not belong at Walmart.Our commitment to integrity is reflected in our actions. From ensuring the food and products we sell are safe; to using technology and data ethically and responsibly; to investigating concerns raised by our customers, associates, and stakeholders. Our commitments are embedded into every action we take.Integrity builds trust. That’s why our associates, customers, investors, suppliers, and business partners choose Walmart—they know we are a business they can trust."
1,1,Amazon,"Seattle, WA",10000+ Employees,1994.0,Company - Public (AMZN),$10+ billion (USD),www.amazon.jobs,Internet & Web Services,"All Amazon teams and businesses, from Prime delivery to AWS, are guided by four key tenets: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.  We are driven by the excitement of building technologies, inventing products, and providing services that transform the way our customers live their lives and run their businesses."
2,2,Apple,"Cupertino, CA",10000+ Employees,1976.0,Company - Public (AAPL),$10+ billion (USD),www.apple.com,Computer Hardware Development,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways. And the same innovation that goes into our products also applies to our practices — strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people’s lives. Including your own.  Apple is an equal opportunity employer that is committed to inclusion and diversity. Visit apple.com/careers to learn more."
3,3,CVS Health,"Woonsocket, RI",10000+ Employees,1963.0,Company - Public (CVS),$10+ billion (USD),jobs.cvshealth.com,Health Care Services & Hospitals,"It's a new day in health care.At CVS Health, we bring our heart to every moment of your health. Inspired by our purpose and empowered by our bold strategy, we work to redefine the consumer experience and reimagine our community impact. Through our health services, insurance plans and community pharmacists, we’re pioneering a bold new approach to total health. As a CVS Health colleague, you’ll be at the center of it all."
4,4,UnitedHealth Group,"Minnetonka, MN",10000+ Employees,1977.0,Company - Public (UNH),$10+ billion (USD),www.unitedhealthgroup.com,Health Care Services & Hospitals,"UnitedHealth Group is a health care and well-being company with a mission to help people live healthier lives and help make the health system work better for everyone. We are 340,000 colleagues in two distinct and complementary businesses working to help build a modern, high-performing health system through improved access, affordability, outcomes and experiences. Optum delivers care aided by technology and data, empowering people, partners and providers with the guidance and tools they need to achieve better health. UnitedHealthcare offers a full range of health benefits, enabling affordable coverage, simplifying the health care experience and delivering access to high-quality care. We work with governments, employers, partners and providers to care for 146 million people and share a vision of a value-based system of care that provides compassionate and equitable care. At UnitedHealth Group, our mission calls us, our values guide us and our diverse culture connects us as we seek to improve care for the consumers we are privileged to serve and their communities.Diversity creates a healthier atmosphere: All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law. UnitedHealth Group is a drug-free workplace. Candidates are required to pass a drug test before beginning employment."
5,5,Exxon Mobil,"Irving, TX",10000+ Employees,1870.0,Company - Public (XOM),$10+ billion (USD),corporate.exxonmobil.com,Energy & Utilities,"ExxonMobil, one of the world’s largest publicly traded energy providers and chemical manufacturers, develops and applies next-generation technologies to help safely and responsibly meet the world’s growing needs for energy and high-quality chemical products.We operate facilities or market products in most of the world’s countries and explore for oil and natural gas on six continents."
6,6,Berkshire Hathaway,"Irvine, CA",10000+ Employees,,Company - Private,Unknown / Non-Applicable,www.bhhs.com,Real Estate Agencies,
7,7,Alphabet,"Jakarta, Indonesia",1 to 50 Employees,,Contract,Unknown / Non-Applicable,www.alphabetcompany.id,,
8,8,McKesson,"Irving, TX",10000+ Employees,1833.0,Company - Public (MCK),$10+ billion (USD),www.mckesson.com,Health Care Services & Hospitals,"McKesson Corporation, currently ranked 7th on the FORTUNE 500, is a global leader in healthcare supply chain management solutions, retail pharmacy, healthcare technology, community oncology and specialty care. 

We partner with life sciences companies, manufacturers, providers ... Read more"
9,9,AmerisourceBergen,"Conshohocken, PA",10000+ Employees,2001.0,Company - Public (ABC),$10+ billion (USD),www.amerisourcebergen.com,Biotech & Pharmaceuticals,"AmerisourceBergen, a leading global healthcare company, makes a positive impact on the health of people and communities around the world by advancing the development and delivery of pharmaceuticals and healthcare products. With a foundation in pharmaceutical distribution and solutions for manufacturers, pharmacies and providers, we create unparalleled access, efficiency and reliability for human and animal health. Our 41,000+ global team members power our purpose: We are united in our responsibility to create healthier futures."
