Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['3M', '3.8']",http://www.3m.com/careers,3M HIS Software Developer,"Meriden, CT",$72K - $95K (Glassdoor est.),"Job Description:
3M HIS Software Developer (Java)
Collaborate with Innovative 3Mers Around the World
Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with other curious, creative 3Mers.
This position provides an opportunity to transition from other private, public, government or military experience to a 3M career.
The Impact You’ll Make in this Role
As a Software Developer, you will have the opportunity to tap into your curiosity and collaborate with some of the most innovative and diverse people around the world. Here, you will make an impact by:
Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",24h,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846923f4f0815768acf4937288&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8c26bfff&cb=1668211281251&jobListingId=1008275066205&jrtk=3-0-1ghki7tddjc91801-1ghki7te1j4hn800-526c8c5de08aced6-
"['3M', '3.8']",http://www.3m.com/careers,3M HIS Software Developer,"Meriden, CT",$72K - $95K (Glassdoor est.),"3M has a long-standing reputation as a company committed to innovation. We provide the freedom to explore and encourage curiosity and creativity. We gain new insight from diverse thinking, and take risks on new ideas. Here, you can apply your talent in bold ways that matter.
Job Description:
3M is seeking an intermediate DevOps Cloud Engineer for the Hosted Platform Services (HPS) team. Hosted Platform Services is a DevOps team that maintains and automates multiple 3M/MModal hosted solutions including log aggregation, monitoring, deployment, clinical documentation platforms and ADFS SSO. The successful candidate will be excited about technology, and make an impact by supporting technology that powers hospitals and doctors, while improving patient care (speech recognition, natural language understanding, medical billing, transcription, etc). Front End skills are also highlighted in this role (React, Angular). This is a remote role, located in Ontario.

Main Responsibilities:



Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M_Canada or @3MNewsroom.
3M Canada welcomes and encourages applications from people with disabilities. Accommodations are available on request for candidates taking part in all aspects of the selection process.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.",22d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846923f4f0815768acf4937288&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e0cc0015&cb=1668211284950&jobListingId=1008221628912&jrtk=3-0-1ghki7tddjc91801-1ghki7te1j4hn800-90b6d87f02c15897-
"['3M', '3.8']",http://www.3m.com/careers,3M HIS Software Developer,"Meriden, CT",$72K - $95K (Glassdoor est.),"Job Description:
Collaborate with Innovative 3Mers Around the World
Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with 93,000 other curious, creative 3Mers.
“One of the best parts of my job is feeling the impact of 93,000 3Mers collaborating around the world and seeing the difference they’re able to make in people’s lives.” – Julie Bushman, executive vice president of International Operations at 3M
This position provides an opportunity to transition from other private, public, government or military environments to a 3M career.
The Impact You’ll Make in this Role
As a software developer, you will have the opportunity to tap into your curiosity and collaborate with some of the most innovative and diverse people around the world. We work with government agencies, insurance companies, and internal groups to help craft software solutions that directly impact the future of health care spending and patient care. We operate in an Agile Environment using the Scrum Framework. If you are a software developer that would like to be part of a fast-paced, forward-moving team that knows how to have fun while solving difficult problems that have a direct impact on the quality of health care globally, we want you. Here, you will make an impact by:
Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846923f4f0815768acf4937288&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a4786634&cb=1668211288952&jobListingId=1008079498379&jrtk=3-0-1ghki7tddjc91801-1ghki7te1j4hn800-94e84f016c3b3f47-
"['3M', '3.8']",http://www.3m.com/careers,3M HIS Software Developer,"Meriden, CT",$72K - $95K (Glassdoor est.),"Job Description:
3M HIS Full Stack Web Developer
Collaborate with Innovative 3Mers Around the World
Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with other curious, creative 3Mers.
This position provides an opportunity to transition from other private, public, government or military experience to a 3M career.
The Impact You’ll Make in this Role
As a Full Stack Web Developer, you will have the opportunity to tap into your curiosity and collaborate with some of the most innovative and diverse people around the world. Here, you will make an impact by:
Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",24d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846923f4f0815768acf4937288&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_da49921f&cb=1668211292833&jobListingId=1008215792875&jrtk=3-0-1ghki7tddjc91801-1ghki7te1j4hn800-bf7b8189c24de6d8-
"['3M', '3.8']",http://www.3m.com/careers,3M HIS Software Developer,"Meriden, CT",$72K - $95K (Glassdoor est.),"Job Description:
3M HIS Full Stack Software Engineer – Remote USA

Collaborate with Innovative 3Mers Around the World
Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with other curious, creative 3Mers.
This position provides an opportunity to transition from other private, public, government or military experience to a 3M career.
The Impact You’ll Make in this Role
As a Full Stack Software Engineer, you will have the opportunity to tap into your curiosity and collaborate with some of the most innovative and diverse people around the world. Here, you will make an impact by:

Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",15d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846923f4f0815768acf4937288&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4dab009e&cb=1668211294905&jobListingId=1008239195225&jrtk=3-0-1ghki7tddjc91801-1ghki7te1j4hn800-b3dfa3f7f0809834-
"['3M', '3.8']",http://www.3m.com/careers,3M HIS Software Developer,"Meriden, CT",$72K - $95K (Glassdoor est.),"Job Description:
Senior Software Developer and Architect
Collaborate with Innovative 3Mers Around the World
Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with 93,000 other curious, creative 3Mers.
“A long-lasting career at 3M comes from having vision, imagination, and the ability to see what doesn’t exist. 3Mers are groundbreaking innovators and it’s important that we give every person the space for disruptive and creative thinking.” – John Banovetz, executive vice president, chief technology officer and environmental responsibility at 3M
The Impact You’ll Make in this Role
As a Senior Software Developer and Architect, you will have the opportunity to tap into your curiosity and collaborate with some of the most innovative and diverse people around the world. Here, you will make an impact by:
Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846923f4f0815768acf4937288&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cf1462c3&cb=1668211298569&jobListingId=1008121223186&jrtk=3-0-1ghki7tddjc91801-1ghki7te1j4hn800-6795f67c4b9dffe5-
"['3M', '3.8']",http://www.3m.com/careers,3M HIS Software Developer,"Meriden, CT",$72K - $95K (Glassdoor est.),"Job Description:
3M DSC Software Development Engineer, Tools Engineering
Collaborate with Innovative 3Mers Around the World
Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with other curious, creative 3Mers.
This position provides an opportunity to transition from other private, public, government or military environments to a 3M career.
The Impact You’ll Make in this Role
As a Software Engineer, Tools Engineering, you will have the opportunity to tap into your curiosity and collaborate with some of the most innovative and diverse people around the world. Here, you will make an impact by:
Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846923f4f0815768acf4937288&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_85382988&cb=1668211301451&jobListingId=1008156568709&jrtk=3-0-1ghki7tddjc91801-1ghki7te1j4hn800-7204a019e55342eb-
"['3M', '3.8']",http://www.3m.com/careers,3M HIS Software Developer,"Meriden, CT",$72K - $95K (Glassdoor est.),"Job Description:
3M HIS Java Engineer - Remote USA
Collaborate with Innovative 3Mers Around the World
Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with 96,000 other curious, creative 3Mers.
“At 3M, thanks to our culture where people feel like they belong, can grow and are appreciated, we are more than the sum of our parts. Our different perspectives and experiences help us solve some of the world’s toughest challenges together.” – Zoe Dickson, executive vice president and chief Human Resources officer at 3M
This position provides an opportunity to transition from other private, public, government or military environments to a 3M career.

Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846923f4f0815768acf4937288&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_730921e8&cb=1668211304417&jobListingId=1008094026989&jrtk=3-0-1ghki7tddjc91801-1ghki7te1j4hn800-19d25d87c083fab9-
"['3M', '3.8']",http://www.3m.com/careers,3M HIS Software Developer,"Meriden, CT",$72K - $95K (Glassdoor est.),"Job Description:
3M HIS Software Developer
Collaborate with Innovative 3Mers Around the World
Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with other curious, creative 3Mers.
This position provides an opportunity to transition from other private, public, government or military environments to a 3M career.
The Impact You’ll Make in this Role
As a Software Developer, you will have the opportunity to tap into your curiosity and collaborate with some of the most innovative and diverse people around the world. Here, you will make an impact by:

Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846923f4f0815768acf4937288&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_17e424b3&cb=1668211307362&jobListingId=1008172103274&jrtk=3-0-1ghki7tddjc91801-1ghki7te1j4hn800-0611c582d11f0356-
"['3M', '3.8']",http://www.3m.com/careers,3M HIS Software Developer,"Meriden, CT",$72K - $95K (Glassdoor est.),"Job Description:
3M HIS Software Engineer

Collaborate with Innovative 3Mers Around the World
Choosing where to start and grow your career has a major impact on your professional and personal life, so it’s equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a diversity of people, global locations, technologies and products, 3M is a place where you can collaborate with other curious, creative 3Mers.
The Impact You’ll Make in this Role
As a 3M Software Engineer, you will have the opportunity to tap into your curiosity and collaborate with some of the most innovative and diverse people around the world. Here, you will make an impact by developing speech recognition software that physicians use to dictate patient information into electronic medical records. Specifically, the cross-platform client-server software layer which is the asynchronous interface to our neural network speech engine, involving:
Learn more about 3M’s creative solutions to the world’s problems at www.3M.com or on Twitter @3M.
Responsibilities of this position include that corporate policies, procedures and security standards are complied with while performing assigned duties.
Our approach to flexibility is called Work Your Way, which puts employees first and drives well-being in ways that enable 3M’s business and performance goals. You have flexibility in where and when work gets done. It all depends on where and when you can do your best work.
Pay & Benefits Overview: https://www.3m.com/3M/en_US/careers-us/working-at-3m/benefits/
3M is an equal opportunity employer. 3M will not discriminate against any applicant for employment on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status.",4d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846923f4f0815768acf4937288&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b4666df3&cb=1668211310516&jobListingId=1008262869172&jrtk=3-0-1ghki7tddjc91801-1ghki7te1j4hn800-28c42384e746e1e7-
