Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['AIG', '3.7']",http://www.aig.com/,CRS Software Developer,Illinois,,"Who we are
American International Group, Inc. (AIG) is a leading global insurance organization. Building on 100 years of experience, today AIG member companies provide a wide range of property casualty insurance, life insurance, retirement solutions, and other financial services to customers in more than 80 countries and jurisdictions. These diverse offerings include products and services that help businesses and individuals protect their assets, manage risks and provide for retirement security.
Get to know the business
General Insurance is a leading provider of insurance products and services for commercial and personal insurance customers. It includes one of the world’s most far-reaching property casualty networks. General Insurance offers a broad range of products to customers through a diversified, multichannel distribution network.
Crop Risk Services
Crop Risk Services is an approved insurance provider of Multi Peril Crop Insurance (MPCI) and delivers private Crop Hail products to meet risk management needs of the American farmer.

We consider qualified applicants with criminal histories, consistent with applicable law.
IT - Information Technology
Estimated Travel Percentage (%): No Travel
Relocation Provided: No
Crop Risk Services (CR1)",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846ca1886fb738fb57e8f4a4ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3323f8d3&cb=1668269837793&jobListingId=1008190441373&jrtk=3-0-1ghma324km6qp801-1ghma3257i3af800-6e5a0622b0b3aaac-
"['AIG', '3.7']",http://www.aig.com/,Project Manager,"Jeffersonville, IN",$64K - $101K (Glassdoor est.),"Project Manager (JR2207534)
Location: 650 Missouri Ave Building 33, Jeffersonville, IN
#Indiana
Who we are
American International Group, Inc. (AIG) is a leading global insurance organization. Building on 100 years of experience, today AIG member companies provide a wide range of property casualty insurance, life insurance, retirement solutions, and other financial services to customers in more than 80 countries and jurisdictions. These diverse offerings include products and services that help businesses and individuals protect their assets, manage risks and provide for retirement security.
Get to know the business
General Insurance is a leading provider of insurance products and services for commercial and personal insurance customers. It includes one of the world’s most far-reaching property casualty networks. General Insurance offers a broad range of products to customers through a diversified, multichannel distribution network.



At this time, AIG does not require that individuals be vaccinated for COVID-19 to enter an AIG office, except as required by applicable state or local regulations (such as vaccination requirements in New York).
SM - Sales & Marketing
Estimated Travel Percentage (%): No Travel
Relocation Provided: No
Service Net Warranty, LLC",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846ca1e3698a6e592f26c164b5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_972ac9c1&cb=1668269864535&jobListingId=1008134535457&jrtk=3-0-1ghma3ossi3bv801-1ghma3otigrgj800-9edbe6f0cc02e32c-
"['AIG', '3.7']",http://www.aig.com/,Claims Data Analyst Business Intelligence,"Hato Rey, PR",$58K - $82K (Glassdoor est.),"Who we are:
American International Group, Inc. (AIG) is a leading global insurance organization. Building on 100 years of experience, today AIG member companies provide a wide range of property casualty insurance, life insurance, retirement solutions, and other financial services to customers in more than 80 countries and jurisdictions. These diverse offerings include products and services that help businesses and individuals protect their assets, manage risks and provide for retirement security.
Get to know the business:
Our Claims professionals support AIG policyholders through some of the most trying times in their lives. When our clients face losses large and small, we step up to help them ease the financial burdens of catastrophic events like fires and hurricanes or recoup the value of a lost family heirloom or a prized possession. Our Claims team is an industry leader, drawing daily on its unparalleled levels of expertise to offer our clients the highest levels of stewardship while mitigating unnecessary costs. AIG manages claims using a wealth of knowledge about risks, business practices, and legal and regulatory issues.
CL - Claims
Estimated Travel Percentage (%): No Travel
Relocation Provided: No
AIG LATIN AMERICA I I",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846ca201c5a832e429a41e1092&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e9f3d0a1&cb=1668269875953&jobListingId=1007163578724&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghma40g4jcad801-1ghma40gjgriq800-07b6a9d70a7385bf--6NYlbfkN0B0YCvGyaoWCFvZvfPwJFz0QpIluLcbbVnZngKY3MdEVl0CNICx8xFpJLVe9hozoBoAGbx-qbLgwNwu7WFXd9lmHxfR4ALx34okEfuYfZrOX7sG3v4twjxzJbM7fCl1fj3DO8rSO9jW-fGydIAgjJuScb3pCalL6nlpOvYsNpn77NPcto0QXXCkDtSXoBAg8_Unm_HrcgR5A3od81e8aADjNsUS5cGAcTlsoE8XpYF1T7NEmp_dnR7H5SlYfXSclEEf0Mjlkhzlfie51uVLC9HL1ZKBsr3qcPKCBW-C89wzdwgNPQyJ7agKf2JYMKbhQ1cIjmTQbUftULaIHidoBRT0bh84f9V8UwzUwNvv7H83-SUgYqVM4IZIQUb9NjGaGXoZ5R2gifAxpNBG6W1kj_f8hQfdh44TJM4swY6TOqQb25cd04QIdC7dxc4paEOiIQ30orKeG8NIIJTXem2C4gRDMT3eiDlDSqDbpofki-NbswKosvFrjLeRQevraZgtTnix4NO-YqdtF1ayF02fTiLhqFOC0-h6xriDAccS7KcYZWttqSMORzUzb5NlmvAIbWsYtyE97olI9VB7TLK9dkxIs5XLf5vtgUE034wdHwzfgA%3D%3D
"['AIG', '3.7']",http://www.aig.com/,Claims Data Analyst Business Intelligence,"Hato Rey, PR",$58K - $82K (Glassdoor est.),"Who we are
American International Group, Inc. (AIG) is a leading global insurance organization. Building on 100 years of experience, today AIG member companies provide a wide range of property casualty insurance, life insurance, retirement solutions, and other financial services to customers in more than 80 countries and jurisdictions. These diverse offerings include products and services that help businesses and individuals protect their assets, manage risks and provide for retirement security.

Get to know the business
General Insurance is a leading provider of insurance products and services for
commercial and personal insurance customers. It includes one of the world’s most far reaching property casualty networks. General Insurance offers a broad range of products to customers through a diversified, multichannel distribution network.
About the role

CL - Claims
Estimated Travel Percentage (%): Up to 25%
Relocation Provided: No
AIG Claims, Inc.",1d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846ca201c5a832e429a41e1092&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_48a763c0&cb=1668269878839&jobListingId=1008272206706&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghma40g4jcad801-1ghma40gjgriq800-0e13a96c73506946--6NYlbfkN0B0YCvGyaoWCFvZvfPwJFz0QpIluLcbbVnZngKY3MdEVl0CNICx8xFpJLVe9hozoBqr9e8KXBAenJuPacMJe80h4R8z7JdF4X15bosj18TWvqmoWe_OMg8MpMzDIlCoUl0ev2RcWHAkzdv2heLyGS4Hn91NGVjDJJKhLcQkyYWSPiPw2zg4bNUiMcsQMYOMiSEH-2L0QJAT4NJAEBNJIhH7Tnzjndnblej5fSKOPNDnNAjXA8uM3w4Y_Xc2wK6nZ4-Kl5Y8xjZBGF5kDS7abcch75R5HG6PejxzX-oS6FX6Rkk3cwQcSsDQDqSQB0RJIHwmNMWmb3P4JOJlLuk74sAwKe8Hx2vT3q8pfxBqOMvW8X6YrKZ1qsrpmDNmPi9_06BpbtLI3c667xCZ2wPzLdi0YAFuXmv_1T6Jtn-78mP8uiRKQkZ8NMY-CScKQP5GOby0H1TLbeXpuQeyynYilPJzoYj6c4pUbdJNYHNqdznhuvh_WEzHN3NZFrzgw3cry811TtP6TxZm0t7XOv1DAr5nZYg66P5irtJn92uPwo7JhyW1t09NuijCc6gXKojWJy_7-uZV0UYbrXxuT9DIlLcz-SM64CPoEOF-3fjnQiptnXIi13ctpPjx
"['AIG', '3.7']",http://www.aig.com/,Claims Data Analyst Business Intelligence,"Hato Rey, PR",$58K - $82K (Glassdoor est.),"PMO Lead – Digital, Data, Consumer, and Claims
Who we are
American International Group, Inc. (AIG) is a leading global insurance organization. Building on 100 years of experience, today AIG member companies provide a wide range of property casualty insurance, life insurance, retirement solutions, and other financial services to customers in more than 80 countries and jurisdictions. These diverse offerings include products and services that help businesses and individuals protect their assets, manage risks and provide for retirement security.
Information Technology
At AIG, technology is at the heart of everything we do, from underwriting risks to processing claims. The Information Technology team equips our employees with the latest tools to complete their work efficiently and with the highest standards of excellence. The team is responsible for shielding the company’s systems from security risks, while designing technology strategies that enable AIG’s businesses to achieve their goals. AIG’s Information Technology functions include application development and management, enterprise architecture, and technology risk and compliance.

IT - Information Technology
Estimated Travel Percentage (%): Up to 25%
Relocation Provided: No
AIG Employee Services, Inc.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846ca201c5a832e429a41e1092&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_17fba5da&cb=1668269880786&jobListingId=1008164038855&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghma40g4jcad801-1ghma40gjgriq800-9fe9e0d78f7343a5--6NYlbfkN0B0YCvGyaoWCFvZvfPwJFz0QpIluLcbbVnZngKY3MdEVl0CNICx8xFpJLVe9hozoBpV7emUpY9cnwY9ewJ6rv_Bc4YOL-_iwZYeJVtPmsGbpSpjtR_bUspAR5nUpa4JSc9yNZODWHk6IiXT5wbUMn2KX9lzN7t9DAHqTcUnuJFRzXbjpxSJR-WnlbDoo3kRBmXsP0BXiSWR3jB6mCfAVhguEF-62VJYR73-sF9LS-xyUMRvGvMzK7ye-SIn4KmiL_zJ6228tbnM8W5v6XBbYCvSlfCg-186UbRVX_pFA66s36dAf_o3K1w7xdyQoPoZhZ3lTjkG2mjfsdvTmg5QGwH1h2Kj8XhLNco7V7E-ZRmlHMcsQiTdIu41jC1jrpDXc6CcPq9a_b56KWol3MVhAI5bfBaiwWCeE2s_F9wrrrevfj0x4XhjnxqX9AH4HcW1obqIO6iLtM8QpvBABEiYBCKAXF0cbOomSabyTIgvhm3LDO1P_q0RdiSun3HDapnWdeVRAuzazyU2YwxCua90aLzE2KWGn4mckyIDnt8EEg2IDuqAUhYL8Bzux-u55g2A7_IRMBFNlqMDdtCmg27RtaakjkUlKMg0NHi2_OiWwnCsTNNFnzmbcdiJ
"['Ascendo Resources', '4.3']",http://www.ascendo.com/,Claims Data Analyst Business Intelligence,"Hato Rey, PR",$58K - $82K (Glassdoor est.),"Title: Operational Senior Associate
Salary: $150k + $50k Bonus
Location: St. Pete (Hybrid)
Job Summary
Under very limited supervision, the Senior Associate of Alternative Investment Operational Due Diligence utilizes specialized knowledge and skills obtained through direct work experience and formal training to develop and maintain an alternative investment operational due diligence program designed to provide high-net-worth clients with a platform of non-traditional investment opportunities. The coverage universe will span the spectrum of special purpose vehicles utilized for investments in individual private placements, real estate investment trusts, hedge funds, private equity funds, real estate funds, managed futures funds, and other non-traditional investment opportunities.",30d+,
"['AIG', '3.7']",http://www.aig.com/,Claims Data Analyst Business Intelligence,"Hato Rey, PR",$58K - $82K (Glassdoor est.),"Who we are
AIG has an unsurpassed global travel insurance underwriting capability through AIG’s insurance operations in more than 100 countries. Millions of leisure and business travelers alike rely on Travel Guard®, AIG Travel’s portfolio of travel insurance solutions and global assistance services, to help them recover from unexpected circumstances that can interrupt their travel plans. Through eight wholly owned, state-of-the-art global service centers, customers have access to 24/7 emergency travel assistance, medical and security services with more than 40 languages spoken on-site. We help people travel more and worry less.
About the role
The Security Intelligence Analyst works in AIG Travel’s 24/7/365 Travel Security Operations Center and provides support for daily operations as necessary. AIG Travel's security analysts must have a well-rounded background in international relations and security with strong writing and analytical skills. Analysts must have excellent research and global monitoring capabilities, an intuitive understanding of international security ramifications as well as strong communication abilities to adequately convey such information. Clear writing and oral communication skills are a necessity, as is an in-depth understanding of geopolitical developments. Additional specializations in the security industry, global travel experience and ability to read/speak other languages are preferred.

Responsibilities:

What we’re looking for:

CS - Corporate Services
Estimated Travel Percentage (%): No Travel
Relocation Provided: No
AIG Travel Assist, Inc.",9d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846ca201c5a832e429a41e1092&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a663afc1&cb=1668269888631&jobListingId=1008253176731&jrtk=3-0-1ghma40g4jcad801-1ghma40gjgriq800-84a15f1094229d05-
"['Fortitude Re', '3.0']",https://fortitude-re.com/,Claims Data Analyst Business Intelligence,"Hato Rey, PR",$58K - $82K (Glassdoor est.),"Fortitude Re is a liability-led reinsurer of legacy insurance portfolios complemented by sophisticated investment capabilities. In 2016, AIG created a “Legacy” portfolio as a separate non-core segment representing insurance reserves associated with discontinued lines of commercial Property & Casualty and Life & Annuity insurance businesses. The following year, AIG formed a Bermuda-domiciled composite reinsurer, now Fortitude Re, to house the Legacy portfolio in a separate, distinct, well-capitalized balance sheet with a dedicated management team. In 2018, the company entered into a series of L&A and P&C reinsurance transactions with AIG and received an initial capitalization of ~$3 BN. The transactions represented ~$37 BN of reserves supported by ~$40 BN of invested assets. During this time, AIG also entered into a long-term partnership with The Carlyle Group, with Carlyle acquiring 19.9 % ownership. Then in 2019, The Carlyle Group and T&D announced acquisition of majority interest in Fortitude Re from AIG. This allowed for a new long-term shareholder base for the company while maintaining a strong capital position for supporting reinsurance obligations. Click here for more information about Fortitude Re.

Position Summary

We are currently seeking a talented Business Applications Support Analyst for our Nashville location.

Responsibilities
Requirements
It has been and will continue to be the policy of Fortitude Group Holdings, LLC, its subsidiaries and affiliates to be an Equal Opportunity Employer. We provide equal opportunity to all qualified individuals regardless of race, color, religion, age, gender, gender expression, national origin, veteran status, disability, or any other legally protected categories.

At Fortitude Re, we believe that diversity and inclusion are critical to our future and our mission- creating a foundation for a creative workplace that leads to innovation, growth, and profitability. Through a wide variety of programs and initiatives, we invest in each employee, seeking to ensure that our people are not only respected as individuals, but also truly valued for their unique perspectives.",30d+,
"['AIG', '3.7']",http://www.aig.com/,Claims Data Analyst Business Intelligence,"Hato Rey, PR",$58K - $82K (Glassdoor est.),"Get to know the business
At AIG, technology is at the heart of everything we do, from underwriting risks to processing claims. The Information Technology team equips our colleagues with the latest tools to complete their work efficiently and with the highest standards of excellence. The team is responsible for shielding the company’s systems from security risks, while designing technology strategies that enable AIG’s businesses to achieve their goals. AIG’s Information Technology functions include enterprise architecture, software and systems engineering, cybersecurity, and technology risk and controls.
About the role
At AIG, we are constantly working to ensure that all employees have the training and skills they need to have a rewarding and successful career. Designed with that commitment at its core, our two-year program provides a platform for Early Career participants to launch their careers. Through a range of approaches, including innovative learning and technical training, performance assessments, and exposure to senior leaders, our Early Career program offers unparalleled development opportunities for our diverse early career talent.


IT - Information Technology
Estimated Travel Percentage (%):
Relocation Provided:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846ca201c5a832e429a41e1092&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_edc6bf08&cb=1668269897180&jobListingId=1008111451533&jrtk=3-0-1ghma40g4jcad801-1ghma40gjgriq800-229cf55055552e93-
"['US Office of the Inspector General, USPS', '3.9']",http://www.uspsoig.gov/,Claims Data Analyst Business Intelligence,"Hato Rey, PR",$58K - $82K (Glassdoor est.),"Duties
You'll be part of a high-performing team that's embracing the latest in computing technologies to unlock opportunities that help everyday people. This is your chance to leverage your expertise in Databricks and engineering to build resilient infrastructure. If you love finding ways to make systems more efficient and find it impossible to simply maintain when you could improve, then we want you on our team!

The Research and Insights Solution Center (RISC) is the chief data and research component of the OIG, comprised of data scientists, data analysts, geographic information system professionals, and data engineers. Our analytics group offers the opportunity to drive value to the organization by designing and developing analytical solutions for auditors, investigators, and researchers.

Our analytics group is currently seeking an experienced data engineer who will provide expert-level advice in the area of data engineering to build data pipelines using tools and languages like Azure Databricks, Python, SQL, and REST/SOAP APIs.

Candidates will be evaluated on the skills that they possess that are directly related to the duties of the position and the experience, education and training that indicate the applicant's ability to acquire the particular knowledge and skills needed to perform the duties of the position. Only those candidates who meet all qualification and eligibility requirements and who submit the required information by 11:59 PM EST on 11/25/2022 will be considered.

The USPS OIG uses a Pay Banding system, which is equivalent to the Federal GS scale. Grade and salary determinations will be made based upon a candidate's education and professional experience.

This position is being advertised at the Journey Band level, equivalent to a GS-9 to GS-13. The salary range for this position is $61,947.00 - $138,868.00. The salary figures include locality pay. Career ladder to GS-13 equivalent is at management's discretion.

Duties include but not limited to:",2d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846ca201c5a832e429a41e1092&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9edbb582&cb=1668269898704&jobListingId=1008269951805&jrtk=3-0-1ghma40g4jcad801-1ghma40gjgriq800-c6b593703ad9fe42-
