Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
,,Operations Analytics and Data Execution Lead,Remote,$110K - $116K (Employer est.),,30d+,
,,Operations Analytics and Data Execution Lead,Remote,$110K - $116K (Employer est.),,30d+,
"['Nebo Agency', '4.1']",http://www.neboagency.com/,Operations Analytics and Data Execution Lead,Remote,$110K - $116K (Employer est.),"Simply put: Nebo’s engineering team gets things done. That usually looks like using the art of code to solve problems and build solutions for clients and coworkers alike.
We don’t get hung up on what hasn’t been done — we’re all about what we can do. We’re looking for driven teammates who are ready to jump in and do the same.
About Nebo
Nebo is a human-centered agency built on a culture of respect, professional growth and care for every employee. With numerous perks, including hybrid in-office/remote work or fully remote work options designed to fit your needs, unlimited PTO, and free attendance to local marketing events, join this fun-loving team that occasionally talks Slack Smack.
About the Position",30d+,
"['KACE', '3.3']",https://kacecompany.com/,Operations Analytics and Data Execution Lead,Remote,$110K - $116K (Employer est.),"TITLE: CYBER INTEL ANALYST
LOCATION: ARLINGTON, VA
HYBRID SCHEDULE TBD
CRYPTOCURRENCY EXPRIENCE IS A MUST.
About KACE:
When you make the decision to join KACE, you are choosing to work alongside talented professionals that have one thing in common; the passion to make a difference! KACE employees bring their diverse talents and experiences to work on critical projects that help shape the nation’s safety, security, and quality of life.",25d,
"['Transportation Insight', '3.6']",http://www.tiholdco.com/,Operations Analytics and Data Execution Lead,Remote,$110K - $116K (Employer est.),"JOB PURPOSE
The Manager, Business Intelligence & Data Insights is responsible for leading one or more individuals, providing timely, accurate dashboards and reports to internal and external customers. The Manager may also be asked to participate in enterprise wide projects related to Business Intelligence.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Lead, train, coach and provide guidance for up to 10 team members
Manage or develop and maintain supply chain related reports and interactive dashboards using Business Intelligence software for distribution to internal and external clients and key stakeholders",7d,
"['Webhelp Americas', '3.3']",http://www.jobs.webhelp.com/,Operations Analytics and Data Execution Lead,Remote,$110K - $116K (Employer est.),"About The Job
YouTube's user base is growing and changing, which presents unique challenges and opportunities to support over a billion users globally. Fast-paced, dynamic, and proactive, the YouTube Trust and Safety team and Copyright & Legal team provide scaled support to keep YouTube safe for the 2+ billion viewers, creators, and advertisers. The team provides scaled, effective reporting for the YT trust and safety operations and driving actionable insights for future investments.
The Data Analyst will be responsible for driving the integrity and completion for our crucial workflow data. You have technical aptitude and are able to handle large data sets with facility, but can also patiently work through individual issues. You are comfortable analyzing the key causes of data integrity and duplication issues and driving processes/systems that solve these issues. Most of all, you have a commitment to providing internal and external YouTube customers with the best possible experience.",2d,
['Cybersafe Solutions'],,Operations Analytics and Data Execution Lead,Remote,$110K - $116K (Employer est.),"The Opportunity
We seek to hire a Tier I Cybersecurity Analyst who will be responsible for supporting computer network defense, to include auditing the network for vulnerabilities, identifying relevant threats, recommending corrective actions, developing solutions for security issues, and investigating security incidents and breaches.
Responsibilities
Conducts network monitoring and intrusion detection analysis using various cybersecurity tools, such as Intrusion Detection/Prevention Systems (IDS/IPS), Firewalls, SIEM, Vulnerability Management, Host Based IDS (HIDS), etc.
Correlates network activity across networks to identify trends of unauthorized use",30d+,
"['Ergomotion', '3.8']",http://www.ergomotion.com/,Operations Analytics and Data Execution Lead,Remote,$110K - $116K (Employer est.),"Under general guidance, will oversee the design and utilization of business information system applications and processes across the company that enable business growth; enhancing profitability through synergy and quality business information.
Essential Duties and Responsibilities include the following: Other duties may be assigned.
Maintain a Business Information System vision which meets the demands of the business, the strategy, and a roadmap, and lead the Leadership Team and company stakeholders in its effective execution.
Maintain strong and collaborative relationships with functional groups and their leaders across the enterprise, with a detailed understanding of their issues, challenges and opportunities; partnering with functional leaders to identify system wide business information opportunities and working collaboratively with stakeholders to develop and deploy solutions.",3d,
['Peregrine Advisors'],,Operations Analytics and Data Execution Lead,Remote,$110K - $116K (Employer est.),"Job Description
Peregrine Advisors Benefit Inc. (Peregrine) is seeking a Junior Data Scientist to support our engagement with leading federal and state agencies. This position will be embedded directly with client staff and will support senior leadership along with a high-performing team of data scientists, data security experts, data architects, and strategists using a range of different approaches to solve complex, real-world problems. This role requires a combination of technical strength, organizational ability, client focus, and strategic understanding. Tasks for this position may range from supporting high-level data strategy formulation to hands-on implementation and program support, especially to advance enterprise-level data initiatives.
Peregrine is a dynamic, client-focused, data-oriented strategy startup. We are looking for a highly coachable, learning-oriented individual. We will provide extensive onboarding support to ensure a smooth transition into the position. Peregrine will also provide sponsored opportunities to access Strategy-oriented on-the-job training and professional development support.",4d,
"['Capital One', '4.2']",http://www.capitalonecareers.com/,Operations Analytics and Data Execution Lead,Remote,$110K - $116K (Employer est.),"Center 2 (19050), United States of America, McLean, Virginia
Associate, Cyber Insider Threat Analyst (Remote - Eligible)
Capital One is looking for an Insider Threat Junior Analyst to join the Cyber Insider Threat and Technical Investigations program. As an Insider Threat Analyst, you will perform monitoring, analysis, and investigation of anomalous behavior using a wide variety of security tools across multiple environments to identify, mitigate, and escalate potential insider threats. Candidates should be able to manage case workflows, document investigative findings, formulate escalation reports, and exercise attention to detail and discretion in sensitive investigative matters. Candidates should also thrive in a cross-functional and dynamic environment, where coordination with partner teams and stakeholders is required.
Responsibilities:
Triage insider threat alerts and referrals from stakeholders including the Cybersecurity Operations Center (CSOC) and Data Loss Prevention (DLP) teams.

No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",24h,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018469e3f265b7a0c5372c18a2a2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1425df6d&cb=1668223901565&jobListingId=1008275079917&cpc=3DB599BF2F4828F0&jrtk=3-0-1ghku7skejca9801-1ghku7sl1i9hg800-79b81f7861d0d94d--6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27VH1zKRpsA2u2quiZxx6VMhEtcrH_nqC_1bQiyd8QSzvmAp7w5ETcfKnYIz6dLoNJld8V23IagRr532DJiWRx85Bo3_FldHw77mt9MxtEYPXeu0c2hFl-ddMvrrv7GSmG5i6iCeBSmpIjoDPainJXNzVooltHVD4850jB6hw2vUUPLlLEKxqpcA4WpzrPixzRJ0Ea0KvvjjfeOvsRWz7mn-tiegVeIULhKwZsnvsHdekmC6DoZAp7w9y0v3pNFc4QBNziXV7mqj82g-vOUInAqeiCrSFPg3R-zC22pVkRFIx_l7GljjbfuZ-eDVcN6gWoGqSBrA05bSgriBJf_SuvwW4QQrktUB_1-C68r4-SlS0l7Y2DBXDyxgkemaBZw5Wfk%3D
