Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Garmin International, Inc.', '4.0']",http://www.garmin.com/,Senior Software Engineer (Java),"Olathe, KS",$92K - $119K (Glassdoor est.),"Overview:
We are seeking a full-time Senior Software Engineer (Java) for our Olathe, KS location. In this role, you will help build a broad ecosystem that includes watches, sensors, mobile apps, websites, and APIs. We’re looking for strong technologists who enjoy working on cross-functional teams and are passionate about what they do. Our developers end up immersing themselves in training and sports and often join in user testing. We not only record data, but also break down our customers activities with insightful metrics, provide training hints and plans, help plan routes and navigate, and provide a holistic view of athletes’ health and conditioning.
Responsibilities:
Essential Functions
Develop API’s, which are scalable, supportable, and reliable that service the entire Garmin ecosystem
Participate in the full life-cycle of development from conception, analysis, design, implementation, testing and deployment, and use Garmin and Third Party Developer APIs to support innovative features across Garmin devices, web, and mobile platforms
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846a1a499cbccefdc89512fab1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f3bc3212&cb=1668227425647&jobListingId=1008053308557&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl1kiejkuj4801-1ghl1kif7h4f9800-3088bcb99b2616c7--6NYlbfkN0Dg5evNRJvCPk13WGyVOuD3l37uSO45pL6JOyYp8f8ueZr9rNfA-T8_7xcgojUWZvoCHrX2HvEJN5JEWzB1E4BCWlLCLeDRlHGZ2hiLBTAgMZBcrlWkB5Yo_ia2Erp6qWo0t24ETxsMqLdwdDGLpwmSbBNn6pZ5ooJW6tNtNIAaC5jrW2V6ZdB1JgVgfrlDgcU-HTUg-2LZw0k4zs4-MDLh9WAdkZFa_9NEP0FnIt-vybKwYnx9LhxErPymLmeCqmV832l-ft9qpCt1iPfbEAk8hvgqzeDpnWXG3lVHim7rjf0bnKdLI-pqTgmhzpmtr1seksiX3Os91-num6uniis89dFU2-rLI_qDioMjUICXkLTyZB0q5MK1bC5QH7ZjIz-cnxzLJ8MOfzu6nwzcV5nc8yxVUWqTuzSSfUFj-IhBeAIEZaNhOE9R09UJtmWS0g9bJarQ1m8XJZHBFNWCkWylUqj-av27E2JPLTXJq2Y7_rT63cu22v2h-4RY-116CccDHN5k2XM38LOoA0C4G8n0_WE6s8JB6kALgWBKyktnPYLxOLN6KKa-Dg_lj_5L0BimC39nDZadZVMfx8KJqfa9m_RqnSt8zaT3fFtz8A8xklGs2GE1jBOZnrDn49mQjPSPq0U_CrzNBAb9qnakz40U9pY8GfKxTV0gXxqBIk1K2f8P0H1Juuf2nWAt_KreOqzHrMVShnQz3Yp0knNfNQpWAqDlZkofN5Y%3D
"['APR Consulting Inc', '3.9']",http://www.aprconsulting.com/,Senior Software Engineer (Java),"Olathe, KS",$92K - $119K (Glassdoor est.),"An aerospace client is looking for an Embedded Software Engineer 2 who will be a part of a team developing a Secure Processor ASIC as well as a full SDK (libraries, drivers, tools).
Location: Beavercreek, OH 45431
Position: Embedded Software Engineer 2
Pay Rate: $53.81/hr on W2
Duration: 12 months or longer

Responsibilities:",1d,
"['CorTech', '4.5']",http://www.cor-tech.net/,Senior Software Engineer (Java),"Olathe, KS",$92K - $119K (Glassdoor est.),"The System Architect (SysArc) will use the disciplines of System Engineering (SysEng) including the related ASPICE framework to apply their domain knowledge in terms of technology, architecture and engineering concepts to automotive embedded controls related software/electronic products. The SysArc will bring expert technical skills and strong SysEng skills to Faurecia Clarion Electronics (FCE).
_______________________________________________________________________________________

Responsibilities:
o Analyze the system requirements and create system architecture for current and future programs.
o Use model-based systems engineering (MBSE) methods for system requirements, architecture, feature development and system functional testing and validation.
o Use the Electronics Development Framework (EDF) and industry standards as applicable (i.e., ASPICE, ISO26262 - FuSa and ISO21434 – CySec)
o Analyze the Hardware/Software/mechanical/System interface specification provided by the development team.
o Develop high level System architecture for ASIL rated applications, including but not limited to:
1. Defining the safety and control data flows
2. Defining the various views of the architecture which includes static and dynamic views of the system
3. Defining the sequence of events in the System using one or more sequence diagrams
4. Defining the performance and resource consumption objectives for the micro processors
5. Allocation of the System requirements to the System architecture elements
6. Develop interfaces between the System architectural elements
o Documentation of the System Architecture in conformance to the automotive industry standards/guidelines and internal guidelines and strategies
o Responsible for analyzing and verifying that the System architecture design meets all derived software, hardware, and mechanical requirements.
o Develop System architectures to meet automotive standards including but not limited to Functional Safety, Cybersecurity, etc.
o Perform impact analysis for proposed System changes
o Participate in the safety analysis of System solutions
o Identify the vulnerabilities or short coming of architectures
o Drive continuous improvements to System Architecture to improve and optimize the System performance
o Participate in project team and customer reviews of System architectures
o Participate in program development team meetings to understand the project time lines and System architecture deliverables.
o Plan and estimate the tasks associated with the architecture deliverables
o Identify and communicate the risks to the Product Development Leads.
o Help the development team understand the architecture by leading presentations, workshops, etc.
o Occasionally mentor software developers, engineers, and interns
o Occasionally review design and validation tests/results of other engineers on the team
________________________________________________________________________________________________________________________________


o 8+ years’ experience programming within System Engineering
o 2+ years of System Architect work experience
o Understanding of embedded device programming
o Decomposition of business requirements into functional specifications, design documentation, and use cases, creation of support documentation.
o Ability to design solutions to enterprise class persistence, scalability, performance, security, and maintainability models
o Experience with the use and applicability of design patterns
o Experience with model-based development and code generation (MATLAB, Simulink, etc.)
o Familiar with state-of-the-art techniques for the development of embedded systems
o Familiarity with automotive safety requirements (ASIL, SOTIF, ISO 26262, etc.)
o Familiarity with System development tools & processes (DOORS, Jazz Suite, JIRA, Confluence, SVN, Git, ASPICE, etc.)
o Familiarity with In-Vehicle communication bus protocols (CAN, Ethernet, LVDS, UDS, I2C, SPI, etc.)
o Ability to work in a fast-paced environment building electronic/software products
o Ability to propose and support inspect-and-adapt processes for improving team performance, reducing cost of ownership for products, or shortening time-to-value for priority Faurecia Clarion Electronics initiatives
o Ability to travel nationally and internationally to work with global product, sales, and engineering teams
___________________________________________________________________________________________________________________________


o Bachelor’s degree in an engineering discipline.
o Consistent participation in on-going career development education, either through advanced degree programs or certification programs",3d,
"['Comcast', '3.9']",http://www.comcastcareers.com/,Senior Software Engineer (Java),"Olathe, KS",$92K - $119K (Glassdoor est.),"Comcast’s Technology, Product & Experience organization works at the intersection of media and technology. Our innovative teams are continually developing and delivering products that transform the customer experience. From creating apps like TVGo to new features such as the Talking Guide on the X1 platform, we work every day to make a positive impact through innovation in the pursuit of building amazing products that are enjoyable, easy to use and accessible across all platforms. The team also develops and supports our evolving network architecture, including next-generation consumer systems and technologies, infrastructure and engineering, network integration and management tools, and technical standards. We offer a flexible working environment to balance the need to work independently wherever you choose, with days that require collaboration at one of our offices. Our roles primarily reside inside or around one of our Tech Hubs (Philadelphia and surrounding suburbs, Denver, Austin, Silicon Valley, Washington DC/N. Virginia). Some roles can work virtual full-time if they are not near a Tech Hub, but that is dependent upon the needs of the position and amount of collaboration required.
Job Summary Comcast Technology and Product Experience (TPX) is seeking a Senior Software Engineer for Android to join the Digital Home Client Application Engineering team. This group is responsible for customer-facing mobile, web, and voice application development for Comcast’s Home Security, Home Network Management, and Internet of Things product offerings. This includes the native iOS and Android Xfinity application, which manages our cloud enabled gateway for millions of homes and is growing internationally. Learn more about us at https://www.xfinity.com/apps. Note: We are currently working remotely and will be following a hybrid model in future.
Job Description Core Responsibilities

In this role, you will be an Android platform technical lead on the IoT client squad where you will collaborate with mobile and API developers, UX designers, test engineers, operations engineers, product, and business managers to lead a team responsible for features like our XFinity Camera integrations, Zigbee lock/light/sensors, Wi-Fi IoT device integrations, Pro and Self Monitored Security, and more. You will have opportunities to partner with teams working on improving developer productivity, write hands on code for mobile components and libraries, lead, and drive conversations on technical architecture, and influence the Xfinity Android app architecture. You are able to learn new technologies quickly, be a strong teammate, and rapidly adapt to changing business and customer demands. The ideal candidate will have experience building native Android applications that rely on multiple web services and operate at a scale of millions of users.
Qualifications
6+ years of professional software engineering experience
3+ years professional experience in developing Kotlin/Android native client applications
1+ years as a technical lead of at least 3 other developers (technical, not people management), for a large-scale consumer facing application with at least 100K app downloads on the Play Store
Experience
Experience building or consuming RESTful web services
Fundamental understanding of the HTTP protocol and caching strategies
Experience driving adoption of software engineering standard methodologies within your team
Experience building/operating mobile applications dependent on large-scale ( >1MM users) platforms with high availability
Programming experience with Java, Android technologies/libraries; Kotlin, Coroutines, Dagger, MVVM, Accessibility, Localization.
Experience leading software projects with source control systems like GitHub
Experience maintaining Continuous Integration and Deployment pipelines or workflows
Leadership
Ability to effectively communicate technical challenges and solutions
Ability to solve ambiguous or undefined problems
Technical leadership throughout the design, development, testing and deployment processes of core Android libraries and guidance with regards to practices, procedures, and techniques
Presentation and advocating for architectural, design, and technical choices to internal and external audiences
Serving as a coach and mentor for junior- and mid-level Software Development Engineers
Collaboration
Eagerness for learning and adapting to new technologies
A strong sense of ownership and responsibility for code quality that follows standard methodologies
Collaboration with project partners to identify product and technical requirements, conducting analysis to resolve integration needs
Additional Preferred Skills
Experience in designing and interacting with REST/ RPC based API micro services
Experience working with Internet-of-things frameworks or platforms; SmartThings, Nest, AWS IOT
Experience with multiple specific Android technologies/libraries, i18n, GPS, Bluetooth, JetPack Compose
Experience with advanced network protocols such as WebRTC and MQTT
Experience working with OpenAPI Specifications
DevOps Native App build experience (Ansible, CocoaPods, Jenkins, Fastlane, XCUITests)
How we work
We have a flexible remote-friendly culture. We follow a hybrid work model, and you can choose to work from home or in the Philadelphia HQ
We follow the squads and guilds engineering model for developing mobile apps at scale. Our native Android & iOS developers work closely with each other across multiple squads, following agreed upon design patterns, reviewing pull requests, and learning and growing together
Platform leads influence change through mobile tech design reviews and Android & iOS guild meetings
We have a strong onboarding process with 30-, 60- and 90-day goals so that you can succeed as an Android technical leader

Comcast Engineers are enthusiastic about teamwork, growing their skills, and creating excellent experiences for customers. We are fortunate to do what we love, every day! Join us!

We pursue people from different backgrounds and experiences. If this position interests you, we are interested. Please apply.


Understand our Operating Principles; make them the guidelines for how you do your job.
Own the customer experience - think and act in ways that put our customers first, give them seamless digital options at every touchpoint, and make them promoters of our products and services.
Know your stuff - be enthusiastic learners, users and advocates of our game-changing technology, products and services, especially our digital tools and experiences.
Win as a team - make big things happen by working together and being open to new ideas.
Be an active part of the Net Promoter System - a way of working that brings more employee and customer feedback into the company - by joining huddles, making call backs and helping us elevate opportunities to do better for our customers.
Drive results and growth.
Respect and promote inclusion & diversity.
Do what's right for each other, our customers, investors and our communities.


This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications.

Comcast is an EOE/Veterans/Disabled/LGBT employer.

Comcast is proud to be an equal opportunity workplace. We will consider all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other basis protected by applicable law.
Education
Bachelor's Degree
While possessing the stated degree is preferred, Comcast also may consider applicants who hold some combination of coursework and experience, or who have extensive related professional experience.
Relevant Work Experience
7-10 Years


$120,924.89 - $181,387.33
Comcast intends to offer the selected candidate base pay within this range, dependent on job-related, non-discriminatory factors such as experience.
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846a1a499cbccefdc89512fab1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e807c73e&cb=1668227434278&jobListingId=1007706241238&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl1kiejkuj4801-1ghl1kif7h4f9800-e523cbd885e4f70c--6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZlTAgGmdtIUzoKTi6fK6WvbndxO7YYfFHZXR0jOmOwvan7U_64X-I7RcsOddr3LqPPpe83xnNN-qdRxlaMe3NBKxW7qeeOvAJuC7OPebDmtz8zH67TAJ97d1bXuZgs44qkj8lU9B-i9j-tGJ6XDxMzO3D2AEcZz9QvydFVXaluxtBuy4-fUDXzzxv91jKaNc5rSsiQOnryHD--toNR-v8dIkBd81dTQ2l7a_2zkFsygD3RoNznthmMEBiLzOAMU2PQGWCst8FtZpku4Ri97ggF9lPCysuDZlznyXamiLc7LRMEIqZ72Za4b7pullQwDOynkiwfi0IXyHIMgDbv5o5BkCuS0v56U10KzOTtkZM-kxU04GVe46W8L3WZF_49Xd_HmpqyMKjStY-86i1fvjm_HTqPYPiwKsz4_E_4sUA3k79Y_CoFjUMfBKUf5VT9SxIGjtuST35TvQx2awaae4vj8xgE2SIGDocqr2sfekv4rjc6LSgIzqiMjGI_aQPE6bG28Mnq_Ag-vKUdvIDEmix4A3qcBAraArNRply2jfrm5K1d6X_HZ6jO9d4AFyTTbojNx93GlDwYPxzKTdmBEZspDzi47PAV6Ma8Np2IIjjaPRXl52Hl7oDQPajFxqyPFkT-beoPpbcA247_TF9iRrOmfqMyxaqX9w0uY0w6Z6PMuy5M7nZGWpwTO4y0_CElYUexJPOoWTd01l2vrjfRjr5DH8kkw1fK6MRShCiHjpSewtU2h5z6a3H0smUHgKOqcZpusOi30YSEKgqjJvZBAu9Vt7eio5-qhpgaoT9nUgi5zx-HwOYLTwPfaSJEFyAI5CtcKJrJgfYix-JZ--0CS3W5Ky44C6T9_AIK7vC4NGUimtN9zrntjikzKUnbTQb3zJ-pWnM6JJYULzb2ZS7YOf8puHhPyW9GL46JpaIOrmS2bnyIyZ3o3uBy0nMRRrY8WQezEeyFIT3UPR4RDGwOeHgUilt3DnhKwxmV9mQlabGKTfZC6Au2kUY45cX0sNGyFu--apa5MGIlFnKQD_zp0gSFMxrOV0oYpFJJGuTyZMW_Vlcpqjgrckb_UNmgG5ljpfaQpsCehtyjKelhIDG64y4dQyLUHxQ5pKWF-8tAzNakHnA78Uk8FGcwc%3D
"['Stellantis', '3.7']",http://www.stellantis.com/,Senior Software Engineer (Java),"Olathe, KS",$92K - $119K (Glassdoor est.),"Build your brand. Tell your story. Take advantage of a rare opportunity to start from the ground up and build something new and original. At Stellantis we are breaking with the past and launching a new software organization built from the ground up. The Stellantis Software Organization (SWX) was established in 2021 with an entirely new vision for the driver experience, and our mission to build the most captivating experiences in the latest frontier of automotive technology. We are seeking technology game changers to lead the digital transformation to this new world of automotive technology with a focus on the customer experience.

This position will function as a member of the Base Software (BSW) Platform Configuration group in the SWX organization at Stellantis. As a member of this team you will have a direct impact on creating a evolving software platform for the next generation ECU's.

If you have a good understanding of various operating systems, modern vehicle architectures, in-depth knowledge of embedded software development and possess an interest in learning and contributing to the state-of-the-art and emerging automotive computational technologies then this position is right for you.

The candidate will be responsible for managing various Operating systems (OS) configurations of the basic software running on the embedded target platform for various domains like SAE (Society of Automotive Engineers) Level 2, 3 automated driving features, Infotainment, instrument clusters, etc.

In this position, you will be given the opportunity to expand your knowledge and professional network by interacting with software architects, application software developers, Tier-1/Tier-II suppliers, software suppliers, validation and verification engineers etc.

The primary duties include but not limited to:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846a1a499cbccefdc89512fab1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9a238265&cb=1668227437230&jobListingId=1007696212384&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl1kiejkuj4801-1ghl1kif7h4f9800-a78cba18a20f0e74--6NYlbfkN0ACPwgM8vN-agjfeQIp8j7bA6rWcStjIJMvSUoZk9GVGflkOWlkz-inCqciqCHOJacKhT73bMVjQAVEd6IF_2Q1QVnp9fNPsSeKCQ47uy02MFNLEMpvk9LY_nXeVa9lPiF-WGafsvRo1023f6ZzyTksJRsfdog00_eo0fpH5MI0lAIVJn10mM1yOb2KViarNqMH73IW1M6BDNKvpr0COvqMghKsKsD349ML1EjCAw4RfrcMz9AKOaeuxanYSV2HEaValNfO9qhQ7WkMDxj_xzUNpxP6oPAHxUKHS13rFZOu3HciAhAec_z_ZfTodWFplMS8himFRYEq7_e-04n7Qal4QP1KWMx_kDRT4nXaI8mX6X-n6gDGRuYzKB44zOBpiXxG1VVyffD8yZUsOqXbaLYmf8UF8eRsh9Kh8LgsghgXMFoZw5jUH8tMZkyZhpzFNwBbgePHxbgSm7NaeoGeZrZa-v-ukswvfXL-3noWdibcirzEa-Pu3lNFie0WM70_FUL0Lb9AEsVXBaqoJlXzSHlERZMItYAp2X4Q4iwFCZTCdCnYT7k4eAyD
"['Ambiq', '3.3']",http://www.broadleafresults.com/,Senior Software Engineer (Java),"Olathe, KS",$92K - $119K (Glassdoor est.),"Company Overview:
Ambiq has been on a singular mission since 2010 to put intelligence everywhere by creating the most energy-efficient semiconductor solutions for IoT endpoint devices. Using the revolutionary Subthreshold Power Optimized Technology (SPOT®) Platform, Ambiq’s record-breaking ultra-low power solutions, including MCU and SoCs, have helped global device makers deliver more than 150 million products with advanced features, enhanced performance, and extended battery life.

With a leading market share in wearables at the speed of shipping 1 million units per month, Ambiq is now expanding its impact on novel endpoint products such as hearables, smart home automation, industrial IoT preventive monitoring, and more.

Our innovative and fast-moving teams of research, development, production, marketing, sales and operations are spread across several continents, including the US (Austin and San Jose), Taiwan (Hsinchu), China (Shenzhen and Shanghai), Japan (Tokyo), and Singapore. We value continued technology innovation, fanatical attention to customer needs, collaborative decision making, and, above all, enthusiasm for energy efficiency. We embrace candidates who also share these same values. The successful candidate must be self-motivated, creative, and comfortable learning and driving exciting new technologies. We encourage and nurture an environment for growth and opportunities to work on complex, interesting, and challenging projects that will create a lasting impact. Come join us on our quest for 100 billion devices. The endpoint intelligence revolution starts here.

Scope and Responsibilities
Ambiq Micro's Software and Solutions team is looking for an Embedded Developer in System Test to develop and execute tests in firmware verifying performance of the SoC’s Graphics Subsystem. You would be working with a global development team, supporting System Test activities. You would be responsible for developing test cases based on real-world customer use cases to verify functionality and reliability of the graphics subsystem, as well as its interoperability with other peripheral interfaces and SoC functions.

In this role, you will work collaboratively with firmware engineering and systems engineering to automate and streamline our test processes, collaborate on test strategies and plans, develop new tools, develop test automation, and develop tests that reflect real-world customer use cases.

Specific Responsibilities

Experience Required
The candidate must have expertise in embedded graphics development for ARM-based processors in C. Experience with system-level testing/debug, creating test plans, test infrastructure and test automation is required. Experience with testing embedded devices, IoT, and wearable devices very desirable.

Specific Experience


#IND32",24d,
"['Advanced Micro Devices, Inc.', '4.2']",http://www.amd.com/,Senior Software Engineer (Java),"Olathe, KS",$92K - $119K (Glassdoor est.),"What you do at AMD changes everything
We care deeply about transforming lives with AMD technology to enrich our industry, our communities and the world. Our mission is to build great products that accelerate next-generation computing experiences – the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence, while being direct, humble, collaborative and inclusive of diverse perspectives. This is who we are at our best. One Company. One Team.
AMD together we advance_
Software Product Management Director",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a1a499cbccefdc89512fab1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5c100f1c&cb=1668227445018&jobListingId=1008165678619&jrtk=3-0-1ghl1kiejkuj4801-1ghl1kif7h4f9800-e0a46a10f5993f35-
"['State Street', '3.5']",http://www.statestreet.com/,Senior Software Engineer (Java),"Olathe, KS",$92K - $119K (Glassdoor est.),"Why this role is important to us
The team you will be joining is a part of State Street Global Advisors, one of the largest asset managers in the world. We partner with many of the world’s largest, most sophisticated investors and financial intermediaries to help them reach their goals through a rigorous, research-driven investment process. With over four decades of experience and trillions of dollars in assets under management, we offer one of the broadest selections of services across asset classes, risk profiles, regions and styles. As pioneers in index, ETF, and ESG investing, we are always inventing new ways to invest.
Join us if making your mark in the asset management industry from day one is a challenge you are up for.
Location: Boston, MA - Hybrid",1d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a1a499cbccefdc89512fab1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_952caaca&cb=1668227447767&jobListingId=1008271267689&jrtk=3-0-1ghl1kiejkuj4801-1ghl1kif7h4f9800-cce88df818cfaf12-
"['Garmin International, Inc.', '4.0']",http://www.garmin.com/,Senior Software Engineer (Java),"Olathe, KS",$92K - $119K (Glassdoor est.),"Overview:
We are seeking a full-time Java Software Engineer 2 (server) located in our Olathe, KS office. In this role, you will help build server services for multiple rapid prototypes projects like Fitness Games, Garmin Clipboard, and Garmin Live exercise. We are seeking strong technologists who enjoy working on cross-functional teams and are passionate about what they do. Our developers end up immersing themselves in training and sports and often join in user testing.

Gamin Labs server team helps other teams bring products from concept to beta user testing to full production launch. We are a unique group that interacts closely with mobile apps and hardware teams, and are involved with early design process of the product.
Responsibilities:
Essential Functions
Develop API’s, which are scalable, supportable, and reliable that service various R&D projects
Qualifications:",27d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a1a499cbccefdc89512fab1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bdce097a&cb=1668227449713&jobListingId=1008209112549&jrtk=3-0-1ghl1kiejkuj4801-1ghl1kif7h4f9800-f16dc23a219898b0-
"['JPMorgan Chase Bank, N.A.', '3.8']",http://www.chase.com/,Senior Software Engineer (Java),"Olathe, KS",$92K - $119K (Glassdoor est.),"Our Global Technology Infrastructure group is a team of innovators who love technology as much as you do. Together, you will use a disciplined, innovative and a business focused approach to develop a wide variety of high-quality products and solutions. You will work in a stable, resilient, and secure operating environment where you-and the products you deliver-will thrive.

Job Description

As a leader in the Application Connectivity Product line for Infrastructure Engineering, you will be one of the visionaries responsible for developing the roadmap for the computing platforms, servers, and networks, which means your work will have a day-to-day impact on customers, clients, and businesses around the globe. Your expertise in infrastructure technology, architecture design, and performance monitoring will be essential in guiding a team that delivers multiple IT projects on time and within budget. Your team will look to you to mentor them as they work collaboratively to drive the strategic technology roadmap of the firm and implement high-quality technology solutions . And while you will be part of a tight-knit team of high-performers who share your passion for technology, you will also gain access to the best minds in the business-both as part of the JPMorgan Chase & Co. global technology community, and through our partnerships with some of the most important tech firms in the world.

I n this role you will mentor a team of engineers building applications and infrastructure that support one of the largest enterprise data networks in the world . Your focus on designing automated infrastructure and the development of micro services in support of the provisioning and management of the data network will position JPMorgan as a technology leader in the networking space.

This role requires a wide variety of strengths and capabilities, including:",3d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a1a499cbccefdc89512fab1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5febefd2&cb=1668227451543&jobListingId=1008264267988&jrtk=3-0-1ghl1kiejkuj4801-1ghl1kif7h4f9800-c55abac99d6f1327-
