Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Application Developer,"Columbus, GA",$76K - $114K (Glassdoor est.),"Location: Remote or Columbis, SC

Job Summary
Develop, maintains, and integrates application software, related project management activity, and production support; works closely with internal and external clients, business analysts, and team members to understand business requirements; Develops and integrates application software, including unit testing and implementation efforts; continues to maintain and support software implementation.

Principal Duties & Responsibilities",22d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b4158a7b3a24db4053c45b2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_626a0676&cb=1668246773947&jobListingId=1008221875074&jrtk=3-0-1ghlk2m7ris2i801-1ghlk2m8fj4hn800-e73cd9fa2727b1cd-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Application Developer,"Columbus, GA",$76K - $114K (Glassdoor est.),"Location: Remote or Charlotte, NC

Job Summary
Develop, maintains, and integrates application software, related project management activity, and production support; works closely with internal and external clients, business analysts, and team members to understand business requirements; Develops and integrates application software, including unit testing and implementation efforts; continues to maintain and support software implementation.

Principal Duties & Responsibilities",25d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b4158a7b3a24db4053c45b2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dcb90d1f&cb=1668246775890&jobListingId=1008213227714&jrtk=3-0-1ghlk2m7ris2i801-1ghlk2m8fj4hn800-cb55df794d71ead6-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Application Developer,"Columbus, GA",$76K - $114K (Glassdoor est.),"Job Summary
Develop, maintains, and integrates application software, related project management activity, and production support; works closely with internal and external clients, business analysts, and team members to understand business requirements; Develops and integrates application software, including unit testing and implementation efforts; continues to maintain and support software implementation.

Principal Duties & Responsibilities
Contributes to the development effort by participating in workshops, speaking about technical solutions, builds prototypes and takes on coding assignments",11d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b4158a7b3a24db4053c45b2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c9d97fdd&cb=1668246779198&jobListingId=1008246736162&jrtk=3-0-1ghlk2m7ris2i801-1ghlk2m8fj4hn800-cf0e87e38c035ec5-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Application Developer,"Columbus, GA",$76K - $114K (Glassdoor est.),"Location: Remote and or Columbus, GA

Job Summary
Develops, maintains, and integrates application software, related project management activity, and production support; works closely with internal and external clients, business analysts, and team members to understand business requirements; develops and integrates application software, including unit testing and implementation efforts; continues to maintain and support software after implementation

Principal Duties & Responsibilities",20d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b4158a7b3a24db4053c45b2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e18c531&cb=1668246782666&jobListingId=1008226843927&jrtk=3-0-1ghlk2m7ris2i801-1ghlk2m8fj4hn800-593469d2a22cf229-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Application Developer,"Columbus, GA",$76K - $114K (Glassdoor est.),"Job Summary

Develops, maintains, and integrates application software, related project management activity, and production support; works closely with internal and external clients, business analysts, and team members to understand business requirements; develops and integrates application software, including unit testing and implementation efforts; the application software continues to maintain and support after implementation

Principal Duties & Responsibilities",17d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b4158a7b3a24db4053c45b2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_295d5818&cb=1668246785498&jobListingId=1008233337169&jrtk=3-0-1ghlk2m7ris2i801-1ghlk2m8fj4hn800-aef076a6763d4133-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Application Developer,"Columbus, GA",$76K - $114K (Glassdoor est.),"Job Summary
Responsible for designing, developing, & maintaining complex Java based applications that support the business needs of Aflac Dental and Vision

Principal Duties & Responsibilities
Analyzes and interprets business/user requirements; designs and develops programing to fulfill the request and requirements of the business/user through Java; tests, troubleshoots, makes updates and supports the business applications in alignment with overall goals and objectives of Aflac Dental and Vision
Participates and drive development life cycle to include creating the concepts, design, and quality testing; utilizes best practice techniques as well as providing solutions to complex development tasks; monitors efficiency and address production and non production issues",27d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b4158a7b3a24db4053c45b2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_051e5b9e&cb=1668246787397&jobListingId=1008209334783&jrtk=3-0-1ghlk2m7ris2i801-1ghlk2m8fj4hn800-ff9abf52d0c3591f-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Application Developer,"Columbus, GA",$76K - $114K (Glassdoor est.),"About Our Company
Aflac Global Investments located in the heart of the financial district is the organization who’s responsible for the overall investment activities of Aflac, Inc. With more than 100 employees in US (New York) and Japan (Tokyo); Aflac’s Global Investments organization seeks to maximize risk-adjusted returns subject to our liability profile and capital requirements and generates in excess of $3.0 billion a year in net investment income.

Job Summary
Within Aflac’s Global Investments (GI), the VP, Application Development Manager is part of the GI Information Technology (IT) department and is responsible for leading and delivering on robust IT solutions to the investments team. The position will work across GI key stakeholders throughout U.S. and Japan, along with Columbus, GA (Corporate), and various business partners (internal and external), in support of the various technology platforms and systems used throughout the organization.",18d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b4158a7b3a24db4053c45b2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f0e138cc&cb=1668246790225&jobListingId=1008231440709&jrtk=3-0-1ghlk2m7ris2i801-1ghlk2m8fj4hn800-3fd932d57a594a97-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Application Developer,"Columbus, GA",$76K - $114K (Glassdoor est.),"Job Summary
Develop, maintains, and integrates application software, related project management activity, and production support; works closely with internal and external clients, business analysts, and team members to understand business requirements; Develops and integrates application software, including unit testing and implementation efforts; continues to maintain and support software implementation.

Principal Duties & Responsibilities
Works on multiple projects at a time as a member of each project team",5d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b4158a7b3a24db4053c45b2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a04aebd3&cb=1668246793013&jobListingId=1008260453283&jrtk=3-0-1ghlk2m7ris2i801-1ghlk2m8fj4hn800-77d39627615facfb-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Application Developer,"Columbus, GA",$76K - $114K (Glassdoor est.),"Opportunity: Aflac D&V Sr Full Stack Engineer

Location(s): Florida (REMOTE)

Division: Dental & Vision

Job Summary
Key resource that drives the microservices-based architecture to support portal, app as well as business-to-business integration requirements on the roadmap from infancy into a mature system that is centered around providing an amazing end-user experience.",29d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b4158a7b3a24db4053c45b2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_22e2b96c&cb=1668246795219&jobListingId=1008205474678&jrtk=3-0-1ghlk2m7ris2i801-1ghlk2m8fj4hn800-77ad490ce4a8e8ef-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Sr Application Developer,"Columbus, GA",$76K - $103K (Glassdoor est.),"Location: Remote and or Columbus, GA

Job Summary
Develops, maintains, and integrates application software, related project management activity, and production support; works closely with internal and external clients, business analysts, and team members to understand business requirements; develops and integrates application software, including unit testing and implementation efforts; continues to maintain and support software after implementation

Principal Duties & Responsibilities",20d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b4202bfa0d4a911e46271c4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fc74cbc9&cb=1668246808929&jobListingId=1008226843927&jrtk=3-0-1ghlk40niklsh801-1ghlk40o5i9hg800-593469d2a22cf229-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Sr Application Developer,"Columbus, GA",$76K - $103K (Glassdoor est.),"Job Summary
Responsible for designing, developing, & maintaining complex Java based applications that support the business needs of Aflac Dental and Vision

Principal Duties & Responsibilities
Analyzes and interprets business/user requirements; designs and develops programing to fulfill the request and requirements of the business/user through Java; tests, troubleshoots, makes updates and supports the business applications in alignment with overall goals and objectives of Aflac Dental and Vision
Participates and drive development life cycle to include creating the concepts, design, and quality testing; utilizes best practice techniques as well as providing solutions to complex development tasks; monitors efficiency and address production and non production issues",27d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b4202bfa0d4a911e46271c4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c2792c0f&cb=1668246813228&jobListingId=1008209334783&jrtk=3-0-1ghlk40niklsh801-1ghlk40o5i9hg800-ff9abf52d0c3591f-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Sr Application Developer,"Columbus, GA",$76K - $103K (Glassdoor est.),"Job Summary
Develop, maintains, and integrates application software, related project management activity, and production support; works closely with internal and external clients, business analysts, and team members to understand business requirements; Develops and integrates application software, including unit testing and implementation efforts; continues to maintain and support software implementation.

Principal Duties & Responsibilities
Works on multiple projects at a time as a member of each project team",5d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b4202bfa0d4a911e46271c4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1d1b8287&cb=1668246816770&jobListingId=1008260453283&jrtk=3-0-1ghlk40niklsh801-1ghlk40o5i9hg800-77d39627615facfb-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,Sr Application Developer,"Columbus, GA",$76K - $103K (Glassdoor est.),"Opportunity: Aflac D&V Sr Full Stack Engineer

Location(s): Florida (REMOTE)

Division: Dental & Vision

Job Summary
Key resource that drives the microservices-based architecture to support portal, app as well as business-to-business integration requirements on the roadmap from infancy into a mature system that is centered around providing an amazing end-user experience.",29d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b4202bfa0d4a911e46271c4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2ad99d69&cb=1668246819585&jobListingId=1008205474678&jrtk=3-0-1ghlk40niklsh801-1ghlk40o5i9hg800-77ad490ce4a8e8ef-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,PLADS Program Manager,Remote,$76K - $106K (Glassdoor est.),"Job Summary
The Program Manager is responsible for the delivery of all projects and work efforts for the defined program space. This includes the planning and prioritization of work and managing program level stakeholder engagement. The Program Manager should ensure that all guidelines and documented processes are followed through the project lifecycle.

Principal Duties & Responsibilities
Leads the resources within the team",11d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b4271a7b60db50d8fd1465d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f733f1c3&cb=1668246836504&jobListingId=1008246736160&jrtk=3-0-1ghlk4sekkuig801-1ghlk4sf9j46m800-cde573b1c8e1b4b7-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,PLADS Program Manager,Remote,$76K - $106K (Glassdoor est.),"Job Summary
As a servant leader ensures agile values and principles are understood and enacted by the agile teams. Trains and coaches the agile teams on agile values, principles, practices, frameworks and tools. Helps the teams to continuously improve their performance and increase business agility.

Principal Duties & Responsibilities
Train, coach and mentor one or more teams to embrace agile values and principles

Train and coach the teams on all aspects of planning and execution including vision, release roadmap, user story creation, story mapping, release planning, sprint events, progress monitoring and continuous improvement",14d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b4271a7b60db50d8fd1465d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c34c00a9&cb=1668246839507&jobListingId=1008240711800&jrtk=3-0-1ghlk4sekkuig801-1ghlk4sf9j46m800-9bae0c6f7b202faa-
"['Aflac, Incorporated', '3.8']",http://www.aflac.com/,PLADS Program Manager,Remote,$76K - $106K (Glassdoor est.),"Job Summary
As a servant leader ensures agile values and principles are understood and enacted by the agile teams. Trains and coaches the agile teams on agile values, principles, practices, frameworks and tools. Helps the teams to continuously improve their performance and increase business agility

Principal Duties & Responsibilities
Train, coach and mentor one or more teams to embrace agile values and principles

Train and coach the teams on all aspects of planning and execution including vision, release roadmap, user story creation, story mapping, release planning, sprint events, progress monitoring and continuous improvement",16d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b4271a7b60db50d8fd1465d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_86c5947b&cb=1668246843260&jobListingId=1008235455742&jrtk=3-0-1ghlk4sekkuig801-1ghlk4sf9j46m800-1522d8c8bfca0302-
"['UBEO, LLC', '3.8']",https://www.ubeo.com/,Business Analyst,"San Antonio, TX",$62K - $99K (Glassdoor est.),"UBEO Business Services, the premier provider of business technology products and services, is seeking to hire a Business Analyst to join our team in San Antonio, Texas.
UBEO is a distributor/servicer of document equipment and software solutions. Primary products include Xerox, Ricoh, Canon and Konica Minolta multi-functional equipment and Kyocera printers. UBEO specializes in electronic document management software and integrations.
Department: Sales
Reports To: Vice President of Sales
FLSA Status: Full Time/ Exempt
Purpose
The primary responsibility of this position is to support sales by providing both pre and post sales analysis. Pre-sales support involves conducting business technology assessments (BTA's) and workflow analysis at potential and existing customer sites. This is a team selling position that will have you working with all sales reps at your respective marketplace. Post-sales support involves helping the sales representatives with BTA findings, deliverables, proposal and presentations.",1d,
,,Business Analyst,"San Antonio, TX",$62K - $99K (Glassdoor est.),,4d,
"['Constant Associates', '4.4']",http://www.constantassociates.com/,Business Analyst,"San Antonio, TX",$62K - $99K (Glassdoor est.),"CONSTANT is currently seeking Instructional System Designers to support the design and development of educational courses for FEMA Qualification System (FQS) Training. The Management Analysts shall have experience and be responsible for the course development, up to and including final production online or as in-person course.
This Is What You'll Do
Work with other course SMEs to develop the plan of instruction, course content and ensure final course product meets expectations of the SME, cadre and FQS requirements.
Facilitate the FEMA course evaluation and course design effectiveness, including the piloting phase of course development.
Ensure the course meets 508 compliance and all other requirements by FEMA for course production.",30d+,
"['SNI Technology', '3.4']",http://www.snitechnology.com/,Business Analyst,"San Antonio, TX",$62K - $99K (Glassdoor est.),"JOB DESCRIPTION
Description:
The Information Governance (IG) Matter Mobility Analyst coordinates, executes and facilitates digital client data transfers in a key role within the Matter Mobility team. The IG Matter Mobility Analyst will work closely with the Information Governance Matter Mobility Supervisor and Information Governance Client Operations Senior Manager to support the Information Governance Department in data transfers associated with the onboarding and off-boarding of client matters and related matters.
Key Responsibilities Include:
Implement Firm’s policies and procedures regarding the transfer of digital client matter records into and out of the Firm.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846b42bee2aac19398fbbbf8f5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ed414245&cb=1668246865372&jobListingId=1008190637888&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlk5fodk24k801-1ghlk5fp0i7nt800-2ab3e0c2e6b1f11f--6NYlbfkN0CS32Ln2hY9dzAXNFagdtdQAMm9yz-2VIM9EXx3MI2ptohMOv3hWU2ue4O7p6VP6X0SQG1fFQwwQnp5xUKZ1RcGc3hR0gwGtfYNu2QglN9zsTtlVx70kp2aJzMYFzYPYP1vtXlcWZX2azXGCCQr5Mx0Euoyw6adZJPKGSHpSc6z_NQ9X8NG7bo9gWcRPVOuRReZ5yGceidAEcvDiNw8uoRdlRfzlYnUjUg-pY_cIG_w81k_nI_etBPPPvvhfA24DL1ioEY7ZTpJrQ8EgZQ_hWDDRAfTwmgqaWd6Ke131R3vwX7Am2G0MBpAtvPjkjkNTtArPmjpfeUDNpvsEbHJ0xkUzMMhY7cZ3JuynhkgaAL25Xny9HCHMMjqCzbKVSyVZ5CUp1Vr_3Yro_-b4l4hRdl7IeW8jwpV_8_FIMJ816CKvuVsRVAuEs3Oa_VghHZVxbUNnXwgtS3sTTmD-ASq-ckuS7TdDYXLhPBjKUN05EHL2Mqrm5tOM0rEnB3kYWGTEHAQr2RTYL6JjmIluK73hbuAdqpR54wKuun_UYLKP-T9Q5TWUwzHOwqXt_kLhPZB7MbWDo9RrvDEDP04nrXnp8QD
