Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['American Airlines', '3.8']",http://jobs.aa.com/,"Developer/ Senior Developer, IT","Dallas, TX",$84K - $120K (Glassdoor est.),"Location: DFW Headquarters Building 8 (DFW-SV08)
Additional Locations: Phoenix, AZ; Dallas/Ft Worth, TX
Requisition ID: 53201 Intro
American Airlines is looking for Software Developers of all levels. As a Software Developer at American Airlines, we expect you to be empathetic towards customers. American Airlines believes that our purpose is to care for our people on life's journey, customer or team member. We want teams to let that care guide how we work and what we build. As a developer on a product team at American Airlines you will create awesome experiences. Your team owns those experiences from conception to production, for millions of customers and more than 100,000 team members.
Our goal is to create an enviable, engineering-centric workplace. What does that mean though? Deploying is painless, you have a strong voice, communication flows, we experiment with our products, and we exploit new technology to continuously improve how we work. Of course, we also want to make sure we are having fun, working with, and caring for - amazing people. Why you'll love this job
Successful Software Developers at American Airlines excel in three key areas:
Software Delivery
Product Mindset
Growth Mindset
Software Development Teams at American Airlines find ways to improve daily work. This means taking an honest look at delivery metrics and asking what we will do to improve them. We expect a team to ask ""why has our deployment frequency declined over the last month?"" and work towards a solution to improve the situation as a team, under their own direction. In short, we want everyone to invest in continually improving themselves and their ways of working, while achieving product success.
You will engage in all aspects of the Product lifecycle and work to grow your skills in Lean Product Development. We expect our engineers to dig in and solve business problems as true partners. We love small solutions and collecting data to draw conclusions.
To build new solutions and chase new hypotheses, our teams are constantly learning. We accept failures as learning experiences and use those experiences to build resiliency in our systems.
Depending on level, the role is a balance of technical coaching and hands-on development work. All Software Developers write code daily, regardless of level. What you'll do
Accountable for software delivery as well as influencing the team to find new behaviors and ways of working based on frequent inspection and rapid feedback.
Facilitate team ceremonies in conjunction with appropriate team members.
Identify gaps in agile and technical practices and collaboratively seek remedies for them.
Identify purposeful ways to question the status quo and lead experiments on alternatives, seeking increased customer value or new learnings or both.
Develop soft skills (communication, business orientation, adaptability, constructive feedback). Make use of existing practices, such as pair programming. Work with the delivery manager to identify training and growth opportunities. Recommend personal growth paths in conjunction with Delivery Manager.
Help articulate and eliminate team blockers with the Delivery Manager (as needed).
Participate in architecture and software design with the Squad - in general, encourages the team to work on new ideas and emergent, iterative design. Focuses on constructively arguing against solutions that are not a fit, if necessary.
Partners with the Product Owner (presenting Playback, keeping focus on business value, etc.) as needed to support the overall Squad's delivery.
A strong willingness to learn and the ability to show vulnerability when you do not know something All you'll need for success


Proven experience in at least one object-oriented language
Proven experience in at least one web framework, preferably including Spring, Spring Boot, or ASP.NET Core
Proven experience in SQL and ability to design relational database schemas
Ability to function in a Linux/Unix environment using shell commands
Ability to scrutinize applications and services to ensure they adhere to security standards

Preferred Qualifications


Working experience building business-critical, Internet scale distributed systems or high-volume client/server systems
Ability to work as part of a team, always keeping the team's goal in mind
Experience using source control management systems
Exposure to using continuous integration/deployment environments
Experience delivering software using an Agile methodology like Extreme Programming, Kanban, or Scrum


Test Driven Development (TDD)
Testing Pyramid
Multi-threading and concurrency
Debugging, performance profiling and optimization
Object-oriented and service-oriented application development patterns
Bachelor's degree in Computer Science, Computer Engineering or related fields or equivalent experience
Internally motivated, able to work proficiently both alone and in a team environment
Adept and comfortable communicating with internal team members and external business stakeholders
Demonstrated ability to find creative ways of improving and simplifying solutions, systems, and processes without getting bogged down in blockers or bottlenecks

We may also consider a Senior role for you if in addition, you have at least 4 of the following:
Experience leading and managing small to medium-sized development teams of between 5 and 25 developers
Previous experience founding or working as a founding engineer at a technology startup from concept to MVP and subsequent releases
Previous experience as a designer, product owner/manager, or business role (marketing, sales, finance, etc.)
Production DevOps experience and the ability to build CI/CD (Jenkins) pipelines
Experience writing production shell scripts in a Linux/Unix environment
Proficiency in Full Stack Development
Proficiency and demonstrated experience in the following technologies:
Java, JSP, JMS, JAXB, JDBC, EJB
Hibernate, Oracle, Object/Relational Mapping, Query performance tuning
Cloud Foundry
Tomcat, tcServer, Websphere
REST/SOAP (JSON/WSDL/XML)
Spring Framework, Spring Boot
Angular JS, Ext JS, CSS, jQuery, AJAX
Maven, Gradel, Git, Junit, Mockito
Selenium, Nexus Repository, Hygieia, SonarQube, Fortify on Demand, Slack, GitHub, Jenkins, ElasticSearch, Logstaash, Kibana, New Relic
Linux/Unix shell Scripting, JavaScript, IBM MQ/Rabbit MQ, Tivoli Scheduler, SQL Developer, IDE
Proficiency in object-oriented design techniques and principles
Proficiency in Microsoft Office Tools (Project, Excel, Word, PowerPoint, etc.)
Experience in Agile methodologies, such as SCRUM
Experience in DevOps Toolchain methodologies, including Continuous Integration and Continuous Deployment What you'll get
Feel free to take advantage of all that American Airlines has to offer:
Ready to explore the world? You, your family and your friends can reach 365 destinations on more than 6,800 daily flights across our global network.
On day one, you’ll have access to your health, dental, prescription and vision benefits to help you stay well. And that’s just the start, we also offer virtual doctor visits, flexible spending accounts and more.
We want you to be the best version of yourself – that’s why our wellness programs provide you with all the right tools, resources and support you need.
Available upon hire and, depending on the workgroup, employer contributions to your 401(k) program are available after one year.
Other great benefits include our Employee Assistance Program, pet insurance and discounts on hotels, cars, cruises and more Feel Free to be yourself at American
From the team members we hire to the customers we serve, inclusion and diversity are the foundation of the dynamic workforce at American Airlines. Our 20+ Employee Business Resource Groups are focused on connecting our team members to our customers, suppliers, communities and shareholders, helping team members reach their full potential and creating an inclusive work environment to meet and exceed the needs of our diverse world.

Are you ready to feel a tremendous sense of pride and satisfaction as you do your part to keep the largest airline in the world running smoothly as we care for people on life’s journey? Feel free to be yourself at American.
Phoenix, AZ; Dallas/Ft Worth, TX
53201",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018469e7c94a80c5364bd8f16904&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_413dd210&cb=1668224119000&jobListingId=1007734027611&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghkufic4kcml801-1ghkuficoi150800-4ed3c026c5aa8a51--6NYlbfkN0ARuMejnvKEd4cUpc0c9rSWr0lG7Ey6gK7JpaAb36G3uvgem8VcXcXPnh1cYJk5W9UGSi9FO1civwm_wwaN5MksWhSyEjlaEBdt4Uak8RTuLDYpfy3LRGCjGEGUaSpcXF-7M-nTzeY2Htq_cqJI4oQF5UIwejPk7ohkiJlAM5tO1gNWH6rEpW-OfEdj5WfJzhC3PC0kmrHVBEKwlROUNIFijW5pX5tZsb-DydWHqzX5MaHRpofqcVNh0QJq_hAM8wnJ-pGiCpF-jUn7G_D7K704YfnPNEJdVFTG8e9Lav4maB1ziH3ep6ZdXIPcM12E_zyow6Gh_ynyp7cMtnga5rdd4_xQ80SABDU9Jo_67MzyTLwuCdiM6U_C460zUiNr-c5kztDvvkrjgcxqUGTiZbpkRIORZGkwY9yhqW9EPlxetze_kpP0b9IALEhSatW50j5LzDTbR_Bh3_QgS7XKWZRKcgJ9n3vFU_7wCxjTddXhTJj1ltXhI4-RV9i12FY0V-Vfd-e6xwWQ9juBSFTTXfZDRIfsZmCuSPA%3D
"['MATRIX Resources', '4.3']",http://www.matrixres.com/,"Developer/ Senior Developer, IT","Dallas, TX",$84K - $120K (Glassdoor est.),"Leverage the latest technology to solve business problems in a collaborative environment at this Fortune 500 transportation giant. Top technical resources are retained on long term contract engagements.

Position: Developer, IT Applications
Location: Phoenix, AZ
Term: 2 months
Minimum Qualifications - Education & Prior Job Experience
Bachelor's degree in Computer Science, Computer Engineering, Technology, Information Systems (CIS/MIS), Engineering or related technical discipline, or equivalent experience/training.",11d,
"['TEKsystems', '4.1']",http://www.teksystems.com/,"Developer/ Senior Developer, IT","Dallas, TX",$84K - $120K (Glassdoor est.),"Equivalent Experience
American Airlines is looking for experienced Software Developers. As a Software Developer at American, we expect you to be empathetic towards customers. American believes our purpose is to care for our people on life's journey, customer or employee. We want teams to let that care guide how we work and what we build. As a senior developer on a product team at American you will create awesome experiences. Teams own those experiences from conception to production - for tens of thousands of employees and millions of customers.
Our goal is to create an enviable, engineering-centric workplace. What does that mean? Deploying is painless, you have a strong voice, we experiment with our products, and we exploit new technologies to continuously improve how we work. Of course, we also want to make sure we are having fun, working with, and caring for amazing people.
Successful Software Developers at American excel in three key areas:",9d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018469e7c94a80c5364bd8f16904&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5b1a23b5&cb=1668224123185&jobListingId=1008251974118&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkufic4kcml801-1ghkuficoi150800-ba73ccb0ed5fc6e9--6NYlbfkN0AuKz8EBO1xHDEL7V2YF9xF3dC_I9B9i-Zw2Jh8clPMK3KTieKealHQySFBD4L6FvNX_PMZtk2qarzKEGEMqULih6ijipv_f2MffNd7ctVRcWvc_aGX1exlAXDJNhkhUp8w2jmh8JKN5FQrpSGRZ5NJC_Yt1Ga1mKlA8j5nqpT71CNaj8U3E5FEeQrNjokPBBziFvpi5ofEhGM1LlCvhLpKgGDZw9SuE6pv9uHqCYeVBLysBTmgvzp56KG2GpXJqPOGH-XkZ4siRvlUljDdo10iPIKNN8KtUkmRTh1nKAZIdAsOhhMIUaoo1BwIM6eu0ULESyYxh_r7zDS0_VjeGhd6pPatdIgucfhVmwx9XsSZ0lfiTevkI2OD7i7_Hz6HHiHnXBUMN2-_vkyTbfia91i_gjCETWeBNGjRZarWaoaSMFWWjADh0Cla8JwhTZO_ZdagOyw9JquuCpgpfpFy9KyZWeAIIbYsedB-f4TlQBspohA997kfFFk-gBLZWfYH92nHkJoYBmiJceCtoQgMLBHWygLK8SlH4GHJXG9YDBgIrZR9XAocPpVECVlA4oIRwqKK4it1FUlDIg_zLlp-Cwh0rjGYPrLr91HK4d_3U1joS3D3NDwInUSM7-uEA8kHKoLiWNRD0aCYboAHkL_ARNuCKOE-w0rJieMYGto8Q111h21HGb351nzHo_XQAEH9diP2OJtDhHcbxhIQihwagCRr9--XSaOgP3arue6C-A8zIMJQvW5OSdxIljtqLUDGSD69v983FcqOyIgCAsiUNMF_kl13GLy2m9cfITd_y3VP3mzsg6b-_-bq3VntEuiegDTiZTsuyOJYCxMF7bUtTyLWMhdADyKuRbjGYb2iw5MflNlbKcx0_MxkMLT_UcWPouAAwqTOaOrMPreASn11PFmNZasUOk-KZSJAKlAoLlsiitjSmE47XrFZ97C5q6qg4dGtbKLKBpDqT94dv3ugL-pT5UoXoh8We0s%3D
"['MATRIX Resources', '4.3']",http://www.matrixres.com/,"Developer/ Senior Developer, IT","Dallas, TX",$84K - $120K (Glassdoor est.),"Leverage the latest technology to solve business problems in a collaborative environment at this Fortune 500 transportation giant. Top technical resources are retained on long term contract engagements.

Position: Specialized Developer IV
Location: Fort Worth, TX
Term: 3 months

Day-to-Day Responsibilities:
Collaborates with leaders, business analysts, project managers, IT architects, technical leads and other developers, along with internal customers, to understand requirements and develop needs according to business requirements.",30d+,
"['American Airlines', '3.8']",http://jobs.aa.com/,"Developer/ Senior Developer, IT","Dallas, TX",$84K - $120K (Glassdoor est.),"Location: DFW Headquarters Building 7 (DFW-SV07)
Additional Locations: None
Requisition ID: 63979
Intro
Are you ready to explore a world of possibilities, both at work and during your time off? Join our American Airlines family, and you’ll travel the world, grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life. Feel free to enrich both your personal and work life and hop on board!
Why you'll love this job",24h,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018469e7c94a80c5364bd8f16904&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_07c36b35&cb=1668224129895&jobListingId=1008274803897&jrtk=3-0-1ghkufic4kcml801-1ghkuficoi150800-c10fd7bb6b9eff70-
"['American Airlines', '3.8']",http://jobs.aa.com/,"Developer/ Senior Developer, IT","Dallas, TX",$84K - $120K (Glassdoor est.),"Location: DFW Headquarters Building 8 (DFW-SV08)
Additional Locations: None
Requisition ID: 60430
Intro
Are you ready to explore a world of possibilities, both at work and during your time off? Join our American Airlines family, and you’ll travel the world, grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life. Feel free to enrich both your personal and work life and hop on board!
Why you'll love this job",1d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018469e7c94a80c5364bd8f16904&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_122e7806&cb=1668224133866&jobListingId=1008273032941&jrtk=3-0-1ghkufic4kcml801-1ghkuficoi150800-bb8c7fa563677ac4-
"['American Airlines', '3.8']",http://jobs.aa.com/,"Developer/ Senior Developer, IT","Dallas, TX",$84K - $120K (Glassdoor est.),"Location: Rio West A Bldg (PHX-RWA1)
Additional Locations: Dallas/Ft Worth, TX
Requisition ID: 62836
Intro
Are you ready to explore a world of possibilities, both at work and during your time off? Join our American Airlines family, and you’ll travel the world, grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life. Feel free to enrich both your personal and work life and hop on board!
Why you'll love this job",26d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000018469e7c94a80c5364bd8f16904&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_805a62bb&cb=1668224137621&jobListingId=1008210502271&jrtk=3-0-1ghkufic4kcml801-1ghkuficoi150800-4946301cc8fa7aec-
"['American Airlines', '3.8']",http://jobs.aa.com/,"Developer/ Senior Developer, IT","Dallas, TX",$84K - $120K (Glassdoor est.),"Location: DFW Headquarters Building 8 (DFW-SV08)
Additional Locations: None
Requisition ID: 53447
Intro
Are you ready to explore a world of possibilities, both at work and during your time off? Join our American Airlines family, and you’ll travel the world, grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life. Feel free to enrich both your personal and work life and hop on board!
Why you'll love this job",19d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018469e7c94a80c5364bd8f16904&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a8f1026c&cb=1668224140766&jobListingId=1008227775460&jrtk=3-0-1ghkufic4kcml801-1ghkuficoi150800-bb4af8d6531120f3-
"['American Airlines', '3.8']",http://jobs.aa.com/,"Developer/ Senior Developer, IT","Dallas, TX",$84K - $120K (Glassdoor est.),"Location: DFW Headquarters Building 8 (DFW-SV08)
Additional Locations: None
Requisition ID: 63964
Intro
Are you ready to explore a world of possibilities, both at work and during your time off? Join our American Airlines family, and you’ll travel the world, grow your expertise and become the best version of you. As you embark on a new journey, you’ll tackle challenges with flexibility and grace, learning new skills and advancing your career while having the time of your life. Feel free to enrich both your personal and work life and hop on board!
Why you'll love this job",1d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018469e7c94a80c5364bd8f16904&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_40dcf893&cb=1668224142453&jobListingId=1008273032945&jrtk=3-0-1ghkufic4kcml801-1ghkuficoi150800-0c66c2d0cb58e7ea-
"['Hawaiian Airlines, Inc.', '3.8']",http://www.hawaiianairlines.com/,"Developer/ Senior Developer, IT","Dallas, TX",$84K - $120K (Glassdoor est.),"At Hawaiian Airlines, we are all about welcoming our guests with Hawaiian hospitality and aloha, and taking care of our people, our home, and the communities we serve. Join our ‘ohana and be a part of an exciting team of professionals dedicated to serving our kama‘āina and introducing our islands to the world!
Position Summary
Data and Common Services Software Development Engineers (SDEs) are the main contributors to the code powering our common services solutions. SDEs work with the Solution Architect's designs to create detailed technical specifications and implement code that meets our standards for quality, maintainability, performance, and security and ensure they are implemented by the team through code reviews.
A Data and Common Services SDE work with Senior SDEs to provide direction and mentorship to other SDEs. SDEs are expert coders, make implementation design decisions and able to solve complex problem under pressure within the systems integration space. They ensure comprehensive unit, integration, performance, and load tests are implemented, and are able to accurately estimate their time and effort to solve an issue and be an integral part of an agile work team.",30d+,
