Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['American Electric Power', '3.9']",http://www.aep.com/,Mainframe Developer - CCR Team,United States,$80K (Employer est.),"This position is Remote. Candidates will be considered based on their qualifications and the candidate’s ability to work from an approved work location. Although the location is flexible, AEP does not have a presence in all states and localities. The following locations are NOT currently approved for this position: AK, CO, CT, DE, HI, IA, ID, KS, MA, ME, MS, ND, NH, NJ, NM, NV, NY, OR, RI, SD, UT, VT, WY, US Territories or international work locations. AEP will consider qualified candidates who are willing to relocate to an approved work location, at the candidate’s expense, provided the relocation can be completed within a timeframe that meets AEP’s staffing needs. NOTE: All remote work locations require vetting and final approval prior to offer and/or start date. Any work locations listed as preferred or unapproved relate specifically to the requirements for this position and are not necessarily applicable to other posted positions.

Part of a larger team delivering high quality technology solutions to the business. Design, develop and install software solutions. Build high-quality, innovative and fully performing software in compliance with internal architecture, development & design standards & best practices. Design, modify, develop, write, implement and troubleshoot software programming applications. Support and/or install software applications. Participate in the testing process through test review and analysis, test witnessing and certification of software. Works within a Waterfall or Agile methodology/framework based team. Collaborates heavily with Project Management, Business Analyst and Infrastructure Job Families.
ESSENTIAL JOB FUNCTIONS are listed below:",24h,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469f61f7eb6954b95450fb8bd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8d4b7a80&cb=1668225054668&jobListingId=1008274808923&jrtk=3-0-1ghkvc7tpkcnq801-1ghkvc7uai39u800-c36772dd9a1e6db4-
"['American Electric Power', '3.9']",http://www.aep.com/,Mainframe Developer - CCR Team,United States,$80K (Employer est.),"This position is Remote. Candidates will be considered based on their qualifications and the candidate’s ability to work from an approved work location. Although the location is flexible, AEP does not have a presence in all states and localities. The following locations are NOT currently approved for this position: AK, CO, CT, DE, HI, IA, ID, KS, MA, ME, MS, ND, NH, NJ, NM, NV, NY, OR, RI, SD, UT, VT, WY, US Territories or international work locations. AEP will consider qualified candidates who are willing to relocate to an approved work location, at the candidate’s expense, provided the relocation can be completed within a timeframe that meets AEP’s staffing needs. NOTE: All remote work locations require vetting and final approval prior to offer and/or start date. Any work locations listed as preferred or unapproved relate specifically to the requirements for this position and are not necessarily applicable to other posted positions.

Part of a larger team delivering technology solutions to address business problems and opportunities. Focus on translating specific business requirements into technical solution architectures including application architecture, integration architecture, data architecture, and non-functional requirements around supportability, resiliency, security, etc. Translate general business requirements and business trends in architecture patterns and technology ecosystems including data center architecture, application architecture patterns, integration architecture patterns, technology standards, non-functional technical requirements, and computing paradigms.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469f61f7eb6954b95450fb8bd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ced58238&cb=1668225057462&jobListingId=1008074233520&jrtk=3-0-1ghkvc7tpkcnq801-1ghkvc7uai39u800-c07e5d32a449d1e7-
"['American Electric Power', '3.9']",http://www.aep.com/,User Experience Designer Associate,Remote,$58K (Employer est.),"This position is Remote. Candidates will be considered based on their qualifications and the candidate’s ability to work from an approved work location. Although the location is flexible, AEP does not have a presence in all states and localities. The following locations are NOT currently approved for this position: AK, CO, CT, DE, HI, IA, ID, KS, MA, ME, MS, ND, NH, NJ, NM, NV, NY, OR, RI, SD, UT, VT, WY, US Territories or international work locations. AEP will consider qualified candidates who are willing to relocate to an approved work location, at the candidate’s expense, provided the relocation can be completed within a timeframe that meets AEP’s staffing needs. NOTE: All remote work locations require vetting and final approval prior to offer and/or start date. Any work locations listed as preferred or unapproved relate specifically to the requirements for this position and are not necessarily applicable to other posted positions.

User Experience Designer Associate Position Summary

The energy industry is transforming. Customer and employee expectations for great experiences with AEP continue to increase. As a User Experience Designer Associate you will join a Human-Centered Design and User Experience team whose mission is to provide effective, efficient, and enjoyable products, services, and processes for our 5.5 million customers and 16,800 employees across AEP’s entire product offering.

As part of the Automation & Design Center of Excellence, our team plays an integral part in gathering insights about user needs, attitudes, emotions, and behaviors to inspire and inform design. We have deep empathy for our users and strive to create experiences that make their lives better. We help teams create experience visions, and we leverage our skills as human-centered designers to help determine the pathway to achieve that vision.

On a given day, our team could be helping craft a new experience on our web site aimed at improving task completion, leading a group of internal subject matter experts through an ideation exercise for a new product, or could be helping business units operate more efficiently by improving their process through design thinking and strategy.

As a UX Designer Associate, your main roles will be varied and interesting. We don’t expect you to know everything on day one! Ideally, you should have a general understanding of the design and UX and development lifecycles, with experience in some of the following areas:

In addition to the requirements of the position, our culture of communication and collaboration helps us succeed. As a UX Designer Associate, you should have the ability to build positive, collaborative relationships across our team, the project, business units, and job functions. Ideally, you’ll have great communications skills, and a healthy aptitude towards learning and experiencing the following:",24h,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469f657eabfe6673ed5ff9865&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_35be13f3&cb=1668225069059&jobListingId=1008274809041&jrtk=3-0-1ghkvcm10kuil801-1ghkvcm1mh4f9800-7522eb9252efa4bf-
"['Gant Travel', '4.2']",http://www.ganttravel.com/,Scrum Master/Project Manager,Remote,$60K - $85K (Employer est.),"The Project Manager (or scrum master) is responsible to effectively and efficiently manage the development sprints from planning to execution to review in an agile development environment. Your role will include running daily scrums, managing the product backlog, collaborating on requirement documentation, managing support tickets, and unblocking barriers to keep the team moving
At Gant Travel, world-class people and technology work together seamlessly with the goals to be digitally driven, data focused, and provide unrivaled support.
For the last 10+ years, most of our team has worked from home, and so will you. We have found that hiring the best of the best can only happen when you have no boundaries. We’ve mastered the “work from home community” and have the tools and processes in place to allow you to feel connected to your supervisor, your team, and the entire company all from the comfort of your home. We’re getting better all the time at making big things feel small and personal. With ~100 employees, we're large enough that you have the necessary resources to do your job well, but small enough that you can see the impact of your work.",8d,
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Scrum Master/Project Manager,Remote,$60K - $85K (Employer est.),"Comparion's National Strategy & Enablement Team is looking for a Project Manager to support our national relationship with Safeco. This role will be responsible for ensuring that all of Comparion, both employee and partner agents, are growing profitably with Safeco by managing day-to-day operations as well as identifying opportunities and implementing solutions for Comparion to be successful in the long term.
The Project Manager will collaborate with Safeco leadership, Comparion's regional and local leadership teams, and other members of the NS&E team to address issues, solve problems, and implement solutions. They will be responsible for building, implementing, and maintaining an end-to-end process that takes feedback from the national level and turns it into actions on the front lines.
The ideal candidate will have:
The ability to influence people across organizational boundaries without direct authority







Bachelor's Degree
16",1d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018469f6876899cee9a749ab4b67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cf8132d8&cb=1668225087165&jobListingId=1008271639608&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkvd1tai9ht801-1ghkvd1tug4f7800-29bddde2e8d8076a--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt5yom4fGVgbAAWcLK0ZvsqlV7fvCmyphOPdfk_3OFogu5ccdu8VrKwvS3WgjsVFKfQR6Y1QYWHKm3GezlZ02d8Ll_m6xlLrgfy5x8WuLIY3h-Z2etnmj0N8NdKawWRq-4tG-e54Z2eis74mlCJVGM-LKn20fHlt19ieMJTTHOVFANCGxXN1NfbHUFclLzYIjAxah7RJVma_PTi4tPd64OeZ_NADjmPFJAeuCuZeIS4P6iviIKFSmIUNKIdVfYzrEhJMoG7kl_zScgTIeXa671UoOhnZ6KTBh0XH8XNfPEaLpFCb0nkTgbJW9eRhhz4QJy45GmyX21eP-fn72_JmMl5cp9p3i6WV5fGUT9BId11NiLb90i-vmqxlS2qgn212nKjcFx48wyBCPAhqBuW2UM8ar7wL83FASbQdUGWTccuGjBpfoMNXJs4d7-r9nNmrJPhelWQE20BNqJU8jo5o6mj_Q0cNZpKhXbRXQJ2W4N57pOerqNK8DkZMPQVsAO9sS3tLDCLy2nNRpulhXH6G2Q2TlGeKOQrAFT-CvHjIf3k_bP0RUvtLp3dUqy5OPdRn2u5RH6uUIb2JTZIXmoOFGOfo%3D
"['iTalent Digital', '4.4']",http://www.italentdigital.com/,Scrum Master/Project Manager,Remote,$60K - $85K (Employer est.),"iTalent Digital is seeking a Senior Technical Project Manager, Enterprise Services & IT Infrastructure to join our client's Technology team.
In this role, the ideal candidate will drive complex technical projects within our IT Services group that focus on site buildouts, relocations, Telecommunications & AV solutions and other operational work. In this role you will report to the program manager within PMO, and be a peer to engineers & analysts. You will also be expected to work closely with the Build Director of these initiatives and support key planning strategies.
Required qualifications and skills:
Create, track, and status project plans including: milestone schedules, scope, resource plans, budgets and cross functional dependencies",3d,
"['Cushman & Wakefield', '3.8']",http://www.cushmanwakefield.com/,Scrum Master/Project Manager,Remote,$60K - $85K (Employer est.),"Job Description Summary
Under the general direction of the Project Manager, the Assistant Project Manager provides diverse project management support functions for design, construction and modernization projects.
Oversee and maintain project files, post changes to drawings and specifications, manage and track correspondence between the owner, architect and the contractor, and distributing reports.
Serve as a backup to the Project Manager and participate directly in Project Management initiatives in the absence of the Project Manager.
Assist in the assembly of weekly departmental reports for executive management and master schedule development, supervise preparation of project budget reports, assist in activity tracking and expediting, and work on special assignments as needed.
Job Description
SCOPE OF RESPONSIBILITY:
Assist with managing all phases of a project including planning, design, construction, FF&E, technology, move management, and occupancy
Compile project scopes, budgets and schedules
Read and understand documents defining project, including but not limited to: agreements, leases, work letters, project charters, surveys, budgets, schedules, and drawings
Establish and maintain client focus through performance goals, deliverables, reports, and value-added services
Prepare project status reports, process purchase orders, update tracking reports, and maintain files for due diligence and financials
Procure and manage local architects, engineers, general contractors and subcontractors, and specialty vendors
Ensure all project participants understand project goals, assumptions, constraints, and deliverables
Provide superior client service to internal and external clients
May have full ownership and responsibility for smaller, less complex projects

Bachelor's degree in Architecture, Engineering, Construction Management or related field.
1-3 years of experience
Developing project management skills with understanding of project management business
Able to develop excellent client relations, client management and consultation skills
Highly organized with strong research, organizational, and analytical skills
Excellent oral and written communication skills
Ability to prepare, track, and manage project scopes, costs, and schedules
Familiarity with architectural/engineer drawings, space planning concepts, furniture systems and ancillary products, and technical systems
Microsoft Office Suite, MS Project, Adobe Acrobat
“Cushman & Wakefield is always looking for great talent to join our team. We are currently building our talent pipeline for future business wins. Please view and apply if you are interested in learning more about this potential opportunity and any others we expect to have open shortly.”",30d+,
"['Nightingale College', '3.1']",https://nightingale.edu/,Scrum Master/Project Manager,Remote,$60K - $85K (Employer est.),"Position Summary
The Project Manager, Information Systems will serve as the driver and key point of contact for department leaders and Information Technology project delivery members on cross-functional projects and will manage projects using Agile methodologies to consistently deliver product department projects on time, within scope, and within budget to support functional effectiveness in delivering mission outcomes.


Essential Function and Responsibilities:
Creates project artifacts such as project charter, project plan, communication plan, and other necessary resources to support project delivery",2d,
"['Lowes Pro Supply', '3.4']",http://jobs.lowes.com/,Scrum Master/Project Manager,Remote,$60K - $85K (Employer est.),"Sr Technology Project Manager JR-01370408
Job Summary
The primary purpose of this role is to have single-threaded ownership of delivering E-procurement and EDI implementations. This includes responsibility for developing work plans to meet Technology priorities and deadlines, determining and carrying out technical processes, coordinating resources to accomplish goals, partnering internally and externally to drive timely and effective decisions, and identifying and responding to opportunities for program process improvements. Overall, this role manages E-Procurement and EDI implementations that play an important role in moving the organization forward.
To be successful, the individual in this role must leverage a background working directly with or in the technology function, working with external customers, and apply deep expertise in IT related project/program management.",30d+,
"['The Pokémon Company International', '4.2']",https://corporate.pokemon.com/en-us/,Scrum Master/Project Manager,Remote,$60K - $85K (Employer est.),"Get to know The Pokémon Company International
The Pokémon Company International, a subsidiary of The Pokémon Company in Japan, manages the property outside of Asia and is responsible for brand management, licensing, marketing, the Pokémon Trading Card Game, the animated TV series, home entertainment, and the official Pokémon website. Pokémon was launched in Japan in 1996 and today is one of the most popular children's entertainment properties in the world.
Learn more online at Pokemon.com and on Facebook (facebook.com/pokemon), YouTube (youtube.com/pokemon), Twitter (twitter.com/pokemon), and Instagram (instagram.com/pokemon).",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018469f6876899cee9a749ab4b67&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_83bca3d8&cb=1668225104801&jobListingId=1008188166457&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkvd1tai9ht801-1ghkvd1tug4f7800-fde8cbac8fbf9ec5--6NYlbfkN0CsgUO0V2fSZxJANSxJiftVXeq1wpG4BxYFHzXoW0hPJi2uMgCEq_4X2jF6uQxY9p6V8E6N9DPW75lWXb3RYg7f1KeKX241AMl9R7HaNgvC0Zo1vlmWyG1OWg7Uy9354P0S9b4QNMrKn9a3ZudIBIXtiCseP8aPnqWZxVW80uMuDYOZUWFPVXqa4QZGsX7fRQ5nMzGomnCXIFczuAil0FkDbGUFkwzDJUtoNJmlgIaSN7kQz2CTXWtQkP-CdqPVQDzW89KkR_ZtUJvSOI11d-rgoR77bQHJVvMnOHfW75l45-SL8xey0Kj9BTjlL_Nnkbob9TCS2d92t9alYlNyV8Q3NSabKnAIFMB4tW3PORu0nOaZlzWC7dTAHOciEr3UGPwo6TPR7DthAXwlCyiFqmYFR-HAMY9jVf2-NxFmPzR6rUj2V8hvq-TZgYjOFdOA8a2cUClDF_5cGm7V01msIMzHknrtaYu_wwLWxZWyIknr86KbFbFDY8z3YiuyaPxIsMpgsikb01wbisb3b3tUt8Hge_y_-nEkF0VFoX5s4mGDFhHFrgiN8SFzISjzYEHcTLCl9NcQQOUv1c9rzPDAggr8iULlOxh2GKgVcAXE1GLyWb-RZNQ_aJ_qmDVuhKGVGf87a2G7m9zdrfWf7at20PMatOYm0tDAdCEV2meKFaFAXNsWMGPiyBak_ZegIgPQfcxeJh2JiZxP4FzLhrktLh_0T9V-bCK6dL6EMEG97_w7_ZOHBlLl256VcakOtHDk2FcPGedXw5BUrYB3-tydfIyrnuFCyvpufgc4ftoWt3MgohIjfowF9J_sxg_gkyI6fM9cb2g0g26NiOuvPSfHEP9n0LG5kXgMPn0VgqMDZ8MlBRg-1jVTylx0ACUYl-55vGoeULPoPZ__YnIb5w4ruQAArf0S0GCn_tJIaHdM8VGrKuQcmFCoKYr6XEKe9WGg6Fs%3D
