Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['American Express Global Business Travel', '3.8']",http://www.amexglobalbusinesstravel.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"Brand Specific Description:
Launched in 2002, Egencia has become the world's leading digital corporate travel platform because of our commitment to delivering a higher standard of corporate travel service and innovative technology. Our success is directly attributed to our customer's ability to move businesses ahead, through their valued relationships with our company and more importantly, with our people. Led by an experienced, forward-thinking management team, Egencia has continued to expand its offering of intuitive online tools and comprehensive agency services while maintaining its reputation for superior customer service.
Position Overview:
We are seeking a highly motivated engineer with a passion for technology to contribute to our vision of providing unparalleled customer service experiences at Egencia. As a Software Development Engineer I, you will be part of an agile development team that works on projects that directly impact how our users interact with and experience our platform. We have a very experienced, successful, and hard-working multi-functional team that works in a fast-paced environment and on highly visible projects.
Responsibilities:
You will collaborate with team members to co-develop and solve problems
You will take advantage of opportunities to build new technical expertise in a specific engineering area
You will understand the importance of system and technology integration and the basic features and facilities involved in the integration process
You will apply software design principles, data structures and/or design patterns, and computer science fundamentals to write code that is clean, maintainable, optimized, and modular with good naming conventions
You will help coordinate stakeholder input and collaboration efforts when developing solutions to issues
You can apply formal training methods to the current workload. You feel comfortable challenging authority/the status quo
You report clearly on the current work status. You ask challenging questions.
Competencies:
Experience crafting performant web applications using Java, Kotlin, JavaScript, React, and/or Spring
Strength in a language, moderate familiarity with other applicable languages
Familiarity with a couple of data stores or API access patterns and integration
Familiarity with associated technologies within your specialization as part of the wider ecosystem
Understanding of how projects fit together within your team
Able to understand moderately complex systems
Ability to test and monitor your own code
Knowledge of testing and monitoring tools
Ability to debug applications
Understanding of how teams' goals fit a business need
Experience and Qualification:
0-2 years of industry software development experience in a team environment
Bachelor's/Master's in Computer Science or related technical field; or equivalent related professional experience.
Relocation (Y/N): N

United States - Illinois - Chicago",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_edb438c3&cb=1668243809605&jobListingId=1008269176232&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-c66f427389f4a290-
"['American Express Global Business Travel', '3.8']",http://www.amexglobalbusinesstravel.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"Brand Specific Description:
Launched in 2002, Egencia has become the world’s leading digital corporate travel platform because of our commitment to delivering a higher standard of corporate travel service and innovative technology. Our success is directly attributed to our customers' ability to move businesses ahead, through their valued relationships with our company and more importantly, with our people. Lead by an experienced, forward-thinking management team, Egencia has continued to expand its offering of intuitive online tools and comprehensive agency services while maintaining its reputation for superior customer service.

Position Overview:
Egencia Chat Team is seeking a Software Development Engineer III to join our team of experienced software developers. The Chat Team's responsibilities span front-end web development to back-end travel services. We are looking for someone who can leverage their deep technical knowledge, passion for solving real-world business problems, and dedication to innovative thinking to ensure Egencia continues to be the technology leader in the corporate travel space.

Responsibilities:



Washington - MidStation Bellevue",2d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8269dae8&cb=1668243813291&jobListingId=1008269176052&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-769d21af9133b932-
"['American Express Global Business Travel', '3.8']",http://www.amexglobalbusinesstravel.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"Brand Specific Description:

Position Overview:

Responsibilities:

Competencies:

Experience and Qualification:

Relocation (Y/N):

Location
United States - Illinois - Chicago",4d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5c5d2296&cb=1668243817248&jobListingId=1008263531508&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-f8387c99e53ea855-
"['American Express Global Business Travel', '3.8']",http://www.amexglobalbusinesstravel.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"Brand Specific Description:
Do you want to join the team that is continually redefining business travel management? As a Software Development Engineer I on the Egencia Client Reporting team, you'll build products that enable our customers to get insights into their travel data in a timely manner.

Position Overview:
You are responsible for building and debugging of scalable distributed systems, with experience in Java, Javascript, and automated unit, functional and integration testing. In this critical role, you will help shape the future of client BI in business travel.

Responsibilities:
Analyze requirements, and collaborate with Product and Engineering on decisions
Drive small non-complex initiatives independently

United States - Washington",6d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0f80c4aa&cb=1668243821114&jobListingId=1008259185482&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-ab984d913d75a68e-
"['American Express Global Business Travel', '3.8']",http://www.amexglobalbusinesstravel.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"Software Development Engineer II

The Egencia Homepage team is seeking an experienced Software Engineer to join our experienced team to build and evolve the home page of our product! Users land upon this experience after logging in and is a key opportunity to surface relevant information for their awareness as well as using our data to make the user’s intended task more efficient and effortless. This team also owns our travel advisory offering, which assists clients and travelers when navigating through the complexities of governments' travel advisories. The Homepage team’s scope of work spans front-end development through back-end services to their databases. We are looking for someone passionate about technology to apply best-in-class practices, creative problem-solving, and innovative thinking to our business problems!

Launched in 2002 as Expedia Corporate Travel, Egencia has become the world’s leading digital corporate travel platform because of our commitment to delivering a higher standard of corporate travel service and innovative technology. Our success is directly attributed to our customers' ability to move their businesses ahead, through their valued relationships with our company and more importantly, with our people. Lead by an experienced, forward-thinking management team, Egencia has continued to expand its offering of intuitive online tools and comprehensive agency services while maintaining its reputation for superior customer service.

What you’ll do:

You will collaborate with team members to co-develop and solve problems

You will take advantage of opportunities to build new technical expertise in a specific engineering area

You will understand the importance of system and technology integration and the basic features and facilities involved in the integration process

You will apply software design principles, data structures and/or design patterns, and computer science fundamentals to write code that is clean, maintainable, optimized, and modular with good naming conventions

You will help coordinate stakeholder input and collaboration efforts when developing solutions to issues

You can apply formal training methods to current workload. You feel comfortable challenging authority/the status quo

You report clearly on current work status. You ask challenging questions when empowered to do so

Who you are:

Bachelor's degree or Masters in a related technical field; or equivalent related professional experience

1+ years of industry software development experience in a team environment

Experience crafting performant web applications using Java, Kotlin, JavaScript, React, and/or Spring

Strength in a language, moderate familiarity in other applicable languages

Familiarity in a couple data stores or API access patterns and integration

Familiarity with associated technologies within your specialization as part of the wider ecosystem

Understanding of how projects fit together within your team

Able to understand moderately complex systems

Ability to test and monitor your own code

Understanding of testing and monitoring tools

Ability to debug applications

Understanding of how teams’ goals fit a business need

Washington - Seattle Campus",6d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_214713b4&cb=1668243823024&jobListingId=1008259186168&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-9167286b6701cd15-
"['Amex', '4.3']",http://www.americanexpress.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way.
When you join Team Amex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day. Here, you’ll learn and grow as we champion your meaningful career journey with programs, benefits, and flexibility to back you personally and professionally. Every colleague share in the company’s success.
Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to our customers, communities, and each other every day. And we’ll do it with integrity and in an environment where everyone is seen, heard and feels like they truly belong.",4d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d642ada5&cb=1668243825923&jobListingId=1008264229326&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-a14e29398bcdff24-
"['American Express Global Business Travel', '3.8']",http://www.amexglobalbusinesstravel.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"Are you a mid level engineer looking for growth opportunity? Egencia Platform team is looking for an engineer who is passionate about building quality software, seeks simple solutions to complex problems and is excited about trying new technologies. As part of this team, you will get to solve complex problems, work on latest technologies to improve Egencia's technology stack, get opportunities to make an impact for the whole organization.
Responsibilities
Design, develop, debug, and modify components of software applications and tools based on an understanding of business requirements
Define, develop and maintain artifacts like technical design and documentation
Communicate and work effectively with geographically distributed cross functional teams
Contribute to adoption of cloud-based technologies and good design practices, while finding opportunities to simplify and scale

Washington - Seattle Campus",6d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b045b749&cb=1668243829930&jobListingId=1008259185464&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-41ecd08a43721cc0-
"['Amex', '4.3']",http://www.americanexpress.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"You Lead the Way. We’ve Got Your Back.
At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way. When you join #TeamAmex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day.
From building next-generation apps and microservices in Kotlin to using AI to help protect our customers from fraud, you could be doing transformational work that brings our iconic, global brand into the future. As a part of our tech team, we could work together to bring ground-breaking and diverse ideas to life that power the digital systems, services, products and platforms that millions of customers around the world depend on. If you love to work with APIs, contribute to open source, or use the latest technologies, we’ll support you with an open environment and learning culture to grow your career.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c52a29c1&cb=1668243832720&jobListingId=1008145540367&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-38d676f65a5cfa66-
"['American Express Global Business Travel', '3.8']",http://www.amexglobalbusinesstravel.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"Software Development Engineer II

Egencia is one of the leading corporate travel management companies in the world. We work with clients around the world to ensure that their employees have a great experience when they need to travel for work.

We are seeking a highly motivated engineer with a passion for technology to contribute to our vision of providing unparalleled customer service experiences at Egencia. As a Software Development Engineer II, you will be part of an agile development team that works on projects that directly impact how our users interact with and experience our platform. We have a very experienced, successful, and hard-working multi-functional team that works in a fast-paced environment and on highly visible projects.

What you'll do:

Help build the next-generation travel web application with a focus on scalable and reliable services and an effortless customer experience

Work on all stages of a product from conception to completion

Develop features across both our desktop and mobile websites

Excel in communicating with teammates clearly and consistently

Participate in the resolution of production issues and lead efforts toward solutions

Contribute to vigilantly rewriting, refactoring, and perfecting code

Collaborate with team members to co-develop and solve problems

Take advantage of opportunities to build new technical expertise in a specific engineering area

Seek knowledge from subject matter experts when needed

Understand the importance of system and technology integration and the basic features and facilities involved in the integration process

Develop and test standard software applications and related programs and procedures to ensure they meet design requirements

Apply software design principles, data structures and/or design patterns and computer science fundamentals to write code that is clean, maintainable, optimized, modular with good naming conventions

Who you are:

Bachelor's or Masters degree in a technical field; or equivalent related professional experience

Equivalent experience includes:Developing software in a team environment of at least 5 engineers (agile, version control, etc.)

Building and maintaining a software project/product in production environments in public/hybrid cloud infrastructure

Experience in one or more of the following: Java and Java Frameworks, React.js, Node

Familiar with MVC framework and web services (REST)

Understanding of Object-Oriented Programming concepts, data structure, algorithms, and system-level programming

Ability to test and monitor your own code

Ability to debug applications

Experience with testing and monitoring tools

Solid design and development skills in Java, Junit

Familiar with Continuous Integration tools (Jenkins or similar)

Exposure to Unix/Linux systems is a plus

Understanding of Agile, Scrum, Kanban or other development processes and methodologies

United States - Illinois - Chicago",6d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2a345944&cb=1668243836873&jobListingId=1008259185562&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-663caf857ac12bad-
"['American Express Global Business Travel', '3.8']",http://www.amexglobalbusinesstravel.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"Software Development Engineer II

The Egencia Homepage team is seeking an experienced Software Engineer to join our experienced team to build and evolve the home page of our product! Users land upon this experience after logging in and is a key opportunity to surface relevant information for their awareness as well as using our data to make the user’s intended task more efficient and effortless. This team also owns our travel advisory offering, which assists clients and travelers when navigating through the complexities of governments' travel advisories. The Homepage team’s scope of work spans front-end development through back-end services to their databases. We are looking for someone passionate about technology to apply best-in-class practices, creative problem-solving, and innovative thinking to our business problems!

Launched in 2002, Egencia has become the world’s leading digital corporate travel platform because of our commitment to delivering a higher standard of corporate travel service and innovative technology. Our success is directly attributed to our customers' ability to move their businesses ahead, through their valued relationships with our company and more importantly, with our people. Lead by an experienced, forward-thinking management team, Egencia has continued to expand its offering of intuitive online tools and comprehensive agency services while maintaining its reputation for superior customer service.

What you’ll do:

You will collaborate with team members to co-develop and solve problems

You will take advantage of opportunities to build new technical expertise in a specific engineering area

You will understand the importance of system and technology integration and the basic features and facilities involved in the integration process

You will apply software design principles, data structures and/or design patterns, and computer science fundamentals to write code that is clean, maintainable, optimized, and modular with good naming conventions

You will help coordinate stakeholder input and collaboration efforts when developing solutions to issues

You can apply formal training methods to current workload. You feel comfortable challenging authority/the status quo

You report clearly on current work status. You ask challenging questions when empowered to do so

Who you are:

Bachelor's degree or Masters in a related technical field; or equivalent related professional experience

2+ years of industry software development experience in a team environment

Experience crafting performant web applications using Java, Kotlin, JavaScript, React, and/or Spring

Strength in a language, moderate familiarity in other applicable languages

Familiarity in a couple data stores or API access patterns and integration

Familiarity with associated technologies within your specialization as part of the wider ecosystem

Understanding of how projects fit together within your team

Able to understand moderately complex systems

Ability to test and monitor your own code

Understanding of testing and monitoring tools

Ability to debug applications

Understanding of how teams’ goals fit a business need

United States - Illinois - Chicago",6d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1b21c888&cb=1668243839746&jobListingId=1008259186098&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-44eae23d3b9d9c1e-
"['Amex', '4.3']",http://www.americanexpress.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way.
When you join Team Amex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day. Here, you’ll learn and grow as we champion your meaningful career journey with programs, benefits, and flexibility to back you personally and professionally. Every colleague share in the company’s success.
Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to our customers, communities, and each other every day. And we’ll do it with integrity and in an environment where everyone is seen, heard and feels like they truly belong. Join #TeamAmex and let’s lead the way together.",1d,www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c8fb578b&cb=1668243843647&jobListingId=1008270827036&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-43e99dc23be1c12e-
"['Amex', '4.3']",http://www.americanexpress.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way.
When you join Team Amex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day. Here, you’ll learn and grow as we champion your meaningful career journey with programs, benefits, and flexibility to back you personally and professionally. Every colleague shares in the company’s success.
Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to our customers, communities, and each other every day. And, we’ll do it with integrity and in an environment where everyone is seen, heard and feels like they truly belong.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=112&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6da5da9c&cb=1668243847424&jobListingId=1008189254353&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-057d8831e7276e9e-
"['Amex', '4.3']",http://www.americanexpress.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"You Lead the Way. We’ve Got Your Back.
At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way. When you join #TeamAmex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day.
From building next-generation apps and microservices in Kotlin to using AI to help protect our customers from fraud, you could be doing ground-breaking work that brings our iconic, global brand into the future. As a part of our tech team, we could work together to bring ground-breaking and diverse ideas to life that power the digital systems, services, products and platforms that millions of customers around the world depend on. If you love to work with APIs, contribute to open source, or use the latest technologies, we’ll support you with an open environment and learning culture to grow your career.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5fb2f164&cb=1668243849403&jobListingId=1008164189198&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-dbdeb0a37578ac07-
"['American Express Global Business Travel', '3.8']",http://www.amexglobalbusinesstravel.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"Egencia is the world’s leading digital corporate travel platform. We are a trusted business travel partner that delivers the best technology and data driven experiences to help customers all around the world drive success in their business through business travel.
We are seeking a highly motivated engineer with a passion for technology to contribute to our vision of providing unparalleled customer experiences at Egencia. As a Software Development Engineer III, you will be part of an agile development team that owns Egencia post booking experience. We are a very experienced, successful, and hard-working multi-functional team that works in a fast-paced environment and on highly visible projects to create value for our customers. You will get an opportunity to innovate, build core applications and services in Egencia's next-generation travel platform to revolutionize Business travel experience. As a full stack engineer, you will be involved in top-notch end to end feature development which includes user-facing UI development, web services, DB optimization, and asynchronous data distribution pipeline development.
What you’ll do:

United States - Illinois - Chicago",6d,www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_87700039&cb=1668243852470&jobListingId=1008259185421&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-bb52f1302bd7ad4f-
"['Amex', '4.3']",http://www.americanexpress.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way.
When you join Team Amex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day. Here, you’ll learn and grow as we champion your meaningful career journey with programs, benefits, and flexibility to back you personally and professionally. Every colleague share in the company’s success.
Together, we’ll win as a team, striving to uphold our company values and powerful backing promise to our customers, communities, and each other every day. And we’ll do it with integrity and in an environment where everyone is seen, heard and feels like they truly belong.",24d,www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bc73511f&cb=1668243855259&jobListingId=1008217128466&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-b5307de81b4de122-
"['American Express Global Business Travel', '3.8']",http://www.amexglobalbusinesstravel.com/,Software Development Engineer I,"Chicago, IL",$77K - $100K (Glassdoor est.),"Brand Specific Description:
Launched in 2002, Egencia has become the world’s leading digital corporate travel platform because of our commitment to delivering a higher standard of corporate travel service and innovative technology. Our success is directly attributed to our customers' ability to move businesses ahead, through their valued relationships with our company and more importantly, with our people. Lead by an experienced, forward-thinking management team, Egencia has continued to expand its offering of intuitive online tools and comprehensive agency services while maintaining its reputation for superior customer service.

Position Overview:
Egencia Chat Team is seeking a Software Development Engineer III to join our team of experienced software developers. The Chat Team's responsibilities span front-end web development to back-end travel services. We are looking for someone who can leverage their deep technical knowledge, passion for solving real-world business problems, and dedication to innovative thinking to ensure Egencia continues to be the technology leader in the corporate travel space.

Responsibilities:



Washington - Seattle Campus",6d,www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=000001846b144bed8c76b349fe2083e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_415f18c9&cb=1668243859190&jobListingId=1008259185618&jrtk=3-0-1ghlh8j0om6rq801-1ghlh8j1ai38g800-3c1ea728e6a96f7b-
