Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
,,Cloud Engineer II (Remote),Pennsylvania,$73K - $99K (Glassdoor est.),,30d+,
"['AmerisourceBergen', '3.7']",http://www.amerisourcebergen.com/,Cloud Engineer II (Remote),Pennsylvania,$73K - $99K (Glassdoor est.),"Are you looking to make a difference in a patient’s life? At AmerisourceBergen, you will find an innovative and collaborative culture that is patient focused and dedicated to making a difference. As an organization, we are united in our responsibility to create healthier futures. Join us and Apply today!
What you will be doing
As of August 24, 2021, AmerisourceBergen requires all U.S. team members to be fully vaccinated and show proof of completed vaccine status at time of hire. If you cannot receive the COVID-19 vaccine due to a disability/medical reason or sincerely held religious belief you will be required to follow AmerisourceBergen’s policy and process to apply for an exemption/accommodation.
Summary:
This senior developer role is part of B2B eCommerce application agile team consisting of 10-12 people including a Scrum master, Product Manager, onsite-offshore Developers, Business analysts, automation testing team and UX designer working on enhancing and supporting a production application.



Full time
$82,300 - 117,920
Affiliated Companies: AmerisourceBergen Services Corporation",7d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018469c8bcbeb9851f64cd0c3190&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_206ba2f2&cb=1668222081094&jobListingId=1008258294670&jrtk=3-0-1ghkshf7skbnb801-1ghkshf8pi171800-b423ed036057c37b--6NYlbfkN0Aw-0yW4ShgO3RgfkwBWHOvSxBbbijevudcRUz_ZHdAKgr8RNviCc0cswREjw04LnSvOlUFchDit-njeFNiUwUtpBUUkkv05iYZq-RfhqWxHYItTWJB5toZsFJ0g5vhH2m07uT5yyVVe8X48TSPQy7tO7CPUrLBM05yPL-LmBbbpzXEfgCRkFcFunC-zsPGBCVjD2MnnT-pd71oAvEcqOvMegX1smqm1gL6oGKY3P9l2wLcz0xt5NdVrwO_gIps3bWOEVCkySopoa3WW03ehArM7Izqm3X-i9XwuhfnCwqbU6doFzW-WByFMhm3VV6SWCRMKbkQFgYFZaKx_wobeC1IaVrHBRTj7-oHzQHttKc3hxrhSkZRg584BdpB_dF59rvt4608c4eq2vmp59U3Oda-3NIRluil-bBPQ735GxFEZmWounpl-ZAqIOHAbG9hkFnKBtec7mh1mL6O3GtrxeivcyNtkwW7gNx6mv7QuVk0VfXrJENStEra3LqrwnMSZ4803nyuUwyrbRf1qketP0EbzWTTvaSENwmOYw1uwCxC36vPgO_qrxKJWtUpxF70Ti4MW0p5J4gOU8Ifkv-m4yd_
"['AmerisourceBergen', '3.7']",http://www.amerisourcebergen.com/,Cloud Engineer II (Remote),Pennsylvania,$73K - $99K (Glassdoor est.),"Are you looking to make a difference in a patient’s life? At AmerisourceBergen, you will find an innovative and collaborative culture that is patient focused and dedicated to making a difference. As an organization, we are united in our responsibility to create healthier futures. Join us and Apply today!
What you will be doing
Individuals within the Application Development role work closely with clients, business analysts and team members to understand the business requirements that drive the analysis and design of quality technical solutions. These solutions must be aligned with business and IT strategies and are in compliance with the organization’s architectural standards. Application Developers are involved in the full systems life cycle and therefore are responsible for designing, coding, testing, implementing and supporting application software that is delivered on time and within budget. Responsibilities beyond development of software may include participation in component and data architecture design, technology planning, product evaluation, advanced testing processes and buy vs. build recommendations. Individuals also provide input to project plans related to the application development initiative. Application Developers have a strong knowledge of programming languages used by the organization. They have experience in systems design and have a solid understanding of development, database development, testing, and integration methodologies. Knowledge of current and emerging IT products, services and processes is required. Individuals must be able to adjust to constant business change. Common types of changes include introduction of new organizations through mergers and acquisitions, evolving goals and strategies and emerging technologies. These changes require integration of solutions that can impact the overall system development activity. Application Developers also provide client support, consultation and subject matter expertise for system development, maintenance and support. This associate will work on complex, major or highly visible tasks and projects as a project team member, sometimes as a project lead. They will also work on projects that may span a broad range of applications and support multiple applications. Will have expertise in multiple technical environments and possesses business knowledge that spans one or more business areas.



Full time
$82,300 - 117,920
Affiliated Companies: ASD Specialty Healthcare LLC",15d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469c8bcbeb9851f64cd0c3190&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e7fb365a&cb=1668222083113&jobListingId=1008238847876&jrtk=3-0-1ghkshf7skbnb801-1ghkshf8pi171800-9dc4c1652fa51d32-
"['AmerisourceBergen', '3.7']",http://www.amerisourcebergen.com/,Cloud Engineer II (Remote),Pennsylvania,$73K - $99K (Glassdoor est.),"Are you looking to make a difference in a patient’s life? At AmerisourceBergen, you will find an innovative and collaborative culture that is patient focused and dedicated to making a difference. As an organization, we are united in our responsibility to create healthier futures. Join us and Apply today!
What you will be doing
Individuals within the Java Development role work closely with clients, business analysts and team members to understand the business requirements that drive the analysis and design of quality technical solutions. These solutions must be aligned with business and IT strategies and are in compliance with the organization’s architectural standards. Java Developers are involved in the full systems life cycle and therefore are responsible for designing, coding, testing, implementing and supporting application software that is delivered on time and within budget.
May participate in project planning processes
May identify project tasks and assists with project timeline estimations.



Full time
$68,700 - 98,340
Affiliated Companies: AmerisourceBergen Services Corporation",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018469c8bcbeb9851f64cd0c3190&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0ea0cf90&cb=1668222086441&jobListingId=1008012427495&jrtk=3-0-1ghkshf7skbnb801-1ghkshf8pi171800-f7c586a33e17d388-
"['AmerisourceBergen', '3.7']",http://www.amerisourcebergen.com/,Cloud Engineer II (Remote),Pennsylvania,$73K - $99K (Glassdoor est.),"Are you looking to make a difference in a patient’s life? At AmerisourceBergen, you will find an innovative and collaborative culture that is patient focused and dedicated to making a difference. As an organization, we are united in our responsibility to create healthier futures. Join us and Apply today!
What you will be doing
PowerBI Developers understand how information is turned into knowledge and how this knowledge supports and enables key business processes. They must have a good understanding of data access requirements for business analytics and exploration. Also required are analytical skills, the ability to establish and maintain effective working relationships with team members, as well as an innate curiosity around wanting to understand business processes, business strategy and strategic business initiatives to help drive incremental business value from enterprise data assets. They are creative thinkers who understand user interface design and apply visualizations skills such as user experience design, data visualization and graphical design.



Full time
Affiliated Companies: AmerisourceBergen Services Corporation",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018469c8bcbeb9851f64cd0c3190&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ee511345&cb=1668222089077&jobListingId=1007932076811&jrtk=3-0-1ghkshf7skbnb801-1ghkshf8pi171800-d07569ae88472808-
"['AmerisourceBergen', '3.7']",http://www.amerisourcebergen.com/,Cloud Engineer II (Remote),Pennsylvania,$73K - $99K (Glassdoor est.),"Are you looking to make a difference in a patient’s life? At AmerisourceBergen, you will find an innovative and collaborative culture that is patient focused and dedicated to making a difference. As an organization, we are united in our responsibility to create healthier futures. Join us and Apply today!
What you will be doing
As of August 24, 2021, AmerisourceBergen requires all U.S. team members to be fully vaccinated and show proof of completed vaccine status at time of hire. If you cannot receive the COVID-19 vaccine due to a disability/medical reason or sincerely held religious belief you will be required to follow AmerisourceBergen’s policy and process to apply for an exemption/accommodation.
(Remote Position)
Summary:
Individuals in the Infrastructure Engineering role are responsible for executing the strategy set by architecture.



Full time
$93,500 - 143,990
Affiliated Companies: AmerisourceBergen Services Corporation",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018469c8bcbeb9851f64cd0c3190&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a2cd5a2d&cb=1668222090909&jobListingId=1007886432128&jrtk=3-0-1ghkshf7skbnb801-1ghkshf8pi171800-9690da3c7f7b59c7-
"['AmerisourceBergen', '3.7']",http://www.amerisourcebergen.com/,Cloud Engineer II (Remote),Pennsylvania,$73K - $99K (Glassdoor est.),"Are you looking to make a difference in a patient’s life? At AmerisourceBergen, you will find an innovative and collaborative culture that is patient focused and dedicated to making a difference. As an organization, we are united in our responsibility to create healthier futures. Join us and Apply today!
What you will be doing
As of August 24, 2021, AmerisourceBergen requires all U.S. team members to be fully vaccinated and show proof of completed vaccine status at time of hire. If you cannot receive the COVID-19 vaccine due to a disability/medical reason or sincerely held religious belief you will be required to follow AmerisourceBergen’s policy and process to apply for an exemption/accommodation.
(Remote Position)
POSITION SUMMARY:
Amerisource Bergen (AB) is looking for a Sitecore Application developer.



Full time
$68,700 - 98,340
Affiliated Companies: AmerisourceBergen Services Corporation",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000018469c8bcbeb9851f64cd0c3190&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d97a4756&cb=1668222095493&jobListingId=1008156862232&jrtk=3-0-1ghkshf7skbnb801-1ghkshf8pi171800-c17ad771ece97ae3-
"['AmerisourceBergen', '3.7']",http://www.amerisourcebergen.com/,Cloud Engineer II (Remote),Pennsylvania,$73K - $99K (Glassdoor est.),"Are you looking to make a difference in a patient’s life? At AmerisourceBergen, you will find an innovative and collaborative culture that is patient focused and dedicated to making a difference. As an organization, we are united in our responsibility to create healthier futures. Join us and Apply today!
What you will be doing
Full Stack .NET developer is responsible for software development on new and existing products. This position is responsible for creating new project requirements based on information provided by the product team, creating the software, and ensuring the quality of the product.
1. Collaborate with a team to create thoughtful, efficient development to meet the needs of our internal and external projects.
2. Assist project manager with project development, including documentation of features, recording of progress, and creation of the testing plan.
3. Intermediate knowledge on client requests, features, best practices, project scopes, and budgets.
4. Contribute to the growth of the company by advancing personal skills, working with the development team to improve the codebase, and seeking opportunities to improve the company’s tools and processes.















Full time
$93,500 - 143,990
Affiliated Companies: IntrinsiQ Specialty Solutions, Inc",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018469c8bcbeb9851f64cd0c3190&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_60ad54ec&cb=1668222096901&jobListingId=1008089596144&jrtk=3-0-1ghkshf7skbnb801-1ghkshf8pi171800-54416d10a04d3cbe-
"['AmerisourceBergen', '3.7']",http://www.amerisourcebergen.com/,Cloud Engineer II (Remote),Pennsylvania,$73K - $99K (Glassdoor est.),"Are you looking to make a difference in a patient’s life? At AmerisourceBergen, you will find an innovative and collaborative culture that is patient focused and dedicated to making a difference. As an organization, we are united in our responsibility to create healthier futures. Join us and Apply today!
What you will be doing
AmerisourceBergen is looking for a passionate, innovative and experienced Senior Database Developer to join our Data Warehouse Team. This key role supports our exciting transformation of data delivery operations to carry ICS into the coming decades of growth. This position is responsible for designing new and efficient data processing methods and refactoring current operations to match new standards. This role will collaborate closely with Business Intelligence, EDI, Account Management many other groups. The position is a split between new development and operational production support, lessons learned from support will provide the insight needed to improve our platform and overall efficiency. If you love a fast-paced and challenging work environment with many future world-wide support opportunities, you may be our ideal candidate.



Full time
Affiliated Companies: Integrated Commercialization, LLC",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018469c8bcbeb9851f64cd0c3190&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0342b996&cb=1668222098867&jobListingId=1008053664965&jrtk=3-0-1ghkshf7skbnb801-1ghkshf8pi171800-928451f7ad4df6dd-
"['AmerisourceBergen', '3.7']",http://www.amerisourcebergen.com/,Cloud Engineer II (Remote),Pennsylvania,$73K - $99K (Glassdoor est.),"Are you looking to make a difference in a patient’s life? At AmerisourceBergen, you will find an innovative and collaborative culture that is patient focused and dedicated to making a difference. As an organization, we are united in our responsibility to create healthier futures. Join us and Apply today!
What you will be doing
Under the general direction of the Director, Product Development, Software Engineer is responsible for software development on new and existing products. This position is responsible for creating new project requirements based on information provided by the product team, creating the software, and ensuring the quality of the product.
1. Collaborate with a team to create thoughtful, efficient development to meet the needs of our internal and external projects.
2. Assist project manager with project development, including documentation of features, recording of progress, and creation of the testing plan.
3. Intermediate knowledge on client requests, features, best practices, project scopes, and budgets.
4. Contribute to the growth of the company by advancing personal skills, working with the development team to improve the codebase, and seeking opportunities to improve the company’s tools and processes.

















Full time
$93,500 - 143,990
Affiliated Companies: Marshall Reinardy LLC",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018469c8bcbeb9851f64cd0c3190&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e3426a22&cb=1668222100904&jobListingId=1008156861668&jrtk=3-0-1ghkshf7skbnb801-1ghkshf8pi171800-66358108e48eacd2-
