Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Applied Materials', '4.0']",http://appliedmaterials.com/,Software (Technical) Support Engineer II,"Hillsboro, OR",$67K - $95K (Glassdoor est.),"Key Responsibilities
Understand, research, and resolve internal and external application and systems issues of moderate difficulty. Independently learn and investigate customer's high value problem (HVP), systematic bug or systematic software failures.
Create, test, and verify installation/upgrade instructions for Applied Materials’ product releases.
Participates in product design, testing and documentation reviews as appropriate. Participate in user conferences.
Provide off-hours customer support via pager and cellular telephone as scheduled. Provide telephone coverage as scheduled.
Attend AMAT classes in designated product line and external classes for third-party software.
Bachelor's Degree
2 - 4 Years
Yes, 25% of the Time
Yes",9d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b1b9eac830663b527d94127&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cd828036&cb=1668244301323&jobListingId=1008253109045&jrtk=3-0-1ghlhn7mu2p8s001-1ghlhn7ng24hh000-3f3db2ecfdc7b7b3-
"['Applied Materials', '4.0']",http://appliedmaterials.com/,Software (Technical) Support Engineer II,"Hillsboro, OR",$67K - $95K (Glassdoor est.),"Applied Materials, an American multinational with Headquarters in Santa Clara - Silicon Valley California, is the world’s leading company in the supply of innovative machinery, services and software used in Semiconductors’ production, flat screen monitors and within the Photovoltaic-Solar.
Our technologies contribute to making products such as smartphones, flat-screen TVs, solar panels and A.I. increasingly accessible to consumers and traders around the world.
We are looking for a Software (Technical) Support Engineer to increase the Team in Phoenix, AZ.
Key Responsibilities
Software System Troubleshooting – Microsoft/Networking/Applications (Analyze reported problems & Validate solutions -Provide troubleshooting plans to discover root cause - Deliver rapid resolution on systemic issues)
Bachelor's Degree
Up to 1 Year
Yes, 25% of the Time
Yes",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b1b9eac830663b527d94127&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_40929820&cb=1668244304047&jobListingId=1007898057798&jrtk=3-0-1ghlhn7mu2p8s001-1ghlhn7ng24hh000-6998783ff1a526cc-
"['Applied Materials', '4.0']",http://appliedmaterials.com/,Software (Technical) Support Engineer II,"Hillsboro, OR",$67K - $95K (Glassdoor est.),"Applied Materials is the leader in materials engineering solutions used to produce virtually every new chip and advanced display in the world. Our expertise in modifying materials at atomic levels and on an industrial scale helps our customers – who make smartphones, supercomputers, virtual reality headsets, autonomous vehicles and more – transform their ideas into reality. Our innovations Make Possible® a Better Future.
Inside our company, we apply the idea of make possible as we work together. We value our people and teams who turn possibilities into reality by advancing our strategy, accomplishing great things and empowering others. We are deeply committed to fostering a Culture of Inclusion where every person knows they belong, feels empowered to bring their whole self to work, and is inspired to grow.
If you’re looking for a great place to grow your career, consider Applied Materials. With the data explosion and new investment in semiconductors, it’s an exciting place to be.
Bachelor's Degree: Computer Science (Required), Master's Degree
2 - 4 Years
Yes, 10% of the Time
Yes",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b1b9eac830663b527d94127&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_36e20ab5&cb=1668244306967&jobListingId=1008140505129&jrtk=3-0-1ghlhn7mu2p8s001-1ghlhn7ng24hh000-f8eebdcb65fe7162-
"['Applied Materials', '4.0']",http://appliedmaterials.com/,Software (Technical) Support Engineer II,"Hillsboro, OR",$67K - $95K (Glassdoor est.),"Company Introduction
Applied Materials , Inc. is the global leader in materials engineering solutions for the semiconductor, flat panel display and solar photovoltaic (PV) industries.
Appliedx is an innovation driven group within the company focusing on using VR, AR, MR technologies for instructional design, simulation, training and troubleshooting.
Job Description
We are seeking a developer responsible for building interactive experiences for various target platforms based on the Unity framework. Your primary responsibilities will be to implement interactive functionality translating design ideas, concepts, and requirements into a functional and engaging experience. A commitment to collaborative problem solving, sophisticated design, and a quality product are essential. Your responsibilities will include -





Bachelor's Degree
4 - 7 Years
Yes, 10% of the Time
Yes",2d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b1b9eac830663b527d94127&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0f06cfe7&cb=1668244309044&jobListingId=1008269603275&jrtk=3-0-1ghlhn7mu2p8s001-1ghlhn7ng24hh000-e9d35663c6b35091-
"['Applied Materials', '4.0']",http://appliedmaterials.com/,Software (Technical) Support Engineer II,"Hillsboro, OR",$67K - $95K (Glassdoor est.),"Key Responsibilities
Responsible for the full cycle of software development, from architecture design to implementation of custom opto-mechanical tooling, facilitating experiment while maturing the software to the final product
Machine vision and deep learning algorithm development and validation.
Design and develops code and documentation for a variety of difficult software projects, and design and implement bug fixes.
Defines software specifications.
Interfaces with internal customers for requirements analysis and schedule.
Compiles data for regularly scheduled or special reports, analysis and statements.
Bachelor's Degree
4 - 7 Years
Yes, 10% of the Time
Yes",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b1b9eac830663b527d94127&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_861532a6&cb=1668244311483&jobListingId=1008106725617&jrtk=3-0-1ghlhn7mu2p8s001-1ghlhn7ng24hh000-c18e83d9393b12d6-
"['Applied Materials', '4.0']",http://appliedmaterials.com/,Software (Technical) Support Engineer II,"Hillsboro, OR",$67K - $95K (Glassdoor est.),"Applied Materials is the leader in materials engineering solutions that enables the production of virtually every new chip and advanced display in the world. Our expertise in modifying materials at atomic levels and on an industrial scale enables customers to transform possibilities into reality. Our innovations make possible™ the technology shaping the future. To achieve this, we employ some of the best, brightest, and most talented people in the world who work together as part of a winning team.
While virtually every nationality, culture, and background are currently represented within Applied Materials, we strive for a more robust Culture of Inclusion (COI) and diversity. Leveraging our COI vision helps drive innovation, build organizational capabilities, create equal opportunities for everyone, and achieve our company’s Definition of Winning.
Applied Materials’ Common Systems Software Team is looking for Software Engineer s to design and implement real-time sequencing and scheduling algorithms for our semiconductor processing equipment. The sequencer is the key part of the system that is responsible for scheduling the movement and processing of wafers through different stations to deliver optimal throughput while meeting various timing constraints. You will design and code software while working alongside an experienced team of world-class professionals in a highly collaborative environment playing a key role in the development of software for Applied Materials’ equipment that will enable advances in semiconductor technology. Key features of this job are listed below.
Bachelor's Degree
4 - 7 Years
Yes, 10% of the Time
Yes",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b1b9eac830663b527d94127&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f219aa77&cb=1668244315234&jobListingId=1007698172287&jrtk=3-0-1ghlhn7mu2p8s001-1ghlhn7ng24hh000-008dcc300021e46d-
"['Applied Materials', '4.0']",http://appliedmaterials.com/,Software (Technical) Support Engineer II,"Hillsboro, OR",$67K - $95K (Glassdoor est.),"Applied Materials is the leader in materials engineering solutions to produce virtually every new chip and advanced display in the world. Our expertise in modifying materials at atomic levels and on an industrial scale enables customers to transform possibilities into reality. Our innovations make possible™ the technology shaping the future. To achieve this, we employ some of the best, brightest, and most talented people in the world who work together as part of a winning team.
While virtually every nationality, culture, and background are currently represented within Applied Materials, we strive for a more robust Culture of Inclusion (COI) and diversity. Leveraging our COI vision helps drive innovation, build organizational capabilities, create equal opportunities for everyone, and achieve our company’s Definition of Winning.
Key Responsibilities
FIB and metrology expert
Bachelor's Degree
4 - 7 Years
Yes, 10% of the Time
Yes",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b1b9eac830663b527d94127&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9426663b&cb=1668244319081&jobListingId=1008036348994&jrtk=3-0-1ghlhn7mu2p8s001-1ghlhn7ng24hh000-f1ee3b96f3a72e83-
"['Applied Materials', '4.0']",http://appliedmaterials.com/,Software (Technical) Support Engineer II,"Hillsboro, OR",$67K - $95K (Glassdoor est.),"Qualifications Needed
Familiar with optical metrology and user case
Work with .net development environment, excellent with C++ and C#
Interfaces, unit test
SQC, auto-test;
Integrating 3rd party SW modules
Key Responsibilities
Develops code and documentation for a variety of difficult software projects, and design and implement bug fixes.
Bachelor's Degree
4 - 7 Years
Yes, 10% of the Time
Yes",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b1b9eac830663b527d94127&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5ee9d32e&cb=1668244322970&jobListingId=1008145786706&jrtk=3-0-1ghlhn7mu2p8s001-1ghlhn7ng24hh000-dacd1173867fc3f9-
"['Applied Materials', '4.0']",http://appliedmaterials.com/,Software (Technical) Support Engineer II,"Hillsboro, OR",$67K - $95K (Glassdoor est.),"Key Responsibilities
Experience with design, develop and maintain backend for web applications using Java and Spring framework.
Proven proficiency in API development (REST)
Good knowledge of git
Experience with relational databases (MySQL/Postgresql)
Knowledge of JavaScript (Vue.js, React) is a plus
Experience with NoSQL databases (Elasticsearch, MongoDB) is a plus
Ability to work with Linux command line is a plus
Bachelor's Degree
4 - 7 Years
No",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b1b9eac830663b527d94127&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5dff9b38&cb=1668244324843&jobListingId=1007717694076&jrtk=3-0-1ghlhn7mu2p8s001-1ghlhn7ng24hh000-509014484f7ba5ff-
"['Applied Materials', '4.0']",http://appliedmaterials.com/,Software (Technical) Support Engineer II,"Hillsboro, OR",$67K - $95K (Glassdoor est.),"Key Responsibilities
Serve as an interface with sub-groups within a business unit and/or multiple GIS domains for the purpose of purpose of business and Business intelligence, big data and AI/ML technology strategy alignment, solution discovery, service management, project portfolio mgmt.
Architect and design complex Business intelligence, bid data and AI/ML solutions to address cross functional needs, and convert design to functional and technical specifications. Oversee software application and platform development, prepare and execute testing (unit, integration, performance, acceptance) and data conversions. Identifies and recommend industry BKM's for integrated solution design and standards.
Provides and/or oversees BI, Big Data and AI/ML application and platform support services to meet customer performance, availability, service level agreements and customer satisfaction targets. Oversees monitoring of specific IT systems or set of systems and tuning of such systems for availability and performance. Drives completion of root cause analysis and resolution of outages or incident trends coordinating with infrastructure and technical teams, support providers and application vendors. Drives implementation of corrective and preventative actions. Evaluates/recommends/plans lifecycle for patches, point releases, and major upgrades.
Bachelor's Degree
4 - 7 Years
Not Specified
Yes",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b1b9eac830663b527d94127&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a7334668&cb=1668244328757&jobListingId=1007957840320&jrtk=3-0-1ghlhn7mu2p8s001-1ghlhn7ng24hh000-886a44e3dc83ebec-
