Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Archer Daniels Midland Company', '3.9']",https://www.adm.com/,SAP DEVELOPER,"Erlanger, KY",$69K - $94K (Glassdoor est.),"SAP Developer, Archer Daniels Midland Company, Erlanger, KY. Design SAP solutions to ensure alignment to ADM software development lifecycle standards & practices. Ensure proper utilization of defined ADM Enterprise Architecture standards and principles. Design development strategies to adherence to IT General Controls and SOX Controls. Collaborate with Architects, Development Teams, and project leaders to ensure development processes and policies are followed. Maintain partnership with 3rd party vendors to guide their teams on ADM development processes and policies. Provide feedback for development process improvement. Provide peer leadership and guidance to coach, and mentor junior developers on SAP best practices. Influence team members to ensure proper training with the latest technology changes in SAP.

Minimum Requirements

Bachelor’s degree, or foreign equivalent, in Information Systems, Mechanical Engineering, or a related field, plus 3 years of experience with application development or a related occupation.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846b3bcfee8477fe2be5c4afa7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4b40b8af&cb=1668246401054&jobListingId=1008186402571&cpc=1CBFC3E34E2A31FF&jrtk=3-0-1ghljnk13kbm3801-1ghljnk1jghqu800-d5dc5c523948f427--6NYlbfkN0DVlfsYqj6uSOttgSs6lrtrWfsSQ0W0ZovjeZ4JSZxeMM4o63VxLWKiM1XUuxFENXxbYI0pltRfS1TcmHw6wi7rl4gzgF3hirqVkLBgy5Snkben-vmMbPDLGyaRffGU4XpOhnnAQWWOtGyLxp58xMshnMf5VhLa5CWnfq9LkMK-j5Y2lI0U0k3TYslvcoEj20Eup_17ojWynErRp3sKUvTw63oaZw2Qj_ztU6Egj0ZjHmSMAoYnOdEHTQ6NjYqtrYEY5V-8aaA4mZaqN_7A4QAu469plEeeex27AvA1jHOD5_a2f5ncEY-K3maUb9YeW_3fG87uLrKnp-BE_K_AN3PEz0y4TkmC6f3v23axYiu58dD4oHFAzeWsN4suCN6Ji9FF1jzxOISHcFly6LIq8C8_drlvPuYjOgCJiOdXd7CE3GOkypxnYJt0ZwB81X44Q8tib13b0MvhGRYMOiZN-AjV1F6OJhdqcUOLpzHcoHmbG6RkCjkhjQERgLjhBylGgjsxIwPPRUzEQ2mBSXVGe0CJKmbmjbn7ZnIU-qf8adSylrLP0PqW18O74tzO3sP1Dx3AOm3WYxHVc7pMTs2zFnG0wyzzZV8LEd7aVTU6Dj1EZw%3D%3D
"['Archer Daniels Midland Company', '3.9']",https://www.adm.com/,SAP DEVELOPER,"Erlanger, KY",$69K - $94K (Glassdoor est.),"Enterprise AI/ML Architect

The Enterprise AI/ML Technical Architect will combine expertise in technology design methods across modern applications, data science, and advanced analytics technical architectures including AI/ML. This individual will have a good grasp of technical design principles and support the development of enterprise design patterns, artifacts, and repositories. This individual will possess cross-functional architecture expertise and the ability to lead and participate in the creation of technical solution architecture designs. This is a Senior Architect-level position within ADM’s Enterprise Architecture team, with a dotted line reporting relationship to ADM’s Digital team. It is above all a technical architecture position, not a data science development role. It requires strong communication and interpersonal skills, including the ability to work with IT and business leadership, as well the ability to work with detail-level IT experts and architects.

Job Responsibilities

Job Requirements

Relocation assistance may be available with this position.
This position offers a complete benefit package, including 401K/ESOP, pension, health, life and dental insurance.
ADM requires the successful completion of a pre-employment drug screen and a background check.",24d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846b3bcfee8477fe2be5c4afa7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8f839c52&cb=1668246404979&jobListingId=1008216571896&cpc=3DB599BF2F4828F0&jrtk=3-0-1ghljnk13kbm3801-1ghljnk1jghqu800-82e69430866c42d6--6NYlbfkN0DVlfsYqj6uSOttgSs6lrtrWfsSQ0W0ZovjeZ4JSZxeMM4o63VxLWKiM1XUuxFENXxRcie2mYLWp1hICS1wH-DYnZDybaIP39Qx_2nBirloHTf56va9CunxQDSEk7p96I2U2SWdGkfHz-u7tU_5fn3ddMTx5LXUl-bVYM_jztTgre0x16-kylmJOxPoPz636K3UlutXefbUv3bhYUjVA7RvUgTngCs4tXVHiyM63v8c0hxIH7At_ZKJtzre-iVoaYeJepSy69AY7ghO6qcD-3FnXCba_c7x_6htlsAwZbGr384jknMi5BcyOEQVifNNQC8el8Cg2DFq2wnrTXUwKUBZpIZ08FYPi9zuzhKW5D3UcCFqCz8_zM6zfMQ3iLKpGYd4ZhOh3PR8rZtq1dTK8UIfUUQ23b9_H5VKfiyNeePMGF0ngj3gcK_shTPzO7Q5SJLjf4f6QmM80LbkHNOSiBS72TN2KMKLD5yFkBUeMoi7lNmZc_AOp-O1iMxADMUC_FW8JRlzBZBpgrB2DG9gkXy1X0c3cBRlq1ig4_VXsSP4HdDGc8JRl_VD_9xg1yriMt5I7_s-6NElEg6Yp4hIO0LsryqrPrrfyBkofdtb7bcXpg%3D%3D
"['Archer Daniels Midland Company', '3.9']",https://www.adm.com/,SAP DEVELOPER,"Erlanger, KY",$69K - $94K (Glassdoor est.),"Sr. Salesforce Developer – Global Technology
Exempt level position.
The Global Technology Development Organization is aligned within the enterprise process framework to the Accountable Executive/Global Process Owner (AE/GPO) organization for the purpose of business technology strategy development, solution discovery, service management, risk management and relationship management. As a member of the Global Technology Organization, a Salesforce developer will be responsible for technical architecture, configuration, and custom development on the Salesforce platform. Responsibilities include translating technical requirements into working solutions, leveraging out-of-box functionality where possible and extending the platform with Apex, Visualforce, Lightning Web Components, and data integrations, as required. Salesforce developer will also assist in project scoping and documentation. Strong experience using devops/CICD tools (e.g., Gearset, AutoRabit, Copado)",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846b3bcfee8477fe2be5c4afa7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_68034013&cb=1668246406970&jobListingId=1008003542138&jrtk=3-0-1ghljnk13kbm3801-1ghljnk1jghqu800-72aeaff416919a0a--6NYlbfkN0DVlfsYqj6uSOttgSs6lrtrWfsSQ0W0ZovjeZ4JSZxeMM4o63VxLWKiM1XUuxFENXy_wzJ2shVutHCWCdGSpg9c0Y8wVesimehfiJd9ad31p_I2Rk86xzmNg8utpXSGawPA6nuJM_LiTnpJlJEEDV4qEAxLSABq9Oe64DafV97aHYjPTF2ygZr4OCZTJKdvs2rAHYS54ccVZRzPNtQVbeBxQFihVW7dOQuJE-pGgkJbXJpNaPWiVn7YxXZNMTawUJswJuvouIIpkLJh3Pb5a8Crlj69XOXGKRCukl50UpOhkjmNtx12XkS0C942DGZNoGcM_ImIoeMcr7gbTsMIYL4YezrOw9YIXFCgaKMsMQnpRkW0GaubcHsmQUBGuSBwzdHUxY0c_c5TkG-3YJM5OqOQz7Tg-unpRFdk1rtelnxDAzMVbhR-i3CHH3BSQuF9uC5fuk8U8VXsP7dVLWW16Q4sZAVS9IsE_9WHfQifCR3hx7WN44v3iNbw-MDljHwWRAp3P48egRgoA8jOHstDHmq00dwwnLV4XT2PC2cUOj7fYqmq9WYbU5SKZPfaAGq6FEQuFY05OGhNVXb06_EqsktxXdUumVWZV_8%3D
"['Archer Daniels Midland Company', '3.9']",https://www.adm.com/,SAP DEVELOPER,"Erlanger, KY",$69K - $94K (Glassdoor est.),"Software Engineer – Chicago, IL
ADM Investor Services, Inc.
This is an exempt level position.

Position Summary:
We are looking for an experienced developer to join our team. We are a financial services firm with significant inhouse development. Our key systems include trade entry/routing, risk/margining, customer portals and departmental automation. We have a strong team that works well together and has a history of providing the best platforms for our users. If you are enjoy the pace of financial services and understand what it takes to design and build systems that are secure, resilient and fast, this may be the place for you.

Job Responsibilities:
Relocation assistance is not available with this position.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b3bcfee8477fe2be5c4afa7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0a745702&cb=1668246409912&jobListingId=1007991098716&jrtk=3-0-1ghljnk13kbm3801-1ghljnk1jghqu800-1db57532bed09d4b-
"['ADM Investor Services, Inc.']",,SAP DEVELOPER,"Erlanger, KY",$69K - $94K (Glassdoor est.),"ADM Investor Services has been a leader in the futures brokerage industry for more than 50 years. We are a registered Futures Commission Merchant providing comprehensive services to retail, commercial and institutional clients. Our work is supported through a network of Introducing Brokers, non-clearing FCMs, branch offices, subsidiaries and sister companies across the United States and around the globe. ADMIS is a wholly-owned subsidiary of the Archer Daniels Midland Company (NYSE: ADM). Learn more at http://admis.com/.
ADM unlocks the power of nature to enrich the quality of life. We’re a premier global human and animal nutrition company, delivering solutions today with an eye to the future. We’re blazing new trails in health and well-being as our scientists develop groundbreaking products to support healthier living. We’re a cutting-edge innovator leading the way to a new future of plant-based consumer and industrial solutions to replace petroleum-based products. We’re an unmatched agricultural supply chain manager and processor, providing food security by connecting local needs with global capabilities. And we’re a leader in sustainability, scaling across entire value chains to help decarbonize our industry and safeguard our planet. From the seed of the idea to the outcome of the solution, we give customers an edge in solving the nutritional and sustainability challenges of today and tomorrow. Learn more at www.adm.com.",30d+,
"['Archer Daniels Midland Company', '3.9']",https://www.adm.com/,Global Technology Sr Salesforce Developer - (CI/CD build),"Erlanger, KY",$58K - $80K (Glassdoor est.),"Sr. Salesforce Developer – Global Technology
Exempt level position.
The Global Technology Development Organization is aligned within the enterprise process framework to the Accountable Executive/Global Process Owner (AE/GPO) organization for the purpose of business technology strategy development, solution discovery, service management, risk management and relationship management. As a member of the Global Technology Organization, a Salesforce developer will be responsible for technical architecture, configuration, and custom development on the Salesforce platform. Responsibilities include translating technical requirements into working solutions, leveraging out-of-box functionality where possible and extending the platform with Apex, Visualforce, Lightning Web Components, and data integrations, as required. Salesforce developer will also assist in project scoping and documentation. Strong experience using devops/CICD tools (e.g., Gearset, AutoRabit, Copado)",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846b3c28b28b404848f297b5be&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_37254ef8&cb=1668246422521&jobListingId=1008003542138&jrtk=3-0-1ghljoa6vm6rp801-1ghljoa7gg4es800-72aeaff416919a0a--6NYlbfkN0DVlfsYqj6uSOttgSs6lrtrWfsSQ0W0ZovjeZ4JSZxeMM4o63VxLWKiM1XUuxFENXy_wzJ2shVutHCWCdGSpg9c0Y8wVesimehfiJd9ad31p_I2Rk86xzmNg8utpXSGawPA6nuJM_LiTnpJlJEEDV4qEAxLSABq9Oe64DafV97aHYjPTF2ygZr4dagHfeHD3mcGeZC_o95L5MM8_EGcRi5OI-FTq0-DqMk01yLdzInpUC10VG1dOezi1budwo5qKzTUc55oJRrSHkinthoJ90fx_bs_o2q4ZdlY6zObClOiJtDtr-wlnRT3s9uzsQitb8LGIfS7_uZC6KbA46-I5BfWL89mw59V48E1yzuNL0WtJBaEh0ostxoqkS_83GJW5u59DIVzYHr82kc7JxNeCppd7LH5a3SJWGvNv7NZbJHJoDEGoJrsjMD6E9_NE5ZyB1TM9DqUJTQN7lDhUnCugQBtAvD4GekmtHdtD4C8TmIo3Xki0oi7DHhRB1JtAGntPSOo47wV8D5Ijrak_2hx-4vT_L7eq-YsVZLNBKThEvYIa1Flo8eLwaJkAMJUHiP7zMGMpF57mRR9FhchUXb4pnpMfdDOlAwesNQ%3D
"['Archer Daniels Midland Company', '3.9']",https://www.adm.com/,Global Technology Sr Salesforce Developer - (CI/CD build),"Erlanger, KY",$58K - $80K (Glassdoor est.),"Software Engineer – Chicago, IL
ADM Investor Services, Inc.
This is an exempt level position.

Position Summary:
We are looking for an experienced developer to join our team. We are a financial services firm with significant inhouse development. Our key systems include trade entry/routing, risk/margining, customer portals and departmental automation. We have a strong team that works well together and has a history of providing the best platforms for our users. If you are enjoy the pace of financial services and understand what it takes to design and build systems that are secure, resilient and fast, this may be the place for you.

Job Responsibilities:
Relocation assistance is not available with this position.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b3c28b28b404848f297b5be&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2a2ee66a&cb=1668246424518&jobListingId=1007991098716&jrtk=3-0-1ghljoa6vm6rp801-1ghljoa7gg4es800-1db57532bed09d4b-
,,IT SYSTEMS ANALYST - KENEXA,"Erlanger, KY",$61K - $82K (Glassdoor est.),,24d,
"['Archer Daniels Midland Company', '3.9']",https://www.adm.com/,IT SYSTEMS ANALYST - KENEXA,"Erlanger, KY",$61K - $82K (Glassdoor est.),"Category Leader, Procurement - IT - Chicago or Decatur, IL
This is a full-time, exempt position.

The role
An opportunity has arisen for a Category Leader in Information Technology based in Chicago or Decatur IL. The main purpose of this role is to develop and execute global category strategies in collaboration with stakeholders and in alignment with global and local sourcing requirements. You will work closely with our business unit leaders to understand implementation challenges and to develop solutions to increase compliance. In this role, you will assist our different businesses to determine and manage requirements by providing insight into alternative options to better control demand.

Your Responsibilities
Learn more about ADM at www.adm.com.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846b3c6874b57b40c13901b4f7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_acf361b3&cb=1668246441683&jobListingId=1008200193767&cpc=F17331D9BECC482A&jrtk=3-0-1ghljoq4ombi4801-1ghljoq5dii3h800-a5b955dcd4338c4b--6NYlbfkN0DVlfsYqj6uSOttgSs6lrtrWfsSQ0W0ZovjeZ4JSZxeMM4o63VxLWKiM1XUuxFENXx-LkA_JVmHo7trcvIAe_VoJ38M-liC2I-GZpFwMgtcHJmemLrS7VjcaCYpG5Cxj1I-FgPvia9x7c4DCP6S_Ihq7zepVoVlY90yZrmXdDJg2Fz-wHNwg1faDxegj8VKSQ-LdLwoBCtFTzpptPF7R_gM_gvfRbTdqnM8gZKhDyMrrc5XG3_oE0FX6FL_t0FUNJ5zEEvGRBixVGobB3rZu-QpCHqfwiywGOXGUIaqZvcunLlUMqkiQ6ueTIxPLEIdKMV710rbhYrOKbrF98EaB1S2vbCf5xACvubDwKegafQLAgxDr2BIPWgIdX4MHPkdjuFRtj7v3FTsNooc9CXz1o7nTEx5ciZ_CZxa_XwIdTn4hI8U2VXuIByivYrDa4UMaBy2zdPlTR-WlnlnuTU3DYZIcWzEq1XA47_bX7WImCfjBlEMFJnJUpIRqH_qd8ddCF2SJQXzT4d-SP7PnzPXbSeoa28PwKokzOjXUFfeAKPlBXw5lLXTBZEQlV3u8xWpILS1aWBSZ5v00oVUGreL5mxlKAbJ5a7nw69JP6vRjy-63Q%3D%3D
"['Archer Daniels Midland Company', '3.9']",https://www.adm.com/,IT SYSTEMS ANALYST - KENEXA,"Erlanger, KY",$61K - $82K (Glassdoor est.),"Process Engineer- East Plant- Decatur, IL
This is an exempt level position.

Job Summary:
The Decatur East Plant is seeking a process engineer with the skills to improve and optimize our processes. Decatur East Plant produces soy protein ingredients for human and animal consumption.
As a member of the East Plant production team, this colleague will have the opportunity to collaborate with colleagues by utilizing engineering skills to support operational excellence and new product development efforts. This position is responsible for process improvements for production in all facets of operation through direct contributions of project development from conception though start-up utilizing engineering and performance excellence principles to operate, troubleshoot, and improve chemical and mechanical processes. It is also responsible for assisting in managing day to day operations, tracking and understanding department costs, yields, quality, and process performance.
This position provides an opportunity for a new engineer to join the plant management team and have a positive impact on the success of our nutrition business. Process engineers gain first hand exposure to leadership of employees, equipment trouble-shooting and dealing with the myriad of challenges faced routinely in a facility that operates around the clock, 365 days per year.



Process Engineer experience provides an outstanding foundation on which to build a career, employees advance to opportunities as Project Engineers, operations management, and our Centers of Excellence. These assignments involve increasing responsibility and the rewards that go along with it, along with possible relocation opportunities.

Relocation is available with this position.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846b3c6874b57b40c13901b4f7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5b923427&cb=1668246444631&jobListingId=1007988238817&cpc=E521981D00147CE2&jrtk=3-0-1ghljoq4ombi4801-1ghljoq5dii3h800-d5c0be03236ac2cf--6NYlbfkN0DVlfsYqj6uSOttgSs6lrtrWfsSQ0W0ZovjeZ4JSZxeMM4o63VxLWKiM1XUuxFENXyySKGR3OJf_aN_es0eljTwUP3GLN0KxL5WwmYtjpSreVg3iJeGgNHUtHkcLMlbO6A6ig4wCBwY3BL8fB6YMwzJ_FuI_zAnjG6jQ9WfpklJrsEr5ThFowBJdB8JN_fCKW_o_NJm9_NkXK0XzLL-NgjxkuKCtpnWYoD4lDre86aNVw4zUa6cLftd42I3hcZCVdZQOGsbH3J_8bgvNLct8r0IeJFf6Zk4Pez_nawp35k9NoAtFH2ZA7815eqP0zf6_fdpx63bQipLF7lAk9ZMfJMo1W5RPi78knzE736mLNNYh5Ee1PffmUL1KW59e2W7oriMSo2tYhQyA7N4QfjRDB3SBex3O5PTtr19oviuBl4amCOyB86-Z_SeLEhBMEbpJh8d5kc9wicJD1U-fCKWyjzP5FOMYibtrrZSCGLlxax7Nd53bpAb0D30PoUwTuXh9sUbzs4u-UCd_qf-a-m8R1ubHfEzq9AiBDUSO9kCaNKGE4YruGGsno9tqe26vhjbd0M2V0qmzSWTgZM9gEr5xJcx09Gwo-LT2kY9rRJIKgY61WqNKfZhwJv-
