Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['AutoNation', '3.7']",https://jobs.autonation.com/,Remote - Software Engineer,Remote,$73K - $110K (Employer est.),"Position Summary:
Develops and implements software solutions to support the company’s need for improving application processes including reporting. Coordinates solutions with a team of analysts and engineers to create new applications, implement enhancements and fix defects in existing applications to meet business requirements, adhere to systemic standards and ongoing application support requirements. Troubleshoots and resolves issues in supported applications.
Organizational Relationships:
Works as a member of the Technology organization. Reports to Director of Application Development. Interacts daily with other technology teams such as DBA, Dev Ops, QA, BA, PMO, business customers, 3rd party clients, etc.",24d,
"['Autonation', '3.7']",https://jobs.autonation.com/,Remote - Software Engineer,Remote,$73K - $110K (Employer est.),"Position Summary:
Develops and implements software solutions to support the company’s need for improving application processes including reporting. Coordinates solutions with a team of analysts and engineers to create new applications, implement enhancements and fix defects in existing applications to meet business requirements, adhere to systemic standards and ongoing application support requirements. Troubleshoots and resolves issues in supported applications.
Organizational Relationships:
Works as a member of the Technology organization. Reports to Director of Application Development. Interacts daily with other technology teams such as DBA, Dev Ops, QA, BA, PMO, business customers, 3rd party clients, etc.",30d+,
"['AutoNation', '3.7']",https://jobs.autonation.com/,Remote - Software Engineer,Remote,$73K - $110K (Employer est.),"Position Summary:
This position provides support for a broad range of applications used by Corporate and the Shared Services Center (SSC) customers. 95% of the role will be supporting applications at the SSC, the final 5% on Audit related tasks.
Organizational Relationships:
This position reports directly to the Manager Process Development but interacts with a wide range of people including the, Manager of Corporate Applications, Finance, Audit, HR, and various other SSC business and IT teams.
Job Responsibilities:",28d,
"['AutoNation', '3.7']",https://jobs.autonation.com/,Remote - Software Engineer,Remote,$73K - $110K (Employer est.),"Position Summary:
The Technical Lead is responsible for the overall design, implementation, and quality of the code the team produces across one or more projects. The Technical Lead partners with the IT leadership, architecture, and development staff to establish vision, strategy and road maps that align with business strategies and organizational priorities.
Organizational Relationships:
The Technical Lead of After Sales Application development is a position within a development group focused on building our core After Sales and Customer Engagement platforms. The Technical Lead reports to the Engineering Manager and is accountable for daily status on tech design, development, and resource management.",28d,
"['Autonation', '3.7']",https://jobs.autonation.com/,Remote - Software Engineer,Remote,$73K - $110K (Employer est.),"Position Summary:
This position provides support for a broad range of applications used by Corporate and the Shared Services Center (SSC) customers. 95% of the role will be supporting applications at the SSC, the final 5% on Audit related tasks.
Organizational Relationships:
This position reports directly to the Manager Process Development but interacts with a wide range of people including the, Manager of Corporate Applications, Finance, Audit, HR, and various other SSC business and IT teams.
Job Responsibilities:",30d+,
"['AutoNation', '3.7']",https://jobs.autonation.com/,Remote - Software Engineer,Remote,$73K - $110K (Employer est.),"About AutoNation Mobility
Mobility is a recently established business unit and a major strategic pillar behind AutoNation’s strategy to unlock new horizons of growth. AutoNation Mobility is developing products and services to address the needs created from several trends such as 1) the shift from vehicle ownership to vehicle access; 2) the electrification of vehicles; 3) the shift to digital car shopping experiences and 4) the increasing importance of fleets.
Mobility will launch new models of vehicle ownership that provide consumers with more flexible, and convenient ways to access vehicles (compared to financing or leasing), at fair and transparent prices delivered through a seamless digital user experience. AutoNation can leverage its extensive vehicle inventory, nationwide coverage, parts and service, logistics, reconditioning, marketing, and fleet management infrastructure to offer consumers a seamless digital product experience while driving operational excellence and efficiency at every step of the value chain.",4d,
"['AutoNation', '3.7']",https://jobs.autonation.com/,Remote - Software Engineer,Remote,$73K - $110K (Employer est.),"About AutoNation Mobility
Mobility is a recently established business unit and a major strategic pillar behind AutoNation’s strategy to unlock new horizons of growth. AutoNation Mobility is developing products and services to address the needs created from several trends such as 1) the shift from vehicle ownership to vehicle access; 2) the electrification of vehicles; 3) the shift to digital car shopping experiences and 4) the increasing importance of fleets.
Mobility will launch new models of vehicle ownership that provide consumers with more flexible, and convenient ways to access vehicles (compared to financing or leasing), at fair and transparent prices delivered through a seamless digital user experience. AutoNation can leverage its extensive vehicle inventory, nationwide coverage, parts and service, logistics, reconditioning, marketing, and fleet management infrastructure to offer consumers a seamless digital product experience while driving operational excellence and efficiency at every step of the value chain.",4d,
"['AutoNation', '3.7']",https://jobs.autonation.com/,Remote - Software Engineer,Remote,$73K - $110K (Employer est.),"About AutoNation Mobility
Mobility is a recently established business unit and a major strategic pillar behind AutoNation’s strategy to unlock new horizons of growth. AutoNation Mobility is developing products and services to address the needs created from several trends such as 1) the shift from vehicle ownership to vehicle access; 2) the electrification of vehicles; 3) the shift to digital car shopping experiences and 4) the increasing importance of fleets.
Mobility will launch new models of vehicle ownership that provide consumers with more flexible, and convenient ways to access vehicles (compared to financing or leasing), at fair and transparent prices delivered through a seamless digital user experience. AutoNation can leverage its extensive vehicle inventory, nationwide coverage, parts and service, logistics, reconditioning, marketing, and fleet management infrastructure to offer consumers a seamless digital product experience while driving operational excellence and efficiency at every step of the value chain.",4d,
"['AutoNation Headquarters', '3.7']",https://jobs.autonation.com/,Remote - Software Engineer,Remote,$73K - $110K (Employer est.),"**Must be at least 18 years old to be considered.**

Overview:
Position Summary:
The Sr. Software Engineer will develop, enhance, and implement application solutions to support the company’s need for improving internal and regulatory analytical and reporting processes in a timely, accurate and efficient manner.
This person will need to work independently and/or with a team of analysts and developers to create new applications or SSRS reports, initiate and/or introduce enhancements to existing monthly processes and resolve issues with existing applications in an expeditious manner. This position will report to the Corporate Applications Manager and will require significant interaction with several teams such as the Business Operations, Application Teams such as Dev Ops, DBAs, change control, Helpdesk, Problem Resolution Management, Project Managers, Data Center, Quality Assurance, Network Engineering, and some external vendors to identify, review and deploy moderately complex solutions.",10d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846aa9b74d8890253f1a14e18c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_644f31bf&cb=1668236847560&jobListingId=1008249386005&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlajdroim96801-1ghlajdscghpk800-5c7fc6577a049f7b--6NYlbfkN0BbkCBIbkvlTGE5DDVVnbnrkVptyzIJ3AjEDvSb5oUHYe6Ljc2fBZL9e6Dn5mWewfef5_CCtQgU6TgIS3HcRJjXvdonGED74iZ-Z1yT4IF_l-UFrpHWJcroti7TaXn03CvYKnT315nz--QSJoVHLOE9ceZ7X0UFO5nzZ1MOWznlELws8cHL__1CXGwn9dTcqmz4PsHRFu_FxLNzK8leVtMiS_5-OtJonMWqFPqyV17O_xCZTzAZnUc1taf2KpDQ05ClCvWDwCN_z-1qbLL_Up8T40ttYxpm-RFLG8unWnWKr5u9UJmZQVzmbw3suBPv00apAr65BqmhFNKP980PU-qj4BpV1BJYAjfrd_uH2k6kgjgcI55wt9y-Gg8K2mdMtD7wtP9poNpFcOuM1b72MYmK2xmAsdqu1s9kjrrtzTSW46k1mQDQD9vFIXNp1rd3QK7j2W4mSwl80KRu0C_MhxKXlHdTb4jess1EdJnQA0sL9J-O6tTC1bRt
"['AutoNation', '3.7']",https://jobs.autonation.com/,Remote - Software Engineer,Remote,$73K - $110K (Employer est.),"Position Summary:
As a DevOps Engineer you will work in a fast-paced environment with responsibilities supporting our Java and Microsoft .NET development teams. Primarily, this requires ownership of AutoNation's software delivery pipeline (version control, build automation, deployment automation, infrastructure provision using IaC, and monitoring). Secondarily, you will provide Level II assistance to our offshore Application Support Team managing production in AWS, Azure and On-prem datacenters. Experience with Java and Microsoft .NET application stacks is a premium.
This is an onsite position located in the heart of beautiful Downtown Fort Lauderdale, FL.
Job Responsibilities:",30d+,
