Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['CPS Energy', '3.8']",http://www.cpsenergy.com/,Tester 1,"San Antonio, TX",$53K - $81K (Glassdoor est.),"We are engineers, high line workers, power plant managers, accountants, electricians, project coordinators, risk analysts, customer service operators, community representatives, safety and security specialists, communicators, human resources partners, information technology technicians and much, much more. We are 3,300 people committed to enhancing the lives of the communities we serve. Together, we are powering the growth and success of our community progress every day!
Pay Grade
GRADE: 11, 12, 14*
*Qualifications may warrant placement in a different job level*
DEADLINE TO APPLY: November 25, 2022",17d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846a7e389eb3a8ba4f138c5e5e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c9f9eeb8&cb=1668233973990&jobListingId=1008233301704&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl7se6gi6hq801-1ghl7se73i17g800-9a39e6ca818e9253--6NYlbfkN0DtQSW_IO5jJzjKNTLDN7v6QaDnQ6rz0l20G-nv_S0ZsqvR087peSr8nftQpBeQQ5-ndOHyxJO0WHbXrLNwivMTf-mwnc9SC7YBY5zEIALTKkvWvI4bZUK8O68HXcbnWlf94AR4W1-MmgMMDSi5z5K1Hp_DXUBnyX7l2nyOkSGILPfTw7NoPHimF2wqT_XQB2AL-Z1uH4yBhW1J9tUbLhmpxEDXFYH6ZQugwTiYMVZrQUoIUcxhU3PSGxM9NaiSJp5Od2RICLAtg46wxTDz3WPbAANmEEPZ7O7hsirK214uMSN4tTwFVnCjDRuqYalnJG_-15s4V8KcDDwSlGuXaNmZaouSmdQDgMrJuPWefPVxkMfGhAXN5BluWldHpNgzFLzGdsukM6wbmJbYN0UqC9FhU2pipUcHOEbRVxBhjhHaDJigdUg6Wtr89GU-jdkf686b7APRipmlViH8T287rwv4GIUQvdTkGC0uCyo8uZhGXhT3Eo2tOZfooxaZKh4erJNQeV0vLh5bzxg1_X5OqkET9IWQ8JIAfWC6-CBxYcDiXBppv68HRdkDrwdLdNQxTKOcf60NWFMEE1e_8iPTJOljEMFHM2y89iGck4DrFmvxkn0sqkTtCDBu_4FLJN-qKuO_3YDOBSF5jQ%3D%3D
"['Monroe Community College', '4.0']",http://www.monroecc.edu/,Tester 1,"San Antonio, TX",$53K - $81K (Glassdoor est.),"Category:
Support Staff/Civil Service

Subscribe:

Department:
Communications and Network Services

Locations:
Rochester, NY

Posted:
Apr 1, 2022",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846a7e389eb3a8ba4f138c5e5e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_38687165&cb=1668233978611&jobListingId=1007760667484&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl7se6gi6hq801-1ghl7se73i17g800-8a2f7941581a3981--6NYlbfkN0CNlXpYS6pkmlB6887FfYfbIcmbn92GxVWK0DfZjpYH7s71TkZ98HSPxdOZs4hnV8krzzJr5bqpgWn-PuN50nJhEKkLoETMmHYkIgzwzrKElsEioMFSYKtJKfLC9ayzL7SSPPEEo1HkMRE3r4T76xOlVE3N9u8tKqS04slpKQVZ3y6gmXiXPN36XQEmZWRV-iu4Uha5JArOyyXA_57RpAn81_IlXAF-BEuG7DjAPAthVIVFkcYR7A4yEePaTg50MKV7-Loes0beqXo7Lb79tu-ZHFB49OZIzk9t7yAA9Rf5-yHrVGL-xUB7HWQQnnpHpPT7ykL9UBS-zqow60eNspdAV-W-vzR2FMHKoKQFEhIWPRYFUFh_4B9BYtGIyhsce-Xse_BrBqllJ0FAiNpTMIRchTDOav-sblcTUP76-eSpAQIpseni8JUiC8Czy5XdvBEPxucRRyl4mzmtPPuuCd1jLuT8myoH4ExXsssE5D7H7gLSJN_yx-fT9YkX2IN12v2wnKbForGkCw%3D%3D
"['FLEETCOR', '3.5']",http://www.fleetcor.com/,Tester 1,"San Antonio, TX",$53K - $81K (Glassdoor est.),"What we need
FLEETCOR is currently looking to hire an Computer Operations Analyst within our Corporate Overhead division. This position falls under our GCTP line of business and is located in Peachtree Corners, GA. In this role, you will be responsible for performing support activities in computer and network operations under minimal supervision for a 24/7/365 Data Center. This position will also be responsible for operating and monitoring computers, computer-related hardware/software and other operations’ area equipment; along with first level support of reported issues. In addition, this position requires analytical and problem-solving skills to identify, diagnose\triage and escalate issues to the appropriate departments or management. You will report directly to the Command Center manager.

How We Work
As a Computer Operations Analyst you will be expected to work in a virtual environment. FLEETCOR will set you up for success by providing:
Role Responsibilities
Education/Experience
Basic Skills
Additional Skills
Work Environment
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Position requires work schedules of days or nights to support a 24/7/365 work environment
Individual must be flexible to work overtime as needed, in addition to holidays
The above statements describe the general nature and level of work only. They are not an exhaustive list of all required responsibilities, duties, and skills. Other duties may be added, or this description amended at any time.

Benefits & Perks
Our Company & Purpose
FLEETCOR is a global leader in business payments, laser focused on developing smarter ways for businesses to pay their expenses. Since 2000, FLEETCOR has developed innovative digital solutions that help businesses better track, manage, and pay their expenses. Today, FLEETCOR is an S&P 500 company with hundreds of thousands of customers using our products in over 100 countries. Companies of all sizes, industries and geographies rely on our product portfolio to manage spending more quickly, efficiently and securely than ever before.
integrity, collaboration, innovation, execution and people. These values offer you the opportunity to ‘thrive & grow’ through career development, volunteer, community, and wellness initiatives. This allows you to create a balance between professional goals and personal achievement.
FLEETCOR is also committed to building and nurturing a culture of diversity, inclusion, equality, and belonging by:
Embracing diversity enables our people to “make the difference” as FLEETCOR and its more than 8,000 employees continue to shape the future of global payments. Learn more by visiting www.FLEETCOR.com or following FLEETCOR on LinkedIn.

Equal Opportunity/Affirmative Action Employer
FLEETCOR is an Equal Opportunity Employer. FLEETCOR provides equal employment opportunities to all employees and applicants without regard to race, color, gender (including pregnancy), religion, national origin, ancestry, disability, age, sexual orientation, gender identity or expression, marital status, language, ancestry, genetic information, veteran and/or military status or any other group status protected by federal or local law. If you require reasonable accommodation for the application and/or interview process, please notify a representative of the Human Resources Department.
For more information about our commitment to equal employment opportunity and pay transparency, please click the following links: EEO and Pay Transparency
#LI-BF1
#DICE
#INDTECH",8d,
"['City of San Jose', '3.9']",http://www.sanjoseca.gov/,Tester 1,"San Antonio, TX",$53K - $81K (Glassdoor est.),"Budget Analyst I/II - Airport - (2201752)
About the Department

The City of San José, the Capital of Silicon Valley, is one of the nation's best managed cities and one of the top ten cities in which to live, work, and do business. Moreover, San José is the center of cultural, government and economic activity for the region. The employees of the City of San José have embraced the following values: Integrity, Innovation, Excellence, Collaboration, Respect and Celebration. The City's Airport Department is seeking an individual whose values align with the values of the City's employees.
Prior to the impact of COVID, Norman Y. Mineta San José International Airport (SJC) served more than 15 million passengers annually with 450 peak daily departures and arrivals on 13 international and domestic carriers to 50+ nonstop destinations. SJC has been one of America’s fastest-growing major airports over the past four-year period, based on percentage increase in passenger seat capacity. We are looking for team members who can work toward our Mission Statement to “Connect, Serve and Inspire” and our Vision Statement to “Transform how Silicon Valley Travels”. For more information about SJC, visit http://www.sjc.org.",10d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a7e389eb3a8ba4f138c5e5e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_88db8aa0&cb=1668233984189&jobListingId=1008250613585&jrtk=3-0-1ghl7se6gi6hq801-1ghl7se73i17g800-7b3927c9b0d50660-
"['The State of Florida', '3.5']",http://www.myflorida.com/,Tester 1,"San Antonio, TX",$53K - $81K (Glassdoor est.),"Requisition No: 777222
Agency: Department of Law Enforcement
Working Title: OPERATIONS ANALYST I - 71001440
Position Number: 71001440
Salary: $38,291.00
Posting Closing Date: 11/16/2022
OPERATIONS ANALYST I - MULTIPLE
CRIMINAL JUSTICE INFORMATION SERVICES",2d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a7e389eb3a8ba4f138c5e5e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ad9904ff&cb=1668233985822&jobListingId=1008269366535&jrtk=3-0-1ghl7se6gi6hq801-1ghl7se73i17g800-0952c9e96d424490-
"['US Department of Energy - Agency Wide', '4.2']",http://www.energy.gov/,Tester 1,"San Antonio, TX",$53K - $81K (Glassdoor est.),"Duties
This series covers positions managing, supervising, leading, and/or performing administrative and management work.
Vacancies filled under this public notice may have varying levels of promotion potential and supervisory level, if any.
Positions may be filled as permanent, term, or temporary with a full-time or part-time work schedule.
As a Data Scientist you may:
Develops and oversees computational algorithms and statistical methods that find patterns and relationships in large volumes of data sourced from advanced hardware and software.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a7e389eb3a8ba4f138c5e5e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f58e1c53&cb=1668233987827&jobListingId=1008075152769&jrtk=3-0-1ghl7se6gi6hq801-1ghl7se73i17g800-7ded37f0b4c167e7-
"['US Department of Energy - Agency Wide', '4.2']",http://www.energy.gov/,Tester 1,"San Antonio, TX",$53K - $81K (Glassdoor est.),"Duties
This is an Excepted Service position. This appointment will not confer Competitive Service career-conditional or career tenure status. This means that if you are selected, you would have to compete with other applicants in open competition to meet requirements for another Federal position, unless you meet the requirements for reinstatement. Applicants who voluntarily convert from the competitive service, Senior Executive Service, or other pay systems to a non-time limited appointment under this excepted service authority are not afforded ""fallback rights"" to the pay system previously assigned prior to conversion.

At the full performance level GS-13, Business Management Analyst, you will:
Participate in and oversees projects involving the entire spectrum of business management in support of program requirements definition through the sole source or competitive award, administration, and closeout of contracts, task orders, and interagency acquisitions.",15d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a7e389eb3a8ba4f138c5e5e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_af15ae7d&cb=1668233989902&jobListingId=1008238398764&jrtk=3-0-1ghl7se6gi6hq801-1ghl7se73i17g800-7025cc7269e7f681-
"['US Merit Systems Protection Board', '3.5']",http://www.mspb.gov/,Tester 1,"San Antonio, TX",$53K - $81K (Glassdoor est.),"Duties
Is this the job for me?
MSPB's Privacy Analyst position may be the job for you if:
You are interested in working on and developing your knowledge on a range of privacy program issues and deliverables;
You are very organized, and detail and process-oriented;
You enjoy researching and writing, solving problems and recommending solutions;
You are interested in building a program from the ground up;
You are a self-starter who can work both independently and with colleagues to complete assignments and improve processes; and



As MSPB's Privacy Analyst, in support of MSPB's Chief Privacy Officer, you are the core source of expertise on matters affecting privacy in MSPB's creation, collection, use, processing, storage, dissemination, disclosure, and disposal of information about individuals. At the full-performance level, the incumbent's responsibilities include:",2d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a7e389eb3a8ba4f138c5e5e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_55ca9918&cb=1668233991933&jobListingId=1008268473916&jrtk=3-0-1ghl7se6gi6hq801-1ghl7se73i17g800-488d44322692cb53-
"['State of Colorado Job Opportunities', '3.6']",http://www.colorado.gov/,Tester 1,"San Antonio, TX",$53K - $81K (Glassdoor est.),"Department Information
STATE OF COLORADO RESIDENCY REQUIRED: OPTION FOR REMOTE WORK IN STATE

NOTE: This announcement may be used to fill multiple openings.
This position is term-limited through March 31, 2024.

The Department of Health Care Policy & Financing (HCPF) oversees and operates Health First Colorado (Colorado's Medicaid Program), Child Health Plan Plus (CHP+), and other state public health programs for qualified Coloradans. Our mission is to improve health care equity, access and outcomes for the people we serve while saving Coloradans money on health care and driving value for Colorado.

We are committed to increasing the diversity of our staff and providing culturally responsive programs and services. Therefore, we encourage responses from people of diverse backgrounds and abilities.",10d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a7e389eb3a8ba4f138c5e5e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e27e164&cb=1668233993973&jobListingId=1008251022559&jrtk=3-0-1ghl7se6gi6hq801-1ghl7se73i17g800-f69a72b353a242e2-
"['US Bonneville Power Administration', '4.2']",http://www.bpa.gov/,Tester 1,"San Antonio, TX",$53K - $81K (Glassdoor est.),"Duties
***This position is approved to work remotely full-time as part of a pilot, but the employee will be expected to reside within 125 miles from the DOE worksite (Portland, OR).***

As a Disbursement and Receivables Analyst, you will:
Perform analyses and reporting of various metrics within the organization based on customer expectations and business driven requirements.
Develop and implement sampling techniques and methodology to aid in determining what payments vouchers will be reviewed post payment to ensure compliance with internal policies and processes, as well as checking for compliance with applicable federal regulations and law.",10d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a7e389eb3a8ba4f138c5e5e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_89c16b0e&cb=1668233997200&jobListingId=1008251188251&jrtk=3-0-1ghl7se6gi6hq801-1ghl7se73i17g800-2cfd0e8a6dbc66d2-
