Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Avnet', '4.0']",http://www.avnet.com/,Technical Lead Manager (US Remote),"San Jose, CA",$108K - $162K (Glassdoor est.),"Job Summary:

Hackster is a community of engineers and developers dedicated towards learning and contributing to open source technologies. We are looking for an Technology Team Lead that will make crucial decisions in our future goals by providing our community with the most engaging toolsets and software. This role will work in tandem with our business team leaders by assisting in contests, marketing campaigns and other site products.

Applicants should be proficient in Ruby on Rails and React frameworks, respectfully. Further expertise in Postgres, Github project management and workflows, CI build systems (i.e. CircleCI), testing frameworks Rspec and Mocha. Experience with Heroku, AWS and/or GoogleCloud will be useful. Further experience with Node.js is a plus.

Team management experience is a must. This role will over-see an onsite, local developer and an offsite team. This role will control and review all code that makes it to production.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846be5e8f1b15f26214b5bddda&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_68cef389&cb=1668257547154&jobListingId=1006706550891&jrtk=3-0-1ghlubq8uih6o801-1ghlubq9dihlq800-3bc098126f2fbb03-
"['Avnet', '4.0']",http://www.avnet.com/,Technical Lead Manager (US Remote),"San Jose, CA",$108K - $162K (Glassdoor est.),"Sr Web Operations Manager
Job Purpose:
Define and execute the eCommerce & Digital project plan and realize project based business requirements. Manage the delivery of functional enhancements on the transactional web environment (both pre/post launch). Promote, internally and externally, the use of eCommerce at Avnet World Wide. Partner and collaborate with IT and business subject matter experts on systems enhancements and process changes to ensure successful outcomes.
Duties and Responsibilities:
Define, lead and execute the eCommerce Plan
Overall ownership of web projects through the entire project lifecycle
Ownership of benefits articulation and realization
Demonstrate and Communicate benefits case’s on a project-by-project basis",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846be5e8f1b15f26214b5bddda&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c1b1203c&cb=1668257548620&jobListingId=1007988370152&jrtk=3-0-1ghlubq8uih6o801-1ghlubq9dihlq800-61a122b6d7eefcaa-
"['Avnet', '4.0']",http://www.avnet.com/,Technical Lead Manager (US Remote),"San Jose, CA",$108K - $162K (Glassdoor est.),"Job Summary:
Focusing on newer technologies, specifically SAP BW on HANA, S/4HANA, SAP Fiori, Microsoft Azure solutions and migration of application to Azure.
Configures, installs, maintains, upgrades, monitors, troubleshoots, repairs and optimizes computer systems hardware and software. Ensures the overall effectiveness of components. Evaluates, recommends, and implements cost effective improvements that will increase utility, functionality, and/or effectiveness of said components.

Job Level Specifications:
Participate in the Project planning and delivery of new dimensional SAP systems to meet expanding business requirements including installation of SAP Products.
Be part of a global cloud infrastructure team responsible for designing solutions by providing input on:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846be5e8f1b15f26214b5bddda&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d7af8232&cb=1668257551581&jobListingId=1007266696688&jrtk=3-0-1ghlubq8uih6o801-1ghlubq9dihlq800-645af40a764af983-
"['Avnet', '4.0']",http://www.avnet.com/,Senior Manager Web Operations,"Chicago, IL",$118K - $156K (Glassdoor est.),"Sr Web Operations Manager
Job Purpose:
Define and execute the eCommerce & Digital project plan and realize project based business requirements. Manage the delivery of functional enhancements on the transactional web environment (both pre/post launch). Promote, internally and externally, the use of eCommerce at Avnet World Wide. Partner and collaborate with IT and business subject matter experts on systems enhancements and process changes to ensure successful outcomes.
Duties and Responsibilities:
Define, lead and execute the eCommerce Plan
Overall ownership of web projects through the entire project lifecycle
Ownership of benefits articulation and realization
Demonstrate and Communicate benefits case’s on a project-by-project basis",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846be61ce0973069eec7205d7a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_87b45968&cb=1668257561370&jobListingId=1007988370152&jrtk=3-0-1ghluc784kf37801-1ghluc78lghpk800-61a122b6d7eefcaa-
"['Avnet', '4.0']",http://www.avnet.com/,UX Designer,"Phoenix, AZ",$68K - $95K (Glassdoor est.),"WHO YOU ARE:
You can clearly synthesize abstract ideas into tangible solutions for design and you are passionate about problem solving through design. You have a strong sense of ownership and are a staunch advocate for the end user, always solving for them to have the best experience possible.
You embrace a Design Thinking working environment
You have worked in a fast paced Agile environment delivering design solutions into the team.
More specifically:
You have 5+ years of experience working in digital product design teams
You have deep expertise in at least 2 of the following: UX Design, User Research, Visual Design",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846be6425ca2ca81e98fbcbdf6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_da6139e5&cb=1668257571094&jobListingId=1008126128929&jrtk=3-0-1ghlucgl42ord001-1ghlucgligriq800-071d38711308bb7d-
"['Avnet', '4.0']",http://www.avnet.com/,Technical Lead Manager (US Remote),"San Jose, CA",$108K - $162K (Glassdoor est.),"Job Summary:

Hackster is a community of engineers and developers dedicated towards learning and contributing to open source technologies. We are looking for an Technology Team Lead that will make crucial decisions in our future goals by providing our community with the most engaging toolsets and software. This role will work in tandem with our business team leaders by assisting in contests, marketing campaigns and other site products.

Applicants should be proficient in Ruby on Rails and React frameworks, respectfully. Further expertise in Postgres, Github project management and workflows, CI build systems (i.e. CircleCI), testing frameworks Rspec and Mocha. Experience with Heroku, AWS and/or GoogleCloud will be useful. Further experience with Node.js is a plus.

Team management experience is a must. This role will over-see an onsite, local developer and an offsite team. This role will control and review all code that makes it to production.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846be677f4bcb44ce7424eb3cb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_198b5c59&cb=1668257582960&jobListingId=1006706550891&jrtk=3-0-1ghlucu1aj4gt801-1ghlucu1uj46m800-3bc098126f2fbb03-
"['Avnet', '4.0']",http://www.avnet.com/,Technical Lead Manager (US Remote),"San Jose, CA",$108K - $162K (Glassdoor est.),"Sr Web Operations Manager
Job Purpose:
Define and execute the eCommerce & Digital project plan and realize project based business requirements. Manage the delivery of functional enhancements on the transactional web environment (both pre/post launch). Promote, internally and externally, the use of eCommerce at Avnet World Wide. Partner and collaborate with IT and business subject matter experts on systems enhancements and process changes to ensure successful outcomes.
Duties and Responsibilities:
Define, lead and execute the eCommerce Plan
Overall ownership of web projects through the entire project lifecycle
Ownership of benefits articulation and realization
Demonstrate and Communicate benefits case’s on a project-by-project basis",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846be677f4bcb44ce7424eb3cb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b0f48fec&cb=1668257585740&jobListingId=1007988370152&jrtk=3-0-1ghlucu1aj4gt801-1ghlucu1uj46m800-61a122b6d7eefcaa-
"['Avnet', '4.0']",http://www.avnet.com/,Technical Lead Manager (US Remote),"San Jose, CA",$108K - $162K (Glassdoor est.),"Position Summary:
This is a full-time employment position for a MECM / Intune Administrator dedicated primarily to establishing and supporting industry standards and solutions for Avnet’s global client management services. You will be part of a global team that leads all aspects of the MECM and Intune administration requiring excellent collaboration skills. This position focuses on day-to-day activities to maintain and support the MECM and Intune platforms’ overall performance and participation in global projects. The role requires US Citizenship/Permanent Resident and will allow work remotely within the U.S.
Responsibilities:
Perform all work in compliance with company policy and within the guidelines.
To ensure the day-to-day administration of MECM / Intune infrastructure and to maintain it in operational conditions including changes to the core components and settings, software delivery, client health, reporting, boundaries, and bandwidth settings",11d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846be677f4bcb44ce7424eb3cb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_77f26a91&cb=1668257589578&jobListingId=1008246301702&jrtk=3-0-1ghlucu1aj4gt801-1ghlucu1uj46m800-14e3283f1b728ccf-
"['Avnet', '4.0']",http://www.avnet.com/,Trade Security Analyst,"Chandler, AZ",$52K - $78K (Glassdoor est.),"Job Summary:
Performs a variety of activities and serves as a subject matter expert ensuring the company supply chain fully complies with Customs Trade Partnership Against Terrorism (CTPAT) and all other local, national, and international regulatory requirements.

Principal Responsibilities:
Provide oversight of CTPAT program compliance. Responsibilities include:
Regular dialog with program contributors,
Review data reported by contributors for accuracy, completeness, and applicability,
Review suppler list to determine their program compliance,
Identify program gaps and work with stakeholders to fill them,",28d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846be6b0c3a14f557b828e5466&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_38827cad&cb=1668257600382&jobListingId=1008208588921&jrtk=3-0-1ghludc7lkclu801-1ghludc88ghpk800-890e7eafdd0ec111-
"['Avnet', '4.0']",http://www.avnet.com/,Systems Engineer III,"Chandler, AZ",$108K - $162K (Glassdoor est.),"Job Summary:
Consults with customers on a regular basis concerning design, development and maintenance of product. Coordinates installation procedures. Assists sales channel, field teams and customers with technical solutions to support the customer's business objectives.

Principal Responsibilities:
Assists in analyzing data to determine feasibility of product proposal.
May be required to integrate and document Order Specific Information (OSI), first article and prototype orders.
Resolves all technical and process related issues. Documents build process and trains production staff on customer requirements, as well as industry best practices. Consults with other technology staff to evaluate operational and performance requirements of overall design/prototype.",8d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846be6e3bf8a1696855f8fb4d3&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_30cf2af7&cb=1668257612983&jobListingId=1008255241951&jrtk=3-0-1ghludovsia0t801-1ghludp0bi171800-dd5c0d0bcc08f57f-
