Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Baker Hughes', '3.8']",http://www.bakerhughes.com/,Controls and Automation Engineer,"Houston, TX",,"Controls and Automation Engineer

Are you passionate about designing solutions that make an impact?

Do you like working in collaborative teams and solving critical issues?

Join our Baker Hughes Mosaic Team!

Our Mosaic Materials team provides carbon capture solutions to global customers. We help a diverse range of customers across the value chain to capture carbon dioxide emissions for a better tomorrow. Mosaic Materials is dedicated to reducing the cost and environmental impact of fossil fuels through the application of proprietary, highly efficient gas separation technologies.",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b98804089829f8c89ef5cbf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d6b9941b&cb=1668252475350&jobListingId=1008268796494&jrtk=3-0-1ghlph038k6f0801-1ghlph03vj45o800-332dd2d3a94e2bcd-
"['Baker Hughes', '3.8']",http://www.bakerhughes.com/,Controls and Automation Engineer,"Houston, TX",,"At Baker Hughes, we are building a Talent Community of highly talented and motivated professionals for future job roles. If you match the described job role and are as excited as we are to have you on-board in the future, please hit the apply button to be a part of our Talent Community.
As a member of our talent community, you will be amongst the first to get exclusive news about Baker Hughes, various cool projects we are working on, our employee success stories, and new job opportunities you may be interested in.
Responsibilities, authorities and accountabilities
You will be responsible for programing a feature and or a small feature set. You will contribute to the team and works with direction from the Senior Team Members or management but works independently.
In this role, you will:",3d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b98804089829f8c89ef5cbf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6bbbfe16&cb=1668252478871&jobListingId=1008265134420&jrtk=3-0-1ghlph038k6f0801-1ghlph03vj45o800-c6fc4e803e3462f7-
"['Baker Hughes', '3.8']",http://www.bakerhughes.com/,Controls and Automation Engineer,"Houston, TX",,"Do you enjoy being part of a successful team?

Would you enjoy testing innovative software for energy products?

Join our Bently Nevada Engineering team!

Bently Nevada, a Baker Hughes business, is an industry leader in condition monitoring and machine asset protection. Join our team of professional engineers specializing in plantwide, holistic suite of machine condition monitoring and protection hardware, software, and services that help our customers achieve the highest level of asset reliability possible. With over 60 years of experience and truly global support, our business supports many industries including renewable power generation through wind and hydro turbine monitoring solutions.",3d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b98804089829f8c89ef5cbf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2a2d6965&cb=1668252480985&jobListingId=1008265834372&jrtk=3-0-1ghlph038k6f0801-1ghlph03vj45o800-7311ee45ce10d653-
"['Baker Hughes', '3.8']",http://www.bakerhughes.com/,Controls and Automation Engineer,"Houston, TX",,"Staff Software Engineer (Remote)
Are you a Software Engineer looking for an innovative change?

Do you enjoy being part of a successful team?

Join our Bently Nevada Software Engineering Team!

Bently Nevada is a growing software, hardware, and services company who partners with world-class industrial customers for asset protection, condition monitoring, and reliability. Over 60 years of expertise to design, develop, and drive the manufacturing high-caliber, edge to cloud plant-wide hardware and software solutions that enable customer operations to become more safe, reliable, and productive.















As part of our commitment to the health and safety of our employees, customers and the communities in which we operate, this role requires full vaccination for COVID-19 prior to beginning work. Requests for reasonable accommodations due to valid medical reasons, a sincerely held religious belief, or other personal conscience objection will be considered on a case-by-case basis, including but not limited to essential job duties, in accordance with applicable law.",24d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b98804089829f8c89ef5cbf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d1ceb4d7&cb=1668252484697&jobListingId=1008216696849&jrtk=3-0-1ghlph038k6f0801-1ghlph03vj45o800-41d92e8b557c2542-
"['Baker Hughes', '3.8']",http://www.bakerhughes.com/,Controls and Automation Engineer,"Houston, TX",,"Automation Engineer

Do you enjoy being part of a successful team?

Do you have a solid background in robotics and automation?

Join our Baker Hughes Bently Nevada Team!

Baker Hughes Bently Nevada offers a holistic suite of machine condition monitoring and protection hardware, software, and services. We help ensure you achieve the highest level of asset reliability.
















As part of our commitment to the health and safety of our employees, customers and the communities in which we operate, this role requires full vaccination for COVID-19 prior to beginning work. Requests for reasonable accommodations due to valid medical reasons, a sincerely held religious belief, or other personal conscience objection will be considered on a case-by-case basis, including but not limited to essential job duties, in accordance with applicable law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b98804089829f8c89ef5cbf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ce029f36&cb=1668252486579&jobListingId=1007910941989&jrtk=3-0-1ghlph038k6f0801-1ghlph03vj45o800-0a0064de0206804e-
"['Baker Hughes', '3.8']",http://www.bakerhughes.com/,Controls and Automation Engineer,"Houston, TX",,"Software Engineer
Would you like to shape the future of energy technology?
Do you enjoy being part of a successful team?
Join our Team
As an energy technology company, Baker Hughes is leading at the tech edge, developing, and delivering technologies that will improve outcomes for our customers.
The BakerHughesC3.ai (BHC3) joint venture alliance is leading the development and deployment of AI/ML products and solutions for the oil and gas industry and enabling digital transformation working closely with our customers. BHC3 technology and services team consists of domain experts, data scientists, machine learning engineers, software engineers and architects who collaborate to solve the most critical problems in oil & gas industry.
As part of our commitment to the health and safety of our employees, customers and the communities in which we operate, this role requires full vaccination for COVID-19 prior to beginning work. Requests for reasonable accommodations due to valid medical reasons, a sincerely held religious belief, or other personal conscience objection will be considered on a case-by-case basis, including but not limited to essential job duties, in accordance with applicable law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b98804089829f8c89ef5cbf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_15e43b8f&cb=1668252489402&jobListingId=1008033328084&jrtk=3-0-1ghlph038k6f0801-1ghlph03vj45o800-686adc8f5dffc283-
"['Baker Hughes', '3.8']",http://www.bakerhughes.com/,Controls and Automation Engineer,"Houston, TX",,"At Baker Hughes, we are building a Talent Community of highly talented and motivated professionals for future job roles. If you match the described job role and are as excited as we are to have you on-board in the future, please hit the apply button to be a part of our Talent Community.
As a member of our talent community, you will be amongst the first to get exclusive news about Baker Hughes, various cool projects we are working on, our employee success stories, and new job opportunities you may be interested in.
Responsibilities, authorities and accountabilities
You will be responsible for programming a feature and or a small feature set. You will contribute to the team and works with direction from the Senior Team Members or management but works independently.
In this role, you will:",3d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b98804089829f8c89ef5cbf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_96bdde2d&cb=1668252492343&jobListingId=1008265134438&jrtk=3-0-1ghlph038k6f0801-1ghlph03vj45o800-25db452d97cdb128-
"['Baker Hughes', '3.8']",http://www.bakerhughes.com/,Controls and Automation Engineer,"Houston, TX",,"Are you passionate about Quality in Engineering?
Would you like to take ownership of our metrics and analysis?
Join our world class Oilfield Services Team
Our Oilfield Services business provides intelligent, connected technologies to monitor and control our energy extraction assets. We provide customers with the peace of mind needed to reliably and efficiently improve their operations. We provides valuable financial insight to the business for key areas such as planning, budgeting and forecasting.
Partner with the best
As an Engineering Software Developer, you will be responsible for designing complex computational modules, critical components or an application in its entirety. You will work independently and be seen as a technical leader.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b98804089829f8c89ef5cbf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_33c9b54f&cb=1668252495119&jobListingId=1008184524053&jrtk=3-0-1ghlph038k6f0801-1ghlph03vj45o800-f7ca86fe9351e907-
,,Controls and Automation Engineer,"Houston, TX",,,3d,
"['Baker Hughes', '3.8']",http://www.bakerhughes.com/,Controls and Automation Engineer,"Houston, TX",,"Software Engineer – Bently Nevada

Are you excited about software engineering?

Are you passionate about designing software solutions that make an impact?

Join our Bently Nevada Team!
The Bently Nevada, a Baker Hughes business, offers a plant-wide, holistic suite of machine condition monitoring and protection solutions that help customers achieve the highest level of asset reliability possible.






Are you seeking an opportunity to make a real difference in a company with a global reach and exciting services and clients? Come join us and grow with a team of people who will energize and inspire you!
As part of our commitment to the health and safety of our employees, customers and the communities in which we operate, this role requires full vaccination for COVID-19 prior to beginning work.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b98804089829f8c89ef5cbf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_544b6d13&cb=1668252500799&jobListingId=1007898959350&jrtk=3-0-1ghlph038k6f0801-1ghlph03vj45o800-83c52d8a6292cc25-
