Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Bank of America', '4.0']",http://www.bankofamerica.com/,Software Engineer I - New Jersey,"Jersey City, NJ",$82K - $126K (Glassdoor est.),"Job Description:
At Bank of America, we focus on providing our clients with innovative, market leading and safe solutions. We do this by leveraging the most advanced Technology tools, linking these to your creativity and skills. You can help Bank of America continue to transform the way customers and clients bank with us. Our teams design, develop platforms and systems supporting our customers, clients and the bank’s employees globally. You’ll be part of an Technology organization who invests Billions of dollars annually in new Technology solutions, is a leading patent creator and values individuals who push themselves and their teams to deliver the best solutions possible for our customers and employees. We have market-leading positions in all our business’s whether supporting individuals, small businesses or large corporates. That success comes directly from the capabilities you and your Technology teammates deliver.


H6
1st shift (United States of America)
40
0",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b0ae25494b8723d9716557b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3bfdf4ea&cb=1668243215375&jobListingId=1008269548265&jrtk=3-0-1ghlglok0k639801-1ghlglokli3af800-c96c95690a5da5da-
"['Bank of America', '4.0']",http://www.bankofamerica.com/,Software Engineer I - New Jersey,"Jersey City, NJ",$82K - $126K (Glassdoor est.),"Job Description:
Position Summary
Java resource to perform Java coding for eProfile application.
Required Skills
4+ years of relevant experience in Java development
Experience performing code reviews.
Familiar with functional and object-oriented approaches to JavaScript
Core Java, J2EE, Websphere application server, Horizon, bitbucket
H6
1st shift (United States of America)
40
0",6d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b0ae25494b8723d9716557b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_20601d0a&cb=1668243220585&jobListingId=1008259518668&jrtk=3-0-1ghlglok0k639801-1ghlglokli3af800-36f0113d12b103f2-
"['Bank of America', '4.0']",http://www.bankofamerica.com/,Software Engineer I - New Jersey,"Jersey City, NJ",$82K - $126K (Glassdoor est.),"Job Description:
Overview:
We are seeking a CSA or CSSA certified Pega Software Developer for the role of Software Engineer II. The desired candidate is a mid-to-senior level Pega developer who will participate in a scrum team and have responsibility of designing, developing, and unit testing assigned features that will vary in complexity.
Global Banking Technology - (GBT) leads development of the next generation of integrated banking technology solutions to drive business growth for our Commercial, Corporate, Investment Banking, Capital Markets, and Merger & Acquisition (M&A) clients. Globally, GBT manages the critical systems and multiple platforms needed to maintain the enterprise’s market-leading positions in key segments, including deposits, payment products, treasury services, investment banking, and sales and trading. Today, with a deep focus on service and innovation, GBT delivers high-performance, globally scalable financial systems and solutions that support Bank of America’s current and future growth through innovation and the power of our people. Each year, we manage $72 trillion in payments, receivables and deposit transactions through CashPro®, our award-winning platform accessed by approximately 500,000 users worldwide. Global Banking Technology is part of the Global Technology unit of Bank of America, N.A., which is a global leader in banking, markets and financial technology. Global Banking Technology employs more than 6,000 professionals across 38 global markets in more than 15 countries.
H5
1st shift (United States of America)
40
0",22d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b0ae25494b8723d9716557b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4876419b&cb=1668243224106&jobListingId=1008221742177&jrtk=3-0-1ghlglok0k639801-1ghlglokli3af800-eb19c5cf5e1d31ec-
"['Bank of America', '4.0']",http://www.bankofamerica.com/,Software Engineer I - New Jersey,"Jersey City, NJ",$82K - $126K (Glassdoor est.),"Job Description:
Strong hands-on Python/JAVA developer with 8 plus years of development experience is required.
Must have Python development experience in a development facility like SecDB or Athena or Quartz.
Experience architecting/designing end-to-end application flows.
Exposure to Agile methodologies is required.
Must have financial product knowledge such as Rates, Structured Notes and derivative products and their risk management.
Exposure to Front, Middle Office and Quantitative business functions is a plus.
H5
1st shift (United States of America)
40
5000",2d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b0ae25494b8723d9716557b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9f39f062&cb=1668243227749&jobListingId=1008268791625&jrtk=3-0-1ghlglok0k639801-1ghlglokli3af800-c37451f6a1dfacad-
"['Bank of America', '4.0']",http://www.bankofamerica.com/,Software Engineer I - New Jersey,"Jersey City, NJ",$82K - $126K (Glassdoor est.),"Job Description:
Design, develop and integrate services in large-scale distributed enterprise infrastructure
Application software developer will be the subject matter expert for an application and coordinate its development and integration activities.
Capable of multi-tasking and prioritizing efficiently.
Utilizes multiple architectural components (across data, application, business) in design and development of client requirements.
Strong analytical mindset with proven technical analysis and research, problem-solving skills, and diagnostic ability.
H5
1st shift (United States of America)
40
0",3d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b0ae25494b8723d9716557b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_006e7599&cb=1668243230256&jobListingId=1008265827570&jrtk=3-0-1ghlglok0k639801-1ghlglokli3af800-67f849ce02fb9ac3-
"['Bank of America', '4.0']",http://www.bankofamerica.com/,Software Engineer I - New Jersey,"Jersey City, NJ",$82K - $126K (Glassdoor est.),"Job Description:
Job Description Summary:
We are seeking a CSA or CSSA certified Pega developer for the role of Software Engineer. The desired candidate is a mid to senior-level Pega developer who will participate in a scrum team and have responsibility of designing, developing, and unit testing assigned features that will vary in complexity.
Global Banking Technology - (GBT):
Believes diversity makes us stronger so we can reflect, connect and meet the diverse needs of our clients and employees around the world
Is committed to building a workplace where every employee is welcomed and given the support and resources to perform their jobs successfully",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b0ae25494b8723d9716557b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2a78dda5&cb=1668243234121&jobListingId=1008036302456&jrtk=3-0-1ghlglok0k639801-1ghlglokli3af800-4a258eb42879b168-
"['Bank of America', '4.0']",http://www.bankofamerica.com/,Software Engineer I - New Jersey,"Jersey City, NJ",$82K - $126K (Glassdoor est.),"Job Description:
Bank of America is one of the world's largest financial institutions, serving individual consumers, small and middle market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk-management products and services. Following the acquisition of Merrill Lynch on January 1, 2009, Bank of America is among the world's leading wealth management companies and is a global leader in corporate and investment banking and trading across a broad range of asset classes serving corporations, governments, institutions and individuals around the world. In Canada, Bank of America has a strong market position on which to continue to build, as well as a clear commitment to the market.
Job Description
Quartz is revolutionizing the way Global Markets does business at Bank of America Merrill Lynch. Quartz will be the primary platform for pricing trades, managing positions, and computing risk exposure. Thousands of developers are using the highly-agile platform to deliver applications to thousands of end users.
H6
37.5
0",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b0ae25494b8723d9716557b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_661a42ce&cb=1668243238138&jobListingId=1007987641318&jrtk=3-0-1ghlglok0k639801-1ghlglokli3af800-3346c220ad684585-
"['Bank of America', '4.0']",http://www.bankofamerica.com/,Software Engineer I - New Jersey,"Jersey City, NJ",$82K - $126K (Glassdoor est.),"Job Description:
Serve as a senior core member of the application development team by actively contributing to design and technical decisions; demonstrate prototypes / proof of concepts; develop code; conduct code reviews. Mentor junior programmers and conduct technical training sessions. Works with minimal supervision, manages own time effectively. Coordinate production releases. - Bachelor's Degree In Computer Science, Computer Information Systems, Information Technology or a related field - 5+ years of experience - 3 years of experience in Loans and Fixed Income assets domain. - Very Strong Object Oriented design skills and UI development skills - AMPS, WPF, WCF, Python, Java, C, C++ - Database - SQL / Oracle / No SQL DB's. Good at writing PL/SQL - Knowledge of loan systems like LoanTrak, ACBS and LoanIQ - Knowledge of LoanIQ api's would be a plus.
Additional Responsibilities:
H5
1st shift (United States of America)
40
5000",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b0ae25494b8723d9716557b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f23c7299&cb=1668243242307&jobListingId=1008191753481&jrtk=3-0-1ghlglok0k639801-1ghlglokli3af800-c47c98f1cff19d65-
"['Bank of America', '4.0']",http://www.bankofamerica.com/,Software Engineer I - New Jersey,"Jersey City, NJ",$82K - $126K (Glassdoor est.),"Job Description:
Enterprise Risk & Finance Technology (ERFT) at Bank of America
Believes diversity makes us stronger so we can reflect, connect and meet the diverse needs of our clients and employees around the world.
Is committed to building a workplace where every employee is welcomed and given the support and resources to perform their jobs successfully.
Wants to be a great place for people to work and strives to create an environment where all employees have the opportunity to achieve their goals.
Provides continuous training and development opportunities to help employees achieve their career goals, whatever their background or experience.
H5
1st shift (United States of America)
40
0",17d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b0ae25494b8723d9716557b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ee05df8c&cb=1668243244266&jobListingId=1008234655034&jrtk=3-0-1ghlglok0k639801-1ghlglokli3af800-3a68f1fc509e1e4c-
"['Bank of America', '4.0']",http://www.bankofamerica.com/,Software Engineer I - New Jersey,"Jersey City, NJ",$82K - $126K (Glassdoor est.),"Job Description:
This role will ensure that software is developed to meet functional, non-functional, and compliance requirements. The successful candidate will code solutions, unit tests, and ensure the solution can be integrated successfully into the overall application/system with clear, robust and well-tested interfaces.
They will contribute to story refinement/defining requirements, participate and guide team in estimating work necessary to realize a story/requirement through the delivery lifecycle. Additionally, they will perform spike/proof of concept as necessary to mitigate risk or implement new ideas, code solutions and unit tests to deliver a requirement/story per the defined acceptance criteria and compliance requirements.
The candidate will utilize multiple architectural components (across data, application, business) in design and development of client requirements and assist team with resolving technical complexities involved in realizing story work.
H5
1st shift (United States of America)
40
0",1d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b0ae25494b8723d9716557b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cf3030fb&cb=1668243246141&jobListingId=1008272878812&jrtk=3-0-1ghlglok0k639801-1ghlglokli3af800-9b10525d7f35c510-
