Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['The Bank of New York Mellon Corporation', '3.7']",http://www.bnymellon.com/,"Principal, Database Developer","Oriskany, NY",$108K - $200K (Employer est.),"The Role
Consults with internal business groups to provide appropriate application software development services or technical support.
Provides application software development services or technical support in more complex situations.
May also be responsible for requirements gathering and BRD/SRD preparation.
Has thorough knowledge of the Software Development Life Cycle.
Conducts reviews of the test Plan and test Data.
May allocate/ coordinate work within a team/project.
The job holder leads the technical design, development and documentation of cross-functional, multi-platform application systems.




BNY Mellon assesses market data to ensure a competitive compensation package for our employees. The base salary for this position is expected to be between $108,000 and $200,000 per year at the commencement of employment. However, base salary if hired will be determined on an individualized basis, including as to experience and market location, and is only part of the BNYM total compensation package, which, depending on the position, may also include commission earnings, discretionary bonuses, short and long-term incentive packages, and Company-sponsored benefit programs.
This position is at-will and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation) at any time, including for reasons related to individual performance, change in geographic location, Company or individual department/team performance, and market factors.",24h,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a41898aa0c691911e0b86b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_61e42d4d&cb=1668229996976&jobListingId=1008274522882&jrtk=3-0-1ghl432dthapq801-1ghl432eci9iu800-9054ecfafa0075da-
,,"Principal, Database Developer","Oriskany, NY",$108K - $200K (Employer est.),,30d+,
"['The Bank of New York Mellon Corporation', '3.7']",http://www.bnymellon.com/,"Principal, Database Developer","Oriskany, NY",$108K - $200K (Employer est.),"Our Team:
Enterprise Data Management is focused on delivering the firm’s master data strategy, implementing enterprise data policies & governance, driving a holistic access to data via our data Lake, and enabling the business to deliver advanced outcomes for ourselves and our customers using AI/ML techniques.
In the process of focusing on this agenda - we participate in the remediation of data centric regulation. We help our operations teams transform how we operate, while optimizing our data centric cost structure and reducing our operating & regulatory risk, and provide innovative, data centric commercial opportunities.
The Role:",30d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a41898aa0c691911e0b86b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b20370c2&cb=1668230000660&jobListingId=1008202899738&jrtk=3-0-1ghl432dthapq801-1ghl432eci9iu800-989b7f91fa2231c1-
"['The Bank of New York Mellon Corporation', '3.7']",http://www.bnymellon.com/,"Principal, Database Developer","Oriskany, NY",$108K - $200K (Employer est.),"Our Team
Technology Services Group (TSG) powers BNY Mellon by providing scale, capacity, and capability to deliver the critical technology required to operate the global financial services markets.
TSG is defined by three core values:
Creative innovators, delivering excellence and simplicity
Always doing the right thing for the bank, colleagues, and clients
Fostering a collaborative, diverse and inclusive environment, where we challenge each other to execute as one TSG team",24h,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a41898aa0c691911e0b86b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9f59c4f6&cb=1668230004586&jobListingId=1008274522822&jrtk=3-0-1ghl432dthapq801-1ghl432eci9iu800-0e4e177b3dfa1e79-
"['The Bank of New York Mellon Corporation', '3.7']",http://www.bnymellon.com/,"Principal, Database Developer","Oriskany, NY",$108K - $200K (Employer est.),"BNY Mellon offers an exciting array of future-forward careers at the intersection of business, finance and technology. Known as the “bank of banks” - 97% of the world’s top banks work with us as we lead and serve our customers into the new era of digital.
With over 237 years of rich history and industry firsts, BNY Mellon has been built upon our ability to evolve, lead and drive new ideas at every turn. Today, we’re more than 50k+ employees across 35 countries with a culture that empowers you to grow, take risks, experiment and be yourself.
Bring your ideas. Make history.
Software Engineering & Technology University Program (S.E.T.U.P)
S.E.T.U.P (Software Engineering & Technology University Program) is an 18-month entry-level technology program that is designed to develop and retain high-potential talent.",3d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a41898aa0c691911e0b86b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d02dc1c3&cb=1668230006605&jobListingId=1008266466834&jrtk=3-0-1ghl432dthapq801-1ghl432eci9iu800-eb71672009143c40-
"['The Bank of New York Mellon Corporation', '3.7']",http://www.bnymellon.com/,"Principal, Database Developer","Oriskany, NY",$108K - $200K (Employer est.),"O ur Team
Technology Services Group (TSG) keeps BNY Mellon's technology running and defines and executes the firm’s technology strategy, positioning us for tomorrow. From the computers and collaboration tools of our employees to modernized infrastructure platforms and core services, we ensure that the firm’s systems are running optimally while enabling business innovation and productivity. We also oversee BNY Mellon’s architecture and data, guiding the firm through technology changes necessary to execute business strategies.
As part of TSG, the Application Infrastructure & Middleware team automates Middleware Engineering, including Platform Security, Application Messaging, Web Authentication, Public Cloud Engineering & Storefront. We also lead Java Engineering CoE.
The Role




BNY Mellon assesses market data to ensure a competitive compensation package for our employees. The base salary for this position is expected to be between $89,500 and $0 per year at the commencement of employment. However, base salary if hired will be determined on an individualized basis, including as to experience and market location, and is only part of the BNYM total compensation package, which, depending on the position, may also include commission earnings, discretionary bonuses, short and long-term incentive packages, and Company-sponsored benefit programs.
This position is at-will and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation) at any time, including for reasons related to individual performance, change in geographic location, Company or individual department/team performance, and market factors.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a41898aa0c691911e0b86b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_02787312&cb=1668230008167&jobListingId=1008131365260&jrtk=3-0-1ghl432dthapq801-1ghl432eci9iu800-a9eb30eb2c7ddd65-
"['BNY Mellon', '3.7']",http://www.bnymellon.com/,"Principal, Database Developer","Oriskany, NY",$108K - $200K (Employer est.),"Overview
The Bank of New York Mellon is seeking an experienced Java Developer to be responsible for delivering implementations for technical solutions. The Java developer will work with the team and develop the application, unit test, and deploy.

Responsibilities:
Designs solutions, carries out development tasks, and guides junior team members in development and L3 production support.
Works with the application software development services for small to very large complex projects.
Responsible for all facets of the BNYM development life cycle from Planning through Implementation.
Coordinates testing efforts to ensure a high-quality product for implementation.
Collaborates with team members to perform all change management practices and policies related to coding, testing and implementation activities.
Contributes to estimates and project plans.
Provides guidance on best practices to junior team members.
Awareness and compliance of all risk and compliance controls.
Conducts reviews of the test Plans and test Data.
May allocate/ coordinate work within a team/project.
Ensures application performance standards are appropriately defined and achieved.
Collaborates with the business partners to identify and implement appropriate solutions.
BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals With Disabilities/Protected Veterans.
Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.


For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the investment lifecycle. BNY Mellon can act as a single point of contact for clients looking to create, trade, hold, manage, service, distribute or restructure investments and safeguards nearly one-fifth of the world's financial assets. BNY Mellon remains one of the safest, most trusted and admired companies. Every day our employees make their mark by helping clients better manage and service their financial assets around the world. Whether providing financial services for institutions, corporations or individual investors, clients count on the people of BNY Mellon across time zones and in 35 countries and more than 100 markets. It's the collective ambition, innovative thinking and exceptionally focused client service paired with a commitment to doing what is right that continues to set us apart. Make your mark: bnymellon.com/careers.


BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer. Minorities/Females/Individuals With Disabilities/Protected Veterans. Our ambition is to build the best global team – one that is representative and inclusive of the diverse talent, clients and communities we work with and serve – and to empower our team to do their best work. We support wellbeing and a balanced life, and offer a range of family-friendly, inclusive employment policies and employee forums.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a41898aa0c691911e0b86b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e381784a&cb=1668230012006&jobListingId=1008152891370&jrtk=3-0-1ghl432dthapq801-1ghl432eci9iu800-1c319903ac121da1-
"['The Bank of New York Mellon Corporation', '3.7']",http://www.bnymellon.com/,"Principal, Database Developer","Oriskany, NY",$108K - $200K (Employer est.),"Our Team
Technology Services Group (TSG) powers BNY Mellon by providing scale, capacity, and capability to deliver the critical technology required to operate the global financial services markets.
TSG is defined by three core values:
Creative innovators, delivering excellence and simplicity
Always doing the right thing for the Bank, colleagues, and clients
Fostering a collaborative, diverse and inclusive environment, where we challenge each other to execute as one TSG team
As part of TSG, the Architecture & Engineering team",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a41898aa0c691911e0b86b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_194ba433&cb=1668230015898&jobListingId=1008134129096&jrtk=3-0-1ghl432dthapq801-1ghl432eci9iu800-d364490d983f2af8-
"['The Bank of New York Mellon Corporation', '3.7']",http://www.bnymellon.com/,"Principal, Database Developer","Oriskany, NY",$108K - $200K (Employer est.),"Our Team
Technology Services Group (TSG) keeps BNY Mellon's technology running and defines and executes the firm’s technology strategy, positioning us for tomorrow. From the computers and collaboration tools of our employees to modernized infrastructure platforms and core services, we ensure that the firm’s systems are running optimally while enabling business innovation and productivity. We also oversee BNY Mellon’s architecture and data, guiding the firm through technology changes necessary to execute business strategies.
As part of TSG, the Application Infrastructure & Middleware team automates Middleware Engineering, including Platform Security, Application Messaging, Web Authentication, Public Cloud Engineering & Storefront. We also lead Java Engineering CoE.
The Role




BNY Mellon assesses market data to ensure a competitive compensation package for our employees. The base salary for this position is expected to be between $63,000 and $0 per year at the commencement of employment. However, base salary if hired will be determined on an individualized basis, including as to experience and market location, and is only part of the BNYM total compensation package, which, depending on the position, may also include commission earnings, discretionary bonuses, short and long-term incentive packages, and Company-sponsored benefit programs.
This position is at-will and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation) at any time, including for reasons related to individual performance, change in geographic location, Company or individual department/team performance, and market factors.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a41898aa0c691911e0b86b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_086eb20a&cb=1668230017841&jobListingId=1008131365265&jrtk=3-0-1ghl432dthapq801-1ghl432eci9iu800-ab8bdbf7029c16c2-
"['The Bank of New York Mellon Corporation', '3.7']",http://www.bnymellon.com/,"Principal, Database Developer","Oriskany, NY",$108K - $200K (Employer est.),"Provides application software development services or technical support in more complex situations. May also be responsible for requirements gathering and BRD/SRD preparation. Has thorough knowledge of the Software Development Life Cycle. Conducts reviews of the test Plan and test Data. May allocate/ coordinate work within a team/project. The job holder leads the technical design, development and documentation of cross-functional, multi-platform application systems. S/he analyzes, defines and documents requirements for data, workflow, and logical processes and interfaces with other systems. S/he also ensures that expected application performance levels are achieved by coordinating, coding, testing, implementation and documentation.Programming well-designed, testable, efficient code. Analyze, design and develop tests and test-automation suites. Develop flowcharts, layouts and documentation to satisfy requirements and solutions. Maintain software functionality and currency (technical debt and gain). Actively participate in code reviews. Integrate software components into a fully functional software system. Apply security and privacy principles.Execute full lifecycle software development. Develop software verification plans and quality assurance procedures. Troubleshoot, debug and upgrade existing systems. Ensure software is updated with latest features. Participate in deployment process following all change controls. Provide ongoing maintenance, support and enhancements in existing systems and platforms. Provide recommendations for continuous improvement.Active learning engagement. Complete all required mandatory training / policy awareness curricula on time. Use learning tools such as Pluralsight to complete both recommended and aspirational targets set in personal development plans.Demonstrate team work. Leverage existing products/functionality and promote reuse. Work alongside other engineers on the team to elevate technology and consistently apply best practices. Collaborate closely with all the other members of the team to take shared responsibility for the overall efforts that the team has committed to. Collaborate cross-functionally with data engineers, business users, project managers and other engineers to achieve elegant solutions. Utilize local meetups to gain and share knowledge.Compiles documentation written by more senior developers of all procedures used in system. Acts as mentor to junior level engineers. Experience in developing front end, web or mobile software development using two or more of the following JavaScript, HTML, CSS, NodeJS, Angular .Communications and organization skills; team work skills Contributes to the achievement of related teams' objectives",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a41898aa0c691911e0b86b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_17dbe409&cb=1668230021602&jobListingId=1008165478034&jrtk=3-0-1ghl432dthapq801-1ghl432eci9iu800-36f8bef02339580f-
