Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Current Health', '3.9']",https://www.currenthealth.com/,Senior Software Engineer (Integrations),Remote,$130K - $160K (Employer est.),"Current Health is a leader in the movement to transition more healthcare into the home. We’re a technology company, but beyond our best in class hardware and software capabilities, we help healthcare organizations operationalize care at home and deliver excellent patient experiences through helping with the last mile of care logistics and services. We partner with leading healthcare organizations to advance home-based care in the US, the UK, and around the world.
More than doubling in size in the last year, we’re building a global team united in one purpose: helping people live healthier, longer lives by predicting disease and enabling earlier treatment. At Current Health, we seek to put patients first, solve problems with curiosity and creativity, pursue uncommon collaboration, and never stop growing. We’re a remote-first company, which means that everything from how we work, communicate, and socialize is shaped by tools and culture that prioritize collaboration and support independence.





Java, Microservices, AWSJava",24h,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846ca5f39092599074f97e4b92&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6ba980d7&cb=1668270131029&jobListingId=1008275904472&jrtk=3-0-1ghmabsu3j4ip801-1ghmabsum24hh000-0bd2e0b8d7bc3d17--6NYlbfkN0DG4ntHtB_rMsnfhgmnSvK2brktLme1L4SiDeJjQ-izrVOLqRJ5-yjE7k3D6lhaa8_X2jmZpw6njgomfZe3aZGRp69xOtYMjsyp8PSLS-XdpjrhQtax7aC5VmOEbnWHrZ2T2wSvaQZ88jTlJDZUgKwYG7-9JiWShascRia2RYt9zBuPMTFbXwU_2a89t3e3NcBo-kxfCQ2MEbBKrqAiIH9B9a31aNGi88dMXp-aJh4hWrhz-23fcNZ7nY23xToq-C4Hv_aKki5V874SHUqHaMUMHAvsTrVjG0k85Gc5iKRWsC0uduN0kwIiOH-rZDJP508mpK6EmuSjil4dTW4yX4tLvPK--HkpIZ_XOAMRTBUteR3_5QVfRPZREB-D185oB715qV7Mgbhuk3yTKowl2H0LRHJagXpAN63RRkFaWP0pGYuLiHbPvowuD7YOZdbnZxrVis3kMfkSk4_dCz0aSnaq8riqBh9cYurHJAnp26CkVQzNsBJpJIn3tK0EnGMj4lz2A8N1lH-UxBeG_j5avFleffhbBkY1ku43uMxPFaEl3ImIlFxwSZ0Lcd9QakizS7FTYCDxYBsfrVT7ux79jo5UfIT22syLEbExCt0dX63fTwN1Qb2uyxUDwEH9Tbp-2friWxuqkwKSVSjXLfwhBkzYA_VVh9PpcvnOo4Qhb1vVM4hMovNyFRDe8gmK-Zjg8_1gkRB_asHjv2fHeX52syYm8BQh0pWflH9A-4yHpeUwQb1cn6XGbTn004UB2-vLBRWYzKbF5NrvIoXQscMxH6dMCmdStfzTmA2Md9DLncU-aA3CpaqRWzycHBopIpj8C3zaQKbh34mXSDm9VDij830Ar1-FdxOYNsEiFwWlvWI8_mtDPWEg1Z1s_UsDLGybzCiI5BilNk3LcMjXcT2QyGhcs1hPW9JJ5fWWlWHf-INgnpwO1GCIVC5qcrVmdwm_oBfwtHa6Dg3HYyrzo0xJs83Flo8bNxdy2iKZdkBDaHkFUEzxUCtqK1QV1fFc-a57HtdNRFdVY8i9qiC2bYnFkjJoJLt9goOAO-6H_bS4HNwJC1o0OFhFGVfTZBvwRTnDrMjkLM_U838e4w%3D%3D
"['Best Buy', '3.7']",http://www.bestbuy.com/,Senior Software Engineer (Integrations),Remote,$130K - $160K (Employer est.),"Best Buy Co., Inc. has an opening for a Full Stack Engineer position in Seattle, Washington. Deliver technical software engineering work in the development of mobile eCommerce products, tools, platforms and services for internal and external customers. Serve as a member of a mobile engineering team to develop and maintain Android- and iOS-based system applications, in accordance with Best Buy’s methodologies, technical standards, time and budget estimates. Analyze needs and software requirements. Work with internal/external developers to translate architecture requirements into detailed parameters by which coding must comply. Create, review, approve technical designs and specifications for a specific portion or function of a system. Evaluate and integrate various libraries and services. Collaborate, negotiate, and confer regarding API design requirements, systems design, project limits/ capabilities, and performance requirements. Develop software that integrates SDKs (Software Development Kits) into Best Buy applications. Participate in daily scrums, backlog grooming, sprint planning, design workshops, and preparation/writing test scripts. Write code; unit test code for robustness, usability, and reliability; and improve software application performance as needed. Mentor junior engineers. Use RESTful architecture, and other tools and technologies, such as Git and Jenkins, in performing software engineering work. Requires Bachelor’s degree or foreign equivalent in Computer Science, Computer Science and Engineering, Electrical Engineering, Computer Information Systems, Information Systems, or Information Technology, plus two (2) years of experience 1) with mobile development (iOS & React Native); 2) performing unit testing; 3) developing applications using Software Development Lifecycle and data structures; and 4) using the following technologies: REST, Xcode, CocoaPods, and Git. At least one of year of this experience must also have involved using SWIFT, Objective-C, and Jenkins. Qualified applicants should apply online by going to https://jobs.bestbuy.com/bby (requisition #: 889697BR), or by sending resumes and cover letters to Kaitlyn Weinert, Kaitlyn.Weinert@BestBuy.com.",5d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846ca5f39092599074f97e4b92&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ff329600&cb=1668270132950&jobListingId=1008262145242&jrtk=3-0-1ghmabsu3j4ip801-1ghmabsum24hh000-88ef083bb3f548f9-
"['Best Buy', '3.7']",http://www.bestbuy.com/,Senior Software Engineer (Integrations),Remote,$130K - $160K (Employer est.),"This role is remote eligible, which means you would work virtually from home or another non-Best Buy location.

We believe that our company’s success depends on the passion and creativity of our amazing employees. To create environments in which our people can fully thrive, we turn to our guiding behaviors: Be human. Make it real. Think about tomorrow. These set the tone for Best Buy, along with our Rallying Cry: Let’s talk about what’s possible. Our supportive leaders collaborate with their teams through ongoing feedback and two-way dialogue to maintain a culture continual learning. All these factors combine to create an unbeatable experience for both customers and employees. If you like to have fun while you work, build confidence and grow your career, you’ll fit right in.

We at Best Buy work hard every day to enrich the lives of customers through technology, whether they come to us online, visit our stores or invite us into their homes. We do this by solving technology problems and addressing key human needs across a range of areas, including entertainment, productivity, communicating with coworkers and loved ones, preparing nutritious food, providing security for your home and family, and helping you take your health to the next level.

As a , you’ll have the opportunity to work alongside industry experts researching, developing, and applying cutting-edge machine learning and artificial intelligence algorithms to build innovative technologies, services, and products that solve the company's hardest problems and accelerate Best Buy's core growth. In this role you will combine your software engineering skills and interest in ML and AI to productionize ML models on GCP. You will build reusable tools and components to enable codeless deployments of ML modeling pipelines. Your work will unleash the next generation of customer experiences and transform the way Best Buy operates day-to-day.",24d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846ca5f39092599074f97e4b92&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_24499137&cb=1668270135792&jobListingId=1008215732572&jrtk=3-0-1ghmabsu3j4ip801-1ghmabsum24hh000-5641f28d8098baf4-
"['Best Buy', '3.7']",http://www.bestbuy.com/,Senior Software Engineer (Integrations),Remote,$130K - $160K (Employer est.),"Best Buy Co., Inc. has an opening for a Senior Full Stack Engineer position in Seattle, Washington. Deliver technical software engineering work in the development of mobile eCommerce products, tools, platforms and services for internal and external customers. Serve as a member of a mobile engineering team to develop and maintain Android- and iOS-based system applications, in accordance with Best Buy’s methodologies, technical standards, time and budget estimates. Analyze needs and software requirements. Work with internal/external developers to translate architecture requirements into detailed parameters by which coding must comply. Create, review, approve technical designs and specifications for a specific portion or function of a system. Evaluate and integrate various libraries and services. Collaborate, negotiate, and confer regarding API design requirements, systems design, project limits/ capabilities, and performance requirements. Develop software that integrates SDKs (Software Development Kits) into Best Buy applications. Participate in daily scrums, backlog grooming, sprint planning, design workshops, and preparation/writing test scripts. Write code; unit test code for robustness, usability, and reliability; and improve software application performance as needed. Mentor junior engineers, and lead the design/implementation of new features. Use RESTful architecture, and other tools and technologies, such as Git and JavaScript, in performing software engineering work. Requires Bachelor’s degree or foreign equivalent degree in Computer Science, Computer Science and Engineering, Computer Information Systems, Information Systems, or Information Technology, plus five (5) years of progressive, post-baccalaureate experience 1) with mobile development (iOS & React Native); 2) performing unit testing; and 3) developing applications using Software Development Lifecycle and data structures. At least three years of this experience must have involved using the following technologies: Objective-C, Xcode, and Git. At least one of year of this experience must also have involved using REST, CocoaPods, and Jenkins. Qualified applicants should apply online by going to https://jobs.bestbuy.com/bby (requisition#: 889371BR), or by sending resumes and cover letters to Eric Wilkinson, Eric.Wilkinson@BestBuy.com.",5d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846ca5f39092599074f97e4b92&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_169db1b1&cb=1668270138624&jobListingId=1008262149177&jrtk=3-0-1ghmabsu3j4ip801-1ghmabsum24hh000-fdbe2e18abfe8c5d-
"['Best Buy', '3.7']",http://www.bestbuy.com/,Senior Software Engineer (Integrations),Remote,$130K - $160K (Employer est.),"As a staff software engineer on the Customer Relationships team, you'll lead software design
and development efforts to build and launch best-in-class digital experiences in support of
the Best Buy Totaltech membership program. In this role, you'll be a key leader on our team,
helping drive outcomes, partnering with other engineering and product teams and
stakeholders throughout the organization. You'll drive complex problem solving and be
encouraged to recommend solutions.

Ideal Qualities
You're passionate about building top-quality products and services.
You are a thought leader regarding high code quality, inspiring others, and shaping the teams' code quality culture.
You love working with teams of smart and driven people who are excited to solve challenging problems.",24d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846ca5f39092599074f97e4b92&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_48b0cd0c&cb=1668270142423&jobListingId=1008217152630&jrtk=3-0-1ghmabsu3j4ip801-1ghmabsum24hh000-f673d938a6a57c62-
"['Best Buy', '3.7']",http://www.bestbuy.com/,Senior Software Engineer (Integrations),Remote,$130K - $160K (Employer est.),"This role is hybrid, which means you must be located within a drivable distance to our Best Buy corporate office in Richfield, MN. You might be asked to come into the office up to 3 days per week.

Best Buy is seeking a Senior Software Engineer- Back End. You will play a key role in shaping the future of digital innovation in Best Buy Engineering. The initiatives in this area will help transform and augment a customer’s journey to help drive the next evolution of our engineering products. You will help define and communicate the mission to build performant, relevant, and impactful software. You will grow to understand and triangulate across technical engineer's needs, platform product analytics, and external industry innovation to offer best-in-class experiences to Best Buy engineers.

We embrace a culture of rapid experimentation and constantly strive for improvement and learning. You’ll work in a collaborative, trusting, thought-provoking agile environment—one that encourages diversity of thought and passion for empowering teams by leading and mentoring others. You will also leverage your industry experience to improve the efficiency of developing and delivering software at scale and developers’ productivity via innovation in tooling and methodologies.

Every day you will play a key role in shaping the future of disruptive digital innovation in the Best Buy online experiences space. You'll be required to apply your own perspectives and experience to create the next generation of customer experiences for Best Buy. We focus on productivity, test, and release lifecycle, as well as partner continuously with our many stakeholders daily to stay aligned and focused on common goals.",7d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846ca5f39092599074f97e4b92&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e7963ef&cb=1668270146256&jobListingId=1008257835661&jrtk=3-0-1ghmabsu3j4ip801-1ghmabsum24hh000-7e631c1382b0742d-
"['Current Health', '3.9']",https://www.currenthealth.com/,Senior Software Engineer (Integrations),Remote,$130K - $160K (Employer est.),"Remote within the EST time zone
About Current Health
Current Health is a leader in the movement to transition more healthcare into the home. We’re a technology company, but beyond our best in class hardware and software capabilities, we help healthcare organizations operationalize care at home and deliver excellent patient experiences through helping with the last mile of care logistics and services. We partner with leading healthcare organizations to advance home-based care in the US, the UK, and around the world.
More than doubling in size in the last year, we’re building a global team united in one purpose: helping people live healthier, longer lives by predicting disease and enabling earlier treatment. At Current Health, we seek to put patients first, solve problems with curiosity and creativity, pursue uncommon collaboration, and never stop growing. We’re a remote-first company, which means that everything from how we work, communicate, and socialize is shaped by tools and culture that prioritize collaboration and support independence.

Product Engineering teams at Current strive to deliver end-end customer and patient outcomes vs. narrow features. They take care to evaluate where they can further the long-term technical vision, whilst having a bias towards action and customer/product value. As a senior software engineer:",30d+,
"['Best Buy', '3.7']",http://www.bestbuy.com/,Senior Software Engineer (Integrations),Remote,$130K - $160K (Employer est.),"The Augmented Intelligence Services team is responsible for a portfolio of mission critical systems that power customer-facing experiences on Bestbuy.com as well as associate-facing experiences in the stores. These systems require multiple areas of specialization such as Search, Distributed Services, Big Data platforms, Cloud, Infrastructure, and more. We work with emerging technology solutions including Google Cloud Platform, Messaging, OpenShift, NoSQL, DocumentDB, Redis, Spring, Java, Kotlin, REST-based web services.

As a Staff Software Engineer on the Augmented Intelligence Services team, you'll lead software design and development efforts to build and launch shared services in support of the Augmented Intelligence Services space and other teams across Best Buy. In this role, you'll be a key leader on our team, helping drive outcomes, partnering with other engineering and product teams and stakeholders throughout the organization. You'll drive complex problem solving and be encouraged to recommend solutions.",7d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846ca5f39092599074f97e4b92&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c89fdfa9&cb=1668270151224&jobListingId=1008258436014&jrtk=3-0-1ghmabsu3j4ip801-1ghmabsum24hh000-7707b489898a0cb3-
"['Current Health', '3.9']",https://www.currenthealth.com/,Senior Software Engineer (Integrations),Remote,$130K - $160K (Employer est.),"Remote within the EST time zone
Who is Current Health?
Current Health is a leader in the movement to transition more healthcare into the home. We’re a technology company, but beyond our best in class hardware and software capabilities, we help healthcare organizations operationalize care at home and deliver excellent patient experiences through helping with the last mile of care logistics and services. We partner with leading healthcare organizations to advance home-based care in the US, the UK, and around the world.
More than doubling in size in the last year, we’re building a global team united in one purpose: helping people live healthier, longer lives by predicting disease and enabling earlier treatment. At Current Health, we seek to put patients first, solve problems with curiosity and creativity, pursue uncommon collaboration, and never stop growing. We’re a remote-first company, which means that everything from how we work, communicate, and socialize is shaped by tools and culture that prioritize collaboration and support independence.

Product Engineering teams at Current strive to deliver end-end customer and patient outcomes vs. narrow features. They take care to evaluate where they can further the long term technical vision, whilst having a bias towards action and customer / product value. As a software engineer:",30d+,
"['Current Health', '3.9']",https://www.currenthealth.com/,Senior Software Engineer (Integrations),Remote,$130K - $160K (Employer est.),"Remote within the EST time zone
About Current Health
Current Health is a leader in the movement to transition more healthcare into the home. We’re a technology company, but beyond our best in class hardware and software capabilities, we help healthcare organizations operationalize care at home and deliver excellent patient experiences through helping with the last mile of care logistics and services. We partner with leading healthcare organizations to advance home-based care in the US, the UK, and around the world.
More than doubling in size in the last year, we’re building a global team united in one purpose: helping people live healthier, longer lives by predicting disease and enabling earlier treatment. At Current Health, we seek to put patients first, solve problems with curiosity and creativity, pursue uncommon collaboration, and never stop growing. We’re a remote-first company, which means that everything from how we work, communicate, and socialize is shaped by tools and culture that prioritize collaboration and support independence.

Product Engineering teams at Current strive to deliver end-end customer and patient outcomes vs. narrow features. They take care to evaluate where they can further the long-term technical vision, whilst having a bias towards action and customer/product value. As a senior software engineer:",30d+,
