Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['BlackRock', '4.1']",http://careers.blackrock.com/,Vice President - DevOps Infrastructure Engineer,"Atlanta, GA",$137K - $183K (Glassdoor est.),"Description
About this role
Technology & Operations
Technology & Operations is the backbone for both the client lifecycle and the investment lifecycle. The group’s Follow the Sun Model ensures that the firm’s operations are consistent and efficient across all investment products, client channels and regions, helping to deliver a superior client experience and drive scalability. Technology & Operations is driven by a global network of Operating Centers of Excellence, which centralizes knowledge and equips support teams with the data and timely information needed to innovate and deliver on behalf of internal partners and clients.
BlackRock’s Technology & Enterprise Service Group aims to provide BlackRock Employees with robust technology infrastructure and strategic workplace solutions to deliver a consistent employee experience around the world, while handling information security and data integrity. Teams aligned to support the firm’s functions.



BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",3d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846bf338369fa0b653b7e50523&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f641946b&cb=1668258419744&jobListingId=1008266564525&jrtk=3-0-1ghlv6e3f2heh001-1ghlv6e45ii3h800-06e70302e2e24efc-
"['BlackRock', '4.1']",http://careers.blackrock.com/,Vice President - DevOps Infrastructure Engineer,"Atlanta, GA",$137K - $183K (Glassdoor est.),"Description
About this role
At BlackRock, we are looking for Software Engineers who like to innovate and solve sophisticated problems. We know that strength comes from diversity, and will embrace your unique skills and perspectives while giving you the opportunity to grow technically and as an individual.

With over USD $9 trillion of assets we have a fiduciary responsibility: our technology empowers millions of investors to save for retirement, pay for college, buy a home and improve their financial wellbeing. BlackRock also places Sustainablity at the center of our investment process, and being a developer at BlackRock means you get the best of both worlds: working for one of the most progressive financial companies and also being part of a software engineering team responsible for next generation technology and solutions.








We recruit, hire, train, promote, pay, and administer all personnel actions without regard to race, color, religion, sex (including pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), sex stereotyping (including assumptions about a person’s appearance or behavior, gender roles, gender expression, or gender identity), gender, gender identity, gender expression, national origin, age, mental or physical disability, ancestry, medical condition, marital status, military or veteran status, citizenship status, sexual orientation, genetic information, or any other status protected by applicable law. We interpret these protected statuses broadly to include both the actual status and also any perceptions and assumptions made regarding these statuses.BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846bf338369fa0b653b7e50523&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_931f4af8&cb=1668258423677&jobListingId=1007248758842&jrtk=3-0-1ghlv6e3f2heh001-1ghlv6e45ii3h800-a6a7792dc9d25ed5-
"['BlackRock', '4.1']",http://careers.blackrock.com/,Vice President - DevOps Infrastructure Engineer,"Atlanta, GA",$137K - $183K (Glassdoor est.),"Description
About this role
Are you interested in building innovative technology that shapes the financial markets? Do you like working at the speed of a startup, but want to solve some of the world’s most complex problems? Do you want to work with, and learn from, hands-on leaders in technology and finance?
At BlackRock, we are looking for Software Engineers who like to innovate and solve complex problems. We recognize that strength comes from diversity, and will embrace your unique skills, curiosity, drive, and passion while giving you the opportunity to grow technically and as an individual.
With over USD $7 trillion of assets we have an exceptional responsibility: our technology empowers millions of investors to save for retirement, pay for college, buy a home and improve their financial wellbeing.





We recruit, hire, train, promote, pay, and administer all personnel actions without regard to race, color, religion, sex (including pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), sex stereotyping (including assumptions about a person’s appearance or behavior, gender roles, gender expression, or gender identity), gender, gender identity, gender expression, national origin, age, mental or physical disability, ancestry, medical condition, marital status, military or veteran status, citizenship status, sexual orientation, genetic information, or any other status protected by applicable law. We interpret these protected statuses broadly to include both the actual status and also any perceptions and assumptions made regarding these statuses.BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846bf338369fa0b653b7e50523&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b1a0e30d&cb=1668258426514&jobListingId=1007560923390&jrtk=3-0-1ghlv6e3f2heh001-1ghlv6e45ii3h800-b817ca60bac06486-
"['BlackRock', '4.1']",http://careers.blackrock.com/,Vice President - DevOps Infrastructure Engineer,"Atlanta, GA",$137K - $183K (Glassdoor est.),"Description
About this role
Are you interested in building innovative technology that shapes the financial markets? Do you like working at the speed of a startup, but want to solve some of the world’s most complex problems? Do you want to work with, and learn from, hands-on leaders in technology and finance?
At BlackRock, we are looking for Software Engineers who like to innovate and solve complex problems. We recognize that strength comes from diversity, and will embrace your unique skills, curiosity, drive, and passion while giving you the opportunity to grow technically and as an individual.
With over USD $7 trillion of assets we have an exceptional responsibility: our technology empowers millions of investors to save for retirement, pay for college, buy a home and improve their financial wellbeing.





BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846bf338369fa0b653b7e50523&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4e043795&cb=1668258429375&jobListingId=1007560923496&jrtk=3-0-1ghlv6e3f2heh001-1ghlv6e45ii3h800-0ea48959e4a754f7-
"['Blackrock Resources', '4.1']",http://www.blackrockres.com/,Vice President - DevOps Infrastructure Engineer,"Atlanta, GA",$137K - $183K (Glassdoor est.),"Embedded Software Engineer
Direct Hire Position
Pittsburgh, PA
Pay is dependent on experience

Blackrock Resources has a client in the Pittsburgh, PA area that is looking for an Embedded Software Engineer. The right candidate will have a BS Degree and at least 3 years of prior experience.
Required Experience",28d,
"['BlackRock', '4.1']",http://careers.blackrock.com/,Vice President - DevOps Infrastructure Engineer,"Atlanta, GA",$137K - $183K (Glassdoor est.),"Description
About this role
What team will you be on?
You will be part of the Exchange Traded Funds (ETF) Systems Development team, which is part of the wider global ETF technology team responsible for building the software systems used by our clients to buy and sell ETFs. We are building an Angular based single page web application designed to support the future growth of this high-profile business area. We are closely aligned with our Portfolio Managers and the Global Markets team to ensure we are delivering maximum value for the firm as we deliver on this multi-year transformation. We are proud of our track record of delivery while focusing heavily on software quality, scalability and automation.
Why is your role important?



BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846bf338369fa0b653b7e50523&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_921a852e&cb=1668258435344&jobListingId=1008086874742&jrtk=3-0-1ghlv6e3f2heh001-1ghlv6e45ii3h800-c0e696cbe9689310-
"['BlackRock', '4.1']",http://careers.blackrock.com/,Vice President - DevOps Infrastructure Engineer,"Atlanta, GA",$137K - $183K (Glassdoor est.),"Description
About this role
At BlackRock, we are looking for Software Engineers who like to innovate and solve complex problems. We recognize that strength comes from diversity, and will embrace your unique skills, curiosity, drive, and passion while giving you the opportunity to grow technically and as an individual.

With over USD $9 trillion of assets, we have an exceptional responsibility: our technology empowers millions of investors to save for retirement, pay for college, buy a home, and improve their financial wellbeing.

Being a developer at BlackRock means you get the best of both worlds: working for one of the most advanced financial companies and being part of a software development team responsible for next generation technology and solutions.








We recruit, hire, train, promote, pay, and administer all personnel actions without regard to race, color, religion, sex (including pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), sex stereotyping (including assumptions about a person’s appearance or behavior, gender roles, gender expression, or gender identity), gender, gender identity, gender expression, national origin, age, mental or physical disability, ancestry, medical condition, marital status, military or veteran status, citizenship status, sexual orientation, genetic information, or any other status protected by applicable law. We interpret these protected statuses broadly to include both the actual status and also any perceptions and assumptions made regarding these statuses.BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846bf338369fa0b653b7e50523&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c8ce5af8&cb=1668258437156&jobListingId=1007199719270&jrtk=3-0-1ghlv6e3f2heh001-1ghlv6e45ii3h800-0abf343542caf7bc-
"['BlackRock', '4.1']",http://careers.blackrock.com/,Core Java Software Engineer,"San Francisco, CA",$114K - $161K (Glassdoor est.),"Description
About this role
Are you interested in building innovative technology that shapes the financial markets? Do you like working at the speed of a startup, but want to solve some of the world’s most complex problems? Do you want to work with, and learn from, hands-on leaders in technology and finance?
At BlackRock, we are looking for Software Engineers who like to innovate and solve complex problems. We recognize that strength comes from diversity, and will embrace your unique skills, curiosity, drive, and passion while giving you the opportunity to grow technically and as an individual.
With over USD $7 trillion of assets we have an exceptional responsibility: our technology empowers millions of investors to save for retirement, pay for college, buy a home and improve their financial wellbeing.





We recruit, hire, train, promote, pay, and administer all personnel actions without regard to race, color, religion, sex (including pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), sex stereotyping (including assumptions about a person’s appearance or behavior, gender roles, gender expression, or gender identity), gender, gender identity, gender expression, national origin, age, mental or physical disability, ancestry, medical condition, marital status, military or veteran status, citizenship status, sexual orientation, genetic information, or any other status protected by applicable law. We interpret these protected statuses broadly to include both the actual status and also any perceptions and assumptions made regarding these statuses.BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846bf3a6d78673f94c6ec5d6cb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_de813ca3&cb=1668258448349&jobListingId=1007560923390&jrtk=3-0-1ghlv79orj4h4801-1ghlv79peitnc800-b817ca60bac06486-
"['BlackRock', '4.1']",http://careers.blackrock.com/,Core Java Software Engineer,"San Francisco, CA",$114K - $161K (Glassdoor est.),"Description
About this role
Are you interested in building innovative technology that shapes the financial markets? Do you like working at the speed of a startup, but want to solve some of the world’s most complex problems? Do you want to work with, and learn from, hands-on leaders in technology and finance?
At BlackRock, we are looking for Software Engineers who like to innovate and solve complex problems. We recognize that strength comes from diversity, and will embrace your unique skills, curiosity, drive, and passion while giving you the opportunity to grow technically and as an individual.
With over USD $7 trillion of assets we have an exceptional responsibility: our technology empowers millions of investors to save for retirement, pay for college, buy a home and improve their financial wellbeing.





BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846bf3a6d78673f94c6ec5d6cb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e5957b8&cb=1668258450350&jobListingId=1007560923496&jrtk=3-0-1ghlv79orj4h4801-1ghlv79peitnc800-0ea48959e4a754f7-
"['BlackRock', '4.1']",http://careers.blackrock.com/,Core Java Software Engineer,"San Francisco, CA",$114K - $161K (Glassdoor est.),"Description
About this role
What team will you be on?
You will be part of the Exchange Traded Funds (ETF) Systems Development team, which is part of the wider global ETF technology team responsible for building the software systems used by our clients to buy and sell ETFs. We are building an Angular based single page web application designed to support the future growth of this high-profile business area. We are closely aligned with our Portfolio Managers and the Global Markets team to ensure we are delivering maximum value for the firm as we deliver on this multi-year transformation. We are proud of our track record of delivery while focusing heavily on software quality, scalability and automation.
Why is your role important?



BlackRock will consider for employment qualified applicants with arrest or conviction records in a manner consistent with the requirements of the law, including any applicable fair chance law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846bf3a6d78673f94c6ec5d6cb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2d5a6eb8&cb=1668258452135&jobListingId=1008086874742&jrtk=3-0-1ghlv79orj4h4801-1ghlv79peitnc800-c0e696cbe9689310-
