Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Blackstone Technology Group', '3.8']",http://www.bstonetech.com/,Software Application Developer-Product 3,"O'Fallon, IL",$82K - $122K (Glassdoor est.),"O’Fallon, IL 62269
Posted: 09/07/2022
Employment Type: Contract to Perm
Job Category: Information Technology
Job Number: 24216
Remote Friendly:
Job Description
Blackstone Talent Group, an award-winning technology consulting and talent agency is seeking a Software Application Developer-Product 3 to join our team at our client’s site in O’Fallon, IL.

Performs architectural trade studies and contributes to the development of documentation and maintenance of software architectures. Participates in internal and external architecture reviews. Provides data, recommendations, and estimates for software component level project planning including corrective action plans. Coordinates and participates in project management reviews and compliance audits. Develops Computer Software Units (CSUs) software requirements and algorithms. Defines internal interfaces. Performs requirements allocation between hardware, software, and operators. Participates in requirement team and peer reviews as a presenter and evaluator. Performs requirements change assessment and provides a technical interface to requirement change-assessment meetings. Develops supplier/subcontract performance assessment including appropriate metrics. Makes recommendations of adequacy of subcontractor/supplier technical approach to project lead. Helps resolve programmatic and technical problems that would impact cost, schedule and/or performance. Develops, maintains, and unit tests code. Develops/decomposes, documents, and maintains designs for software. Participates in internal design reviews and builds large scale software systems. Participates in software integration efforts. Troubleshoots and investigates problems across software components. Develops, selects, tailors, and deploys processes and tools. Establishes metrics. Participates in process reviews. Provide expertise on software methodologies and processes to internal/external customers. Supports operational and integration issue resolution.




PROJECT/SKILLS

Describe the project they will be working on:
















Blackstone Talent Group is a division of Blackstone Technology Group, a global IT services and solutions firm that implements technological solutions across commercial industry verticals and the US Federal Government. Blackstone’s global talent augmentation practice was founded in 1998. Blackstone Talent Group has offices in San Francisco, Denver, Houston, Colorado Springs, and Washington, DC. We specialize in providing clients the best talent across a variety of industries and sectors.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b2db24282f74d2c316923a1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bfef15a4&cb=1668245475494&jobListingId=1008123853791&jrtk=3-0-1ghlircjdkcml801-1ghlircjsi171800-f28dedcd218c5be3-
['Blackstone Global Group'],http://blackstoneglobalgroup.com/,Software Application Developer-Product 3,"O'Fallon, IL",$82K - $122K (Glassdoor est.),"Summary:
We are looking for a full-time Senior Software Engineer for our direct Gaming industry client in Franklin, TN. Senior Software Engineer will work on all phases of applications development, systems analysis, and programming activities as per requirement.
Skills and Experience Required:
Familiarity with casino gaming or similar technologies
Solid practical expertise in one or more of the following Microcontrollers, embedded systems, and WPF, WCF, and LINQ
Understanding of network protocols
Low level communication protocols (e.g. RS-232)",24h,
"['Blackstone Technology Group', '3.8']",http://www.bstonetech.com/,Software Application Developer-Product 3,"O'Fallon, IL",$82K - $122K (Glassdoor est.),"Davis, CA 95616
Posted: 11/09/2022
Employment Type: 6-9 Month Contract
Job Category: Information Technology
Job Number: 24707
Remote Friendly: Fully Remote
Job Description
Blackstone Talent Group, an award-winning technology consulting and talent agency is seeking a PeopleSoft Developer to join our team at our client’s site in Davis, CA.

We are searching for a PeopleSoft Developer that can assist us with a critical project.




We are looking for an experienced PeopleSoft HCM Developer that has worked on major Application and PeopleTools upgrades, that is well knowledgeable with compare report analysis and identifying / retrofitting customizations.




A well versed developer that is knowledgeable with Oracle Database, PeopleCode, AppEngine, SQLs, Component Interface, Integration Broker and has worked on HCM 9.2x.




f you have anyone with expertise in this area, please submit their resume for consideration.


Blackstone Talent Group is a division of Blackstone Technology Group, a global IT services and solutions firm that implements technological solutions across commercial industry verticals and the US Federal Government. Blackstone’s global talent augmentation practice was founded in 1998. Blackstone Talent Group has offices in San Francisco, Denver, Houston, Colorado Springs, and Washington, DC. We specialize in providing clients the best talent across a variety of industries and sectors.",2d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b2db24282f74d2c316923a1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8b25d25a&cb=1668245481795&jobListingId=1008268053818&jrtk=3-0-1ghlircjdkcml801-1ghlircjsi171800-692a1ff95937dec6-
"['Blackstone Technology Group', '3.8']",http://www.bstonetech.com/,Software Application Developer-Product 3,"O'Fallon, IL",$82K - $122K (Glassdoor est.),"Colorado Springs, CO 80921
Posted: 08/30/2022
Employment Type: Permanent
Job Category: Engineering
Job Number: 24170
Pay Range: $103,000-$150,000
Remote Friendly: Hybrid Schedule
Job Description

Blackstone Talent Group, an award-winning technology consulting and talent agency is seeking a Application Developer IV to join our team at our client’s site in Colorado Springs, CO.




Job Description




What you will be doing:








Minimum Formal Education for this Position:



Each year of relevant work experience may be exchanged for a year in a relevant degree program or vice versa.

Technical or Specialized Knowledge/Skills:

Blackstone Talent Group is a division of Blackstone Technology Group, a global IT services and solutions firm that implements technological solutions across commercial industry verticals and the US Federal Government. Blackstone’s global talent augmentation practice was founded in 1998. Blackstone Talent Group has offices in San Francisco, Denver, Houston, Colorado Springs, and Washington, DC. We specialize in providing clients the best talent across a variety of industries and sectors.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b2db24282f74d2c316923a1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_de468908&cb=1668245484718&jobListingId=1008104116234&jrtk=3-0-1ghlircjdkcml801-1ghlircjsi171800-9c2d1c265976d13d-
"['Blackstone Technology Group', '3.8']",http://www.bstonetech.com/,Software Application Developer-Product 3,"O'Fallon, IL",$82K - $122K (Glassdoor est.),"Hazelwood, MO 63042
Posted: 01/25/2022
Employment Type: 6-9 Month Contract
Job Category: Information Technology
Job Number: 21915
Remote Friendly: No
Job Description
Blackstone Talent Group, an award-winning technology consulting and talent agency is seeking a Software Engineer 1 to join our team at our client’s site in Hazlewood, MO.

Assists with the documentation and maintenance of architectures, requirements, algorithms, interfaces and designs for software systems. Develops and maintains code and integrates software components into a fully functional software system. Assists with test procedures and documenting test results to ensure software system requirements are met. Gathers information to support software project management. Documents deployed processes and tools and collect metrics. Supports software research and development projects. Troubleshoots basic software issues. Works under close supervision


Blackstone Talent Group is a division of Blackstone Technology Group, a global IT services and solutions firm that implements technological solutions across commercial industry verticals and the US Federal Government. Blackstone’s global talent augmentation practice was founded in 1998. Blackstone Talent Group has offices in San Francisco, Denver, Houston, Colorado Springs, and Washington, DC. We specialize in providing clients the best talent across a variety of industries and sectors.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b2db24282f74d2c316923a1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_56936849&cb=1668245486581&jobListingId=1007672287467&jrtk=3-0-1ghlircjdkcml801-1ghlircjsi171800-0a47e522ce45fa87-
"['Blackstone Technology Group', '3.8']",http://www.bstonetech.com/,Software Application Developer-Product 3,"O'Fallon, IL",$82K - $122K (Glassdoor est.),"San Francisco, CA 94105
Posted: 11/07/2022
Employment Type: Contract to Perm
Job Category: Information Technology
Job Number: 24686
Remote Friendly: Fully Remote
Job Description
Blackstone Talent Group, an award-winning technology consulting and talent agency is seeking a Software Engineer - Java API to join our team at our client’s site in San Francisco, CA.

Blackstone Talent Group, an award-winning technology consulting and talent agency is seeking a Software Engineer to join our team at our client’s site in San Francisco, CA.

Our cutting edged Digital media client is looking for a Software Engineer to join their stealth team of developers for a REMOTE opportunity.






















Blackstone Talent Group is a division of Blackstone Technology Group, a global IT services and solutions firm that implements technological solutions across commercial industry verticals and the US Federal Government. Blackstone’s global talent augmentation practice was founded in 1998. Blackstone Talent Group has offices in San Francisco, Denver, Houston, Colorado Springs, and Washington, DC. We specialize in providing clients the best talent across a variety of industries and sectors.



Blackstone Talent Group is a division of Blackstone Technology Group, a global IT services and solutions firm that implements technological solutions across commercial industry verticals and the US Federal Government. Blackstone’s global talent augmentation practice was founded in 1998. Blackstone Talent Group has offices in San Francisco, Denver, Houston, Colorado Springs, and Washington, DC. We specialize in providing clients the best talent across a variety of industries and sectors.",4d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b2db24282f74d2c316923a1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_31d1871c&cb=1668245490600&jobListingId=1008263237649&jrtk=3-0-1ghlircjdkcml801-1ghlircjsi171800-e586f4f73f5b0ec1-
['Blackstone Global Group'],http://blackstoneglobalgroup.com/,Software Application Developer-Product 3,"O'Fallon, IL",$82K - $122K (Glassdoor est.),"Summary:
We are looking for a full-time .NET/SharePoint Developer for our direct client in Washington, DC. Our client offers great benefits 200% Retirement Match, College Tuition for you, your Spouse or Same-Sex Domestic Partner and Children, Retiree Benefits.
The SharePoint Developer will work on all phases of applications development, systems analysis, and programming activities as per requirement.
Only for US citizens and green card holder
Responsibilities and Duties:
Solution Planning, Design and Development: Facilitates requirements gathering and analysis of SharePoint and .Net based projects.",24h,
"['Blackstone Technology Group', '3.8']",http://www.bstonetech.com/,Software Application Developer-Product 3,"O'Fallon, IL",$82K - $122K (Glassdoor est.),"New York, NY 10016
Posted: 11/08/2022
Employment Type: 9+ Month Contract
Job Category: Information Technology
Job Number: 24697
Pay Range: $65/hr-$75/hr
Remote Friendly: Fully Remote
Job Description








Blackstone Talent Group, an award-winning technology consulting and talent agency is seeking a Android Engineer to join our team for a fully remote position.







You will also be working with a team of engineers through the development process, including implementing standards around code, tooling, metrics, progress reporting and interactions with the QE team to ensure a quality first approach to any work.




































Blackstone Talent Group is a division of Blackstone Technology Group, a global IT services and solutions firm that implements technological solutions across commercial industry verticals and the US Federal Government. Blackstone’s global talent augmentation practice was founded in 1998. Blackstone Talent Group has offices in San Francisco, Denver, Houston, Colorado Springs, and Washington, DC. We specialize in providing clients the best talent across a variety of industries and sectors.









Blackstone Talent Group is a division of Blackstone Technology Group, a global IT services and solutions firm that implements technological solutions across commercial industry verticals and the US Federal Government. Blackstone’s global talent augmentation practice was founded in 1998. Blackstone Talent Group has offices in San Francisco, Denver, Houston, Colorado Springs, and Washington, DC. We specialize in providing clients the best talent across a variety of industries and sectors.",3d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b2db24282f74d2c316923a1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a2a6bb26&cb=1668245496571&jobListingId=1008266698265&jrtk=3-0-1ghlircjdkcml801-1ghlircjsi171800-f51bbb96d1425435-
"['Blackstone Technology Group', '3.8']",http://www.bstonetech.com/,Software Application Developer-Product 3,"O'Fallon, IL",$82K - $122K (Glassdoor est.),"Fort Lauderdale, FL 33309
Posted: 06/22/2022
Employment Type: 9+ Month Contract
Job Category: Information Technology
Job Number: 23579
Remote Friendly: Fully Remote
Job Description

Blackstone Talent Group, an award-winning technology consulting and talent agency is seeking a Full Stack Developer to join our team at our client’s site in Fort Lauderdale, FL.










Blackstone Talent Group is a division of Blackstone Technology Group, a global IT services and solutions firm that implements technological solutions across commercial industry verticals and the US Federal Government. Blackstone’s global talent augmentation practice was founded in 1998. Blackstone Talent Group has offices in San Francisco, Denver, Houston, Colorado Springs, and Washington, DC. We specialize in providing clients the best talent across a variety of industries and sectors.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b2db24282f74d2c316923a1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f56f6f32&cb=1668245498353&jobListingId=1007957884436&jrtk=3-0-1ghlircjdkcml801-1ghlircjsi171800-2c8d5482c50c321c-
"['Blackstone Technology Group', '3.8']",http://www.bstonetech.com/,Software Application Developer-Product 3,"O'Fallon, IL",$82K - $122K (Glassdoor est.),"Herndon, VA 20170
Posted: 10/19/2021
Employment Type: Permanent
Job Category: Information Technology
Job Number: 20998
Remote Friendly: Fully Remote
Job Description

Blackstone Talent Group, an award-winning technology consulting and talent agency is seeking a (Remote) Full Stack Developer to join our team remotely supporting our client in Herndon, VA.




Must be able to obtain Federal Government Public Trust.

























































https://calendly.com/blackstonemax/new-applicant







Blackstone Talent Group is a division of Blackstone Technology Group, a global IT services and solutions firm that implements technological solutions across commercial industry verticals and the US Federal Government. Blackstone’s global talent augmentation practice was founded in 1998. Blackstone Talent Group has offices in San Francisco, Denver, Houston, Colorado Springs, and Washington, DC. We specialize in providing clients the best talent across a variety of industries and sectors.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b2db24282f74d2c316923a1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0661d183&cb=1668245500261&jobListingId=1007672289680&jrtk=3-0-1ghlircjdkcml801-1ghlircjsi171800-1c95a224f501fa64-
