Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
['Traffk'],,Senior Blazor WebAssembly Developer,Remote,$145K - $170K (Employer est.),"Traffk is seeking a frontend Blazor WASM developer to continue to build out the second generation of our Modern Insurance Underwriting & Distribution Platform.
What do we do?
Traffk is focused on re-engineering the basic building blocks of insurance, beginning with underwriting. Traffk provides alternative insurance data that boost predictive accuracy in modeling and actuarial development, underwriting, and internal inter-departmental workflows that align actuaries, underwriting, and consumer acquisition activities.
Traffk's data-driven and process focus enables legacy insurance products to live a modern digital life nimbly to compete in a modern technology landscape. Our distribution technology and ecosystem materially increases written premium, profitability, and operational efficiencies across multiple lines of business at an individual, group, or book of business level.",21d,
"['CPChem', '3.9']",http://www.cpchem.com/,Senior Blazor WebAssembly Developer,Remote,$145K - $170K (Employer est.),"You may not realize it, but you’ve likely used a product today made possible by the plastics and chemicals manufactured by Chevron Phillips Chemical. From medical supplies and electronics to food packaging and cosmetics, we create the building blocks for more than 70,000 consumer and industrial products.

Even as a global company with 5,000 employees, we maintain a “small company feel” and uphold a culture of respect, diversity, and inclusion. Ask any Chevron Phillips Chemical employee what they like best about their job, and universally, the answer is “the people I work with!” We value work-life balance, and love to see our employees thrive both professionally and personally. There has never been a better time to work for Chevron Phillips Chemical. If you’re ready to grow with us and become part of our vision of being the premier Chemical Company, apply today!",1d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018469855b8fa3f74d0a0fae68ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_87ba5be1&cb=1668217697943&jobListingId=1008272260093&cpc=AE9F6614D4EC1B58&jrtk=3-0-1ghkoamuujorm801-1ghkoamvdimbd800-7a861935f797647c--6NYlbfkN0AwJgfnoJfL7L0Cj3mSZXarraxvLNDkgMD3Nhc6S_BVbtHsxNWfyJOlckmnKB2HeVFfNeDyGIj0QLshyJU4_nSugmL3VddMXfoeZpk4fz5CumasfbXY1ff8ke4PN1FbhRxEWfB36a6meQ7kYmFmjKnp14GtBbh9BWSd-Qc4aN9v2QDScKuq580B_HjzUTl5r19BM7FCrGHKDRtLZD5XQqHYHdlY4AP4Kn07Vff1hqJr9QeKk2zWLPTF0JosNiJ3ZR0QRB4lhcbxi88y2iZ_ZhPLC94L1PIKbFw7apO5Swv2O4Y5O1Jn2hhbuStrw0lMCo-eiBIwy-twQ48FSyGXuNHfiSkzWVe3AqkpmPSpQ0iTJNmYMIiPO3UiEsiCxCwLQ1K-UkzVocSVPKRd5ovM7li26CE0PcOmWA1KLSDCx2WD2O4xHLPSp02m_n_CYflW7Uw0gcugNaqF0osg6QppYRMZHdq4T0dRfxYqLqvX_IXJBHjPlzPqj4qCd7XmYzodIKBs8Th3QhFU-B0ROvZfijmjA6-2hKaOPYZUflcJvAouIvyO2kyZsHGj8jAyJ7ln-zUX2D9dPCHYmkEr3E-5zcTrq2BMQZ7UkYPmRdpWjbfqc5qVj0GDBFJiThHjkfvwhFplkico7eLFMfSJzz8VrFVGX7jvDliRjLtgfqgWUzft0uRSnWM4dssZ
"['Northrop Grumman', '4.0']",http://www.northropgrumman.com/,Senior Blazor WebAssembly Developer,Remote,$145K - $170K (Employer est.),"Requisition ID: R10066301
Category: Information Technology
Location: Walpole, Massachusetts, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: Yes-May consider hybrid teleworking for this position
Shift: 1st Shift (United States of America)
Travel Required: No",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018469855b8fa3f74d0a0fae68ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_183f5e15&cb=1668217703331&jobListingId=1008137372596&cpc=4B86475FAF393599&jrtk=3-0-1ghkoamuujorm801-1ghkoamvdimbd800-1dd588badd53ecba--6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL1trAzPQuAwgDIBcPqMXQ2nc4EmwImsHm3EJzQaPqLMH8aTnR20vEX6VO4ISomvvFtu3ZbYVeCbEz65_xPdfrCgec65JZFJiSVStEtIdY-usgDW5VxUNd56jD8IeLctcOKVGWVUTzSdNcimGgZFSEUdhXq9ROMv23Mul6hNKcBi1o22EnqTk7EAVHEFFtVZUyTE0Ji_ovR4WUQcPwCP-yAhnbGowv1xPEfKg4uY_SZjUlKciX-gPzG8w9As89rTMsKLN-O8bufvEkT-uLlSefoPwxdzgDqEkxr0jWbDRnViW97CeCbskPejKm8_JShHlKY3V-5qYbXLuET6EOP0evBfoRi3gEvSxONyH9b5lCMXEJoBGNnu-AqIAg3JMSp_8dRtF9t5tZHeaTEuQ2IfLY0_iNU8HE3km4WGFfyfiIoC9Z8lDi2xIHDjCocZjpbeY0kWZGehUgn9jvnljR3qCkQCtjy4uNQ3jNv4cdXvzLLANfGWtimZ1onc9AO_IpGYWxq4X8aYE4cek8lHcLTdddf9YzyaGyIExlr4TUG2PatiBNgm_Z10y01S2NUsNJZ11DFxwRPdPt64ambY_A8u7P9XgVS7E8b9YwSy55jIgwP_OOBOvN58oPs-V6dHSq2BVwewsKlpslZJutddOA4SdPP0B_YisWRD_ITmyiaYoYiQUFglfbov7McxnWz6T3S6ZrFu5DSIZB9051tgdthuvtuG5HDO1xkSG7sX7tZMmnynD5vPPvt5lQkrVWZ3Qd7hq8bIK7GuXcuP3avPoD1StVJUoHVn4YloOhzKsJoOj5tV-
"['Censeo Consulting Group', '4.1']",http://www.censeoconsulting.com/,Senior Blazor WebAssembly Developer,Remote,$145K - $170K (Employer est.),"The Company:
Censeo Consulting Group is a top Washington D.C. based management consulting firm dedicated to helping public sector and non-profit clients build operational excellence, deliver better outcomes, and lower cost. We take a personalized approach to strategic consulting to solve our clients’ most complex problems and build operational excellence that transforms their organizations, allowing them to better deliver on their public and social missions.
At Censeo, our award-winning culture means you’ll join a tight-knit community of 65 brilliant and passionate colleagues. We are advocates for a better functioning public sector, and we’re also good friends who know the names of each other’s dogs. Our philosophy is horizontal, not hierarchical, and our open-door policy encourages a culture of entrepreneurship at all levels. We share successes, make decisions together, and foster an environment for those with passion and initiative to lead. Our colleagues bring their own unique personalities to work every day and use them to help shape our growing firm in ways that reach far beyond client projects.

We are looking for eager, driven candidates to help solve our client’s complex problems and guide them towards operational success. As a Web Developer with Censeo, you will be supporting the General Services Administration (GSA) and the Office of Management and Budget (OMB) with building a series of market research and data analytics tools for users across the entire federal government. Some of your responsibilities will include:",22d,
"['ThorTech Solutions', '3.6']",http://www.thortech-solutions.com/,Senior Blazor WebAssembly Developer,Remote,$145K - $170K (Employer est.),"Work with the brightest minds at an NYC-based fintech service bureau with an engineering-focused culture and a deep commitment to ensuring every employee's voice can be heard! (the platinum benefits package is a pretty big plus too)
The client is the software development division of a capital markets trading company providing trade processing solutions to banks and broker-dealers and has been delivering financial technology solutions to institutional firms since 2000.
This is a long-term opportunity and the role can either be Contract-to-hire / Full-time employment.
About the Role:
They are looking to add a Senior Software Engineer to our team to help build, run and maintain their enterprise applications in a Linux environment.",21d,
['Bluefire Interactive'],,Senior Blazor WebAssembly Developer,Remote,$145K - $170K (Employer est.),"To be considered for this position please provide a cover letter and include a hobby you enjoy.
Bluefire Interactive is a virtual company (work from home). Candidates local to the Northwest are preferred. We pride ourselves in building web sites and mobile apps that meet and exceed our clients' needs.
This is a contract to hire position. We are currently growing and are looking for someone who enjoys working from home, is a great people person, and can solve problems in both traditional and new ways. This person will work directly with clients. Excellent communication skills are a must.
The following are required technical skills:
PHP",2d,
"['T-Mobile', '3.8']",http://www.t-mobile.com/,Senior Blazor WebAssembly Developer,Remote,$145K - $170K (Employer est.),"Be unstoppable with us!
T-Mobile is synonymous with innovation–and you could be part of the team that disrupted an entire industry! We reinvented customer service, brought real 5G to the nation, and now we’re shaping the future of technology in wireless and beyond. Our work is as exciting as it is rewarding, so consider the career opportunity below as your invitation to grow with us, make big things happen with us, above all, #BEYOU with us. Together, we won’t stop!
Advertising, meet the Un-carrier. We are standing up for Consumers and Advertisers to redefine an industry. Again. Ever feel like relevant, engaging, and safe advertising is an impossible ask? We are working to change that by building an advertising platform that allows brands and advertising agencies to engage real audiences with a customer centric, privacy first approach. This is not a product internal to T-Mobile; but one that is used by all the major advertising agencies in the United States and many of the top consumer product brands. Our team builds the enabling technology behind this revolution. We are a small, fast-moving team of master generalists; that build, run, and operate the Magenta Marketing Platform. If you enjoy writing full stack code one day, working on a data pipeline the next and wrapping up your week writing infrastructure as code to deploy changes to the cloud we want to talk to you. We are looking for team members who can critically analyze a problem, collaborate with product management to find a solution, and own the delivery of that solution to the end customer.

The Senior Full Stack Software Engineer will work with a team of other software engineers to implement and deploy complete systems which meet customer's requirements and are cloud native. The engineer will focus on creation of full stack software solutions that typically include front end web frameworks, back-end services, micro services, databases, and all associated cloud infrastructure required to deploy and maintain the solution following established patterns. Responsible for maintaining, enhancing, deploying and supporting the full software solution.

Technical System Expertise: Understands web protocols, how full stack applications operate and data flows. Aware of current technology benefits. Expected to independently develop and iterate on a full software stack. Understands the building blocks, interactions, dependencies, and tools required to complete software and automation work. Independent study of current technology is expected.

Innovation: Contributes to designs to implement new ideas which improve on existing and new system/process/service. Contributes to designs to implement new ideas which utilize new frameworks to improve an existing or new system/process/service. Understands and can apply new industry perspectives to our existing business model. Review existing designs and processes to highlight more efficient ways to complete existing workload more effectively through industry perspectives.

Technical Writing: Maintains knowledge of existing technology documents. Writes basic documentation on how new features work. Creates clear documentation for new code and systems used.

Technical Leadership: Collaborates with technical teams and utilizes system expertise to deliver technical solutions. Continuously learns and teaches others existing and new technologies. Contributes to the development of others through mentoring or in house workshops and learning sessions.

Technology Strategy: Contributes to new and existing technology options that support business goals.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018469855b8fa3f74d0a0fae68ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2f746285&cb=1668217716373&jobListingId=1008189849789&cpc=0FE1F5EA2BC84A01&jrtk=3-0-1ghkoamuujorm801-1ghkoamvdimbd800-6ad802d2697230c2--6NYlbfkN0DQ26wr4AzmoNOeS9kS7NPMaLEmoS4rCSw65dkfRS7bcC5IvAh3917GgOGpouu4mP3LeL2xo56pdm38LcvddE68DQCQa0xMCLhvE8wXMq6Jkd7pU5g1XXa61a7TT6akXA9FZz2qJM16ARjMqSnSJJAeYBetsvZ26tozHl6qAcsqULmhwXmcu7N6-9a2SEjsBnikXkvK1EZFxKH1NJcFkTw7NGF8ZlPM8dD9jIMBujw7XCTWaf50eOPXCTKM62Sb37Rjz6gXUiI08baUobLGb1qrh2OtTCG5vsjmDNNsJbYHb804Iua0tbesqULpJ664TaRVeuDsg3VWECKAE-2rBfhwpPXFw63W6L7VIPY_MfbvJ0hsyHoWRhY6J0F3tEf7ZG3BpXJrprvTgFHDdtToWIe0_7zLrzrRQsosgbqbjAlRKaWjqLWo6hPoxJsI8npQSL5krWw6BKdR4zorrfF3cJ8702-b-Rj3Mi7uRVkA5NQ2Yn_E5viPM8DjU-p-fYC9PvDdyQIdwN5ybYwvSA3iPP_P3TFtU97aT9z1riLupxEyJ7uVdaBMUF3Q5fApafeAW836ykERPs_-WYWqQJ5k35TYv8riFYg7n-ybTOySYBV4z-2iMciWpPC5CFzsleQ7EUkjLJSo8bxSsFC2-rrsY1Rr_x2rZC77bIVCm3LW5LExC62hWA0VsR-tctnBqNpceeSLGbvUpCDHYWyCbjmYdEbCvake1SWZ99RhQFsRQFU-2G3GR9Thw-Sr88RzZ-9T3qiqrDNVqtoHSnG5h3J1ec5QdIcerV1rEx40XE_LukXxMiujBok5dWSv3o-F5QjS-8KNokVVEjI2yUrBenC11JzSygWfIcM9a0jd_IJqWnVyf1qdjpKZut0UoiyYR1B4IuOFDEHJ87phAs9sB-cwRvxloDrceroqiw8Za0FxMPs3AlgYAYqw6RZRzJRvdvfTqsCWjjrsYn8ohSN4kmqOaThMd1L_CrjEa6Ux5yPCGC9g99bLd-dkrooZKelWIV2Vq0lz7Jcla9WNUl0crBzdrFQmDpYUSX0qQn-XYgZAhbCq9gW5k3VHvwvAFYW-CgMAZ5C7AIIRiTtjiVXCoQRI16_RL1tOXNGIpxwmdpt2CwlWKWUZ_lJ1rGLqlOTnYEgZqqBv70B0uLi2VP5saDUPxl7zWxm3ZKAvXI8f76X4v3Rj2XJf3hCuu5CPe3GjsFdAUwGmfbZBXMKd9uH2ngq4DVuD3D65NLU1cPLFssgqEkIQFF4XMR6J6z5HaMgIrhjb3LH3EUd1mB7zto5zMpFhHpEX
"['Florida Realtors', '4.4']",http://www.floridarealtors.org/,Senior Blazor WebAssembly Developer,Remote,$145K - $170K (Employer est.),"Junior Full Stack Application Developer: This role is hybrid - partially remote, partially in-office. Must be local to the Orlando, FL area. Great benefits with free health insurance for employees and immediately-vested 100% match on 401k up to 6% contribution.
Who We Are
Florida Realtors® is the state's largest trade association with over 225,000 members. For more than 100 years, Florida Realtors has been The Voice for Real Estate in Florida, working to meet the needs of the real estate community and Florida homeowners so people may experience the sanctity of homeownership. We are member-driven and work to provide our members with outstanding business contacts, networking opportunities, educational offerings, research and legislative representation, programs, services, and experiences. We provide camaraderie to bolster member success and proudly support homeownership for all. The association headquarters is located in Orlando, and the Office of Public Policy is located in the two blocks from the state capital in Tallahassee.",29d,
"['CrowdStrike, Inc.', '4.3']",http://www.crowdstrike.com/careers,Senior Blazor WebAssembly Developer,Remote,$145K - $170K (Employer est.),"About the Team
You'll be joining our Data Protection Product Group, whose mission is to build a unified data security system which enables customers to identify and investigate insider threats, identify access to and movement of sensitive data, and ensure regulatory compliance by mitigating data loss risk.
About the Role
CrowdStrike Falcon Host is a two-component security product. One component is a “sensor”: a driver installed on client machines that observes system activity and recognizes malicious behavior, then provides on-box prevention capability and remote telemetry to the Falcon Host cloud. The sensor processes thousands of events per second to provide deep visibility into operations on the endpoint, and performs rich correlation and computation to identify malicious events and blocks malicious activity.",9d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018469855b8fa3f74d0a0fae68ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_28ee080b&cb=1668217721594&jobListingId=1008252735437&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghkoamuujorm801-1ghkoamvdimbd800-bff29497ade267ef--6NYlbfkN0Cu2CVlb3GO4Nf7aS8SXsFwjpUbSKkwsJRaJhRnAEdqU8CAqI7YsRHp2JpWBvl0QKiMTHC_3HnLUdkGxFIDPc1PsYIuzb51QafYDre-6fOlvQbC_km9f4w4GbwhL8aF-qT87lyJNEick_PJzoB6d6QxOiUjryqPza6iSM5OkwAhvIIhWQ0KqXmWLJbl6JvXD75aHWRRZd2LR-Ei6e-2JR5FeOc-si305bdB9ZhhXt4jUIS47-OwtwXDlpXul4LuZ5T6U-mOQk94bT-jf1IyI9cC08iJ8ZGbVz7lL2oqMJS4uexJKSwcXJYQGsXfhW2HZzhjsNmFXJN6ymaTlPsCMIgCMbuUr8pLx5lNimCrJO92dPimRO_oLFk0I85PbrxzcEmquqFoVCyJeH5vnPYfQbWfeprTnKZ2mbD9345wd43_tKk2O7oJSOUv3e9y-vF3YwwxX1eusi7DxImp64RxDIPXkTEQ11b3wwbztgxD0L13Ir5bHFIu4YKOQXua4l73Rm8zJNI_KDQErLso24DN148v7AqIm2bFHfjkwD3z7tfMPdllR3qNVZ7r_b7vjHJilf555QcxOpyreemZ8dZo3WfARlntq5ruHjGDQXRvDjWCUk7Fjwlwc5UxLdotpKqaqEBlhQyk8HWqUxKqercYV2aRcyoY7_tipKqsGtExw1CbUt24XLMVGl7wHQTfkNu434CpPBEv41-Azh5f_4WLvH_AQHDoEvpSEosbgkpIuis9ZtMe1J8KLl4o
"['The Intersect Group', '3.7']",https://www.theintersectgroup.com/,Senior Blazor WebAssembly Developer,Remote,$145K - $170K (Employer est.),"Java Developer (2-5 years of experience)
Direct-Hire | Hybrid | Alpharetta | $110k-125k
The Java Developer is responsible for:
Design, implement, extend, test, and document solutions that meet business specifications and being followed by best practices
Produce best in class, maintainable software components (add-ons, plug-ins), applications and platform customizations
Work on maintenance and support tasks of existing solutions/products. Apply technical expertise to investigate and resolve software issues (troubleshooting & bug fixing)",15d,
