Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['BorgWarner', '3.9']",http://www.borgwarner.com/,"Embedded Systems/Software Engineer, Cybersecurity","Auburn Hills, MI",$75K - $106K (Glassdoor est.),"BorgWarner PowerDrive Systems’ engineers develop and deploy innovative powertrain systems enabling the next generation of efficient, clean and intelligent drivetrain solutions. Our products must provide exceptional performance, efficiency and value in challenging safety- and security-critical environments. To accomplish this we’re looking for talented, passionate engineers who bring fresh ideas with their unique knowledge and experience to develop elegant solutions to these complex engineering problems.

This entry level cybersecurity engineer (CSE) works within the systems engineering function and is directly engaged with the development of secure, robust and resilient vehicle solutions for xEV projects. Those solutions range across hardware and software, including but not limited to immobilizers/anti-theft devices, manipulation detection system, secure boot methods, key storage and management, secure on-board communication and secure diagnostics, hardware trust anchors (microcontroller hardware security modules). This role supports the development team in ensuring all aspects of the stakeholder requirements are implemented and tested according to the latest automotive cybersecurity standards and best practices.
Internal Use Only: Salary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a88fcb79ee8cb55e0741511&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1514b9c7&cb=1668234678575&jobListingId=1008039284342&jrtk=3-0-1ghl8hv7jjorm801-1ghl8hv88grgv800-05eb39e6b954e030-
"['BorgWarner', '3.9']",http://www.borgwarner.com/,"Embedded Systems/Software Engineer, Cybersecurity","Auburn Hills, MI",$75K - $106K (Glassdoor est.),"Position
Engineering Supervisor – Software Project Management
Location
Indiana Technical Center with Locations in Noblesville & Kokomo, Indiana
About us
BorgWarner is a global product leader in delivering innovative and sustainable mobility solutions for the vehicle market. We are a company of innovators and independent thinkers that brings together talented employees, meaningful work and amazing technology in a unique environment. At BorgWarner we constantly work towards our vision of a clean and energy-efficient world.
Our Culture
We believe health and safety of our employees are a top priority, we care about our local communities and the global environment. BorgWarner promotes and nurtures a diverse and inclusive environment, honors integrity, strives for excellence, commits to responsibility for our communities and the environment, and builds on the power of collaboration.
Internal Use Only: Salary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a88fcb79ee8cb55e0741511&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_44ec6c8d&cb=1668234682460&jobListingId=1007831119404&jrtk=3-0-1ghl8hv7jjorm801-1ghl8hv88grgv800-f04425218d36efde-
"['BorgWarner', '3.9']",http://www.borgwarner.com/,"Embedded Systems/Software Engineer, Cybersecurity","Auburn Hills, MI",$75K - $106K (Glassdoor est.),"Position: Software Developer
Location Propulsion Technical Center – Auburn Hills, MI
About us
BorgWarner is a global product leader in delivering innovative and sustainable mobility solutions for the vehicle market. We are a company of innovators and independent thinkers that brings together talented employees, meaningful work and amazing technology in a unique environment. At BorgWarner we constantly work towards our vision of a clean and energy-efficient world.
Our Culture
We believe health and safety of our employees are a top priority, we care about our local communities and the global environment. BorgWarner promotes and nurtures a diverse and inclusive environment, honors integrity, strives for excellence, commits to responsibility for our communities and the environment, and builds on the power of collaboration.
Career Opportunities
We manage talent as seriously as we manage our businesses and encourage you to learn about our proud history, strong culture, technologies and future vision. We offer a strong local presence and interesting global opportunities. Start your future with BorgWarner now!

Internal Use Only: Salary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a88fcb79ee8cb55e0741511&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7710d7c0&cb=1668234685479&jobListingId=1007831119511&jrtk=3-0-1ghl8hv7jjorm801-1ghl8hv88grgv800-3ddb1b1a549462ad-
"['BorgWarner', '3.9']",http://www.borgwarner.com/,"Embedded Systems/Software Engineer, Cybersecurity","Auburn Hills, MI",$75K - $106K (Glassdoor est.),"Position: Systems Test Automation Engineer
Location
Indiana Technical Center with Locations in Noblesville & Kokomo, Indiana. This position’s primary location is in Kokomo.
About us
BorgWarner is a global product leader in delivering innovative and sustainable mobility solutions for the vehicle market. We are a company of innovators and independent thinkers that brings together talented employees, meaningful work, and amazing technology in a unique environment. At BorgWarner we constantly work towards our vision of a clean and energy-efficient world.
Our Culture
We believe health and safety of our employees are a top priority, we care about our local communities and the global environment. BorgWarner promotes and nurtures a diverse and inclusive environment, honors integrity, strives for excellence, commits to responsibility for our communities and the environment, and builds on the power of collaboration.
Internal Use Only: Salary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a88fcb79ee8cb55e0741511&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a9aac920&cb=1668234688263&jobListingId=1008175980857&jrtk=3-0-1ghl8hv7jjorm801-1ghl8hv88grgv800-f93cac2b46bc9c2e-
"['BorgWarner', '3.9']",http://www.borgwarner.com/,"Embedded Systems/Software Engineer, Cybersecurity","Auburn Hills, MI",$75K - $106K (Glassdoor est.),"Position: System and Software Quality Assurance Engineer
Location: Propulsion Technical Center Auburn Hills, Michigan
About us
BorgWarner is a global product leader in delivering innovative and sustainable mobility solutions for the vehicle market. We are a company of innovators and independent thinkers that brings together talented employees, meaningful work, and amazing technology in a unique environment. At BorgWarner we constantly work towards our vision of a clean and energy-efficient world.
Our Culture
We believe health and safety of our employees are a top priority, we care about our local communities and the global environment. BorgWarner promotes and nurtures a diverse and inclusive environment, honors integrity, strives for excellence, commits to responsibility for our communities and the environment, and builds on the power of collaboration.
Career Opportunities
Internal Use Only: Salary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a88fcb79ee8cb55e0741511&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c3c04a3f&cb=1668234690262&jobListingId=1007831124461&jrtk=3-0-1ghl8hv7jjorm801-1ghl8hv88grgv800-25f452c60eb653b3-
"['BorgWarner', '3.9']",http://www.borgwarner.com/,"Embedded Systems/Software Engineer, Cybersecurity","Auburn Hills, MI",$75K - $106K (Glassdoor est.),"Position: Application Software Engineer
Location
Indiana Technical Center with Locations in Noblesville & Kokomo, Indiana. This position’s primary location is Kokomo.
About us
BorgWarner is a global product leader in delivering innovative and sustainable mobility solutions for the vehicle market. We are a company of innovators and independent thinkers that brings together talented employees, meaningful work and amazing technology in a unique environment. At BorgWarner we constantly work towards our vision of a clean and energy-efficient world.
Our Culture
We believe health and safety of our employees are a top priority, we care about our local communities and the global environment. BorgWarner promotes and nurtures a diverse and inclusive environment, honors integrity, strives for excellence, commits to responsibility for our communities and the environment, and builds on the power of collaboration.
Internal Use Only: Salary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a88fcb79ee8cb55e0741511&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_719919b3&cb=1668234694127&jobListingId=1007831127246&jrtk=3-0-1ghl8hv7jjorm801-1ghl8hv88grgv800-f57f861a2660d2c4-
"['BorgWarner', '3.9']",http://www.borgwarner.com/,"Embedded Systems/Software Engineer, Cybersecurity","Auburn Hills, MI",$75K - $106K (Glassdoor est.),"Position
(Software Engineer) – BorgWarner Empower Program
Location
Arden, North Carolina
About us
BorgWarner is a global product leader in delivering innovative and sustainable mobility solutions for the vehicle market. We are a company of innovators and independent thinkers that brings together talented employees, meaningful work and amazing technology in a unique environment. At BorgWarner we constantly work towards our vision of a clean and energy-efficient world.
Our Culture
We believe health and safety of our employees are a top priority, we care about our local communities and the global environment. BorgWarner promotes and nurtures a diverse and inclusive environment, honors integrity, strives for excellence, commits to responsibility for our communities and the environment, and builds on the power of collaboration.
Internal Use Only: Salary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a88fcb79ee8cb55e0741511&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8f86fbba&cb=1668234697045&jobListingId=1008052609780&jrtk=3-0-1ghl8hv7jjorm801-1ghl8hv88grgv800-23501ae805c155cc-
"['BorgWarner', '3.9']",http://www.borgwarner.com/,"Embedded Systems/Software Engineer, Cybersecurity","Auburn Hills, MI",$75K - $106K (Glassdoor est.),"Reliably delivering what’s needed today
There are few challenges as important today as creating solutions that support a cleaner, more energy-efficient world. This requires a commitment to constantly improve the transportation of people and things. We, at BorgWarner, made that commitment decades ago and have since been creating technologies to improve efficiency, emissions and performance in all types of vehicles.
Constantly pursuing what’s next
Our proven track record has made us industry leader in clean, energy-efficient propulsion system solutions for combustion, hybrid and electric vehicles. We uncover strong trends and use smart science and technology to address a future based on varying regulations, consumer demands and automaker requirements.
Product leadership that’s changing the world
Our employees have earned trusted partnerships with customers and suppliers around the world. We leverage these relationships to gain a deeper understanding of the challenges at hand and then do what it takes to develop the next solution. Our strong operations and commercialization expertise result in high volume availability of competitive, efficient products that truly drive change.
Internal Use Only: Salary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a88fcb79ee8cb55e0741511&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fdabd81a&cb=1668234701059&jobListingId=1007831129897&jrtk=3-0-1ghl8hv7jjorm801-1ghl8hv88grgv800-e9f073f366da76f2-
"['BorgWarner', '3.9']",http://www.borgwarner.com/,"Embedded Systems/Software Engineer, Cybersecurity","Auburn Hills, MI",$75K - $106K (Glassdoor est.),"Position: Application Software Engineer
Location: Michigan Technical Center, Auburn Hills
About us
BorgWarner is a global product leader in delivering innovative and sustainable mobility solutions for the vehicle market. We are a company of innovators and independent thinkers that brings together talented employees, meaningful work and amazing technology in a unique environment. At BorgWarner we constantly work towards our vision of a clean and energy-efficient world.
Our Culture
We believe health and safety of our employees are a top priority, we care about our local communities and the global environment. BorgWarner promotes and nurtures a diverse and inclusive environment, honors integrity, strives for excellence, commits to responsibility for our communities and the environment, and builds on the power of collaboration.
Career Opportunities
We manage talent as seriously as we manage our businesses and encourage you to learn about our proud history, strong culture, technologies, and future vision. We offer a strong local presence and interesting global opportunities. Start your future with BorgWarner now!

Internal Use Only: Salary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a88fcb79ee8cb55e0741511&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_76ce9aa3&cb=1668234704834&jobListingId=1007831122139&jrtk=3-0-1ghl8hv7jjorm801-1ghl8hv88grgv800-98de459c7d81d413-
"['BorgWarner', '3.9']",http://www.borgwarner.com/,"Embedded Systems/Software Engineer, Cybersecurity","Auburn Hills, MI",$75K - $106K (Glassdoor est.),"Reliably delivering what’s needed today
There are few challenges as important today as creating solutions that support a cleaner, more energy-efficient world. This requires a commitment to constantly improve the transportation of people and things. We, at BorgWarner, made that commitment decades ago and have since been creating technologies to improve efficiency, emissions and performance in all types of vehicles.
Constantly pursuing what’s next
Our proven track record has made us industry leader in clean, energy-efficient propulsion system solutions for combustion, hybrid and electric vehicles. We uncover strong trends and use smart science and technology to address a future based on varying regulations, consumer demands and automaker requirements.
Product leadership that’s changing the world
Our employees have earned trusted partnerships with customers and suppliers around the world. We leverage these relationships to gain a deeper understanding of the challenges at hand and then do what it takes to develop the next solution. Our strong operations and commercialization expertise result in high volume availability of competitive, efficient products that truly drive change.
Internal Use Only: Salary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a88fcb79ee8cb55e0741511&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2824a9c7&cb=1668234706677&jobListingId=1007831122484&jrtk=3-0-1ghl8hv7jjorm801-1ghl8hv88grgv800-2ae13ff13e82b84e-
