Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Builders FirstSource', '3.6']",http://www.bldr.com/,Software Engineer I - Application Development,"Dallas, TX",$81K - $109K (Glassdoor est.),"BFS is looking for a Software Engineer 1 who has the drive to learn and innovate by providing creative technical solutions to business problems. This position requires software background and experience in designing and developing solutions of moderate complexity. The individual creates new code and modifies existing code to meet requirements and detail specifications. They advise judgment in devising program logic and adapting standard programming procedures, and with great transparency, obtain advice when specifications are unclear or unavailable.

If you have great programming skills and a passion to create and deliver innovative solutions, then you are the right fit for the job! For this position, it is essential to have responsibility, creativity and drive to bring in change through continuous improvement.

ESSENTIAL DUTIES & RESPONSIBILITIES:
Perform programming, coding, testing, documentation updates for moderate to complex projects.



Builders FirstSource is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or status as an individual with a disability.

In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Builders FirstSource, please call (214) 765-3990 or email: ADA.Accommodation@bldr.com. Please do not send resumes to this email address - it is intended only to be used to request an accommodation in submitting an application for a job opening.

https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm

EEO THE LAW - English/Spanish
EEO IS THE LAW - SUPPLEMENT - English/Spanish
Pay Transparency Provision - English/Spanish",8d,
"['Builders FirstSource', '3.6']",http://www.bldr.com/,Software Engineer I - Application Development,"Dallas, TX",$81K - $109K (Glassdoor est.),"PURPOSE
The Sr. Cloud Engineer will design, develop, deploy, and manage cloud-based systems and environments. Collaborate with management, development, and engineering teams to determine proper use of cloud platforms, and to determine applications/solutions appropriate for migration to the cloud.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Manage the software development life cycle, including planning, designing, testing and deploying applications.
Creatively solve complex problems in the DevOps space, collaborating with customer Ops, Development, and QA team members
Design complex computer network systems to meet company needs for security and scalability.
SUPERVISORY RESPONSIBILITIES
No supervisory responsibilities.
MINIMUM REQUIREMENTS
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.
COMPETENCIES
WORK ENVIRONMENT / PHYSICAL ACTIVITY
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Builders FirstSource is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or status as an individual with a disability.

In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Builders FirstSource, please call (214) 765-3990 or email: ADA.Accommodation@bldr.com. Please do not send resumes to this email address - it is intended only to be used to request an accommodation in submitting an application for a job opening.

https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm

EEO THE LAW - English/Spanish
EEO IS THE LAW - SUPPLEMENT - English/Spanish
Pay Transparency Provision - English/Spanish",30d+,
"['Builders FirstSource', '3.6']",http://www.bldr.com/,Desktop Engineer (Azure/Intune/SCCM),"Dallas, TX",$84K - $99K (Employer est.),"Publicly traded on the NYSE (BLDR), Builders FirstSource is the nation’s premier supplier of building materials and services for professional home builders and remodelers. With 30,000 team members supporting approximately 565 locations in 42 states and a market presence in 85 of the top 100 Metropolitan Statistical Areas, the company has significant geographic diversity and a balanced end market exposure. As a company we are focused on getting things done right and on building a successful future, for customers, vendors and team members. Due to the complexity of the building industry, Builders FirstSource manages a variety of operations with a large selection of career opportunities throughout the country. With long-tenured team members, it is evident that we believe in promoting from within, offer a competitive benefits package and provide job satisfaction across the board. Now is the time to be part of building something truly special. If you’d like to become part of an exciting, fast-paced organization, BFS is the company for you!

Creates new technologies, including the development of networking solutions and software programs. Develop and test user interfaces for Web-based or other software products. Define user requirements, create detailed specifications, and develop usability test plans.

SCCM, Intune, Azure
In addition to the salary amount listed, this position is also eligible to earn a performance based bonus on an annual basis. Eligibility and the amount of the bonus varies based on individual performance and annual year-end evaluation, overall company success, and terms and conditions of the Company’s active bonus policy for the respective year.

See our Benefits at https://bldr.com/join-our-team

Builders FirstSource is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or status as an individual with a disability.

In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Builders FirstSource, please call (214) 765-3990 or email: ADA.Accommodation@bldr.com. Please do not send resumes to this email address - it is intended only to be used to request an accommodation in submitting an application for a job opening.

https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm

EEO THE LAW - English/Spanish
EEO IS THE LAW - SUPPLEMENT - English/Spanish
Pay Transparency Provision - English/Spanish",2d,
,,Desktop Engineer (Azure/Intune/SCCM),"Dallas, TX",$84K - $99K (Employer est.),,2d,
"['Builders FirstSource', '3.6']",http://www.bldr.com/,Desktop Engineer (Azure/Intune/SCCM),"Dallas, TX",$84K - $99K (Employer est.),"Creates new technologies, including the development of networking solutions and software programs. Develop and test user interfaces for Web-based or other software products. Define user requirements, create detailed specifications, and develop usability test plans.
Applies technical knowledge to solve a variety of technological challenges. Conceives system interfaces and business application prototypes.
Develop, test, install, configure and troubleshoot computer hardware and software.
Create proper diagrams and other detailed instructions to help other employees make the best use of new technologies.
Defines processes for technical platforms, system specifications, input/output and working parameters for hardware and/or software compatibility.
Manage and coordinate administrative activities and operational support for large, complex systems and all of their components.
SUPERVISORY RESPONSIBILITIES
This job has no supervisory responsibilities.
MINIMUM REQUIREMENTS
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.
Bachelor’s degree and a minimum of 6 years of directly related experience or equivalent combination of education and experience.
Bachelor’s degree and a minimum of 6 years of directly related experience or equivalent combination of education and experience.

COMPETENCIES
Advanced ability to provide business decision analysis and support, plan logistics, document, and perform product evaluations at the Enterprise level. Establish and maintain effective working relationships with peers, subordinates, and 3rd party vendors.
WORK ENVIRONMENT / PHYSICAL ACTIVITY
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Builders FirstSource is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or status as an individual with a disability.

In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Builders FirstSource, please call (214) 765-3990 or email: ADA.Accommodation@bldr.com. Please do not send resumes to this email address - it is intended only to be used to request an accommodation in submitting an application for a job opening.

https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm

EEO THE LAW - English/Spanish
EEO IS THE LAW - SUPPLEMENT - English/Spanish
Pay Transparency Provision - English/Spanish",30d+,
"['Builders FirstSource', '3.6']",http://www.bldr.com/,Network Engineer II,Remote,,"PURPOSE
Under general supervision, responsible for the administration and maintenance of all network related infrastructure. Designs and implements networking solutions based upon business requirements.

ESSENTIAL DUTIES AND RESPONSIBILITIES

Researches technologies and works with engineers to design/implement solutions based upon business initiatives
Provides training and documentation to the NOC and Administrator teams for newly deployed technologies
Acts as an escalation point to Network Administrators and the Network Operations Center.
SUPERVISORY RESPONSIBILITIES
This job has no supervisory responsibilities.

MINIMUM REQUIREMENTS
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

COMPETENCIES

WORK ENVIRONMENT / PHYSICAL ACTIVITY
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Builders FirstSource is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or status as an individual with a disability.

In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Builders FirstSource, please call (214) 765-3990 or email: ADA.Accommodation@bldr.com. Please do not send resumes to this email address - it is intended only to be used to request an accommodation in submitting an application for a job opening.

https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm

EEO THE LAW - English/Spanish
EEO IS THE LAW - SUPPLEMENT - English/Spanish
Pay Transparency Provision - English/Spanish",30d+,
"['Builders FirstSource', '3.6']",http://www.bldr.com/,Network Engineer II,Remote,,"PURPOSE
The Sr. Cloud Engineer will design, develop, deploy, and manage cloud-based systems and environments. Collaborate with management, development, and engineering teams to determine proper use of cloud platforms, and to determine applications/solutions appropriate for migration to the cloud.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Manage the software development life cycle, including planning, designing, testing and deploying applications.
Creatively solve complex problems in the DevOps space, collaborating with customer Ops, Development, and QA team members
Design complex computer network systems to meet company needs for security and scalability.
SUPERVISORY RESPONSIBILITIES
No supervisory responsibilities.
MINIMUM REQUIREMENTS
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.
COMPETENCIES
WORK ENVIRONMENT / PHYSICAL ACTIVITY
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Builders FirstSource is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or status as an individual with a disability.

In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Builders FirstSource, please call (214) 765-3990 or email: ADA.Accommodation@bldr.com. Please do not send resumes to this email address - it is intended only to be used to request an accommodation in submitting an application for a job opening.

https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm

EEO THE LAW - English/Spanish
EEO IS THE LAW - SUPPLEMENT - English/Spanish
Pay Transparency Provision - English/Spanish",30d+,
"['Builders FirstSource', '3.6']",http://www.bldr.com/,Senior Cloud Engineer,Remote,,"PURPOSE
The Sr. Cloud Engineer will design, develop, deploy, and manage cloud-based systems and environments. Collaborate with management, development, and engineering teams to determine proper use of cloud platforms, and to determine applications/solutions appropriate for migration to the cloud.
ESSENTIAL DUTIES AND RESPONSIBILITIES
Manage the software development life cycle, including planning, designing, testing and deploying applications.
Creatively solve complex problems in the DevOps space, collaborating with customer Ops, Development, and QA team members
Design complex computer network systems to meet company needs for security and scalability.
SUPERVISORY RESPONSIBILITIES
No supervisory responsibilities.
MINIMUM REQUIREMENTS
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.
COMPETENCIES
WORK ENVIRONMENT / PHYSICAL ACTIVITY
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Builders FirstSource is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or status as an individual with a disability.

In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Builders FirstSource, please call (214) 765-3990 or email: ADA.Accommodation@bldr.com. Please do not send resumes to this email address - it is intended only to be used to request an accommodation in submitting an application for a job opening.

https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm

EEO THE LAW - English/Spanish
EEO IS THE LAW - SUPPLEMENT - English/Spanish
Pay Transparency Provision - English/Spanish",30d+,
"['Builders FirstSource', '3.6']",http://www.bldr.com/,Compensation Analyst,Remote,$75K - $88K (Employer est.),"Publicly traded on the NYSE (BLDR), Builders FirstSource is the nation’s premier supplier of building materials and services for professional home builders and remodelers. With 30,000 team members supporting approximately 565 locations in 42 states and a market presence in 85 of the top 100 Metropolitan Statistical Areas, the company has significant geographic diversity and a balanced end market exposure. As a company we are focused on getting things done right and on building a successful future, for customers, vendors and team members. Due to the complexity of the building industry, Builders FirstSource manages a variety of operations with a large selection of career opportunities throughout the country. With long-tenured team members, it is evident that we believe in promoting from within, offer a competitive benefits package and provide job satisfaction across the board. Now is the time to be part of building something truly special. If you’d like to become part of an exciting, fast-paced organization, BFS is the company for you!

Manage and analyze large amounts of data, used to consult and influence professional and executive partners. Strong understanding of FLSA, and experience in job matching and survey participation. This position will partner with all levels of the organization and must be able to work independently on special projects of a complex and confidential nature.

ESSENTIAL DUTIES AND RESPONSIBILITIES
MINIMUM REQUIREMENTS
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.
COMPETENCIES
WORK ENVIRONMENT / PHYSICAL ACTIVITY
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

In addition to the salary amount listed, this position is also eligible to earn a performance based bonus on an annual basis. Eligibility and the amount of the bonus varies based on individual performance and annual year-end evaluation, overall company success, and terms and conditions of the Company’s active bonus policy for the respective year.

See our Benefits at https://bldr.com/join-our-team

Builders FirstSource is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or status as an individual with a disability.

In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Builders FirstSource, please call (214) 765-3990 or email: ADA.Accommodation@bldr.com. Please do not send resumes to this email address - it is intended only to be used to request an accommodation in submitting an application for a job opening.

https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm

EEO THE LAW - English/Spanish
EEO IS THE LAW - SUPPLEMENT - English/Spanish
Pay Transparency Provision - English/Spanish",7d,
"['Builders FirstSource', '3.6']",http://www.bldr.com/,Compensation Analyst,Remote,$75K - $88K (Employer est.),"Publicly traded on the NYSE (BLDR), Builders FirstSource is the nation’s premier supplier of building materials and services for professional home builders and remodelers. With 30,000 team members supporting approximately 565 locations in 42 states and a market presence in 85 of the top 100 Metropolitan Statistical Areas, the company has significant geographic diversity and a balanced end market exposure. As a company we are focused on getting things done right and on building a successful future, for customers, vendors and team members. Due to the complexity of the building industry, Builders FirstSource manages a variety of operations with a large selection of career opportunities throughout the country. With long-tenured team members, it is evident that we believe in promoting from within, offer a competitive benefits package and provide job satisfaction across the board. Now is the time to be part of building something truly special. If you’d like to become part of an exciting, fast-paced organization, BFS is the company for you!

Develops and ensures implementation of employee benefit programs. Provides research and analysis of benefit programs and recommends plan changes. Participates in contract negotiations with benefit plan providers and vendors.

ESSENTIAL DUTIES AND RESPONSIBILITIES

SUPERVISORY RESPONSIBILITIES

This job has no supervisory responsibilities.

MINIMUM REQUIREMENTS
To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

Bachelor's degree in Human Resources with specialization in Benefits, and five (5) years practical benefits experience; or equivalent combination of education and related experience. CBP or CEBS certification preferred.

COMPETENCIES

WORK ENVIRONMENT / PHYSICAL ACTIVITY
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Builders FirstSource is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status or status as an individual with a disability.

In compliance with the ADA Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position with Builders FirstSource, please call (214) 765-3990 or email: ADA.Accommodation@bldr.com. Please do not send resumes to this email address - it is intended only to be used to request an accommodation in submitting an application for a job opening.

https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm

EEO THE LAW - English/Spanish
EEO IS THE LAW - SUPPLEMENT - English/Spanish
Pay Transparency Provision - English/Spanish",14d,
