Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['CDW', '4.1']",http://www.cdw.com/,Software Engineer I,Remote,$81K - $114K (Glassdoor est.),"The Sofware Engineer I develops business software solutions through object and data modeling, database design, programming, quality assurance, and implementation support as guided by senior members on the development team and management.
Key Areas of Responsibility
Understand and assimilate application requirements and designs.
Collaborate with other developers and architects to determine optimal solution architecture, efficiency, maintainability, and scalability.
Develop applications to CDW coding standards and quality.
Complete projects/tasks on a timely basis, according to commitments made to stakeholders and management",29d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b5ad9d8bc3e66daa0a1dacb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f5740329&cb=1668248435423&jobListingId=1008205234159&jrtk=3-0-1ghlllmgkimal801-1ghlllmhaim92800-f16ca17e498c7feb-
"['CDW', '4.1']",http://www.cdw.com/,Software Engineer I,Remote,$81K - $114K (Glassdoor est.),"The Sofware Engineer I develops business software solutions through object and data modeling, database design, programming, quality assurance, and implementation support as guided by senior members on the development team and management.
Key Areas of Responsibility
Understand and assimilate application requirements and designs.
Collaborate with other developers and architects to determine optimal solution architecture, efficiency, maintainability, and scalability.
Develop applications to CDW coding standards and quality.
Complete projects/tasks on a timely basis, according to commitments made to stakeholders and management",29d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b5ad9d8bc3e66daa0a1dacb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bfbc88e3&cb=1668248438346&jobListingId=1008205457749&jrtk=3-0-1ghlllmgkimal801-1ghlllmhaim92800-8b699a06e0a62a68-
"['CDW', '4.1']",http://www.cdw.com/,Software Engineer I,Remote,$81K - $114K (Glassdoor est.),"The Sofware Engineer I develops business software solutions through object and data modeling, database design, programming, quality assurance, and implementation support as guided by senior members on the development team and management.
Key Areas of Responsibility
Understand and assimilate application requirements and designs.
Collaborate with other developers and architects to determine optimal solution architecture, efficiency, maintainability, and scalability.
Develop applications to CDW coding standards and quality.
Complete projects/tasks on a timely basis, according to commitments made to stakeholders and management",29d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b5ad9d8bc3e66daa0a1dacb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_32102b33&cb=1668248441144&jobListingId=1008204628552&jrtk=3-0-1ghlllmgkimal801-1ghlllmhaim92800-31a079eaf6aa7632-
"['CDW', '4.1']",http://www.cdw.com/,Software Engineer I,Remote,$81K - $114K (Glassdoor est.),"The Sr Software Eng II supports business solutions. The purpose of this role is to develop business software solutions for complex and large scale projects through object and data modeling, database design, programming, quality assurance, and implementation support. The Lead Application Developer participates in application standards development and serves as an evangelist for best practices.
Key Areas of Responsibility
Perform all stages of the software development life cycle, self-manage activities on smaller projects and serve as technical lead on small, medium and large projects.
Determine operating requirements, costs, as well as resource needs for assigned projects and work in conjunction with a project manager on initiatives.
Co-lead with Project Manager employing object-oriented analysis and design techniques including use case analysis, object modeling, and database schema design to ensure business requirements and design goals are met.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b5ad9d8bc3e66daa0a1dacb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4986604f&cb=1668248445151&jobListingId=1008137157118&jrtk=3-0-1ghlllmgkimal801-1ghlllmhaim92800-ee0335192779d615-
"['CDW', '4.1']",http://www.cdw.com/,Software Engineer I,Remote,$81K - $114K (Glassdoor est.),"Bring your career and talents to CDW, where you can have a greater impact, be inspired and excited about your job and future. We are an innovative, Fortune 500 leader driving meaningful technological change for customers in virtually every industry. This is an exceptional opportunity to join some of the brightest, best and most collaborative minds working in software development to serve educational institutions today.
As a Software Engineer, you'll develop software solutions for our education customers through Angular, Node.js, Express, and a wide range of Google Platform technologies. We also integrate tightly with Google tooling and the full range of APIs available using Apps Script. In this software development role, you will work with lead and senior software developers to understand business needs, clarify requirements, and develop applications to CDW coding standards and quality. You'll also collaborate in ascertaining optimal solution architecture, to ensure application efficiency, maintainability, and scalability.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b5ad9d8bc3e66daa0a1dacb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6afd1393&cb=1668248448954&jobListingId=1008006733444&jrtk=3-0-1ghlllmgkimal801-1ghlllmhaim92800-bd937fb4279c255e-
"['CDW', '4.1']",http://www.cdw.com/,Software Engineer I,Remote,$81K - $114K (Glassdoor est.),"Bring your career and talents to CDW, where you can have a greater impact, be inspired and excited about your job and future. We are an innovative, Fortune 500 leader driving meaningful technological change for customers in virtually every industry. This is an exceptional opportunity to join some of the brightest, best and most collaborative minds working in software development to serve educational institutions today.
As a Software Engineer, you'll develop software solutions for our education customers through Angular, Node.js, Express, and a wide range of Google Platform technologies. We also integrate tightly with Google tooling and the full range of APIs available using Apps Script. In this software development role, you will work with lead and senior software developers to understand business needs, clarify requirements, and develop applications to CDW coding standards and quality. You'll also collaborate in ascertaining optimal solution architecture, to ensure application efficiency, maintainability, and scalability.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b5ad9d8bc3e66daa0a1dacb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f431aede&cb=1668248452077&jobListingId=1008007704773&jrtk=3-0-1ghlllmgkimal801-1ghlllmhaim92800-e66c6c99d6a96785-
"['CDW', '4.1']",http://www.cdw.com/,Software Engineer I,Remote,$81K - $114K (Glassdoor est.),"As a member of our Delivery Services organization, the ServiceNow Senior Developer implements solutions leveraging the ServiceNow platform that are simple, intuitive, easy to use, and allows customers to extend and customize the functionality to meet their specific business needs. The ServiceNow Senior Developer will work in a team setting on various projects and take the customer’s requirements/stories and build them on the ServiceNow platform. They have an understanding of the various ServiceNow Products (ITSM, ITBM, ITOM,HR, SecOps, CSM, GRC, etc.), may have deep strengths in one or several of these, and understands how the ITIL framework can be leveraged to create best practices for the customer.

Key Areas of Responsibility
Develop across the full stack of Web technologies -Java, JavaScript, Angular.js, React, HTML and CSS",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b5ad9d8bc3e66daa0a1dacb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9402afee&cb=1668248454683&jobListingId=1007698407099&jrtk=3-0-1ghlllmgkimal801-1ghlllmhaim92800-b6b2019ebd428936-
"['CDW', '4.1']",http://www.cdw.com/,Software Engineer I,Remote,$81K - $114K (Glassdoor est.),"As a member of our Delivery Services organization, the ServiceNow Senior Developer implements solutions leveraging the ServiceNow platform that are simple, intuitive, easy to use, and allows customers to extend and customize the functionality to meet their specific business needs. The ServiceNow Senior Developer will work in a team setting on various projects and take the customer's requirements/stories and build them on the ServiceNow platform. They have an understanding of the various ServiceNow Products (ITSM, ITBM, ITOM,HR, SecOps, CSM, GRC, etc.), may have deep strengths in one or several of these, and understands how the ITIL framework can be leveraged to create best practices for the customer.
Key Areas of Responsibility
Develop across the full stack of Web technologies -Java, JavaScript, Angular.js, React, HTML and CSS",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b5ad9d8bc3e66daa0a1dacb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f5b5371d&cb=1668248458790&jobListingId=1007698980656&jrtk=3-0-1ghlllmgkimal801-1ghlllmhaim92800-f5ef9bd632861790-
"['CDW', '4.1']",http://www.cdw.com/,Software Engineer I,Remote,$81K - $114K (Glassdoor est.),"The Sofware Engineer I develops business software solutions through object and data modeling, database design, programming, quality assurance, and implementation support as guided by senior members on the development team and management.
Key Areas of Responsibility
Understand and assimilate application requirements and designs.
Collaborate with other developers and architects to determine optimal solution architecture, efficiency, maintainability, and scalability.
Develop applications to CDW coding standards and quality.
Complete projects/tasks on a timely basis, according to commitments made to stakeholders and management",29d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b5ad9d8bc3e66daa0a1dacb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_557f5c60&cb=1668248462711&jobListingId=1008205453841&jrtk=3-0-1ghlllmgkimal801-1ghlllmhaim92800-8909ac252ee073bf-
"['CDW', '4.1']",http://www.cdw.com/,Software Engineer I,Remote,$81K - $114K (Glassdoor est.),"The Sr Software Eng II supports business solutions. The purpose of this role is to develop business software solutions for complex and large scale projects through object and data modeling, database design, programming, quality assurance, and implementation support. The Lead Application Developer participates in application standards development and serves as an evangelist for best practices.

Key Areas of Responsibility
Perform all stages of the software development life cycle, self-manage activities on smaller projects and serve as technical lead on small, medium and large projects.
Determine operating requirements, costs, as well as resource needs for assigned projects and work in conjunction with a project manager on initiatives.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b5ad9d8bc3e66daa0a1dacb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9d3dc48a&cb=1668248465503&jobListingId=1008139171006&jrtk=3-0-1ghlllmgkimal801-1ghlllmhaim92800-690ed0555198d4cd-
