Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['CHS', '3.2']",http://www.chsbuffalo.org/,Application Programmer Analyst II Clinical Systems,"Buffalo, NY",$65K - $88K (Glassdoor est.),"Facility: Administrative Regional Training Cntr
Shift: Shift 1
Status: Full Time FTE: 1.000000
Bargaining Unit: ACE Associates
Exempt from Overtime: Exempt: Yes
Work Schedule: Days
Hours: 8a - 4p
Summary:

Facilitates a process, people, and technology method of transformation. Supports the organizations IT Applications for Catholic Health (CH) facilities. Identifies and implements software solutions for CH business and/or clinical needs. Brings vendor software solutions to CH customers. Serves as a technical liaison. Responsibilities include system installation and maintenance. Performs problem diagnostics, resolution, and documentation. Provides technical and functional analysis, system building, and testing. Prepares specifications and documentation related to systems. Provides support for specific projects. Knows the business and/or clinical processes and the technical mechanics to support the work. A level II Analyst does so at a beginner to intermediate complexity and competency, and is a resource IT team members. Procedures for the job are general, and work is supervised and guided by manager or team member. Employee knows and analyzes procedures, interprets them and adapts them with limited discretion as necessary.",29d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b7c7ea1913f57c0c2cc8597&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4c3da9a7&cb=1668250636876&jobListingId=1008207060685&jrtk=3-0-1ghlnovngkclu801-1ghlnovo2i9hg800-84e5457e7b50e98f-
"['CHS', '3.2']",http://www.chsbuffalo.org/,Application Programmer Analyst II Clinical Systems,"Buffalo, NY",$65K - $88K (Glassdoor est.),"Facility: Administrative Regional Training Cntr
Shift: Shift 1
Status: Full Time FTE: 1.000000
Bargaining Unit: ACE Associates
Exempt from Overtime: Exempt: Yes
Work Schedule: Days
Hours:
M-F 8-4 with occassional need for off hours coverage
Summary:

Facilitates a process, people, and technology method of transformation. Supports the organizations IT Applications for Catholic Health (CH) facilities. Identifies and implements software solutions for CH business and/or clinical needs. Brings vendor software solutions to CH customers. Serves as a technical liaison. Responsibilities include system installation and maintenance. Performs problem diagnostics, resolution, and documentation. Provides technical and functional analysis, system building, and testing. Prepares specifications and documentation related to systems. Provides support for specific projects. Knows the business and/or clinical processes and the technical mechanics to support the work. A level II Analyst does so at a beginner to intermediate complexity and competency, and is a resource IT team members. Procedures for the job are general, and work is supervised and guided by manager or team member. Employee knows and analyzes procedures, interprets them and adapts them with limited discretion as necessary.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b7c7ea1913f57c0c2cc8597&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2911b0c7&cb=1668250640964&jobListingId=1008176464406&jrtk=3-0-1ghlnovngkclu801-1ghlnovo2i9hg800-a7f4f6c9882c8d8b-
"['CHS', '3.2']",http://www.chsbuffalo.org/,Application Programmer Analyst II Clinical Systems,"Buffalo, NY",$65K - $88K (Glassdoor est.),"Facility: Administrative Regional Training Cntr
Shift: Shift 1
Status: Full Time FTE: 1.000000
Bargaining Unit: ACE Associates
Exempt from Overtime: Exempt: Yes
Work Schedule: Days
Hours:
M-F 8-4 with off hours coverage
Summary:
Facilitates a process, people and technology method of transformation. Supports the organizations IT Applications for Catholic Health (CH) facilities. Identifies and implements software solutions for CH business and/or clinical needs. Brings vendor software solutions to CH customers. Serves as a technical liaison. Responsibilities include system installation and maintenance. Performs problem diagnostics, resolution, and documentation. Provides technical and functional analysis, system building, and testing. Prepares specifications and documentation related to systems. Provides support for specific projects. Knows the business and/or clinical processes and the technical mechanics to support the work. The first level does so at a basic to beginner complexity and competency. Procedures for the job are general, and work is supervised and guided by manager or team member. Employee knows and analyzes procedures, interprets them and adapts them with limited discretion as necessary.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b7c7ea1913f57c0c2cc8597&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4413d178&cb=1668250642618&jobListingId=1008035076514&jrtk=3-0-1ghlnovngkclu801-1ghlnovo2i9hg800-56ce1807a1b038c8-
"['Community Health Systems', '3.4']",http://www.chs.net/,Cyber Security Engineer - Business Analyst (Remote),"Franklin, TN",$70K - $96K (Glassdoor est.),"Community Health Systems is one of the nation’s leading healthcare providers. Developing and operating healthcare delivery systems in 47 distinct markets across 16 states, CHS is committed to helping people get well and live healthier. CHS affiliates 81 operate acute-care hospitals and more than 1,000 other sites of care, including physician practices, urgent care centers, freestanding emergency departments, occupational medicine clinics, imaging centers, cancer centers and ambulatory surgery centers.
Summary:
This role has a central and key role in working with Cyber Risk Management, IT, Business Stakeholders, and Regulatory Bodies to ensure the company information security projects assigned are risk managed for regulatory compliance and in compliance to company standards and policies. This role has individual responsibility for applying analytical skills to determine and document accurate business requirements; presenting these requirements in a manner that is concise, measurable and flexible enough to meet project and stakeholder needs.",11d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b7ce0e7ba43cf4769b5deea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7a14223f&cb=1668250662488&jobListingId=1008248960500&jrtk=3-0-1ghlnpo9nkuhk801-1ghlnpoadi14k800-16f48f6964cd9fb4-
"['King County', '3.9']",http://www.kingcounty.gov/,Cyber Security Engineer - Business Analyst (Remote),"Franklin, TN",$70K - $96K (Glassdoor est.),"Summary
Public Health- Seattle & King County is seeking an Administrator I to join its Community Health Services (CHS) Division Business and Revenue Unit. The Administrator I will be responsible for performing analytical and functional training and support to business practices and the revenue cycle. This includes analysis of individual charges and revenues requiring a working knowledge of billing requirements and billing applications.

Requirements call for analytical and technical proficiency to review and resolve medical/other bills and revenue issues, experience in billing/business system administration, trend analyses, and providing participating in process improvement projects. This position will assist in supporting business practices at the clinics and billing work including adding coverages, reviewing charges, processing claims and correcting denials to maximize patient revenue.


The Business and Revenue Unit manages the business processes of health care billing in order to generate revenue to support the provision of direct patient care services that strengthen King County’s safety net and deliver equitable and responsive health care for marginalized communities.

As the only county in the United States named after Martin Luther King Jr, one of the most influential civil rights leaders in our nations' history, King County is a vibrant community with residents that represent countries from around the world. It is a region with increasing diversity that cherishes the artistic and social traditions of many cultures. Together, we're changing the way government delivers service and winning national recognition as a model of excellence.

We continue to build on an enduring legacy of shared values of equity and social justice, employee engagement, innovative thinking, and continuous improvement. With this commitment, King County has adopted a pro-equity agenda aimed at advancing regional change and is developing the systems and standards necessary to achieve better outcomes for all of our residents, regardless of their race or income. All of these qualities make King County one of the nation's best places to live, work, and play.",2d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b7ce0e7ba43cf4769b5deea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9b090731&cb=1668250666542&jobListingId=1008269113068&jrtk=3-0-1ghlnpo9nkuhk801-1ghlnpoadi14k800-6515b208b86ee09d-
"['Virginia Commonwealth University', '3.9']",http://www.vcu.edu/,Cyber Security Engineer - Business Analyst (Remote),"Franklin, TN",$70K - $96K (Glassdoor est.),"Summary
The College of Humanities and Sciences’ IT support group, HASTech, is seeking to fill a Senior IT Systems Analyst position. This individual serves as the primary technical lead for endpoint management of all CHS Windows-based systems including inventory control, software distribution, image/patch deployment and security management.
Information Technology Systems Analysts provide routine to moderately complex technical support to end users in academic schools, departments, auxiliary or business units. Their typical duties include assisting in the technical aspects of computer system setup; troubleshooting access issues and system failures; installing, configuring, and modifying applications, networks, databases, and other systems; maintaining network and database security; advising faculty, staff, and students in the evaluation, selection, purchase, upgrade, and maintenance of software, hardware, and/or database system resources. The nature of the work requires logical decision-making and sound problem-solving skills. The quality of their decision-making and recommendations has a measurable impact on departmental decision-making and outcomes. Information Technology Analysts typically report to a manager or director.

possess greater knowledge of the systems analysis field, distinguishing them from Information Technology Systems Analysts. They are further distinguished by the complexity of assigned work; an ability to identify options and develop solutions for unique or unprecedented situations; greater decision-making authority; and the judgment, resourcefulness, and ability to identify issues and/or areas that should be addressed differently. They are resources for others, participating in mentoring, coaching, and training.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b7ce0e7ba43cf4769b5deea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_108a6927&cb=1668250668288&jobListingId=1008188930328&jrtk=3-0-1ghlnpo9nkuhk801-1ghlnpoadi14k800-bbdf7ef433f272a1-
"['King County', '3.9']",http://www.kingcounty.gov/,Cyber Security Engineer - Business Analyst (Remote),"Franklin, TN",$70K - $96K (Glassdoor est.),"Summary
The Health Information Management (HIM) Program Manager (Administrator III) position must have experience with health record documentation and management. This position is responsible for the processing, transfer and security of patient data within programs in the Community Health Services division. They must stay up to date on the latest information technology and laws regarding health information systems and privacy. Ensuring that databases are complete, accurate, and accessible to authorized personnel.

The HIM Program Manager will be responsible for CHS workflow processes impacted by Clinical Information System across disciplines and clinical departments. They will need to be proficient in outpatient clinic operations with a solid grasp on medical terminology and procedures as well as community program records management. This role will be seen as an expert in understanding HIPAA (Health Insurance Portability and Accountability Act) regulations.

Additionally, this position may be required to work with the Division/Department leaders to discuss and/or create policies and procedures for those working in other health information management roles. This will include collaborating with billing and collections, or other finance and recordkeeping personnel.

As the only county in the United States named after Martin Luther King Jr, one of the most influential civil rights leaders in our nations' history, King County is a vibrant community with residents that represent countries from around the world. It is a region with increasing diversity that cherishes the artistic and social traditions of many cultures. Together, we're changing the way government delivers service and winning national recognition as a model of excellence.

We continue to build on an enduring legacy of shared values of equity and social justice, employee engagement, innovative thinking, and continuous improvement. With this commitment, King County has adopted a pro-equity agenda aimed at advancing regional change and is developing the systems and standards necessary to achieve better outcomes for all of our residents, regardless of their race or income. All of these qualities make King County one of the nation's best places to live, work, and play.",4d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b7ce0e7ba43cf4769b5deea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_525776ca&cb=1668250672723&jobListingId=1008264230873&jrtk=3-0-1ghlnpo9nkuhk801-1ghlnpoadi14k800-96590fece56a9083-
"['CHS', '3.2']",http://www.chsbuffalo.org/,Cyber Security Engineer - Business Analyst (Remote),"Franklin, TN",$70K - $96K (Glassdoor est.),"Facility: Sisters of Charity Hospital Dever Building
Shift: Shift 1
Status: Full Time FTE: 1.000000
Bargaining Unit: ACE Associates
Exempt from Overtime: Exempt: No
Work Schedule: Days Evenings Nights with Weekend and Holiday Rotation
Hours:
7:00am to 3:00p
Summary:
The position requires basic understanding of PC hardware/software, general knowledge of broadband or network connectivity and electronic health records. Will provide technical assistance to resolve issues related to computer hardware and software, including printing and operating systems. Must have good customer service and teamwork skills, a positive attitude, good judgment, technical and analytical aptitude, and be dependable and respectable. Will interact with end users to diagnose problems and implement solutions, thoroughly document IT problems using Remedy, escalates issues when needed, and supports systems security and standards. Work with other helpdesk members to ensure adequate coverage is provided.",29d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b7ce0e7ba43cf4769b5deea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d737774a&cb=1668250674189&jobListingId=1008207059421&jrtk=3-0-1ghlnpo9nkuhk801-1ghlnpoadi14k800-714e98138be7df17-
"['Community Health Systems', '3.4']",http://www.chs.net/,Cyber Security Engineer - Business Analyst (Remote),"Franklin, TN",$70K - $96K (Glassdoor est.),"Community Health Systems is one of the nation’s leading healthcare providers. Developing and operating healthcare delivery systems in 47 distinct markets across 16 states, CHS is committed to helping people get well and live healthier. CHS affiliates 81 operate acute-care hospitals and more than 1,000 other sites of care, including physician practices, urgent care centers, freestanding emergency departments, occupational medicine clinics, imaging centers, cancer centers and ambulatory surgery centers.
Summary:
This position is responsible for developing and implementing Oracle Fusion Cloud application roles to address the current and emerging security and compliance needs of the Oracle ERP transformation (Finance, Supply Chain, Human Capital, and Risk Management suite of products).
Individuals will be responsible for participants in functional workshops, capturing role design requirements, aligning role design to a segregation of dues framework, and building required application security roles. Furthermore, the individual will facilitate and support application security unit testing, system integration and end user acceptance testing cycles.",2d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b7ce0e7ba43cf4769b5deea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0fc6c16d&cb=1668250677033&jobListingId=1008268790755&jrtk=3-0-1ghlnpo9nkuhk801-1ghlnpoadi14k800-8c0cbcb8f87664bb-
"['Catholic Health', '3.6']",http://www.chsli.org/,Cyber Security Engineer - Business Analyst (Remote),"Franklin, TN",$70K - $96K (Glassdoor est.),"Position Summary:
Requires a clinician to perform the role of an Epic Clinical Analyst and Principle Trainer during the implementation and deployment of a new Epic module. A transition to clinical analyst responsibilities after implementation is complete, and the system is stable will be expected, as the principle trainer role becomes supportive. The Principle Trainer supports all aspects of end user training in the assigned module. The Principle Trainer is responsible for developing and maintaining course curriculum, training material and training the trainer. Additionally, the trainer is responsible for all build in the Epic training environment. The Clinical Analyst is responsible for identifying and documenting risks around workflows and system design. Responsibilities of the Clinical Analyst includes in-depth analysis of workflows, data collection, report details, and other technical tasks associated with vendor developed software. The Clinical Analyst is able to act as a clinical operations champion, collaborating with Catholic Health facility clinical department management about information system needs and serving as a clinical knowledge resource to non-clinical IT employees. The Clinical Analyst serves as a clinical liaison between IT and facility staff.",30d+,
