Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['CVS Health', '3.1']",http://jobs.cvshealth.com/,Remote AS400/Synon Application Developer,"Richardson, TX",$60K - $129K (Employer est.),"As the AS400/Synon Developer Application Developer, you will be responsible for the hands-on development and maintenance of AS400 software applications critical to the operations of CVS Health. The AS400/Synon Developer Application Developer is essential to ensuring the success of the RxClaim Adjudication team in their support of both internal and external clients. You will be part of the project team comprised of both employee and contract staff, and will also partner with project leaders, business stakeholders and managers in accomplishing the projects.

As the Senior AS400/Synon Developer Application Developer, you will be providing:
Solutions to technical and functional requirements
Estimations with little or no variance
System design
Problem resolutions and guidance to other team members and support operations


The typical pay range for this role is:
Minimum: 60,000
Maximum: 128,700

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.






Bachelor's Degree in Computer Science or equivalent. Will consider High School Diploma/GED plus one year of work experience for each year of college not attained in addition to required years of experience.


Bring your heart to CVS Health
Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.
We strive to promote and sustain a culture of diversity, inclusion and belonging every day.
CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000184698651c68fa37025cc475e9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c5afb28d&cb=1668217763967&jobListingId=1008054438217&jrtk=3-0-1ghkockfhkbks801-1ghkockg2itnc800-fa3eb2036c24e260-
"['CVS Health', '3.1']",http://jobs.cvshealth.com/,Remote AS400/Synon Application Developer,"Richardson, TX",$60K - $129K (Employer est.),"As the AS400/Synon Developer Application Developer, you will be responsible for the hands-on development and maintenance of AS400 software applications critical to the operations of CVS Health. The AS400/Synon Developer Application Developer is essential to ensuring the success of the RxClaim Adjudication team in their support of both internal and external clients. You will be part of the project team comprised of both employee and contract staff, and will also partner with project leaders, business stakeholders and managers in accomplishing the projects.

As the Senior AS400/Synon Developer Application Developer, you will be providing:
Solutions to technical and functional requirements
Estimations with little or no variance
System design
Problem resolutions and guidance to other team members and support operations


The typical pay range for this role is:
Minimum: 60,000
Maximum: 128,700

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.






Bachelor's Degree in Computer Science or equivalent. Will consider High School Diploma/GED plus one year of work experience for each year of college not attained in addition to required years of experience.


Bring your heart to CVS Health
Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.
We strive to promote and sustain a culture of diversity, inclusion and belonging every day.
CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000184698651c68fa37025cc475e9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2cf4bb31&cb=1668217769625&jobListingId=1008046707347&jrtk=3-0-1ghkockfhkbks801-1ghkockg2itnc800-a6b858f278005b1e-
"['CVS Health', '3.1']",http://jobs.cvshealth.com/,Remote AS400/Synon Application Developer,"Richardson, TX",$60K - $129K (Employer est.),"Responsible for providing multiple concurrent API solutions and drive end-to-end delivery of small/medium projects (up to 2500 hours) as Technical Lead.

Implement Proof-of-Concept, review projects for
compliance to service guideline and implement new
service patterns under the guidance of Sr Advisor.

Lead application support for medium/low impact events
(P3/Welcome Season/general support).
Specialist in multiple domains.
Analyze and correct complex system issues, Share
expertise across multiple teams.
""Assist in establishment and adherence to technical
direction, standards (security & compliance), guidelines
and methodology for use in specified technologies within
own discipline. Serving as a mentor to lower level
technological resources on the team.
Transfer knowledge to team members through counseling
and consultation; assist in performance review process by
providing feedback on technical ability at end of each
project. Participate in interviewing for team and provide
feedback on candidates’ technical expertise.
Serve as team member to research, recommend and drive
implementation of innovative technologies""
Effective written and verbal communication skills are
required to facilitate meetings with both senior technical
and business audiences, often across multiple functional
departments within the PBM and across geographically
dispersed areas.
Deliver on delegated management level tasks (talent
evaluation)
Must have good understanding of the Agile Methodology
and tool used to delivery the project requirements. Assist
the team members in tools and processes. Remediate any
issues found in supporting the Agile process.


The typical pay range for this role is:
Minimum: 75000
Maximum: 167000

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.


5+ years of IT development experience including the
following:
Middleware, Messaging, API and Application services
Integration Bus (IIB)
modeling


Bachelor’s Degree in Computer Science or Information Systems (Masters Degree in Computer Science or Information Systems preferred)
Applications, programs and architecture initiatives
the business, application relationships and information flow
- Strong understanding of SDLC - must have participated
on many projects through complete lifecycles
(requirements, design, development, testing, launch)
technical team members and senior business leaders
skills; ability to motivate and lead teams in matrix
organization
with all levels
information technology, including operating systems,
systems management and development tools, application
program interfaces (APIs), database management
systems, development methodologies, transaction
processing monitors, messaging software, security,
directory services, hardware, telecommunications,
interoperability techniques and standards, services
monitoring and alerting
IIB, Splunk) is a PLUS
significant plus and will be given utmost consideration
methodology in addition to waterfall is desirable
message queues, TPMs, or other related technologies in a
mobile/portal environment
governance, including acting as a design authority for
information and data within projects and programs is
critical for this role
transaction systems


Bachelor’s Degree or equivalent experience


At CVS Health, we are joined in a common purpose: helping people on their path to better health. We are working to transform health care through innovations that make quality care more accessible, easier to use, less expensive and patient-focused. Working together and organizing around the individual, we are pioneering a new approach to total health that puts people at the heart.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000184698651c68fa37025cc475e9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9846af44&cb=1668217774009&jobListingId=1008031454808&jrtk=3-0-1ghkockfhkbks801-1ghkockg2itnc800-728f9cb3e9ee3ec1-
"['CVS Health', '3.1']",http://jobs.cvshealth.com/,Remote AS400/Synon Application Developer,"Richardson, TX",$60K - $129K (Employer est.),"Join CVS Specialty as a Senior Analyst of Application Development. In this position you will serve as a hands on member for one or more Specialty applications.

Our Specialty Development team is seeking a Senior Analyst to participate in the design, development, maintenance and support of Adverse Drug Event (ADE) applications within CVS Health Specialty. You will be responsible and accountable for the quality and cohesion of solutions within the application area and their conformity to approved CVS/Caremark IT standards. Within the application development area, may oversee life cycle process (e.g., design, analysis, review) and testing results to ensure adherence to quality requirements and ensure the product works.

Responsibilities:
1. Partner with teams and serve as subject matter expert to provide benchmarked solutions to multiple, complex technical projects/initiatives using multiple interlocking technologies.
2. Keep abreast of technological trends in the industry and make appropriate technology recommendations to the organization. Keep abreast of business strategies and plans in the company and make appropriate technology recommendations to the organization.
3. Establish and drive execution of technical direction, standards, guidelines and methodology for use of specified technologies.
4. Plan and manage integration of new technology and monitor transition from current to new.
5. Solve highly technical and complex problems.


The typical pay range for this role is:
Minimum: 60,000
Maximum: 128,700

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.






Bachelor's degree or equivalent experience


Bring your heart to CVS Health
Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.
We strive to promote and sustain a culture of diversity, inclusion and belonging every day.
CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000184698651c68fa37025cc475e9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_12d17bc9&cb=1668217776954&jobListingId=1008139385202&jrtk=3-0-1ghkockfhkbks801-1ghkockg2itnc800-feda86cd3b292548-
"['CVS Health', '3.1']",http://jobs.cvshealth.com/,Remote AS400/Synon Application Developer,"Richardson, TX",$60K - $129K (Employer est.),"CVS Health Digital is looking for hands-on, passionate people who want to join a high energy and growing team to make a difference in customers’ lives and who want to be on the
forefront of digital innovation that aims to reinvent what a pharmacy and a health care company can be in the digital world.
This role includes closely working with a team of engineers to drive delivery excellence, partner with business and other
IT leaders to build digital assets, provide expert level support to resolve complex issues and provide RCA,
identify gaps in systems in current digital eco system and provide solutions to enhance overall performance.
All of this is critical to driving Digital growth and improving customer experience.
This individual will collaborate with digital leaders, business partners, and IT colleagues to deliver business growth and great customer experiences
that differentiate CVS in the market, while ensuring efficient, effective and SAFe development.


The typical pay range for this role is:
Minimum: 75,000
Maximum: 167,000

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.


5+ years of overall Software/Digital development experience

5+ years of microservices, cloud native applications development and web development experience using tools such as React JS, CSS, Java/J2EE, Spring Framework, NodeJS, Messaging Frameworks (i.e, Kafka/Rabbit MQ), NoSQL/RDBMS databases (i.e, Mongo DB, PostgresSQL, Redis), and other tech stacks (Open source and proprietary)

2+ years of experience with unit Testing frameworks such as Junit, Mockito, and BDD testing tools like Selenium

1+ years of experience with Docker containerization, Kubernetes etc.

1+ years of experience with CI/CD tools like Harness, Jenkins, Circle CI etc.











Bachelor’s degree or equivalent work experience


Bring your heart to CVS Health
Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.
We strive to promote and sustain a culture of diversity, inclusion and belonging every day.
CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law.",13d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000184698651c68fa37025cc475e9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_962111bb&cb=1668217781056&jobListingId=1008241959150&jrtk=3-0-1ghkockfhkbks801-1ghkockg2itnc800-e8877b9978770c09-
"['CVS Health', '3.1']",http://jobs.cvshealth.com/,Remote AS400/Synon Application Developer,"Richardson, TX",$60K - $129K (Employer est.),"CVS Health Digital is looking for hands-on, passionate people who want to join a high energy and growing team to make a difference in customers’ lives and who want to be on the forefront of digital innovation that aims to reinvent what a pharmacy and a health care company can be in the digital world.

This role includes closely working with a team of engineers to drive delivery excellence, partner with business and other IT leaders to build digital assets, provide expert level support to resolve complex issues and provide RCA, identify gaps in systems in current digital eco system and provide solutions to enhance overall performance. All of this is critical to driving Digital growth and improving customer experience.

This individual will collaborate with digital leaders, business partners, and IT colleagues to deliver business growth and great customer experiences that differentiate CVS in the market, while ensuring efficient, effective and SAFe development.


The typical pay range for this role is:
Minimum: 60,000
Maximum: 128,700

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.


3+ years of overall Software/Digital development experience

2+ years of microservices, cloud native applications development and web development experience using tools such as React JS, CSS, Java/J2EE, Spring Framework, NodeJS, Messaging Frameworks (i.e, Kafka/Rabbit MQ), NoSQL/RDBMS databases (i.e, Mongo DB, PostgresSQL, Redis), and other tech stacks (Open source and proprietary)

1+ years of experience with unit Testing frameworks such as Junit, Mockito, and BDD testing tools like Selenium

1+ years of experience with Docker containerization, Kubernetes etc.

1+ years of experience with CI/CD tools like Harness, Jenkins, Circle CI etc.


Experience with agile development required, Scaled Agile Framework (SAFe) experienced preferred









Bachelor’s degree or equivalent work experience


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",24d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000184698651c68fa37025cc475e9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6f1f498c&cb=1668217784125&jobListingId=1008216292346&jrtk=3-0-1ghkockfhkbks801-1ghkockg2itnc800-aca47135d3ab9b05-
"['CVS Health', '3.1']",http://jobs.cvshealth.com/,Remote AS400/Synon Application Developer,"Richardson, TX",$60K - $129K (Employer est.),"Collaborate with our business teams to identify requirements and specifications.
Design Algorithms and flowcharts to create new data automations.
Design software programs by making use of existing design patterns and/or standards.
Develop efficient and reusable code.
Test and deploy applications.
Troubleshoot, debug, maintain, and improve existing applications.
Develop technical documentation to guide other developers on current application code and set up.

Pay Range
The typical pay range for this role is:
Minimum: 60,000
Maximum: 128,700

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.


2+ years of recent experience with the following:







Bring your heart to CVS Health
Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.
We strive to promote and sustain a culture of diversity, inclusion and belonging every day.
CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000184698651c68fa37025cc475e9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c7c694a6&cb=1668217788093&jobListingId=1008139381238&jrtk=3-0-1ghkockfhkbks801-1ghkockg2itnc800-d8eca9c5f4a2a7f0-
"['CVS Health', '3.1']",http://jobs.cvshealth.com/,Remote AS400/Synon Application Developer,"Richardson, TX",$60K - $129K (Employer est.),"We are currently seeking a dynamic Application Developer to join our Client-Side team. You will be responsible for developing, supporting, and maintaining various applications and tools in the environment. The role is essential to ensuring that internal IT Support teams have the tools necessary to troubleshoot everyday issues.
Some of the key responsibilities in this position include:
Monthly emergency server patching shakeout, including the OS and select third party applications.
Involvement in extended projects over the course of several months.
Troubleshooting and resolution of complex endpoint environment issues.
On-call not mandatory but occasional off-hours work may be required.
Creation and implementation of automation to enhance and improve client management of 200,000+ endpoints


The typical pay range for this role is:
Minimum: 75,000
Maximum: 167,000

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.






Bachelor's Degree or equivalent work experience.


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",14d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000184698651c68fa37025cc475e9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c2388429&cb=1668217790605&jobListingId=1008239467182&jrtk=3-0-1ghkockfhkbks801-1ghkockg2itnc800-e24fc021522a2383-
"['CVS Health', '3.1']",http://jobs.cvshealth.com/,Remote AS400/Synon Application Developer,"Richardson, TX",$60K - $129K (Employer est.),"IT Developer:
CVS Health has a dynamic opportunity for an IT Developer to join our dedicated PBM Align for Profit (AFP) initiative. The department’s mission is to provide best-in-class business to technology services to the PBM Finance Organization. As the IT Developer, you will be responsible for items that include building out database model logic, transformations, and analytic reports for end-users and key financial stake holders.

The ideal candidate should demonstrate a solid knowledge of the PBM business and be able to provide examples of providing solutions to problems. This role is results oriented. You must be able to coordinate and work seamlessly with the team to produce the best possible end-user and stakeholder experience. The candidate will be expected to adhere to departmental SDLC methods, best practices and change management to ensure quality standards are met and maintained. You will also be identifying cause and effect relationships to challenge strategic assumptions and provide insight for decision making. The IT Developer must be a self-starter who is comfortable in a dynamic team environment with experienced technical peers.

Additionally, you will need a clear understanding of the systems and data locations to extract, measure, track and recommend potential opportunities for performance improvement. The role requires experience with improving the quality of imperfect data to produce reporting that leads to actionable results. A perpetual desire to develop a deeper understanding of the PBM business as well as the improving your technical skillset will be needed in order to fulfill the requirements in this role.

Additional Responsibilities:


The typical pay range for this role is:
Minimum: 60,300
Maximum: 126,600

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.


Requirements:


Preferences:


Bachelor's Degree+ preferred or equivalent work experience.


Bring your heart to CVS Health
Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver.

Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable.
We strive to promote and sustain a culture of diversity, inclusion and belonging every day.
CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000184698651c68fa37025cc475e9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d02dcc21&cb=1668217794225&jobListingId=1008193752247&jrtk=3-0-1ghkockfhkbks801-1ghkockg2itnc800-cdbc2dce5cdba20b-
"['CVS Health', '3.1']",http://jobs.cvshealth.com/,Remote AS400/Synon Application Developer,"Richardson, TX",$60K - $129K (Employer est.),"CVS Health’s mandate is to transform health and wellness via products that enable consumer engagement and best-in-class experience. This team is responsible for CVS Health’s digital transformation and all digital products; as well as the development and execution of the digital roadmap. A key part of the responsibility is to build an integrated platform that enables the delivery of products to drive engagement and revolutionize health and wellness. We want you to be a part of the team that will build this next generation platform. Leveraging your expertise in Big Data, IoT, Native Cloud, Application Development, Machine Learning and Deep Learning, you will join a product team that is building disruptive cloud platform that will transform the healthcare industry and improve the lives of hundreds of millions of people.

CVS Health Digital is a highly energetic, highly collaborative team that operates as a startup within the CVS Health Enterprise. We want you to bring your talent and expertise to drive the change that is desperately needed within the healthcare industry. Come Join CVS Health Digital!

We are looking for expert experience in full stack development, frameworks, unit testing frameworks. You will partner with product managers and the scrum team to effectively translate the business requirements in Node.JS/React/JavaScript/Java. Demonstrates ability to remove problems and overcome roadblocks during the project.

Key Responsibilities:

Great written and verbal communication skills

Experience translating feature requests into working software

An open mind about different solutions and a willingness to discuss alternatives

Willingness to work within a cohesive team environment that emphasizes a culture of teaching and learning


The typical pay range for this role is:
Minimum: 60,000
Maximum: 128,700

Please keep in mind that this range represents the pay range for all positions in the job grade within which this position falls. The actual salary offer will take into account a wide range of factors, including location.


3+ years of full stack development experience
3+ years of hands-on development experience using Java/J2EE applications using various Open source and proprietary frameworks – Springboot, hibernate etc.
3+ years of experience developing Angular, microservices and cloud native applications


Experience with eCommerce applications
Experience working with Agile methodologies.
Work with a cross functional team using agile practices.
Experience with GCP aplus
Experience with Docker
Experience with SAFe Software Development Methodologies
Hands-on experience with microservices Experience with CI/CD systems such as Jenkins/CircleCI/Harness
Expert experience leveraging container-based technologies
Experience in developing and deploying scalable cloud-based systems


Bachelor’s degree or equivalent years of experience


Bring your heart to CVS Health Every one of us at CVS Health shares a single, clear purpose: Bringing our heart to every moment of your health. This purpose guides our commitment to deliver enhanced human-centric health care for a rapidly changing world. Anchored in our brand — with heart at its center — our purpose sends a personal message that how we deliver our services is just as important as what we deliver. Our Heart At Work Behaviors™ support this purpose. We want everyone who works at CVS Health to feel empowered by the role they play in transforming our culture and accelerating our ability to innovate and deliver solutions to make health care more personal, convenient and affordable. We strive to promote and sustain a culture of diversity, inclusion and belonging every day. CVS Health is an affirmative action employer, and is an equal opportunity employer, as are the physician-owned businesses for which CVS Health provides management services. We do not discriminate in recruiting, hiring, promotion, or any other personnel action based on race, ethnicity, color, national origin, sex/gender, sexual orientation, gender identity or expression, religion, age, disability, protected veteran status, or any other characteristic protected by applicable federal, state, or local law. We proudly support and encourage people with military experience (active, veterans, reservists and National Guard) as well as military spouses to apply for CVS Health job opportunities.",27d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000184698651c68fa37025cc475e9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d94c6ff7&cb=1668217802569&jobListingId=1008209683514&jrtk=3-0-1ghkockfhkbks801-1ghkockg2itnc800-6ed0ae66c47ccbd0-
