Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Gerent LLC', '4.4']",http://www.gerentllc.com/,"Technical Architect, Financial Services",Remote,$80K - $187K (Employer est.),"Technical Architect, Financial Services
Job Description
Gerent is looking for Technical Architects with experience in the Financial Services industry to join the Delivery team at Gerent, who shares our vision of bringing the power of cloud computing to enterprises. Technical Architects are experienced professionals on our project teams responsible for overseeing the overall technical solution, development and related deliverables. They work closely with various technical and non-technical team members, managing and running complex, enterprise and strategic projects.
They are the subject matter expert, who actively participates in the project, scoping, design, build, implementation and successful deployment of various Salesforce initiatives, with the end goal of delivering value for customers.",30d+,
"['Gerent LLC', '4.4']",http://www.gerentllc.com/,"Technical Architect, Financial Services",Remote,$80K - $187K (Employer est.),"Solution Consultant, Financial Services
Job Description
Gerent is looking for Solution Consultants with experience in the Financial Services industry to join the Delivery team at Gerent, who shares our vision of bringing the power of cloud computing to enterprises. Solution Consultants are experienced professionals on our project teams accountable for understanding the overall solution design, responsible for understanding use cases and requirements, responsible for building out the declarative aspects of the solution, accountable for writing technical tickets and authoring supporting documentation. They work closely with various technical and non-technical team members, across complex, enterprise and strategic projects.
They are experienced in Salesforce products and can complete out of the box configurations.
They are keenly interested in understanding our customers' business, have a deep curiosity and can explore the “why” behind how our customers work. They possess strong business analysis skills, take an empathetic approach to requirements gathering and facilitate customer workshops. The solution consultant partners with the solution architect, when needed to ensure proposed or built solutions will drive the desired business outcomes. For smaller projects the
Solution Consultant takes full ownership of the solution design. They are in relentless pursuit of ensuring we deliver value for customers.",30d+,
"['Gerent LLC', '4.4']",http://www.gerentllc.com/,"Technical Architect, Financial Services",Remote,$80K - $187K (Employer est.),"Senior Business Analyst, Financial Services
Job Description
Gerent is looking for Senior Business Analysts with experience in the Financial Services industry who will join the implementation team at Gerent who shares our vision of bringing the power of cloud computing to enterprises. Senior Business Analysts are experienced professionals on our project teams responsible for understanding the overall solution design, accountable for eliciting requirements, may support building out the declarative aspects of the solution and responsible in facilitating UAT. They work closely with various technical and non-technical team members, managing and running more complex, enterprise and strategic technical projects. The senior business analyst partners with the solution architect and solution consultants, to ensure proposed or built solutions will drive the desired business outcomes.",30d+,
"['Gerent LLC', '4.4']",http://www.gerentllc.com/,"Technical Architect, Financial Services",Remote,$80K - $187K (Employer est.),"Project Manager, Financial Services
Job Description
Gerent is looking for a Project Manager with experience in the Financial Services industry to join the Delivery team at Gerent. You will be responsible for overseeing managing the project deliverables, client satisfaction and overall program delivery. PMs will be working closely with various technical and non-technical team members and in managing and running complex and strategic Client programs.
The Financial Services vertical is an area of growth for Gerent, where we are seeking people knowledgeable in the various sub verticals in the space such as retail & commercial banking, lending & mortgages, capital markets, insurance, venture capital/private equity, and wealth management. The successful candidate will have a working knowledge of one or more of these spaces, as much of their responsibility will be focused on these areas.",30d+,
"['Capital One', '4.2']",http://www.capitalonecareers.com/,"Technical Architect, Financial Services",Remote,$80K - $187K (Employer est.),"Center 2 (19050), United States of America, McLean, Virginia
Software Engineer, Front End (Remote-Eligible)
Job Description
Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Front End Software Engineers who are passionate about using cutting-edge open source frameworks with emerging technologies. As a Capital One Software Engineer, you’ll have the opportunity to be on the forefront of driving a major transformation within Capital One.
What You’ll Do:

Location is New York City
Location is Colorado
No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",24h,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846997b78ea8f755a05fa7f40a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dd31bf85&cb=1668218876144&jobListingId=1008275079423&cpc=2CAED5C921A5F994&jrtk=3-0-1ghkpfdu3kugq801-1ghkpfduigrgj800-30e502e9907ac03e--6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27VH1zKRpsA2u0-idbG1WsKZy2l2mLm9ygtFwpHvioZZl3M49IC8NYc6NppXUt2MfVdpW-z_UgrwSTmYRBsfDQXQlauL2iNTHVv6MtEhjegLHxwt6S28jRQYjB9-1Zwnus9G1Pz2--vchDULi63DNUvhJx5VZrlqrNns6H6Y3wGppHM19gAuIwqWbykIsNSoOoupfvO1OXkk5u33SURYKQcR7i_L09QZ1huE5vAHndz-HAtZCL0-SetkzdY7KxwFXfy13EaxpF1EHWmcA8Sq3LjOTCi6KTGe8GsesDYRwNU0fOJ-oggUZzC-ncEP2TD6WWNENFnsTKz_NmftkPCDywm5zx0b0mPCL0Ng9aF7jSFBHVi5z6_w2ZbCfQ2Nwv-sSmU%3D
"['Gerent LLC', '4.4']",http://www.gerentllc.com/,"Technical Architect, Financial Services",Remote,$80K - $187K (Employer est.),"Business Analyst, Financial ServicesJob Description
Gerent is on the lookout for talented Salesforce Business Analysts with experience in theFinancial Services industry.You will be part of a team responsible for delivering enterprise cloud technology solutions to delight our clients and improve their quality of life at work.
The Financial Services vertical is an area of growth for Gerent, where we are seeking people knowledgeable in the various sub verticals in the space such as retail & commercial banking, lending & mortgages, capital markets, insurance, venture capital/private equity, and wealth management. The successful candidate will have a working knowledge of one or more of these spaces, as much of their responsibility will be focused on these areas.
Our Salesforce Business Analysts are responsible for supporting requirements gathering, business process mapping, QA testing and end user testing. They may also be required to complete some basic Salesforce configuration and post deployment support. As a SalesforceBusiness Analyst, you will work alongside Solution Architects, Technical Architects andIntegration Architects as the Client Champion to advocate for solution elements that meet and exceed the clients expectations and underlying skills. You are a valuable asset to the team throughout the process of design, development, and deployment of large-scale enterprise solutions all while learning and growing your skill set.",30d+,
"['Capital One', '4.2']",http://www.capitalonecareers.com/,"Technical Architect, Financial Services",Remote,$80K - $187K (Employer est.),"77 West Wacker Dr (35012), United States of America, Chicago, Illinois
Lead Software Engineer, Front End (Remote-Eligible)
Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who solve real problems and meet real customer needs. We are seeking Front End Software Engineers who are passionate about using cutting-edge open source frameworks with emerging technologies. As a Capital One Lead Software Engineer, you’ll have the opportunity to be on the forefront of driving a major transformation within Capital One.
Customer Resiliency is where excellence meets empathy. We revolutionize the industry by touching the lives of millions of customers yearly across an international footprint supporting customers in their journey to financially fit.

Location is New York City
Location is Colorado
No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",24h,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846997b78ea8f755a05fa7f40a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2bb8d631&cb=1668218883064&jobListingId=1008275079680&cpc=2CAED5C921A5F994&jrtk=3-0-1ghkpfdu3kugq801-1ghkpfduigrgj800-ec138a050a16f3eb--6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27VH1zKRpsA2u-QJ29RRNr_bveMfgBFBvxuoDnQDa-oHBmgHRON-HJDE-O5U_vJqtHiHzuiHodUbsgNBPkEVNXOk67m-4YBHKtygWlFhnHaxqvFcTXGwv6mgyYJDXG5jBFElTN1TEAz1vpV8AhW6s-zquJuLxLGQDq7hicpFaqeTPmiSBvEDtJ2xUVEfuaPauq1vBCPNxFKFy_fISjHH4vZOf6lK-uzVmQKuTpZlUf1F5rEdmWai5B5p6L9Yq-REhgcHfBTB0DSYBoyboUyfkDku2O22LrRNdugYNePem2bjdpvutFHXF-M8ZmdE9ABAaUmToOxNgP_ahMsXVb_lRQjsg_V0fiWjszpg4FjWiM7iWdFQjxhZTHwL35wp9g3h_zU%3D
"['Capital One', '4.2']",http://www.capitalonecareers.com/,"Technical Architect, Financial Services",Remote,$80K - $187K (Employer est.),"1750 Tysons (12023), United States of America, McLean, Virginia
Manager, Cloud Safety Engineering (Remote-Eligible)
The cloud can be a dangerous place for the uninitiated - it's our org's mission to make it less so. Our teams are responsible for implementing the cloud controls that secure our company and ensure the developers responsible for their cloud resources are notified of non-compliance (and are supplied with means of addressing it). This role is to manage a newly-established team working on building a product that will drastically improve user experience and help to evolve our cloud compliance ecosystem to the next generation.
We are looking to hire hands-on people leaders who are passionate learners, have a strong track record of growing/mentoring engineering teams, and are motivated to take on new challenges. As a manager, you will be a technical, detail-oriented leader who can build and grow an engineering organization using strong judgment and programming skills. You will have a solid understanding of the products and systems your team owns, their limitations, and the reasons behind architecture decisions.

Location is New York City
Location is Colorado
No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",24h,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846997b78ea8f755a05fa7f40a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1e21156e&cb=1668218886642&jobListingId=1008275077077&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghkpfdu3kugq801-1ghkpfduigrgj800-2a292b1df1b42df1--6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27VH1zKRpsA2u49lhoFXBoT3GkLiOC1ujmM-QXqTJtaJyk5VzHDEkBx2XSyUvLwtNapnxcW-QsiZsnM5Qvhq44dcVCFdHJBbNzXFbBBEn0ZX-Bd5yefSFLwbJt2Swn9s20G60SZuyApQJx_KSUqmola_GJF0thSCdvVyqWdbTtij_JeUP_N6HhBc-2VCrNQOfR1Cjsl1WVpzBPF1Uir5zo3EIX_M3REVMQIXyLVPhUMI7STEVGpAoma1IJWFaZIs38Sbfy-q7nttUS2K_fgo1OBWRzdFVt8VV-1or7FjPi26eGYU4BEJWkJR_l3EpXxoL5gLZuxOnObYdPQsjCJgx18LDYZem80dDmMR--j_JD5SNmtq_1ql5L6Jif_RtDlaNGU%3D
"['Capital One', '4.2']",http://www.capitalonecareers.com/,"Technical Architect, Financial Services",Remote,$80K - $187K (Employer est.),"Locations: VA - Richmond, United States of America, Richmond, Virginia
Platform Engineer, SRE
As a Platform Engineer, you will engage with the development teams and horizontal organizations while providing guidance and technical stewardship. As a member of our team you will help align and integrate enterprise objectives with broader organizational objectives. Platform Engineers listen and discover ways to help promote the availability of services and applications, improve processes through remediation of manual and/or repetitive tasks, and solve complex technical problems in a fast-paced, collaborative, inclusive, and iterative delivery environment.
The candidate will support the Enterprise Data and Machine Learning Line of Business and will be responsible for identifying, managing, improving and reporting on availability, resiliency, reliability and stability efficiencies. This includes providing technical guidance and leadership to drive solutions, create & enhance processes that deliver excellence to your customer every time. A strong relationship with Enterprise teams such as Resiliency & Recovery, Architecture, Technical Operation Center, Delivery experience and SRE teams is necessary to support core objectives. You will contribute to the critical advancements in the simplification, standardization and automation strategy for key controls.


Location is New York City
No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",24h,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846997b78ea8f755a05fa7f40a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_776ebde4&cb=1668218893919&jobListingId=1008275080124&cpc=2CAED5C921A5F994&jrtk=3-0-1ghkpfdu3kugq801-1ghkpfduigrgj800-e44f17c539dcd433--6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27VH1zKRpsA2u6tDZ3eWuhc5Emxe_0N4AyeG_ZM2WdY6rPn9pn7G5PtuldNbcss-chP4l3GDNRY3wSp--SpY1mGRZUwoAygieGLoFiuG2VJnQfYkzpQxJjznr_4lhjye1uQe41p5xixeZCu4pvpZ3_blEhdDLwRkgJEivSXt5zhn0zwvdHX7U-CICUyVcdUPBjznJngzOfaIOR11vxCnyDvWRA2uqydV7JCID3sLzAYlsA6KvR5ufBDPpfrgIL9Rzp-nHsU-6EszIP_wI5MiIv01bIujmHykz04uG6hQmmIDBkipuQdCJboykAomuuszjxqczt1exZQLdKL28BCZVMcZBA0P_4TcX-MDvxV13Fq68DPT_NmfFV1FaRvCosq2OnI%3D
"['Capital One', '4.2']",http://www.capitalonecareers.com/,"Technical Architect, Financial Services",Remote,$80K - $187K (Employer est.),"Center 2 (19050), United States of America, McLean, Virginia
Sr. Mgr, Software Engineering (Remote Eligible)
Job Description
Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs. We are seeking Back End Software Engineers who are passionate about marrying data with emerging technologies. As a Capital One Software Engineer, you’ll have the opportunity to be on the forefront of driving a major transformation within Capital One.




Location is New York City
Location is Colorado
No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",24h,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846997b78ea8f755a05fa7f40a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9000f752&cb=1668218896476&jobListingId=1008275078842&cpc=2CAED5C921A5F994&jrtk=3-0-1ghkpfdu3kugq801-1ghkpfduigrgj800-d93887ef66ab727b--6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27VH1zKRpsA2u5ZFLLbtiHNhsepyUFwm36Pposo0Wu64ZFqGeJdiAkjguD4yeO8ijfLbms3kZrmjospiTND5Ny5auWkJNEqMjg-jA3x_m0LjynKqPpzG-MnAz59uF3Yl0VgXI5rsxAn3FTPa05Polw8CKnkZaHxUH79n7wwgr1WlsA3QElhdeXWW6QoXmmGoRNA1s8i_mhd-963JpH6PSTjuTX15fYRnJSElJyJzYw3KXH4BRZ3OKtxrtCf_MXCmsfN9NXyLuDrj6AtjjvjK9djMGt_sVJ5HimvPx98RaW87lQEKLMfxhxpjaWjqk6zPpD3Z9lrr_YsiN7ftJz-GV-2k_jwsZXz1qcROLtxLVei_Mu1BodGmiMwgGctVpcuwzc0%3D
