Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['CarMax', '3.8']",https://www.carmax.com/,Principal Software Engineer,"Plano, TX",$120K - $153K (Glassdoor est.),"8117 - Dallas Technology Hub - 5830 Granite Parkway, Plano, Texas, 75024

CarMax, the way your career should be!
About this job

At CarMax, we are industry disruptors. At the heart of our innovation is new digital products. Working on many different aspects of the customer experience, our Principal Engineers research and discover new opportunities and shape products to fulfill them. From inception to completion, you will develop tools and technology, learning quickly from our spirit of experimentation. You will have a direct impact on improving the performance of our business and ensuring customers can buy the vehicles they want in a way that is right for them!

Lead development for an industry leader

At CarMax, we want to disrupt our industry by empowering customers to buy a car on their own terms - allowing them to transact with us anytime, anywhere. As a Lead developer, you'll be at the forefront of driving technical innovation alongside several product teams who are creating a seamless online transaction experience for our customers and associates.

Able to balance customer needs with business goals and know how to deliver technical solutions that enhance business value. Creative, curious, and highly analytical, you never stop learning and thrive on constant change in the digital marketplace. From inception to completion, you will develop tools and technology, learning quickly from our spirit of experimentation. Overall, you will have a direct impact on improving the performance of our business and ensuring customers can buy the vehicles they want in a way that's right for them.

A team of experts (such as a Product Manager, Lead Developer, Delivery Manager, Analyst/Data Scientist, and other Software Developers), working in a fast-paced, highly collaborative, and customer-focused environment to bring a seamless online shopping experience to life.

A passionate technology team, developing ground-breaking products. Working collaboratively and creatively as part of a close-knit product team, you will be part of the development process from end to end: consulting users, carrying out experiments, tackling complex business problems and implementing new products.





This role requires hands-on work in technologies such as (Functions, App Services, App Insights, Structured/Unstructured data storage, Redis, and others), , or s for CI/CD edge, load testing / automated testing tools, , and systems.





CarMax disrupted the auto industry by delivering the honest, transparent and high-integrity experience customers want and deserve. This innovative thinking around the way cars are bought and sold has helped us become the nation's largest retailer of used cars, with over 200 locations nationwide.

Our amazing team of more than 25,000 associates work together to deliver iconic customer experiences. Along the way, we help every associate grow their career and achieve their best, at work and in their community. We are recognized for our commitment to training and diversity and are one of the FORTUNE 100 Best Companies to Work For®.



CarMax is committed to bringing together people from different backgrounds and perspectives, providing employees with a safe, welcoming, and inclusive work environment.

CarMax is an equal opportunity employer, and all qualified candidates will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, gender expression, genetic information, national origin, protected veteran status, disability status, and any other characteristics protected by law.

Upon an applicant's request, CarMax will consider reasonable accommodation to complete the CarMax Job Application.

Upon an applicant's request, CarMax will consider reasonable accommodation to complete the CarMax Job Application.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846ba917bcb6855b2d827f3eb1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3eed41ad&cb=1668253562400&jobListingId=1007993893286&jrtk=3-0-1ghlqi5vikcml801-1ghlqi601i171800-d683ddca48971efe-
"['CarMax', '3.8']",https://www.carmax.com/,Principal Software Engineer,"Plano, TX",$120K - $153K (Glassdoor est.),"8117 - Dallas Technology Hub - 5830 Granite Parkway, Plano, Texas, 75024

CarMax, the way your career should be!

About this job

At CarMax, we are industry disruptors. At the heart of our innovation is new digital products. Working on many different aspects of the customer experience, our Senior Engineers research and discover new opportunities and shape products to fulfill them. From inception to completion, you will develop tools and technology, learning quickly from our spirit of experimentation. You will have a direct impact on improving the performance of our business and ensuring customers can buy the vehicles they want in a way that is right for them!

What you will do - Essential Responsibilities



It takes a passion for technology to develop ground-breaking products. Working collaboratively and creatively as part of a close-knit product team, you will be part of the development process from end to end: consulting users, carrying out experiments, tackling complex business problems and implementing new products. You can balance customer needs with business goals and know how to deliver technical solutions that enhance business value. Creative, curious, and highly analytical, you never stop learning and thrive on constant change in the digital marketplace.



Basic Qualifications

Preferred Qualifications









CarMax disrupted the auto industry by delivering the honest, transparent and high-integrity experience customers want and deserve. This innovative thinking around the way cars are bought and sold has helped us become the nation's largest retailer of used cars, with over 200 locations nationwide.

Our amazing team of more than 25,000 associates work together to deliver iconic customer experiences. Along the way, we help every associate grow their career and achieve their best, at work and in their community. We are recognized for our commitment to training and diversity and are one of the FORTUNE 100 Best Companies to Work For®.



CarMax is committed to bringing together people from different backgrounds and perspectives, providing employees with a safe, welcoming, and inclusive work environment.

CarMax is an equal opportunity employer, and all qualified candidates will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, gender expression, genetic information, national origin, protected veteran status, disability status, and any other characteristics protected by law.

Upon an applicant's request, CarMax will consider reasonable accommodation to complete the CarMax Job Application.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846ba917bcb6855b2d827f3eb1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f8681f5b&cb=1668253566121&jobListingId=1007871571366&jrtk=3-0-1ghlqi5vikcml801-1ghlqi601i171800-8a906140a9d1350d-
"['CarMax', '3.8']",https://www.carmax.com/,Principal Software Engineer,"Plano, TX",$120K - $153K (Glassdoor est.),"8116 - Midtown Office - 2220 W. Broad Street, Richmond, Virginia, 23220

CarMax, the way your career should be!

CarMax, the way your career should be!

About this job

At CarMax, we are industry disruptors. At the heart of our innovation is new digital products. Working on many different aspects of the customer experience, our Principal Engineers research and discover new opportunities and shape products to fulfill them. From inception to completion, you will develop tools and technology, learning quickly from our spirit of experimentation. You will have a direct impact on improving the performance of our business and ensuring customers can buy the vehicles they want in a way that is right for them!



At CarMax, we want to disrupt our industry by empowering customers to buy a car on their own terms - allowing them to transact with us anytime, anywhere. As a Lead developer, you'll be at the forefront of driving technical innovation alongside several product teams who are creating a seamless online transaction experience for our customers and associates.

Able to balance customer needs with business goals and know how to deliver technical solutions that enhance business value. Creative, curious, and highly analytical, you never stop learning and thrive on constant change in the digital marketplace. From inception to completion, you will develop tools and technology, learning quickly from our spirit of experimentation. Overall, you will have a direct impact on improving the performance of our business and ensuring customers can buy the vehicles they want in a way that's right for them.

A team of experts (such as a Product Manager, Lead Developer, Delivery Manager, Analyst/Data Scientist, and other Software Developers), working in a fast-paced, highly collaborative, and customer-focused environment to bring a seamless online shopping experience to life.

A passionate technology team, developing ground-breaking products. Working collaboratively and creatively as part of a close-knit product team, you will be part of the development process from end to end: consulting users, carrying out experiments, tackling complex business problems and implementing new products.





This role requires hands-on work in technologies such as (Functions, App Services, App Insights, Structured/Unstructured data storage, Redis, and others), , or s for CI/CD edge, load testing / automated testing tools, , and systems.





CarMax disrupted the auto industry by delivering the honest, transparent and high-integrity experience customers want and deserve. This innovative thinking around the way cars are bought and sold has helped us become the nation's largest retailer of used cars, with over 200 locations nationwide.

Our amazing team of more than 25,000 associates work together to deliver iconic customer experiences. Along the way, we help every associate grow their career and achieve their best, at work and in their community. We are recognized for our commitment to training and diversity and are one of the FORTUNE 100 Best Companies to Work For®.



CarMax is committed to bringing together people from different backgrounds and perspectives, providing employees with a safe, welcoming, and inclusive work environment.

CarMax is an equal opportunity employer, and all qualified candidates will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, gender expression, genetic information, national origin, protected veteran status, disability status, and any other characteristics protected by law.

Upon an applicant's request, CarMax will consider reasonable accommodation to complete the CarMax Job Application.

Upon an applicant's request, CarMax will consider reasonable accommodation to complete the CarMax Job Application.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846ba917bcb6855b2d827f3eb1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7298e9c2&cb=1668253568159&jobListingId=1007853601015&jrtk=3-0-1ghlqi5vikcml801-1ghlqi601i171800-a3bdad214c77ab9c-
"['CarMax', '3.8']",https://www.carmax.com/,Principal Software Engineer,"Plano, TX",$120K - $153K (Glassdoor est.),"8117 - Dallas Technology Hub - 5830 Granite Parkway, Plano, Texas, 75024

CarMax, the way your career should be!

About this job

At CarMax, we are industry disruptors. At the heart of our innovation is new digital products. Working on many different aspects of the customer experience, our Senior Engineers research and discover new opportunities and shape products to fulfill them. From inception to completion, you will develop tools and technology, learning quickly from our spirit of experimentation. You will have a direct impact on improving the performance of our business and ensuring customers can buy the vehicles they want in a way that is right for them!

Your expertise shapes our business

At CarMax, we want to disrupt our industry by empowering customers to buy a car on their own terms. And at the heart of that innovation are new digital products. Working on many different aspects of the customer experience, our Software Developers research and discover new opportunities, and shape products to fulfil them. From inception to completion, you will develop tools and technology, learning quickly from our spirit of experimentation. Overall, you will have a direct impact on improving the performance of our business and ensuring customers can buy the vehicles they want in a way that's right for them.





It takes a passion for technology to develop ground-breaking products. Working collaboratively and creatively as part of a close-knit product team, you will be part of the development process from end to end: consulting users, carrying out experiments, tackling complex business problems and implementing new products. You can balance customer needs with business goals and know how to deliver technical solutions that enhance business value. Creative, curious, and highly analytical, you never stop learning and thrive on constant change in the digital marketplace.








CarMax disrupted the auto industry by delivering the honest, transparent and high-integrity experience customers want and deserve. This innovative thinking around the way cars are bought and sold has helped us become the nation's largest retailer of used cars, with over 200 locations nationwide.

Our amazing team of more than 25,000 associates work together to deliver iconic customer experiences. Along the way, we help every associate grow their career and achieve their best, at work and in their community. We are recognized for our commitment to training and diversity and are one of the FORTUNE 100 Best Companies to Work For®.

Our Commitment to Diversity and Inclusion:

CarMax is committed to bringing together people from different backgrounds and perspectives, providing employees with a safe, welcoming, and inclusive work environment.

CarMax is an equal opportunity employer, and all qualified candidates will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, protected veteran status, disability status, or any other characteristic protected by law.

Upon an applicant's request, CarMax will consider reasonable accommodation to complete the CarMax Job Application.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846ba917bcb6855b2d827f3eb1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_60c0c786&cb=1668253572011&jobListingId=1007758716079&jrtk=3-0-1ghlqi5vikcml801-1ghlqi601i171800-2843f62e33e284f6-
"['CarMax', '3.8']",https://www.carmax.com/,Senior Front-End Engineer,"Plano, TX",$95K - $138K (Glassdoor est.),"8117 - Dallas Technology Hub - 5830 Granite Parkway, Plano, Texas, 75024

CarMax, the way your career should be!

About this job

At CarMax, we are industry disruptors. At the heart of our innovation is new digital products. Working on many different aspects of the customer experience, our Senior Engineers research and discover new opportunities and shape products to fulfill them. From inception to completion, you will develop tools and technology, learning quickly from our spirit of experimentation. You will have a direct impact on improving the performance of our business and ensuring customers can buy the vehicles they want in a way that is right for them!

Your expertise shapes our business

At CarMax, we want to disrupt our industry by empowering customers to buy a car on their own terms. And at the heart of that innovation are new digital products. Working on many different aspects of the customer experience, our Software Developers research and discover new opportunities, and shape products to fulfil them. From inception to completion, you will develop tools and technology, learning quickly from our spirit of experimentation. Overall, you will have a direct impact on improving the performance of our business and ensuring customers can buy the vehicles they want in a way that's right for them.





It takes a passion for technology to develop ground-breaking products. Working collaboratively and creatively as part of a close-knit product team, you will be part of the development process from end to end: consulting users, carrying out experiments, tackling complex business problems and implementing new products. You can balance customer needs with business goals and know how to deliver technical solutions that enhance business value. Creative, curious, and highly analytical, you never stop learning and thrive on constant change in the digital marketplace.








CarMax disrupted the auto industry by delivering the honest, transparent and high-integrity experience customers want and deserve. This innovative thinking around the way cars are bought and sold has helped us become the nation's largest retailer of used cars, with over 200 locations nationwide.

Our amazing team of more than 25,000 associates work together to deliver iconic customer experiences. Along the way, we help every associate grow their career and achieve their best, at work and in their community. We are recognized for our commitment to training and diversity and are one of the FORTUNE 100 Best Companies to Work For®.

Our Commitment to Diversity and Inclusion:

CarMax is committed to bringing together people from different backgrounds and perspectives, providing employees with a safe, welcoming, and inclusive work environment.

CarMax is an equal opportunity employer, and all qualified candidates will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, protected veteran status, disability status, or any other characteristic protected by law.

Upon an applicant's request, CarMax will consider reasonable accommodation to complete the CarMax Job Application.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846ba96a31821ad70c5349bb12&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cc4110cb&cb=1668253585471&jobListingId=1007758716079&jrtk=3-0-1ghlqiqipkbn9801-1ghlqiqjdi7ko800-2843f62e33e284f6-
,,Principal Software Engineer,"Richmond, VA",$117K - $154K (Glassdoor est.),,30d+,
"['CarMax', '3.8']",https://www.carmax.com/,Principal Software Engineer,"Richmond, VA",$117K - $154K (Glassdoor est.),"9002 - Carmax Auto Finance - 225 Chastain Meadows Ct NW, Kennesaw, Georgia, 30144

CarMax, the way your career should be!
Play a key role in supporting CarMax Auto Finance

The Analyst II of the Technical and Analytical Support Team provides analytical support for key areas of CarMax Auto Finance (CAF) business. This person provides analytical and technical support for key processes such as securitization and credit bureau reporting. The Analyst II will also provide analytical and technical support to the Financial Accounting team to ensure that our system of record (Alfa) performs as expected as changes and improvements are implemented.

What you will do
Perform analysis on credit bureau reporting strategy and recommend system changes; partner with stakeholders to implement and test changes.



Our company's success is motivated by our customer-centric, data-informed approach to problem solving, with an unparalleled focus on a company culture that supports our associates and our community. As an Analyst II, Technical and Analytical Support, you will have a direct hand in this effort by leveraging your creative, analytical and technical abilities to ensure that key and highly compliant aspects of our business are operating effectively. It takes a tenacious enthusiasm for problem-solving, combined with an inherent passion for doing what's right, to balance the needs of the business and our customers in these endeavors. You will be entrusted to work independently, in an environment that is collaborative, fast-paced, teamwork-centric, and ever-evolving.





CarMax disrupted the auto industry by delivering the honest, transparent, and high-integrity experience customers want and deserve. This innovative thinking around the way cars are bought and sold has helped us become the nation's largest retailer of used cars, with over 200 locations nationwide.

Our amazing team of more than 25,000 associates work together to deliver iconic customer experiences. Along the way, we help every associate grow their career and achieve their best, at work and in their community. We are recognized for our commitment to training and diversity and are one of the FORTUNE 100 Best Companies to Work For®.

CarMax is an equal opportunity employer, and all qualified candidates will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, protected veteran status, disability status, or any other characteristic protected by law.

Upon an applicant's request, CarMax will consider reasonable accommodation to complete the CarMax Job Application.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846ba9b1379be53548ecf01846&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_338174d7&cb=1668253603397&jobListingId=1007436782307&jrtk=3-0-1ghlqjcbnma52801-1ghlqjccbg4do800-49b9faa52af44005-
"['CarMax', '3.8']",https://www.carmax.com/,Business Office Associate,"Brandywine, MD",$30K - $40K (Glassdoor est.),"Want to join a company with a great culture and opportunities to advance your career? CarMax might be the place for you. CarMax is recognized as one of the Fortune 100 Best Companies to Work For with great pay and benefits, a 401k match, car discounts, and paid time off and paid leave.
Job title: Home Delivery Customer Specialist / Business Office Associate
7257 - Brandywine - 7700 Matapeake Business Drive, Brandywine, Maryland, 20613
CarMax, the way your career should be!
General Summary:
Under limited supervision of the Business Office Manager, the Customer Specialist- Alternative Delivery provides exceptional customer service in a fast-paced, team-oriented environment through the completion of sales transactions, while working in multiple environments including both indoors, outdoors, and offsite (“home”) delivery of vehicles. The Customer Specialist- Alternative Delivery will also focus on the facilitation of paperwork and post-sale processing. The Customer Specialist-Alternative Delivery will also perform vehicle condition verifications and prepare the vehicles for delivery.",22d,
,,Business Office Associate,"Brandywine, MD",$30K - $40K (Glassdoor est.),,8d,
"['CarMax', '3.8']",https://www.carmax.com/,Business Office Associate,"Brandywine, MD",$30K - $40K (Glassdoor est.),"7248 - Oklahoma City - 1121 E Memorial Rd, Oklahoma City, Oklahoma, 73131

CarMax, the way your career should be!
General Summary:

Under limited supervision of the Business Office Manager, the Customer Specialist- Alternative Delivery provides exceptional customer service in a fast-paced, team-oriented environment through the completion of sales transactions, while working in multiple environments including both indoors, outdoors, and offsite (""home"") delivery of vehicles. The Customer Specialist- Alternative Delivery will also focus on the facilitation of paperwork and post-sale processing. The Customer Specialist-Alternative Delivery will also perform vehicle condition verifications and prepare the vehicles for delivery.

What you will do - Essential responsibilities





CarMax disrupted the auto industry by delivering the honest, transparent and high-integrity experience customers want and deserve. This innovative thinking around the way cars are bought and sold has helped us become the nation's largest retailer of used cars, with over 200 locations nationwide.

Our amazing team of more than 25,000 associates work together to deliver iconic customer experiences. Along the way, we help every associate grow their career and achieve their best, at work and in their community. We are recognized for our commitment to training and diversity and are one of the FORTUNE 100 Best Companies to Work For®.

CarMax is an equal opportunity employer, and all qualified candidates will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, protected veteran status, disability status, or any other characteristic protected by law.

Upon an applicant's request, CarMax will consider reasonable accommodation to complete the CarMax Job Application.",8d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846baa11d8a7e1f0e577abf536&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_829647bf&cb=1668253632825&jobListingId=1008255525931&jrtk=3-0-1ghlqk4g3kuhi801-1ghlqk4gji17g800-3c7c097b47d98e0f-
