Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Cardinal Health', '3.7']",http://www.cardinalhealth.com/,Senior Principal R&D Software Engineer,"Hazelwood, MO",$113K - $157K (Glassdoor est.),"Location: Hazelwood, MO
Schedule: Onsite Flex (3 days in office, 2 days remote)
Bonus Eligible: Yes
Benefits: Health insurance, 401k Contributions, Paid Time Off, Vacation, STD/LTD
Key Responsibilities
Software Design, Developing and debugging for electro-mechanical medical devices.
Developing required documentation, design history files for the electro-mechanical devices.",11d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a11b98aa0d9378c037e0478&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7d9bf6d6&cb=1668226863086&jobListingId=1008246647044&jrtk=3-0-1ghl13edrjfkm801-1ghl13eecg4f7800-4871f195491c230c-
"['Cardinal Health', '3.7']",http://www.cardinalhealth.com/,Senior Principal R&D Software Engineer,"Hazelwood, MO",$113K - $157K (Glassdoor est.),"Fuse by Cardinal Health
Fuse is on a mission to reimagine healthcare. Our focus on technology, design and a product mindset will help drive that mission and establish Cardinal Health as a leader in healthcare technology. The Fuse vision is to be a catalyst to help Cardinal Health become healthcare’s most trusted partner, scale innovation with clear alignment to business strategy and growth and launch new businesses and products.
Our innovation culture and modern product development teams power the evolution of our commercial products and spark the creation of new businesses and products. Our strong product orientation and working model enable innovation on commercial technologies by focusing externally on customers and users first, integrating multi-disciplinary teams to bring business strategy to life, and “InFusing” collaborative and agile ways of working into the Cardinal Health culture.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a11b98aa0d9378c037e0478&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4fe25c80&cb=1668226865893&jobListingId=1008171515689&jrtk=3-0-1ghl13edrjfkm801-1ghl13eecg4f7800-b4878cb1b5b0e713-
,,Senior Principal R&D Software Engineer,"Hazelwood, MO",$113K - $157K (Glassdoor est.),,30d+,
"['Cardinal Health', '3.7']",http://www.cardinalhealth.com/,Senior Principal R&D Software Engineer,"Hazelwood, MO",$113K - $157K (Glassdoor est.),"What Commercial Technologies Software Engineering contributes to Cardinal Health
Commercial Technologies manages the enterprise's portfolio of commercial technologies to maximize the business value of the technologies and enhance the customer experience. This function creates strategies for the portfolio and innovative solutions based on relationships with business leaders, develops back-end solutions and capabilities, and improves the front-end experience.
Commercial Technologies Software Engineering develops design options, process improvements and back-end solutions for commercial technologies to maximize performance and suitability for business needs. This job family manages engineering projects and plans for commercial technologies and interfaces with product managers to develop objectives. This job family assesses product systems, identifies opportunities for process and system improvements, and develops solutions through application of engineering principles.",4d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a11b98aa0d9378c037e0478&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_592793c0&cb=1668226870608&jobListingId=1008263940675&jrtk=3-0-1ghl13edrjfkm801-1ghl13eecg4f7800-9f7fadec4f6a6691-
"['Cardinal Health', '3.7']",http://www.cardinalhealth.com/,Senior Principal R&D Software Engineer,"Hazelwood, MO",$113K - $157K (Glassdoor est.),"What Commercial Technologies Software Engineering contributes to Cardinal Health

Commercial Technologies manages the enterprise's portfolio of commercial technologies to maximize the business value of the technologies and enhance the customer experience. This function creates strategies for the portfolio and innovative solutions based on relationships with business leaders, develops back-end solutions and capabilities, and improves the front-end experience.

Commercial Technologies Software Engineering develops design options, process improvements and back-end solutions for commercial technologies to maximize performance and suitability for business needs. This job family manages engineering projects and plans for commercial technologies and interfaces with product managers to develop objectives. This job family assesses product systems, identifies opportunities for process and system improvements, and develops solutions through application of engineering principles.",22d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a11b98aa0d9378c037e0478&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_21646c8a&cb=1668226873254&jobListingId=1008221823113&jrtk=3-0-1ghl13edrjfkm801-1ghl13eecg4f7800-761a96f2bf628f7e-
"['Cardinal Health', '3.7']",http://www.cardinalhealth.com/,Senior Principal R&D Software Engineer,"Hazelwood, MO",$113K - $157K (Glassdoor est.),"At Cardinal Health, we’re developing the innovative products and services that make healthcare safer and more productive. Join a growing, global company genuinely committed to making a difference for our customers and communities.
Job Summary
LRCQ (Legal, Regulatory, Compliance and Quality) IT enables technology solutions for the Pharmaceutical Segment Quality and Regulatory Affairs team at Cardinal Health. This business team is accountable for anti-diversion, regulatory reporting, recalls administration, and controlled substance compliance. The PSQRA IT technology suite includes multiple custom developed legacy and cloud-native solutions along with off-the-shelf and vendor supported applications.
A candidate for this job should have a desire to understand complex regulatory requirements and to apply that understanding to multiple and disparate systems.",14d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a11b98aa0d9378c037e0478&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0a496ce3&cb=1668226874630&jobListingId=1008241406411&jrtk=3-0-1ghl13edrjfkm801-1ghl13eecg4f7800-3aa528e715902678-
"['Cardinal Health', '3.7']",http://www.cardinalhealth.com/,Senior Principal R&D Software Engineer,"Hazelwood, MO",$113K - $157K (Glassdoor est.),"What Commercial Technologies Software Engineering contributes to Cardinal Health

Commercial Technologies manages the enterprise's portfolio of commercial technologies to maximize the business value of the technologies and enhance the customer experience. This function creates strategies for the portfolio and innovative solutions based on relationships with business leaders, develops back-end solutions and capabilities, and improves the front-end experience.

Commercial Technologies Software Engineering develops design options, process improvements and back-end solutions for commercial technologies to maximize performance and suitability for business needs. This job family manages engineering projects and plans for commercial technologies and interfaces with product managers to develop objectives. This job family assesses product systems, identifies opportunities for process and system improvements, and develops solutions through application of engineering principles.",22d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a11b98aa0d9378c037e0478&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ff10d170&cb=1668226877298&jobListingId=1008221823111&jrtk=3-0-1ghl13edrjfkm801-1ghl13eecg4f7800-1969b805310246ca-
"['Cardinal Health', '3.7']",http://www.cardinalhealth.com/,Senior Principal R&D Software Engineer,"Hazelwood, MO",$113K - $157K (Glassdoor est.),"LRCQ IT enables technology solutions for the Legal, Regulatory, Compliance, and Quality teams at Cardinal Health. This business team is accountable for anti-diversion, regulatory reporting, recalls administration, quality, and legal processes throughout the enterprise. The LRCQ IT technology suite includes multiple cloud-native, legacy, and commercial off-the-shelf and vendor supported applications.
Our team is actively implementing a multi-year technology evolution plan and are building from scratch or enhancing highly integrated applications that are micro-service, event, and API-driven. These applications are built on Angular, Java Spring Boot, Cloud SQL, Kafka, BigQuery, Google Cloud Functions, Apigee, Concourse, SonarQube, VeraCode, and Git technologies.
A candidate for this job should have a desire to understand complex legal and regulatory requirements and to apply that understanding to multiple and disparate systems.",23d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a11b98aa0d9378c037e0478&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7f952a55&cb=1668226880392&jobListingId=1008219550067&jrtk=3-0-1ghl13edrjfkm801-1ghl13eecg4f7800-991f318ee7277e94-
"['Cardinal Health', '3.7']",http://www.cardinalhealth.com/,Senior Principal R&D Software Engineer,"Hazelwood, MO",$113K - $157K (Glassdoor est.),"Overview:
The Third-Party Logistics (3PL) business is a complex service, rich organization that is a tremendous growth driver for Cardinal Health. We are seeking an experienced technical lead to join the 3PL team to provide leadership over our client integrations.
What Application Development and Maintenance Contributes to Cardinal Health
What Application Development & Maintenance contributes to Cardinal Health
Information Technology oversees the effective development, delivery, and operation of computing and information services. This function anticipates, plans, and delivers Information Technology solutions and strategies that enable operations and drive business value.

Application Development & Maintenance performs configuration or coding to develop, enhance and sustain the organization's software systems in a cross-functional team environment through adherence to established design control processes and good engineering practices. This job family programs and configures end user applications, systems, databases and websites to achieve the organization's internal needs and externally-facing business needs. Application Development & Maintenance partners with business leaders, investigates user needs and conducts regular assessments, maintenance and enhancements of existing applications.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a11b98aa0d9378c037e0478&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_abd799c8&cb=1668226884215&jobListingId=1008186641934&jrtk=3-0-1ghl13edrjfkm801-1ghl13eecg4f7800-f7d9083dd1d0190a-
"['Cardinal Health', '3.7']",http://www.cardinalhealth.com/,Senior Principal R&D Software Engineer,"Hazelwood, MO",$113K - $157K (Glassdoor est.),"Job Description
Headquartered in Dublin, Ohio, Cardinal Health, Inc. (NYSE: CAH) is a is a global, integrated healthcare services and products company, providing customized solutions for hospitals, health systems, pharmacies, ambulatory surgery centers, clinical laboratories, and physician offices worldwide.
The company provides clinically proven medical products and pharmaceuticals and cost-effective solutions that enhance supply chain efficiency from hospital to home. Cardinal Health connects patients, providers, payers, pharmacists and manufacturers for integrated care coordination and better patient management. Backed by nearly 100 years of experience, with approximately 50,000 employees in 46 countries and Fiscal 2021 revenues of $162.5 billion, Cardinal Health ranks among the top 25 on the Fortune 500.
Accountabilities",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a11b98aa0d9378c037e0478&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b0b67214&cb=1668226887291&jobListingId=1008129653192&jrtk=3-0-1ghl13edrjfkm801-1ghl13eecg4f7800-a3ad7707cace69d1-
