Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Creative Co-Op, Inc.', '2.5']",http://www.creativecoop.com/,Lead WMS Developer,"Memphis, TN",$72K - $102K (Glassdoor est.),"INTRODUCTION
Headquartered in Memphis, Tennessee, Creative Co-Op, Inc. is a leading, importer and distributor of gift and home decorative accessories. Our customers range from boutique specialty stores to Fortune 500 national retailers. With offices/showrooms in Memphis, Portland, Atlanta, Dallas, New York, Las Vegas, and China. Creative Co-Op is part of the Regent Holding Company.
Regent Holding Company is a designer and wholesaler of quality home décor, and has an extensive global presence through its three brands, Creative Co-Op, Bloomingville and Illume. Between the three companies, Regent has multiple distribution channels in the United States, Europe, the Middle East and Asia, and supplies more than 30,000 retail doors globally. In addition, through its sourcing company, York Asia, Regent is able to leverage its scale to maximize supply chain efficiencies. With its portfolio of complementary products, distribution centers on three separate continents and significant sourcing infrastructure, Regent is able to maximize the potential of great products and designs – reaching consumers throughout the world. Regent’s growth has been fueled by a 2015 investment by Freeman Spogli & Co., a leading private equity firm dedicated to investing with management in middle market companies in the consumer and distribution sectors.",30d+,
"['Johnson Controls', '3.6']",http://www.johnsoncontrols.com/,Lead WMS Developer,"Memphis, TN",$72K - $102K (Glassdoor est.),"Johnson Controls is powered by your talent. We are the power behind the customer mission. Together we are building a world that’s safe, comfortable and sustainable. Our diverse global team creates innovative, integrated solutions to make cities more connected, buildings more intelligent and environments more comfortable and secure. We are all about improving outcomes for our partners. Tomorrow needs your talent. Tomorrow needs you. So let’s talk today.
Job Details
Based on experience, this opportunity could also be a Senior Level Role.
What you will do
Provide senior level network services focusing on designing, configuring, and integrating network technologies into the Johnson Controls Global Network ecosystem. Provides network project leadership for design and installation projects using standard technologies with a focus on network security. Comfortable leading discussions at the executive level.",22d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846b826018a2e24646950ef31d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_71684d7e&cb=1668251031209&jobListingId=1008222475305&cpc=9FFE37255B2C047E&jrtk=3-0-1ghlo4o24mbhh801-1ghlo4o2mi9hg800-90854ad4841579fa--6NYlbfkN0BiJjoAX1y632RJo0LgExWlQmIqESJcD9SmircHFj8EI7ZE003WOGRTA5g4cuhhXYs3qyEgXnuK-MsA6DHffbCYFVfMcqJ4tyuduElsjF8Fc-9dPvkk8Gk4NcYJi5_nfTAr-9Y98jWXsDWIoj9PwyNXrAUHyilYRXmRpBGJwDgrRSQMpqhePTRrmYrg5vHs73Tw5WJ1jy1u9iCLnfXfN68DTpyWuOgrUm20VuxDNLKlzDLsZOb7VfV9BAfYOZasCsBCK5STXl_9OnLymglBWyLRRn5XYyq90mY9xBYgwI9PyZNwEWOtiX79lfO_92WNrBdo7X64wua7WyiPeHGt1obEAOO2hJA9r63VWAAg81-2YeE0vm9a0ENsiWu_vJ8GDkp52UE2S1MMx2QtZnrcHmfC2WxhAKnmoptxdEwIzOf3Exy4yvmkhu8w8g7i1B_8QhzZJMz0MrJhMaRpVh8I6Tmt-ukpy76H1LQxZ0gMSFo0SdqWmJz5aYcEG0qum-CkMDg%3D
"['Mylo, a Lockton Company', '4.3']",http://www.choosemylo.com/,Lead WMS Developer,"Memphis, TN",$72K - $102K (Glassdoor est.),"Mylo is a fast-growing insurtech leader with an embeddable digital insurance platform that enables our partners to offer expert coverage advice and solutions to their clients. Our proprietary technology – the Mind of Mylo™ – delivers precise coverage recommendations to business owners and individuals. It matches risks with carrier appetites and determines the right insurance at the best value from multiple leading carriers for a wide variety of needs, including business, small group benefits, home, auto, life, individual health, and Medicare.
Backed by global investor Guggenheim Partners and the world’s largest independent broker, Lockton, and drawing on 55 years of Lockton insurance expertise, Mylo offers expert insurance recommendations online or over the phone with licensed agents. More information about Mylo can be found at www.choosemylo.com
We are revolutionizing insurance to protect what matters.

Do you like to have your hands in a little bit of everything? We are looking for versatile, full stack developers that are comfortable with (and excited by) working on a variety of different kinds of projects. In addition to our consumer facing web features we also support our marketing department and insurance agent sales team, building tools and integrations to make them more effective and efficient. If you enjoy solving various problems with code and technology, we are the place for you.",8d,
"['Lakeshore Learning Materials, LLC', '4.3']",http://www.lakeshorelearning.com/,Lead WMS Developer,"Memphis, TN",$72K - $102K (Glassdoor est.),"Company Description

At Lakeshore, we create innovative learning materials and world-class guest experiences for teachers, parents and children. Since 1954, we’ve grown into a global community—with a thriving e-commerce business, multiple catalogs, 60+ retail stores, a peerless national sales force, plus international offices that support our preeminent supply chain division. But today we’re working better, smarter and faster than ever—and setting our sights even higher. We’re building an infrastructure designed for scalability, embracing data-driven decision-making and using technology to improve efficiency and ensure the best tools for the best work. Most importantly, we continue to invest in a diverse team of inquisitive top talent who fuel each other’s passions and curiosity, take risks, try new things and believe that every new day brings opportunities for growth.",24h,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846b826018a2e24646950ef31d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_38805058&cb=1668251036267&jobListingId=1008275490288&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlo4o24mbhh801-1ghlo4o2mi9hg800-b2775f1aa9550fdb--6NYlbfkN0BeFm8pbmROb9PyittrVgizWoeXcqcAHiHO7qzxPoD4P4NNlHze5-WscCpmqp888O1okleq1KjuqXI5hjC9-eVxYEcfvGBSjN6L-HV60ozIKccyrPW2pXMQMu53bcCpzIps54gjMmEqtsZZinmtub1sm7XBOhpbim-VG6iuvU9v84ORA5_VGQn0H_6w5OqbYjXevhxN0sSZi1r3qkpKCWDKfhAS8EIVieckfP1AP0fX-Nu3t5ZBo3UYeAsRBKgGM3Otc0NZSSJUq76QZ2Flq8l4L0QB961-olFuU5ZHvo8srGOYUnHucbgKq4Wg5PjwLYbCoYhyZwMG8aX3b0LEM3DZ35H4E3St4M3od8RhIe5WQ7jm3zMJIQ0h8LFg9Q-t4pCx3bbRB5ClFYbn3E3NKnqRWgd3N9Dnr45r-k0ixR9x-4B972GQkFlbTeM5Jnt8kumlODPoE7eUEQoCqiNSo3kgGczC0EBP67f9atanliqQHSQCLzQRIv73uomgpJjbEgntb4BstzS2vDbvaz6hwmH1xyXux_VYlOGmqxP-kQ9xlw%3D%3D
"['Sanhua International', '3.6']",http://www.sanhuausa.com/,Lead WMS Developer,"Memphis, TN",$72K - $102K (Glassdoor est.),"Sanhua International is seeking an IT Systems Analyst to support our IT team. The ideal candidate will have drive and be detail oriented.
Sanhua is a leading HVAC&R manufacturer of controls and components with a global footprint and 30 years of experience. Our co-operation with the largest companies in the Automotive, Appliance and HVAC&R industry makes Sanhua a leading worldwide OEM supplier providing the highest quality components at the most competitive price.
Sanhua have established strategic supply and cooperation relationship with world-leaders refrigeration and air-conditioning manufacturers, such as Panasonic, Daikin, Mitsubishi, Toshiba, Hitachi, Fujitsu, LG, Samsung, Carrier, Trane, York, Gree, Midea and Haier among others.The IT Systems Analyst deploys, maintains, and troubleshoots core business applications (Office Automation, CRM system, SAP B1, Integration platform), including application servers, endpoints, and databases.",8d,
"['Insight Global', '3.9']",http://www.insightglobal.com/,Lead WMS Developer,"Memphis, TN",$72K - $102K (Glassdoor est.),"Remote
Work Authorization: W2
Interview Process: 2-3 rounds
Must Haves:
4+ years of hands-on experience in an AWS Cloud Native environment developing Frontend Applications and Data Analytics and reporting visualizations
Extensive experience in using Grafana (monitoring/running data analytics) for custom visualizations
Experience with Python ( building those custom dashboards) and ReactJS with 2+ years of work experience in using and implementing them for commercial products",16d,
"['Insight Global', '3.9']",http://www.insightglobal.com/,Lead WMS Developer,"Memphis, TN",$72K - $102K (Glassdoor est.),"Looking for a Camunda developer with Java or Python programming to help build software for carriers and enterprises to automate networking. (Automating inventory, automating deployment of services, automating deployment of equipment).
Top Three Skills Required:
Experience with networking devices
Camunda
Java or Python programming
Job Type: Contract
Pay: $75.00 per hour",30d+,
"['Pasona N A, Inc.', '4.0']",http://www.pasona.com/,Lead WMS Developer,"Memphis, TN",$72K - $102K (Glassdoor est.),"Position: Software Developer
Location: Los Angeles, CA
Salary: 80K-100K/year (DOE)
Employment Status: Direct Hire, Full Time
Benefits: Health, Dental, Paid Vacation, 401K
H-1 visa support available

Job Description",30d+,
"['Novanta', '2.8']",http://www.wom.group/,Lead WMS Developer,"Memphis, TN",$72K - $102K (Glassdoor est.),"Build a career powered by innovations that matter! At Novanta, our innovations power technology products that are transforming healthcare and advanced manufacturing—improving productivity, enhancing people’s lives and redefining what’s possible. We create for our global customers engineered components and sub-systems that deliver extreme precision and performance for a range of mission-critical applications—from minimally invasive surgery to robotics to 3D metal printing.
Novanta is one global team with over 26 offices located in The Americas, Europe and Asia-Pacific. Looking for a great place to work? You have found it with a culture that embraces teamwork, collaboration and empowerment. Come explore Novanta.
This position is part of Novanta’s ATI Industrial Automation business unit. ATI is the world’s leading developer of robotic end of arm technologies. ATI end-effectors enhance productivity and flexibility of robotic and automated solutions across a wide spectrum of industries through capabilities such as automatic tool changing, force-torque sensing, material removal, and more. Since 1989, their commitment to engineering excellence, superior quality, and customer-focused support drives them to innovate and continuously improve the most reliable automated solutions available.
Primary Responsibilities",30d+,
"['RELX', '3.9']",http://www.relx.com/,Lead WMS Developer,"Memphis, TN",$72K - $102K (Glassdoor est.),"Senior Director Systems Engineering
Would you like to shape the future of our global cloud infrastructure and operations teams?
Are you motivated by seeing how engineering teams can make a positive impact to software delivery and the customer experience?
About our Team
We are a growing, global team of 2000 entrepreneurial digital technologists. Collaborating in small agile teams, we have the freedom to leverage the latest technologies to build digital solutions. We create products that help scientists make breakthroughs and health professionals impact lives.
About the Role
As Senior Director of Operations working in our global Technology, Infrastructure and Operations (TIO) group, you will be responsible for delivering and supporting software products across your portfolio. Our objective is to build and support reliable and cost-effective systems and to enable product teams to ship quality software to customers quickly and easily.",11d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b826018a2e24646950ef31d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c0026aa7&cb=1668251055948&jobListingId=1008246729361&jrtk=3-0-1ghlo4o24mbhh801-1ghlo4o2mi9hg800-5156a8e43ba59c1f-
