Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Caterpillar', '4.0']",http://www.caterpillar.com/,2023 Entry Level Global Information Systems,Illinois,$85K (Employer est.),"Career Area:
Information Technology
Job Description:
Your Work Shapes the World
Whether it be groundbreaking products, best-in-class solutions, or creating a lifelong career, you can do the work that matters at Caterpillar. With a 95-year legacy of quality and innovation and 150 locations in countries around the world, your impact spans the globe.
When you join Caterpillar, you are joining a team of makers, innovators, and doers. We are the people who roll up our sleeves and do the work to build a better world. We don’t just talk about progress and innovation. We make it happen. And we are proud of that because it helps our customers build and power the world we live in – the roads, hospitals, homes, and infrastructure. Without a dedicated workforce, Caterpillar could not effectively meet our customer’s needs. Join us.
Relocation is available for this position.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846cea36f8922f27d65d1e729f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1c2f5511&cb=1668274606916&jobListingId=1008136610668&jrtk=3-0-1ghmekdrdkluj801-1ghmekduhg4f7800-68170d42a2cb9881-
"['Caterpillar', '4.0']",http://www.caterpillar.com/,2023 Entry Level Global Information Systems,Illinois,$85K (Employer est.),"Career Area:
Digital
Job Description:
As a Software Engineering professional at Caterpillar, you will contribute to the design, development, and deployment of Caterpillar’s state-of-the-art digital platform. Software Engineers manage the completion of their own work assignments and coordinates work with others.
This position will build a world class platform to host a wide range of digital applications. Responsibilities are across functional lines with individuals assigned in new program development and/or maintenance of existing mobile, WEB, Cloud, server, personal computer, mainframe, and/or distributed computing systems.


Relocation is available for this position.Visa sponsorship available for eligible applicants.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846cea36f8922f27d65d1e729f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_04417921&cb=1668274610792&jobListingId=1008094248850&jrtk=3-0-1ghmekdrdkluj801-1ghmekduhg4f7800-53701405c7ed37b1-
"['Caterpillar', '4.0']",http://www.caterpillar.com/,2023 Entry Level Global Information Systems,Illinois,$85K (Employer est.),"Career Area:
Information Technology
Job Description:
Caterpillar is looking for a cloud engineer interested in assisting our build out of the Amazon Web Services (AWS) platform. This is an excellent opportunity for experienced application developers or infrastructure administrators to help drive enterprise cloud transformations.
Job Duties/Responsibilities may include, but are not limited to:
Providing consultation on best practices for teams starting to build apps on platforms as a service;",3d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846cea36f8922f27d65d1e729f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7b6b8571&cb=1668274614754&jobListingId=1008265838990&jrtk=3-0-1ghmekdrdkluj801-1ghmekduhg4f7800-91c950705778f53b-
"['Caterpillar', '4.0']",http://www.caterpillar.com/,2023 Entry Level Global Information Systems,Illinois,$85K (Employer est.),"Career Area:
Digital
Job Description:
EEO/AA Employer. All qualified individuals - Including minorities, females, veterans and individuals with disabilities - are encouraged to apply.
Not ready to apply? Submit your information to our Talent Network here .",3d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846cea36f8922f27d65d1e729f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2d1183b9&cb=1668274617906&jobListingId=1008266613448&jrtk=3-0-1ghmekdrdkluj801-1ghmekduhg4f7800-5939cd9afee7b464-
"['Caterpillar', '4.0']",http://www.caterpillar.com/,2023 Entry Level Global Information Systems,Illinois,$85K (Employer est.),"Career Area:
Digital
Job Description:
As a Senior Software Engineer, you will contribute to design, development and deployment of Caterpillar’s state-of-the-art digital data platform hosted on AWS.
JOB DUTIES:
As a Senior Software Engineer you will be is responsible for designing and developing backend RESTful API web services using Microservices architecture. The responsibilities include the following:
Visa sponsorship available for eligible applicants.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846cea36f8922f27d65d1e729f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ae766854&cb=1668274619704&jobListingId=1008006592024&jrtk=3-0-1ghmekdrdkluj801-1ghmekduhg4f7800-77c147cc224d5fe9-
"['Caterpillar', '4.0']",http://www.caterpillar.com/,2023 Entry Level Global Information Systems,Illinois,$85K (Employer est.),"Career Area:
Digital
Job Description:
CAT Digital Platform team is looking for talented and motivated front-end developers to build reference applications/single page apps demonstrating the power of Platform services and giving a jump start to application developers. This team also builds applications used by Caterpillar technicians, Caterpillar Dealers and analysts all over the world. A great opportunity to learn about the IoT development!
JOB DUTIES: As a Senior Front-End Developer (Sr. Software Engineer) you will contribute to design, development, testing and deployment of software systems and/or applications.",4d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846cea36f8922f27d65d1e729f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_65048f05&cb=1668274622681&jobListingId=1008263163761&jrtk=3-0-1ghmekdrdkluj801-1ghmekduhg4f7800-8c6eced9e0cdb3ce-
"['Caterpillar', '4.0']",http://www.caterpillar.com/,2023 Entry Level Global Information Systems,Illinois,$85K (Employer est.),"Career Area:
Digital
Job Description:
Looking for talented front-end Developers to drive the use of CAT Digital’s Enterprise Data Platform and enable developers to lead, design and implement applications that leverage cutting-edge IoT and AI technology to help dealers make intelligent decisions and provide customized card for customers and their equipment. The position will also play a primary role ensuring the team is delivering high-quality designs, code and tests. This team:
Delivers reference implementations and code libraries that showcase platform services and help application developers become more productive.
Visa sponsorship available for eligible applicants.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846cea36f8922f27d65d1e729f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_115bd364&cb=1668274624590&jobListingId=1008139253058&jrtk=3-0-1ghmekdrdkluj801-1ghmekduhg4f7800-e1c06f214ee57d55-
"['Caterpillar', '4.0']",http://www.caterpillar.com/,2023 Entry Level Global Information Systems,Illinois,$85K (Employer est.),"Career Area:
Digital
Job Description:
The DevOps Tools Team supports the Cat Digital development community by providing Administration and SME responsibilities for the DevOps tools used in Cat Digital. Assisting is the procurement, registration, installation, and configuration of new development tools. Setting guidelines, auditing, and compliance of supported tools.
JOB DUTIES: As a DevOps Engineer you will contribute to design, development, testing and deployment of software systems and/or applications.
Visa sponsorship available for eligible applicants.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846cea36f8922f27d65d1e729f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_09c2a394&cb=1668274628584&jobListingId=1008136610436&jrtk=3-0-1ghmekdrdkluj801-1ghmekduhg4f7800-8b1a1da7f8d2c4c1-
"['Caterpillar', '4.0']",http://www.caterpillar.com/,2023 Entry Level Global Information Systems,Illinois,$85K (Employer est.),"Career Area:
Digital
Job Description:
The Sr. Software Engineer contributes to design, development and deployment of the Service Options Collaborator application utilized by Caterpillar users, dealers and customers hosted on the Azure platform. This position will join a team of experienced developers continuously delivering new functionality in support of the dealer service business.
JOB DUTIES:
Responsibilities of the incumbents are across functional lines with individuals assigned in new program development and/or maintenance of existing mobile, WEB, Cloud, server, personal computer, mainframe, and/or distributed computing systems.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846cea36f8922f27d65d1e729f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3d1bbc5b&cb=1668274632671&jobListingId=1007280927061&jrtk=3-0-1ghmekdrdkluj801-1ghmekduhg4f7800-46ba98b1836ccae4-
"['Caterpillar', '4.0']",http://www.caterpillar.com/,2023 Entry Level Global Information Systems,Illinois,$85K (Employer est.),"Career Area:
Digital
Job Description:
The Lead Software Engineer role provides technical leadership in design, development and deployment of Caterpillar’s state-of-the-art digital platform.
Remote available for US Applicants/Sponsorship not Available
#LI, #LI-Remote, #LI-Hybrid
Job Responsibilities:
Core member and technical leader of a scrum team that will include developers, product owners, architects, and other essential partner roles",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846cea36f8922f27d65d1e729f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a88ca677&cb=1668274635884&jobListingId=1008081485717&jrtk=3-0-1ghmekdrdkluj801-1ghmekduhg4f7800-6a60b1fea26a852c-
