Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Envolve Pharmacy', '3.6']",http://www.centene.com/,Senior Application Software Engineer (ETL) - Remote,Texas,$79K - $112K (Glassdoor est.),"You could be the one who changes everything for our 26 million members by using technology to improve health outcomes around the world. As a diversified, national organization, Centene's technology professionals have access to competitive benefits including a fresh perspective on workplace flexibility.
Position Purpose: ETL Development for Centene Pharmacy Services BI Team.
Participate and contribute in the entire implementation process for new applications and enhancements to existing applications
Provide input on the overall solution design
Build and test applications
Meet with business partners to understand business needs",1d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a8bbcf59def4f1dc1106b4f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_61ba0a85&cb=1668234861309&jobListingId=1008273112923&jrtk=3-0-1ghl8nf912bgf001-1ghl8nf9gi171800-8708d5c14304c403-
"['Envolve Dental', '3.6']",http://www.centene.com/,Senior Application Software Engineer (ETL) - Remote,Texas,$79K - $112K (Glassdoor est.),"You could be the one who changes everything for our 26 million members by using technology to improve health outcomes around the world. As a diversified, national organization, Centene's technology professionals have access to competitive benefits including a fresh perspective on workplace flexibility.
Position Purpose: Design, build, test and maintain scalable and stable off the shelf application or custom built technology solutions to meet business needs. Act as a subject matter expert for Application Software developers and Engineers.
Contribute to the entire implementation process including driving the definition of improvements based on business need and architectural improvements
Meet with business partners to understand business needs
Responsible for overall design of the solution",16d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a8bbcf59def4f1dc1106b4f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0bb10e16&cb=1668234863178&jobListingId=1008236137793&jrtk=3-0-1ghl8nf912bgf001-1ghl8nf9gi171800-11cbae18d7371b56-
"['Centene', '3.6']",http://www.centene.com/,Senior Application Software Engineer (ETL) - Remote,Texas,$79K - $112K (Glassdoor est.),"You could be the one who changes everything for our 26 million members by using technology to improve health outcomes around the world. As a diversified, national organization, Centene's technology professionals have access to competitive benefits including a fresh perspective on workplace flexibility.
CENTENE MANAGEMENT COMPANY LLC ONLINE AD

EMPLOYER: Centene Management Company, LLC
POSITION: Project Lead Site Reliability Engineers
JOB ID No.: 1373516
DUTIES:

Responsible for understanding the entire application stack and implementation process including driving the definition of improvements through collaboration with other teams or stakeholders to improve overall product quality by emphasizing defect prevention, usability, and functional enhancements throughout the development process based on business need and architectural improvements.
Act as Subject Matter Expert in automation developed by the team and the point of contact for queries, removing roadblocks for team members.
Participate as member of scrum team and take part in all grooming, planning, and other scrum ceremonies using Agile Methodology, mentoring, and driving Site Reliability Engineering by building/advocating for reusable Automation Framework using Gitlab to automate delivery of our software applications.
Gather and understand requirements from different business stakeholders, assess the appropriate risk analysis/test planning, and monitor execution of work to ensure quality deliverables.
Own overall design and drive accountability by supporting helping other team members with delivery of projects including mentoring, training, and providing technical expertise.
Design and develop software delivery Automation Suite and mentor team members to design, build, maintain, and execute testing frame works utilizing Gitlab components and functions to improve efficiency of software delivery cycles.
Monitor and resolve any problems in any system environments and partner with other teams to reduce and avoid the impact to call centers through root cause analysis of defects and issues on complex business functionality.
Manage the triage, prioritization, resolution, test automation, and delivery of fixes for defects, including both test defects and production issues.
Utilize Dynatrace and Splunk for efficient and proactive monitoring and remediate any current and future foreseen production incidents.
Communicate with technical and non-technical audiences through demos, status reports, training sessions and other verbal or written formats.
Position reports to Centene location at 7700 Forsyth Blvd., St. Louis, MO 63105. Telecommuting permitted 100% of the time.",10d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a8bbcf59def4f1dc1106b4f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a7fc74f0&cb=1668234866245&jobListingId=1008251161329&jrtk=3-0-1ghl8nf912bgf001-1ghl8nf9gi171800-8e1e143e56afebc8-
"['Envolve Vision', '3.6']",http://www.centene.com/,Senior Application Software Engineer (ETL) - Remote,Texas,$79K - $112K (Glassdoor est.),"You could be the one who changes everything for our 26 million members by using technology to improve health outcomes around the world. As a diversified, national organization, Centene's technology professionals have access to competitive benefits including a fresh perspective on workplace flexibility.
Position Purpose: Design, build, test and maintain scalable and stable off the shelf application or custom built technology solutions to meet business needs. Act as a subject matter expert for Application Software developers and Engineers.
Contribute to the entire implementation process including driving the definition of improvements based on business need and architectural improvements
Meet with business partners to understand business needs
Responsible for overall design of the solution
Education/Experience: Bachelor's degree in Computer Science, MIS, related field or equivalent experience. 3+ years of related experience. Healthcare experience strongly preferred, requires demonstrated understanding of business process as it relates to experience in the field. Experience with SQL. Advanced working knowledge of Business Intelligence Tools, including: MicroStrategy, Business Objects, Cognos or Oracle Business Enterprise Edition (OBIEE), Tableau, or SAS. Experience with UNIX and ETL. Experience with various databases, including: Teradata, Oracle or SQL Server preferred.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a8bbcf59def4f1dc1106b4f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4d706fdc&cb=1668234868791&jobListingId=1007929102170&jrtk=3-0-1ghl8nf912bgf001-1ghl8nf9gi171800-5cce68ba70111548-
"['Envolve Pharmacy', '3.6']",http://www.centene.com/,Senior Application Software Engineer (ETL) - Remote,Texas,$79K - $112K (Glassdoor est.),"You could be the one who changes everything for our 26 million members by using technology to improve health outcomes around the world. As a diversified, national organization, Centene's technology professionals have access to competitive benefits including a fresh perspective on workplace flexibility.
Responsible for the entire implementation process and drive definition of business needs
Responsible for the entire implementation process and drive definition of business needs
Lead cross functional teams through the entire implementation process
Responsible for overall solution design including building and testing
Conduct root cause analysis and advanced performance tuning for complex business processes and functionality",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a8bbcf59def4f1dc1106b4f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1bfccb33&cb=1668234870592&jobListingId=1008081729738&jrtk=3-0-1ghl8nf912bgf001-1ghl8nf9gi171800-4ccef1ad533feb07-
"['Envolve Pharmacy', '3.6']",http://www.centene.com/,Project Lead Software Engineer - Remote,Arizona,,"You could be the one who changes everything for our 26 million members by using technology to improve health outcomes around the world. As a diversified, national organization, Centene's technology professionals have access to competitive benefits including a fresh perspective on workplace flexibility.
Responsible for the entire implementation process and drive definition of business needs
Responsible for the entire implementation process and drive definition of business needs
Lead cross functional teams through the entire implementation process
Responsible for overall solution design including building and testing
Conduct root cause analysis and advanced performance tuning for complex business processes and functionality",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a8c06d79dfcd13d147ff2c7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4e8225e3&cb=1668234880297&jobListingId=1008081729738&jrtk=3-0-1ghl8o1p1kf3k801-1ghl8o1pji6hj800-4ccef1ad533feb07-
"['Superior HealthPlan', '3.6']",http://www.superiorhealthplan.com/,Business Systems Analyst (Technical Project Management) - remote,Texas,,"You could be the one who changes everything for our 26 million members by using technology to improve health outcomes around the world. As a diversified, national organization, Centene's technology professionals have access to competitive benefits including a fresh perspective on workplace flexibility.

Position Purpose: Design, build, test and maintain enablers of business processes, including technology and process solutions with a focus on medium complexity, multiple application business processes and/or business relationships

n/a

Education/Experience: Bachelor's degree in Computer Science, MIS, related field or equivalent experience. 2+ years of related experience. Firm understanding of how the IT business operates (e.g. software development, operations, infrastructure). Experience with Project Management tools such as MS Project, MS-Office Suite.

Flexible work solutions including remote options, hybrid work schedules and dress flexibility, Competitive pay, Paid time off including holidays, Health insurance coverage for you and your dependents, 401(k) and stock purchase plans, Tuition reimbursement and best-in-class training and development.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.",24h,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846a8c43d5bbdc8dd3065370f3&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ee621a06&cb=1668234895115&jobListingId=1008275152423&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl8oh0fjii9801-1ghl8oh10i38g800-d9b2f699b175b320--6NYlbfkN0CRsjAAhb4gy7YhO0JuVaeCDdL_btuOCOorhVjdNhR0mFuYFuuBhZegvzMjecO1K6-51KTNmDtH6lQjPBxVhNYH0wsTXiUtiERDUSxtR1O1Y-AOUaK5iT1PWynbbOex1gMSLDT2WS8-ekCRVm8DZCVOnRRjXTXnYK6aqijPhVTQBa7sq4IL2B0EBuXhEGAEXZ4i0DsijYXtQRSyVGywwRaUw2hWoiQX42uPeKJdNVBLKkg0DdQf15wWUAOvvRrdjdXMwdobn1Og3MQ1Tc6mxPpvy1gZWMum79DJI0ZdBSRMUG3i4MX996ZSFgzJBJoOy9_hb8hEp0WrdRiCuGuxfJ8HlSstBoEkBpfTzLEhSZOAwjAaX2YWArOjJyISJFU4RRNmDsCCZPcBXYelmEzO7rdnMsMJOUzay7RydOSU_LzPfWM2G_nqCVRr1DFhth2rdKk%3D
"['Envolve Vision', '3.6']",http://www.centene.com/,Business Systems Analyst (Technical Project Management) - remote,Texas,,"You could be the one who changes everything for our 26 million members by using technology to improve health outcomes around the world. As a diversified, national organization, Centene's technology professionals have access to competitive benefits including a fresh perspective on workplace flexibility.

Manage multiple small to medium sized technical and business oriented projects for the Information Technology organization
Establish client relationships, integrate requirement definition, plan projects, and direct resources ensuring corporate and IT project portfolio objectives are met
Manage the project plans and schedules, ensuring successful completion within scope, budget, time, and quality parameters
Coordinate day to day activities for assigned projects including project definition, organization, scheduling, budget, and staffing
Develop, prepare and present project documentation, including project charter, project plans, status and other reporting documents in accordance with company standards
Develop business requirements into a project charter and scope document, and manage projects through the entire project life cycle ensuring systems meet design standards and guidelines and are sensitive to performance needs of the organization
Integrate project plans from multiple sources to create a cohesive plan with identifiable critical path, task dependencies, and major milestones
Communicate with client, management and operating groups regarding project progress, status, risks, and issues
Partner with project sponsors and project teams to lead requirements definition. Evaluate client’s technical and business requirements and develop approaches and solution alternatives with the project teams and stakeholders


Direct successful implementation of small to medium sized technology and business oriented projects or programs that may be cross-functional, involving other projects with dependencies.


Bachelor’s degree in Computer Science, Information Services, Business or related field or equivalent experience. 3+ years of business and/or technology related project management experience. Demonstrated experience in managing projects involving multiple applications and departments. Working knowledge of various system development lifecycle methodologies including Waterfall and Agile. Experience with development, reporting and monitoring of project costs. Adept at using documentation tools including PowerPoint, Word, Excel, Visio and industry standard project management tools.


Lean Six Sigma certified at various levels of expertise (Yellow, Green, Black or Master Black Belt) preferred. Project management certification in related industry preferred.

Flexible work solutions including remote options, hybrid work schedules and dress flexibility, Competitive pay, Paid time off including holidays, Health insurance coverage for you and your dependents, 401(k) and stock purchase plans, Tuition reimbursement and best-in-class training and development.

Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a8c43d5bbdc8dd3065370f3&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_38d1fa39&cb=1668234897010&jobListingId=1008126807448&jrtk=3-0-1ghl8oh0fjii9801-1ghl8oh10i38g800-ba505fd0a565045d-
"['Randstad', '3.9']",http://www.randstad.com/,project lead data engineer,"Charlotte, NC",$66.67 - $75.00 Per Hour(Employer est.),"summary
$66.67 - $75 per hour
temp to perm
bachelor degree
category
computer and mathematical occupations
reference
961269",17d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a8ca0d39b6218c84b4f6f6c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bc59122d&cb=1668234917552&jobListingId=1008233479896&jrtk=3-0-1ghl8p888i9hn801-1ghl8p8abj4hp800-883c047f4edfb131-
"['AmpThink', '4.5']",http://www.ampthink.com/,project lead data engineer,"Charlotte, NC",$66.67 - $75.00 Per Hour(Employer est.),"Are you interested in working on a team that is designing low voltage systems for the most iconic stadiums and arenas in North America? Do you enjoy working on challenging structures that require coordination inside of detailed building models? AmpThink is looking for a drafter/designer to collaborate with our engineering team on the design and construction of sports facilities throughout North America. Recent projects include SoFi Stadium (Rams/Chargers), Allegiant Stadium (Raiders), Lower.com Stadium (Columbus Crew), and Centene Stadium (St. Louis City Soccer).
Our work environment offers room to grow and learn new tools that build on your drafting skills. There will be opportunities to learn tools that include Ekahau (wireless network design), Inventor (product design), PCDMIS (3D laser capture) and Fusion360 (computer aided manufacturing).",30d+,
