Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Software Developer,"Maryland Heights, MO",,"JOB SUMMARY
Develops, modifies, enhances and implements software systems designed to support new or existing business initiatives. Projects are usually of considerable complexity and require an in-depth knowledge of development tools. Works in most phases of a project and may review work of less experienced staff members. Performs maintenance and provides technical assistance and advice on existing software solutions.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently supports all efforts to simplify and enhance the customer experience.
Codes and performs unit and integration testing of software to ensure proper and efficient execution and adherence to business and technical requirements.
Codes, tests, and debugs new software or makes enhancements to existing software.




BA/BS in Information Technology, Computer Science, related field or equivalent work experience


Experience with DBMS - 3-5
Experience with coding, testing and design - 3-5
Experience with software development methodologies - 3-5


Office environment


Charter Communications is an Equal Opportunity Employer - Minority/Female/Veteran/Disability ISW370 327277 327277BR",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846cb01248a914506fc57605ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a1dc11ef&cb=1668270805468&jobListingId=1008269368688&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghmb04jjkuha801-1ghmb04klj4hn800-c6361e8181c606bd--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZvIkY8mfCkN-cciryd7DYC2wb9YBI40fl-_7lyr85RSQcfSho0gsllB3mHfer-wsfwfc3GOTe65zjcH30QU5Z1XJ54lHJeUYB4Ozxqj-GKo26FnODAVCaQtYvrK8WlGTIsvji9o8AACUAafitVOOe-w8QoVKW-1U2DV-Q9_HMGETtocjCsFpCsMtdVce4vWt8GLtD746zZ0P7NY7IWURSMsLTylQFtu4HiHhbsqVzDzscDCGx6Ea1N9yVsZnjN99bxinO3JBd5PQARIVa2QqU92dQ8oeCYj-cpZHi0hDaL2W9DwvxKSBdkmQIrz4Fdfy67f6YD9WnVsiF2TqqKyD9FpNQgEoO_eNZjybuCYZUeVCxzJCZEBHu1_-A3yIllzGaU%3D
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Software Developer,"Maryland Heights, MO",,"JOB SUMMARY
The Application Developer will build moderately complex products and features that directly impact
the consumer experience. The role will create innovative solutions by developing and implementing
applications.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently support all efforts to simplify and enhance the consumer experience.
Design, implement, and deliver moderately complex products for users.
Actively and independently acquire knowledge of new development technologies in areas such as mobile, video, second screen, social media and other niches.
Work closely with the development team to respond, clarify or define specific application behavior, look/feel and function.
Diagnose moderately complex issues, evaluate, assist in the recommendation and execute the best resolution.
Manage detailed application requirements and collaborate with project /development teams to ensure quality function, features and user experience.
Modify, enhance and implement software systems designed to support new or existing business initiatives.
Influence system design by assisting to identify and recommend design and requirements needs for software enhancements.
Test software to ensure proper and efficient execution and adherence to business and technical requirements.
Write code that meets the production requirements and design specifications.
Ensure code is regression free, documented and unit tested.
Participate in design and wireframe review to provide a technical perspective on implementation.



Ability to read, write, speak and understand English
Intermediate foundation in data structures, algorithms, and OO Design
Intermediate understanding of Objective-C, iOS SDKs, XCode, and related development technologies
Intermediate understanding of best practices in mobile UX design
Knowledge of Agile development methodologies
Ability to deliver against several initiatives simultaneously
Ability to prioritize and organize effectively
Effective written and verbal communication skills
Demonstrated in-depth analytical and troubleshooting abilities


Bachelor's degree in Computer Science, Engineering or related field
Required Related Work Experience and Number of Years
Android/iOS application development experience - 3-4
Software development experience - 3-4
Web services development experience using REST, JSON, XML - 1-2
Version control systems experience (Git and Atlassian suite) - 1-2


Preferred Skills/Abilities and Knowledge
Preferred Education
Preferred Related Work Experience and Number of Years


Office environment

ISW308 327217 327217BR",1d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846cb01248a914506fc57605ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_eefaf342&cb=1668270809421&jobListingId=1008273223496&cpc=2CAED5C921A5F994&jrtk=3-0-1ghmb04jjkuha801-1ghmb04klj4hn800-956f41a544ac5b08--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZv12XAN5quHOkxRCOC8AAaL6i7tJhfYtjacCL_kGaeGjM_aqkpZce0lBhgq_FZ5Yj32ZEsezqDciSogOxAYQyo0tpU9pFLKS1SBfBSJXaHJK7IKpvFlZfiB1-zrc1rSrqrq-PlTluPOcb21J1LKOok5T6hqhw85GYS3vBKEPV7LYsj5blSQPBLccUu-wIyPuV2mnIfaBzqm0TTyp4UgMvNu_k9u4iOiFO6pu1Pw_ycGAaT6K9bB04aQ-KKuHKUd6RbLMD-quzN20r0Z8OgORfDaOjdrv_19P9MgvM2LSvCjHSCQD_mBVVKzIeWJsYCDkVk0ZVmKLSjRJCHWd0JkdTmpj6ILUlTfwpl2u1yTcCQE3maojB2L2GEXTyu54njIFcw%3D
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Software Developer,"Maryland Heights, MO",,"JOB SUMMARY
Develops, modifies, enhances and implements software systems designed to support new or existing business initiatives. Projects are usually of considerable complexity and require a strong knowledge of development tools. Works in most phases of a project and may review work of less experienced staff members. Performs maintenance and provides technical assistance and advice on existing software solutions.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently supports all efforts to simplify and enhance the customer experience
Oversee the configuration of the PPM platform to ensure it meets the needs of the users and is current on available features and functionality
Responsible for working to develop, design and own technical solutions within the on premise version of CA Broadcom’s Clarity PPM tool



Education
BA/BS in Information Technology, Computer Science, related field or equivalent work experience


3 to 5 years’ experience with DBMS
3 to 5 years’ experience with coding, testing and design
3 to 5 years’ experience with software development methodologies


Office environment
The health and safety of our employees and candidates is very important to us. Spectrum has adopted virtual mobile recruiting tools that allow us to continue meeting new candidates. We look forward to “virtually” meeting you.

The Spectrum brands (including Spectrum Networks, Spectrum Enterprise and Spectrum Reach) are powered and innovated by Charter Communications. Charter Communications reaffirms its commitment to providing equal opportunities for employment and advancement to qualified employees and applicants. Individuals will be considered for positions for which they meet the minimum qualifications and are able to perform without regard to race, color, gender, age, religion, disability, national origin, veteran status, sexual orientation, gender identity, or any other basis protected by federal, state or local laws.
Bullet points to add to job requisition:
Required Skills/Experience

C# web application and API development ISW370 325880-1 325880BR

Here, employees don’t just have jobs, they build careers. That’s why we believe in offering a comprehensive pay and benefits package that rewards employees for their contributions to our success, supports all aspects of their well-being, and delivers real value at every stage of life.

The pay for this position has a salary range of . The actual salary offer will carefully consider a wide range of factors, including your skills, qualifications, experience and location. Also, certain positions are eligible for additional forms of compensation such as bonuses.",2d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846cb01248a914506fc57605ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_759c5904&cb=1668270811167&jobListingId=1008268822255&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghmb04jjkuha801-1ghmb04klj4hn800-d9bd80857711325d--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZtUcPIRmxmMDVlUG79_87gwNpgqrPvEcvRtXAKeOhMugwBNfyw3Nv5tq8Oye988s6rox-X9d76Qe-VvKyQme1xvY37HC5VIkW5uAyShno6ix_9-ODS0FfrALcgV56Nz78IxEuH1hv9F60-gs0UEebal3tYa39zck9CQNLJ0KvuvtQsrrsmljCtWasEAhaIU4J8cmoS6YfdOvxbnke-QTBqLjzvIqS4pX8sgvSJcwACkVoRrXKmwyinDwsm_7BHmB7HGj0QLjuey5J2o5h73M8fwzztgp3hG8U4ZAoSeoSLaU-0BaunhFeMGpbn2zyfhJo4hCUDKFdqPgpr4XhGBWrgqcRVIMW6XTza-w5yRbJvrkDLyH0JlzAvCnrL9ilmo5Wo%3D
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Software Developer,"Maryland Heights, MO",,"JOB SUMMARY
Develops, modifies, enhances and implements software systems designed to support new or existing business initiatives. Projects are usually of considerable complexity and require a strong knowledge of development tools. Works in most phases of a project and may review work of less experienced staff members. Performs maintenance and provides technical assistance and advice on existing software solutions.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently supports all efforts to simplify and enhance the customer experience
Oversee the configuration of the PPM platform to ensure it meets the needs of the users and is current on available features and functionality
Responsible for working to develop, design and own technical solutions within the on premise version of CA Broadcom’s Clarity PPM tool



Education
BA/BS in Information Technology, Computer Science, related field or equivalent work experience


3 to 5 years’ experience with DBMS
3 to 5 years’ experience with coding, testing and design
3 to 5 years’ experience with software development methodologies


Office environment
The health and safety of our employees and candidates is very important to us. Spectrum has adopted virtual mobile recruiting tools that allow us to continue meeting new candidates. We look forward to “virtually” meeting you.

The Spectrum brands (including Spectrum Networks, Spectrum Enterprise and Spectrum Reach) are powered and innovated by Charter Communications. Charter Communications reaffirms its commitment to providing equal opportunities for employment and advancement to qualified employees and applicants. Individuals will be considered for positions for which they meet the minimum qualifications and are able to perform without regard to race, color, gender, age, religion, disability, national origin, veteran status, sexual orientation, gender identity, or any other basis protected by federal, state or local laws.
Bullet points to add to job requisition:
Required Skills/Experience

C# web application and API development ISW370 325880-2 325880BR",2d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846cb01248a914506fc57605ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bc37683d&cb=1668270814124&jobListingId=1008268822445&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghmb04jjkuha801-1ghmb04klj4hn800-c80748b8e41da135--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZtUcPIRmxmMDU8whnts_XJUmJmGK4Ml6CMAz1df2I9P7H_42bs71_isELpx6Ja8gUmQcN31mk5QDXSRcL_nDfPrieVcJiSc8dHtyREjG9Va6hxFH1CyyWGMlUs66QZUzlrV16hU3EjEdkiU7ZI-VeuBwQRo1ieo6qMZlvJ7C-w9ueIHjAnPH0iUGfNtKQ4dnSv5SCwtWkQjgZHrZnmvMMYOoFTRubIumt12sV283qJG6EzxXab147I7Ng4c76eNXVGRxpfDHv8qpVJ0drwxcLOoDcjHx21hVlUANL5YdzscrYRZiqFnMJ-6pNheyFbWdeGql49Dl_QahnY_VMX4ruqwUGEBBXS3BVuThm2DTZG-XDj5rWQ7M1EScUPwa4ddzD8%3D
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Software Developer,"Maryland Heights, MO",,"JOB SUMMARY
Design, develop, modify, and implement applications and/or services designed to support
organization’s applications. This position will code and perform unit and integration testing of
software to ensure proper and efficient execution and adherence to business and technical
requirements.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently supports all efforts to simplify and enhance the customer experience.
Write code and programs in Java and perform unit and integration testing of software to ensure proper and efficient execution and adherence to business and technical requirements.
Serve as secondary escalation point to resolve incidents and problems for production applications and web services supported by the team in accordance with identified Service Level Agreements.



BA/BS in Information Technology, Computer Science, related field or equivalent work experience


IT Work experience designing/configuring systems/applications working in Java restful service
development (current version Java 8 used) - 3+


Preferred Skills/Abilities and Knowledge
Preferred Education


IT Work experience working with Relational Databases (SQL based) Technology agnostic and
experience working with multiple technology stacks - 3+
Experience working in Telecommunications industry


Office environment
ISW301 327225 327225BR",2d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846cb01248a914506fc57605ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_271a334c&cb=1668270818109&jobListingId=1008269368714&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghmb04jjkuha801-1ghmb04klj4hn800-40264a8bef02a7f2--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZvIkY8mfCkN-b6lhRxuEHUwE9cCvRx4MSbGKaoJ5p1pIbq--vaPTBiOvINpsQN2q84YC42HGXmAPb4JBNWUNabQBBUHeuSgIdMDKvDagCywbmJKW8W9uxC5Om2CFO6uhsjkp7IL4itA8ZLctMNj4jrQ9UwhZwRR2S0ZKQo40p3OtzW5Lg3QcFoCV_Zq_FjTG-WgW1D-Dh9nz4cvr05TtHualuwdFiKYa4jvjiVNYY-In8-fbX16UGAY8LrK4eACdNJ5Rp-qJq6Kr6hBGqbtZ0Olw2QtqjgT85HeoVnxjnu0hZ5NJiGSTvprIh7TNJlJIZGmZosYMuaGaFUzrpXn_kFwsOS0lAmmRGgjfl6v6YpwOOlp6XEGXyCg8P6tXq4NwKM%3D
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Software Developer,"Maryland Heights, MO",,"JOB SUMMARY
Designs, develops, modifies, enhances and implements software systems designed to support new or
existing business initiatives. Projects are usually of considerable complexity and require a mastery of
development tools. Works in most phases of a project and reviews work of less experienced staff
members. Performs maintenance and provides technical assistance and advice on existing software
solutions.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently supports all efforts to simplify and enhance the customer experience




BA/BS in Information Technology, Computer Science, related field or equivalent work experience


Experience with major DBMS - 6+
Experience with coding, testing and design - 6+
Experience with software development methodologies - 6+


Preferred Skills/Abilities and Knowledge
Preferred Education
Preferred Related Work Experience and Number of Years


Office environment

ISW353 327197 327197BR",2d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846cb01248a914506fc57605ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1d93c90e&cb=1668270821003&jobListingId=1008269368666&cpc=2CAED5C921A5F994&jrtk=3-0-1ghmb04jjkuha801-1ghmb04klj4hn800-a2f08079f2dc8254--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZvIkY8mfCkN-QxU4fa76EpRWYLOJZViEJIf0-BcPFIfC68LITTFpLWX3SYg7xx-RQp8yMsQZZmdl9tOcjGoOAwk2GOh_VOjfZX2dCx9W5G2XfBG3BGlW6R06FW13kcMbLen6luFhjPgMQSStmMG0NVWhlsdZY-MUKAXAzxp8MVyh1Dlnjq34XSkZx1NhxA1a8bjCOBh0dMcMnjDt_P-hXoqZh1Wi93fbFJGqeFdBiUKFQKIqtavqUbTeB00HUeAEYREURLMsomBlUVdr9cX5S4VBgURIaOmzVn3lmX0ZzCR4o6WIpvP0Bc5If5eaXly6NnKlM0Ws66ddDveMa5CGp4MI4nnUiUbTSGGE3vg9vyo0ZVcj0WNoFE79f_7Z1m3rZo%3D
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Software Developer,"Maryland Heights, MO",,"Company Overview
Spectrum’s Product and Technology team creates, develops, and operates the nation’s fastest mobile service, most reliable internet service, most viewed live TV app, and the most advanced WiFi, serving nearly 100 million users and 500 million devices. We are transforming the next era of connectivity and entertainment experiences together.

This position is eligible to work in a hybrid work model (combination of in-office and remote days)

JOB SUMMARY
The Associate Application Developer will build fundamental products and features that directly impact the consumer experience. The role will create innovative solutions by developing and implementing applications.







Bachelor's degree in Computer Science, Engineering or related field


Android/iOS application development experience - 1-2 yrs
Software development experience - 1-2 yrs


Office environment ISW347 325009 325009BR",2d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846cb01248a914506fc57605ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_87c0130a&cb=1668270822967&jobListingId=1008268822132&cpc=2CAED5C921A5F994&jrtk=3-0-1ghmb04jjkuha801-1ghmb04klj4hn800-8d5f8718b389c34f--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZtUcPIRmxmMDamkUNot0neFIfr0rMpAGjavT1WNv0cGi5tEELLHFjIr1geJSOc_W6pHhThSxTM4R8isr7kquk_RCnAu4V8HGf2R_8cuTKP4ZgEDfPUffyT1t16Y0pEMHpjq4AHlMOt7L5ttNMaZTtEOrVXayDJ6RjChep_B08nWSDQRNmIJVpTJRfxC3m4HcmzslmWINHOWJd-pqzjUJK-xXdFznxzcG4BVGkLe1ncIx1cXq8CoMWlvBuTiyFa0TKbBmyjBTPvtttmODLJFey2Dp-ClMdwjMgHPiEfWqtK38MtvuR_A0ZJ9JSI2ucOWVOhMI-M5B07fPX3dd_PQOr19iMi6JgYmdaoiJGisz_zc0ribylU6gnKA-c7R48qJogU%3D
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Software Developer,"Maryland Heights, MO",,"JOB SUMMARY
Develops, modifies, enhances and implements software systems designed to support new or existing business initiatives. Projects are usually of considerable complexity and require a strong knowledge of development tools. Works in most phases of a project and may review work of less experienced staff members. Performs maintenance and provides technical assistance and advice on existing software solutions.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently supports all efforts to simplify and enhance the customer experience
Oversee the configuration of the PPM platform to ensure it meets the needs of the users and is current on available features and functionality
Responsible for working to develop, design and own technical solutions within the on premise version of CA Broadcom’s Clarity PPM tool



Education
BA/BS in Information Technology, Computer Science, related field or equivalent work experience


3 to 5 years’ experience with DBMS
3 to 5 years’ experience with coding, testing and design
3 to 5 years’ experience with software development methodologies


Office environment
The health and safety of our employees and candidates is very important to us. Spectrum has adopted virtual mobile recruiting tools that allow us to continue meeting new candidates. We look forward to “virtually” meeting you.

The Spectrum brands (including Spectrum Networks, Spectrum Enterprise and Spectrum Reach) are powered and innovated by Charter Communications. Charter Communications reaffirms its commitment to providing equal opportunities for employment and advancement to qualified employees and applicants. Individuals will be considered for positions for which they meet the minimum qualifications and are able to perform without regard to race, color, gender, age, religion, disability, national origin, veteran status, sexual orientation, gender identity, or any other basis protected by federal, state or local laws.
Bullet points to add to job requisition:
Required Skills/Experience

C# web application and API development ISW370 325880-3 325880BR",2d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846cb01248a914506fc57605ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dee52633&cb=1668270824873&jobListingId=1008268822439&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghmb04jjkuha801-1ghmb04klj4hn800-6a9b71c41d5f1adc--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZtUcPIRmxmMDXGJ7K0XNMmzh9DQJmxhiM00f_zIPyUgyb1FyrW4bv6cB3ue-GrCpB6L9KFRrfu1rRwJ89_U4OIPo6iBZe3bV8wv4c1eLFXXQTMDHKFTWlNSN1zskPLiA0DmUio85CgJzwfRn1ycinO3v3yISJ6BUMbIjmdTLxmMgrcwwC0CNv5Tp75mP2FOTUHMLdGtUbfvU84y6DdYYYZ0vEya0LNF5YHj3euBXHU892SzCeK-P6GUPE6MDq30Q2U28aK2HRTlyi_d7rqDp7Hde1at9vkxSkQxVXZVCo9Fhk7f3dC6di7Hi1WFtJrS6f52EiUU9QmqNsIvrjvMNNbUNtN0DdwN7IYy6p1tTOW_RJqCtSdfnL4fS77bZqp7hAI%3D
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Software Developer,"Maryland Heights, MO",,"JOB SUMMARY
Design, develop, modify, and implement applications and/or services designed to support organization’s applications. This position will code and perform unit and integration testing of software to ensure proper and efficient execution and adherence to business and technical requirements.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently supports all efforts to simplify and enhance the customer experience.
Write code and programs in Java and perform unit and integration testing of software to ensure proper and efficient execution and adherence to business and technical requirements.
Serve as secondary escalation point to resolve incidents and problems for production applications and web services supported by the team in accordance with identified Service Level Agreements.




BA/BS in Information Technology, Computer Science, related field or equivalent work experience


IT Work experience designing/configuring systems/applications working in Java restful service
development (current version Java 8 used) - 3+


Preferred Skills/Abilities and Knowledge
Preferred Education


IT Work experience working with Relational Databases (SQL based) Technology agnostic and
experience working with multiple technology stacks - 3+
Experience working in Telecommunications industry


Office environment
ISW301 327232 327232BR",2d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846cb01248a914506fc57605ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_198e9872&cb=1668270828798&jobListingId=1008269368636&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghmb04jjkuha801-1ghmb04klj4hn800-d5edef8d3651955f--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZvIkY8mfCkN-d9Oqd8GZPvf9AUbG3jmiazAzZ-QcgIMWJaF1UmDm_JSGFIdu6VbcUUGDGKli2off1yWEsuxGey6DuB8WDYT1iC36q6mMHkudKy9r7sAitMuI1WUBqASACU8NwlNJRznKhBtMvw7S_7qfaPVAIXJEQPu0RS49LGTSsGGNbxHgHvysDHlbLO-G_VLO3AN6gD8BqU5sBpT0t4_22RSHqcBi7wV3M0I2rJ9tRkKHgM9QkuPBv1KTosFYiCuhkOybHaHIyGM06_lBZMDTSuWA3pOmdzAvvcL_JkfOoqh-W_n7x7IckInqQtp09jq9ffN5UpJywybw1iKwFRXcDv_6NZCkc2_p34TpprBFDOl7WvZ04dUuZKLMaTFi_M%3D
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Software Developer,"Maryland Heights, MO",,"JOB SUMMARY
Develop, modify, enhance, and implement software systems designed to support new or existing
business initiatives. Work in most phases of a project that are of considerable complexity. Perform
maintenance and provides technical assistance to the business on existing software products.

MAJOR DUTIES AND RESPONSIBILITIES
Actively and consistently supports all efforts to simplify and enhance the customer experience.
Code and perform unit and integration testing of software to ensure proper and efficient execution and adherence to business and technical requirements.
Code, test, and debug new software or makes enhancements to existing software.



Ability to read, write, speak and understand English
Technical knowledge of IT field and computer systems
Knowledge of Voice, Data, Video, Wireless technologies
Understanding of software design patterns and principles
Ability to identify measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system
Ability to deal with ambiguity, uncertainty, and incomplete information when evaluating alternatives and making recommendations
Ability to work effectively within a team as well as manage individual tasks


BA/BS in Information Technology, Computer Science, related field or equivalent work experience


Experience with DBMS - 0-2
Experience with coding, testing and design - 0-2
Experience with software development methodologies - 0-2


Preferred Skills/Abilities and Knowledge
Preferred Education
Preferred Related Work Experience and Number of Years


Office environment
ISW334 327211 327211BR",1d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846cb01248a914506fc57605ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0c91606a&cb=1668270830731&jobListingId=1008273223483&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghmb04jjkuha801-1ghmb04klj4hn800-84fec042c203e123--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZv12XAN5quHOtmi6tuMngPjSWATybD8plne354nvR19uSfKNEfqAiiHsyE6QMyGl3_3pUDqvWm4vVjT6rSvj8Gscn8i226kL6A5rmmNppWhDM60qsi_VmMGBy3ZVoKq-FcrrlDJsvHEEFAiR1hNsy-OGugTrIW1MCHv1yMPCWly5D4S-pFCTuiWE19SoFz_EsUwDdH4zBa83tPq97MhTmvZnlmeK025xiR17jRL0O9VUG4Xy8pDMSPe7_24LGxoxlEjwgtVpD6Bm4icGlXEPQvkRy4ScBk3hM_Ua6NG6_K1xwd6xsRycchOJkX0Ph6L8b5utryHR4cUpd6Fc_SmPqnoYEHHPJmHm1V1L_pXeNBm2CLXIpv-dJg93IlIHmEhsPo%3D
