Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Impact Technologies', '3.4']",http://www.impact-tek.com/,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),"Technical Applications Level 2 Support Analyst
Impact Technologies, an established, entrepreneurial company where every individual makes a difference, seeks a Technical Applications Level 2 Support Analyst for providing high quality service to our growing list of customers.
Whether you’re looking to advance your career, wanting to reenter the workforce or tired of working for a big company, we would like to start a conversation with you. In addition to a competitive benefits package and salary commensurate with experience; we offer significant, challenging personal growth potential and the opportunity to work with a talented team of individuals.
Responsibilities",30d+,
"['Comcast', '3.9']",http://www.comcastcareers.com/,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),"Comcast’s Technology, Product & Experience organization works at the intersection of media and technology. Our innovative teams are continually developing and delivering products that transform the customer experience. From creating apps like TVGo to new features such as the Talking Guide on the X1 platform, we work every day to make a positive impact through innovation in the pursuit of building amazing products that are enjoyable, easy to use and accessible across all platforms. The team also develops and supports our evolving network architecture, including next-generation consumer systems and technologies, infrastructure and engineering, network integration and management tools, and technical standards. We offer a flexible working environment to balance the need to work independently wherever you choose, with days that require collaboration at one of our offices. Our roles primarily reside inside or around one of our Tech Hubs (Philadelphia and surrounding suburbs, Denver, Austin, Silicon Valley, Washington DC/N. Virginia). Some roles can work virtual full-time if they are not near a Tech Hub, but that is dependent upon the needs of the position and amount of collaboration required.
Job Summary The Technology, Product, Experience (TPX) organization works at the intersection of media and technology and our innovative teams are continually developing and delivering products and next-generation technologies that transform the customer experience. The Comcast Network and CONNECTivity (CONNECT) organization is a highly agile, fast-paced, dedicated group at the forefront of change focused on innovating, building, and operating the best in class, most reliable access network for our customers.


We build platforms to enhance self-help features, automate repetitive tasks, create dashboards, isolate anomalies with machine learning, and increase the number of auto-mitigation tickets with unified modular platforms that talk to existing comcast tools and vendors. We build network automation platforms for maintenance, fixing, universal upgrades, self-help, monitoring and reporting supporting Arista, Juniper, Cisco, Nokia, F5, A10, and Drivenets.

Several of our team members were network engineers that supported our operations for the comcast network including our Backbone, Transport, Firewalls, and Data Centers. We support tools that automate tasks for network gear including routers, switches, load balancers, and firewalls for daily operations, performing maintenances on equipment, repairing trouble reports, and ensuring network capacity including implementation and decommissions.


Our team of full stack developers uses a tech stack including Python, JavaScript, React, Nodejs, Express, Django, Mongo, Postgres.
5+ years of JavaScript(NodeJS/UI) or Python experience
2+ years of developing UI
Understanding of object-oriented, functional, and modularization programming
Experience developing REST APIs
Experience using Linux command line
Experience using GitHub and
Identifies and solves complex problem; analyzes the issues and suggests possible solutions
Exceptional written, verbal communication and interpersonal skills
Possesses a positive attitude, is detail oriented, and collaborates on a regular basis
Ability to communicate to the business owners
Ability to work independently and works extremely well in an Agile/SCRUM team setting
Great teammate and effective communication skills
Experience with distributed applications, high performance applications
Application monitoring, logging, and alerting
Experience with continuous integration environment
Experience or knowledge of React or Angular 2
Experience using NoSQL (MongoDB/memSQL/redis/, Postgres) databases
Experience or knowledge of automated testing
Experience in the Transport or Access Network technologies


NA&TT, Network Automation and Telemetry Team, mission is to partner with network engineers to build platforms to collect and display information that used to take hours and now takes minutes helping our network engineers transition from reactive to proactive support. We currently have seven developers and one business analyst located in Philadelphia, Denver, and Pittsburg CA. Our work will be guided with our commitment to innovation, listening & mutual respect, health & wellbeing for everybody, high standards of excellence, and empowering each other to make decisions that improve our work that benefit our customers and Comcast. One of our team’s main projects is a Universal Upgrade tool that can upgrade routers and switches from all vendors in Comcast along with a validation tool that checks the network before and after a maintenance to isolate changes for the user to identify any unexpected outcomes and prevent outages.


We are determined to create an environment where our employees feel valued, understand our business goals, and are motivated.
Here's a look at just some of the perks and benefits we make available to our US-based employees:
Medical & Dental
401(k) Savings Plan
Generous paid time off
Life Milestones - from adoption assistance, childcare resources, pet insurance, and more, Comcast supports you at all life stages.
Courtesy Services - We offer all of our full-time employees in serviceable areas free digital TV and internet.
Discount tickets for Universal Resorts, including theme park tickets and onsite hotel rooms.

Learn more at https://jobs.comcast.com/life-at-comcast/benefits ( https://jobs.comcast.com/life-at-comcast/benefits )


We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, perform essential job functions, and receive other benefits and privileges of employment. Please contact us to request accommodation.

Comcast is an EOE/Veterans/Disabled/LGBT employer.


This information has been designed to indicate the general nature and level of work performed by employees in this role. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications.

Comcast is proud to be an equal opportunity workplace. We will consider all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other basis protected by applicable law.
Education
Bachelor's Degree
While possessing the stated degree is preferred, Comcast also may consider applicants who hold some combination of coursework and experience, or who have extensive related professional experience.
Relevant Work Experience
5-7 Years


$105,260.37 - $157,890.56
Comcast intends to offer the selected candidate base pay within this range, dependent on job-related, non-discriminatory factors such as experience.
Base pay is one part of the Total Rewards that Comcast provides to compensate and recognize employees for their work. Most sales positions are eligible for a Commission under the terms of an applicable plan, while most non-sales positions are eligible for a Bonus. Additionally, Comcast provides best-in-class Benefits. We believe that benefits should connect you to the support you need when it matters most, and should help you care for those who matter most. That’s why we provide an array of options, expert guidance and always-on tools, that are personalized to meet the needs of your reality – to help support you physically, financially and emotionally through the big milestones and in your everyday life. Please visit the compensation and benefits summary on our careers site for more details.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846cf321af9149bb493f79b55b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2537df68&cb=1668275195885&jobListingId=1008158124307&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmf68f0i16u801-1ghmf68fighpk800-cddc67aed9e39101--6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZlTAgGmdtIUzoKTi6fK6WvYvtH1MB0e-oBkuAyfRtmB52lE9485R514E256UWFq9SKZ013Noer4zvRFk163uS5Aj2XCfuzvsqkjDBGmkp3i9a_K63r-B1Nnh9Q8iI7snoBaeMjxcvM6FWWYa1JLwBOj8ztMX1WJUtYuV7llZZ7PRsqmSaE64U2dZFmq0XasxDIdJXv8RnBu-NoH4q9aIqwTIR-QGQZiX_gCzUvad7g0u9HpbyYBiQaKb-v3NeUmDftFMGNbrlD9aYXztCmtGKEdQ59_W1yaFQfWeptmmEaDD5QYW6WuxIG-j-WQpLa4RoBPzd8mIdlbCSqf05_IzHCahtCpewwEWRh_E7dVO536SOWbWn51H5EItBUG6y_GYDLZKMIIirWdn7ka2IJkEbhaHp-501AaWQz38UzMIcCLiSFdv8bsnNFDx4wVzZhONFgCFjQmtFpH-JKPtUc3mnCM28Bo_InFlh4MUiD8U7R7LZlI2T9F9hu7auPcYvuopMPy56yzkNN3MaOQiO7MwK6RGX4T5vEluz0c81KL2V0cXtxFJRKhAWsG1Xjlzj4aZNICCsVv9KQvERlogAc8bXqS8SuvbrZwqJQDmuIdhS7QiMZNQn804JLYhB17E2ln6mPc5qGWhkPE3Np8YtImkUpnYc3zV0AXkclEEYxEOG-VJBVxN61KSONRZ-z-AMjx5fSNIpL9FBiYMQCvXhcy2Rz0V5lmferqcGxnwXIL0fyoZ0MN0I-D89lF-ihltp9eGohFDxuSpzpT-CFRXeotwEO6QaT2EwVS6uG_4FxbPbee63sPGMnWD-bhHz8K0W-mLKpjIDhu2XaRiV0Va_OUfkTL_YuvhI1BqdExpM-Vs3z-Cbm6d-1Q6pAN1oXCkVQOax3grZL0vv0nyvbA3MMU2KRen-ZrYVBbQJ2DTOrNgMxbsjA1h1sLhUJymuPlT1ZPGD_9M2SZr4_761WVZxOk4rpkBa6ypX084NzTrvz3ti_H0vAy5HRgrEjh_Y9nyuLTdraJn3Di1-KmRIP3EYdrit13yVM3-2pX9BdvPDD5sp4T3G_81-hNYysGVmUTom0eGvHiz38ShYT2fSYXQSHznP96RrpYR1Kb2OmE5HGMy0Nf4TvRzqRETHsApZFPexI6TzcpY2Rv7w0OsVxDg5k6k-h8AKt-Hg56bstyrjxCP2HlT
"['B4CORP', '5.0']",http://www.b4corp.com/,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),"Position Requires a Top Secret (TS/SCI) Clearance with a Polygraph.
Estimated Salary:
Position Level: Level 1 – Subject Matter Expert
Salary Range: Up to $230,000.00 per year
B4Corp Estimated Salary Ranges:
Position Level Min Salary Max Salary
Level 1 – Subject Matter Expert $160,000 $215,000
Level 2 – Expert $140,000 $195,000
Level 3 – Senior $110,000 $170,000
Level 4 – Full Performance $60,000 $100,000
Mandatory Requirements:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846cf321af9149bb493f79b55b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2d99ef84&cb=1668275199870&jobListingId=1008200222876&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmf68f0i16u801-1ghmf68fighpk800-95b847abac94fd11--6NYlbfkN0BBcNHvdcwdm3ewH9kjvka83ftEJjxlat_DdA1S80VRS6k0mxP7wnwmAsSRP66qfkz8nGjHu-3NBEx3x1kbKNa4Gv38ViBzp-0BBNMVBYnGvXGXsEXtYWZ-mfPmLX_Pmp-PEsTe6K4hmdRf3R7vC4MUNvyv5p1haHWKzqnAtw7ZbpkYYVbBjfSKf58bPKfiwhCQNiZYL1CCMTgA-1YS40nEz-77L5QXWdShJg4LZEvzfcEUJNPl96TnOux5HxAgQZS1DdCaOf8DFNd-3hxPktdEbwLfM6-K0trntuB4WujbiRxk3PMaaVUof-cIsjqAnhr8kdPXwxMU7kOi9n-a3glu5BG0m4TJ1lWXYEmIpTvfRecEC2ofklPBG0TEVEOhgCYyOZmRzuHyd0vxOQLbd2gafvspdhkEGVze_ltZR_KdhnCvsjiBsJWsXNkO82ZCf3eSwlB1OGgmNLt_zRpPkxzXhL6M5In-9hfXxYuHsdeYgNykhcGBM9u3cKdZ6AowFfzVdKOMq4zPsw%3D%3D
"['Teacher Retirement System of Texas', '4.0']",http://www.trs.texas.gov/,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),"WHO WE ARE:

The Information Technology (IT) Division lays the foundation for TRS to deliver excellent service experiences across the organization and with our members. We serve with purpose through mentorship and collaboration across a diverse team unified by innovation to create technology and information solutions that have a positive impact on our members’ lives.

We invite you to join one of Austin’s Top Workplaces. TRS offers a best-in-class combination of technology and continuous learning opportunities to equip you to solve problems, expand your knowledge, and create impact for 1 in 20 Texans.

Position Summary






Veterans, Reservists or Guardsmen with experience in the Military Occupational Specialty ( http://www.hr.sao.texas.gov/Compensation/MilitaryCrosswalk/MOSC_AdministrativeSupport.pdf ) along with the minimum qualifications listed above may meet the minimum requirements and are highly encouraged to apply. Please contact Talent Acquisition at careers@trs.texas.gov with questions or for additional information.

To view all job vacancies, visit www.trs.texas.gov/careers or www.trs.csod.com/careersite.

For more information, visit www.trs.texas.gov.",22d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846cf321af9149bb493f79b55b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_291c42a2&cb=1668275202784&jobListingId=1008222486982&cpc=8795CF9063CD573D&jrtk=3-0-1ghmf68f0i16u801-1ghmf68fighpk800-db216ef351cd1f78--6NYlbfkN0A-4NqhFQaKCxuVMiRc-2lQwP7DMkkolaV9lBvmPaRBkbP61G_S_tMSi2LwpaqeiDai_NX8mRpAHpAwTM1lx3yBCVhlP7w7ZjQO6ZKx9mdUso-dOpLC4S0uskMILp9vvWKE3aK40dDR29Lhhu9Qym0nxmLZtC8_mq-kPtMFC-KMcu94ZOUwJ-Br3cqUN5c5vEZpLNML7gnqcG4p96j4kVdeRH-RQa-mZSiSUTSiFWmIdZqyL4IHVqWrQ6RLEhagYr6mNQ4sxHCLhCUFFqa4EVnK5TxbvYWn_L5YfGemwyypIJ-dTUtQvymt2eyIxKZtvLBzxNMlKWYwrjSC676dXO7anbTMZMze8bnyn66rmy6g2_GlahOc2yrl9r6ypFG3Pt3ELN3wq6JTwycFPu2iwy-nPoK5jalerKQoGQ-UDCE-Y-7dQC-FG6kunOj94TU5eMinRR3_h2EXqEkBkSoSzhiQJ2-26fLXSYh_7gEqYQF6CWqMz4n07TIFVwYUpwNr5FihgCTC6zTTKxFL4fxMvr8hOaCwTWdHT51dPS8ggI0TQg%3D%3D
"['B4CORP', '5.0']",http://www.b4corp.com/,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),"Position Requires a Top Secret (TS/SCI) Clearance with a Polygraph.
This role provides User Interface and Human Factors design, development, and maintenance of software applications using a tailored SAFe Agile DevSecOps process. This role analyzes existing systems, helps develop requirements for new systems, creates wireframes and mockups, understands best practices and works with application users to create modern, clean, intuitive applications for mission. Duties also include software requirements analysis, Section 508 requirements implementation, risk identification, risk mitigation, and collaboration across Agile teams. Flexible cross-training to also provide systems engineering, software development, training, security, and testing is also desired. This role is an expert on creating intuitive user interface design for analysts, targeters, and data scientists.
Primary Responsibilities:",16d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846cf321af9149bb493f79b55b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2d1f2239&cb=1668275206726&jobListingId=1008236515192&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmf68f0i16u801-1ghmf68fighpk800-b372da1bb74d61e7--6NYlbfkN0BBcNHvdcwdm3ewH9kjvka83ftEJjxlat_DdA1S80VRS6k0mxP7wnwmAsSRP66qfkz7Nt4gD2NrQlLafJDegKqJMp0di_lSAkNtxnYaNpVFvTiFpACp_SYxKSRIBLSezhMglYjRgl8GyC8frE5ZssgDl2ez-ExoM0VzgDhj_agkKpypf2cvdrjBRdFt7C6fo-UO1MvX7fhieHgO38-Cv37t5D39PKwl0frh19Zw661ApZF4rD5u6TJlt7ZNWC5E1ElkhmX_8R78xwOpDVpWkF3JmJ-D2IxD_rSR7gXULSi07KgXMZYPCpjHofBauTc_u6yJavgLQjCZCfGc1uwRbSD5YhFCQ0D9M6_dHBVi3oJOA4SCK9jn_FSPZXsfHk1mn0BYh8MNLa93ZC0WeFcAt5lnvSoOrvHFx1VORy5jmmEZDqfvFHmMkSG1jmpg5hdFR1ahC7MNDVe8tb82_mDYCFvEi5XpiSyORu4w7IuS14V1rDCA1XDZYCb6ApksIf3yaN4%3D
,,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),,18d,
"['Verizon', '3.9']",http://verizon.com/jobs,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),"When you join Verizon

Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect across the globe. We’re a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.


What you’ll be doing...

Join our IT team to develop the OSS system that is part of Verizon’s next generation network. The OSS will activate customer, infrastructure circuits and test, detect, diagnose network faults and performance issues. You will be applying network and software technologies to solve complex issues occurring in operating state-of-the-art telecommunication networks.




In this hybrid role, you'll have a defined work location that includes work from home and assigned office days set by your manager.




What you will need:


Even better if you have one or more of the following:







We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.",3d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846cf321af9149bb493f79b55b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_aeb204b5&cb=1668275211596&jobListingId=1008268618528&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmf68f0i16u801-1ghmf68fighpk800-3640ee8ce6df3a59--6NYlbfkN0BCNs6bE--Mn_ADd0RyzMq18ZUxdybwefWV8heO_C7Y93WSfGMHAxRcPMkC0WMj4olhf8pRkJ3Iqx_pZwoIJKUdeLeLzEz6X4vrbXLWznKXo1oeRhPvm_6eBpRV4LKrvRyI8yWm-aBefpl9Pky9jWUG7pg7XwLD7fktQvPErYFZurMH_yA3iRUkxk04Swd2eZipSLawITW7tXxVWo39o_J3pq_nSB9FnfzjLcMmDLV6Bqhvp1ddI9GW1G1zbt0aF3wMWp8s2M_gSU_UMyq-9KFDAln-WaTLkZ3nyMUYjfM_taZrUruvrLucQPfrhTnmjbSpq7UREC67Hik5OngID9p5sCm4OloLujv429eFv3hRTc2jv3TeLvznyyDF1A1xOnLctByDISij5MjEg_Eam_d5MN6ieTUqBo5VFZ2WWrEPXF6uEjCOtW2C1v5XPnbTI5YeEjyuo775TGs2k6S1iU83Mc_NJHPZMMZ6frPMzpU4sPjcMldwOuAjelNJBOzp5MrWwmBInKPqfnMk6VqApen7PxipGTEMRMOHrkKq9d3GVVX_svGaCTKM_FjpdWo0xg4vpF9vYvEXdtreVGN_tGIuBRUvbCrSa-2PWSBsNSeLckCls_S-pSufoCxzjrpbQk2InxxfjFEZU7ChYjFpPe8b89L9gtQlBOjVC6stPDXSiSnrucEkmja6Dak7NG7c5EUL9LI9dH512czEM0JvsKhTybBGu_cSvXcwSALeCQFmDZ8r1gSbAzMS
"['Rivermark Community Credit Union', '3.3']",http://www.rivermarkcu.org/,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),"Summary
The system engineer role is to contribute to the reliability, availability and functionality of all infrastructure components in the Rivermark environment. This role may have mid-level responsibilities and skillset in specific domains such as virtualization, storage, telecommunications or security.
Primary Duties & Responsibilities
1. Installs upgrades and manages Windows operating systems and associated functions, such as managing users and groups in Active Directory, DHCP, DNS, WINS and IIS.
2. Installs upgrades and manages a comprehensive list of applications, including, but not limited to VMware, storage area network, Microsoft Exchange, Citrix XenApp, remote assistance software and server backups.
3. Installs upgrades and manages applications specific to a financial institution.
4. Analyzes and tests network systems to determine efficiency, reliability and enhancement.
5. Works with Database Developers to set up, move and decommission SQL servers.
6. Monitors performance logs and resource utilization for all software and hardware systems described above.
7. Troubleshoots network system issues for problem resolution. Interfaces with vendors and consultants to resolve problems as necessary.
8. Researches, recommends and assists in procurement of hardware and software related to servers, server equipment and the storage area network.
9. Participates in Business Continuity Plan development as appropriate.
10. Works with the Information Security Manager, and Technical Operations Manager to ensure data center security and integrity.
11. Provides documentation for procedures, project tracking and management reporting.
12. Assists in maintaining accurate records of LAN/WAN wiring, network node address information and group drive mappings.
13. Administers network user accounts. Assists in the configuration of web content filters and responds to related end user help requests. Assists in the configuration of email filters. Responds to related end user help requests.
14. Works with managed security partners to investigate security events and adjust systems to provide optimal network security and access.
15. Provides second-tier support to Technology Support Specialists.
16. Installs, configures and maintains network servers.
17. Assists in providing support and problem resolution for end user network issues.
18. Assists in the design, implementation and maintenance of network/communications infrastructures.
19. Works with ShoreTel Communicator and Sophos Antivirus as necessary.
20. Maintains relevant technical knowledge through continuing education.
21. Seeks ways to streamline work processes and continuously improve the Credit Union.
ducation/Experience*
Minimum Associate Degree with courses in computer or network technology, specific technical training, or equivalent experience. Minimum 5 years experience in system administration or engineering role. Microsoft, Cisco, VMWare or other domain specific certifications are preferred.

1. Hands-on Microsoft Exchange administration experience (2013 or 2010).
2. Experience administering IIS and issuing SSL certificates preferred.
3. Citrix Netscaler experience preferred
4. Familiarity with DevOps practices and system automation preferred.
5. Advanced knowledge and troubleshooting ability of current versions of Windows server operating systems.
6. Experience working in a Microsoft network environment and experience with current levels of Microsoft Windows releases.
7. Strong familiarity with network administration software.
8. Experience analyzing, testing and evaluating local area networks and wide area networks.
9. Basic knowledge of SQL Server Management Studio administration preferred.
10. Professional written and verbal communication skills, including the ability to effectively communicate issues and resolutions to all levels of the organization.
11. Ability to handle ambiguity, heavy workload and large amounts of detail without becoming frustrated.
12. Strong interpersonal skills and the ability to influence vendors and others without having direct reporting authority.
13. Detail-oriented and skilled at project execution.
14. Critical thinking skills to identify strengths and weaknesses of alternative solutions, conclusions or approaches to problems.
15. Ability to work independently, with a minimum of supervision.
16. Proven ability to maintain the confidentiality of systems and information.
17. Ability and desire to learn and understand new technologies and tools.

This position has no direct supervisory responsibility.

Frequent contact with employees, vendors and other outside resources.",10d,
"['United McGill Corporation', '3.2']",http://www.unitedmcgill.com/,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),"United McGill Corporation is a family-owned company, founded in 1951 in Columbus, OH. With headquarters in Columbus, OH, we have a nationwide team of about 140 Associates. We operate seven manufacturing plants and more than 20 sales engineering offices throughout the United States. The Company has five operating subsidiaries and each has been active for decades. The Computer Services Department provides IT support and development to all Associates and departments throughout the Company.
Responsibilities
· Install, troubleshoot, and repair all IT equipment,
· Assist in the administration and security of the network,
· Staff the help line for hardware and software problems.",30d+,
"['B4CORP', '5.0']",http://www.b4corp.com/,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),"Position Requires a Top Secret (TS/SCI) Clearance with a Polygraph.
Estimated Salary:
Position Level: All Levels
Salary Range: Up to $200,000.00 per year
B4Corp Estimated Salary Ranges:
Position Level Min Salary Max Salary
Level 1 – Subject Matter Expert $160,000 $215,000
Level 2 – Expert $140,000 $195,000
Level 3 – Senior $110,000 $170,000
Level 4 – Full Performance $60,000 $100,000
Mandatory Requirements:",16d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846cf321af9149bb493f79b55b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d41a4ad8&cb=1668275222450&jobListingId=1008236515161&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmf68f0i16u801-1ghmf68fighpk800-249cad43fe326975--6NYlbfkN0BBcNHvdcwdm3ewH9kjvka83ftEJjxlat_DdA1S80VRS6k0mxP7wnwmAsSRP66qfkz7Nt4gD2NrQo9Abb-M9Sif8WE3e5w66j2h6rPxcW3kVUHTZHDlInJAr3NOGs3k8yVWDP2GKTpeRJofzvDd4FqNW200hQhVv-n5Mho6HAvw7WOUJYbPWojQ4_y5x-kuLt1mjImRhZ46Pe_TOsK2DDe0hu4ybkNNcovngu7VXqb5YPTnDP2cPH_ml5hBV53hO0w2-vmaTemTH0X8cGKuE9AnA-wX_US1izHEUU_pYpfEvTcKHuvwdgcl3PqOIPbwyzFgs4K85gVUQ980r5WCHovpsbJfEAjpK7oLEjaJLtfGicfJOZuewKo8O3y3zviK9rbJ4Yr95v-XUu90e_4juN2h7Fdiacpd7yka0XkSRItR62hxczOG2_9QN85Z_Yk8WZQ0psSMw3fbyplTNoLCKi9Q-8vSp0NDACghHRmb0eXlAA%3D%3D
"['SPECTRUM', '3.3']",http://jobs.spectrum.com/,Technical Applications Level 2 Support Analyst,"Chesterfield, MO",$65K (Employer est.),"** This position is eligible to work in a hybrid work model (combination of in-office and remote days). **

JOB SCOPE

This role will be responsible for development of automation, analytics and workflow applications, working with a team to enhance the efficiency of the application users. This position will require full stack development knowledge as well as the ability to work with users to gather, understand and implement solutions that are integrated into large scale applications. The role will require a complete understanding of relational databases as well as multiple programming languages including Python and PERL.

DUTIES AND RESPONSIBILITIES

Bachelor's degree in Computer Science or Engineering from a four-year college or university; or equivalent training, education and experience
Minimum four (4) years of Software Developer/Architect
Minimum three (3) years of DBMS with MySQL/MariaDB
Minimum three (3) years of Advanced HTML and Javascript, Dashboard creation, Workflow Automation

#LI-AK
#LI-HYBRID ENE308 325493 325493BR

Here, employees don’t just have jobs, they build careers. That’s why we believe in offering a comprehensive pay and benefits package that rewards employees for their contributions to our success, supports all aspects of their well-being, and delivers real value at every stage of life.

The pay for this position has a salary range of . The actual salary offer will carefully consider a wide range of factors, including your skills, qualifications, experience and location. Also, certain positions are eligible for additional forms of compensation such as bonuses.",2d,www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1110586&s=58&guid=000001846cf321af9149bb493f79b55b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_746bf6e9&cb=1668275227725&jobListingId=1008268822138&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmf68f0i16u801-1ghmf68fighpk800-1d5f80a8bae1dc90--6NYlbfkN0CeXNZYxOzgf11O9-TFJft4I5QLQjKTqoL33Rtx55G7TvJvoeF0OvnalWemQxNwsZtUcPIRmxmMDd7MXqHQG9S3eG4eH7RldzHWU8oaSHPu2zAC7gR43dQ4f9AW9HKTdc88gQ0zVX1VLA8ZBq3zYwbHN6E-0nt0vHVSif79Q3KbP6DwNUXKWQOIHDR2RJ839CJF4o6hH4zMXSJca0yuinuJO0PYiY0osanQjGbdzo_5MMHT9f93Y4S4bA1-MjZ1RcwG3GAAfwubW4jx2fUXinmrORkARTpQ1NRJQEmdzOKE995r4FwBQgYLjwAcTQbwwyID7VPJSHLG7Y6Pk60Hjlbxqe0blbSdjIK2J9IxKEHQz5wztxjFa8ByNNJZFXRgNMzDj7faovG2_Gdb2LkEBD7utWJuix56IF5OA_lMxeV1j99K5fjrmKE9cVwG95B8qY4%3D
