Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Citi', '3.9']",http://www.citigroup.com/,Application Developer,"Jersey City, NJ",$113K - $169K (Employer est.),"Responsibilities of this role is to either build frontend of the application, or else develop the REST APIs, or both. In short, we need strong backend, or frontend, or full-stack developer.
Backend:
Experience in developing Spring Boot APIs along with security and performance aspects.
Strong Core Java and functional programming experience.
Experience with relational and no-sql database, preferred Oracle and MongoDB.
Development of common, reusable components and services.
Responsible for peer code reviews, unit testing, leveraging CICD pipeline of an application.
Technology
Applications Development
Full time
Jersey City New Jersey United States
$117,200.00 - $175,800.00",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b7dd09c85dc4fceb996e5f2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ba00e789&cb=1668250724224&jobListingId=1008270028176&jrtk=3-0-1ghlnrk61kuii801-1ghlnrk6qj45o800-b0ca7468ccf6f30f-
"['Citi', '3.9']",http://www.citigroup.com/,Application Developer,"Jersey City, NJ",$113K - $169K (Employer est.),"The Director of Quality Engineering and DevOps is a senior technical hands-on and management level position responsible for the overall success of quality engineering standards, test automation, environment management, and operating procedures while establishing the productivity of our engineering teams. This position drives and delivers a ""test automation first"" strategy, and requires a senior hands-on engineer to both implement and lead a team of engineers with the same goal and mindset.

Responsibilities:
Covers automation of test methodologies including integration/system, functional, regression, acceptance, performance and scalability
Lead Quality Engineering global staff to deliver on business needs and strategic vision, including but not limited to a comprehensive automation plan
Technology
Systems & Engineering
Full time
Jersey City New Jersey United States
$200,000.00 - $300,000.00",17d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b7dd09c85dc4fceb996e5f2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8ec84677&cb=1668250727111&jobListingId=1008234328192&jrtk=3-0-1ghlnrk61kuii801-1ghlnrk6qj45o800-247e6bf28f2f6f2f-
"['Citi', '3.9']",http://www.citigroup.com/,Application Developer,"Jersey City, NJ",$113K - $169K (Employer est.),"The Applications Development Senior Programmer Analyst is an intermediate level position responsible for participation in the establishment and implementation of new or revised application systems and programs in coordination with the Technology team. The overall objective of this role is to contribute to applications systems analysis and programming activities.

Responsibilities:
Hands-on agile development of High throughput, highly available application with cloud-native technology.
Design, develop, deploy and support cloud native application for global use.
Conduct tasks related to feasibility studies, time and cost estimates, IT planning, risk technology, applications development, model development, and establish and implement new or revised applications systems and programs to meet specific business needs or user areas



Technology
Applications Development
Full time
Tampa Florida United States
$90,150.00 - $135,230.00",4d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b7dd09c85dc4fceb996e5f2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8a038ecd&cb=1668250730895&jobListingId=1008264307823&jrtk=3-0-1ghlnrk61kuii801-1ghlnrk6qj45o800-1805ff8bead2cf55-
"['Citi', '3.9']",http://www.citigroup.com/,Application Developer,"Jersey City, NJ",$113K - $169K (Employer est.),"Introduction
Citi's Institutional Clients Group (ICG) is comprised of diverse, talented professionals located in more than 100 countries, jurisdictions, and territories globally. Citi's Banking, Capital Markets and Advisory (BCMA) is one of four divisions within ICG and provides comprehensive relationship coverage along with a full suite of products and services. To be the best possible financial partner to its institutional clients, the BCMA business strives to meet the demands w of Citi's global client base through debt capital raising, merger and acquisitions, and equity-related strategic financing solutions.
BCMA technology is focused on building a cross-functional team of talented individuals, creating a unique platform to deliver products that will disrupt the industry through technical innovation and creativity.




Technology
Applications Development
Full time
Tampa Florida United States
$105,850.00 - $158,780.00",22d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b7dd09c85dc4fceb996e5f2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d998829a&cb=1668250732757&jobListingId=1008222889212&jrtk=3-0-1ghlnrk61kuii801-1ghlnrk6qj45o800-86b639f77bf27250-
"['Citi', '3.9']",http://www.citigroup.com/,Application Developer,"Jersey City, NJ",$113K - $169K (Employer est.),"Advance Data Analytics and Services (ADA) Team is a group within Risk Modeling and Analytics (RMA) Organization, responsible for developing libraries, models, and applications centered around the in-house big data platform. The team works closely with Risk technology and the RMA analytical model teams to leverage big-data modelling and solutions to complement the core modelling work. The team applies expertise across data management, cloud architecture and risk analytics to streamline the risk management processes. The initial scope of the work is on FRTB, providing tools and solutions to facilitate validation by model sponsors, reporting, understanding, and what-if analysis. The scope will then be extended across all product areas including RWA, CCAR, CECL/IFRS9.

Responsibilities:
Improve and support architecture and data stores specialized for risk model development (e.g. time series outlier detection and imputation)

Risk Management
Risk Analytics, Modeling, and Validation
Full time
New York New York United States
$101,450.00 - $152,180.00",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b7dd09c85dc4fceb996e5f2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fae89d48&cb=1668250734653&jobListingId=1008135426642&jrtk=3-0-1ghlnrk61kuii801-1ghlnrk6qj45o800-8e90a0db1e7babff-
"['Citi', '3.9']",http://www.citigroup.com/,Application Developer,"Jersey City, NJ",$113K - $169K (Employer est.),"You're the brains behind our work.
You’re ready to bring your knowledge from the classroom to the boardroom, and Citi wants to help you get there. Whether it’s honing your skills or building your network, we know that success can’t come without growth. Our programs equip you with the knowledge and training you need to play a valuable role on your team, and establish a long-term career here. At Citi, we value internal mobility, and career growth is not a question of if, but when. Citi’s Institutional Clients Group (ICG) is looking for Summer Software Development Analysts to join the Technology team in NAM Our ICG Technologists support and enable the success of our trading businesses— and by utilizing a broad range of technologies, our team is at the forefront of innovation. We seek to drive our systems and processes toward scalable, low-latency, high-frequency enterprise systems to support Citi and our aggressive growth strategy. Our Citi Technology team builds, owns and supports many front-end, middle-tier and back-office applications that are used on Citi trading floors around the world. Numerous applications handle millions of transactions per day and have billions of dollars in trade-flow. Many teams operate on a ""follow-the-sun"" model and are required to have their applications running 24/7.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b7dd09c85dc4fceb996e5f2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_55fa7e56&cb=1668250736543&jobListingId=1008077445717&jrtk=3-0-1ghlnrk61kuii801-1ghlnrk6qj45o800-3b6e875d43a453a2-
"['Citi', '3.9']",http://www.citigroup.com/,Application Developer,"Jersey City, NJ",$113K - $169K (Employer est.),"The Infrastructure Intermediate Technology Analyst is an intermediate level role responsible for assisting with LAN / WAN and help desk administration activities, including network maintenance, technical guidance, and security in coordination with the Technology Infrastructure team. The overall objective is to use infrastructure technology knowledge and identified policies to process data, resolve issues and execute administrative tasks.

Responsibilities:
Resolve moderately complex problems/projects through analysis, technical experience, and precedents; provide analysis for more complex issues, escalating as appropriate
Participate in testing activities, including the creation and execution of basic test scripts and evaluating results for possible enhancements
Complete control activities (risk, self-assessment, COB, audit, etc.) and makes recommendations for enhancements



Technology
Infrastructure
Full time
Irving Texas United States
$70,860.00 - $98,870.00",17d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b7dd09c85dc4fceb996e5f2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e6420478&cb=1668250740403&jobListingId=1008234328227&jrtk=3-0-1ghlnrk61kuii801-1ghlnrk6qj45o800-1f48b6f44b2e7814-
"['Citi', '3.9']",http://www.citigroup.com/,Application Developer,"Jersey City, NJ",$113K - $169K (Employer est.),"The Digital S/W Eng Lead Analyst is a strategic professional who stays abreast of developments within own field and contributes to directional strategy by considering their application in own job and the business. Recognized technical authority for an area within the business. Requires basic commercial awareness. There are typically multiple people within the business that provide the same level of subject matter expertise. Developed communication and diplomacy skills are required in order to guide, influence and convince others, in particular colleagues in other areas and occasional external customers. Significant impact on the area through complex deliverables. Provides advice and counsel related to the technology or operations of the business. Work impacts an entire area, which eventually affects the overall performance and effectiveness of the sub-function/job family.

Responsibilities:
Technology
Digital Software Engineering
Full time
New York New York United States
$145,960.00 - $218,950.00",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b7dd09c85dc4fceb996e5f2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7c0306f5&cb=1668250742319&jobListingId=1007806030885&jrtk=3-0-1ghlnrk61kuii801-1ghlnrk6qj45o800-5f38bc8e96a9968e-
"['Citi', '3.9']",http://www.citigroup.com/,Application Developer,"Jersey City, NJ",$113K - $169K (Employer est.),"The Global Spread Product Technology organization is looking for a talented professional with strong technical skills to develop innovative and game-changing technology solutions using Java within electronic trading space.
The role provides excellent opportunity to gain expertise in electronic trading space particularly in Quantitative Trading of bonds. As part of the role, you will collaborate with quants and other development teams to analyze, design, build and continuously refine and enhance technical solutions using Java.
Responsibilities:
Design, develop and test technology solutions for Quantitative Trading of bonds
Plan software releases

Technology
Applications Development
Full time
New York New York United States
$89,010.00 - $124,190.00",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b7dd09c85dc4fceb996e5f2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_80c04aff&cb=1668250744118&jobListingId=1007828427180&jrtk=3-0-1ghlnrk61kuii801-1ghlnrk6qj45o800-249a0cd989b69fc2-
"['Citi', '3.9']",http://www.citigroup.com/,Application Developer,"Jersey City, NJ",$113K - $169K (Employer est.),"Job Description:
Seeking an experience Java developer to join a highly skilled team of developers within Risk Technology and help us continue implementation of leading technology solutions that drive our business. Candidate should be self-motivated, energetic, driven and looking to build a career in a fast-paced market environment at a top brokerage firm.
Key Responsibilities:
Responsible for developing, enhancing, modifying and/or maintaining Risk & Regulatory applications
Work with other development team members to allow them to implement the designs, including design and code reviews




Technology
Applications Development
Full time
4050 REGENT BLVD IRVING
$78,620.00 - $109,700.00",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b7dd09c85dc4fceb996e5f2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7a264ec3&cb=1668250748086&jobListingId=1007819780109&jrtk=3-0-1ghlnrk61kuii801-1ghlnrk6qj45o800-c843c8e5e3da53e3-
