Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['The Coca-Cola Company', '4.1']",http://www.coca-colacompany.com/,Senior Software Test Engineer,"Austin, TX",$107K - $150K (Glassdoor est.),"In establishing itself as the No. 1 coffee brand in the UK, Costa pioneered technology to deliver great consumer experiences through high-end vending. We know that the next frontier of consumer retail experiences will be delivered through automated retail and Costa Austin has been on the cutting edge for more than 10 years. Automation is one of the most exciting global trends, forecasted to grow at a 10%+ annual rate. We are building an innovative new connected platform that combines robotics, smart data analytics, and digital consumer experience; we are crafting the future of coffee retailing as we drive towards our vision for Costa to become the Worlds Most Loved Coffee company to life. While moving at the pace consistent with our Austin startup DNA, as part of the Coca-Cola company we have the resources and knowledge to make it happen!
If you love innovative technology and coffee, this is a great opportunity for you. You'll be working with a passionate and growing cross-functional team to fundamentally improve the morning ritual of other coffee lovers around the globe.
Team Communication; Software Testing; Programming Languages; Software Development; Automated Testing; Computer Coding",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b65a859998f22e361079caa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f7f6957d&cb=1668249142169&jobListingId=1008105533690&jrtk=3-0-1ghlmba4dm6op801-1ghlmba5gg4f7800-5bdb6f6879f86697-
"['The Coca-Cola Company', '4.1']",http://www.coca-colacompany.com/,Senior Software Test Engineer,"Austin, TX",$107K - $150K (Glassdoor est.),"At The Coca-Cola Company, we're looking for individuals who understand the fundamentals and principles of technology and want to solve business problems on a global scale. As a Software Engineering Manager, you will lead multiple agile teams which deliver features and systems that power our next generation intelligent platforms. In this role you will have the opportunity to lead development efforts for enterprise applications, launch them, operate them, and continue to develop them. You are the leader of several engineering initiatives, driving success through your direct and indirect reports and business partners. You manage cross-functional teams of software engineers, test engineers, architects and product owners. You have a passion for coaching and mentoring to help individuals grow and you are obsessed with providing a great product experience, always looking for new opportunities to improve.
What You’ll Do for Us
Manage a team of talented technology professionals to motivate them, direct, and promote positive culture for the success of the organization",9d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b65a859998f22e361079caa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b253d846&cb=1668249144017&jobListingId=1008254553899&jrtk=3-0-1ghlmba4dm6op801-1ghlmba5gg4f7800-8c55f7807455f276-
"['The Coca-Cola Company', '4.1']",http://www.coca-colacompany.com/,Senior Software Test Engineer,"Austin, TX",$107K - $150K (Glassdoor est.),"INCUMBENTS CAN BE LOCATED IN THE FOLLOWING LOCATIONS: Atlanta, GA USA or Sofia, Bulgaria or Mexico City, Mexico.
Please submit applications in English
Lead the design, development and support of financial systems applications, consumed by all levels of management; incorporate “Extract, Transform, Load” (ETL) validation processes to ensure the accuracy and integrity of the data sourced by these applications. Individual contributor that leads by example. Works under limited supervision; applies subject matter knowledge; requires capacity to understand specific needs or requirements to apply skills/knowledge.
Front-end (Power BI, Tableau, ASP.Net, MVC, Power Apps, Power Automate) and Back-end (Azure Synapse, Azure Data Factory, SQL Server, Azure Notebooks) Development Experience",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b65a859998f22e361079caa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_39ae973a&cb=1668249145992&jobListingId=1008159614511&jrtk=3-0-1ghlmba4dm6op801-1ghlmba5gg4f7800-903f2b4fbf117194-
"['The Coca-Cola Company', '4.1']",http://www.coca-colacompany.com/,Senior Software Test Engineer,"Austin, TX",$107K - $150K (Glassdoor est.),"In establishing itself as the No. 1 coffee brand in the UK, Costa pioneered technology to deliver great consumer experiences through high-end vending. We know that the next frontier of consumer retail experiences will be delivered through automated retail and Costa Austin has been on the cutting edge for more than 10 years. Automation is one of the most exciting global trends, forecasted to grow at a 10%+ annual rate. We are building an innovative new connected platform that combines robotics, smart data analytics, and digital consumer experience; we are crafting the future of coffee retailing as we drive towards our vision for Costa to become the Worlds Most Loved Coffee company to life. While moving at the pace consistent with our Austin startup DNA, as part of the Coca-Cola company we have the resources and knowledge to make it happen!
If you love innovative technology and coffee, this is a great opportunity for you. You'll be working with a passionate and growing cross-functional team to fundamentally improve the morning ritual of other coffee lovers around the globe.
Business Requirements; Structured Query Language (SQL); Collaborative Leadership; Software Development; Troubleshooting; Systems Analysis; Project Management; Workflows; Agile Methodologies; Data Analysis; Query Language; Microsoft Office; Communication; Configuring; Systems Development Life Cycle (SDLC); Information Systems; Computer Programming; Business Processing",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b65a859998f22e361079caa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4aa6b4ef&cb=1668249147871&jobListingId=1008193755707&jrtk=3-0-1ghlmba4dm6op801-1ghlmba5gg4f7800-d4d5b9f9faf86821-
"['Coca-Cola Consolidated, Inc.', '3.3']",http://www.cokeconsolidated.com/,Senior Software Test Engineer,"Austin, TX",$107K - $150K (Glassdoor est.),"Requisition ID: 111778
Posting Locations: Charlotte

Click here to view a Day in the Life of our Teammates!

Our Secret Ingredient is our Teammates.
We offer great rewards, competitive pay, career advancement and growth opportunities.
Full Time Teammates are also eligible for:",25d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b65a859998f22e361079caa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_20bbf251&cb=1668249151604&jobListingId=1008214706829&jrtk=3-0-1ghlmba4dm6op801-1ghlmba5gg4f7800-ffb8a5b5f18bbe8c-
"['The Coca-Cola Company', '4.1']",http://www.coca-colacompany.com/,Senior Developer,"Atlanta, GA",$101K - $134K (Glassdoor est.),"INCUMBENTS CAN BE LOCATED IN THE FOLLOWING LOCATIONS: Atlanta, GA USA or Sofia, Bulgaria or Mexico City, Mexico.
Please submit applications in English
Lead the design, development and support of financial systems applications, consumed by all levels of management; incorporate “Extract, Transform, Load” (ETL) validation processes to ensure the accuracy and integrity of the data sourced by these applications. Individual contributor that leads by example. Works under limited supervision; applies subject matter knowledge; requires capacity to understand specific needs or requirements to apply skills/knowledge.
Front-end (Power BI, Tableau, ASP.Net, MVC, Power Apps, Power Automate) and Back-end (Azure Synapse, Azure Data Factory, SQL Server, Azure Notebooks) Development Experience",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b65f72e86cc0703c1e38a0d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1b91c5e5&cb=1668249161294&jobListingId=1008159614511&jrtk=3-0-1ghlmbtqtma6v801-1ghlmbtrig2ec800-903f2b4fbf117194-
"['Swire Coca-Cola USA', '3.1']",http://www.swirecc.com/,Senior Developer,"Atlanta, GA",$101K - $134K (Glassdoor est.),"Who is Swire Coca-Cola? We are one of the largest bottlers of Coca-Cola and other beverage brands in America. Our 7,200 hardworking and passionate employees produce and distribute more than 50 brands and flavors across 13 states. We have as many careers as we have flavors, and regardless of which role you choose, you have a direct impact on Swire Coca-Cola, our products, and the communities we call home.
At Swire Coca-Cola, our commitment to excellence is what guides our actions with our employees. We offer a comprehensive benefits package for full-time associates which includes: Medical, Dental, Vision, 401K, Paid Vacation, Paid Holidays and Company Discounts.

What does an Applications Developer do at Swire Coca-Cola?

As an Application Developer you will create and maintain programs, either on premise or cloud based. You will be assigned work based on the need from the organization as requested in the work intake process. You will be responsible for developing any applications, stored procedures, data tables, Microsoft Power Apps, and interfaces as the need arises. The general focus will be Web Based Development using, though there may also be on premise applications and Microsoft Power Apps that may need to be created or maintained. This position is expected to communicate with the DevOps, Data Warehouse, and Data Governance teams to ensure that the best solution is created. Documentation and training may also be performed by this position ensuring that the end user benefits from the best product possible in a timely fashion and you will work with the DevOps manager to help prioritize their workload.



Swire Coca-Cola, USA is an equal employment opportunity and affirmative action employer that participates in the E-Verify program as required by law. All qualified applicants will receive consideration for employment without regard race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status or other legally protected characteristics.",17d,
"['Coca-Cola Beverages Northeast', '3.7']",http://www.ccnne.com/,"Cyber Security Analyst - Bedford, NH NOT REMOTE","Bedford, NH",$65K (Employer est.),"Position Overview: FT role / Monday-Friday role with possible of one Sunday a month for specific project. Position will sit in our Bedford, NH headquarters, with potential for remote opportunities down the line upon manager approval. Travel will be involved as needed, less than 5%. Salary based on experience starting at $65K ; will be discussed further on phone screen.
Coke Northeast is growing our IT Department and are excited to bring on a Cyber Security Analyst!
You will be part of a fantastic team that is responsible for influencing change in a fast-paced, Cyber Security Culture minded workplace. Primary responsibilities will include developing, Implementing, and monitoring the Vulnerability Management program. The ideal candidate will bring a desire for professional development and technical growth.",1d,
"['Coca-Cola Northeast', '4.1']",http://www.coca-colacompany.com/,"Cyber Security Analyst - Bedford, NH NOT REMOTE","Bedford, NH",$65K (Employer est.),"ABOUT COKE NORTHEAST:

We are Coca-Cola Beverages Northeast, one of the largest Coca-Cola bottlers in the US. United, we are world-class people producing, selling, and distributing iconic beverage brands to the communities we champion and serve. We get stuff done through our unwavering dedication to our values: quality, integrity, commitment, resourcefulness, and diversity. Join our growing family!

WHY JOIN COKE NORTHEAST?
Work with some of the most recognized brands in the world: Coca-Cola, Sprite, Dr. Pepper, Monster, and Moxie (just to name a few)",2d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b6644e0a8a8629da8f51525&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7981c23c&cb=1668249184107&jobListingId=1008268826628&jrtk=3-0-1ghlmch8hj45m801-1ghlmch93g4f7800-ce3b504bbe955d96-
"['Coca-Cola Consolidated, Inc.', '3.3']",http://www.cokeconsolidated.com/,"Cyber Security Analyst - Bedford, NH NOT REMOTE","Bedford, NH",$65K (Employer est.),"Requisition ID: 111778
Posting Locations: Charlotte

Click here to view a Day in the Life of our Teammates!

Our Secret Ingredient is our Teammates.
We offer great rewards, competitive pay, career advancement and growth opportunities.
Full Time Teammates are also eligible for:",25d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b6644e0a8a8629da8f51525&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5024a064&cb=1668249185960&jobListingId=1008214706829&jrtk=3-0-1ghlmch8hj45m801-1ghlmch93g4f7800-ffb8a5b5f18bbe8c-
