Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Corteva Agriscience', '4.0']",http://www.corteva.com/,Software Engineer I - Digital Product Development,"Des Moines, IA",$79K - $113K (Glassdoor est.),"Description

At Corteva Agriscience, you will help us grow what’s next. You will be part of a team that is building the future of sustainable agriculture – leading breakthroughs in the innovation and application of science and technology that will better the lives of people all over the world and fuel the progress of humankind.
The Product Development team is a part of the Farming Solutions & Digital group that designs and builds customer-facing digital solutions that maximize value for farmers and advisors. Our work helps fuel and expose Corteva’s scientific innovation.
The Core Data Team, on which you will be a Software Engineer, is in the unique position of being both a full-stack team and owning the data that lies at the heart of all of our ag-related digital products. As such, our customers are both external users and internal teams. This provides us the opportunity to dig into the deep technical details of being foundational to all of our digital products while also learning the breadth of the ag domain. Your responsibilities will include:",14d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a70ef5b8831706d69f0fef5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_36d9ba7e&cb=1668233102361&jobListingId=1008240269078&jrtk=3-0-1ghl71rs5klt9801-1ghl71rskh4f9800-5eece8b95297b72e-
"['Corteva Agriscience', '4.0']",http://www.corteva.com/,Software Engineer I - Digital Product Development,"Des Moines, IA",$79K - $113K (Glassdoor est.),"Description

At Corteva Agriscience, you will help us grow what’s next. No matter your role, you will be part of a team that is building the future of sustainable agriculture – leading breakthroughs in the innovation and application of science and technology that will better the lives of people all over the world and fuel the progress of humankind.
The Software Engineer II owns the team’s frontend applications. We’re looking for someone who loves setting up and building scalable, production-quality services.
The Product Development team is a part of the Farming Solutions & Digital group that designs and builds customer-facing digital solutions that maximize value for farmers and advisors. Our work helps fuel and expose Corteva’s scientific innovation.",15d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a70ef5b8831706d69f0fef5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b214a11e&cb=1668233104059&jobListingId=1008237706728&jrtk=3-0-1ghl71rs5klt9801-1ghl71rskh4f9800-8d40acfdb8a05e68-
"['Corteva Agriscience', '4.0']",http://www.corteva.com/,Software Engineer I - Digital Product Development,"Des Moines, IA",$79K - $113K (Glassdoor est.),"Description

At Corteva Agriscience, you will help us grow what’s next. No matter your role, you will be part of a team that is building the future of sustainable agriculture – leading breakthroughs in the innovation and application of science and technology that will better the lives of people all over the world and fuel the progress of humankind.
The Product Development team is a part of the Farming Solutions & Digital group that designs and builds customer-facing digital solutions that maximize value for farmers and advisors. Our work helps fuel and expose Corteva’s scientific innovation.
The Software Engineer builds and tends to the team’s backend services, front-end experiences, and AWS infrastructure. In this position, you would provide contributions to tooling used by Corteva’s agronomists and seed sales representatives to plan and manage seed and product placement experiments that take place throughout crop growing seasons. Candidates should be familiar with building and maintaining web applications using React, relational and key/value-based databases, and demonstrable experience tying the pieces together using a mix of strictly and loosely typed programming languages.",14d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a70ef5b8831706d69f0fef5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b0494609&cb=1668233105887&jobListingId=1008240269081&jrtk=3-0-1ghl71rs5klt9801-1ghl71rskh4f9800-85c42211021f589e-
"['Corteva Agriscience', '4.0']",http://www.corteva.com/,Software Engineer I - Digital Product Development,"Des Moines, IA",$79K - $113K (Glassdoor est.),"Description

At Corteva Agriscience, you will help us grow what’s next. No matter your role, you will be part of a team that is building the future of sustainable agriculture – leading breakthroughs in the innovation and application of science and technology that will better the lives of people all over the world and fuel the progress of humankind.
The Product Development team is a part of the Farming Solutions & Digital group that designs and builds customer-facing digital solutions that maximize value for farmers and advisors. Our work helps fuel and expose Corteva’s scientific innovation.
The Senior Software Engineer II owns the team’s backend services, frontend applications, and AWS infrastructure. We’re looking for someone who loves setting up and building scalable, production-quality services.",14d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a70ef5b8831706d69f0fef5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7efb1a0d&cb=1668233108702&jobListingId=1008240269072&jrtk=3-0-1ghl71rs5klt9801-1ghl71rskh4f9800-79b5f4ecfe165ad7-
"['Corteva Agriscience', '4.0']",http://www.corteva.com/,Software Engineer I - Digital Product Development,"Des Moines, IA",$79K - $113K (Glassdoor est.),"Description

At Corteva Agriscience, you will help us grow what’s next. No matter your role, you will be part of a team that is building the future of sustainable agriculture – leading breakthroughs in the innovation and application of science and technology that will better the lives of people all over the world and fuel the progress of humankind.
The Product Development team is a part of the Farming Solutions & Digital group that designs and builds customer-facing digital solutions that maximize value for farmers and advisors. Our work helps fuel and expose Corteva’s scientific innovation.
The Senior Software Engineer owns the team’s front end UI/UX components. As a member of our team you are responsible for developing innovative and insightful experiences for Corteva agronomists and seed sales representatives. A successful senior frontend software engineer loves to find problems, innovate solutions, and drive the team towards its technical goals.",15d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a70ef5b8831706d69f0fef5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_93bb67e7&cb=1668233111848&jobListingId=1008237706730&jrtk=3-0-1ghl71rs5klt9801-1ghl71rskh4f9800-9423e846c55cf051-
"['Corteva Agriscience', '4.0']",http://www.corteva.com/,Software Engineer I - Digital Product Development,"Des Moines, IA",$79K - $113K (Glassdoor est.),"Description

At Corteva Agriscience, you will help us grow what’s next. No matter your role, you will be part of a team that is building the future of sustainable agriculture – leading breakthroughs in the innovation and application of science and technology that will better the lives of people all over the world and fuel the progress of humankind.
The Frontend Software Engineer (React Specialist) owns the technical leadership and implementation for our team’s React frontends. We’re looking for someone with deep expertise in React and a passion for sharing that knowledge.
The Product Development team is a part of the Farming Solutions & Digital group that designs and builds customer-facing digital solutions that maximize value for farmers and advisors. Our work helps fuel and expose Corteva’s scientific innovation.",27d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a70ef5b8831706d69f0fef5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8132981c&cb=1668233114334&jobListingId=1008209159782&jrtk=3-0-1ghl71rs5klt9801-1ghl71rskh4f9800-35a672c17023d27d-
"['Corteva Agriscience', '4.0']",http://www.corteva.com/,Software Engineer I - Digital Product Development,"Des Moines, IA",$79K - $113K (Glassdoor est.),"Description

At Corteva Agriscience, you will help us grow what’s next. No matter your role, you will be part of a team that is building the future of agriculture – leading breakthroughs in the innovation and application of science and technology that will better the lives of people all over the world and fuel the progress of humankind.
The Product Development team is a part of the Farming Solutions & Digital group that designs and builds customer-facing digital solutions that maximize value for farmers and advisors. Our work helps fuel and expose Corteva’s scientific innovation.
The Staff Cloud Engineer owns our cloud infrastructure, CI/CD patterns and tooling, and SRE practices. Your responsibilities on the CE team will be to help accelerate the rest of our engineering organization; by providing domain expertise, designing opinionated CI/CD patterns, and helping drive the adoption of our patterns across the business. Candidates should be familiar with AWS cloud architecture, Terraform, Gitlab CI/CD patterns, serverless architecture, Kubernetes, Docker and Docker Compose, and Python.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a70ef5b8831706d69f0fef5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7bd2189d&cb=1668233118266&jobListingId=1008185840823&jrtk=3-0-1ghl71rs5klt9801-1ghl71rskh4f9800-06c270944c8769bf-
"['Corteva Agriscience', '4.0']",http://www.corteva.com/,Software Engineer I - Digital Product Development,"Des Moines, IA",$79K - $113K (Glassdoor est.),"Description

Corteva Agriscience LLC seeks a FT Sr. Software Engineer in Johnston, IA. The Sr. Software Engineer will be responsible for building and enhancing precision Ag solutions for use by prod. dev. teams, farmers and those who support them using critical skills and knowledge in chem. engineering.
Qualifications

This position requires a Bachelor’s degree or equiv. in in Chem. Engineering, Software Engineering, Computer Info. Systems, or a related field and five yrs. of related exp. Must also have 12 months of exp. (which may have been gained concurrently) with each of the following: (1) Modifying existing software to correct errors and to improve its performance; proactively involved in fixing defects after release; (2) Designing, developing, and modifying software systems, using scientific analysis, chem. engineering knowledge, and mathematical models to predict and measure outcome and consequences of design; (3) Exp. with infrastructure as code, automation, monitoring, and the DevOps mindset; and troubleshooting complex code issues; (4) Exp. building and supporting APIs and responsible for building code in different environments; and (5) Utilizing the following tools/technologies: Python, C#, ASP.NET, LINQ, PostgreSQL, React, AWS Lambda, Kubernetes, Amazon ECS, JavaScript, JQuery, TypeScript, Knockout JS, Angular, CSS, Bootstrap, Angular Material, MVC, MVVM, and various versioning tools. Please apply online at https://careers.corteva.com/en-us/.",24h,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a70ef5b8831706d69f0fef5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e95f8483&cb=1668233122159&jobListingId=1008273904316&jrtk=3-0-1ghl71rs5klt9801-1ghl71rskh4f9800-23e863cc59546460-
"['Corteva Agriscience', '4.0']",http://www.corteva.com/,Software Engineer I - Digital Product Development,"Des Moines, IA",$79K - $113K (Glassdoor est.),"Description

The following is the Job Profile Summary from the Workday Job Catalog. Please replace all of the text in this description area with a complete job description that has been reviewed for correct content and formatting and is ready to post:


Designs, utilizes and improves information systems to respond to general and specific information requests using various information science tools and techniques. May manage or participate on projects in various laboratory, corporate, and regulatory programs to support regulatory and product stewardship efforts. Provides system user training.",24h,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a70ef5b8831706d69f0fef5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1b05c4e6&cb=1668233126044&jobListingId=1008273904275&jrtk=3-0-1ghl71rs5klt9801-1ghl71rskh4f9800-c8f373708481e64e-
"['Corteva Agriscience', '4.0']",http://www.corteva.com/,Software Engineer I - Digital Product Development,"Des Moines, IA",$79K - $113K (Glassdoor est.),"Description

Corteva Agriscience is the world’s leading developer and supplier of advanced plant genetics providing high-quality seeds to farmers around the world. We are seeking a software or computer engineering student with the capabilities to successfully complete an internship/co-op during the Spring and Summer of 2023 in the Des Moines metro area. The role of the Software and Automation Co-op is to deliver software solutions for equipment designed by our engineering teams.

As a member of the Seed Technology and lnnovation Engineering team, you will have opportunities to do the following:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a70ef5b8831706d69f0fef5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5f8830af&cb=1668233127865&jobListingId=1008125480890&jrtk=3-0-1ghl71rs5klt9801-1ghl71rskh4f9800-ecfed79a58586fc8-
