Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Cummins Inc.', '4.1']",http://www.cummins.com/,Software Engineer Entry Level Full Time Positions,"Columbus, IN",,"Software Engineer Entry Level Full Time Positions
Description
Software Engineering Entry-Level Full-Time Positions
Please note: Your application will be considered for all of our open college positions in our US locations.
Our culture believes in POWERING YOUR POTENTIAL . We provide global opportunities to develop your career, make your community a better place and work with today’s most innovative thinkers to solve the world’s toughest problems.
We believe in flexibility for you to explore your passions while making an impact through meaningful work within our inclusive workforce. That’s what is all about.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846ae1dbac81ea76888fc67d22&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e8e480a&cb=1668240499032&jobListingId=1008138186197&jrtk=3-0-1ghle3mupjm66801-1ghle3mveg2ec800-4926b81af23d5e86-
"['Cummins Inc.', '4.1']",http://www.cummins.com/,Software Engineer Entry Level Full Time Positions,"Columbus, IN",,"Senior Developer/ServiceNow (REMOTE)
Description
We are looking for a talented ServiceNow Developer to join our team specializing in Systems/Information Technology for our Cummins Business Services Unit in your U.S. remote home office. This role is 100% remote with periodic travel post-pandemic.
In this role, you will make an impact in the following ways:
Create and manage the technical specifications from which programs and configurations will be applied to create the application, infrastructure or complete solution. Lead technical analysis of potential solutions including evaluating the technical fit and viability of commercial-of-the-shelf products versus custom built solution, Delivers solution design, adhering to standards and leveraging re-use of components.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846ae1dbac81ea76888fc67d22&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_198c5cef&cb=1668240509943&jobListingId=1008103390674&jrtk=3-0-1ghle3mupjm66801-1ghle3mveg2ec800-bdfe7c40a7b26ad9-
"['Cummins Inc.', '4.1']",http://www.cummins.com/,Software Engineer Entry Level Full Time Positions,"Columbus, IN",,"Embedded Electronic Systems and Software Engineer Entry Level Full-Time Positions
Description
Electronic – Embedded Systems and Software Engineer Entry Level Full-Time Position
“MULTIPLE POSITIONS AVAILABLE”
Please note: Your application will be considered for all of our open college positions in our US locations.
Our culture believes in POWERING YOUR POTENTIAL . We provide global opportunities to develop your career, make your community a better place and work with today’s most innovative thinkers to solve the world’s toughest problems.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846ae1dbac81ea76888fc67d22&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f0da2a2d&cb=1668240512986&jobListingId=1008138186182&jrtk=3-0-1ghle3mupjm66801-1ghle3mveg2ec800-f240c95c91338469-
"['Cummins Inc.', '4.1']",http://www.cummins.com/,Software Engineer Entry Level Full Time Positions,"Columbus, IN",,"Technical Manager - Software Development (Hybrid)
Description
Technical Manager - Software Development (Hybrid)
Our culture believes in POWERING YOUR POTENTIAL . We provide global opportunities to develop your career, make your community a better place and work with today’s most innovative thinkers to solve the world’s toughest problems.
We believe in flexibility for you to explore your passions while making an impact through meaningful work within our inclusive workforce. That’s what #LifeAtCummins is all about.
We are looking for a talented Technical Manager - Software Development (Hybrid) to join our team specializing in Engineering for our Power Systems in Seymour IN .",15d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846ae1dbac81ea76888fc67d22&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f0c31328&cb=1668240516795&jobListingId=1008238982883&jrtk=3-0-1ghle3mupjm66801-1ghle3mveg2ec800-e54a882abc56cf00-
"['Cummins Inc.', '4.1']",http://www.cummins.com/,Software Engineer Entry Level Full Time Positions,"Columbus, IN",,"PowerChoice Platform- Sr Software Developer (Hybrid) )
Description
PowerChoice Platform - Sr. Software Developer (Hybrid)
We are looking for a talented PowerChoice Platform - Sr. Software Developer (Hybrid) to join our team specializing in Systems and Information Technology for our Columbus, IN location. This is a hybrid role.
In this role, you will make an impact in the following ways:
Responsible for building high-quality, innovative and fully performing software in compliance with coding standards and technical design. Design, modify, develop, write and implement software programming applications. Support and/or install software applications. Key participant in the testing process through test review and analysis, test witnessing and certification of software.",10d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846ae1dbac81ea76888fc67d22&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7521f369&cb=1668240518600&jobListingId=1008250532349&jrtk=3-0-1ghle3mupjm66801-1ghle3mveg2ec800-01134489ebb717f7-
"['Cummins Inc.', '4.1']",http://www.cummins.com/,Software Engineer Entry Level Full Time Positions,"Columbus, IN",,"Principal Software Engineer (REMOTE)
Description
We are looking for a talented Principal Software Engineer to join our team specializing in Systems/Information Technology for our Corporate office in your U.S. home office. This role will be fully remote with up to 10% travel post pandemic.
In this role, you will make an impact in the following ways:
Develop software solutions by studying information needs; conferring with users; studying systems flow, data usage and work processes; investigating problem areas; following the software development lifecycle; Document and demonstrate solutions; Develops flow charts, layouts and documentation",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846ae1dbac81ea76888fc67d22&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ccd91c8c&cb=1668240522926&jobListingId=1008103391555&jrtk=3-0-1ghle3mupjm66801-1ghle3mveg2ec800-bc1ac1f9ce82915d-
"['Cummins Inc.', '4.1']",http://www.cummins.com/,Software Engineer Entry Level Full Time Positions,"Columbus, IN",,"Software Engineer Co-Op Positions
Description
Software Engineering Co-Op Positions
Please note: Your application will be considered for all of our open college positions in our US locations.
Our culture believes in POWERING YOUR POTENTIAL . We provide global opportunities to develop your career, make your community a better place and work with today’s most innovative thinkers to solve the world’s toughest problems.
We believe in flexibility for you to explore your passions while making an impact through meaningful work within our inclusive workforce. That’s what is all about.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846ae1dbac81ea76888fc67d22&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d59f8f1b&cb=1668240525350&jobListingId=1008138186233&jrtk=3-0-1ghle3mupjm66801-1ghle3mveg2ec800-dc8698b4a9c921ed-
"['Cummins Inc.', '4.1']",http://www.cummins.com/,Software Engineer Entry Level Full Time Positions,"Columbus, IN",,"Software Engineering Manager
Description
Manages teams of Software Engineers in the day-to-day performance of their jobs. Directs the work to ensure the best practices around software development including the use of modern software engineering practices. Ensures both the product and organization milestones/goals are met and adhering to approved budgets.
Develops and maintains a technology roadmap with full-stack software development deliverables, role models, and technical excellence in at least one area of expertise related to Software Engineering.
Manages people including work plan development, performance management, and individual development.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846ae1dbac81ea76888fc67d22&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d282e998&cb=1668240529277&jobListingId=1008103391371&jrtk=3-0-1ghle3mupjm66801-1ghle3mveg2ec800-948ca93f7f543d2d-
"['Cummins Inc.', '4.1']",http://www.cummins.com/,Software Engineer Entry Level Full Time Positions,"Columbus, IN",,"Software Test Engineer (Hybrid)
Description
Our culture believes in POWERING YOUR POTENTIAL . We provide global opportunities to develop your career, make your community a better place and work with today’s most innovative thinkers to solve the world’s toughest problems.
We believe in flexibility for you to explore your passions while making an impact through meaningful work within our inclusive workforce. That’s what #LifeAtCummins is all about.
We are looking for a talented Software Test Engineer to join our Systems Product Specialist Team for our Electronics and Fuel SystemsBusiness Unit in Fridley, MN / Hybrid home office.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846ae1dbac81ea76888fc67d22&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_de51c30b&cb=1668240531058&jobListingId=1008192852007&jrtk=3-0-1ghle3mupjm66801-1ghle3mveg2ec800-fa9b3809e720a97e-
"['Cummins Inc.', '4.1']",http://www.cummins.com/,Software Engineer Entry Level Full Time Positions,"Columbus, IN",,"Embedded Software Test Engineer - Tech Specialist
Description
We are looking for a talented Embedded Software Test Engineer - Tech Specialist to join our Engineering Team for our Electronics and Fuel SystemsBusiness Unit in Columbus, IN / Hybrid home office.
Qualifications
To be successful in this role you will need the following:
Must have a minimum of 4 years working in a similar or related role
Must have a College or University degree in Engineering or related degree",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846ae1dbac81ea76888fc67d22&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f1d727e1&cb=1668240534880&jobListingId=1008103391791&jrtk=3-0-1ghle3mupjm66801-1ghle3mveg2ec800-5d3774eaa958c109-
