Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
,http://careers.dish.com/,Analyst/Developer II (.Net Developer),"Englewood, CO",$57K - $82K (Employer est.),"Department Summary:
DISH is a Fortune 200 company that continues to redefine the communications industry. Our legacy is innovation and a willingness to challenge the status quo, including reinventing ourselves. We disrupted the pay-TV industry in the mid-90s with the launch of the DISH satellite TV service, taking on some of the largest U.S. corporations in the process, and grew to be the fourth-largest pay-TV provider. We are doing it again with the first live, internet-delivered TV service – Sling TV – that bucks traditional pay-TV norms and gives consumers a truly new way to access and watch television. Now we are building the nation’s first stand-alone cloud-based open RAN 5G network.

We are driven by curiosity, pride, adventure, and a desire to win – it’s in our DNA. We’re looking for people with boundless energy, intelligence, and an overwhelming need to achieve to join our team as we embark on the next chapter of our story.

Opportunity is here. We are DISH.
Job Duties and Responsibilities:


Skills, Experience and Requirements:






Benefits:

Salary Range: USD $57400.00 - $82000.00 / Year",1d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846924e19fb39d2f7b1e0bea2e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6a5e35c2&cb=1668211344678&jobListingId=1008270669666&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghki9oegj45m801-1ghki9of624hh000-125a8b0b4e35c3ed--6NYlbfkN0Abkzm2pa9gzFlFHVN4BWnbH9HeEQ6gVFn_qUaKTz3UT9jNqX4zPqQEb9GuemPzqLK4DlF8Wr2oNaGBGAQlPre5K9zZO7O_K7kDknnjit5w2_gNdCwmmKUeaW8mJ53ofjJtbET5wS1Raic0IcSMjM2UICmrsw7cLIEHIgRBZp0k-16qba0KjAOH-AwBe8r8nkQgY3MKKAbnWuDQ4UgFSluPs9O4BZYzJfKED8L2cbhUoYCTkevD8YpSTEac2KOkSh37NdK_lT-gjW5azZJtbL_FB6VWapBDQZuoScFpRhilDBfaxiDE_y1IArUSZmLvdA3alHW3odJtt-cnxZ8cWTAzQ_OvaCyCUVGx7Pa_Kd1H5fhu6O_sV4KxXcyqnBGJ0etMlHhxNHqzX2nV38VYv57mgMLpPZ8qpCxCd84khAGPprV7hSZrPk0hFJepIQJqNWmZZ4mOe7vfIdvvX-YIdhPJnn-gTp_Dln1ckizgM8DJ_M3uY_kT3qv8Mk8LiMEUWe8Hyz4DEIaglVqk_YwYMMrW1U3326iyFL_AkGMxUZYFyNVwiuuxdhtWF0errRWZSApTBO0L49Z0ZR_9-Q2R6TCXR9PmBSZhRUiqwjnnVQa4z27O6Gn6WKzxFRI6p-eNg-fPwojrw7HKF1eWxN6dWO4k9LxbSZAOqH8W2px7dR6Jg6Mk0G0KitInXTzQUp-dz2PbvfJnUfBZLyU0JuSbFFyrrAjvOot_AG6i1MS_18OBLHnflaq0oymPIGjHK1Nvz_iidd1ioW9NWANeScE-VhI2_QZTImy_J_NL--GVd7kIz8-_T12RyI3H
,http://careers.dish.com/,Analyst/Developer II (.Net Developer),"Englewood, CO",$57K - $82K (Employer est.),"Department Summary:
At DISH Wireless, we reimagine connectivity through new platforms, new business models and new ways of thinking.
Today, we are building America’s first cloud-native 5G network to transform the way we live, work and play with unlimited potential. Our teams operate at the intersection of wireless, data analytics, AI and the cloud to create something state-of-the-art, radically original and truly unlike what anyone else can.
Job Duties and Responsibilities:
The Software Automation Engineer will design complex automations, lead efforts, define and implement best practices related to Software Automation. This individual will be responsible for developing and executing automated scripts supporting Agile/Scrum development teams. In this role, you must be able to write SQL queries and understand the application to automate.

Skills, Experience and Requirements:

Benefits:
Salary Range: USD $87500.00 - $125000.00 / Year",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846924e19fb39d2f7b1e0bea2e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1d30a53d&cb=1668211346538&jobListingId=1008149629910&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghki9oegj45m801-1ghki9of624hh000-51d4934451fd418c--6NYlbfkN0Abkzm2pa9gzFlFHVN4BWnbH9HeEQ6gVFn_qUaKTz3UT9jNqX4zPqQEwbU1jVYIg0XlTAufe7s6BeY9ci29QRWcazgG0YzSEDwRYsBUy_QBWvZxsjnw8KsaaCR2wKvhCu6s_hmQn3UkU0T0RCPUJ6zgw4nPa0gXOp0fI1NbuC64SFHaB70M-GtGiNTHzwN9EV0vVmKfbXdytAOEEenawXyX8rBwaUt-_bgm96GHPb5EURpIn7v2CPk3NT7_doOtu8Nuw4PyMrsMAF84004siO-ma7J0uixtR4CixgoqI85iZIKk5FFNfNYDkrIbOZCMOR9y6EPWv4uOVEZBvUbepjjsMUO4K1DfTF7qZS8HBlPXSoDzExymJ-oBGxbSD5MYOhaS0w1C9Ww5zBhNL8l1CjHycjwmTa0vlUs07CzoIlIt-4Y9mcdxPNHzU5MzrKJjfFE3PEoTxlGJkCdy4zMz78_yX_sigI51Qu9x8ndkSsZyE0o8ipENsRWnr_MLKJYRHRzo1v1fRT--RVhraqDmGG6rHpSRmJpvliWvys3rvpnLRMyXALCW_f1blnV2CSX1R2WsdahLo7pz2vKyWhmMW_AIdvObEfF-xdrmmzNyqXZ3W_F1ppMrz8848QqmztFdcJylXZkDwiv3YtwXpfVckmCXxG1RXTg8TKTySyMO-pMRiZKf0HDOSLuyX-hO397vNrOX2z0wbuTn8O3XfDqUg01SowIU5A1RPhE82k28fniFQ7M31pL_kL0FQ9MtWhRFXBeAl68gyRYqYc7SEwkAyuz1EknSA61OCJbTyKzjU1Xpog%3D%3D
,http://careers.dish.com/,Analyst/Developer II (.Net Developer),"Englewood, CO",$57K - $82K (Employer est.),"Department Summary:
DISH is transforming the future of connectivity. We’re doing it by building the country’s first virtualized, standalone 5G wireless network from scratch. The foundation of a connected world, it’s a network free of the limitations of the past, and flexible enough to satisfy all the social, economic and transformative needs of the changing world.
Job Duties and Responsibilities:
DISH Wireless is seeking a Senior AWS DevOps Engineer to build and manage the automation process for the continuous delivery (CI), continuous delivery (CD), and continuous validation (CV) of the 5G Network functions. This person will work with 5G network architects, network function ISVs, testers, and DISH’s engineering & operations teams to integrate, test, and deploy the artifacts necessary to realize zero-touch operations of DISH’s 5G network. We are looking for engineers with a passion for programming and knowledge in AWS Cloud technologies such as CodePipeline, CloudWatch, EKS, Lamda functions and BLS.

Day-to-day job responsibilities:
Skills, Experience and Requirements:

Benefits:
Salary Range: USD $87500.00 - $143750.00 / Year",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846924e19fb39d2f7b1e0bea2e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5bd272be&cb=1668211349655&jobListingId=1008073913489&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghki9oegj45m801-1ghki9of624hh000-3b14508c561405af--6NYlbfkN0Abkzm2pa9gzFlFHVN4BWnbH9HeEQ6gVFn_qUaKTz3UT9jNqX4zPqQEwbU1jVYIg0UM6FeFFEzWnVxonWZg7TuPEyTOuhf-UXsqmOkV5Rq6BEVlT6CJVLFGtuGIJcZbD1ZmPRITfJCmVIH6rIt1BXfufVBpNpxzaBP1kIC8M-xqmwkrBAIuFt4kJ8A_AQ2Qd45h2I4ae7ozOvLxVkJoodc8gOI7SXa5WXAMb8paEGfwR4wTlujV22SoYdYtSPlbuah5-i8VzQmg9spmstIp5SUHf9_cd1t1R7cbJXN2-wtKvizQKkGzxTimgGpmjeGqvqKsDbL0BjVKBnN_qNTE32erZGI5e3uOVUpS6fPP9SQLaHStK_fOYHrjckC_h0EdZTeyW2YSklNMLBLapZnmHz-As04Rv7u4qC85G1AYVvFRh8aXhXKeCCXP4OpOUWr0__qpDQHUzknCTFBfapqUOnUkvO_LIHRdg9XLPhx1utMdmTQCsmomJu0EBqtOqTDn3pIUUg-ViQRuJhpNDuJWxhI0GXidmtx4sCYKC32y-kRRNLKPxeb8KQpoJ8BjTxf2PTlm8V8ykqnYkyA8rmmrxb3KBuuhP5oTAIDT_fnx0leZU9BrY7O7GQk0i8dLtNjpVJ8BTZ_gIUg_scOvwGG2pRmT_lWUREca0KKHcdoZohwdBuHV0pq2NTT3NrjFPPwKYHGpyNaNlrznYrkOlbMU-ELOcUCT8VpDfT19lKgP-yaus4zAaS6RNW3dMbqdf21z7fclI1-rZO-OeW_r-e1aCzYw4FNel8LPwjdz0u8mPBtAKQ%3D%3D
,http://careers.dish.com/,Analyst/Developer II (.Net Developer),"Englewood, CO",$57K - $82K (Employer est.),"Department Summary:
DISH is a Fortune 200 company with more than $15 billion in annual revenue that continues to redefine the communications industry. Our legacy is innovation and a willingness to challenge the status quo, including reinventing ourselves. We disrupted the pay-TV industry in the mid-90s with the launch of the DISH satellite TV service, taking on some of the largest U.S. corporations in the process, and grew to be the fourth-largest pay-TV provider. We are doing it again with the first live, internet-delivered TV service – Sling TV – that bucks traditional pay-TV norms and gives consumers a truly new way to access and watch television.

Now we have our sights set on upending the wireless industry and unseating the entrenched incumbent carriers.

We are driven by curiosity, pride, adventure and a desire to win – it’s in our DNA. We’re looking for people with boundless energy, intelligence and an overwhelming need to achieve, to join our team as we embark on the next chapter of our story.

Job Duties and Responsibilities:

Skills, Experience and Requirements:
Benefits:

Salary Range: USD $170000.00 - $225000.00 / Year",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846924e19fb39d2f7b1e0bea2e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_897fc069&cb=1668211352690&jobListingId=1007710167364&jrtk=3-0-1ghki9oegj45m801-1ghki9of624hh000-3cba8fb8b9a4fc78-
,http://careers.dish.com/,Analyst/Developer II (.Net Developer),"Englewood, CO",$57K - $82K (Employer est.),"Department Summary:
DISH is a Fortune 200 company that continues to redefine the communications industry. Our legacy is innovation and a willingness to challenge the status quo, including reinventing ourselves. We disrupted the pay-TV industry in the mid-90s with the launch of the DISH satellite TV service, taking on some of the largest U.S. corporations in the process, and grew to be the fourth-largest pay-TV provider. We are doing it again with the first live, internet-delivered TV service – Sling TV – that bucks traditional pay-TV norms and gives consumers a truly new way to access and watch television.
Now we have our sights set on upending the wireless industry and unseating the entrenched incumbent carriers.
We are driven by curiosity, pride, adventure, and a desire to win – it’s in our DNA. We’re looking for people with boundless energy, intelligence, and an overwhelming need to achieve, to join our team as we embark on the next chapter of our story.
Opportunity is here. We are DISH.

Job Duties and Responsibilities:
Skills, Experience and Requirements:



Benefits:

Salary Range: USD $79900.00 - $108100.00 / Year",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846924e19fb39d2f7b1e0bea2e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6240cc63&cb=1668211355606&jobListingId=1008187193460&jrtk=3-0-1ghki9oegj45m801-1ghki9of624hh000-f11eb9fb52dac8bf-
,http://careers.dish.com/,Analyst/Developer II (.Net Developer),"Englewood, CO",$57K - $82K (Employer est.),"Department Summary:
DISH is a Fortune 250 company with more than $13 billion in annual revenue that continues to redefine the communications industry. Our legacy is innovation and a willingness to challenge the status quo, including reinventing ourselves. We disrupted the pay-TV industry in the mid-90s with the launch of the DISH satellite TV service, taking on some of the largest U.S. corporations in the process, and grew to be the fourth-largest pay-TV provider. We are doing it again with the first live, internet-delivered TV service – Sling TV – that bucks traditional pay-TV norms and gives consumers a truly new way to access and watch television.

Now we have our sights set on upending the wireless industry and unseating the entrenched incumbent carriers.

We are driven by curiosity, pride, adventure, and a desire to win – it’s in our DNA. We’re looking for people with boundless energy, intelligence, and an overwhelming need to achieve, to join our team as we embark on the next chapter of our story.

Job Duties and Responsibilities:
Skills, Experience and Requirements:
Benefits:


Salary Range: USD $300000.00 - $375000.00 / Year",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846924e19fb39d2f7b1e0bea2e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_860e173b&cb=1668211357220&jobListingId=1007970843274&jrtk=3-0-1ghki9oegj45m801-1ghki9of624hh000-e7ba69b95f6bec22-
,http://careers.dish.com/,Analyst/Developer II (.Net Developer),"Englewood, CO",$57K - $82K (Employer est.),"Department Summary:
Do you see yourself overseeing the creation of a platform, architecting a cloud and corresponding organizational and cultural changes? Are you looking to work with a team of talented professionals who are keenly focused on automating complex business problems and supporting product innovation with technology? If so, you might be our next Senior Cloud Engineer, where you will work with some of the best in the business using the latest and greatest technologies, to drive automation at all stages of software development, release, operations, and maintenance.
Job Duties and Responsibilities:
Help building a high functioning cloud engineering and services (security, automation) organization that delivers high quality secure services.
This role is able to perform solution design, architectural review, implement proof-of-concepts, standardize solutions, and develop operational handoff of solutions
Skills, Experience and Requirements:
Benefits:

Salary Range: USD $79900.00 - $108100.00 / Year",1d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846924e19fb39d2f7b1e0bea2e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e1f11e04&cb=1668211361076&jobListingId=1008270669664&jrtk=3-0-1ghki9oegj45m801-1ghki9of624hh000-7d766229a16718e9-
,http://careers.dish.com/,Analyst/Developer II (.Net Developer),"Englewood, CO",$57K - $82K (Employer est.),"Department Summary:
DISH is a Fortune 200 company that continues to redefine the communications industry. Our legacy is innovation and a willingness to challenge the status quo, including reinventing ourselves. We disrupted the pay-TV industry in the mid-90s with the launch of the DISH satellite TV service, taking on some of the largest U.S. corporations in the process, and grew to be the fourth-largest pay-TV provider. We are doing it again with the first live, internet-delivered TV service – Sling TV – that bucks traditional pay-TV norms and gives consumers a truly new way to access and watch television.

Now we have our sights set on upending the wireless industry and unseating the entrenched incumbent carriers.

We are driven by curiosity, pride, adventure, and a desire to win – it’s in our DNA. We’re looking for people with boundless energy, intelligence, and an overwhelming need to achieve to join our team as we embark on the next chapter of our story.

Opportunity is here. We are DISH.
Job Duties and Responsibilities:


Skills, Experience and Requirements:

Benefits:

Salary Range: USD $106250.00 - $143750.00 / Year",6d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846924e19fb39d2f7b1e0bea2e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f61a46e2&cb=1668211365096&jobListingId=1008259095252&jrtk=3-0-1ghki9oegj45m801-1ghki9of624hh000-010fa56e97d9be81-
,http://careers.dish.com/,Analyst/Developer II (.Net Developer),"Englewood, CO",$57K - $82K (Employer est.),"Department Summary:
DISH is a Fortune 200 company that continues to redefine the communications industry. Our legacy is innovation and a willingness to challenge the status quo, including reinventing ourselves. We disrupted the pay-TV industry in the mid-90s with the launch of the DISH satellite TV service, taking on some of the largest U.S. corporations in the process, and grew to be the fourth-largest pay-TV provider. We are doing it again with the first live, internet-delivered TV service – Sling TV – that bucks traditional pay-TV norms and gives consumers a truly new way to access and watch television.

Now we have our sights set on upending the wireless industry and unseating the entrenched incumbent carriers.

We are driven by curiosity, pride, adventure, and a desire to win – it’s in our DNA. We’re looking for people with boundless energy, intelligence, and an overwhelming need to achieve to join our team as we embark on the next chapter of our story.

Opportunity is here. We are DISH.

Job Duties and Responsibilities:



Skills, Experience and Requirements:



Benefits:

Salary Range: USD $87500.00 - $125000.00 / Year",24d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846924e19fb39d2f7b1e0bea2e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7222a770&cb=1668211367796&jobListingId=1008214894452&jrtk=3-0-1ghki9oegj45m801-1ghki9of624hh000-5299a25d40b0093d-
,http://careers.dish.com/,Analyst/Developer II (.Net Developer),"Englewood, CO",$57K - $82K (Employer est.),"Department Summary:
DISH is a Fortune 200 company that continues to redefine the communications industry. Our legacy is innovation and a willingness to challenge the status quo, including reinventing ourselves. We disrupted the pay-TV industry in the mid-90s with the launch of the DISH satellite TV service, taking on some of the largest U.S. corporations in the process, and grew to be the fourth-largest pay-TV provider. We are doing it again with the first live, internet-delivered TV service – Sling TV – that bucks traditional pay-TV norms and gives consumers a truly new way to access and watch television.
Now we have our sights set on upending the wireless industry and unseating the entrenched incumbent carriers.
We are driven by curiosity, pride, adventure, and a desire to win – it’s in our DNA. We’re looking for people with boundless energy, intelligence, and an overwhelming need to achieve, to join our team as we embark on the next chapter of our story.
Opportunity is here. We are DISH.
Job Duties and Responsibilities:


Skills, Experience and Requirements:

Benefits:

Salary Range: USD $79900.00 - $108100.00 / Year",7d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846924e19fb39d2f7b1e0bea2e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_703f1784&cb=1668211370729&jobListingId=1008255846594&jrtk=3-0-1ghki9oegj45m801-1ghki9of624hh000-65d38829115dae68-
