Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['DXC Technology', '3.6']",http://www.dxc.com/,Full Stack Development Engineer/Architect,Remote,$100K (Employer est.),"KEY JOB FUNCTIONS
Architect/designer and developer with focus on architecture, design, development of platform and solutions for web apps and mobile friendly applications
Full stack solution development supervision with hands-on development.
Opportunity to create solutions and ideate on new technologies like ML, NLP, greenfield solution development and scaling.
Collaborate with Org leaders and Clinical leaders as well as other architect and engineers to understand solution/product requirements to architect, design, develop, test, and release features.
Develop in latest microservices environment with ownership on deployment and resilient development.",8d,
"['DXC Technology', '3.6']",http://www.dxc.com/,Full Stack Development Engineer/Architect,Remote,$100K (Employer est.),"Technology/IT
Job overview and responsibilities
The United IT team designs, develops and maintains massively scaling technology solutions that are brought to life with innovative architectures, data analytics and digital solutions.
React JS Developer
Partner with the Tech Ops team and IT to prepare and program various projects related to the latest IT technologies
Deliver across the entire app life cycle from concept, design, build, deploy, test, release support
Experience in all phases of SDLC like Requirement Analysis, Implementation and and extensive experience with and .",30d+,
"['DXC Technology', '3.6']",http://www.dxc.com/,Full Stack Development Engineer/Architect,Remote,$100K (Employer est.),"Job Description:
DXC Technology (NYSE: DXC) helps global companies run their mission-critical systems and operations while modernizing IT, optimizing data architectures, and ensuring security and scalability across public, private, and hybrid clouds. The world’s largest companies and public sector organizations trust DXC to deploy services across the Enterprise Technology Stack to drive new levels of performance, competitiveness, and customer experience. Learn more about how we deliver excellence for our customers and colleagues at DXC.com.
Essential Job Functions
The position requires the resource to reside in Puerto Rico
Software developer knowledge and experience",1d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000184693cc9d7918bf317d3b5d10e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_18b2f75d&cb=1668212921605&jobListingId=1008272521077&jrtk=3-0-1ghkjpigb20hv001-1ghkjpih0g4do800-3ccdbf52f72c713a-
"['DXC Technology', '3.6']",http://www.dxc.com/,Full Stack Development Engineer/Architect,Remote,$100K (Employer est.),"Job Description:
Essential Job Functions
Interfaces with senior team members in facilitating communications between functional areas or departments and clients to ensure that integration of new, enhanced and existing applications meet client specifications.
Works with account management teams and application delivery resources to identify and develop solution opportunities and initiate appropriate implementation of customer solutions.
Identifies application improvements to increase customer and stakeholder satisfaction. Communicate improvement needs to appropriate parties to ensure timely implementation and to maintain client satisfaction.",2d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000184693cc9d7918bf317d3b5d10e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8d92129f&cb=1668212924398&jobListingId=1008269175444&jrtk=3-0-1ghkjpigb20hv001-1ghkjpih0g4do800-b436e6a02dfed93b-
,,Full Stack Development Engineer/Architect,Remote,$100K (Employer est.),,30d+,
"['DXC Technology', '3.6']",http://www.dxc.com/,Full Stack Development Engineer/Architect,Remote,$100K (Employer est.),"Job Description:
Essential Job Functions
Architect/designer and developer with focus on architecture, design, development of platform and solutions for web apps and mobile friendly applications
Full stack solution development supervision with hands-on development.
Opportunity to create solutions and ideate on new technologies like ML, NLP, greenfield solution development and scaling.
Collaborate with Org leaders and Clinical leaders as well as other architect and engineers to understand solution/product requirements to architect, design, develop, test, and release features.",23d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000184693cc9d7918bf317d3b5d10e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_da11bb04&cb=1668212930139&jobListingId=1008219109235&jrtk=3-0-1ghkjpigb20hv001-1ghkjpih0g4do800-eeddd098937fdcd2-
"['DXC Technology', '3.6']",http://www.dxc.com/,Full Stack Development Engineer/Architect,Remote,$100K (Employer est.),"Job Description:
DXC Technology (NYSE: DXC) helps global companies run their mission critical systems and operations while modernizing IT, optimizing data architectures, and ensuring security and scalability across public, private and hybrid clouds. The world’s largest companies and public sector organizations trust DXC to deploy services across the Enterprise Technology Stack to drive new levels of performance, competitiveness, and customer experience. Learn more about how we deliver excellence for our customers and colleagues at DXC.com.
At DXC we use the power of technology to deliver mission critical IT Services that our customers need to modernize operations and drive innovation across their entire IT estate. We provide services across the Enterprise Technology Stack for business process outsourcing, insurance, analytics and engineering, applications, security, cloud, IT outsourcing, and modern workplace.",7d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000184693cc9d7918bf317d3b5d10e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2a62ca22&cb=1668212933073&jobListingId=1008258428960&jrtk=3-0-1ghkjpigb20hv001-1ghkjpih0g4do800-d3daaa4d73b84fdb-
"['DXC Technology', '3.6']",http://www.dxc.com/,Full Stack Development Engineer/Architect,Remote,$100K (Employer est.),"Job Description:
Essential Job Functions
8+ experience with Java overall
5+ years’ experience as Full Stack developer
5+ years’ experience with Angular 8+ with Node JS and Java experience
5+ years’ experience with Spring Boot Application REST services
5+ years’ microservices development
3+ Years’ experience with cloud-based technologies including Microsoft Azure and/or IBM Cloud",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000184693cc9d7918bf317d3b5d10e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_89819dc0&cb=1668212934847&jobListingId=1008145550624&jrtk=3-0-1ghkjpigb20hv001-1ghkjpih0g4do800-fdb784849bd4c083-
"['DXC Technology', '3.6']",http://www.dxc.com/,Full Stack Development Engineer/Architect,Remote,$100K (Employer est.),"Job Description:
SKILL SET
Technical -
Java J2EE, Spring, MVC Framework, Javascript, CSS, Oracle, PLSQL, Shell Scripting, UNIX basic
commands, Tomcat application server.
Angular JS, AJAX are nice to have skills.
Tools -
CVS, Eclipse / RAD, Dimensions.
Others-
RESPONSIBILITY :
1) Incident Support adhering to SLA
2) Shift Coverage and Responsibilities.
3) Responsive to any production support queries / functionality of the applications.
4) Analysis and deep dive of user requests and ability to propose business cases on required changes.
5) Adhere to RUN / CHANGE management process.",7d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000184693cc9d7918bf317d3b5d10e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f0313f86&cb=1668212938012&jobListingId=1008256213095&jrtk=3-0-1ghkjpigb20hv001-1ghkjpih0g4do800-09cb331822b009b4-
"['DXC Technology', '3.6']",http://www.dxc.com/,Full Stack Development Engineer/Architect,Remote,$100K (Employer est.),"Job Description:
Responsibilities
Ownership of the entire solution delivered to the customer.
Oversee all aspects of the technical project.
Formulate Polarion data model based on business requirements.
Install and manage the external plug-ins or extensions.
Configure project templates, develop new import/export templates.
Perform scripting and codeless customization of Polarion tool according to engineering needs.",24d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000184693cc9d7918bf317d3b5d10e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f64e4cba&cb=1668212939513&jobListingId=1008216358582&jrtk=3-0-1ghkjpigb20hv001-1ghkjpih0g4do800-b9b7ec9dbaa4fdb0-
