Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Integrated DNA Technologies (IDT)', '3.7']",http://www.idtdna.com/,Software Developer II,"Coralville, IA",$64K - $82K (Glassdoor est.),"IDT is the leading manufacturer of custom oligonucleotides and proprietary technologies for genomics applications. Our work is complex and cutting-edge, and our team members are curious, creative thinkers who understand that good data drives smart decisions. At IDT, we realize that although science may be uniform, people are unique. We promote a culture where engaged people are motivated and have opportunities to achieve their full potential, as part of one global team.
IDT is proud to work alongside a community of nine fellow Danaher Life Sciences companies. Together, we’re pioneering the future of science and medicine, developing products that enable researchers in the fight to save lives.

Software Developer II
Location: REMOTE (USA)

Purpose statement:
The Software Developer II provides development and maintenance services for Enterprise class Manufacturing Execution Systems. This position includes requirements definition, analysis, development, testing, implementation, and support to deliver benefits to the organization, its customers, and other business partners. This position also acts as a resource for other colleagues, as well as leading small projects with manageable risks and requirements.


Perform software development activities using established development practices, following design and coding standards, code reviews, code versioning, continuous builds, unit/integration testing, & deployments.
Provide technical expertise and recommendations in assessing new IT software projects and initiatives to support and enhance our existing software systems
Provides Software Developer I Associates with mentorship, guidance, and training on IT standard work and collaborates with managers on the development of Software Development I associates.
Actively coordinates with Business Analysts and stakeholders to assist in the creation of system design and functional specifications for new development projects
Investigate and resolve application functionality, root cause analysis, related issues, and provide support/troubleshooting of our software systems


Bachelor’s degree in Computer Science or MIS. (Preferred)


Minimum of 3 years of experience in a software development group (Required)
Experience with enterprise software applications. (Preferred)
Minimum of 3 years using C# or similar object oriented language


Shift Differentials (Extra Compensation for less traditional shifts)
Generous Paid Time Off Accruals
16 Hours PAID Volunteer Time Off
10 Paid Holidays
Up to eight (8) weeks of 100% paid parental leave to eligible U.S. associates
401(k) with Company Match
Medical, Dental, and Vision Insurance Options

Integrated DNA Technologies (IDT) conducts drug screens and background checks on applicants who accept employment offers.

When you join us, you’ll also be joining Danaher’s global organization, where 80,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System tools and the stability of a tested organization.",4d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a1faa6ea1dec79f67c7b768&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_748ca217&cb=1668227780633&jobListingId=1008262197326&jrtk=3-0-1ghl1vapkk632801-1ghl1varf209v000-8d25e2117b421a5b-
"['Beckman Coulter Diagnostics', '4.0']",http://www.beckmancoulter.com/,Software Developer II,"Coralville, IA",$64K - $82K (Glassdoor est.),"Wondering what’s within Beckman Coulter Diagnostics? Take a closer look.
At first glance, you’ll see that for more than 80 years we’ve been dedicated to advancing and optimizing the laboratory to move science and healthcare forward. Join a team where you can be heard, be supported, and always be yourself. We’re building a culture that celebrates backgrounds, experiences, and perspectives of all our associates. Look again and you’ll see we are invested in you, providing the opportunity to build a meaningful career, be creative, and try new things with the support you need to be successful.

Beckman Coulter Diagnostics is proud to work alongside a community of six fellow Diagnostics Companies at Danaher. Together, we’re working at the pace of change to improve patient lives with diagnostic tools that address the world’s biggest health challenges.

The Senior Software Engineer for Beckman Coulter Diagnostics is responsible for the design and develop of software .

This position is part of the software development team located in Chaska, MN and will be remote but the preferred to find candidates in Chaska, MN. At Beckman Coulter, our vision is to relentlessly reimagine healthcare, one diagnosis at a time.

You will be a part of the software development team and report to the Senior Manager of Software Engineering responsible for working closely with Product owner and Architects to understand the requirements and architecture, work on converting the assigned feature requirements into design, code and unit tests prior to release for verification. If you thrive in an amazing role and want to work to build a world-class software platform organization—read on.


Understand the overall requirements of the product/platform and specifically for the assigned feature/module.

Design and Develop Software as per the product architecture and requirements.

Code and unit testing of the feature/modules including appropriate design reviews and code inspections.

Ensure adherence to the software development processes.

Investigate software / system problems to isolate the root cause and provides innovative solutions.

Collaborate with cross-functional teams (locally & globally) to ensure product releases meet quality, performance, scalability, reliability and schedule goals.

Work an 8 hour days shift with flexible timing to work with global team based in India, France and Germany.


Proven ability to work in iterative release product environment, with focus on challenging quality and delivery goals

5+ years overall software development experience, solid experience in Software Design & Architecture and Bachelor degree in Computer Science / Software Engineering OR a related field OR Master's Degree in field with 3+ years experience OR Doctoral degree in field with 0+ years experience

Insight in Windows architecture framework .NET 4 and C# Programming Language as well as Azure experience

Great Exposure to Continuous Integration, delivery and deployment, version Control

Effective Technical Communication, Rapid Prototyping and problem solving skills



Exposure to Design Control and Healthcare domain is a (+)

SQL is a plus

At Beckman Coulter Diagnostics we believe in designing a better, more sustainable workforce. We recognize the benefits of flexible, remote working arrangements for eligible roles and are committed to providing enriching careers, no matter the work arrangement. This position is eligible for a remote work arrangement in which you can work remotely from your home. Additional information about this remote work arrangement will be provided by your interview team. Explore the flexibility and challenge that working for Beckman Coulter Diagnostics can provide.

When you join us, you’ll also be joining Danaher’s global organization, where 80,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System tools and the stability of a tested organization.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a1faa6ea1dec79f67c7b768&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b7cd8e1e&cb=1668227784416&jobListingId=1008061708998&jrtk=3-0-1ghl1vapkk632801-1ghl1varf209v000-7336fa43e5b1d3e3-
"['ChemTreat', '4.1']",http://www.chemtreat.com/,Software Developer II,"Coralville, IA",$64K - $82K (Glassdoor est.),"At ChemTreat, we understand and respect the awe-inspiring power of water to impact industries, and to sustain and enhance lives. Our 2,000 associates across North and South America maximize this power for our customers—from power producers to food and beverage companies to the automotive industry.

When you join the nation's largest and fastest growing specialty chemical company dedicated solely to industrial water treatment, you’ll work side-by-side with those customers, helping them save millions of dollars and grow their businesses, all while protecting people and the environment. Our “whatever-it-takes” mindset allows us to turn our 50 years of experience and innovative thinking into meaningful outcomes for our customers—and rewarding careers for our people.

ChemTreat is proud to be one of Danaher's Water Quality companies . Motivated by the highest possible stakes of climate change and global health, we’re working together within a rapidly digitizing industry to find innovative technologies that guarantee the safety of our water and our environment.

https://wi.st/3vH5OUK


The Business Intelligence Developer will be instrumental on the development implementation of (BI) solutions, using Power BI that provides timely, accurate, and meaningful information to key users and decision makers across the company so they can effectively analyze business patterns and trends and make informed decisions. This involves gathering and understanding business needs and rules and documenting business requirements.

What Will I Be Doing?
Capture business, technical and operational requirements and create/communicate Cloud/Business Intelligence solution options (e.g., visualizations, etc.).
Applies Cloud/BI best industry practices to successfully design, build and implement solutions to meet the needs of the business.
Review Cloud/BI designs to ensure compliance with corporate objectives for data security, integrity, quality, performance, management, scalability, and reliability.
Develop quality control measures, testing measures, and the accuracy of data standards and consistency to support deployment of solutions for the businesses and IT.
Responsible for prototyping solutions, preparing test scripts, and conducting tests and for extraction, loading, cleansing, and data modeling for Cloud/BI solutions.

What Makes Me Qualified?
Four-year degree in Engineering , Information Science or equivalent. Master’s degree preferred.
Know how to integrate with different data sources
Strong understanding experience with Power Platform (e.g., Power BI, Power Automate, Power App)
Understand Data Modeling, Data Warehousing and Data Mart (dimension and fact tables) concepts and best practices
Work history of successful software design on API and Microservice based architecture
Strong analytical, problem-solving and metadata skills.
Advanced SQL, DBMS and NoSQL databases skills
Hands-on DAX experience

What Makes Me Stand Out?
Familiarity with AWS and Azure Cloud Services
Business acumen - Ability to obtain essential information about a situation, focus on the key objectives, recognize the feasible options, select an appropriate course of action and set in motion an implementation plan to execute solutions that include buy-in from stakeholders.
Excellent analytic skills - Ability to capture relevant information from VOC sessions and conversations with stakeholders or identify gaps independently; and ability to break down complex situations into discrete steps and/or the concrete tasks necessary to solve problems.
Customer focused - They take a personal interest and have a passion for meeting internal or external customers’ business needs. This means being fully available to the customer and becoming the advocate of customer issues within the organization.

What Makes This Opportunity Exciting?!
You will receive our comprehensive benefits package starting on the first day of employment
Flexible scheduling that allows work/life balance
Unlimited growth opportunity
You get to be a part of an innovative environment!

The salary range for this role is 93-112K. This is the range that we in good faith believe is the range of possible compensation for this role at the time of this posting. We may ultimately pay more or less than the posted range and this range is only applicable for jobs to be performed in Colorado. This range may be modified in the future.
This job is also eligible for bonus/incentive pay.
We offer comprehensive package of benefits including paid time off, medical/dental/vision insurance and 401(k) to eligible employees.
You can apply for this role through the Careers Page at https://jobs.danaher.com/global/en/ (or through the Workday “Find Jobs” function if you are a current employee)
No amount of pay is considered to be wages or compensation until such amount is earned, vested, and determinable. The amount and availability of any bonus, commission, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Company’s sole discretion, consistent with the law.

When you join us, you’ll also be joining Danaher’s global organization, where 80,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System tools and the stability of a tested organization.",28d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a1faa6ea1dec79f67c7b768&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b55d36cc&cb=1668227787211&jobListingId=1008206479728&jrtk=3-0-1ghl1vapkk632801-1ghl1varf209v000-ff911ff327473f93-
"['Beckman Coulter Diagnostics', '4.0']",http://www.beckmancoulter.com/,Software Developer II,"Coralville, IA",$64K - $82K (Glassdoor est.),"Wondering what’s within Beckman Coulter Diagnostics? Take a closer look.

At first glance, you’ll see that for more than 80 years we’ve been dedicated to advancing and optimizing the laboratory to move science and healthcare forward. Join a team where you can be heard, be supported, and always be yourself. We’re building a culture that celebrates backgrounds, experiences, and perspectives of all our associates. Look again and you’ll see we are invested in you, providing the opportunity to build a meaningful career, be creative, and try new things with the support you need to be successful.

Beckman Coulter Diagnostics is proud to work alongside a community of six fellow Diagnostics Companies at Danaher. Together, we’re working at the pace of change to improve patient lives with diagnostic tools that address the world’s biggest health challenges.

The Business Applications Analyst – IT for Beckman Coulter Diagnostics is responsible for supporting and improving the Logistics and Distribution Oracle and bolt-on systems which execute the shipping processes.

This position is part of the Information Technology (IT) Department located in Hebron, Kentucky and will be on-site at Beckman Coulter, our vision is to relentlessly reimagine healthcare, one diagnosis at a time.

You will be a part of the Operations Information Systems (OIS) team and report to the Senior Business Applications IT Manager responsible for Logistics & Distribution + Manufacturing. If you thrive in a complex environment role and want to work to build a world-class Logistics and Distribution organization—read on.


Identify and solve complex technical and operational problems related to Logistics & Distribution and Manufacturing in environment with highly integration shipping conveyors, robotic pick cell, and picking systems such as Pick & Put.

Drive system implementations through coordination with Business Operations teams to understand gaps, opportunities, and enhancements. Ability to translate those Operational requests into technical solutions within Oracle and related system tools is important.

Develop detailed and comprehensive test plans, unit test systems and coordinate testing with the business users for the unit tests, System Integration Tests (SIT) and User Acceptance Tests (UAT).

Drive standardization of Business Process and System flow documents, functional specifications, and system design specifications along with Oracle configuration documentation while recognizing the broader impact across modules, regions, and functions.

Manage implementation and support of Oracle EBS modules like Oracle WMS, Mobile Applications (MSCA), INV, OTM/GTM, shipping, transportation, and manufacturing.

Research current technologies to drive transformation in our Supply Chain, utilizing digital technologies like Oracle ECC, RPA, AI, and Predictive Analytics.

Value Stream Mapping, Standard Work, 5S, Kanban & Practical Problem Solving.


Bachelor’s degree with 9+ years experience OR Master’s degree with 7+ years in field experience OR Doctoral degree in field with 4+ years experience.

Implementation experience in Logistics systems like Oracle WMS, Mobile Applications (MSCA), INV, OTM/GTM, Shipping, Parcel Execution systems

Strong knowledge of Logistics and Distribution processes and shipping operations in a large warehouse with integrated software and hardware systems.

Technical skills, including writing SQL queries, using TOAD/SQL Developer

Confident and practiced ability to communicate with business/operations staff of all levels (warehouse to directors) to support their needs in daily operation, small and large enhancement projects.

When you join us, you’ll also be joining Danaher’s global organization, where 80,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System tools and the stability of a tested organization.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a1faa6ea1dec79f67c7b768&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_03c23f51&cb=1668227789038&jobListingId=1008124787986&jrtk=3-0-1ghl1vapkk632801-1ghl1varf209v000-692c4df5cc720073-
"['Varian Medical Systems', '4.0']",https://www.varian.com/,Software Developer II,"Coralville, IA",$64K - $82K (Glassdoor est.),"Together, we can beat cancer.
At Varian, a Siemens Healthineers Company, we bring together the world's best talent to realize our vision of a world without fear of cancer. Together, we work passionately to develop and deliver easy-to-use, efficient oncology solutions.
We are part of an incredible community of scientists, clinicians, developers, researchers, professionals, and skilled specialists pushing the boundaries of what’s possible, to improve people’s lives around the world. We embrace a culture of inclusivity in which the power and potential of every individual can be unleashed. We spark ideas that lead to positive impact and continued success.
If you want to be part of this important mission, we want to hear from you.
This is a role well suited for an individual with a passion for improving process and manufacturing operations leveraging Lean Manufacturing and Information Systems. A quick learner and a very skillful team player that facilitates the cultural transformation of an entire site to drive value to customers, employees and shareholders.",3d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a1faa6ea1dec79f67c7b768&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1df77c3a&cb=1668227792071&jobListingId=1008265734505&jrtk=3-0-1ghl1vapkk632801-1ghl1varf209v000-4a229fa3d2e63b09-
"['Hach', '3.4']",http://www.hach.com/,Software Developer II,"Coralville, IA",$64K - $82K (Glassdoor est.),"A wholly owned subsidiary of Danaher Corporation (NYSE: DHR), Sea-Bird Scientific ( www.seabird.com ) is headquartered in Bellevue, Washington. Sea-Bird Scientific is the world’s largest developer and manufacturer of products for the measurement of salinity, temperature, pressure, dissolved oxygen, fluorescence, nutrients and related oceanographic parameters in marine waters. We offer products to support best-in-class oceanography and climate science. We offer an entrepreneurial environment that is team-centered, customer-driven, quality-focused, and growth-oriented.

Working at Sea-Bird Scientific gives you access to a robust career development process and challenging stretch opportunities. Sea-Bird Scientific is proud to be one of Danaher's Water Quality companies . Through strong customer partnerships, the water platform advances the quality and delivery of water. Want to help us in this mission?

About the Role:
This role provides high quality repair and preventative maintenance services and new instruments for Sea-Bird Scientific equipment.

We are looking for an Operation Technician that utilizes an advanced understanding of electronic theory and mechanical aptitude to troubleshoot and/or repair instrumentation and components. The Operation Technician will also identify process inefficiencies, recommend solutions, and implement corrective actions leading to continuous improvement.

What Will I Be Doing?
Follow detailed assembly instructions in a variety of formats (i.e, drawings, schematics, bills of material, internal procedures or some combination thereof), and report work completed on a daily basis to ensure that all services are completed efficiently, on time, and correctly according to specifications
Provide advanced diagnostic and troubleshooting of instrumentation in a structured and logical manner, and integrate any learnings into work instructions on multiple instrument platforms that will help identify potential improvements to workflow or opportunities that benefit the customer
Perform advanced repairs and services including soldering, wiring, replacing damaged components and effectively use escalation paths and relationship networks within Sea-Bird for difficult repairs or services
Perform hydrostatic pressure tests and water bath testing, as required.
Coordinate efforts with other team members to meet daily, weekly and monthly targets and departmental goals and to understand and meet quality and delivery requirements
Lead or co-lead Kaizen events to meet customer need

Am I Qualified?
2 years technical degree in Electronics, military technical training, or equivalent work experience
3-5 years related experience in a manufacturing or service environment
Demonstrates advanced level of mechanical aptitude
Ability to read and interpret basic drawings, schematic and wiring diagrams
Demonstrated strong knowledge of and ability to solder, use of power supplies, digital multimeters, and oscilloscopes
Ability to use Microsoft Office Suite, Oracle experience required.
Ability to learn and use scientific and/or plotting software

What Makes This Opportunity Exciting?
We offer full flexible and comprehensive benefits to help meet the needs of today's varied lifestyles starting day one!
Lots of independence with a supportive team and manager!
Comprehensive training that includes on-the-job mentorship through more senior coworkers
You get to be a part of making a difference in the environment!

When you join us, you’ll also be joining Danaher’s global organization, where 80,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System tools and the stability of a tested organization.",1d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a1faa6ea1dec79f67c7b768&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_865667af&cb=1668227793710&jobListingId=1008272689595&jrtk=3-0-1ghl1vapkk632801-1ghl1varf209v000-07f6cbf01510c4e8-
"['Molecular Devices', '3.3']",http://www.moleculardevices.com/,Software Developer II,"Coralville, IA",$64K - $82K (Glassdoor est.),"Do you want to help advance scientific discovery, improving quality of life around the world? We do, too.
Molecular Devices has the opportunity to be the innovation partner that empowers scientists to fast-track research breakthroughs, leading to earlier diagnoses and safer drug treatments. We’re a dynamic, female-led life science solutions provider of high-performance bioanalytical measurement systems, software, and consumables. With Molecular Devices, you’ll grow your career with best-in-class teams in a culture of collaboration engagement, diversity, and inclusion.
Molecular Devices is proud to work alongside a community of nine fellow Danaher Life Sciences companies. Together, we’re pioneering the future of science and medicine, developing products that enable researchers in the fight to save lives.

Job Summary:
Our innovative analytical solutions for cell and protein biology empower scientists to achieve landmark discoveries. We are looking for a successful software engineer, someone with agile software skills and knowledge of technology and instrumentation used in research laboratories . The successful candidate will drive product development to further grow the strategic position of Molecular Devices, and will report to the Engineering Manager.
Duties and Responsibilities
Our innovative analytical solutions for cell and protein biology empower scientists to achieve landmark discoveries.
Adhere to high-quality development principles while delivering solutions timely and on-budget.
Guide team development efforts towards successful project delivery.
Collaborate with other software developers, business analysts and software architects to plan, design, develop, test, and maintain web- and desktop-based image analysis applications.
Write proof of concept code for quick demonstration.
Analyze and resolve technical and application problems.
Assess opportunities for application and process improvement and prepare documentation of rationale to share with team members and other affected part and provide technical leadership.
This is an Evergreen Requisition for posting.


Master Degree in Computer Science or related field
Strong understanding of JavaScript design patterns and MV* frameworks (Angular, Typescript, D3, Highcharts, FabricJS, Node)
7+ years’ experience with strong Angular skills
Experience in leading projects while being hands on


Experience with image processing technologies such as WebGL/ITK/VTK/WASM
Comprehensive understanding of object-oriented and service-oriented application development techniques, best practices and theories.
Knowledge of REST fundamentals, Java, Spring and Python
Cloud experience and understanding of Big-Data Cloud Scalability
#LI-DR1

When you join us, you’ll also be joining Danaher’s global organization, where 80,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful Danaher Business System tools and the stability of a tested organization.",22d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a1faa6ea1dec79f67c7b768&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_97159fc9&cb=1668227795580&jobListingId=1008222339376&jrtk=3-0-1ghl1vapkk632801-1ghl1varf209v000-4195355f32899a81-
"['Scope AR', '3.8']",http://www.scopear.com/,Software Developer II,"Coralville, IA",$64K - $82K (Glassdoor est.),"Scope AR is the pioneer of enterprise-class augmented reality solutions, delivering the industry’s only cross-platform AR tools for getting workers the knowledge they need, when they need it. The company is revolutionizing the way enterprises work and collaborate by offering AR tools that provide more effective and efficient knowledge-sharing to conduct complex remote tasks, employee training, product and equipment assembly, maintenance and repair, field and customer support, and more.

The company’s device-agnostic technology supports smartphones, tablets and wearables, making it easy for leading organizations like Johnson & Johnson, Danaher, Lockheed Martin, Honeywell, and others to leverage AR as a new way to scale their organizations globally, with greater efficiency.

Working at Scope AR provides you the opportunity to have a real and major impact on the way products around the globe get created and how work gets done.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a1faa6ea1dec79f67c7b768&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6f267cf5&cb=1668227798455&jobListingId=1007241212400&jrtk=3-0-1ghl1vapkk632801-1ghl1varf209v000-945393a42a3cb927-
"['Varian Medical Systems', '4.0']",https://www.varian.com/,Software Developer II,"Coralville, IA",$64K - $82K (Glassdoor est.),"Together, we can beat cancer.
At Varian, a Siemens Healthineers Company, we bring together the world's best talent to realize our vision of a world without fear of cancer. Together, we work passionately to develop and deliver easy-to-use, efficient oncology solutions.
We are part of an incredible community of scientists, clinicians, developers, researchers, professionals, and skilled specialists pushing the boundaries of what’s possible, to improve people’s lives around the world. We embrace a culture of inclusivity in which the power and potential of every individual can be unleashed. We spark ideas that lead to positive impact and continued success.
If you want to be part of this important mission, we want to hear from you.
This is a role well suited for a talented engineer that has experience supporting growing Medical Device operations and a track record of significantly improving manufacturing process.
This is a role well suited for a talented engineer that has experience supporting growing Medical Device operations and a track record of significantly improving manufacturing process. As a manufacturing engineer you will be responsible for:",3d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a1faa6ea1dec79f67c7b768&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bb77cfde&cb=1668227801260&jobListingId=1008266544162&jrtk=3-0-1ghl1vapkk632801-1ghl1varf209v000-04a73fcde17ff989-
"['Danaher Water Quality Platform', '4.0']",http://jobs.danaher.com/,Software Developer II,"Coralville, IA",$64K - $82K (Glassdoor est.),"A wholly owned subsidiary of Danaher Corporation (NYSE: DHR), Sea-Bird Scientific (www.seabird.com) is headquartered in Bellevue, Washington. Sea-Bird Scientific is the world’s largest developer and manufacturer of products for the measurement of salinity, temperature, pressure, dissolved oxygen, fluorescence, nutrients and related oceanographic parameters in marine waters. We offer products to support best-in-class oceanography and climate science. We offer an entrepreneurial environment that is team-centered, customer-driven, quality-focused, and growth-oriented.
Working at Sea-Bird Scientific gives you access to a robust career development process and challenging stretch opportunities. Sea-Bird Scientific is proud to be one of Danaher's Water Quality companies. Through strong customer partnerships, the water platform advances the quality and delivery of water. Want to help us in this mission?",10d,
