Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Dell', '4.3']",https://jobs.dell.com/,Software Principal Engineer – Frontend,"Hopkinton, MA",$116K - $161K (Glassdoor est.),"Software Principal Engineer – Frontend
Join us as a Software Principal Engineer on our Edge Platform Software Development team in Hopkinton, MA or Remote, USA, to do the best work of your career and make a profound social impact.
We are seeking an experienced Frontend Software engineer who is passionate about building scalable distributed systems for Dell’s rapidly expanding Edge Business.
What you’ll achieve
The Dell Technologies Edge Portfolio team is developing a North Star architecture and SW Platform that enables Dell to win at the edge. You will have an exciting opportunity to make a huge impact on the Dell’s strategic Edge business while building a highly scalable software platform with cutting edge technologies.",24h,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846acb12e895b1e913b216ab2d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_51d3aa71&cb=1668239017571&jobListingId=1008274315184&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlcm4oii9go801-1ghlcm4p324hh000-d9c10724e3d2b740--6NYlbfkN0AgWdHB-1Gn00exb8huEpxfx2g-_385e5PlrYs2PG9d-4FewXCfwrDt_pABffi4qO4mj6W0gZb6yXzrMcM4L35ufjyKoj6QzicXQD1XF3YPwCw-0PcbPJRpmuoI426E9m5E9cWfJhlGfHbXGfZ-baVL9pXtJ-aHN6j-jTQ5T47DMugLIpOYOPLHLYXm9lsy8OBBDFRyrKjhIrPN-1vKh23zbFtT0dnqAjJXsynHQezDMnTUvGnT2UUL9hEVWHYoUlQNkGesp8jNHcCiIr8s4ROfBJc87DrecPAphIqHcXFE0ILDS99I5x2DekNu3Hu6EJLwxZsnuocFYhOEtxFS-CKB0BC3ZLr4h5E_71kymmoX3vlJunlJ_CZsK6ziQUUQ28Drc2-4vQz8bucwOvkGs-Xz0rcacez0RScqEigwd9tOJ4EP4Gz4AG5EcoSzBgMjnss%3D
"['Dell', '4.3']",https://jobs.dell.com/,Software Principal Engineer – Frontend,"Hopkinton, MA",$116K - $161K (Glassdoor est.),"Senior Software Engineer (Java/REST API’s ) - PowerProtect Data
Dell provides the technology that transforms the way we all work and live. But we are more than a technology company — we are a people company. We inspire, challenge and respect every one of our over 100,000 employees. We also provide them with unparalleled growth and development opportunities.

The Software Engineering team delivers next-generation software application enhancements and new products for a changing world. Working at the cutting edge, we design and develop software for platforms, peripherals, applications and diagnostics — all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners.
Senior Software Engineer (Java/REST API’s ) - PowerProtect Data Management Product Irvine, CA (Local Candidates Only), these are hybrid positions, 2 or 3 days in the Irvine office with the rest of the week remote.",1d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846acb12e895b1e913b216ab2d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3f5e4e34&cb=1668239021563&jobListingId=1008271624936&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghlcm4oii9go801-1ghlcm4p324hh000-f20df8b31559d40e--6NYlbfkN0AgWdHB-1Gn00exb8huEpxfx2g-_385e5PlrYs2PG9d-4FewXCfwrDt_pABffi4qO6HwVCBDm133mEZtISmJkst0Znr8wJh7pHALUHvJjOWYmBJlE3mo2g_UY9OEDmL18kzbykWIi_tdwiqJlXCJrqCyM1T2u1lR9dFdTFy0S9zwpKNC_PSeGxGx_kZVgPntTcS0eFYs7N3dIDM4mkNjR0nagFek6VC7aLtbn6tSc3QVLofoguRp_pDm8JKccYt_GNSliSFSoO_7TZQAOK1m0QCAcgxEoU-yWl61hiwi2wpduc9RYomqrOZeC4p2z7wat4oB3VtBv2S47KqCZ8MX-JyZSLIHt0ZgqFAs-3bEK_lRv6JoYZyNvVcYuNmzlnHg2XX7hNbsujgNwQuMlXuwM9lPIqn_fKnXeOL-2GP3O90T-uzlVG2CVY7WboImc829p0%3D
"['Dell', '4.3']",https://jobs.dell.com/,Software Principal Engineer – Frontend,"Hopkinton, MA",$116K - $161K (Glassdoor est.),"Principal Software Engineer
The Networking Engineering team delivers next-generation platforms, application enhancements and new products for a changing world. Working at the cutting edge, we design and develop network software for data center platforms, applications and diagnostics — all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners. Focused on the needs of our customers within the changing world of technology, we ensure all software and hardware products are interoperable and compatible with network standards.
Join us as a Principal Software Engineer on our Networking Development team in Santa Clara, California to do the best work of your career and make a profound social impact.
What you’ll achieve
As a Software Principal Engineer, you will be responsible for developing sophisticated systems and software based on the customer’s business goals, needs and general business environment creating software solutions.",24h,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846acb12e895b1e913b216ab2d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5209c148&cb=1668239024539&jobListingId=1008273790839&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghlcm4oii9go801-1ghlcm4p324hh000-bae1d74e82b3be81--6NYlbfkN0AgWdHB-1Gn00exb8huEpxfx2g-_385e5PlrYs2PG9d-4FewXCfwrDt_pABffi4qO4NiYdY6TvCsWrZUeCnUD_zDXEVRPZN14DnLdmElJrxkxti0YS5pIy7ezo050zizZqFQrMEBkhWieLGNL7e3b7_0F-ldIBT9_utah0bp6ahSNi8gVDpURMd_yQWYnlVBhU8G0IXn4kd6DdOYQG06PgyFZAFLqBkfVy8AFe1o4cucjn1JHYTj--h0UnuDgBYVZTvPE6RE31_489WCjPddf0PB1zWzw90ii7ZQcGJL2MfJ6W7zyOEig0pgE4upvs51kAvr5OrLWD3Sor9knLfwCMeXwrdo79o2nktfU_ytWBdXfYD59JCsEMA_XADD1Wa6lRYcKvCIFE90YNnskVx0LKRp76BazT0JBkdMtnMGxpLrrgHIajjSM18Q-_lLRxAotw%3D
"['Dell', '4.3']",https://jobs.dell.com/,Software Principal Engineer – Frontend,"Hopkinton, MA",$116K - $161K (Glassdoor est.),"Software Principal Engineer
Join us as a Software Principal Engineer on our Software Engineering team in Hopkinton, Massachusetts to do the best work of your career and make a profound social impact. Open to a REMOTE worker on Eastern Time.
What you’ll achieve
At PowerFlex we pride ourselves on the flexibility, performance, and reliability and of our software-defined distributed storage solutions. As a Software Principal Engineer, you will be responsible for developing cutting edge software while providing creative solutions based on our business needs.
You will:",5d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846acb12e895b1e913b216ab2d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ff2788a1&cb=1668239028589&jobListingId=1008261554459&jrtk=3-0-1ghlcm4oii9go801-1ghlcm4p324hh000-e86696294d04c4bf--6NYlbfkN0AgWdHB-1Gn00exb8huEpxfx2g-_385e5PlrYs2PG9d-4FewXCfwrDt_pABffi4qO5zoj-T815GbXLAciq4mvgU9R7Z7HTFO4-YZl2HqnqxvzTRlJ85IWDHk4pxkKcr94rkaTk_zpQ3K8Whaw7Ql3Z83PIM_f4qDjZ2TE5_rUeciYpVCkMeogiFJkKVG_Pn5Mr57-0vFR_AGoiN1DfnwoM1RuYIHXnlWKlQhqIczU_p-C1rr7F9Hs7TaQzLM_AjJ8zAyzu8OQjg_XMseLjitzuU5s-mMUqo596NRr98Fj-SmompIw1g9WN1UyeA8VLx68RV-RHzNL6qOHwcze43fFt5K3Z_GbyxxzWzNJgzeDc1-VZvKHuYS-nIzzokzmWcGAJU3UvLPR7I1C2EXjRmePMHFp3otfxmgW8i-FuCBWzMaPZmEBna4oK1hu2mKJgEZfM%3D
"['Dell Technologies', '4.3']",https://jobs.dell.com/,Software Principal Engineer – Frontend,"Hopkinton, MA",$116K - $161K (Glassdoor est.),"Software Engineer/DevOps Engineer
The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Working at the cutting edge, we design and develop software for platforms, peripherals, applications and diagnostics — all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners.
Join us as a Software Engineer on our Software Engineering team in US-Remote to do the best work of your career and make a profound social impact.

What you’ll achieve
As a Software Engineer, you will be responsible for developing sophisticated systems and software basis the customer’s business goals, needs and general business environment creating software solutions.",16d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846acb12e895b1e913b216ab2d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d6ebf78b&cb=1668239031441&jobListingId=1008236259039&jrtk=3-0-1ghlcm4oii9go801-1ghlcm4p324hh000-cebba8b7553168c5-
"['Dell Technologies', '4.3']",https://jobs.dell.com/,Software Principal Engineer – Frontend,"Hopkinton, MA",$116K - $161K (Glassdoor est.),"DevOps Engineer
The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Working at the cutting edge, we design and develop software for platforms, peripherals, applications and diagnostics — all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners.
Join us as a Software Engineer/DevOps Engineer on our Software Engineering team in Hopkinton, MA to do the best work of your career and make a profound social impact. Position can be Remote in MA or TX.

What you’ll achieve
As a Software Engineer, you will be responsible for developing sophisticated systems and software basis the customer’s business goals, needs and general business environment creating software solutions.",8d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846acb12e895b1e913b216ab2d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d78d7444&cb=1668239034342&jobListingId=1008256216852&jrtk=3-0-1ghlcm4oii9go801-1ghlcm4p324hh000-5c948c1de2c163f7-
"['Dell Technologies', '4.3']",https://jobs.dell.com/,Software Principal Engineer – Frontend,"Hopkinton, MA",$116K - $161K (Glassdoor est.),"Principal Software Engineer - Cloud (Remote)
The Software Engineering team delivers next-generation software application enhancements and new products for a changing world. Working at the cutting edge, we design and develop software for platforms, peripherals, applications and diagnostics — all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners.
Join us as a Principal Software Engineer on our Software Engineering team in our Seattle office (Remote candidates will also be considered) to do the best work of your career and make a profound social impact.
Dell Technologies has had a 35-year history and track record of delivering ground-breaking products, solutions and services to help millions of customers on their modernization and digital transformation journey! As we define our mission for the next 35 years – the opportunities to reshape the cloud are massive. We will do this through our uniquely differentiated approach, unparalleled commitment to customer success and focus on innovation. We are making huge bets and fast progress to bring clouds to our customers – wherever they may be!",3d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846acb12e895b1e913b216ab2d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a482b6ae&cb=1668239036634&jobListingId=1008266952037&jrtk=3-0-1ghlcm4oii9go801-1ghlcm4p324hh000-356c749ff3df85eb-
"['Dell Technologies', '4.3']",https://jobs.dell.com/,Software Principal Engineer – Frontend,"Hopkinton, MA",$116K - $161K (Glassdoor est.),"Software Senior Engineer – DevOps
The DevEx team delivers next-generation application enhancements and new products for a changing world. Working at the cutting edge, we design and develop software for platforms, peripherals, applications and diagnostics — all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners.
Join us as a Software Senior Engineer on our APEXEngineering Developer Experience (DevOps) team in the Massachusetts (Remote), to do the best work of your career and make a profound social impact.
What you’ll achieve
Dell Technologies is currently looking for an experienced Software Senior Engineer who will be a member of the global APEX Developer Experience! You will play a key role in the smooth delivery of high-value features that enhance productivity for our APEX engineering organization. This includes, but is not limited to, build infrastructure, artifact generation/management, tooling evaluation, selection, integration and support, and automated onboarding and deployment. You will work, and interact regularly, with software engineers (in cloud microservice development and IT), TechOps, Infrastructure, SecOps, Product Marketing and other Scrum teams, operating within a Scrum-at-Scale framework.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846acb12e895b1e913b216ab2d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f1efbe3b&cb=1668239039240&jobListingId=1008182155530&jrtk=3-0-1ghlcm4oii9go801-1ghlcm4p324hh000-d5eda9ae3a23732b-
"['Dell Technologies', '4.3']",https://jobs.dell.com/,Software Principal Engineer – Frontend,"Hopkinton, MA",$116K - $161K (Glassdoor est.),"Senior Software Development Engineer
The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Working at the cutting edge, we design and develop software for platforms, peripherals, applications and diagnostics — all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners
Join us as a Senior Software Development Engineer on our Software Engineering team in Hopkinton, MA to do the best work of your career and make a profound social impact. Remote options are available.

What you’ll achieve
As a Senior Software Engineer, you will work with a diverse group of developers and designers to deliver creative new technology into Dell's Enterprise customer environments. You will be a key contributor in a small group of developers building a new functionality across some of Dells premier platforms. You will be responsible for developing a new software solution based on business needs and goals. Together, we will raise the bar with Dell’s service engagement in demanding customer environments.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846acb12e895b1e913b216ab2d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bc455c70&cb=1668239042279&jobListingId=1008073308771&jrtk=3-0-1ghlcm4oii9go801-1ghlcm4p324hh000-90407a3279bca49b-
"['Dell Technologies', '4.3']",https://jobs.dell.com/,Software Principal Engineer – Frontend,"Hopkinton, MA",$116K - $161K (Glassdoor est.),"Software Principal Engineer
The Software Engineering team delivers next-generation application enhancements and new products for a changing world. Working at the cutting edge, we design and develop software for platforms, peripherals, applications and diagnostics — all with the most advanced technologies, tools, software engineering methodologies and the collaboration of internal and external partners.
Join us as a Software Principal Engineer on our Software Engineering team in USA to do the best work of your career and make a profound social impact. The ideal candidate can work remote, from anywhere in USA

What you’ll achieve
As a Software Principal Engineer, you will be responsible for developing sophisticated systems and software based on the customer’s business goals, needs and general business environment creating software solutions.



Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:",8d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846acb12e895b1e913b216ab2d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3bf06c01&cb=1668239046108&jobListingId=1008256217710&jrtk=3-0-1ghlcm4oii9go801-1ghlcm4p324hh000-445f838f37d4b91d-
