Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Dollar General', '2.8']",https://www.dollargeneral.com/,SR SOFTWARE ENGINEER,"Goodlettsville, TN",$69K - $100K (Glassdoor est.),"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
General Summary:
A Senior Software Engineer, working independently or with limited supervision, translates high-level business requirements into technical designs, proposes design alternatives, codes and/or communicates requirements to junior engineers. They have a strong knowledge of the applications in their functional area, how each supports the goals of the business and how they interface with each other and to applications outside of their area. They lead small development engagements, mentor junior engineers, solve difficult and highly complex technical problems and may be called on to consult on other projects.


Qualifications:",24h,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846984176db2e1ad9733583b5b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fdcec452&cb=1668217601975&jobListingId=1008274560911&jrtk=3-0-1ghko85t8j46s801-1ghko85tsghpk800-f80049f17da7686b-
"['Dollar General', '2.8']",https://www.dollargeneral.com/,SR SOFTWARE ENGINEER,"Goodlettsville, TN",$69K - $100K (Glassdoor est.),"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
**This is a remote position**

In our ever-changing, fast-paced digital world, our approach helps brands envision, and enable their online and mobile presence in Dollar General digital properties.
We are looking for an Adobe Target and Analytics Developer to create big-picture digital solutions and deliver transformational brand experiences. This person will work alongside our design team and support multi-channel campaigns, helping with strategy at their intersections. If you are passionate about collaborating with curious minds and helping solve complex problems, we want to hear from you!

Qualifications:",24h,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846984176db2e1ad9733583b5b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_761a2c01&cb=1668217606741&jobListingId=1008275196816&jrtk=3-0-1ghko85t8j46s801-1ghko85tsghpk800-b05c2c4e166fafda-
"['Dollar General', '2.8']",https://www.dollargeneral.com/,SR SOFTWARE ENGINEER,"Goodlettsville, TN",$69K - $100K (Glassdoor est.),"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
**This is a remote position**

In our ever-changing, fast-paced digital world, our approach helps brands envision, and enable their online and mobile presence in Dollar General digital properties.
We are looking for an Adobe Target and Analytics Developer to create big-picture digital solutions and deliver transformational brand experiences. This person will work alongside our design team and support multi-channel campaigns, helping with strategy at their intersections. If you are passionate about collaborating with curious minds and helping solve complex problems, we want to hear from you!

Qualifications:",24h,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846984176db2e1ad9733583b5b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7de2e289&cb=1668217609324&jobListingId=1008275196804&jrtk=3-0-1ghko85t8j46s801-1ghko85tsghpk800-fecb954795cc3c34-
"['Dollar General', '2.8']",https://www.dollargeneral.com/,SR SOFTWARE ENGINEER,"Goodlettsville, TN",$69K - $100K (Glassdoor est.),"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
**This is a remote position**

In our ever-changing, fast-paced digital world, our approach helps brands envision, and enable their online and mobile presence in Dollar General digital properties.
We are looking for an Adobe Target and Analytics Developer to create big-picture digital solutions and deliver transformational brand experiences. This person will work alongside our design team and support multi-channel campaigns, helping with strategy at their intersections. If you are passionate about collaborating with curious minds and helping solve complex problems, we want to hear from you!

Qualifications:",24h,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846984176db2e1ad9733583b5b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_908ae4f2&cb=1668217613164&jobListingId=1008275188445&jrtk=3-0-1ghko85t8j46s801-1ghko85tsghpk800-e49c927b376f6b86-
"['Dollar General', '2.8']",https://www.dollargeneral.com/,SR SOFTWARE ENGINEER,"Goodlettsville, TN",$69K - $100K (Glassdoor est.),"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
The Digital App Software Engineer is part of the software development team working on design, development and implementation of software applications to realize business needs. This position requires demonstrated ability to develop software applications.

Qualifications:",9d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846984176db2e1ad9733583b5b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2da004d1&cb=1668217616249&jobListingId=1008253672944&jrtk=3-0-1ghko85t8j46s801-1ghko85tsghpk800-b947f93b0251c7d4-
"['Dollar General', '2.8']",https://www.dollargeneral.com/,SR SOFTWARE ENGINEER,"Goodlettsville, TN",$69K - $100K (Glassdoor est.),"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.

Job Details:
Systems Engineer is an end-to-end Windows client OS subject matter expert responsible for the full life cycle of a given device. The position requires the ability to support and operate multiple enterprise applications responsible for managing 60,000+ clients in a cost-effective and secure manner.

Build, manage and maintain Windows 10 images.

Build, manage and deploy all group policy.

Engineer and deploy any necessary fix to the fleet

Familiarize and assist with management and support of POS environment.

Familiarize and assist with management and support of MDM environment.


Must be able to take requirements and carry solution to completion.

Understand common enterprise architecture

Skilled in batch and powershell scripting

Prior experience using configuration management utility, ie, SCCM, Bigfix

Experience building Windows reference images via MDT or SCCM.

Prior experience managing a large number of endpoints.

Retail Management preferred.

Work Experience

BSc in Computer Science

10+ years in systems administration",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846984176db2e1ad9733583b5b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_137aaa40&cb=1668217618298&jobListingId=1008158718572&jrtk=3-0-1ghko85t8j46s801-1ghko85tsghpk800-8652ed5e33785338-
"['Dollar General', '2.8']",https://www.dollargeneral.com/,SR SOFTWARE ENGINEER,"Goodlettsville, TN",$69K - $100K (Glassdoor est.),"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
**This is a remote position**

In our ever-changing, fast-paced digital world, our approach helps brands envision, and enable their online and mobile presence in Dollar General digital properties.
We are looking for an Adobe Target and Analytics Developer to create big-picture digital solutions and deliver transformational brand experiences. This person will work alongside our design team and support multi-channel campaigns, helping with strategy at their intersections. If you are passionate about collaborating with curious minds and helping solve complex problems, we want to hear from you!

Qualifications:",27d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846984176db2e1ad9733583b5b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_74af08e7&cb=1668217622241&jobListingId=1008209133904&jrtk=3-0-1ghko85t8j46s801-1ghko85tsghpk800-2bab5aac7a793410-
"['Dollar General', '2.8']",https://www.dollargeneral.com/,SR SOFTWARE ENGINEER,"Goodlettsville, TN",$69K - $100K (Glassdoor est.),"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
General Summary:
We are looking for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities. ML Engineer helps increase the speed of delivery, improve the quality of code, and streamline processes in support of productionalizing models. The ML Engineer is responsible for identifying a production method to establish model code automation to be deployed to production systems and are operational with low latency. He or she is responsible for infrastructure implementation tools such as code and support services in multiple clouds, along with metrics and access to information

Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846984176db2e1ad9733583b5b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5a6b7aac&cb=1668217624345&jobListingId=1008102261545&jrtk=3-0-1ghko85t8j46s801-1ghko85tsghpk800-6b0d9c1bc1b03219-
"['Dollar General', '2.8']",https://www.dollargeneral.com/,SR SOFTWARE ENGINEER,"Goodlettsville, TN",$69K - $100K (Glassdoor est.),"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
The Digital App Software Engineer is part of the software development team working on design, development and implementation of software applications to realize business needs. This position requires demonstrated ability to develop software applications.

Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846984176db2e1ad9733583b5b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_569be5d9&cb=1668217628414&jobListingId=1007811362413&jrtk=3-0-1ghko85t8j46s801-1ghko85tsghpk800-b9b23cdfa1a9d390-
"['Dollar General', '2.8']",https://www.dollargeneral.com/,SR SOFTWARE ENGINEER,"Goodlettsville, TN",$69K - $100K (Glassdoor est.),"Company Overview:
Dollar General Corporation has been delivering value to shoppers for more than 80 years. Dollar General helps shoppers Save time. Save money. Every day.® by offering products that are frequently used and replenished, such as food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares and seasonal items at everyday low prices in convenient neighborhood locations. Dollar General operates more than 18,000 stores in 47 states, and we’re still growing. Learn more about Dollar General at www.dollargeneral.com.
Job Details:
The Lead Software Engineer (LSE) directs the software development team on the design, development and implementation of software applications to realize business needs. This position requires demonstrated ability to translate business and technical architecture requirements into design specifications.
Responsible for multiple products and projects simultaneously across multiple business units, companies and areas of expertise.
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846984176db2e1ad9733583b5b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_accdca8c&cb=1668217630215&jobListingId=1008003805107&jrtk=3-0-1ghko85t8j46s801-1ghko85tsghpk800-39ab8ee6061e75cd-
