Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Dollar Tree', '3.0']",http://www.dollartree.com/,UX DESIGNER,"Chesapeake, VA",$54K - $81K (Glassdoor est.),"As a UX Designer you will be responsible for researching, designing, and continuously enhancing user experiences for our customers while improving customer engagement, satisfaction, and conversion. You will display exceptional interface design and creative problem-solving skills with expert-level hands-on knowledge of creating wireframes, prototypes, and detailed mockups utilizing industry-standard tools, such as Figma or Axure. You will engage in data-driven user research and discovery to identify user pain points and opportunities. You will collaborate with product managers and all related stakeholders to define, ideate, test, and validate multichannel experiences to help deliver world-class user-centric designs.

As an ideal candidate you will lead multifaceted UX design projects for the organization’s digital initiatives and utilize your knowledge of UX processes, tools, and industry best practices combined with excellent management skills.

Principal Duties and Responsibilities
Minimum Requirements/Qualifications

This is not to be considered a complete list of job duties, as they may be amended or added to as needed.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a977f7981820500c669109c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_64133d9a&cb=1668235631618&jobListingId=1008151021624&jrtk=3-0-1ghl9evu3kbng801-1ghl9evuni171800-528a4932bcedde8e-
"['ApolloMed', '3.9']",http://www.apollomed.net/,Data Analyst,"Monterey Park, CA",$53K - $77K (Glassdoor est.),"Data Analyst Job Description

ApolloMed (NASDAQ: AMEH) is a physician-centric, technology-powered healthcare management company. We are building and operating a novel, integrated, value-based healthcare delivery platform to empower our physicians to provide the highest quality of end-to-end care for their patients in a cost-effective manner. Our mission is to combine our clinical experience, best-in-class delivery network, and technological expertise in order to improve patient outcomes, increase access to healthcare, and make the US healthcare system more efficient.

Our platform currently empowers over 10,000 physicians to provide care for over 1.2 million patients nationwide. Our rapid growth and unique position at the intersection of all major healthcare stakeholders (payer, provider, and patient) gives us an unparalleled opportunity to combine clinical and technological expertise in order to improve patient outcomes, increase access to quality healthcare, and reduce the waste in the US healthcare system.",30d+,
"['Apollo Medical Holdings', '2.0']",http://www.apollomedicalpc.com/,Data Analyst,"Monterey Park, CA",$53K - $77K (Glassdoor est.),"Data Analyst Job Description
ApolloMed (NASDAQ: AMEH) is a physician-centric, technology-powered healthcare management company. We are building and operating a novel, integrated, value-based healthcare delivery platform to empower our physicians to provide the highest quality of end-to-end care for their patients in a cost-effective manner. Our mission is to combine our clinical experience, best-in-class delivery network, and technological expertise in order to improve patient outcomes, increase access to healthcare, and make the US healthcare system more efficient.
Our platform currently empowers over 10,000 physicians to provide care for over 1.2 million patients nationwide. Our rapid growth and unique position at the intersection of all major healthcare stakeholders (payer, provider, and patient) gives us an unparalleled opportunity to combine clinical and technological expertise in order to improve patient outcomes, increase access to quality healthcare, and reduce the waste in the US healthcare system.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a97bc3084f2ee692514ae05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d16d9639&cb=1668235651939&jobListingId=1008196922656&jrtk=3-0-1ghl9ff372heh001-1ghl9ff3ni38g800-6efc67808b4e4fb0-
"['Altana AI', '4.0']",https://www.altana.ai/,Data Analyst,"Monterey Park, CA",$53K - $77K (Glassdoor est.),"To solve climate change, wealth inequality, supply chain stability, and national security we must change how our global supply chains work. Altana is a Trusted Commerce Platform built on a shared source of truth for the global supply chain. The purpose of Altana is to enable resilient, sustainable, secure, and inclusive global commerce: Globalization 2.0.

We have built a layer of shared intelligence across the world's supply chain information: a living map of trillions of dollars of B2B commercial activity, covering 400M companies connected by billions of shipments. This knowledge graph powers Altana's Trusted Commerce Platform - the Altana Atlas - which, after only three years since founding, is already used by many of the world's most important governments, enterprises, and logistics providers.",6d,
"['Apollo Medical Holdings', '2.0']",http://www.apollomedicalpc.com/,Data Analyst,"Monterey Park, CA",$53K - $77K (Glassdoor est.),"Department: Data Analytics

Employee Name:
Page 1 of 3

Job Title: Senior Data Analyst

Reports To: Senior Data Scientist",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a97bc3084f2ee692514ae05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_071940c3&cb=1668235657819&jobListingId=1008164404807&jrtk=3-0-1ghl9ff372heh001-1ghl9ff3ni38g800-ba0e1e097ad5012b-
"['ApolloMed', '3.9']",http://www.apollomed.net/,Data Analyst,"Monterey Park, CA",$53K - $77K (Glassdoor est.),"Department: Data Analytics

Employee Name:
Page 1 of 3

Job Title: Senior Data Analyst

Reports To: Senior Data Scientist",30d+,
"['Orange County Fire Authority', '3.8']",http://www.ocfa.org/,Data Analyst,"Monterey Park, CA",$53K - $77K (Glassdoor est.),"DESCRIPTION
This is a continuous recruitment with a first application review date of November 14, 2022. Qualified applicants who apply before November 14, 2022, will be invited to participate in the process listed below in the Schedule of Events section of this recruitment announcement. Applicants who apply on or after November 14, 2022, will be included in an additional selection process. The dates of additional selection processes will be released following the first application review.
*
CLASS SUMMARY*
Under supervision, performs a full range of strenuous physical tasks related to fire suppression, fire line construction, improvement, and rehabilitation to fire lines and burn areas; mop up fire hotspots using hand tools to stop the fire spread; and other related support functions.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a97bc3084f2ee692514ae05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_be40908f&cb=1668235663482&jobListingId=1008181328308&jrtk=3-0-1ghl9ff372heh001-1ghl9ff3ni38g800-71bddd944512bd26-
"['Dollar Tree', '3.0']",http://www.dollartree.com/,Data Analyst,"Monterey Park, CA",$53K - $77K (Glassdoor est.),"The Director, Investor Relations reports to the Vice President, Investor Relations and assists the VP, Investor Relations in developing, managing and executing a comprehensive and proactive investor relations program that is in compliance with corporate policies and securities regulations and accurately reflects the Company’s strategies and opportunities. This role must educate investors and analysts, coordinate meetings with senior leadership and draft key investor communications, including press releases, presentations and prepared remarks for earnings calls. Incumbents are also responsible for handling e-mails and calls from individual investors, managing the IR portion of the Company website and coordinating the annual meeting of stockholders. This position will have one direct report, the Manager, Investor and Media Relations, and will oversee media relations, crisis communications and public relations.

ESSENTIAL ACTIVITIES & RESPONSIBILITIES: List the essential functions and responsibilities of the position. Include all important aspects of the position-whether performed daily or annually.
Position Activity or Responsibility
Assist the VP, Investor Relations with the development and execution of the Company’s comprehensive, proactive IR program designed to maximize long-term shareholder value:
o Educate and update investors and analysts regarding the Company’s results, strategies and objectives;
o Manage the quarterly earnings release process, including the coordination of conference calls and the preparation of press releases, earnings call prepared remarks and potential Q&A topics;
o Develop and maintain financial presentations, investor presentations, investor kits, briefing packages, financial reports, annual report, board meeting materials, and other supporting collateral materials;
o Coordinate investor meetings with Company management; and
o Design and maintain the content of investor relations web site and respond to investor inquiries; and",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a97bc3084f2ee692514ae05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_43614403&cb=1668235667333&jobListingId=1008144819450&jrtk=3-0-1ghl9ff372heh001-1ghl9ff3ni38g800-3f8d91ff1f8a2d4b-
"['US Veterans Health Administration', '3.7']",http://www.vacareers.va.gov/,Data Analyst,"Monterey Park, CA",$53K - $77K (Glassdoor est.),"Duties
The Terminology Director is a supervisory physician informaticist who leads a nationally prominent team including 10.6 full time equivalent staff and a multimillion dollar contracting budget to accomplish operational, strategic, and thought leadership goals. The terminology team's physicians, nurses and analysts apply their deep expertise to activities including detailed analysis, mapping, modeling and knowledge representation on projects ranging from new development to maintenance and consultations in VistA/CPRS, Cerner, health information exchange and other VA Health Information Technologies.

VA recognizes the value of coded data at the point of care and for a multitude of local, regional and national initiatives. The Terminology team solicits and addresses its customers' terminology needs with multiple methods of outreach and publication such as ""new term rapid turnaround"" services and the use of a VA extension to rapidly deploy new terms. The terminology team is committed to advancing national and international terminology standards by contributing new content from the VA extension to the appropriate Standards Development Organization (SDO).

The incumbent is responsible for meeting KBS goals and for advancing the practice and science of clinical informatics. The incumbent will use informatics, leadership, and collaboration skills, experience and comprehensive knowledge of a variety of health care settings to work with clinicians, researchers, educators, technical staff, and administrators in CIDMO and OHI, other VA Central Office programs, VA field facilities, and representatives from other portions of the federal and private sectors, including national and international workgroups. The incumbent will have input to the Director KBS concerning clinical informatics matters and priorities, and will provide informatics representation for interagency collaborations with emphasis on the strategic level. The incumbent will also represent KBS or serve as the primary KBS, CIDMO or OHI representative on clinically related committees and workgroups within the agency and the larger federal community.
VA offers a comprehensive total rewards package. VHA Physician Total Rewards.

Competitive salary, annual performance bonus, regular salary increases
50-55 days of paid time off per year (26 days of annual leave, 13 days of sick leave, 11 paid Federal holidays per year and possible 5 day paid absence for CME)
Traditional federal pension (5 years vesting) and federal 401K with up to 5% in contributions by VA
Federal health/vision/dental/term life/long-term care plans are available for selection at minimal cost to employee. (Many federal insurance programs can be carried into retirement.)
Current, full and unrestricted license to practice medicine or surgery in a State, Territory, or Commonwealth of the United States, or in the District of Columbia
Possible $1,000 per year reimbursement (must be full-time with board certification)
Free liability protection with tail coverage provided
No Physician Employment Contract and no significant restriction on moonlighting

Monday - Friday, 8am - 4:30pm",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a97bc3084f2ee692514ae05&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_550b4dd9&cb=1668235669181&jobListingId=1008140872489&jrtk=3-0-1ghl9ff372heh001-1ghl9ff3ni38g800-e51e3e93019eda56-
"['Dollar Tree', '3.0']",http://www.dollartree.com/,IT – Network Engineer,"Chesapeake, VA",$60K - $94K (Glassdoor est.),"Summary of Position

The Network Engineer is responsible for the design, implementation and support of the data/voice/video networks used to support Dollar Tree and Family Dollar banner facilities. It is also responsible to participate in the interaction between business, project and support personnel to develop and maintain these solutions

Key areas of responsibility:
o Networks that support operations of all enterprise wired and wireless networks and VoIP solutions.
o Secure communications to third party service providers such as payment processors, SAAS/IAAS, and trading partners.
o Computer – telephone integration solutions for contact centers
o Headquarters telecommunications solutions including audio and video conferencing
o Network instrumentation, reporting and failure analysis
o Lead technical design projects to support business requirement efforts




This is not to be considered a complete list of job duties, as they may be amended or added to as needed.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a983a769066c19d5cb617f0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d9ac6511&cb=1668235678421&jobListingId=1008153584109&jrtk=3-0-1ghl9gekpmbi4801-1ghl9gelgg4do800-ab578b9c7793c606-
