Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
['DuPont'],,Application Development Specialist – Residential Construction,"Midland, MI",$90K - $130K (Employer est.),"Location: Midland, MI
Skills: Residential Construction Industry, Construction Practices, Building Physics, Building Code, Civil Engineering, Construction Management
OVERVIEW
We are seeking for a Applications Development Specialist for our Water & Protection’s (W&P) Shelter business that combines market-leading brands (including Corian® Design, Great Stuff™, Styrofoam™ and Tyvek®) into one customer-centric line of business. Performance Building Solutions (PBS), as business unit within S&C Shelter, is a leading global provider of value-added solutions in the areas of weatherization, air sealing, thermal comfort and fire protection systems for the building and construction market. PBS is an active leader in advancing building science, developing solutions to improve construction productivity and fostering the use of more sustainable and resilient building materials and practices.",9d,
"['Dupont', '4.0']",http://www.dupont.com/,Application Development Specialist – Residential Construction,"Midland, MI",$90K - $130K (Employer est.),"At DuPont, we are working on things that matter, whether it’s providing clean water to more than a billion people on the planet, producing materials that are essential in everyday technology devices from smartphones to electric vehicles, or protecting workers in this global pandemic.
If you would like to be a part of a premier multi-industrial company that is delivering sustainable solutions that bring real purpose and value, of a company with collaborative spirit because it believes that we work best when we work together as a team and values the diversity of thought, then DuPont is the company for you!
WHY JOIN US?
Our purpose is to empower the world with essential innovations to thrive. We work on things that matter!",22d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469e1897ebd99e315149ab877&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_92f6697e&cb=1668223710203&jobListingId=1008221178647&jrtk=3-0-1ghku32dckhqe801-1ghku32eph4f9800-c0d60196d6ae014c-
"['Dupont', '4.0']",http://www.dupont.com/,Application Development Specialist – Residential Construction,"Midland, MI",$90K - $130K (Employer est.),"We are seeking for a Applications Development Specialist for our Water & Protection’s (W&P) Shelter business that combines market-leading brands (including Corian® Design, Great Stuff™, Styrofoam™ and Tyvek®) into one customer-centric line of business. Performance Building Solutions (PBS), as business unit within S&C Shelter, is a leading global provider of value-added solutions in the areas of weatherization, air sealing, thermal comfort and fire protection systems for the building and construction market. PBS is an active leader in advancing building science, developing solutions to improve construction productivity and fostering the use of more sustainable and resilient building materials and practices.
The Applications Development Team plays a key role in developing and executing test plans to expand viable applications for existing products, to qualify new products and to demonstrate products meet building code requirements. The team works closely with Strategic Marketing, Tactical Marketing, the Building Knowledge Center (BKC) and the Advocacy teams to address complex customer inquiries and to develop advantaged industry positions for PBS.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469e1897ebd99e315149ab877&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b59655df&cb=1668223711567&jobListingId=1007986747920&jrtk=3-0-1ghku32dckhqe801-1ghku32eph4f9800-0c0a718964930d6a-
"['Dupont', '4.0']",http://www.dupont.com/,Application Development Specialist – Residential Construction,"Midland, MI",$90K - $130K (Employer est.),"Automation and Process Control Lead Engineer
INTRODUCTION
At DuPont, we are working on things that matter; whether it’s providing clean water to more than a billion people on the planet, producing materials that are essential in everyday technology devices from smartphones to electric vehicles, or protecting workers in this global pandemic.
If you would like to be a part of a premier multi-industrial company that is delivering sustainable solutions that bring real purpose and value, of a company with collaborative spirit because it believes that we work best when we work together as a team and values the diversity of thought, then DuPont is the company for you!
WHY JOIN US?",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018469e1897ebd99e315149ab877&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_51cb3c78&cb=1668223715528&jobListingId=1008106591126&jrtk=3-0-1ghku32dckhqe801-1ghku32eph4f9800-5623172eb4975365-
"['Dupont', '4.0']",http://www.dupont.com/,Application Development Specialist – Residential Construction,"Midland, MI",$90K - $130K (Employer est.),"INTRODUCTION

At DuPont, we are working on things that matter; whether it’s providing clean water to more than a billion people on the planet, producing materials that are essential in everyday technology devices from smartphones to electric vehicles, or protecting workers in this global pandemic.

If you would like to be a part of a premier multi-industrial company that is delivering sustainable solutions that bring real purpose and value, of a company with collaborative spirit because it believes that we work best when we work together as a team and values the diversity of thought, then DuPont is the company for you!

WHY JOIN US?

Our purpose is to empower the world with essential innovations to thrive. We work on things that matter!

Get to know our Purpose and make it yours by bringing innovations to market that improve the world, share a commitment to sustainability that makes our planet better and give back to communities in which we work and live.
Get to Experience a collaborative environment where teamwork is celebrated with flexibility that enhances balance and an inclusive atmosphere that is welcoming to all!",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018469e1897ebd99e315149ab877&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3fe741bd&cb=1668223717323&jobListingId=1008104606205&jrtk=3-0-1ghku32dckhqe801-1ghku32eph4f9800-6bcaba65aa4a5867-
"['Dupont', '4.0']",http://www.dupont.com/,Data Scientist/Engineer,"Wilmington, DE",$85K - $123K (Glassdoor est.),"Why join us?
While we’re deeply rooted in science, DuPont careers span a wide range of skills and disciplines. Our purpose is to empower the world with essential innovations to thrive. We work on things that matter - whether it’s providing clean water to more than a billion people on the planet, producing materials that are essential in everyday technology devices from smartphones to electric vehicles, or protecting workers in this global pandemic. Have the Opportunity to chart your own course, challenge yourself, and acquire new capabilities to build a rewarding and fulfilling career. Learn more about us here: https://www.dupont.com
Role
DuPont Electronics & Industrial business has an exciting and challenging opportunity for a Data Scientist/Engineering in DuPont’s Electronic Materials Chemical Mechanical Planarization (CMP) Technology group located in . We are the global leader in making various consumables used to polish semiconductor wafers, which then becomes logics and memories in electronic devices, such as smart phones, computers, data center, etc.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469e1db99b79590f1e598004b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_78c74780&cb=1668223726140&jobListingId=1008172252337&jrtk=3-0-1ghku3musg4ft801-1ghku3mvhgsro800-8fc3bbace1d7d56e-
"['Barbaricum', '4.2']",http://www.barbaricum.com/,Weekend Open-Source Intelligence Analyst,"Washington, DC",$43K - $69K (Glassdoor est.),"Barbaricum is a rapidly growing government contractor providing leading-edge support to federal customers, with a particular focus on Defense and National Security mission sets. We leverage more than 14 years of support to stakeholders across the federal government, with established and growing capabilities across Intelligence, Analytics, Engineering, Mission Support, and Communications disciplines. Founded in 2008, our mission is to transform the way our customers approach constantly changing and complex problem sets by bringing to bear the latest in technology and the highest caliber of talent.

Headquartered in Washington, DC's historic Dupont Circle neighborhood, Barbaricum also has a corporate presence in Tampa, FL and Dayton, OH, with team members across the United States and around the world. As a leader in our space, we partner with firms in the private sector, academic institutions, and industry associations with a goal of continually building our expertise and capabilities for the benefit of our employees and the customers we support. Through all of this, we have built a vibrant corporate culture diverse in expertise and perspectives with a focus on collaboration and innovation. Our teams are at the frontier of the Nation's most complex and rewarding challenges. Join us.",30d+,
"['Barbaricum', '4.2']",http://www.barbaricum.com/,Weekend Open-Source Intelligence Analyst,"Washington, DC",$43K - $69K (Glassdoor est.),"Barbaricum is a rapidly growing government contractor providing leading-edge support to federal customers, with a particular focus on Defense and National Security mission sets. We leverage more than 14 years of support to stakeholders across the federal government, with established and growing capabilities across Intelligence, Analytics, Engineering, Mission Support, and Communications disciplines. Founded in 2008, our mission is to transform the way our customers approach constantly changing and complex problem sets by bringing to bear the latest in technology and the highest caliber of talent.

Headquartered in Washington, DC's historic Dupont Circle neighborhood, Barbaricum also has a corporate presence in Tampa, FL and Dayton, OH, with team members across the United States and around the world. As a leader in our space, we partner with firms in the private sector, academic institutions, and industry associations with a goal of continually building our expertise and capabilities for the benefit of our employees and the customers we support. Through all of this, we have built a vibrant corporate culture diverse in expertise and perspectives with a focus on collaboration and innovation. Our teams are at the frontier of the Nation's most complex and rewarding challenges. Join us.",30d+,
"['Barbaricum', '4.2']",http://www.barbaricum.com/,Weekend Open-Source Intelligence Analyst,"Washington, DC",$43K - $69K (Glassdoor est.),"Barbaricum is a rapidly growing government contractor providing leading-edge support to federal customers, with a particular focus on Defense and National Security mission sets. We leverage more than 14 years of support to stakeholders across the federal government, with established and growing capabilities across Intelligence, Analytics, Engineering, Mission Support, and Communications disciplines. Founded in 2008, our mission is to transform the way our customers approach constantly changing and complex problem sets by bringing to bear the latest in technology and the highest caliber of talent.

Headquartered in Washington, DC's historic Dupont Circle neighborhood, Barbaricum also has a corporate presence in Tampa, FL and Dayton, OH, with team members across the United States and around the world. As a leader in our space, we partner with firms in the private sector, academic institutions, and industry associations with a goal of continually building our expertise and capabilities for the benefit of our employees and the customers we support. Through all of this, we have built a vibrant corporate culture diverse in expertise and perspectives with a focus on collaboration and innovation. Our teams are at the frontier of the Nation's most complex and rewarding challenges. Join us.",30d+,
"['Northern Arizona University', '3.8']",http://www.nau.edu/,Weekend Open-Source Intelligence Analyst,"Washington, DC",$43K - $69K (Glassdoor est.),"Workplace Culture


NAU is a community devoted to student success and sustained by an unshakable commitment to our shared mission, vision, and values. We—faculty, staff, and administrators—thrive by combining our efforts and working side by side to further NAU’s culture of excellence.

Special Information


This position is posted as Energy and Billing Analyst, which is a working title. The NAU system title for this position is Commissioning & Controls Coordinator, Intermediate.",4d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018469e21ea88bd9bc017b76bc39&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_70203b2f&cb=1668223754555&jobListingId=1008262880453&jrtk=3-0-1ghku47mli169801-1ghku47n3i39u800-631aa4377daa94bf-
