Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
['EOG Resources'],,Information Systems Analyst,"Houston, TX",$35.00 - $45.00 Per Hour(Employer est.),"EOG’s IS Department makes a wide range of software applications that help improve the company’s core operations. In this role, you will help manage internal applications that support EOG’s largest operations.
What you’ll do
Become an expert on the team’s applications, data, and systems
Provide application support and training for field personnel and engineers
Collaborate with developers to constantly improve our applications
Requirements
Ability to travel up to 4 weeks per year",30d+,
"['Jacobs', '4.0']",http://www.jacobs.com/,Network Engineer,"Tampa, FL",$60K - $88K (Glassdoor est.),"Challenging Today. Reinventing Tomorrow.
We're invested in you and your success. Everything we do is more than just a project. It's our challenge as human beings, too. That's why we bring a thoughtful and collaborative approach to every one of our partnerships.
At Jacobs, we challenge the status quo and redefine how to solve the world's greatest challenges, transforming big ideas into intelligent solutions for a more connected, sustainable world.
Design your career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow

Your Impact:




Jacobs is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, religion, creed, color, national origin, ancestry, sex (including pregnancy, childbirth, breastfeeding, or medical conditions related to pregnancy, childbirth, or breastfeeding), age, medical condition, marital or domestic partner status, sexual orientation, gender, gender identity, gender expression and transgender status, mental disability or physical disability, genetic information, military or veteran status, citizenship, low-income status or any other status or characteristic protected by applicable law. Learn more about your rights under Federal EEO laws and supplemental language.",1d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c3bc2f18bcbf4394d626cf3&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7906fd88&cb=1668263171851&jobListingId=1008273905317&jrtk=3-0-1ghm3ngp2k61j801-1ghm3ngpigsro800-f7ffd0455e3c29a5-
"['Sentar', '4.0']",http://www.sentar.com/,Network Engineer,"Tampa, FL",$60K - $88K (Glassdoor est.),"Sentar is dedicated to developing the critical talent that the connected world demands to create solutions to address the convergence of cybersecurity, intelligence, analytics, and systems engineering. We invite you to join the small business team where you can build, innovate, and secure your career.
Sentar is seeking Network Engineers in Tampa, FL. Hybrid work is available.
Role Description:
Network Engineers perform tier-three network support in accordance with the SIE OPORD. Network Engineers must be detail-oriented and have in-depth knowledge of networking hardware and software. Extensive experience in areas such as network design and implementation, LAN/WAN interfacing, security, Internet protocols, and TCP/IP, as well as server and network infrastructure, is required. This position tests and analyzes elements of network facilities, including power, software, security features, communications devices, In-Line encryption (INE) communications lines, modems, and terminals, and is responsible for the overall integration of the enterprise network. Network Engineers is also responsible for planning, modeling, simulation, design, installation, maintenance, management, and coordination of the network. This position monitors and controls the performance and status of network resources by using software and hardware tools, as well as by identifying and diagnosing complex problems and factors affecting network performance. Network Engineers keep his or her technical skills updated and study vendor products to determine those which best meet the Government’s needs. This position provides guidance and direction for junior network support technicians.",24d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c3bc2f18bcbf4394d626cf3&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_41293e77&cb=1668263175357&jobListingId=1008216683069&jrtk=3-0-1ghm3ngp2k61j801-1ghm3ngpigsro800-f3158c2083d81cf7-
"['Jacobs', '4.0']",http://www.jacobs.com/,Network Engineer,"Tampa, FL",$60K - $88K (Glassdoor est.),"Challenging Today. Reinventing Tomorrow.
We're invested in you and your success. Everything we do is more than just a project. It's our challenge as human beings, too. That's why we bring a thoughtful and collaborative approach to every one of our partnerships.
At Jacobs, we challenge the status quo and redefine how to solve the world's greatest challenges, transforming big ideas into intelligent solutions for a more connected, sustainable world.
Design your career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow

Your Impact:






Jacobs is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, religion, creed, color, national origin, ancestry, sex (including pregnancy, childbirth, breastfeeding, or medical conditions related to pregnancy, childbirth, or breastfeeding), age, medical condition, marital or domestic partner status, sexual orientation, gender, gender identity, gender expression and transgender status, mental disability or physical disability, genetic information, military or veteran status, citizenship, low-income status or any other status or characteristic protected by applicable law. Learn more about your rights under Federal EEO laws and supplemental language.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c3bc2f18bcbf4394d626cf3&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_aa968069&cb=1668263179177&jobListingId=1007595075167&jrtk=3-0-1ghm3ngp2k61j801-1ghm3ngpigsro800-3f8cb54244178284-
,,Network Engineer,"Tampa, FL",$60K - $88K (Glassdoor est.),,30d+,
"['Jacobs', '4.0']",http://www.jacobs.com/,Network Engineer,"Tampa, FL",$60K - $88K (Glassdoor est.),"Mission Statement
Jacobs is seeking a qualified Information Technology (IT) professional to support the USSOCOM SITEC II Enterprise Operations and Maintenance (EOM) contract. Your career at Jacobs enables USSOCOM to fulfill its mission to “Provide fully capable Special Operations Forces (SOF) to defend the United States and its interests and synchronize planning for global operations against terrorist networks.” As a member of our team, you will support the vice president of the Enterprise Operations Group (EOG) as we partner with SOF military and civilian members to provide world-class IT services and support that connects over 60,000 users around the world in the areas of software development/maintenance, network services, security, end-user computing, and test and evaluation.
Job Description",24d,
"['Jacobs', '4.0']",http://www.jacobs.com/,Network Engineer,"Tampa, FL",$60K - $88K (Glassdoor est.),"Challenging Today. Reinventing Tomorrow.
We're invested in you and your success. Everything we do is more than just a project. It's our challenge as human beings, too. That's why we bring a thoughtful and collaborative approach to every one of our partnerships.
At Jacobs, we challenge the status quo and redefine how to solve the world's greatest challenges, transforming big ideas into intelligent solutions for a more connected, sustainable world.
Design your career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow

Your Impact:




Jacobs is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, religion, creed, color, national origin, ancestry, sex (including pregnancy, childbirth, breastfeeding, or medical conditions related to pregnancy, childbirth, or breastfeeding), age, medical condition, marital or domestic partner status, sexual orientation, gender, gender identity, gender expression and transgender status, mental disability or physical disability, genetic information, military or veteran status, citizenship, low-income status or any other status or characteristic protected by applicable law. Learn more about your rights under Federal EEO laws and supplemental language.",1d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c3c12c3a787c015632130c7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d77e587d&cb=1668263194734&jobListingId=1008273905317&jrtk=3-0-1ghm3o4ncitmn801-1ghm3o4o0ih5r800-f7ffd0455e3c29a5-
"['Sentar', '4.0']",http://www.sentar.com/,Network Engineer,"Tampa, FL",$60K - $88K (Glassdoor est.),"Sentar is dedicated to developing the critical talent that the connected world demands to create solutions to address the convergence of cybersecurity, intelligence, analytics, and systems engineering. We invite you to join the small business team where you can build, innovate, and secure your career.
Sentar is seeking Network Engineers in Tampa, FL. Hybrid work is available.
Role Description:
Network Engineers perform tier-three network support in accordance with the SIE OPORD. Network Engineers must be detail-oriented and have in-depth knowledge of networking hardware and software. Extensive experience in areas such as network design and implementation, LAN/WAN interfacing, security, Internet protocols, and TCP/IP, as well as server and network infrastructure, is required. This position tests and analyzes elements of network facilities, including power, software, security features, communications devices, In-Line encryption (INE) communications lines, modems, and terminals, and is responsible for the overall integration of the enterprise network. Network Engineers is also responsible for planning, modeling, simulation, design, installation, maintenance, management, and coordination of the network. This position monitors and controls the performance and status of network resources by using software and hardware tools, as well as by identifying and diagnosing complex problems and factors affecting network performance. Network Engineers keep his or her technical skills updated and study vendor products to determine those which best meet the Government’s needs. This position provides guidance and direction for junior network support technicians.",24d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c3c12c3a787c015632130c7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ef519b82&cb=1668263196611&jobListingId=1008216683069&jrtk=3-0-1ghm3o4ncitmn801-1ghm3o4o0ih5r800-f3158c2083d81cf7-
"['Jacobs', '4.0']",http://www.jacobs.com/,Network Engineer,"Tampa, FL",$60K - $88K (Glassdoor est.),"Mission Statement
Jacobs is seeking a qualified Information Technology (IT) professional to support the USSOCOM SITEC II Enterprise Operations and Maintenance (EOM) contract. Your career at Jacobs enables USSOCOM to fulfill its mission to “Provide fully capable Special Operations Forces (SOF) to defend the United States and its interests and synchronize planning for global operations against terrorist networks.” As a member of our team, you will support the vice president of the Enterprise Operations Group (EOG) as we partner with SOF military and civilian members to provide world-class IT services and support that connects over 60,000 users around the world in the areas of software development/maintenance, network services, security, end-user computing, and test and evaluation.
Job Description",30d+,
"['Jacobs', '4.0']",http://www.jacobs.com/,Network Engineer,"Tampa, FL",$60K - $88K (Glassdoor est.),"Challenging Today. Reinventing Tomorrow.
We're invested in you and your success. Everything we do is more than just a project. It's our challenge as human beings, too. That's why we bring a thoughtful and collaborative approach to every one of our partnerships.
At Jacobs, we challenge the status quo and redefine how to solve the world's greatest challenges, transforming big ideas into intelligent solutions for a more connected, sustainable world.
Design your career with a company that inspires and empowers you to deliver your best work so you can evolve, grow and succeed – today and into tomorrow

Your Impact:






Jacobs is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, religion, creed, color, national origin, ancestry, sex (including pregnancy, childbirth, breastfeeding, or medical conditions related to pregnancy, childbirth, or breastfeeding), age, medical condition, marital or domestic partner status, sexual orientation, gender, gender identity, gender expression and transgender status, mental disability or physical disability, genetic information, military or veteran status, citizenship, low-income status or any other status or characteristic protected by applicable law. Learn more about your rights under Federal EEO laws and supplemental language.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c3c12c3a787c015632130c7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d48f11a4&cb=1668263202251&jobListingId=1007595075167&jrtk=3-0-1ghm3o4ncitmn801-1ghm3o4o0ih5r800-3f8cb54244178284-
