Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Edison Energy | Altenex Energy', '3.4']",http://www.edisonenergy.com/,Systems Engineer,"Irvine, CA",$120K - $140K (Employer est.),"Edison Energy is a global energy advisory firm that helps large corporate, industrial, and institutional clients better navigate the choices, opportunities, and risks that will emerge from the transition to a net-zero future.
As stakeholder expectations around corporate sustainability increase, Edison helps companies rise to this challenge by designing and implementing individualized strategies, projects, and programs across sustainability, renewables, transportation electrification, energy optimization, and energy supply.
Edison enables organizations to deliver on their strategic, financial, and sustainability goals by addressing today’s key energy challenges: carbon, cost, complexity, and creating energy equity across communities.
Edison Energy LLC is a wholly-owned subsidiary of Edison International (NYSE: EIX) and does business in Europe as Altenex Energy.

Position Overview:",30d+,
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,Sr Vegetation Management Program Manager,"Baltimore, MD",$94K - $134K (Glassdoor est.),"Description
Be a part of something powerful at America's leading energy provider!

At Exelon, our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are a Fortune 200 company united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities - Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are empowered to evolve and advance their careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come, stay and grow - whether that's in the role and path they start in or in new and exciting career opportunities across our business. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives, opportunities for career path changes, and health and retirement benefits.",1d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a85a26886625b89e700f2e8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8ecb1b55&cb=1668234458785&jobListingId=1008272229565&jrtk=3-0-1ghl8b8kfkujn801-1ghl8b8l0g4f7800-cef0c3b58952d30a-
"['InCharge Energy, Inc', '5.0']",http://www.inchargeus.com/,Sr Vegetation Management Program Manager,"Baltimore, MD",$94K - $134K (Glassdoor est.),"In-Charge Energy is an energy solutions company that is accelerating electrification of transportation by providing a comprehensive, scalable electric fleet charging infrastructure solutions. We tailor our systems to private and public commercial fleets, electric vehicle OEMs, ride-share operators, municipalities, and commercial facilities owners. The founding team is the most experienced team in EV charging, with executive leadership from Tesla, NRG Energy, EVgo, ABM, innogy eMobility, Ford Motor Company, Honeywell and Edison International. The company concluded a Series A fundraising round in January 2020 with Macquarie Capital, the world’s largest infrastructure asset manager, and ABB, the global electrical equipment leader.
Position Summary:
In-Charge, a high-growth company in vehicle fleet electrification, seeks a Lead Quality Assurance Engineer. The selected candidate will be responsible for establishing an efficient QA process that can be scaled and evolved as the company changes, leading the QA team, and creating/adjusting test plans, scripts, and templates for testing documentation.",21d,
"['InCharge Energy, Inc', '5.0']",http://www.inchargeus.com/,Sr Vegetation Management Program Manager,"Baltimore, MD",$94K - $134K (Glassdoor est.),"InCharge Energy is an energy solutions company that is accelerating electrification of transportation by providing a comprehensive, scalable electric fleet charging infrastructure solution. We tailor our systems to private and public commercial fleets, electric vehicle OEMs, ride-share operators, municipalities, and commercial facilities owners. The founding team is the most experienced team in EV charging, with executive leadership from Tesla, NRG Energy, EVgo, ABM, innogy eMobility, Ford Motor Company, Honeywell and Edison International. The company concluded a Series A fundraising round in January 2020 with Macquarie Capital, the world’s largest infrastructure asset manager, and ABB, the global electrical equipment leader. InCharge Energy also recently announced key partnerships with Ryder Truck, Navistar, and Lonestar Specialty Vehicles.

Job Description:
At InCharge, we owe our success to the efficiency of organizational processes. To help maintain and grow this standard, we’re seeking an experienced Production Manager to oversee daily activities in our Richmond, Virginia office. The ideal candidate will have a sharp business mind and proven success managing construction, service or production teams. Additionally, they’ll display a proven ability to develop and maintain an environment of trust, diversity, and inclusion within their team. Their ultimate responsibility is to drive operational process under OSHA required safety measures on track.",1d,
"['Edison Energy | Altenex Energy', '3.4']",http://www.edisonenergy.com/,Sr Vegetation Management Program Manager,"Baltimore, MD",$94K - $134K (Glassdoor est.),"Edison Energy is a global energy advisory firm that helps large corporate, industrial, and institutional clients better navigate the choices, opportunities, and risks that will emerge from the transition to a net-zero future.
As stakeholder expectations around corporate sustainability increase, Edison helps companies rise to this challenge by designing and implementing individualized strategies, projects, and programs across sustainability, renewables, transportation electrification, energy optimization, and energy supply.
Edison enables organizations to deliver on their strategic, financial, and sustainability goals by addressing today’s key energy challenges: carbon, cost, complexity, and creating energy equity across communities.
Edison Energy LLC is a wholly-owned subsidiary of Edison International (NYSE: EIX) and does business in Europe as Altenex Energy.

We are currently seeking an experienced Administrative Assistant to join our team in Dublin, OH",30d+,
"['GE Gas Power', '3.8']",http://invent.ge/powercareers,Sr Vegetation Management Program Manager,"Baltimore, MD",$94K - $134K (Glassdoor est.),"Job Description Summary
Job Description
If you have a passion for technology and want a career in engineering, the Edison Program is for you! It is an entry-level engineering program consisting of rotational assignments, technical training, and accelerating your professional development. Gas Power is committed to the development of tomorrow’s Engineers and graduates of EEDP have the technical and business foundation to innovate and create the future of Gas Power with GE!
Essential Responsibilities:
As a Gas Power EEDP, you will:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a85a26886625b89e700f2e8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1f32b356&cb=1668234469422&jobListingId=1007964988225&jrtk=3-0-1ghl8b8kfkujn801-1ghl8b8l0g4f7800-4caf147df4d580fb-
"['InCharge Energy, Inc', '5.0']",http://www.inchargeus.com/,Sr Vegetation Management Program Manager,"Baltimore, MD",$94K - $134K (Glassdoor est.),"InCharge Energy is an energy solutions company that is accelerating electrification of transportation by providing a comprehensive, scalable electric fleet charging infrastructure solution. We tailor our systems to private and public commercial fleets, electric vehicle OEMs, ride-share operators, municipalities, and commercial facilities owners. The founding team is the most experienced team in EV charging, with executive leadership from Tesla, NRG Energy, EVgo, ABM, innogy eMobility, Ford Motor Company, Honeywell and Edison International. The company concluded a Series A fundraising round in January 2020 with Macquarie Capital, the world’s largest infrastructure asset manager, and ABB, the global electrical equipment leader. InCharge Energy also recently announced key partnerships with Ryder Truck, Navistar, and Lonestar Specialty Vehicles.

Job Description:
The Shipping and Logistics Coordinator is responsible for sending the finished goods (like EV Charger, transformer and auxiliary equipment) to their final destination. The coordinator needs to be highly organized and understand the processes that drive a warehouse, as well as production constraints at the manufacturing facility. Collaboration with Supply Chain Lead, Warehouse Manager, and Project Teams to prioritize and manage the outgoing shipments according to the company’s needs. In addition, this position is expected to live and breathe by the SIOP-Process that is currently implemented and provide the needed feedback from the shipping requests that are being submitted.",1d,
"['InCharge Energy, Inc', '5.0']",http://www.inchargeus.com/,Sr Vegetation Management Program Manager,"Baltimore, MD",$94K - $134K (Glassdoor est.),"InCharge Energy is an energy solutions company that is accelerating electrification of transportation by providing a comprehensive, scalable electric fleet charging infrastructure solution. We tailor our systems to private and public commercial fleets, electric vehicle OEMs, ride-share operators, municipalities, and commercial facilities owners. The founding team is the most experienced team in EV charging, with executive leadership from Tesla, NRG Energy, EVgo, ABM, innogy eMobility, Ford Motor Company, Honeywell and Edison International. The company concluded a Series A fundraising round in January 2020 with Macquarie Capital, the world’s largest infrastructure asset manager, and ABB, the global electrical equipment leader. InCharge Energy also recently announced key partnerships with Ryder Truck, Navistar, and Lonestar Specialty Vehicles.

Job Description:
The Warehouse Administrator is responsible for handling the administrative tasks around the commissioning and material handling team in the Richmond facility. The administrator needs to be highly organized and understand the processes that drive a warehouse. Collaboration with Supply Chain Lead, Warehouse Lead, and Shipping and Logistics Coordinator to communicate stock levels. In addition, this position is expected to coordinate information flow on behalf of the Warehouse Lead and relay feedback.",1d,
"['Ohio University', '3.9']",http://www.ohio.edu/,Sr Vegetation Management Program Manager,"Baltimore, MD",$94K - $134K (Glassdoor est.),"Please see Special Instructions for more details.
The Search Committee will begin reviewing applications immediately. Requested application materials include a letter of interest, a curriculum vitae, and a list of five professional references. Although applications will be welcomed until the time that a dean is selected, for best consideration, candidates should submit materials by January 9th, 2023 to the following address: OhioDeanRussCollege@storbecksearch.com.

Ohio University is being assisted in the search by Storbeck Search, for additional information, please contact: OhioDeanRussCollege@storbecksearch.com.
Posting Details",21d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a85a26886625b89e700f2e8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bb91f186&cb=1668234477060&jobListingId=1008226106340&jrtk=3-0-1ghl8b8kfkujn801-1ghl8b8l0g4f7800-ea366a98ad291532-
"['Lincoln Financial', '3.6']",https://www.lincolnfinancial.com/public/individuals,Sr Vegetation Management Program Manager,"Baltimore, MD",$94K - $134K (Glassdoor est.),"Date: Oct 20, 2022
Primary Location: Greensboro, NC, US
Company: Lincoln Financial
Alternate Locations: Work from Home; Atlanta, GA (Georgia); Austin, TX (Texas); Bakersfield, CA (California); Baltimore, MD (Maryland); Baton Rouge, LA (Louisiana); Birmingham, AL (Alabama); Boise, ID (Idaho); Boston, MA (Massachusetts); Buffalo, NY (New York); Canonsburg, PA (Pennsylvania); Charlotte, NC (North Carolina); Chicago, IL (Illinois); Cincinnati, OH (Ohio); Cleveland, OH (Ohio); Columbia, SC (South Carolina); Columbus, OH (Ohio); Concord, NH (New Hampshire); Dallas, TX (Texas); Deerfield Beach, FL (Florida); Denver, CO (Colorado); Detroit, MI (Michigan); Dover, NH (New Hampshire); Durham, NC (North Carolina); Edina, MN (Minnesota); Edison, NJ (New Jersey); Ellicott City, MD (Maryland); Fayetteville, SC (South Carolina); Florence, SC (South Carolina); Fort Lauderdale, FL (Florida); Fort Wayne, IN (Indiana); Fort Worth, TX (Texas); Gainsville, FL (Florida); Glen Allen, VA (Virginia); Glendale, CA (California); Greensboro, NC (North Carolina); Greenwood Village, CO (Colorado); Hartford, CT (Connecticut); Houston, TX (Texas); Huntsville, AL (Alabama); Indianapolis, IN (Indiana); Irvine, CA (California); Jacksonville, FL (Florida); Johnson City, TN (Tennessee); Kansas City, KS (Kansas); La Jolla, CA (California); Lexington, KY (Kentucky); Los Angeles, CA (California); Louisville, KY (Kentucky); Lutherville, MD (Maryland); Madison, WI (Wisconsin); Memphis, TN (Tennessee); Miami, FL (Florida); Milwaukee, WI (Wisconsin); Minneapolis, MN (Minnesota); Nashville, TN (Tennessee); New York, NY (New York); None; Norwood, OH (Ohio); Omaha, NE (Nebraska); Orlando, FL (Florida); Palm Desert, CA (California); Paramus, NJ (New Jersey); Parsippany, NJ (New Jersey); Philadelphia, PA (Pennsylvania); Phoenix, AZ (Arizona); Pittsburgh, PA (Pennsylvania); Plano, TX (Texas); Plymouth Meeting, PA (Pennsylvania); Portland, ME (Maine); Portland, OR (Oregon); Radnor, PA (Pennsylvania); Raleigh, NC (North Carolina); Richmond, VA (Virginia); Rochester, NY (New York); Rockville, MD (Maryland); Rolling Meadows, IL (Illinois); Rye Brook, NY (New York); Sacramento, CA (California); Salt Lake City, UT (Utah); San Antonio, TX (Texas); San Diego, CA (California); San Francisco, CA (California); San Ramon, CA (California); Schaumburg, IL (Illinois); Scottsdale, AZ (Arizona); Seattle, WA (Washington); Southfield, MI (Michigan); St. Louis, MO (Missouri); Syosset, NY (New York); Tampa, FL (Florida); Toledo, OH (Ohio); Tupelo, MS (Mississippi); US All Regions; US Midwest; US Northeast; US Southeast; US Southwest; US West; Vienna, VA (Virginia); Virginia Beach, VA (Virginia); Walnut Creek, CA (California); Washington, DC (District of Columbia); Westlake Village, CA (California); White Plains, NY (New York); Windsor, CT (Connecticut); Woodmere, OH (Ohio)",21d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a85a26886625b89e700f2e8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7f4d82e2&cb=1668234480198&jobListingId=1008225228435&jrtk=3-0-1ghl8b8kfkujn801-1ghl8b8l0g4f7800-6de3d20a77d1e818-
