Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Elevance Health', '3.7']",http://www.elevancehealth.com/,Full Stack Engineer Lead (Java / C# / .NET),"Chicago, IL",$97K - $135K (Glassdoor est.),"The Engineer Lead position plays a key role in the development of AIM's platform. This platform powers our specialty care management solutions which support both our health plan partners and the members they cover. We are looking for a new member for our platform development team who will be, along with the team, responsible for all improvements and maintenance of our platform components throughout all phases of our development lifecycle. As developers grow in this role, opportunities exist to grow into team management and architecture roles.
Primary duties for the Engineer Lead role may include, but are not limited to:
Work with customers to identify and refine business innovations and new concepts.
Collaborate with team members to identify new enterprise platform capabilities.
Leading technical design and delivery for multiple globally distributed teams.",18d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846a38a59e8cf6316442c92659&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e6d914ce&cb=1668229415035&jobListingId=1008230510088&cpc=4AF433014564FFC7&jrtk=3-0-1ghl3h9ef2cgl001-1ghl3h9esih5r800-c5bc87a69205625b--6NYlbfkN0CYKz7WkjjIBo9g-UNpfbe8NgwuZiYfRxOZtqzhKycvsvGwUffC4V6PmQaniEj6-PZ0aSGn_6P2UneABeK6h7-adGv0cmFgftYJ9TnEUO9f3d1RQI9meVDln92wZIvF3DMLnDyvWTXRUxVbmvjLFwxodMKsy5wllL8IrHq85gLsxzv4eK6ON0XYFrsplLvzgpgnNcaJe9R72uIAn5wrkh3fBTXcyyEHGpZy-DWjIL4WZbb5AOSGDv75_vEJjY8Ij_QTdY-siB7RC1GBgnr2cZwhyQc86X7n4WBYmWrGRPvE2qbPG5JG-TJsFKiRLNv-JxZVRS2Ae7Va_n-_WtlSUkU0HbQC9BA8JfpxGG_Ek1mDpPF-csn6_4Hbz-HLVqKIkqbgCyNxqQfNKFpWi9T9CQSDkk1CVvQ1u7oeuwjTq3vG-Kfx-pFmhbuwvclZyf0YK5nlMV3HunfaQKMTWen6es7W1uaKzqt-Y9DrJrR1ApKwRh42tq6xzTAOri1_dWqNZOZ_CtQKDlJSPu1Z5ZWIlEGLUq7bqThiV0PaGPaHcYEyUAqhyf_eGHvp
"['Elevance Health', '3.7']",http://www.elevancehealth.com/,Full Stack Engineer Lead (Java / C# / .NET),"Chicago, IL",$97K - $135K (Glassdoor est.),"Location: Location within 50 miles of an Elevance Health office; preferred locations are Atlanta GA or Richmond VA.
Job Description:
Responsible for the delivery of end to end system development and maintenance on complex technology systems within assigned client group, business unit or corporate department. Primary duties may include, but are not limited to:
Development on medium to large complex customer technology platforms or architectures.
Maintains active relationships with internal and/or external stakeholder to develop business requirements.",24h,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846a38a59e8cf6316442c92659&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7a4cfdd0&cb=1668229418833&jobListingId=1008274332767&cpc=444700D72F2ECBCE&jrtk=3-0-1ghl3h9ef2cgl001-1ghl3h9esih5r800-4da4385af81efe0c--6NYlbfkN0CYKz7WkjjIBo9g-UNpfbe8NgwuZiYfRxOZtqzhKycvsqxvb0lJG-ax7yI9Mx08Y4Y31qah1YpBwqpVQYdGD0GCa-xA8sTnfPq9SP9s_Yhysrzft8JObe-SVPG3B1dREO-5aWX2DDri0G612cUCPFFlni8-fnWLULxhOCI4FA2ugOHr0ASx-d4Qn0UcjBSBrq1Smw-lqXh-fRw2irPFzCIfv4F2w7bf6MekK9ODiwoZN37LUKLWw9BNsSuPvGwAOA87Dnji5OgtW0k6djREU2zYzoT4cRc87D0t8wFSnHcklCrw0W-hcD8OYg0t_-sSqt7nVyea-J3x78n53T2EKYRtf448iLbypQ2oonyivwZBcGCvDcCJr_YVHJh-KWYEaVEN40w3kppghpubh8MW1uRDJZFdCdklG5pw5x-52j3XyHgSUj9WOTC1N7E3DYO5QynjqEPGdb8KK2x2W5EbpSSIEKXJup-KYrMOY75uacBsc2cPiVq44Hqd9guciJtTGvxQZQ6YcD568icZn6m9vASmgYB80vIFRDTlX-aAeGF5-mKSoFJ38bwj
"['Elevance Health', '3.7']",http://www.elevancehealth.com/,Full Stack Engineer Lead (Java / C# / .NET),"Chicago, IL",$97K - $135K (Glassdoor est.),"Job Description:
The Application Engineer III (Java + .NET) position plays a key role in the development of AIM's platform. This platform powers our specialty care management solutions which support both our health plan partners and the members they cover. We are looking for a new member for our platform development team who will be, along with the team, responsible for all improvements and maintenance of our platform components throughout all phases of our development lifecycle. As developers grow in this role, opportunities exist to grow into team management and architecture roles.
Primary duties include, but are not limited to:
Work with customers to identify and refine business innovations and new concepts.",18d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846a38a59e8cf6316442c92659&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_073e7a0e&cb=1668229421873&jobListingId=1008230199252&cpc=A65DF3A704A48F9B&jrtk=3-0-1ghl3h9ef2cgl001-1ghl3h9esih5r800-cabe51801f84c08d--6NYlbfkN0CYKz7WkjjIBo9g-UNpfbe8NgwuZiYfRxOZtqzhKycvsvGwUffC4V6PYlU6gGazD7kXsMr5ndREdyQ03w7bN4HX0hBkwc0fTkjiN-wP1bqIXBnF7RVeOsJx_zJ4E-IEyqk8RND61nOd1G3bXv95SkvRtSfwQP0Md7ZT7qM5WOdpvkzm790m9D2qPun6uVBHGu3eQu7gG9WEdpL-Ol9XzJcGB__2zmWdO-WXWUcfIGzA9W8AbCVXk4Y6ehvkfffZ9x8slvS9FbfRzuZzoLzKpfvkor7jfZ4OiWXxTS_0XRK3QS9gSK_K1gwjGdoMnhvP4Uxihp-lufYRBnQjZgQMKRcXLTRO8cxqsDxf87uQqQQ4bKo_2xOsuiNYYkuuvOshySqK2vTS3YR4MLRmvwFuNfXNvT_CK6J3HcLn3VFz6RNQ1V52H8yWXrN7tU8E8RZeccGUf9kT79e8UaIgjvN5nmyV_8XJI0kSRod-QCJG1epBHgxEeQEyfSdAj8a8Yx2UU5DJ30xYLA2-LlfQeF3_EzJTQ-_1nYdnv98sxGOgAHPpdqxJu7CQV5eF
"['Elevance Health', '3.7']",http://www.elevancehealth.com/,Full Stack Engineer Lead (Java / C# / .NET),"Chicago, IL",$97K - $135K (Glassdoor est.),"The Application Engineer (Java + .NET) position plays a key role in the development of AIM's platform. This platform powers our specialty care management solutions which support both our health plan partners and the members they cover. We are looking for a new member for our platform development team who will be, along with the team, responsible for all improvements and maintenance of our platform components throughout all phases of our development lifecycle. As developers grow in this role, opportunities exist to grow into team management and architecture roles.
Primary duties include, but are not limited to:
Work with customers to identify and refine business innovations and new concepts.
Collaborate with team members to identify new enterprise platform capabilities.
Evaluate and adopt the latest software technologies and components.",4d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846a38a59e8cf6316442c92659&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8b692529&cb=1668229423981&jobListingId=1008262686458&cpc=8795CF9063CD573D&jrtk=3-0-1ghl3h9ef2cgl001-1ghl3h9esih5r800-cf3f1f541611fbf2--6NYlbfkN0CYKz7WkjjIBo9g-UNpfbe8NgwuZiYfRxOZtqzhKycvsqxvb0lJG-axhjWxIkAQ2SZSOOXjsDu_HlBk4TijNECtLR2n2qBvq2_wnOsT43FzNoWZZRT-KiR3f6EFNHn46eWg-EFU5tR-t20oBzNSIdOveZkvb1jwkAh6Uhj2JAZi_xrtwooQKqu7Pwc2C0KScSwfn_xMSCBkCgeGr_wPTlTHkWmG4AKskAa8Bt97BcfIXYO4kaD5IST6_JpVUxXPv04kIK05M0xnmhtThSVi-lPXRteAYSkZ7Q2MiD-RNHcg1FHOBVfANSyXkFnvv-mkcOtTngRKFcrLKtq_Hv94yNypK-Ro8V7J_Fy6vOIE2l8ECueEFKRysVnJdXcCDkGn-GHXkpnXKjlRKEI646K0A9bv9gbPgGwK2EbY6jV2AwMH2J21vZjKxW3ah0OC88F0etcp9miQc2eoyFqH8_dFYfo5Yp5V2CEobj8NP4VWR4boNfu9QeK9vcBnzCLBvSbv8EUr_qb_AuN_AY6TDA5yO4tJRF00N0awV6MQNOotDHlpMA%3D%3D
"['Elevance Health', '3.7']",http://www.elevancehealth.com/,Full Stack Engineer Lead (Java / C# / .NET),"Chicago, IL",$97K - $135K (Glassdoor est.),"Title: Disaster Recovery/Cyber Recovery Analyst Advisor
Location: Remote
Solves problems, performs analysis, researches, and tests functions for systems and networks.
How you will make an impact:
Provides trouble resolution on complex problems; serves as an escalation point for the most complex systems issues or resolutions; develops root cause analysis activities that resolve significant system issues.
Provides trouble resolution and serves as point of technical escalation on complex problems.
Leads or plans implementations for systems and networks; develops testing plans to ensure quality of implementation.",23d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846a38a59e8cf6316442c92659&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_53d56fcc&cb=1668229426625&jobListingId=1008218400969&cpc=334ABAF5D42DC775&jrtk=3-0-1ghl3h9ef2cgl001-1ghl3h9esih5r800-443bd21e870efcf0--6NYlbfkN0CYKz7WkjjIBo9g-UNpfbe8NgwuZiYfRxOZtqzhKycvsvGwUffC4V6PkgowLkq_m98iADTgd8-wSsSbfXumnFxJ9xXMyxrMVyPEzEalXtVPgyJC9LGns1l5HvIbUkdq30OH88q2casCH8VvN1ICAKQH4VGW-DGWUGm0rujF3RlpiRX6hesyLy0SBKnl88U6WS5k2jLw28LUjX9muk3WEDrQCpHRul15wy0hMXlTjYJwC-5a_djYZoeoAR0VOSNjayuVLyOuc-GpQiiHi4w1e59g-c_a2zoxDmZGo-RuQWdgxxgWoFyjiCn67YlfYE-8rge48XJkdEBx20ZoXotwefdyCSQoC5k26W_eytUerkoePAajbKwu_F0REBlodNRE2oAkurdEoeJjUeNSCBGac73QpgiWbHZNvi59OJOhFGMmLm1aSkCzWRn2fqzy14qhEntdgKOJOqh50H7wMPYztlUmo0I_gNrdeZqQXE03DKTxuLfztPVTC59J3VXiAKesM9HTn0Ry2e--lSfvushNdwwopXrWNdDSeQgHqyxgIVCgVhcXl8-h0Kt74y7j0nLKF4w%3D
"['Elevance Health', '3.7']",http://www.elevancehealth.com/,Full Stack Engineer Lead (Java / C# / .NET),"Chicago, IL",$97K - $135K (Glassdoor est.),"IT Quality Control Senior Advisor (SDET)
Software Development Engineer in Test(SDET) - Quality Control Senior Advisor - AIM
The Software Development Engineer in Test (SDET) position plays a key role in the development of AIM's platform. SDET at AIM Specialty Health is a developer with the primary responsibility of writing automation frameworks and tools to test products. It combines the ""building"" aspect of software design engineering with the ""breaking"" aspect of software test engineering. This role involves writing code that automatically verifies the quality of the product. SDETs at AIM Specialty Health can understand software internals, debug code, automate repetitive tasks, and implement new tools and frameworks needed to streamline our quality process. Our SDETs work directly with both Software Development Engineers and Quality Assurance Engineers to understand project features, review technical designs, and implement automated test tools that help deliver quality features with efficiency. Our SDETs understand customer usage models and can develop test plans and test cases that approximate real-world environments and scenarios.",18d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846a38a59e8cf6316442c92659&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f2542619&cb=1668229430759&jobListingId=1008230199263&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl3h9ef2cgl001-1ghl3h9esih5r800-dd030d9eaa172ae0--6NYlbfkN0CYKz7WkjjIBo9g-UNpfbe8NgwuZiYfRxOZtqzhKycvsvGwUffC4V6PP4ROjQBR148DwaY1pqm2wNuuSWRXRq3nJ2MlBxWeSrIQCnnetC7Ie7mpAXl_GaE6CyUPll5CanqZwawEAcM5ydM0tKfh-EJqQPIuSaKogXlABaJ0uLIee0C1QUjK9MFYnYt605OHh1iMuq5FtBCar7hwyfjLFGjyMdt57oGO02W5jjiGkMW0PJg78FxAlbpyohJH9Qf186kXTEnTGqoBSQrjPD8T8iPlNNVYlx5wy0egCl8iBtMHSpgIwewO4RMW6tfT6SytJqT4nLyoZX4PmnEQwEv5ysJLJeFFUeWw0lqV_bi_tVHEd6xl389sNF5Jg5vWPyxL7lwJJCWEGsnscv5rgrML5BrJR3dvOvDe9-MX92ThxTybwLxlpknXbeMfjjeLXB5Dg8XRuxlMP8CUWf6KDIqFFGDzfTVHJcA30YtWLI39vYS0OGJrF6SbZFR4gBstVDNtYw0RiWByqsZMM2CrRIAJMrWBoQF5Gqkh2R3sw-VhNIKNxg%3D%3D
"['Elevance Health', '3.7']",http://www.elevancehealth.com/,Full Stack Engineer Lead (Java / C# / .NET),"Chicago, IL",$97K - $135K (Glassdoor est.),"Title: Cyber Recovery Analyst Advisor
Location: Remote
Solves problems, performs analysis, researches, and tests functions for systems and networks.
How you will make an impact:
Be involved with implementing cyber recovery solutions and recovering from cyber-attacks like ransomware, (as opposed to detection and prevention of those threats)
Provides trouble resolution on complex problems; serves as an escalation point for the most complex systems issues or resolutions; develops root cause analysis activities that resolve significant system issues.",8d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846a38a59e8cf6316442c92659&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0a743dab&cb=1668229433604&jobListingId=1008255184039&cpc=8795CF9063CD573D&jrtk=3-0-1ghl3h9ef2cgl001-1ghl3h9esih5r800-0ccb86cde579ee23--6NYlbfkN0CYKz7WkjjIBo9g-UNpfbe8NgwuZiYfRxOZtqzhKycvsqxvb0lJG-ax1Tb4rvP-VHOHSsst_aWcjPJAVWCkHfJB7qtgLJiHwSkdnYkwW2MxR_mqR_Fm1TaBC33r2ykPQyPTDfCRYMrowtmzWkf2z2estzOyD3xh7bmULOB3avuGa87PlKEAWh2Zd2gI1TM71yJQzt7zNYLuAtthkx62T6VKnpmGnrPjbCisWZf0X6fagOynfGYULn9lQ7zS9C0PMHB6Fdu6i2kce21Da630n4L3BvmbkP7scwkPGkt5hXLWwm725s0mJbfKQ7ysDMFy_lhDLX7BJUGFYXQ4h_8XRXouqO9PiF0fo06TMabESOkyds_Ni6POPGouXoQTxHh3bMhz9Q9qNBXqSozaEvAPYAPCViJxiV3sme_hUbA3-N4qYT-pNurKAfxrX_cBWSR3f5UBfMkIuqMVQmkSod-jKeQrddKVgnEfvseRX0O5fKFcA_2J9APLBNCFOVqQG2CS3jCGcvVf6pISJnWSZqTdS6q5_JX5PugV2MUtVflZbiQlCPZlnBAUywXH_OU-spLQxIo%3D
"['Elevance Health', '3.7']",http://www.elevancehealth.com/,Full Stack Engineer Lead (Java / C# / .NET),"Chicago, IL",$97K - $135K (Glassdoor est.),"The Data Architect Sr Advisor is responsible for aligning data solutions to business requirements by planning and managing data architecture work.
Position is located in Cerritos, CA
Primary duties may include, but are not limited to:
Provide technical recommendations and engage with ETL/BI developers, Business SMEs and other stakeholders throughout the Solution/Data Architecture and implementation lifecycle and recommend effective solutions to develop high performance and highly scalable data solutions (data marts/warehouse and data mining).
Architecting and designing technical solutions leveraging AWS Redshift, Snowflake, Microsoft Azure, IaaS, PaaS and SaaS capabilities",10d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846a38a59e8cf6316442c92659&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f5369263&cb=1668229435464&jobListingId=1008250461921&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl3h9ef2cgl001-1ghl3h9esih5r800-da0791d76c0edf0a--6NYlbfkN0CYKz7WkjjIBo9g-UNpfbe8NgwuZiYfRxOZtqzhKycvsqxvb0lJG-axjfuzwdzOAWqpI1qs98-C81E39NR3wjMB5KnVIT7wG1JTJdreT63BDRM91TRHOcUyqMN2NqiEb3XJPcCHjC2iRfQF6z5lpko5MtxKmuJhVEtgFsQABh4uWBpzn_I-2HoLWyeN7TlMNn2HyQbYmcq5qto3hVSqRuvxy-1o7UGv3OmwzzYT4bLcrzFvakN5aEkZ_UElv4xafuZPOhtm7ve09XAWhBTTYfCKEKjs2EUTr2j3kK8GuWXeEjcheZ473oX0loyo-b1LbagCEKt_eKXmV8Zf-dvwUNed28qaCKzH6Lf36_3hIMePNqNYU6xpkG5lW3q4MwdhanAnn6-K2yZ860mvJe7itEPC7yCWmS2PVsJoy7a5lbzCwzppRY8BvHW_QDxQvxqGTBAq6LCuhFUHvgHP0HDi-8mPbxakvvHrxCYwFoLJ2llKl1oS-cBKMw-VenyT9MB5J3s7RKooOjkqGBKlu-_FP4SJJC4LcNlgus5UAP1rcSBQjQ%3D%3D
,,Full Stack Engineer Lead (Java / C# / .NET),"Chicago, IL",$97K - $135K (Glassdoor est.),,23d,
"['Elevance Health', '3.7']",http://www.elevancehealth.com/,Full Stack Engineer Lead (Java / C# / .NET),"Chicago, IL",$97K - $135K (Glassdoor est.),"Job Family: Data Warehousing and Business Information
Type: Full time
Date Posted: Oct 19, 2022
Req #: JR32234

Description
Build the Possibilities. Make an extraordinary impact.
AIM Specialty Health is a benefit-management leader in Illinois and a proud member of Elevance Health's family of companies. Our platform delivers significant cost-of-care savings across an expanding set of clinical domains, including radiology, cardiology and oncology. The Business Information Consultant / BI Developer is responsible for serving as an expert in data analysis, reporting and formulating recommendations and providing guidance to other data analysts.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a38a59e8cf6316442c92659&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4f408fcd&cb=1668229441643&jobListingId=1008219459477&jrtk=3-0-1ghl3h9ef2cgl001-1ghl3h9esih5r800-9c363218e792b9f7-
