Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Westinghouse Electric Company', '3.2']",http://www.westinghousenuclear.com/,Cyber Security Site Engineer,"Waynesboro, GA",$69K - $95K (Glassdoor est.),"***WTSS Contractor Opportunity***
Opportunity Overview:
In this position, the industrial Control Systems (ICS) Cyber Security Engineer / Analyst can expect to be responsible for assisting in the evaluation and implementation of network architecture and cyber security services and technologies in nuclear power plants around the world. The individual in this position will work as a member of the Distributed Control & Information System Platform & Cyber Security group and will be responsible for a variety of functions utilizing their understanding of cyber security practices and technologies. The candidate should have a thorough background and experience in information assurance/cyber security application to ICS, technical security audit, and general information technology & networking.

What your day-to-day looks like:",22d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c64caa48763aa7892c9cbee&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_58eb00d1&cb=1668265862842&jobListingId=1008222788959&jrtk=3-0-1ghm69in5ii1t801-1ghm69inqi7ko800-da6e321e26830641-
"['GE Power Portfolio', '3.8']",http://invent.ge/powercareers,Cyber Security Site Engineer,"Waynesboro, GA",$69K - $95K (Glassdoor est.),"Job Description Summary
Entry level role in Plant Instrumentation & Control Systems Design team. Primary focus is boiling water reactor rod control system engineer. Responsible for supporting original equipment manufacturer (OEM) rod control systems in operating fleet, and design of rod control systems for new reactors. Scope includes: 1) requirements definition; 2) design specifications; 3) development, test, and qualification plans, and 4) field deployment of rod control systems
Job Description
Essential Responsibilities:
Develop and maintain an understanding of rod control systems used in existing and new boiling water reactors (BWRs).
#LI-Remote - This is a remote position",7d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c64caa48763aa7892c9cbee&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d051db0d&cb=1668265865652&jobListingId=1008258447281&jrtk=3-0-1ghm69in5ii1t801-1ghm69inqi7ko800-f7dd6c9bb94d2584-
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,Cyber Security Site Engineer,"Waynesboro, GA",$69K - $95K (Glassdoor est.),"An exciting career awaits you

At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Learn more about Marathon Petroleum’s benefits at
www.mympcbenefits.com
.
POSITION SUMMARY:
The SCADA Analyst provides controls and communications technical support for the G&P East Region Pipeline SCADA system. Responsible for programming and maintaining Schneider Electric Geo SCADA HMI and its server/network infrastructure. The role supports troubleshooting and improvement requests from Pipeline Operations and Controllers, and interfaces with Engineering teams to design and commission pipeline asset expansion.
Canonsburg PA
00005380
4600 Jbarry Ct Ste 500
Full time
Regular",16d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c64caa48763aa7892c9cbee&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2675809c&cb=1668265869606&jobListingId=1008236485545&jrtk=3-0-1ghm69in5ii1t801-1ghm69inqi7ko800-0c4d2a63697630ee-
"['City of Ferguson', '1.0']",http://www.fergusoncity.com/,Cyber Security Site Engineer,"Waynesboro, GA",$69K - $95K (Glassdoor est.),"The Ferguson Police Department is seeking motivated candidates with the ability to exercise sound judgment and compassionate community assistance for the position of Police Officer. The position of Police Officer is vital to the success of the City of Ferguson. The ideal candidate is dedicated to protecting the people and property while maintaining peace throughout the community. A person in this position is responsible for community engagement; enforcing and upholding City ordinances as well as State and Federal laws. Cadet opportunities may be available and we welcome applications.
The City of Ferguson offers a minimum starting rate of $50,880.00 annually and competitive benefits package which includes health, dental, vision, 100% City-paid LTD and life insurance plans, paid vacation/sick leave, paid parental leave, tuition reimbursement, and residency incentive pay of $300.00 per month for full-time Police Officers.
OUR COMMUNITY
The City of Ferguson, Missouri is located in the heart of the St. Louis metropolitan area, close to downtown St. Louis, Clayton, and Lambert St. Louis International Airport. This historic community is a mix of diverse neighborhoods, business district, big-box stores in the I-270 corridor, and world headquarters to Fortune 500 company Emerson Electric. In this well-established and mature city approx. 110 full-time staff provide a range of municipal services.
ESSENTIAL JOB FUNCTIONS
This is responsible law enforcement work in the protection of life and property through the enforcement of laws and ordinances.
Work involves responsibility for the protection of life and property, prevention of crime, apprehension of criminals, and the enforcement of laws and ordinances. An employee of this class may be assigned to uniformed patrol, crime prevention, canine duty, traffic accident investigation, or other specialized departmental activity. Work involves an element of personal danger in the pursuit of duties. Officers must exercise independent judgment in meeting both routine and complex emergency situations and act without direct supervision. A significant portion of time involves public contact where discretion and tact are to be conscientiously exercised. Assignments and instructions are received in general terms from a superior officer who reviews and evaluates work methods and results through reports, observations, and discussions. General duty work including:
Patrols residential and commercial property to observe, prevent, or terminate unlawful acts; maintains radio contact with dispatch; reports crimes or unusual situations; responds to calls or initiates actions; backs up other units as required.
Responds to calls involving traffic accidents and other serious accidents; secures scene to protect victims and property; gives first aid and calls for medical assistance; interviews participants and witnesses; collects other related information and completes reports.
Facilitates the movement of people and vehicles, including enforcement of all traffic regulations; controls and redirects traffic in congested areas and scenes of emergency or danger; promotes traffic safety; assists stranded motorists; enforces parking restrictions; controls crowds; prevents the blockage of sidewalks, streets, and other public accesses.
Operates a radar unit in monitoring speed of traffic; stops violators and issues warnings or citations; conducts appropriate tests for determination of intoxication, when appropriate.
Responds to a wide range of citizen needs and requests, at times under emergency conditions; e.g., accidents, rescue efforts, searches for missing person(s), alarms, and in-progress felonies.
Responds to reports of criminal activity; searches buildings, residences, and surrounding areas for criminal subjects; secures scene to restore peace and protect evidence; calls for assistance as needed; provides backup to other officers engaged in confrontation or arrest activities.
Interviews complainants and witnesses; analyzes probable sequence of events; seeks additional data through research, telephone calls, interviews and other methods; identifies, arrests, fingerprints, and takes offender(s) into custody for probable cause; advises such persons of their constitutional rights; searches for weapons or contraband; interrogates suspects regarding act(s) committed; transports for incarceration; testifies in court proceedings to provide known facts and evidence.
Serves as a field-training officer, on an assigned basis; patrols with recruits and instructs officers on police procedures; evaluates officers during probationary period.
Practices the use of a variety of firearms on a periodic basis; attends continuing education seminars and lectures on various law enforcement practices and techniques.
Provides effective and efficient customer services and promotes and maintains responsive community relations.
Follows safe work practices.

OTHER JOB FUNCTIONS
May be assigned other duties including; Traffic Officer, Department Analyst, Detective, School Resource Officer, Canine Officer. Examples of essential job functions for these duties are described in the attached addendums. Performs related work duties as assigned. All Police Officers work under the direction of the Police Chief.

QUALIFICATIONS
Graduation from high school (or GED), supplemented by the state-approved course of law enforcement training; experience as a Community Service Officer or in a law enforcement setting; or any equivalent combination of training and experience that provides the following knowledge, abilities, and skills:

Knowledge of applicable federal, state, and local civil and criminal statutes and ordinances on which charges and arrests are executed, including laws of arrest, search, and seizure.
Knowledge of police rules and regulations and standard operating procedures.
Knowledge of the geography of the City and location of important buildings.
Ability to handle sensitive public contacts and to deal tactfully and courteously but firmly with the public.
Ability to distinguish confidential material and apply departmental standards for security and privacy.
Ability to testify in court and similar proceedings.
Ability to analyze situations and adopt quick, effective, and reasonable courses of action with due regard to surrounding hazards and circumstances.
Ability to operate a computer.
Ability to establish and maintain effective working relationships with other employees, and the public.
Ability to communicate effectively, orally and in writing.
Ability to meet such physical requirements as may be established by competent authority.
Skill in the use of firearms and such other regular and special police equipment as may be assigned.

be 21 years of age at the time of employment,
be capable of passing a physical performance assessment,
no felony or Class “A” misdemeanor record of convictions.
be Missouri Peace Officer Standards & Training (POST) Program Certified,
have a valid Missouri Class D License

SPECIAL REQUIREMENTS
Military Discharge (DD214) where applicable.

PHYSICAL DEMANDS
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is frequently required to sit and talk or hear. The employee is required to stand; walk; use hands and fingers to handle or operate objects; reach with hands and arms; climb or balance; stoop, kneel, crouch, or crawl; and taste or smell.
The employee must occasionally lift and/or move more than 50 pounds. Specific vision ability required by this job includes close vision, distance vision, color vision, peripheral vision, depth perception, and the ability to adjust focus. The employee may have to work in inclement weather; may be subject to personal hostility; and the potential exists for sustaining serious bodily harm or possibly death in the performance of duties. The employee is frequently exposed to life-threatening situations.

EQUAL OPPORTUNITY EMPLOYER
The City of Ferguson is committed to having a workforce that reflects diversity at all levels and is an equal opportunity employer. Qualified applicants are considered for employment, and employees are treated during employment without regard to race, color, religion, national origin, citizenship, age, sex, sexual orientation, gender identity, marital status, ancestry, physical or mental disability, veteran status, political affiliation or any other characteristic protected under applicable law.

MISCELLANEOUS INFORMATION
Go to www.fergusoncity.com to complete an online job application or email your cover letter, resume and 3 references to lmurray@fergusoncity.com. Alternatively, send to City of Ferguson City Hall, Attention: Human Resources, 110 Church Street, Ferguson, MO 63135.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c64caa48763aa7892c9cbee&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_103fa5b4&cb=1668265872442&jobListingId=1005573201271&jrtk=3-0-1ghm69in5ii1t801-1ghm69inqi7ko800-9b90604626c31980-
"['Emerson', '3.8']",https://www.emerson.com/en-us/careers,Instrumentation Engineer Co-op,"McKinney, TX",$64K - $85K (Glassdoor est.),"Instrumentation Engineer Co-op
As an Instrumentation Engineer Co-op at Mckinney, Tx, you will install, configure, and evaluate operational characteristics of electrical and instrumentation including installation, troubleshooting and continued calibration as well as maintenance within natural gas installations.
As an Instrumentation Engineer Co-op you will
Safely install, configure, test, calibrate, operate, troubleshoot, maintain, and inspect electrical instrumentation
Monitor pressure, flow, temperature controls, process media, and gas analysis equipment",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846c6548f7b147e9b8bbeeeb95&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_50f82978&cb=1668265908874&jobListingId=1008123900204&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm6ai93khp8801-1ghm6ai9jghpk800-8347cb5d8873f3b7--6NYlbfkN0C0yHrujcxMCbkaG3IbA09ELIIJjJgF-_zVRJpDqTq0TTx-_fOZR8S_mlYLCrbuqdC-z3vgjD8zX9dqAr974VF7JXKjlYaqQAi_r_wJQbKRxFOzQ6mg3jE14zWoRY-yj4yjHqAtva7R7lnIaT5M3xwVDOHB3kdIARIiKrGTJjoFakAT5aR2s3BTbdGVdBPjGny2Q9tA-go2mjgYO-0ZZZwgdGy2vNMOb1cLvY321AjF7XBr9I5pvOkN6MjAPjNWBzJcD-fJQuIZ1aQ4KyPGskYpifWhR0Twlaul4FP7h56vYS2tVV1rNM6lX_WYYiksVT1LRfAGNv-R7vH0gUr4dN8tXTbvPIOC3RESTXci6BKuCHLK_c837guk_NxFgwP5YF4DMX3ZI8kaPvyBwprFFiXo2y8EntMMI0iYq3JMBvNJgJ4xEUcLKG0etK6pxUZSbVCYkHVZv7TiXM0akopQU47Th-ctfTn9Q4HEpuiA-9w_LUSzBjKOS--rsFys0fH8Jea_UeTuNMOb0aLgiSSeLftatF6IMcBr-KoM6q3asyPzgBUnxFvq3uQNEGee4EXRBcovrUKdv_LkjlXRqyZxy6oHfyhZMmDt1DMuEJSJJrHfZWsT8UO1d1lWRTaZ2kuQ0CQ%3D
"['Emerson', '3.8']",https://www.emerson.com/en-us/careers,Instrumentation Engineer Co-op,"McKinney, TX",$64K - $85K (Glassdoor est.),"Emerson has an exciting opportunity as an Electrical Test and Reliability Engineer available for you! We are seeking a self-motivated individual who will work as a direct contributor on a multi-disciplined project team in our Eden Prairie, MN location. Ideal candidates have successfully developed, planned, and executed manual and automated testing on electronic devices that meet quality, performance, cost, and schedule goals with minimal supervision.
PRODUCTS WE ENGINEER :
We design and develop products that deliver highly accurate flow measurements, up to 0.25%. In magnetic flowmeters this requires generating controlled magnetic fields to induce a microvolt signal which is converted, temperature compensated, and communicated in analog or digital forms to higher level control systems. They are capable of Modbus, Fieldbus, Ethernet, Profibus, 4-20 mA and local display outputs, while being both explosion proof and intrinsically safe.",10d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846c6548f7b147e9b8bbeeeb95&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6bff768e&cb=1668265912833&jobListingId=1008250371370&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm6ai93khp8801-1ghm6ai9jghpk800-6d4c6fb057640452--6NYlbfkN0C0yHrujcxMCbkaG3IbA09ELIIJjJgF-_zVRJpDqTq0TTx-_fOZR8S_mlYLCrbuqdBPxd6Jo_JqKN5Fc0Cyy9WRjCe0z1g72p1DZ4kmFo5dUE7rMTQhT_HkCDVQfzJiYrHDBq1cpg7qaCTa6CjKcuyd7yFIi2RN_pR-_TTRBA_aqmreYDppmvvXoThftRneaMMrO2XFLsRzUJfknrpxm_-g3nL_c8Qv_qwsRIfcoRfMutdciiq-_FuPat_cNJ4zMsS-RaJ4Iuyr7D5S63QFj-LkXFH1gXv1U1HYJs7Nvgc05f968JBrKxCc3mrFifwkE8upCR-AfH2bvXyUKwKyJHeErV3i1LNSwQ04MCYjuGuKEs9o8IPfDOPrFwyO2_BnR3LCmLuy9mT627WU1uUQKJJBdzIyozX6q99sXngboH_F6pYhfuHmyxHH0pQYyJCccSpUs0anbzOJiIFVakUjpfv0h43brfJbZJAh84XhUHAJeqJSI9X3PaaSfEcZiXLJEcWfpFf425qVRMuCmo7ftjQOIrHZtdxB9Ru6Za-cWZqpOy8BMssnrhaB5gMfTKO9UmDAoanzjXBx6LkiwSA1GxAiXIyJUwWB9jSr1fIypnr3ilE-O8E1YQ7WVeBUJTk_FUM%3D
"['Emerson', '3.8']",https://www.emerson.com/en-us/careers,Instrumentation Engineer Co-op,"McKinney, TX",$64K - $85K (Glassdoor est.),"If you are a professional Product Engineer looking for an opportunity to grow, Emerson has an exciting opportunity for you! Based in our Ontario, Ohio location, you will design, develop prototypes with detailed specifications, determine required resources, materials, production costs and estimated delivery dates for clients in the oil and gas industry.
AS A PRODUCT ENGINEER, YOU WILL:
Review technical customer order issues per Valve Automations quotations.
Assign manufacturing and purchased components to complete required bill of material.
Creates and/or oversees applicable drawing requirements including assembly and detailed drawings.
Conduct stress analysis of material and components.",8d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846c6548f7b147e9b8bbeeeb95&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_259bfcd0&cb=1668265915907&jobListingId=1008255050521&cpc=2CAED5C921A5F994&jrtk=3-0-1ghm6ai93khp8801-1ghm6ai9jghpk800-c691ff250396c6a1--6NYlbfkN0B6W1GQR_-ddIEtJwv_7XybNh2dJ4Y8PQsjMw9jdseqLfmbNITQOftV64hYQclZLgA4Tt_8vwL6qHhk0rhTZDqVuFvR98DaW7QgvEg9LuxKI3_idOMB6M-GzWviXlXNyefAcXGkHY4LZj-gMoq-DPG9mSpZRAjfJpRMrj0nG6y8fNi0wxZOZeCuY0iuTOxfBRD8gP7ImhZnoSd9oAJmVYIjatmrgwZrpvBAnfMko0BtlMNS0zC3-mkDHzFJCkX3THyC8732mxaJJM3opzr0TiO7RQyholFDFT-_zD1ycmg6-glCdRSq_uQRs4xG4ExcYGhEA-TzxAfcS2ewkNypOIyUA6PFqriyjl3KqE-_6gDdxsjfYZq89z2EfxsI2oPIVfgMCm7w_ELSahv_2De-Whr7_3WwSYP2d4wQUTdAiM2oBPe1sXreJW5Q-yAFIKwB8DBd3Rid70A6GQtRSqjNzOXZwkHWTmtcMBoxn4CH6Ar03jMtYg-uAxiF
"['Emerson', '3.8']",https://www.emerson.com/en-us/careers,Instrumentation Engineer Co-op,"McKinney, TX",$64K - $85K (Glassdoor est.),"If you are an ENGINEERING COORDINATOR professional looking for an opportunity to grow, Emerson has an exciting opportunity for you! Based in our CUDAHY, WI location, you will perform various project scheduling and monitoring functions, and administrative and clerical functions to support the Project Management Office (PMO), New Product Development, Operations, and Sales Team.
Success in this position requires the candidate to work effectively in both a collaborative and independent environment. Good communication skills internally and externally with customers are a must. High attention to detail with the goal of high-quality outputs at the best possible pace will be the overall goal for the Engineering Coordinator. The Engineering Coordinator is essential to the success of all project teams.
AS AN ENGINEERING COORDINATOR, YOU WILL:",2d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846c6548f7b147e9b8bbeeeb95&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_27855cf2&cb=1668265919842&jobListingId=1008268961629&cpc=8795CF9063CD573D&jrtk=3-0-1ghm6ai93khp8801-1ghm6ai9jghpk800-62b450ada34d6ac3--6NYlbfkN0Ahr3hadymvmfHQSsdKbN2Bsw-eYbu_Cq2ujVZpgkcj3QXg6PaTvlnVzGa-EB42NrSEWvW5ZYpbl1f0JD1GWeqV-0hnwwezo4HCcEMmjwN5q1MGX-qC7EroqlEt-xlHbErxaPnSjTknFS-KtBBZjxOR1WZq14uyoFCHFREbVnS1EKcYEixv9zxHt4bVhXXVUJWHlOC1FQ5R2-OU_tDGpgamp3ld5W1HEeXdiifd2FpPQUkYc-o1AWH5H-TFJPqEQEg3YxaL2YvduKTax75bLyQboheF_ROGZ11Npfy3SSke57STAiZDSCR3Ww7u2J3RDCw70P5D9PEyPWDybyA2e3_SshsOET5pjlYJb7sBX0NMgVvJE838XL5Ae96ZSi__N-GAL2I8Wkhmz1h2nZC2xQUYkTSs0zPbqaJ92jZ7O9ubEUdbwSGnbOydzcRowSBCSJmQA9c2VYKboXa5sz4alqcHcmeMxHpnfNGSKP1TuOOd0Bzr4rrpkSsu
"['Emerson', '3.8']",https://www.emerson.com/en-us/careers,Instrumentation Engineer Co-op,"McKinney, TX",$64K - $85K (Glassdoor est.),"If you are a Mechanical Design Engineer professional looking for an opportunity to grow, Emerson has an exciting opportunity for you! Based in our Boulder, CO, you will also be responsible for engineering custom Coriolis Mass Flow and Density Measurement solutions to meet the specific needs of Emerson Measurement Solutions’ customers and for continuously improving the designs of existing products.
AS A MECHANICAL DESIGN ENGINEER YOU WILL:
Determine the nature and scope of assigned projects, as well as budget and schedule parameters, and delegate appropriately to developmental engineers.
Determine the technical design criteria for the project.
Ensure that appropriate background information, such as part designs, materials specifications, and governing code requirements, has been researched and incorporated into the design effort.",4d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846c6548f7b147e9b8bbeeeb95&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_21e21dcb&cb=1668265923838&jobListingId=1008263270907&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm6ai93khp8801-1ghm6ai9jghpk800-0d4eca9d62227b0b--6NYlbfkN0C0yHrujcxMCbkaG3IbA09ELIIJjJgF-_zVRJpDqTq0TTx-_fOZR8S_mlYLCrbuqdB3aw24HVTZuMQNHJFc8yf_nhYriPjktAnZteRjU76AeFTSujTA6yn6pliPfxa6N7Pc6Y-WrZV90yCGHkOEa9SMM9wxhfAbkmE6_5VjCZsXY_HSOWkkwM7dZOwISW8Y9Anolimox8LDWkLO6eAj2xXWGDtZ_gsFZ7vnkSrr2ZpNwvNDlr21Pzwse04IG98uet7tZkdMH9PTJhzvLDkXaimDmRuXlNCbwKWd4Or8dpyWQj2RJ0UOrdLER3kb6Dl8GgH7srAoMGq5TSTwtd0PxoBwL2RDlW5u8W48BFbQEw1xvk2y8aKjlRj8l-IuoufvMvt4qaZeOHYqIQAyZfOF5ARGV7pCbsNyyT8W0mjSzIMa3H3MalsYuJlEV3q2OAVYvCVq8KyXQLks5A5uhQo-CNaOtiwUailT7fi9zBMOmD9fsuSbAJ6MDXtWOLHU7NZe1Kn22zRBca044wJzV9I41tgNxNwtSE1fNjS1pTr4zpb-K51LXBfS8x_my6ZPTXA2QjmcK7-jEsUicxJGs6Yy-Ejzx0o4e30u6Tjgg-KzZsx-zqhpKmSIx6kJegvpB9cUfSY%3D
"['Emerson', '3.8']",https://www.emerson.com/en-us/careers,Instrumentation Engineer Co-op,"McKinney, TX",$64K - $85K (Glassdoor est.),"If you are a MANUFACTURING ENGINEERING professional looking for an opportunity to grow, Emerson has an exciting opportunity for you! Based in our ERIE, PA location, Urick Ductile Solutions is a ductile iron foundry that produces a wide variety of high-quality castings for various markets. The Manufacturing Engineering Manager reports directly to the General Manager and will work directly with managers, shop floor personnel, and contractors to promote continuous improvement of our foundry processes through lean process initiatives, equipment and facilities upgrades, and optimization of new product launches.
Emerson’s global Professional Tools business offers the broadest portfolio of reliable tools and technologies for those working in mechanical, electrical, and plumbing trades! With unparalleled expertise from RIDGID, Greenlee, and Klauke, we deliver trusted products that provide dependable performance to handle the industries’ toughest challenges.",2d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846c6548f7b147e9b8bbeeeb95&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bfc6c8b9&cb=1668265926890&jobListingId=1008268961627&cpc=8795CF9063CD573D&jrtk=3-0-1ghm6ai93khp8801-1ghm6ai9jghpk800-d8e674ba38b46cd0--6NYlbfkN0Ahr3hadymvmfHQSsdKbN2Bsw-eYbu_Cq2ujVZpgkcj3QXg6PaTvlnVNjiFqkYWpsTn-XM7sYE8uIMf38Tbl9A4RGz4A97xfGIzizfPXDVZCKf5BLVVVW8eOfRx2SugYuNSbb1rYWxR4EESNAXhjp0X0xk6wN644jwQlxfsedKt6GmqiUOP8CkCm1PaBYG29KFWmzeQVP1Dl5kMb1ar6_m4DUVieImOx_sqsB7lRG8Lr5Mx-lKfO7l9swZ_VmERTtRqRrj5jWhfOaRhsnnSeNIRG0AdDpVrkdFhgOdZ2_c0FR9KSOs9DvlUMvw5qr-4pUZpYniE5aJGg1tmivBdabWXsTVUd7hygXXqcdvtDm5JpO1TikU6OJauEE9WzE_VxO0A1RmBE3u4tH02Roxr-DwHjsVGEwOLrwv12ij6udniz1rCiEaGrobyH9nR_A8bpabn6dclAKPztD1U5LVs-Q4-3SFNlb1iM9dyaFyWJjoZIIdDc4yhcskO
