Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Energy Transfer Family of Partnerships', '3.8']",http://www.energytransfer.com/,"Application Developer - 2210002758 - Houston, TX","Houston, TX",$51K - $79K (Glassdoor est.),"Summary: Energy Transfer is looking for application developers to work on existing and new custom application development and Integration. Energy Transfer leverages various technologies in the support of line-of-business applications for our Interstate and Intrastate Natural Gas business users.
Essential Duties & Responsibilities:
Be willing to learn new IT and Business Skills regularly
Be comfortable in a regularly changing environment for priorities and activities
Collaborating with business users and IT to identify end-user requirements and specifications
Designing and developing software systems using best practices
Developing technical documentation to guide future software development projects",8d,
"['Energy Transfer Family of Partnerships', '3.8']",http://www.energytransfer.com/,"Application Developer - 2210002758 - Houston, TX","Houston, TX",$51K - $79K (Glassdoor est.),"Summary:
Our organization is looking for a talented and passionate DevOps Engineer to work closely with application teams to expand and formalize our DevOps strategy and implementation. The candidate must possess a proven DevOps background and familiar with all aspects of the SDLC. The candidate will demonstrate prior experience with configuration management, CI/CD systems, automation strategies, and maintenance of scalable, fault-tolerant, highly available applications.
Essential Duties and Responsibilities:
Create and maintain CI/CD processes and automation to maximize efficiency for multiple applications.",2d,
"['Energy Transfer Family of Partnerships', '3.8']",http://www.energytransfer.com/,"Application Developer - 2210002758 - Houston, TX","Houston, TX",$51K - $79K (Glassdoor est.),"Are you interested in joining our team? Chat with our digital assistant to learn more about our company and apply right from your mobile device!
Text ETP to 25000 to get started or apply through this web posting if you prefer.
Energy Transfer, a Fortune 50 organization, recognized by Forbes as one of America's best large employers, is dedicated to responsibly and safely delivering America’s energy. We are driven to inspire our employees to create superior value for our customers, our investors, a sustainable future and giving back to the community where we have long-standing commitments to causes including MD Anderson Children’s Cancer Hospital, The Salvation Army, American Heart Association, Ronald McDonald House and many more. Come join our award winning 10,000 strong organization as we fuel the world and each other!
This position comes with world class compensation, benefits, 401(k) match, profit sharing, and PTO.",8d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c082c54a4633aeb3be86e8a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fe25570a&cb=1668259800968&jobListingId=1008256073238&jrtk=3-0-1ghm0gb49i6ip801-1ghm0gb4rj46m801-1352dc9c48dc1748-
"['Energy Transfer Family of Partnerships', '3.8']",http://www.energytransfer.com/,"Application Developer - 2210002758 - Houston, TX","Houston, TX",$51K - $79K (Glassdoor est.),"Summary: Technical support for production and projects in PeopleSoft 9.2 HCM, HR, Payroll, Benefits and Comp modules.
Essential Duties and Responsibilities
Adept with PeopleCode, App Engine, Component Interface, SQR, PUM Updates, and BI Publisher
Ability to undertake complex projects, detect opportunities for process improvements, and make well-thought out decisions.
Act as a liaison between IT and HR, works independently and has excellent communication skills.
In depth understanding of HR functions and the relationship between all HCM modules.
Requirements:
Education and/or Experience, Knowledge, Skills & Abilities:
To perform this job successfully, an individual must be able to perform each essential job duty satisfactorily. The requirements for this position are listed below:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c082c54a4633aeb3be86e8a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_500eb1e4&cb=1668259803854&jobListingId=1007442317937&jrtk=3-0-1ghm0gb49i6ip801-1ghm0gb4rj46m801-66f8629d44781f82-
"['Energy Transfer Family of Partnerships', '3.8']",http://www.energytransfer.com/,"Application Developer - 2210002758 - Houston, TX","Houston, TX",$51K - $79K (Glassdoor est.),"Summary: Energy Transfer is looking for application developers to work on existing and new custom application development and Integration. Energy Transfer leverages various technologies in the support of line-of-business applications for our Interstate and Intrastate Natural Gas business users.
Essential Duties & Responsibilities:
Be willing to learn new IT and Business Skills regularly
Be comfortable in a regularly changing environment for priorities and activities
Collaborating with business users and IT to identify end-user requirements and specifications
Designing and developing software systems using best practices",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846c082c54a4633aeb3be86e8a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a257cfde&cb=1668259807011&jobListingId=1008159266087&jrtk=3-0-1ghm0gb49i6ip801-1ghm0gb4rj46m801-3174e1e0cb01f154-
"['Energy Transfer Family of Partnerships', '3.8']",http://www.energytransfer.com/,"Application Developer - 2210002758 - Houston, TX","Houston, TX",$51K - $79K (Glassdoor est.),"Summary:
Energy Transfer is seeking a skilled Software Engineer to step into a Lead Developer role. You will be a critical member of our team responsible for the development and support of a variety of Angular single page applications (SPAs) running on a multi-tier, Spring back end. You will participate in all aspects of the software development lifecycle which includes estimating, technical design, implementation, documentation, testing, and support.


Essential Duties & Responsibilities:
Participate in the technical planning & requirements gathering phases including estimate, develop, test, and manage projects",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846c082c54a4633aeb3be86e8a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e3fd8a6&cb=1668259809831&jobListingId=1007482399215&jrtk=3-0-1ghm0gb49i6ip801-1ghm0gb4rj46m801-952895b38f59188b-
"['Santiam Hospital & Clinics', '3.7']",http://www.santiamhospital.org/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"Description:
POSITION OVERVIEW: The Cogito Business Analyst II at Santiam Memorial Hospital performs analysis, designs, develops, deploys, supports and maintains reporting and data extracts for the various business units and clinical stakeholders serviced by the Enterprise Data Warehouse (EDW). This position will provide consultation and support in the development, analysis, design, and management of Epic application reporting and data extracts to support the clinical process improvement and waste reduction initiatives. This position does not directly manage any other caregivers.
Responsibilities:
ESSENTIAL FUNCTIONS AND DUTIES:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846c08cd588d286141b37f4ec2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5850db93&cb=1668259832839&jobListingId=1008174896377&cpc=2C0945AC5067B68B&jrtk=3-0-1ghm0hjcmgris801-1ghm0hjd7i39u800-ff9919adc2e70032--6NYlbfkN0CReDoGVbcu558fYcZ8lpKUVSAgmsSslte3APhxbIvFATLdW8Jp9gLy1LM-miUX_gofL6kyc18FyVahMYqBciiBkrSMQp1OlKFeYk1tugHXtGSY7loSe5VoKP5mZhsiDSSAiwKpG1ExWXHrbbZmeOfT0ZHZNzh2WiEArpjD0KGmTqkCOPME3qOXCGT5z7jmTDBSicCJ-GKQId5-eB22bq6VlCaUH_1aAT12Us-Ye9X1g-5teQXUY8hHlCl2602rYAYKKe_4sgemO_KToBDFQqszSy3qL1oBiqdrG_O15DfzmhE2HZFNtoq0CIfPET-FJWbhFRoDuPMFMOox4gf3KDh-TmXuIZnhroJrpIQQwTaTphaULE76Bf_ghNrd7jUoHGk0GFDQv37WcQ45f4QdUvnbqoeE7kbaYdnxLJ9Dl8mxslZCeiO5zFuTU2PaTgmzpYmDkMbMEnEPKd1yjqFe3eYRpx-QAW9JTUWiTPWzdqfcWG93r3zKHqESyuV0Jo-x3Yn6jjUyy9zo_mYRqdv1NALvGXoqY0NrEfNG62ECB7EVOyhRMSC7__HK-B1sVsETmzjjwpzgnEdXzAcUtTBIHTFC
['Market Leading Energy Company'],,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"Business Systems Analyst – Application Support
This is a great opportunity for a Business Systems Analyst looking for a new challenge in an outstanding organization. A publicly traded energy company that is a market leader is looking to add a Business Systems Analyst to perform a variety of functions that ensure all applications run smoothly and customer inquiries are appropriately addressed. They provide first and second line application support, resolve technical queries, and communicate solutions directly to customers.
Competitive salary and highly competitive benefits. Excellent working environment. Working hours 8:00 am to 5:00 pm. This job will generally be performed in the office although a hybrid work arrangement is possible. In either case it requires that the person live in the Lexington, KY area. THIS IS NOT A REMOTE POSITION.
SUMMARY DESCRIPTION:",24h,
"['Specialty Coating Systems', '3.4']",http://www.scscoatings.com/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"GENERAL PURPOSE OF JOB:
In the SCS environment, the Business Analyst function is an amalgamation of several traditional roles, including Database Administrator, Developer/Report Writer, System Support Technician, and Systems Trainer. The Business Analyst is the liaison between the IT department, the business units, and outside vendors with regard to developer platforms and associated technologies, including but not limited to ERP software, development platforms, reporting tools, business intelligence tools, and bolt-on applications. The Business Analyst will both participate on project teams and often lead projects.
The Business Analyst will often function as a developer/report writer by providing new and improved user interfaces, reports, and forms for the organization, both through direct application of development skills and by the use of outside developers. As a member of IT department, the Business Analyst will also perform the following functions with regard to ERP software and all custom developer applications: serve as primary user technical support and training resource, ensure data integrity and database stability, document and test both new and upgraded systems, manage and review user access levels.",1d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846c08cd588d286141b37f4ec2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4f3fc9a5&cb=1668259839013&jobListingId=1008272528400&cpc=5EFBB0462F9C6B7A&jrtk=3-0-1ghm0hjcmgris801-1ghm0hjd7i39u800-f8b8e357d645c84d--6NYlbfkN0Btdm3P-J5KJ8i5uVjpIe3gf0N-A-obdONlWrqWxJjHzDl3F9-gPju6oMDFbNk_jflZIBLi4xka6GMTHAw4k00hsK2JOcKhp0nc9dI22B1ogiX08LbqP3uGCDuebBu3-nPjtXwfwYVCWHj1gAdl1TpE91G4OQAim9YMvFUmLuwpBNzbeXFkKSUw1hqEtjrSN5IwDyC33DptwdulKitE5PYhzUZ3HeatyZuxhihwBDLKwU2zcqTsO3bqfsKxPB6FwDSck4mYVGMVMZQ4BTDq-oPjsIAUjH-wsyirk40ceTq-62LebXtkgkv0zozPmBEYHrkFYlnoY_4er98crmg-J__zo5xs-UAXoHfLBmnMAIXZhVtMbv5YTj51tiu38dPsFzETLE--ik7vSwFJPy1R5kpmi6md5Lc8MyOr9YnJiknVU64iKw7m_l1VaQWvwJOhq8ToRJbLma0N6kxB6tJ8jsJ96ZU34XmN15GrsDnv-JRqZr3SLW3Oh9L-MX-hZCANNmE8EiLQjIJ2mRqKIAbSK18laP_pcXBgA98rRW4mJ8HojlAb1l2UmJDzW8S0pMoBCi2O0nOj7ac_J6Q0u8IThFxvbkpz0zCHcONPByiXhGcHsT-EetTdVgw3FKPjkmq0oFCYXvGVj82NCD6V0fNG6OciMbGXZX_jTQI1yUyC7uNejQ%3D%3D
"['State of Connecticut - Department of Administrative Services', '3.5']",http://www.ct.gov/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"Are you an IT professional looking to take your career to the next level?
Do you enjoy designing, implementing, and maintaining Java-based applications?
If so, read below & apply today!

The State of Connecticut, Department of Administrative Services (DAS), Bureau of Information Technology Solutions (BITS) is now accepting applications for an exciting, full-time (40 hours/week), Monday-Friday, 1st shift, Java Developer (Information Technology Analyst 2) opportunity to support the Department of Energy & Environmental Protection (DEEP) in Hartford, CT with hybrid telework options available.

The Role: You will work under the BITS agency success group in service of DEEP, you will support the applications development team. DEEP is charged with conserving, improving, and protecting the natural resources and the environment of the state of Connecticut as well as making cheaper, cleaner, and more reliable energy available for the people and businesses of the state. We are also committed to playing a positive role in rebuilding Connecticut’s economy and creating jobs – and to fostering a sustainable and prosperous economic future for the state.",25d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846c08cd588d286141b37f4ec2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2c0c5f70&cb=1668259840842&jobListingId=1008214875837&cpc=F41FEAB56D215062&jrtk=3-0-1ghm0hjcmgris801-1ghm0hjd7i39u800-03f2b53a0a23d196--6NYlbfkN0ASgvb-ETMaHj4XoCHHEvyY-4yoogW6Q-x0jMS31WMKn2zXVelvK0gdvTvZBLTvOrK7PjcR_a53f0rrMcqq2alB8tK5-l-Q1xUYWoG3yP7U8vGJ3YyqV3y-5ZQ5TNWIeoNoo4wGDRSJroY-2LLjdy1ahw02ejUscGz7GVIYZoI_L5iXe6yzBx58ptcGuC3ILE4o4fA9ecs-RyNnVFOKT-CLoZy1wLJYW5ClhBQ4A0HUAKgTcftE7VrqA5XoHQq92AR0dl0XERDzJVTCT6jfAnr3ooxxuip3Nat0yHE1SlHHtoS9prDv9axzDvGKbsR9iTEdpQdncG2fGoD4U-1c4vY9RYae1Hz3nV2ZgavL-GSMBAQRM0OaTiyhb-VFPg3o-7FU66OL5BjsuT-C3C2PdGmamka_m66M-t_4GPZjAnLLI3s_PDPRBICa9mmvjKTJveHOM5CCdAizVx83aD2pfsvNwzLEv_YRQVie2RgE_PDLrxLs4zplQSHjDyLr8ppWrMto99Q6EFp8joQ4yU1TrN9b9a2Sxbag22MFPbTMmkZE_g%3D%3D
"['CPS Energy', '3.8']",http://www.cpsenergy.com/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"We are engineers, high line workers, power plant managers, accountants, electricians, project coordinators, risk analysts, customer service operators, community representatives, safety and security specialists, communicators, human resources partners, information technology technicians and much, much more. We are 3,300 people committed to enhancing the lives of the communities we serve. Together, we are powering the growth and success of our community progress every day!

Deadline to apply: November 23, 2022
Pay Grade
11, 13, 14, 16",2d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846c08cd588d286141b37f4ec2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_523f9bbe&cb=1668259842822&jobListingId=1008268912628&cpc=F41FEAB56D215062&jrtk=3-0-1ghm0hjcmgris801-1ghm0hjd7i39u800-bc865a7657656a0f--6NYlbfkN0DtQSW_IO5jJzjKNTLDN7v6QaDnQ6rz0l20G-nv_S0ZsqvR087peSr8nftQpBeQQ5-B557QUjMmMOUhGBcrtrHj969I5CiTEyVyxXXBxNt27hA4opg8hGbHzbfAYMudsrF74S1gCJY2MQzo1tdqA1JRu8rURI7KeTV2RwqBfMmOPnIqActKF9cP1GagetP46fMOznybLOAESoVHIZu4x8TFELJhqMR3u-sbOku5elb7uthsUarKMC6LFQwTogAtcJ-9d0eQOF90DqpRFOozBh43wow5DTUsaptmxtGwJNbi6aG2GeI7ud127V-0ewIW82aD-CM0-ysBKF0KsrRYXlt5cTXPtb3-kqGdc9rbGvlj8GkJ0WFMA50Igw1dMadiFaU6Rx5lwO7odkzzd_xrdxU3lCIT52TpZBWx7qmxMYpb0YECgPcl-cosMdxA7CThLcGYXl7YaepuxQk2_OLrP-vXQXbUE_hmLTtiuWmVO4ta5a4vAkw-Is9uI8QUiaKZmn-1rJD0hTB8SQ2ZPSTsnamsHYzllVUqznWSLRGYx6eAxT4IRyORbuBeTzdd-MTxAUTrdt26OB5K-IoaglpaUGFn78YRajUvIlsD_6Goo9gF7CfU_Xr3_u2d4IRde4GRyJo0jFDOz0Bnutj02XaRej0F
"['NASCAR', '3.7']",http://www.nascar.com/,Business Analyst II,"Stayton, OR",$81K - $117K (Employer est.),"At NASCAR, you will find a community of passionate individuals who care about our sport and are united in seeing it grow.
NASCAR is looking to hire a Sr. Security Analyst. This person is responsible for providing technical guidance around NASCAR Digital Media’s Security Practice. The candidate will develop, implement, and manage information security for the department and work closely with both infrastructure and programming team members to secure NDM’s applications from top to bottom. This role will be very hands on with the candidate being expected to implement many of the suggested changes.
ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned.
Security Management/Leadership",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846c08cd588d286141b37f4ec2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8fe07b8c&cb=1668259844784&jobListingId=1008086868075&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghm0hjcmgris801-1ghm0hjd7i39u800-904db95a30243d14--6NYlbfkN0BRFNXOnuVMRQkQ0DORDO_4AVnns6FmFCEnaqOpxHPq_HQLduHGFlykbMz6H8LM8u11B63v_E5WejnLWsMKZGgpowkx2a9LagPUC3gbCUawb1jwqum7YAChNfXWYUx2m-OHZDW-fxGN-NQQSA9-qQS3qqp-s-FGqGNIrIlRUH4ijyH4DAZw5iXAMNJc7Rq4I04cfauAYLn7SZu-90ulPurmSOwOFu0WVuKl6gmYj-LRB_nibJpr-AjxjIbG72R79mM0zKY-zFKPZIuDq_Papm_7iBr15CiSuSzrIqpWGsdhr25Y8GIU3VY5v804rwFtdbHzdrTJLOMkWed370H9FBYILukN8mXhhsyXeOZPV3RGyyM8wOW-vftQn1XNs9jSvMupIZLgR6DTIyZhCt5yTEcm1Og0oUxDvjfvnX3mWBOXsT9icn5E7FQdrbXu3AhRLgusSSvEI0sjT_ITAHY8N8eURiAwBAtvHpw56T6jHMoGJ2zZ43O5MVEI3c2BYWa5S1S73jKjMOJAEvROkOFGXflQeVu6voJe24csNmrAY-IDF0NagmWRcbDxvHEv6GcYpBHR5UM8mkxaxU16GHK7r1qNSFCzZn-jSHM%3D
