Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
,,"Engineer, Authentication Security","Houston, TX",$57K - $84K (Glassdoor est.),,30d+,
"['Chameleon Consulting Group, LLC', '4.3']",http://www.chameleoncg.com/,Senior Systems Analyst/ IT Systems Engineer,"Herndon, VA",$74K - $110K (Employer est.),"Company Overview
CCG is a technology company focused on equipping customers with the capabilities and support to conduct intelligent and successful cyber operations. We do this by finding the most talented engineers and operators in the country, giving them some of the most challenging problems facing the US government, and helping them unleash their creativity and problem-solving skills. Excellence is our standard, and mission success is our metric.
Role
The CCG IT/System Administration team provides critical systems and integration services for CCG infrastructure. You will maintain various resources for multiple business and software development teams by implementing security controls, maintaining and configuring systems, and providing operational support for CCG Team Members. You will furthermore take a leading role in assigned technical areas while working with other team members to enhance and maintain CCG systems and services.",7d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846b338a67b20c1bbb441a8fe2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_873eff76&cb=1668245857015&jobListingId=1008258288194&cpc=AF02A54CD0F60729&jrtk=3-0-1ghlj72lt24u8001-1ghlj72mfi6hj800-36f79afbce405fcd--6NYlbfkN0Cr-nTFTRRhOoTIId7rDaR9jP5Ob-afQZ0dPoE7u08u1hvPCXoqS7MHSRVrmh986AOCpadBCq8mOA6MkSOwPlAmOTZRr6fMkiFQ3Q5n9aJIPDKodAzg0emKGfFTaB17J_hzTlJlOAE6foVqU7uoZQ3LbB_pcLKoaNQrcvMNX0de2CZMO2IF8gx2iCp5S2WR4h5SdZDxyGPPB1cgrZ0zg4WYsiC-JCEELrbkic0VLes3aML9Eves7Vh4S-xEn7JpOD5OBg9MO11uGXaiMOyrJq7u7LVHE5QF_RIvg5pij0jLxZRzI6iWPavi6gDFf-R41SbqCAlPo-9eo7GPJv50CYKAXJytpm6GkqxHfFHEDWpf8z1LFHqomnhOEOq0XbOgfcowxpzVByHwHCKKkSYH_iiOO8-TrcgGtVUJw5Uk45T02-Rx6XaVR7zgttd_EdQT0BuAE-5-hd_25gWGkchSuEmV2exVrGgCl2Vr69WR77OfewN9vWvSpo6rqgeS51XmOIAsi7ymYxuNBJJ-GuNuK9vwKMwZl8rlWPPRGyZCjb_nlotdRh5y0Tcl5DFIV7kZF79-rZ1CzLrvDAktzvglftWy-d1OChqAgyM%3D
['UW System Administration'],,Senior Systems Analyst/ IT Systems Engineer,"Herndon, VA",$74K - $110K (Employer est.),"**To be considered for this position, all applicants must apply through the UWSA Careers page: https://www.wisconsin.edu/uwsa/hr/careers/current-jobs/
The Service Operations team within UW-Shared Services exists to standardize processes, consolidate operations, and streamline administrative practices in order to provide high quality services while improving administrative efficiency and effectiveness. In addition to providing high quality services, Service Operations brings value to UW institutions by reducing administrative burden and cost, thereby allowing them to invest time and resources into activities which are more central to their mission.
Position SUMMARY
The University of Wisconsin System, Shared Services is seeking to fill a Business Analyst, to assist with the maintenance and updates of the ERP system(s). The Business Analyst will work on cyclical operational projects, design and implementation of new functionality, assist with Payroll & Benefits processing; and assist with the design and implementation of a new cloud-based ERP. This full-time, salaried, Academic Staff position will report to a Shared Services Manager.",9d,
"['Harvard Shared Services, LLC']",http://www.harvardsg.com/,Senior Systems Analyst/ IT Systems Engineer,"Herndon, VA",$74K - $110K (Employer est.),"Position Objective: Company Overview:
The Harvard Companies include five entities working to serve the business community in the janitorial and protection services areas. Harvard Maintenance and Harvard Protection are two of the largest and fastest growing, privately owned providers of high quality janitorial and security services in the United States. We are an industry leader and are well known for our innovative thinking and entrepreneurial spirit. Our success over the last fifty years stems from Harvard's Inverted Pyramid®, which recognizes that our front-line employees are the most important people in our organization. The Inverted Pyramid® ensures that our employees feel valued, are given the tools to be successful, and are empowered to execute in their roles. People are also at the center of our Core Values. Our People First core value clearly states that “we are a family organization that promotes respect and embraces diversity”.
**
*Position Objectives: *
The Application Support Analyst I role is responsible for supporting the daily production activities for the company’s main production software applications. This includes partnering with the software development, database design, infrastructure, and business teams to investigate and resolve issues, coordinate hardware and software upgrades, and managing moderately sized projects. Consults with users to identify current operating procedures and to clarify program objectives. Expected to write documentation to describe program development, logic, and corrections. Writes manuals for users to describe installation and operating procedures.
Essential Duties and Responsibilities: Operational Management",30d+,
"['Renaissance Life & Health Insurance', '3.3']",http://www.renaissancefamily.com/,Senior Systems Analyst/ IT Systems Engineer,"Herndon, VA",$74K - $110K (Employer est.),"Renaissance Benefits is seeking an experienced IT Services Analyst to join our growing IT team to serve our entire organization and be on-site at our headquarters in Indianapolis, IN!
The IT Services Analyst is responsible for providing technical support to the End User Community (remote and on-site) on all end-user hardware and technology systems. Collaboration with security, networking and additional supporting teams..
What will this role entail?
Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Incident response, including, monitoring, investigation, project implementation, and basic operational support Issues and creates documentation of problem resolution for addition to the Knowledge Base.",7d,
"['UW Health', '3.8']",http://www.uwhealth.org/,Senior Systems Analyst/ IT Systems Engineer,"Herndon, VA",$74K - $110K (Employer est.),"W ork Schedule :
100% FTE. Scheduled shifts are 8:00 am – 5:00 pm, Monday – Friday. No weekends or holidays. Applicants hired into this position can work remotely from most states. This will be discussed during the interview process.
Be part of something remarkable
UW Health depends on a highly skilled, enterprising IS workforce to provide the very best care to our patients.
We are seeking an Enterprise Resource Planning (ERP) Cloud Analyst to:
Provide technical support for the system integrations, reports application security and overall technical environment of UW Health’s Oracle ERP and HCM Cloud system.",29d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846b338a67b20c1bbb441a8fe2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_89cbad66&cb=1668245866841&jobListingId=1008206104971&cpc=FB7E4A1762AE5BEC&jrtk=3-0-1ghlj72lt24u8001-1ghlj72mfi6hj800-df70d906fc0eb7e0--6NYlbfkN0CyxTh9Xvx3uC51l59Aj0Gln6Z0dOEDcD_6SNxPvsK02TheQlb4DiCbt48wOFr2fV-Sb_ejcLjSseXIVxWN3ymXP-UOpMNDpZqsj530wsiBNOr1fgA_253DI3iWUV50AZYtwxrteIIcJ5Do7BOgER2oV6znPFWwY6zRrF-ccmkBWOWnI0fhwYVB1FGrWkul88pldtX337m6jfkUptSheyCYX_facm3pPywryxoS3VXsuRYrtMrfMG36H2Xh1WGNkyEKIJ_67JNIlUu-2UWXRi8V8DsNwzrHxNANBdONRzn8JVGrDVEFHjObjEroMVq5gTjcen5e_uHMhct999wk3OuZBmelxsZ0I4mNxsuh-5BgZVMavFFwzRc4f_IR1YaJpev5GVhfmwK6ZxvOiJrZ9iWIqoM5aHai3424x_PJaR1DZKCreyHQFYBOPWwWIdjH3pbS6Nn9m7humxrGzEI-aOKZi36WWneCtMi-KJt06YSxiZKAIW7Va1t8oEc7qMDTZm_-Cmw0Ix0xJANDX3JZr3FIMv4tMugCPYdP3j8IzPG1Mx29_Gghw7D4YSJpJhd82n_RbIRzis3_hogd6sa2ZdaKGvg9odAyyzc%3D
"['USAA', '3.6']",http://www.usaajobs.com/,Senior Systems Analyst/ IT Systems Engineer,"Herndon, VA",$74K - $110K (Employer est.),"Purpose of Job We are seeking a talented IT Systems Analyst Senior for our LOCATION facility.
USAA values a culture that is highly collaborative, and we have found that a hybrid work type helps employees gain the best of both worlds – collaborating in-person in the office and working from home when needed to achieve focused results. The actual days' onsite are resolved between each employee and the employee’s manager.

This position may also have the option of working remotely in the continental U.S. with occasional travel as requested.

The candidate selected for this position is going to work with the Log Management team USAA’s Enterprise Chief Information Office. They will work with various Log Aggregation technologies including Splunk and Elastic with a primary focus on ensuring the continued Compliance and Governance of the space.

Job Requirements
About USAA
USAA knows what it means to serve. We facilitate the financial security of millions of U.S. military members and their families. This singular mission requires a dedication to innovative thinking at every level.

About USAA IT
Our most meaningful qualification isn't technical, it's human. Here, we don't just sit in front of a screen. We stand behind our 13 million members who rely on us every day.
We're proud of USAA's strong history -- and we're even more passionate about our future. That's why we have a team of supportive and collaborative hardworking technology professionals focused on doing more for our members. And why we're continuing to add innovative problem solvers to our team. With us, you'll find exciting challenges that inspire you to continue learning and growing.


Identifies and manages existing and emerging risks that stem from business activities and the job role.

Ensures risks associated with business activities are effectively identified, measured, monitored, and controlled.

Follows written risk and compliance policies, standards, and procedures for business activities.

Serves as a SME for business topics for multiple IT delivery functions.

Serves as a conduit between IT delivery functions and the business functions through which their technical requirements flow.

Employs creativity, ingenuity, and innovation in the search for technology solutions designed to support analyses and business need.

Proactively communicates and collaborates with customers on the analysis of business needs and requirements to deliver solution artifacts as needed.

Leads analysis and verification of technical requirements for completeness, consistency, comprehensibility, feasibility, and conformance to standards.

Leads traceability of approved and base lined artifacts through the software development life cycle to include specifications, design, development, testing, implementation and defect prioritization.

Provides guidance and review of test artifacts to ensure coverage of testable requirements.

Provides certification and actively participates in defect management activities to confirm requirements are being met.

Contributes to project successes by partnering with Program Management to understand program plans and strategy.


Bachelor’s Degree; OR 4 years of related experience (in addition to the minimum years of experience required) may be substituted in lieu of degree.

6 years of related work experience such as business and/or project management, business/system requirements, and technical analysis.

Advanced knowledge of multiple software delivery life cycles (Waterfall and Agile).

Advanced working knowledge of business productivity products, tools and applications.

Advanced understanding of system architecture and knowledge of software development concepts.

Experience of modeling techniques (e.g.UML) and use case development as well as experience with one or more software development frameworks.


Previous I.T. Infrastructure Operational Support Experience

Experience working with NIST, COBIT, FFIEC, and/or ITIL frameworks

Previous experience working closely with Enterprise Policies, Standards, and Control Frameworks

Experience working with Internal and External Audit agencies

The above description reflects the details considered necessary to describe the principal functions of the job and should not be construed as a detailed description of all the work requirements that may be performed in the job.

USAA has an effective method for assessing market data and establishing ranges to ensure we remain competitive. You are paid within the salary range based on your experience and market position. The salary range for this skill is: $88,200 - $158,900
Employees may be eligible for pay incentives based on overall corporate and individual performance or at the discretion of the USAA Board of Directors.

Geographic pay differential is additional pay provided to eligible employees working in locations where market pay levels are above the national average.

will be addressed on an individual-basis for applicable roles that are consistently scheduled for non-core hours.

At USAA our employees enjoy best-in-class benefits to support their physical, financial, and emotional wellness. These benefits include comprehensive medical, dental and vision plans, 401(k), pension, life insurance, parental benefits, adoption assistance, paid time off program with paid holidays plus 16 paid volunteer hours, and various wellness programs. Additionally, our career path planning and continuing education assists employees with their professional goals.
Please click on the link below for more details.
USAA Total Rewards

Relocation assistance is Not Available for this position.

USAA is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.",24h,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846b338a67b20c1bbb441a8fe2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b732349d&cb=1668245870768&jobListingId=1008275086906&cpc=451933188B21919D&jrtk=3-0-1ghlj72lt24u8001-1ghlj72mfi6hj800-9dfbe3167378e687--6NYlbfkN0CdTBpsLrhs4IwmIsoO0brdHaF9POTtXIeJjdlamKYQ_OhglXXDFJZTh11Z6IDPRXVHoxt01oJeZXKMViINe855DWEVT23-D5EPCF31QdcdYf-dDH6s8ZGwmu1KjECayt_c2Bmf-w6STt9K2ElKDB3JlUkRqUHDVHSZzQ5TpcMUyJCEANVgNPg5XLvbtYtcz1dFqZqDZhkOsHa10-WMqa0dmF6SaeEWoOn-8cBawb83wnCb6Xi1hDfMe65jbiHozYOYUmzxPqgfSG1SArPpkQG2JX9lge2NHsPBJBlv3qrE_xLTmPxWRZjvUn9p_yVaOj0xeE6mlWvB5ouQTEkxs7L9RKzIczUbzQgqmtg5ypd0_H_r-rMeLU2CgRaxKWBnX3n7Izv7cSRrYyoNmmJWNz4nUL-NwctXT0gypCnDg7CmVK8WGROyMkmOcF9RTQW0qR4%3D
"['Finra', '4.0']",https://www.finra.org/careers,Senior Systems Analyst/ IT Systems Engineer,"Herndon, VA",$74K - $110K (Employer est.),"The Associate Principal Business Analyst is responsible for supporting the establishment and maintenance of controls related to Member Supervision Records, Data Privacy and Entitlement Management programs and operations. Collaborate with Member Supervision stakeholders, enterprise records, data privacy and entitlement groups, and lead or assist with initiatives, to resolve or mitigate issues.
Essential Job Functions:
Provide essential support to the Information Manager for Member Supervision. Assist in implementing firm and department policies and procedures related to information classification, safeguarding of confidential information, establishing and administering related controls, reviewing and triaging loss reports and other applicable information management guidelines.
Provide essential support to the Records Manager for Member Supervision. Assist with related responsibilities such as responding to records related questions from Member Supervision staff, facilitating periodic records destruction processes, and maintaining documentation related to updates to official records.
Annual Salary: $72,400.00 - $129,600.00",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846b338a67b20c1bbb441a8fe2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_10bb5331&cb=1668245872705&jobListingId=1008149545017&cpc=654405A9B1E0A9F5&jrtk=3-0-1ghlj72lt24u8001-1ghlj72mfi6hj800-36d8afb6c69e55d3--6NYlbfkN0B61hadsLyAZgaKqPi5vchgf5BvdeVdb4hff00ozpFf1VWrnExMv7Sv553p5vml5-e3EunTcBqqblTNP5pkoHs7IfN7zNXqy0hFer6k52PPAyZJXJyakC-keuLaOCc-d77ppEussMfia2iSE9HvzEL24O9m8Nq8fUrTFAcMKq2X30p0GlTvnW4EOXLETpxIwaI-BXzPnhOwsVo7R5GvF-Ab1vADic53XBdeu2yJ2B5uygpR4WcIEVWS31Om4MzJOrKA-15L8qVgc8IX-rdBxX-tcaNcvYeeM2eOimDE-1hUd5Ex_uDA8-k1AkfZePTkvAZo9jPmU9HS_D40WF2wzcJ0CqWQ4GzjqMq-YH03KcAOJVxT0Apg_PVgfoBur7lrzf-cGLxE_QBqTO9Qv1KKhGp-qPShekpoL2G2f3OSM4_t-ybvyWg-6oaFMc-ZhwYyVgN9hiTRqrA01b0J0i7AweOzQyOrvwNqFbfP_5GRZOCRfYJqS7eNkt72AlMjPEIvj3K2E25lBpPjtUhJghq7mIfChZeq1TLH_SsHzRJSo4Q57TqeEX1wAP1lIjWw730DcyxiC25fh9shTshQDx42nB_n5MCAdwkgN8k9as52svSDc58DEvgDhZ2A5FyaqwkTrSK0RW6F7EgMGxuS8XmU5cBpGhmkFvlG2DYSnRApmwFaAylHHWadr_jJtFBMoYoiH9k%3D
"['Northrop Grumman', '4.0']",http://www.northropgrumman.com/,Senior Systems Analyst/ IT Systems Engineer,"Herndon, VA",$74K - $110K (Employer est.),"Requisition ID: R10053211
Category: Information Technology
Location: El Segundo, California, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: Yes-May consider hybrid teleworking for this position
Shift: 1st Shift (United States of America)
Travel Required: Yes, 10% of the Time",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846b338a67b20c1bbb441a8fe2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2f2e4a87&cb=1668245874645&jobListingId=1008017325461&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlj72lt24u8001-1ghlj72mfi6hj800-1e0632363356a3ed--6NYlbfkN0DPf8Tf_oakpB62WadId2dzQiWExtALTi0lpCM--zHBL1trAzPQuAwgDIBcPqMXQ2kvTx1jVd1mbIqdLUc5FHl3tlJF4V-bdYrL5veT26X21Yklu5fGJBOPSsGyyiuWJU6hC6DcD_ucZGg71h3boXk7z06pu7YKIfPRSgrcq-R3YT_NLaK-aU4lTuQVex6CF_3ULS_4A7H8x2-ii1T0gsCDERgzJodfBhczDk45ZURqEf-j-G18YKk-65n-g-_0MbjqhvB9OUCirDe52URFZsXBWkuNOrqvgC27F63HNK-njIJzySaTI5cvgXO3RqE9yyQpK5fPni8cuR41wlqLSauiv0AR0FCCvCqhPnGwYZzRUDmL7SLsjH81vPhlJK4KLK46uaqnyNcYwuFObCBnMFBj1VGiYdG8oCcSmLKAXS5Z0MHWb5WW7HZoliaKNX5qTmiQBYogYkATuFk6OiLssNdF3-9kWSZE4QmA-cZMBt6jc1YioLQm8fsq1VmxgA7erwDOCi33ui4ln2v2H9FWKyO_7a8YxJt7_hrHHJJmWts673xwsTt1VYY2nTpHyecFUdaVTBiMCcY3rHR-348wDqPjwk-luudLT6Y2pwGfotQm9_x9RDistuClDvZBtUhyf4VOoRvHTd9OeXO8OWyXDQp5wfxhnvts-R9zkOV-2ma6iioLZ-CGJNA7mcsjCDruFff92xV7ez50v28RZA4DF12VAy1sMqzvQ8h2aXHbtTFV9oXp76ImFLgTjenbAtwbj3nMKIcTU-rpeLSUvIhWkW7bwctt6WcW2qzRL9m-egNhWAbN_29slIiXFYAjOAku_qVtTsJPtuYCv572O7zxBDTkwFmEvr2S5Z2lqGqAfxeumgl4HEwt35Tx
"['Coinstar', '4.1']",http://www.coinstar.com/,Senior Systems Analyst/ IT Systems Engineer,"Herndon, VA",$74K - $110K (Employer est.),"The Manager of Enterprise Data & Analytics is responsible for leading a team of analysts, scrum masters and developers focused on Coinstar’s Enterprise Information Management practice, which includes Master data management on Profisee, Modern data warehouse, and data integrations on Azure, and API development. This position is responsible for overseeing project delivery as well as managing L2/L3 support responsibilities all associated with these systems.
Key Responsibilities
Provide value to the business by driving all technical aspects of project and product delivery.
Lead and coach a team of BI analysts, API developers, and data engineers responsible for delivering high-quality and actionable data, analysis, and resilient data integrations.
Develop and maintain the enterprise information management program roadmap.",3d,
