Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Brilliant Infotech', '3.8']",http://www.brilliantinfotech.com/,Frontend React Developer (W2 Position),Remote,$7.50 - $8.87 Per Hour(Employer est.),"Position
Platform Tools - Senior Software Engineer
VISA
GC,USC Accepted
Location
100% Remote
Experience
7+ years",2d,
"['The Estée Lauder Companies', '3.9']",http://www.elcompanies.com/,Frontend React Developer (W2 Position),Remote,$7.50 - $8.87 Per Hour(Employer est.),"Responsible for Lead the development and implementation of the global advanced robotics, controls and automation strategy across manufacturing and distribution operations. Engage stakeholders across the network (R&D, Pkg, Finance, GSR IP, E2EE Pillars, Plants and DCs) to design, develop and implement world class automated solutions for current and future state automation requirements. Conduct, develop and maintain a global robotics and automation gap assessment and develop and deploy a capability realization roadmap which delivers EHS, sustainability, quality, cost, speed, and utilization benefits for the organization.

Responsible for automation transformation of the ELC supply chain by of identification, development and deployment of robotic & automation technologies. The key areas of ownership are automation of equipment in manufacturing areas and core competency in mechanical, vision, machine controls, device and robotic solutions for Filling, Assembly, Logistics and Compounding.















Supply Chain - Corporate
US-NY-Melville
Standard
Full-time
1st (Day) Shift
2223891

We are an equal opportunity employer. Minorities, women, veterans, and individuals with disabilities are encouraged to apply. It is Company's policy not to discriminate against any employee or applicant for employment on the basis of race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth and related medical conditions), gender identity or gender expression (including transgender status), sexual orientation, marital status, military service and veteran status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, or any other characteristic protected by applicable federal, state, or local laws and ordinances. The Company will endeavor to provide a reasonable accommodation consistent with the law to otherwise qualified employees and prospective employees with a disability and to employees and prospective employees with needs related to their religious observance or practices. Should you wish to apply for this position or any other position with the Company and you believe you require assistance to complete an application or participate in an interview, please contact USApplicantAccommodations@Estee.com.",2d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a3a2ffe8342726e77000269&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f7c302b0&cb=1668229518502&jobListingId=1008267289766&jrtk=3-0-1ghl3kc4jkcls801-1ghl3kc7igriq800-eb330de980c63113-
"['The Estée Lauder Companies', '3.9']",http://www.elcompanies.com/,"Senior Engineering Manager, Global Payments","Austin, TX",$111K - $150K (Glassdoor est.),"Senior Engineering Manager, Global Payments
Who We Are
Sure, you know Estée Lauder, but do you know the Estée Lauder Companies Inc. full family of brands? We’re also MAC, Clinique, La Mer, Origins, Bobbi Brown, Aveda, Jo Malone London, Bumble and bumble and Too Faced… just to name a few. You know us. You love us. Why not work with us?
With headquarters in the heart of Silicon Alley in Manhattan’s Flatiron District, we connect with our customers anytime, anywhere, from any device. We’re committed to innovation, working with the best tools and technologies available to help our shoppers seamlessly navigate the digital world of beauty. ELC Online is a collaborative work environment that hums with the buzz of 80% female leadership. It’s also home to bold technologists, marketers and e-commerce renegades who are shaping the future of beauty.",4d,
"['Brilliant Infotech', '3.8']",http://www.brilliantinfotech.com/,"Senior Engineering Manager, Global Payments","Austin, TX",$111K - $150K (Glassdoor est.),"Position
Platform Tools - Senior Software Engineer
VISA
GC,USC Accepted
Location
100% Remote
Experience
7+ years",2d,
"['The Estée Lauder Companies', '3.9']",http://www.elcompanies.com/,"Senior Engineering Manager, Global Payments","Austin, TX",$111K - $150K (Glassdoor est.),"Job Summary
The Estée Lauder Companies Online platform powers our Online Commerce, Innovation and Omnichannel initiatives for a portfolio of over 400 sites. We are looking for an engineering leader who will lead passionate teams of engineers responsible for our branded e-commerce websites. Our e-commerce platform is undergoing modernization and this leader will help navigate the technical and organizational challenges of a re-platform with minimal disruptions to the business. This person will also partner closely with product and other engineering teams and own many branded websites to ensure the digital experience is reliable, frictionless, and user-friendly.
This leader will be familiar working in a highly dynamic environment and capable of inspiring a team of developers by establishing absolute best practice across all technologies, using wider industry knowledge of emerging and proven technologies which can help the business meet its strategic goals.







Online / E-Commerce
US-NY-New York
Standard
Full-time
1st (Day) Shift
2219987

We are an equal opportunity employer. Minorities, women, veterans, and individuals with disabilities are encouraged to apply. It is Company's policy not to discriminate against any employee or applicant for employment on the basis of race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth and related medical conditions), gender identity or gender expression (including transgender status), sexual orientation, marital status, military service and veteran status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, or any other characteristic protected by applicable federal, state, or local laws and ordinances. The Company will endeavor to provide a reasonable accommodation consistent with the law to otherwise qualified employees and prospective employees with a disability and to employees and prospective employees with needs related to their religious observance or practices. Should you wish to apply for this position or any other position with the Company and you believe you require assistance to complete an application or participate in an interview, please contact USApplicantAccommodations@Estee.com.",6d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a3a5e3da6e639681d56d81c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a0038cb8&cb=1668229532201&jobListingId=1008258989442&jrtk=3-0-1ghl3knjr2a83001-1ghl3knkejc8g800-f993d532fa44b02b-
"['The Estée Lauder Companies', '3.9']",http://www.elcompanies.com/,"Senior Engineering Manager, Global Payments","Austin, TX",$111K - $150K (Glassdoor est.),"Senior Staff Engineer, Web Foundations Team
ROLE SUMMARY
You will work in a fast-paced environment on an online platform that serves 300+ sites globally.
You’ll work alongside highly experienced and talented product owners, scrum masters, QA, designers & developers to analyze, architect, & build solutions based on business needs.
You’ll work on multiple projects simultaneously and prioritize workload effectively under tight deadlines. You have good written, verbal, and interpersonal communication skills, attention to detail, and good presentation skills.
You’ll work with experienced and talented people all over the world. Many of the people you collaborate with will be in a different time zone from you, and you are someone who is excited by the prospect of learning new cultures as well as sharing your own.







Online / E-Commerce
US-NY-New York
Standard
Full-time
1st (Day) Shift
2213505

We are an equal opportunity employer. Minorities, women, veterans, and individuals with disabilities are encouraged to apply. It is Company's policy not to discriminate against any employee or applicant for employment on the basis of race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth and related medical conditions), gender identity or gender expression (including transgender status), sexual orientation, marital status, military service and veteran status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, or any other characteristic protected by applicable federal, state, or local laws and ordinances. The Company will endeavor to provide a reasonable accommodation consistent with the law to otherwise qualified employees and prospective employees with a disability and to employees and prospective employees with needs related to their religious observance or practices. Should you wish to apply for this position or any other position with the Company and you believe you require assistance to complete an application or participate in an interview, please contact USApplicantAccommodations@Estee.com.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a3a5e3da6e639681d56d81c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_043825c7&cb=1668229534273&jobListingId=1008016293603&jrtk=3-0-1ghl3knjr2a83001-1ghl3knkejc8g800-ad84f4b72ae2cc96-
"['The Estée Lauder Companies', '3.9']",http://www.elcompanies.com/,"Senior Engineering Manager, Global Payments","Austin, TX",$111K - $150K (Glassdoor est.),"Digital Technology & Innovation Group
The Digital Technology & Innovation Group (DTIG) is a division within ELC Online responsible for developing digital innovative consumer experiences that support the ELC portfolio of Brands.

DTIG is a driven team, composed of talented and passionate product managers, UX designers and engineers who work with teams across the division and company to drive constant innovation with our consumer at the center. From trend analysis to augmented reality to machine learning, our team develops digital products that enhance the consumer experience, solves business challenges and/or fills gaps in the consumer journey.







Online / E-Commerce
US-NY-New York
Standard
Full-time
1st (Day) Shift
2213872

We are an equal opportunity employer. Minorities, women, veterans, and individuals with disabilities are encouraged to apply. It is Company's policy not to discriminate against any employee or applicant for employment on the basis of race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth and related medical conditions), gender identity or gender expression (including transgender status), sexual orientation, marital status, military service and veteran status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, or any other characteristic protected by applicable federal, state, or local laws and ordinances. The Company will endeavor to provide a reasonable accommodation consistent with the law to otherwise qualified employees and prospective employees with a disability and to employees and prospective employees with needs related to their religious observance or practices. Should you wish to apply for this position or any other position with the Company and you believe you require assistance to complete an application or participate in an interview, please contact USApplicantAccommodations@Estee.com.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a3a5e3da6e639681d56d81c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d1c6efff&cb=1668229536869&jobListingId=1008019204328&jrtk=3-0-1ghl3knjr2a83001-1ghl3knkejc8g800-d9a10fe5d89a94fa-
"['The Estée Lauder Companies', '3.9']",http://www.elcompanies.com/,"Senior Engineering Manager, Global Payments","Austin, TX",$111K - $150K (Glassdoor est.),"Who We Are
Sure, you know Estée Lauder, but do you know the Estée Lauder Companies Inc. full family of brands? We’re also MAC, Clinique, La Mer, Origins, Bobbi Brown, Aveda, Jo Malone London, Bumble and bumble and Too Faced… just to name a few. You know us. You love us. Why not work with us?
With headquarters in the heart of Silicon Alley in Manhattan’s Flatiron District, we connect with our customers anytime, anywhere, from any device. We’re committed to innovation, working with the best tools and technologies available to help our shoppers seamlessly navigate the digital world of beauty. ELC Online is a collaborative work environment that hums with the buzz of 80% female leadership. It’s also home to bold technologists, marketers and e-commerce renegades who are shaping the future of beauty.





Online / E-Commerce
US-NY-New York
Standard
Full-time
1st (Day) Shift
2213532

We are an equal opportunity employer. Minorities, women, veterans, and individuals with disabilities are encouraged to apply. It is Company's policy not to discriminate against any employee or applicant for employment on the basis of race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth and related medical conditions), gender identity or gender expression (including transgender status), sexual orientation, marital status, military service and veteran status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, or any other characteristic protected by applicable federal, state, or local laws and ordinances. The Company will endeavor to provide a reasonable accommodation consistent with the law to otherwise qualified employees and prospective employees with a disability and to employees and prospective employees with needs related to their religious observance or practices. Should you wish to apply for this position or any other position with the Company and you believe you require assistance to complete an application or participate in an interview, please contact USApplicantAccommodations@Estee.com.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a3a5e3da6e639681d56d81c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c02851a0&cb=1668229540650&jobListingId=1008019204371&jrtk=3-0-1ghl3knjr2a83001-1ghl3knkejc8g800-ec15419e24dd8c5c-
"['The Estée Lauder Companies', '3.9']",http://www.elcompanies.com/,"Manager, UX Design & Research","New York, NY",$97K - $163K (Employer est.),"UX Design & Research
Who We Are
The Estee Lauder Companies is the global leader in prestige beauty — delighting consumers with transformative products and experiences, inspiring them to express their individual beauty. We are the only company focused solely on prestige makeup, skin care, fragrance, and hair care with a diverse portfolio of 25+ brands sold in approximately 150 countries and territories. Infused throughout our organization is a passion for creativity and imagination — a desire to push the boundaries and invent the unexpected — as we continue the bold work of our founder Estée Lauder.
We offer a collaborative work environment and are committed to innovation, working with the best tools and technologies available to help our shoppers seamlessly navigate the digital world of beauty. Our Global Online function is home to bold technologists, marketers and ecommerce innovators who are shaping the future of beauty.",10d,
"['The Estée Lauder Companies', '3.9']",http://www.elcompanies.com/,"Manager, UX Design & Research","New York, NY",$97K - $163K (Employer est.),"Senior Manager, Omnichannel Fulfillment Product Management
Do you want to apply your skills to help drive powerful customer experiences and business value? Are you looking to put the customer at the center of the retail journey, and leverage data, technology and platforms to enable seamless cross-channel experiences? The Estee Lauder Companies Omnichannel team is looking for an exceptional Product Manager who will help shape, evolve and maximize Omnichannel Fulfillment experiences – including Buy Online Pickup In Store, Curbside Pickup, and Same Day Delivery.
Job Summary

The Product Manager, Omnichannel Fulfillment creates, maintains and communicates the product vision, strategy and roadmap for their product area. They are responsible for discovering, delivering and optimizing products and capabilities that fundamentally transform how our consumers can find, purchase and enjoy beauty products across our global portfolio of brands. This is a key role that works collaboratively with brands, business partners, solution architects, designers and delivery teams. You’ll help shape our culture and our people and be an ambassador for Product Management and for the Global Digital Experience Team.




Online / E-Commerce
Americas-US-
Standard
Full-time
1st (Day) Shift
2215959

We are an equal opportunity employer. Minorities, women, veterans, and individuals with disabilities are encouraged to apply. It is Company's policy not to discriminate against any employee or applicant for employment on the basis of race, color, creed, religion, national origin, ancestry, citizenship status, age, sex or gender (including pregnancy, childbirth and related medical conditions), gender identity or gender expression (including transgender status), sexual orientation, marital status, military service and veteran status, physical or mental disability, protected medical condition as defined by applicable state or local law, genetic information, or any other characteristic protected by applicable federal, state, or local laws and ordinances. The Company will endeavor to provide a reasonable accommodation consistent with the law to otherwise qualified employees and prospective employees with a disability and to employees and prospective employees with needs related to their religious observance or practices. Should you wish to apply for this position or any other position with the Company and you believe you require assistance to complete an application or participate in an interview, please contact USApplicantAccommodations@Estee.com.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a3ab24b9069bce3271a0e0d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ea148625&cb=1668229552619&jobListingId=1008079608592&jrtk=3-0-1ghl3lcjoim96801-1ghl3lckeghqn800-7351439a0b0563ce-
