Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,General Engineer for Meter and AMI (PHI),"Upper Marlboro, MD",$84K - $123K (Glassdoor est.),"Description
Be a part of something powerful at America's premier energy provider!

At Exelon, we are united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities: Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are empowered to evolve and advance our careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come and stay. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives and health and retirement benefits.",11d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846b90cbefa4c838baaa9e09e4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_77201e47&cb=1668251968229&jobListingId=1008245864542&cpc=987D8AFE463DF687&jrtk=3-0-1ghlp1j0qmbgp801-1ghlp1j1bj4hn800-190be91d7828835e--6NYlbfkN0DE3Uz-7uTnSJNZlBBgxWZakqjdzsm9IcLRq2ubJUfUV8tbKGK9_nli5cRDQCkk-6INyJG3rAwJacDXoG-dCdw9yX4Pr7rZKBU07VKZxtXNYu3G1OjSKLjgQMikcoHDTM6-whQbTHb_qCdZS_MoijCDrMQt0i8jqS-_7pXgPpz9BJoTtLxlfk0L9xSO6hTyBlvNVW_X-Wp_UpETHlJiFZLlD8qwxO0vKeh2qZuWnepy7qQ0ipX-M1dlRVJmLo7Vss2Lxel85sPrtkCetcQDRNTwC9P-6oOlFQDex8St1EObb9cpCDELtpaiym-fVbuw-WJuSc03KOAdisBSWENynwERNrn836C7Hvm0rl0WgIlK9-VEDHJa1_5V8iq5lg6oh5-rTi4-1dCUiwxmv6cEzDiHZMX6dVuTi1b0lSA4lT9YWxgdRBd_vg2r_RH0LjT54Vg793AgC5kBiGE7LvFeSzujAQtD6b3NmT-LmoviItBWsdCW5LDF3ibc88ZLsJIr0lwGeuYYa4_QK2WrfcMctRDUHxoA2n0aA0KK8S6cIIi8XjlIF2g0GQxGDdxd7p-Hsjc%3D
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,General Engineer for Meter and AMI (PHI),"Upper Marlboro, MD",$84K - $123K (Glassdoor est.),"Description
Be a part of something powerful at America's premier energy provider!

At Exelon, we are united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities ? Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are empowered to evolve and advance our careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come and stay. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives and health and retirement benefits.",11d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846b90cbefa4c838baaa9e09e4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_711726b0&cb=1668251970178&jobListingId=1008245864541&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghlp1j0qmbgp801-1ghlp1j1bj4hn800-2e3c7c202399a40e--6NYlbfkN0DE3Uz-7uTnSJNZlBBgxWZakqjdzsm9IcLRq2ubJUfUV8tbKGK9_nli5cRDQCkk-6INyJG3rAwJad8jmu1Xieh8i4NJgk3oUZZBLe8pQOTbd_JV1LnXHJenD8ztx3Ho3WIeOviBR7-aQCPJQYdH3R1TI9O2rzGIfvmjYL8CyTp-8XKpJnXL1OKKi84idL4zfphRvg9YbrHFGvC_KfuSpYAEihT97FSUASu8a7D9NaxBaovvRiIvb3Dp3jT8eU5QufO3QASzYR2KMqQJXrPNyUaoJLHQpSsh-bCSfn_-kpDnaYZSiEAyARVZEflV6bM5HGiPxWuUKAOkWCSBxUY0gNXMcXKc2LuGCh16z8fgm0gYsf1JlcyMVJq_upPJTvJ8JNtC2GO9jY-zYua-nErTCQH0ye0ruBYAqj71DTffcN4evqKruRoKMeyqCktgj_J8brkqjS2IPHd9dpX6Hv2d7OHnNwTm4cs4BDkDU2JJlIvvMrmYUy6i3fzkX6w1_aLQ-9mHnqRrWX18V8drNJ9qn_zTND77KMuYauxP6Sv5roRQvEStuJMrBMx6
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,General Engineer for Meter and AMI (PHI),"Upper Marlboro, MD",$84K - $123K (Glassdoor est.),"Description
Be a part of something powerful at America's leading energy provider!

At Exelon, our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are a Fortune 200 company united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities - Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are empowered to evolve and advance their careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come, stay and grow - whether that's in the role and path they start in or in new and exciting career opportunities across our business. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives, opportunities for career path changes, and health and retirement benefits.",4d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846b90cbefa4c838baaa9e09e4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c3bf2fc9&cb=1668251974324&jobListingId=1008263151177&jrtk=3-0-1ghlp1j0qmbgp801-1ghlp1j1bj4hn800-a8f89344e8e39609--6NYlbfkN0DE3Uz-7uTnSJNZlBBgxWZakqjdzsm9IcLRq2ubJUfUV8tbKGK9_nli6qs2UuxIPok7V8yORq2lPuJ5nnbTu6w_NCC6Z6x8pwPBezCB_IuAx7ALncRbnRP9FdYWPFFmR8aGJy0T3gZXuxjvoM-ZVozQ1sVazNRcILLY9_DS8RJ6_UXCTsTcvEXGHfkyU-qSFL-3Uud7bNM0mJcSLr6SQIddbo851LHLbElpkhCKqoJkLjodE_RGCJY0kWk258Li-EFc0Q0NaomeBFTwqc-9fxRM2VpQUydW4p1n8dvpJdiRX0HnzWEUGEx-YtFEAhP1oYfH7OH2pUC4MCVCXYCVb9SnGKlhp2ErQTTw4I3OebWTwVocONKOaUEql6ElwkkZ6Zs-a4YvnaOCepmD3NvzAY_yJNTkxEdVFeMUSOzb1H73hdNWJeh2lco926muUSeP5P-q-i6EP5C94QTnXvDe3Md226bSSphNR8YdrUUdH2DJAUyFcuOtLZ27S6wN8BU3y8le3v39EAnqr3VQE4Xzyrk428jYFT1EoKfVTchQzHjpmEJ3FrxLIIgG
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,General Engineer for Meter and AMI (PHI),"Upper Marlboro, MD",$84K - $123K (Glassdoor est.),"Description
Be a part of something powerful at America's leading energy provider!

At Exelon, our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are a Fortune 200 company united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities - Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are empowered to evolve and advance their careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come, stay and grow - whether that's in the role and path they start in or in new and exciting career opportunities across our business. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives, opportunities for career path changes, and health and retirement benefits.",1d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b90cbefa4c838baaa9e09e4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5129fe27&cb=1668251978150&jobListingId=1008272289128&jrtk=3-0-1ghlp1j0qmbgp801-1ghlp1j1bj4hn800-28eb2e413a29815c-
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,General Engineer for Meter and AMI (PHI),"Upper Marlboro, MD",$84K - $123K (Glassdoor est.),"Description
Be a part of something powerful at America's leading energy provider!

At Exelon, our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are a Fortune 200 company united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities - Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are empowered to evolve and advance their careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come, stay and grow - whether that's in the role and path they start in or in new and exciting career opportunities across our business. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives, opportunities for career path changes, and health and retirement benefits.",29d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b90cbefa4c838baaa9e09e4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_22aee5de&cb=1668251981399&jobListingId=1008206921954&jrtk=3-0-1ghlp1j0qmbgp801-1ghlp1j1bj4hn800-313394a61b69a5c9-
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,General Engineer for Meter and AMI (PHI),"Upper Marlboro, MD",$84K - $123K (Glassdoor est.),"Description
Be a part of something powerful at America's leading energy provider!

At Exelon, our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are a Fortune 200 company united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities - Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are empowered to evolve and advance their careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come, stay and grow - whether that's in the role and path they start in or in new and exciting career opportunities across our business. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives, opportunities for career path changes, and health and retirement benefits.",1d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b90cbefa4c838baaa9e09e4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c761fa08&cb=1668251983043&jobListingId=1008272289045&jrtk=3-0-1ghlp1j0qmbgp801-1ghlp1j1bj4hn800-b634da34a8262736-
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,General Engineer for Meter and AMI (PHI),"Upper Marlboro, MD",$84K - $123K (Glassdoor est.),"Description
Be a part of something powerful at America's leading energy provider!

At Exelon, our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are a Fortune 200 company united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities - Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are empowered to evolve and advance their careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come, stay and grow - whether that's in the role and path they start in or in new and exciting career opportunities across our business. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives, opportunities for career path changes, and health and retirement benefits.",1d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b90cbefa4c838baaa9e09e4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e45daad0&cb=1668251984950&jobListingId=1008272289053&jrtk=3-0-1ghlp1j0qmbgp801-1ghlp1j1bj4hn800-76a13c1f56a3cd9a-
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,General Engineer for Meter and AMI (PHI),"Upper Marlboro, MD",$84K - $123K (Glassdoor est.),"Description
Be a part of something powerful at America's leading energy provider!

At Exelon, our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are a Fortune 200 company united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities - Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are empowered to evolve and advance their careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come, stay and grow - whether that's in the role and path they start in or in new and exciting career opportunities across our business. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives, opportunities for career path changes, and health and retirement benefits.",29d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b90cbefa4c838baaa9e09e4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5c5de3f0&cb=1668251988009&jobListingId=1008206921988&jrtk=3-0-1ghlp1j0qmbgp801-1ghlp1j1bj4hn800-48ebb82cb74c6044-
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,General Engineer for Meter and AMI (PHI),"Upper Marlboro, MD",$84K - $123K (Glassdoor est.),"Description
Be a part of something powerful at America's leading energy provider!

At Exelon, our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are a Fortune 200 company united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities - Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are empowered to evolve and advance their careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come, stay and grow - whether that's in the role and path they start in or in new and exciting career opportunities across our business. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives, opportunities for career path changes, and health and retirement benefits.",29d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b90cbefa4c838baaa9e09e4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e3e73f88&cb=1668251990804&jobListingId=1008206921964&jrtk=3-0-1ghlp1j0qmbgp801-1ghlp1j1bj4hn800-a00ed529b1e59406-
"['Exelon Corporation', '4.0']",http://www.exeloncorp.com/,General Engineer for Meter and AMI (PHI),"Upper Marlboro, MD",$84K - $123K (Glassdoor est.),"Description
Be a part of something powerful at America's leading energy provider!

At Exelon, our people are the heart and soul of our business. Whether it's powering lives, supporting communities or collaborating with colleagues, an Exelon employee is talented, compassionate, forward-thinking and inspired. We are a Fortune 200 company united by our values and shared vision for a cleaner and brighter future. We encourage curiosity, value diverse perspectives and we never stop looking for ways to be, work and do better. We know the future is in our hands. That's why we're looking for people like you, who have the power to make a difference.

As the nation's largest utility company, we serve more than 10 million customers through six fully regulated transmission and distribution utilities - Atlantic City Electric (ACE), Baltimore Gas and Electric (BGE), Commonwealth Edison (ComEd), Delmarva Power & Light (DPL), PECO Energy Company (PECO), and Potomac Electric Power Company (Pepco). All 18,000 of us are committed to delivering safe, reliable and affordable energy to our customers, strengthening our communities, supporting a clean energy future and reducing our impact on the changing climate.

Our people are empowered to evolve and advance their careers in an open and inclusive environment. We pride ourselves on being the kind of place where people want to come, stay and grow - whether that's in the role and path they start in or in new and exciting career opportunities across our business. We know that investing in our employees' futures strengthens ours, which is why we offer competitive compensation, incentives, opportunities for career path changes, and health and retirement benefits.",1d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b90cbefa4c838baaa9e09e4&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7608ff83&cb=1668251993772&jobListingId=1008272289030&jrtk=3-0-1ghlp1j0qmbgp801-1ghlp1j1bj4hn800-2d7e41d9329f3516-
