Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Fannie Mae', '4.0']",http://www.fanniemae.com/,Digital Engineering - Software Engineering - Lead Associate,"Plano, TX",$78K - $107K (Glassdoor est.),"Company Description
At Fannie Mae, futures are made. The inspiring work we do makes an affordable home a reality and a difference in the lives of Americans. Every day offers compelling opportunities to impact the future of the housing industry while being part of an inclusive team thriving in an energizing environment. Here, you will help lead our industry forward and make your career.

Job Description
Fannie Mae – Plano, TX
Digital Engineering - Software Engineering - Lead Associate",24d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846aeb125185ed32ae03ce6fbe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_06ac4c66&cb=1668241107544&jobListingId=1008215118439&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlem4jom6om801-1ghlem4k6gajs800-a892d394455d5cf8--6NYlbfkN0Ct7WsG83lAvCXaFpacTWNzBj7D2q855UroDfNwdnKxDsAWIXilII0klyrvzkay54gxJv5-4MEKTgzuKdsmLfphgeWJ5gQuK1gGMOEeex-Le9LcxL0b0rALlqgeSjqpCbqa4EgEHLR0mGQM8ymRhz-Om9s3JALtpu0YYv1_ZVh2GRT-bOkRYuasL6dAlWZanJU3udid1pRTT8DvuVGYd5P1g4oEERymNCFEOhn9P_FZHn99k6uq0knMU1hjrYA85jYdTSkNzGV_sbBGhEKjsQ8p0p1bKTc6cK9w-rS-XCfVtJpPX-GTX485h5eSFhN_nRRynOWkuuTBRTr7M-y_3jAI_Yeo5egaVxC0bFZcLuYa05mrYGWqNVRB6wLJiVUshVua7K1nGcP1Tc7KvKlgBcJ8rrwydOlvye7-VrbrcGEmcBJebzWt5ts-Qr-f8-PZCUD7r8TnUTgNpefr5acIAATtHNJvD3VBekHmjj4gE_RtvKXN7OPNuNJsg3FhdHaxWwHPAgdAxPPirSEktSMjm5NFIM0dgaRMCNE%3D
"['Fannie Mae', '4.0']",http://www.fanniemae.com/,Digital Engineering - Software Engineering - Lead Associate,"Plano, TX",$78K - $107K (Glassdoor est.),"Company Description
At Fannie Mae, futures are made. The inspiring work we do makes an affordable home a reality and a difference in the lives of Americans. Every day offers compelling opportunities to modernize the nation's housing finance system while being part of an inclusive team using new, emerging technologies. Here, you will help lead our industry forward, enhance your technical expertise, and make your career.
Job Description
As a valued colleague on our team, you will act as a team lead in the designing, producing, testing, or implementing software, technology, or processes, as well as lead processes for creating and maintaining IT architecture, large scale data stores, and cloud-based systems.",29d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846aeb125185ed32ae03ce6fbe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9e573001&cb=1668241111368&jobListingId=1008204706180&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1ghlem4jom6om801-1ghlem4k6gajs800-d32985af22a365ec--6NYlbfkN0Ct7WsG83lAvCXaFpacTWNzBj7D2q855UroDfNwdnKxDsAWIXilII0klyrvzkay54hEnRe64bvbh7m4MiFkoc6uB_rJa8Hv3GlQs1YTktibuSJp-pBxZNVOXLjZwyy2jPNHCVKHFLC0irSUxrKj3ruHhk8K-DHzuKjXbZwZZHw9zeu6jvsbT_jcmQQV6hU8DoGALPb4dW96Zeu7CtaWBI8roWkGaijluVmyiIH4dGNaZ_wJgoz7LAWbUNf3ij11oUdxebbyHHFs7hSEJCaB7J0D_3miUMQb6eD2_QAHDFMk19elBpBYMoDC7S6d4uGRDnhmnDzsL-4Zg1VtATZBcKonSJRGfaE1391HaDD8Mm-vrJotSGaaGbOFdJcusncfaucomRQF-BPP9b8W7Ohs2bSb0RyjMS4drJDkYW8JsJJ_ARXUmTb9HkMEkKKFAA7ECInTlxZ2QnKa4kHCccYG9VjALYy9DmY7ojIRiz2WOphVGwTWT7SQ2ElVaymoZM9zdxdawELCzoOskoNUVWMitw2x7juukFrYd-wDX5mgVnsw_Q%3D%3D
"['Fannie Mae', '4.0']",http://www.fanniemae.com/,Digital Engineering - Software Engineering - Lead Associate,"Plano, TX",$78K - $107K (Glassdoor est.),"Company Description
At Fannie Mae, futures are made. The inspiring work we do helps make a home a possibility for millions of homeowners and renters. Every day offers compelling opportunities to impact the future of the housing industry while being part of an inclusive team thriving in an energizing, flexible environment. Here, you will grow your career and help create access to fair, affordable housing finance.
Job Description
THE IMPACT YOU WILL MAKE
The Lead Java Developer (MDM) role will offer you the flexibility to make each day your own, while working alongside people who care so that you can deliver on the following responsibilities:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846aeb125185ed32ae03ce6fbe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3550851f&cb=1668241113324&jobListingId=1008069027094&cpc=2CAED5C921A5F994&jrtk=3-0-1ghlem4jom6om801-1ghlem4k6gajs800-5ae957047fe7b1a4--6NYlbfkN0Ct7WsG83lAvCXaFpacTWNzBj7D2q855UroDfNwdnKxDsAWIXilII0klyrvzkay54hz7SAqToYcu1QxmTb2n2jPi413gjYoSDjKSsTD4UBO9GgKEOkH7Te-uUz95DeWBFsAmLQCetw7iQ02zr881fbWr3VvekXF0agN62tQlU2_zu3fbHP4tcFGmEApfuU1v3mCUPww2Obz9IgnoribN3WOd11OWs1duW4PdgayH2Ke9CBoINGkxW1k7X5G8tM6Q2EEObZeWYtRfsBJr-0Giw8K1oZNFsYqZizy-JVpyhkwmpe_cQT3-5YjmMtEIbUZ67o-dUOCmc4kO1tPe0JTkVz_xymnnF6K-5altzoLPd-WimCfxaqIPSn70-wfDavrEmTFOjN1TPDHosKIfJt6ATiCLSDQ_sn-H0ztm1gHpIfV2mhsx_THujTI7mF3UEz-ho3TIih43nHh3n_xc7bIbyn32LqmIU1l9vxLSAxofZav8H0rfgAMdiEdziaNeEjNnERAJujQY3G7ulx8D1fdW25eFBgPohIwp4qfIC27hiR6RQ%3D%3D
"['Fannie Mae', '4.0']",http://www.fanniemae.com/,Digital Engineering - Software Engineering - Lead Associate,"Plano, TX",$78K - $107K (Glassdoor est.),"Company Description
At Fannie Mae, futures are made. The inspiring work we do makes an affordable home a reality and a difference in the lives of Americans. Every day offers compelling opportunities to modernize the nation's housing finance system while being part of an inclusive team using new, emerging technologies. Here, you will help lead our industry forward, enhance your technical expertise, and make your career.

Job Description
The Climate team at Fannie Mae was created to address the inspiring, but daunting, goal of leading the company-wide response to climate related risks, including ESG-related analytics. We need to accelerate our impact in this space as customers’, regulators’ and our employees’ expectations continue to rise and evolve with respect to growing climate related concerns.",17d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846aeb125185ed32ae03ce6fbe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_04cd3d5c&cb=1668241116084&jobListingId=1008232666369&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlem4jom6om801-1ghlem4k6gajs800-804e54a76bab544b--6NYlbfkN0Ct7WsG83lAvCXaFpacTWNzBj7D2q855UroDfNwdnKxDsAWIXilII0klyrvzkay54jeE5j1uK-pY2r3VszcKpTgFJ_VNhO01fvGETxLF5s6Gch6P-I6ZjruW4ude3wc_CLgud8TAXjnFKvpq03oItPVZk7o3RCd829lax_ClOJ-htohGvglnlvu_zhDLMojCHhwa9K_1TGlV6_tjp_iRhCdYuIKwaXQbOl3ZmKmtpHxHExY7HvVVhboBPhA31cXKWvQJUQRvSkJZ93077jlf9HoAClaxbSy6mRVTBjWG9sa0CaS2G16tf4zxjUtDY1iruZp-zAAOqaSmKkbgZMfoQvhyAnBN8C2Lh0UiLt6CtX9VG47e0vZtUX_y2nXoNiL2iJ7ML_0EOmimc8fbYW0aC1NY0_11TZDAP3lWr8SwiFVvxeNUzw1qyDLYExi3DkhL8gsD0HIgnEPqL--SkJjbiubdEZVHztaIDd8IDYEpuzc5iPFHR0d4e4NR_MulqPOk2hV1cbFUxEwHEpHYgMB7xIXlUPpr9Y_ils%3D
"['Fannie Mae', '4.0']",http://www.fanniemae.com/,Digital Engineering - Software Engineering - Lead Associate,"Plano, TX",$78K - $107K (Glassdoor est.),"Company Description
At Fannie Mae, futures are made. The inspiring work we do makes an affordable home a reality and a difference in the lives of Americans. Every day offers compelling opportunities to modernize the nation's housing finance system while being part of an inclusive team using new, emerging technologies. Here, you will help lead our industry forward, enhance your technical expertise, and make your career.
Job Description
As a valued colleague on our team, you will collaborate with team in designing, producing, testing, or implementing moderately complex software, technology, or processes, as well as create and maintain IT architecture, large scale data stores, and cloud-based systems.


The role will offer you the flexibility to make each day your own, while working alongside people who care so that you can deliver on the following responsibilities:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846aeb125185ed32ae03ce6fbe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bfc19884&cb=1668241119262&jobListingId=1008062868294&jrtk=3-0-1ghlem4jom6om801-1ghlem4k6gajs800-2695fc7b65c8853b--6NYlbfkN0Ct7WsG83lAvCXaFpacTWNzBj7D2q855UroDfNwdnKxDsAWIXilII0klyrvzkay54g1FBDmvnv3UakND3qXz6apxeqZXtavdFo1DyXIAy7wa-LazdS3djlqkSitT6PMPviXw2BQe2d6RQMOAXyv_FGzYpyTQ6ZkFMfB8UNRv_v3Cx9bd-i3eqa4BsHVd4WQutRacmVrHEtVVIVrF1Hx3d0wOUlKQqRJywuwsy415DDc3RBt_HBvQvFG2kQLdC7vqx3NOsUENu34ESscvk7oR8kCTECHvctNz8n08QKAvoUwOieka-P1jhX1Ty-Frd7EBcvaiBH8Gi5GQ8Y7eF5NlrfyScrM9rRUDOxb4XtX2AGl2eTrhKK7X2Jiv8zvLk1U82blKLFtPDozxOEZhFHeV7P1xvnbINXbh5sChOOAg-hecFVJzN-XZ6Nd5UWph6_jas2nZ7WQ0If2mrnZWAr77zD1Ldamw5qGuFCDm5V-VOURtkbgCCUC_MM-LfYryCFKrohfAgICq2tut-zqBBRraSL4vE_Be1ZBwFc%3D
"['Fannie Mae', '4.0']",http://www.fanniemae.com/,Digital Engineering - Software Engineering - Lead Associate,"Plano, TX",$78K - $107K (Glassdoor est.),"Company Description

At Fannie Mae, futures are made. The inspiring work we do helps make a home a possibility for millions of homeowners and renters. Every day offers compelling opportunities to impact the future of the housing industry while being part of an inclusive team thriving in an energizing, flexible environment. Here, you will grow your career and help create access to fair, affordable housing finance.

Job Description

THE IMPACT YOU WILL MAKE",1d,
"['Fannie Mae', '4.0']",http://www.fanniemae.com/,Digital Engineering - Software Engineering - Lead Associate,"Plano, TX",$78K - $107K (Glassdoor est.),"Company Description

At Fannie Mae, futures are made. The inspiring work we do makes an affordable home a reality and a difference in the lives of Americans. Every day offers compelling opportunities to modernize the nation's housing finance system while being part of an inclusive team using new, emerging technologies. Here, you will help lead our industry forward, enhance your technical expertise, and make your career.

Job Description

The Climate team at Fannie Mae was created to address the inspiring, but daunting, goal of leading the company-wide response to climate related risks, including ESG-related analytics. We need to accelerate our impact in this space as customers’, regulators’ and our employees’ expectations continue to rise and evolve with respect to growing climate related concerns.",1d,
"['Fannie Mae', '4.0']",http://www.fanniemae.com/,Digital Engineering - Software Engineering - Lead Associate,"Plano, TX",$78K - $107K (Glassdoor est.),"Company Description

At Fannie Mae, futures are made. The inspiring work we do makes an affordable home a reality and a difference in the lives of Americans. Every day offers compelling opportunities to modernize the nation's housing finance system while being part of an inclusive team using new, emerging technologies. Here, you will help lead our industry forward, enhance your technical expertise, and make your career.

Job Description

As a valued colleague on our team, you will act as a team lead in the designing, producing, testing, or implementing software, technology, or processes, as well as lead processes for creating and maintaining IT architecture, large scale data stores, and cloud-based systems.",3d,
"['Fannie Mae', '4.0']",http://www.fanniemae.com/,Digital Engineering - Software Engineering - Lead Associate,"Plano, TX",$78K - $107K (Glassdoor est.),"Company Description

At Fannie Mae, futures are made. The inspiring work we do makes an affordable home a reality and a difference in the lives of Americans. Every day offers compelling opportunities to modernize the nation's housing finance system while being part of an inclusive team using new, emerging technologies. Here, you will help lead our industry forward, enhance your technical expertise, and make your career.

Job Description

As a valued colleague on our team, you will collaborate with team in designing, producing, testing, or implementing moderately complex software, technology, or processes, as well as create and maintain IT architecture, large scale data stores, and cloud-based systems.


The role will offer you the flexibility to make each day your own, while working alongside people who care so that you can deliver on the following responsibilities:",30d+,
"['Fannie Mae', '4.0']",http://www.fanniemae.com/,Digital Engineering - Software Engineering - Lead Associate,"Plano, TX",$78K - $107K (Glassdoor est.),"Company Description

At Fannie Mae, futures are made. The inspiring work we do makes an affordable home a reality and a difference in the lives of Americans. Every day offers compelling opportunities to modernize the nations housing finance system while being part of an inclusive team using new, emerging technologies. Here, you will help lead our industry forward, enhance your technical expertise, and make your career.

Job Description

As a valued colleague on our team, you will work developing and enhancing highly technical financial models using, advanced tools or techniques (such as SAS, Python, and R), and financial industry knowledge. Your efforts will enable the team to analyze and report on hedge accounting program performance, solve complex and interesting theoretical financial questions, and inform strategic initiative decisions. Work will include developing new and enhancing existing models or prototypes to achieve these goals.",30d+,
