Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Fidelity National Financial', '3.7']",http://www.fnf.com/,Software Developer,Remote,,"This position will be responsible for supporting and enhancing existing developed applications as well as working with key management in the building and delivery of new applications.
This position would also be responsible for developing Sharepoint and other Microsoft 365 services to help grow adoption and use of these services. Communication and interpersonal skills are a must as this job will often require interaction with others.
Requirements
Bachelor’s degree with 3+ years in relevant field
Excellent analytical and troubleshooting abilities
Good written and verbal communication skills",15d,
"['Fidelity National Financial', '3.7']",http://www.fnf.com/,Software Developer,Remote,,"Overview:
You will work as a key member of an Agile engineering team and be involved in all aspects of designing, developing and supporting our existing and new product infrastructure which supports call-center, web & mobile software products. You will be working collaboratively with Product Management, Quality Assurance, and Support/Services teams. We are looking for a Senior Backend .NET Developer to join a large financial organization in Las Vegas, Nevada. The Backend .NET Developer will provide technical expertise to design and develop software components and products that support business applications.

The Company is unable to sponsor applicants for work visas



Duties:
Education:
Experience:
Additional Information:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7383a9abca61c8f77e5d8e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c062d9da&cb=1668233275413&jobListingId=1007820213850&jrtk=3-0-1ghl770uo2hel001-1ghl770ve24hh000-025edc5bd00c9417-
"['Fidelity National Financial', '3.7']",http://www.fnf.com/,Software Developer,Remote,,"This position will be responsible for supporting and enhancing existing developed applications as well as working with key management in the building and delivery of new applications.
This position would also be responsible for developing Sharepoint and other Microsoft 365 services to help grow adoption and use of these services. Communication and interpersonal skills are a must as this job will often require interaction with others.
Requirements
Bachelor’s degree with 3+ years in relevant field
Excellent analytical and troubleshooting abilities
Good written and verbal communication skills",15d,
"['Fidelity National Financial', '3.7']",http://www.fnf.com/,Software Developer,Remote,,"Overview:
You will work as a key member of an Agile engineering team and be involved in all aspects of designing, developing and supporting our existing and new product infrastructure which supports call-center, web & mobile software products. You will be working collaboratively with Product Management, Quality Assurance, and Support/Services teams. We are looking for a Senior Backend .NET Developer to join a large financial organization in Las Vegas, Nevada. The Backend .NET Developer will provide technical expertise to design and develop software components and products that support business applications.

The Company is unable to sponsor applicants for work visas



Duties:
Education:
Experience:
Additional Information:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a73b79b84d7e10ae3f3c3d2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c9247911&cb=1668233287776&jobListingId=1007820213850&jrtk=3-0-1ghl77duckuil801-1ghl77dv0imbd800-025edc5bd00c9417-
"['Guardian Life Insurance Company', '3.8']",http://www.guardianlife.com/,Associate Support Analyst,"New York, NY",$71K - $107K (Employer est.),"Position Summary
This position will support and enhancement of the firm’s Investment Accounting System and other related Financial Systems. Support focus will be working closely with the Senior Lead Support Analyst, customers, IT counterparts and vendor to ensure all SLA’s are met or exceeded. Enhancement activities including implementation of new functionality will be executed in compliance with project governance and SDLC processes. While under the guidance of the Senior Support Analyst, the successful candidate will become technically and functionally proficient with Investment Accounting and technology and business understanding and processes.
Candidate Responsibilities
Monitor and evaluate daily production activities and priorities to meet service level agreements and mitigate operational risks
Manage production support responsibilities, including after hours, weekend, and remote support, as well as on-site when necessary – including Trade & SMF process management, security rate updates, banks and transaction & valuation closing process on portfolios and daily interfaces for General Ledger system and banks

$62,660.00 - $104,430.00",11d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846a74056582bed1f0198cdec2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_562b988c&cb=1668233313935&jobListingId=1008246226450&jrtk=3-0-1ghl781crj4gt801-1ghl781ddi39u800-0b6ab327ae356d28--6NYlbfkN0CZGlY1FoWl0i5gCXisQShMOcvzKlmArtzdEj5wzK5csH370YKZrNLwF95DsXYzMMLj5DYbBnjuMC9uDDWXNFopcnKqhiLEDl77bIEQ2S56mnEfnCFQBsQ299-JY2CduUsTXD4wUKYQLVwR9dXIGyf5fvc6JKRf92mjq5z-Upt10ybT_a5KnWo21_ieRW5EIHFm8K8c9i1YFR70e4urebF9LuXQ2xviiJM_peZYxxYemigRqcAfsGMH5iH4Tal_8XN4wQJbDp1a4U6CZSAPfc86eQmqjdyF-7-JFJqu-tXqzwSKcg5zdc_3rCXggPhwXL2m4W-zYOmJ5TZInsZGImPWnu2lDwPod-lv4_5XmRLWxHymlYms_JwRU-7LwgVUQnhW25MuqaNk_CxY4XhnQfUS1WMqyuHHpi8s-lhhOYaSrcsmADZS9KO09ogv1MgRJ-uWL8PyDVg_Ld7mbyxFHjUeCJgHz8g3_ZVIiaaQTSJ4gtz4kTouSe2JIDZR5fXigZzWmHetWzBdwgy1GFqDrKnkJFZumFosmM3vUMP2OFEaYnw1ipV1Dh9sKNDKZ1eEwNl-FH1Erv2AZkj-vo3vwXxH
"['Ameritas', '3.9']",http://www.ameritas.com/,Associate Support Analyst,"New York, NY",$71K - $107K (Employer est.),"This is a hybrid role working partially in-office and partially from home.

At Ameritas, fulfilling life is what we do daily. We continuously strive to help our customers and employees enjoy life at its very best by reducing uncertainty, helping grow assets and protecting what is most cherished. We're here to help people put worry behind and the future ahead and help enable a life that's rich in family, happiness, health, and financial security. When lives are fulfilled, our mission is fulfilled.

Ameritas Advisory Services, LLC (AAS) is registered with the Securities and Exchange Commission an investment adviser. AAS is a wealth management advisory firm with over $9 Billion in AUM as of December 31, 2021, serving predominately retail customers and high net worth individuals. AAS fosters an inclusive environment that offers opportunities for our associates to learn, grow and enhance their skills to take on new challenges to progress in their professional careers.

AAS is currently seeking an experienced individual for the position of Lead RIA Compliance Analyst. This position would work directly with and report to the firm’s Director, RIA Compliance. This individual would assist in implementing and managing the regulatory compliance programs for the firm. The Lead RIA Compliance Analyst will work with other areas serving AAS’ advisory business to assist in managing and maintaining the firm’s overall culture of compliance.
This role will require someone with strong attention to detail and accuracy. Multitask and work under pressure in a fast-paced environment to drive projects to completion within prescribed deadlines. Use strong conflict resolution skills and communication skills to build and establish relationships with field partners and associates across a multi-location business environment.

Essential Job Functions
Requirements
What we offer
An Equal Opportunity Employer
Ameritas has a reputation as a company that cares, and because everyone should feel safe bringing their authentic, whole self to work, we’re committed to an inclusive culture and diverse workplace, enriched by our individual differences. We are an Equal Opportunity/Affirmative Action Employer that hires based on qualifications, positive attitude, and exemplary work ethic, regardless of sex, race, color, national origin, religion, age, disability, veteran status, genetic information, marital status, sexual orientation, gender identity or any other characteristic protected by law.

Salary range $71,000 to $106,501 per year.

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846a74056582bed1f0198cdec2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f17ac766&cb=1668233317869&jobListingId=1008196565561&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl781crj4gt801-1ghl781ddi39u800-3f0d28d3bd5b5090--6NYlbfkN0CKAn8Ne3arQi1Mh5qwjYsG5lwTL_pp_IkpGjXO6EXKyMeE2PULXRCuAYt4GuNIHY_AO3gouxOSPWuE2mqFQGY-Lft3vb2dhfCf1PMwtJfvJnZwOb1HknVBf0bViGATii-jSReAifONwoqWYr5lWBlN2vr8s_MoowdRCBztNEw_lgwGKlRwD6PULQBzPw8tX_aadE1bowlPHB-1iUSOAUQ66qH7pYXCqPful7_UV4fldZYNDlcVMX1YXDVDtXaXdNXO-S84ypWBcHEdN4zQOfgbNum9PdXl-A9QqEtkILLGV-jcq71jcom5Clts8PKyB5LeztiuPmXv41Oo852sYmREZpTbEHrVg6VULs_4HZNRH-ZRYbQbylISX-jAZLPy49abToKxk1d7ehR47hSqj8JfYzSz7p9T0XzZ2_txbrB_1IsMDyoPQZfHD3NrvmBJ9PioNyU3kz0k_cOxBPNN_vizYq4ZKUwafKo93DsPE3R0rsSt_n-6osIT70QeZS0kQwvGngxCMmTMmjXjlzTaoeXyT05JrExjxfA5pVF337Jm882mvSZmVZyA
"['Kootenai Health', '3.7']",http://www.kh.org/,Associate Support Analyst,"New York, NY",$71K - $107K (Employer est.),"Epic Application Analyst – Inpatient Clinical

28801

If you thrive on forward-thinking, engaged teams, implementing and optimizing service lines, and thinking strategically about the future to ensure the success of the Epic implementation, then a position at Kootenai Health is for you. We are seeking an Epic Application Analyst to support Epic Inpatient Clinical applications (Epic Orders). Join the Kootenai Health team today!

Remote work/telecommuting optional. Join the Kootenai Health team today!

Position Summary:
The Analyst is responsible for planning and executing all facets of the life cycle for the Epic and third-party applications supporting Kootenai Health, our affiliates and downstream customers. Assists in the analysis, design, implementation, optimization and support of the use of Epic modules and third-party applications. The Analyst will know the technical capabilities of the systems they support, as well as understand data elements, interfaces, and the workflow and functional use of the Epic modules and third-party applications. They will participate in new module or new application implementation and upgrades, and will act as a liaison between departmental staff, Information Systems staff for all facilities and the application vendors.


Performs in-depth analysis of current and future workflows, data collection, report details and other technical issues associated with the Epic EHR and designated third-party applications
Collects requirements regarding potential system enhancements or new system implementation and prepares details of specifications needed; prioritizes and implements requested changes to the system
Investigates standardization and process improvement opportunities while making build decisions
Validates data is accurate and meets business requirements
Designs and executes small-scale application testing as required
Provides support for the installation and implementation of system patches, service utilities and version upgrades as assigned
Participates in integrated area domain and affinity groups in support of operational governance
Troubleshoots, identifies root cause, and documents problems of simple to medium complexity for assigned applications and systems
Analyzes and manages systems or third-party vendors/service providers to ensure service level agreements are met
Maintains data integrity and security for assigned applications and systems
Develops system documentation as assigned per standards
Develops communication related to education efforts for deployments, upgrades, optimizations and other system changes as assigned
Analyzes workflows and understanding policies, procedures and constraints in core clinical or business area(s) of responsibility
Partners with quality, operational, and business leaders on system design and optimization to meet quality, safety, financial and efficiency needs
Performs other related duties as assigned
Familiar with standard concepts, practices, and procedures within the field
Regular and predictable attendance is an essential job function
Competent to meet age specific needs of the unit assigned


Associate’s degree in Computer Science, Information Technology, Nursing or a related field preferred, or equivalent education/experience required
Minimum 3-5 years of analyst experience preferred
Epic certification in one or more Epic modules as assigned required ( EpicCare Inpatient Clinical Documentation)

Certification to be initiated as directed and completed within 3 months upon completion of Epic training; employee must remain current in certification or proficiency

Other required system application certifications to complete assigned work as assigned
Epic analyst positions supporting inpatient nursing and ambulatory clinical Epic modules and third-party applications, clinical experience is preferred

Minimum of 2 years of experience in a hospital and/or clinic setting preferred
Participates in after hours on-call, on-call rotation and service recovery efforts as required
Advanced understanding of the standard tools, workflow processes, and/or procedures and concepts used in the development and deployment of application software necessary to run the healthcare systems business, clinical or financial systems
Comprehensive understanding of clinical or business principles to evaluate information system and healthcare regulatory needs
Knowledge of Healthcare information systems


Medical, Dental, and Vision Benefits! 100% employer-paid health insurance premiums for full-time employees.
A tuition assistance program! If you want to further your education, we’ll help you pay for it!
Looking forward to retirement? We’ll help you with that! We offer a 457 retirement plan through Fidelity with a match of 3-6% based on years of service and defined contribution account which puts 2% of your annual income into a retirement account for you.
Convenient Daycare near campus!
Competitive wages and annual increases!
An award winning and incentive-driven wellness program
Employee reward, recognition, and retention programs!
Professional development and leadership training opportunities!


Must be able to lift and move up to 10 lbs
Must be able to reach arms above or below shoulder height
Must be able to maintain a sitting position
Typical equipment used in an office job
Repetitive movements

For questions, please contact Doug Jackson at djackson@kh.org

Kootenai Health complies with applicable federal civil rights laws and does not discriminate on the basis of race, color, national origin, age, disability, veteran status, or sex. Kootenai Health does not exclude people or treat them differently because of race, color, national origin, age, disability, veteran status, or sex.

Full Time,Days",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846a74056582bed1f0198cdec2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_668b31d9&cb=1668233319890&jobListingId=1008145510003&jrtk=3-0-1ghl781crj4gt801-1ghl781ddi39u800-f52d094f13168636--6NYlbfkN0CrE-oyjPgE5evhmwJbnDmVGLHaXNz4Jvrprh4lDBszMLd5yQVEWduGuDRPhj1Opx7SyimswHRUu338-l2W07nuQnDmb-fsdzIikFJP33-pQoBd_6x5q2Op7iCYUoq8AW48_IiJO4XxxAtq6upsWcSLLrOw47Z0oyz_sTX6F4TQCYPRi_s8H8iiduYB5Fdfn93NSMWQeeOlALGykix5SQrZTAcj2DsyaplpQE7oHIAWlmPWyMEnxfD9YKVf1d7Xy0CWcWN_DCyt7W9VqSAz0KzGHWiYdKHDpfjnOlqvSBR1LkKw_OzW9BGZDszSd2a_t-ea0rnksMmx3CJc2UQvGSBsB48S3CKkJ7xXdRw8pJKGej_72L1W7HrJD6VKrgMv95XvHA82GYuQOtSCBTSQOsgF2YPZd6M_Z64MMW5y6ERNAzy8-d35vd5G_zxI0qy000Cx3tP92ukoqtXUsCs8lSXkx15LyWfL-xRa32HNhW-1hu_HAsSqACps3dyRS_ZZNYa7jWI5aDqt1eFWLoMeH3YIxN7ICls0U2o%3D
"['Guardian Life Insurance Company', '3.8']",http://www.guardianlife.com/,Associate Support Analyst,"New York, NY",$71K - $107K (Employer est.),"Job Requirement:
Senior Information Security Governance Analyst
(Cyber Security -Information Security Governance Analyst/Engineer)
This position will play several key roles:
This position is responsible for implementation of the security function within the Governance, Risk and Controls program. Perform formal risk analysis and security design review ensuring appropriate policies and standards are applied to projects consistent with Guardian’s risk appetite and regulatory/legal requirements for various Business and Information Technology systems and processes. Conduct design reviews of AWS services as well as other new cloud services affecting public, private or hybrid cloud infrastructures, risk rank results and present to security leadership. Manage/coordinate remediation efforts after security assessment findings outline weaknesses requiring attention. Collaborate on Guardian’s cloud security strategy and resilient enterprise-grade cloud processes in tandem with security architects and system engineers as well as contribute to Cloud security roadmap. Using technical skills, industry, and security knowledge, identify risks, mitigations, and (working with Information Security Leadership) prepare relevant information to present residual risks to IT Risk Council. Plan, coordinate and execute Information Security / special projects. Create process flows to better define, measure, improve, analyze, and control security and privacy processes. Prepare, maintain, and update security processes, procedures, and standards including Information Security Governance engagement model and design templates, company notifications and alerts in support of the Information Security, Risk and Controls department. Working with the threat modeling (TM) lead in Security Architecture to integrate TM tools into the Security Design Review Process. Review Vendor software/hardware and Third-Party information security integration controls/risks and document gaps and issues for action. Attend regular technical project and implementation meetings and serve as the security consultant to help guide secure application and infrastructure configurations. Document, formulate and enforce areas of security improvement that balance risk with business operations and do not diminish efficiencies or innovation. Assist in maintaining strong oversight with cloud computing vendors and solution providers to safeguard against undue risk presented by external entities. Escalate to security management and business unit leads when points of weakness are discovered. Partner with Security Architecture and Cloud/Security Services Engineering (E-Train) to solution gaps in cloud infrastructure controls or automate critical manual controls. (Includes proof of concept, design, implementation and hand off to operational teams) Mentor staff on cloud security and application security principles

$109,650.00 - $203,640.00",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a74056582bed1f0198cdec2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6ba171d8&cb=1668233322602&jobListingId=1008030281504&jrtk=3-0-1ghl781crj4gt801-1ghl781ddi39u800-30a8db428fd693c5-
"['Truist Financial', '3.5']",https://www.truist.com/,Associate Support Analyst,"New York, NY",$71K - $107K (Employer est.),"The position is described below. If you want to apply, click the Apply button at the top or bottom of this page. You'll be required to create an account or sign in to an existing one.
Need Help?
If you have a disability and need assistance with the application, you can request a reasonable accommodation. Send an email to Accessibility or call 877-891-2510 (accommodation requests only; other inquiries won't receive a response).
Regular or Temporary:
Regular
2nd Shift - 10% Automatic Pay Differential (United States of America)
Monitor and analyze alerting from a wide variety of Information Security systems to identify and escalate potential malicious activity within the network, acting as the first line of defense for the company. Support Incident Response teams during investigations and mitigations by providing additional data through log analysis which may identify lateral movement. Serve as first escalation point for security alert investigations and provide oversight and guidance for tier I analysts, when the manager is not available. Assist with improvement of operating procedures by providing feedback to management so that efficiency may be increased.",17d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a74056582bed1f0198cdec2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fc396d18&cb=1668233325607&jobListingId=1008232402875&jrtk=3-0-1ghl781crj4gt801-1ghl781ddi39u800-d420f83c1a8c3330-
"['HighTower Advisors', '3.4']",http://www.hightoweradvisors.com/,Associate Support Analyst,"New York, NY",$71K - $107K (Employer est.),"Your Future Team

Clarity Point Financial Partners was launched in 2017. As an independent registered investment advisory practice, we offer financial advice and planning as well as discretionary investment management to individuals, families, and businesses. We are proud to be a Hightower company.
Hightower is an industry-leading financial services firm providing objective wealth management advice supported by a unique platform, compelling brand, and inspiring culture. Our distinct brand of wealth management empowers both investors and advisors, providing a true fiduciary standard of care for the investor and comprehensive support for the independent advisor.

The Opportunity:
We are looking for a successful Investment Analyst/Trading Associate with strong communication skills and a problem-solving mindset that excels in a fast paced and evolving organization. Our ideal candidate has a passion for investing and a love of learning. They are coachable and consistently perform at a high level under variable workloads, reporting to the Managing Director. As a rapidly growing company, opportunities for internal growth and career development are plentiful.



The candidate should be positive-minded, enthusiastic, and have strong professional verbal and written communication. You have an interest and working understanding of the economy and financial markets with a desire to learn. Excellent interpersonal skills are essential, and the ability to motivate self and others to deliver excellent results, often within tight timeframes.
Hightower is an equal opportunity employer and does not discriminate based upon race, color, religion, sex, sexual orientation, pregnancy, marital status, national origin, citizenship, veteran status, ancestry, age (over 40), physical or mental disability, medical condition (cancer-related), gender identity or expression, genetic information including sickle cell or hemoglobin C trait, or any other consideration made unlawful by applicable federal, state, or local law.

You are a U.S. citizen, U.S. permanent resident or have other unrestricted U.S. work authorization and will not require sponsorship for U.S. work authorization now or anytime in the future.",30d+,
