Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Ford Motor Company', '4.1']",http://corporate.ford.com/careers,Associate Software Development Engineer - Front End,"Dearborn, MI",$80K - $104K (Glassdoor est.),"Job Description & Qualifications
At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.

As a key contributor to our autonomous vehicle and electrification efforts, you can dramatically change the way the world moves. Ford is seeking visionary, highly skilled and ambitious professionals to help us create an innovative and scalable autonomous vehicle business. Join us and improve the movement of people and goods while delivering an intuitive, enjoyable and trusted experience.


We are looking for Software Engineers that are also passionate about software and cloud engineering, to build the next-gen data services - based on the latest big data and at scale cloud technologies.

As a Front End Software Engineer in the Data Platforms and Analytics Team you are passionate about working in cloud-scale distributed systems spanning hundreds of nodes. You will communicate and collaborate with architects, product managers and feature teams to provide core-platform components integrate with web services and provide an integrated user experience for end users. You will be designing, coding and testing data front end UX, as well as the production processes around them, such as deployment and health-monitoring.

As part of the Ford family, you’ll enjoy excellent compensation and a comprehensive benefits package that includes generous PTO, retirement, savings and stock investment plans, incentive compensation and much more. You’ll also experience exciting opportunities for professional and personal growth and recognition.
If you have what it takes to help us redefine the future of mobility, we’d love to have you join us.
Candidates for positions with Ford Motor Company must be legally authorized to work in the United States on a permanent basis. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is available for this position.
We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.


https://corporate.ford.com/content/dam/corporate/us/en-us/documents/careers/2022-benefits-and-comp-GSR-sal-plan-2.pdf

At Ford, the health and safety of our employees is our top priority. Vaccination has been proven to play a critical role in combatting COVID-19. As a result, Ford has made the decision to require U.S. salaried employees to be fully vaccinated against COVID-19, unless employees require an accommodation for religious or medical reasons. Being fully vaccinated means that an individual is at least two weeks past their final dose of an authorized COVID-19 vaccine regimen. As a condition of employment, newly hired employees will be required to provide proof of their COVID-19 vaccination or an approved medical or religious exemption.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a484ea48ec9d9dcbeef4207&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_72812530&cb=1668230442373&jobListingId=1008060091934&jrtk=3-0-1ghl4gjmai16u801-1ghl4gjmrghqu800-3202f88920005b5e-
"['Ford Motor Company', '4.1']",http://corporate.ford.com/careers,Associate Software Development Engineer - Front End,"Dearborn, MI",$80K - $104K (Glassdoor est.),"Job Description & Qualifications
At Ford Motor Company, we believe freedom of movement drives human progress. Unique challenges require the problem-solving skills of a diverse range of individuals. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.

As a key member of our Information Technology group, you’ll play a critical part in shaping the future of mobility. If you’re looking for the chance to leverage advanced technology to redefine the transportation landscape, enhance the customer experience and improve people’s lives, this is the opportunity for you. Join us and challenge your IT expertise and analytical skills to help create vehicles that are as smart as you are.

As a Full Stack developer, you will collaborate with a broad array of talented software engineers to build amazing software that will transform Ford.com into the standard for how vehicles are purchased online. Innovate, problem-solve, and build new features and exciting capabilities to support launches of upcoming vehicle lines – from legendary nameplates like Bronco to unannounced EV products of the future",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a484ea48ec9d9dcbeef4207&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_355c9c4f&cb=1668230444908&jobListingId=1008192197968&jrtk=3-0-1ghl4gjmai16u801-1ghl4gjmrghqu800-fa08e7fcc0ecfb42-
"['Ford Motor Company', '4.1']",http://corporate.ford.com/careers,Associate Software Development Engineer - Front End,"Dearborn, MI",$80K - $104K (Glassdoor est.),"At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.
Creating the future of smart mobility requires the highly intelligent use of data, metrics and analytics. That’s where you can make an impact as part of our Global Data Insight & Analytics team. We are the trusted advisers that enable Ford to clearly see business conditions, customer needs and the competitive landscape. With our support, key decision makers can act in meaningful, positive ways. Join us and use your data expertise and analytical skills to drive evidence-based, timely decision making.
We are seeking high-potential Machine Learning and AI scientists to assist in all phases of project work, including problem identification, formulation, model development, and deployment. These scientists must have strong self-discipline, initiative, and possess a passion for life-long learning to face evolving challenges in rapidly changing mobility technology. Successful candidates will be given the autonomy to conduct original research and choose appropriate methodologies to solve world-class machine learning problems. This position involves the development and deployment of AI and ML technology in areas such as autonomous vehicles, cybersecurity, customer interaction, product design, development, manufacturing, quality, and marketing of connected vehicles. If hired, you will be a member of a team that applies cutting-edge AI and Machine Learning techniques to develop innovative solutions for these problems and participate in building a strategy for future contributions in these domains and more",11d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a484ea48ec9d9dcbeef4207&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_94caaad6&cb=1668230448691&jobListingId=1008247481804&jrtk=3-0-1ghl4gjmai16u801-1ghl4gjmrghqu800-07d76ed5bfe132bb-
"['Ford Motor Company', '4.1']",http://corporate.ford.com/careers,Associate Software Development Engineer - Front End,"Dearborn, MI",$80K - $104K (Glassdoor est.),"Job Description & Qualifications
At Ford Motor Company, we believe freedom of movement drives human progress. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career and help us define tomorrow’s transportation.

Do you want to drive business strategy and define products for software and digital experiences? Enterprise Connectivity (EC) Business Operations team is a fast-paced team that translates those strategic choices into tangible business propositions. We represent the voice of the customer as we build distinctive, always-on connected vehicle technologies and services that transform the ownership experience

This request is to fill a Software Engineer position on the Ford Commercial Solutions (FCS) team. The Software Engineer role will work on a balanced team and collaborate with a Product Owner, Product Manager, and Product Designer to deliver products to support the FCS program. The team will deliver a portfolio of products involving telematics tools and additional fleet management services. The FCS product suite provides a customer facing user experience through UI and API offerings that integrate with existing systems to communicate back and forth with the Ford vehicles. The Software Engineer will deliver value through Agile software development practices in a fast-paced environment.



As part of the Ford family, you’ll enjoy excellent compensation and a comprehensive benefits package that includes generous PTO, retirement, savings and stock investment plans, incentive compensation and much more. You’ll also experience exciting opportunities for professional and personal growth and recognition.

If you have what it takes to help us redefine the future of mobility, we’d love to have you join us!

Candidates for positions with Ford Motor Company must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position.

We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.

https://corporate.ford.com/content/dam/corporate/us/en-us/documents/careers/2022-benefits-and-comp-GSR-sal-plan-2.pdf

At Ford, the health and safety of our employees is our top priority. Vaccination has been proven to play a critical role in combating COVID-19. As a result, Ford has made the decision to require U.S. salaried employees to be fully vaccinated against COVID-19, unless employees require an accommodation for religious or medical reasons. Being fully vaccinated means that an individual is at least two weeks past their final dose of an authorized COVID-19 vaccine regimen. As a condition of employment, newly hired employees will be required to provide proof of their COVID-19 vaccination or an approved medical or religious exemption.",30d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a484ea48ec9d9dcbeef4207&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_050d21be&cb=1668230450602&jobListingId=1008202886676&jrtk=3-0-1ghl4gjmai16u801-1ghl4gjmrghqu800-99d7f6b22b53d5d1-
"['Ford Motor Company', '4.1']",http://corporate.ford.com/careers,Associate Software Development Engineer - Front End,"Dearborn, MI",$80K - $104K (Glassdoor est.),"Job Description & Qualifications
At Ford Motor Company, we believe freedom of movement drives human progress. Unique challenges require the problem-solving skills of a diverse range of individuals. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.
As a key member of our Information Technology group, you’ll play a critical part in shaping the future of mobility. If you’re looking for the chance to use advanced technology to redefine the transportation landscape, enhance the customer experience and improve people’s lives, this is the opportunity for you. Join us and challenge your IT expertise and analytical skills to help create vehicles that are as inquisitive as you are.
Collaborate with a broad array of dedicated software engineers to build amazing software that will transform Ford’s e-commerce experience into the standard for how vehicles are purchased online

Our preferred qualifications:
As part of the Ford family, you’ll enjoy excellent compensation and a comprehensive benefits package that includes generous PTO, retirement, savings and stock investment plans, incentive compensation and much more. You’ll also experience exciting opportunities for professional and personal growth and recognition.
Candidates for positions with Ford Motor Company must be legally authorized to work in the United States permanently. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is available for this position.
We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a484ea48ec9d9dcbeef4207&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e400ff4c&cb=1668230455150&jobListingId=1008067445693&jrtk=3-0-1ghl4gjmai16u801-1ghl4gjmrghqu800-d3e82802bc03ffd7-
"['Ford Motor Company', '4.1']",http://corporate.ford.com/careers,Associate Software Development Engineer - Front End,"Dearborn, MI",$80K - $104K (Glassdoor est.),"Job Description & Qualifications
At Ford Motor Company, we believe freedom of movement drives human progress. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career and help us define tomorrow’s transportation.

Do you want to drive business strategy and define products for software and digital experiences? Enterprise Connectivity (EC) Business Operations team is a fast-paced team that translates those strategic choices into tangible business propositions. We represent the voice of the customer as we build distinctive, always-on connected vehicle technologies and services that transform the ownership experience

We are looking for entry to mid-level Full-Stack Software Service Engineers that are passionate about software and cloud engineering to build the next-gen data services based on the latest big data and at scale cloud technologies. The Software Engineer role will collaborate with a Product Owner, Product Manager, and Product Designer to deliver products and core-platform components that support the web services that are performant, secure, and reliable. You will be defining, designing, coding, testing, and deploying services that interact with multiple large scale data systems as well as the production processes around them, such as deployment and health-monitoring.



As part of the Ford family, you’ll enjoy excellent compensation and a comprehensive benefits package that includes generous PTO, retirement, savings and stock investment plans, incentive compensation and much more. You’ll also experience exciting opportunities for professional and personal growth and recognition.

If you have what it takes to help us redefine the future of mobility, we’d love to have you join us!
Candidates for positions with Ford Motor Company must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position.

We are an Equal Opportunity Employer committed to a culturally diverse workforce. All qualified applicants will receive consideration for employment without regard to race, religion, color, age, sex, national origin, sexual orientation, gender identity, disability status or protected veteran status.

https://corporate.ford.com/content/dam/corporate/us/en-us/documents/careers/2022-benefits-and-comp-GSR-sal-plan-2.pdf

At Ford, the health and safety of our employees is our top priority. Vaccination has been proven to play a critical role in combating COVID-19. As a result, Ford has made the decision to require U.S. salaried employees to be fully vaccinated against COVID-19, unless employees require an accommodation for religious or medical reasons. Being fully vaccinated means that an individual is at least two weeks past their final dose of an authorized COVID-19 vaccine regimen. As a condition of employment, newly hired employees will be required to provide proof of their COVID-19 vaccination or an approved medical or religious exemption.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a484ea48ec9d9dcbeef4207&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5a5b895a&cb=1668230458296&jobListingId=1008061078539&jrtk=3-0-1ghl4gjmai16u801-1ghl4gjmrghqu800-852610bfada80bc8-
"['Ford Motor Company', '4.1']",http://corporate.ford.com/careers,Associate Software Development Engineer - Front End,"Dearborn, MI",$80K - $104K (Glassdoor est.),"At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.
As a key member of our Information Technology group, you’ll play a critical part in shaping the future of mobility. If you’re looking for the chance to leverage advanced technology to redefine the transportation landscape, enhance the customer experience and improve people’s lives, this is the opportunity for you. Join us and challenge your IT expertise and analytical skills to help create vehicles that are as smart as you are.
Ford Vehicle and Mobility Cybersecurity is seeking professionals with a strong interest in understanding and resolving technical challenges in the automotive cybersecurity domain.",15d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a484ea48ec9d9dcbeef4207&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6022e830&cb=1668230462161&jobListingId=1008239325205&jrtk=3-0-1ghl4gjmai16u801-1ghl4gjmrghqu800-d4d24a601654afd7-
"['Ford Motor Company', '4.1']",http://corporate.ford.com/careers,Associate Software Development Engineer - Front End,"Dearborn, MI",$80K - $104K (Glassdoor est.),"At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.

Creating the future of smart mobility requires the highly intelligent use of data, metrics and analytics. That’s where you can make an impact as part of our Global Data Insight & Analytics team. We are the trusted advisers that enable Ford to clearly see business conditions, customer needs and the competitive landscape. With our support, key decision makers can act in meaningful, positive ways. Join us and use your data expertise and analytical skills to drive evidence-based, timely decision making.
What you’ll be able to do:",4d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a484ea48ec9d9dcbeef4207&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_76cd905a&cb=1668230466086&jobListingId=1008263182769&jrtk=3-0-1ghl4gjmai16u801-1ghl4gjmrghqu800-e8c10e54291f66d4-
"['Ford Motor Company', '4.1']",http://corporate.ford.com/careers,Associate Software Development Engineer - Front End,"Dearborn, MI",$80K - $104K (Glassdoor est.),"At Ford Motor Company, we believe freedom of movement drives human progress. We also believe in providing you with the freedom to define and realize your dreams. With our incredible plans for the future of mobility, we have a wide variety of opportunities for you to accelerate your career potential as you help us define tomorrow’s transportation.
The Order Generation Services team within the Order Fulfillment program supports the generation of forecast and real orders for the Material Forecasting and Order Generation applications. It’s suite of numerically intensive algorithms and data processing capabilities seek to provide optimal solutions to problems that require the consideration of complex product definition and other constraint spaces. The Software Development engineer designs, develops and provides 3 rd level support for these strategic and business critical applications. This is an exciting opportunity to solve a variety of emerging business problems as Ford transitions to new business models.",9d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a484ea48ec9d9dcbeef4207&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b66a6160&cb=1668230467944&jobListingId=1008253672658&jrtk=3-0-1ghl4gjmai16u801-1ghl4gjmrghqu800-a06143ec729aa3a4-
"['Ford Motor Company', '4.1']",http://corporate.ford.com/careers,Associate Software Development Engineer - Front End,"Dearborn, MI",$80K - $104K (Glassdoor est.),"The FordPass team is seeking a mobile app software engineer for both Android and Apple platforms. Candidates with significant hands-on experience delivering large-scale, enterprise-grade consumer-facing will be considered. Selected candidate will be working in a fast-paced, Product Driven development environment where software engineers are working in a highly collaborative fashion.

The minimum requirements we seek:
Bachelor's Degree in Computer Science, Electrical Engineering, or a related field or combination of education and equivalent experience.
1+ years of experience in web, mobile, api, or full-stack development.

Our preferred qualifications:

What you will receive in return:",2d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a484ea48ec9d9dcbeef4207&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_edda44b7&cb=1668230471856&jobListingId=1008269576165&jrtk=3-0-1ghl4gjmai16u801-1ghl4gjmrghqu800-28d8a6a1497d9b8a-
