Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Freeport McMoRan', '4.1']",http://www.fcx.com/,Senior Process Automation Engineer,"Safford, AZ",$70K - $93K (Glassdoor est.),"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.

We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.",14d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b2a0c28b381298d9872d90d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a67cac4a&cb=1668245236923&jobListingId=1008241979114&jrtk=3-0-1ghlik32tkuh2801-1ghlik33gitnc800-f58bed2e75e9909b-
,,Senior Process Automation Engineer,"Safford, AZ",$70K - $93K (Glassdoor est.),,8d,
"['Freeport McMoRan', '4.1']",http://www.fcx.com/,Senior Process Automation Engineer,"Safford, AZ",$70K - $93K (Glassdoor est.),"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.
We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.
Please note: This in-person position is performed onsite at Freeport-McMoRan’s corporate office in Phoenix, Arizona. In accordance with Freeport-McMoRan’s requirement for all employees who are working or attending a meeting onsite at the corporate office, if you are hired you will be required to submit proof that you are fully vaccinated against COVID-19 prior to entry, unless the company has granted a medical or religious accommodation.",22d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b2a0c28b381298d9872d90d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_748fa88f&cb=1668245240853&jobListingId=1008222691326&jrtk=3-0-1ghlik32tkuh2801-1ghlik33gitnc800-0ce668981155cf11-
"['Freeport McMoRan', '4.1']",http://www.fcx.com/,Control Systems Analyst I,"Claypool, AZ",$61K - $84K (Glassdoor est.),"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.

We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.",11d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b2a7f0cbdc45603f13a735f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3a878a09&cb=1668245262788&jobListingId=1008247653527&jrtk=3-0-1ghlikvq5h7i0801-1ghlikvqsi3af800-812d0dbbe46fa353-
"['Freeport McMoRan', '4.1']",http://www.fcx.com/,Control Systems Analyst I,"Claypool, AZ",$61K - $84K (Glassdoor est.),"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.
We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.
Please note: This position has the possibility to work remotely up to 100% of the time. The position will require occasional travel to the Phoenix corporate offices and/or site locations . This position may be performed anywhere in the U.S. except California, Connecticut, New Hampshire, Massachusetts, Michigan, Illinois, Kentucky and New York. Additional states may be excluded from remote work based on business factors. Should the positions shift to in-office work in the future, the company will offer relocation benefits at that time should the position meet the established eligibility for these benefits.",16d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b2a7f0cbdc45603f13a735f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_53f54eeb&cb=1668245266614&jobListingId=1008236040438&jrtk=3-0-1ghlikvq5h7i0801-1ghlikvqsi3af800-4f4d7451b8dd97f6-
"['Freeport McMoRan', '4.1']",http://www.fcx.com/,Control Systems Analyst I,"Claypool, AZ",$61K - $84K (Glassdoor est.),"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.

We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.",11d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b2aaf9d94b50da63f8e3035&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f0035b35&cb=1668245275358&jobListingId=1008247653527&jrtk=3-0-1ghlilbulklua801-1ghlilbvcg4do800-812d0dbbe46fa353-
"['Freeport McMoRan', '4.1']",http://www.fcx.com/,Control Systems Analyst I,"Claypool, AZ",$61K - $84K (Glassdoor est.),"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner. We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.
We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.",10d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b2aaf9d94b50da63f8e3035&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bf97c91a&cb=1668245279281&jobListingId=1008251102643&jrtk=3-0-1ghlilbulklua801-1ghlilbvcg4do800-4efe92c7b02b00ba-
"['Freeport McMoRan', '4.1']",http://www.fcx.com/,Control Systems Analyst I,"Claypool, AZ",$61K - $84K (Glassdoor est.),"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.

We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.",11d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b2aaf9d94b50da63f8e3035&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0c025f8b&cb=1668245282108&jobListingId=1008247653506&jrtk=3-0-1ghlilbulklua801-1ghlilbvcg4do800-00510bfad3e0d4d8-
"['Freeport McMoRan', '4.1']",http://www.fcx.com/,Lead Machine Learning Engineer,"Phoenix, AZ",$83K - $122K (Glassdoor est.),"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.
We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.
Please note: This in-person position is performed onsite at Freeport-McMoRan’s corporate office in Phoenix, Arizona. In accordance with Freeport-McMoRan’s requirement for all employees who are working or attending a meeting onsite at the corporate office, if you are hired you will be required to submit proof that you are fully vaccinated against COVID-19 prior to entry, unless the company has granted a medical or religious accommodation.",22d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b2ae802b829b79b52af831b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a81f115c&cb=1668245293676&jobListingId=1008222691326&jrtk=3-0-1ghlilq1pmbhh801-1ghlilq2jghqn800-0ce668981155cf11-
"['Freeport McMoRan', '4.1']",http://www.fcx.com/,Control Systems Analyst I,"Claypool, AZ",$61K - $84K (Glassdoor est.),"Freeport-McMoRan is a leading international mining company with headquarters in Phoenix, Arizona. We operate large, long-lived, geographically diverse assets with significant proven and probable reserves of copper, gold, and molybdenum. The company has a dynamic portfolio of operating, expansion and growth projects in the copper industry. Freeport-McMoRan is one of the world’s largest publicly traded copper producers, the world’s largest producer of molybdenum and a significant gold producer. We have a long and successful history of conducting our business in a safe, highly efficient and socially-responsible manner.

We have the assets, the talent, the drive and the financial strength to provide attractive and rewarding careers of our employees. We encourage you to take the time to explore the opportunity to advance your career at Freeport-McMoRan.",11d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b2b26709bcc0c6ea9d0f970&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5a05a045&cb=1668245305397&jobListingId=1008247653527&jrtk=3-0-1ghlim9lk20hv001-1ghlim9m5griq800-812d0dbbe46fa353-
