Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Gap Inc.', '3.7']",http://jobs.gapinc.com/,Software Engineer II,"San Francisco, CA",,"About Gap Inc.
Our brands bridge the gaps we see in the world. Old Navy democratizes style to ensure everyone has access to quality fashion at every price point. Athleta unleashes the potential of every woman, regardless of body size, age or ethnicity. Banana Republic believes in sustainable luxury for all. And Gap inspires the world to bring individuality to modern, responsibly made essentials.
This simple idea—that we all deserve to belong, and on our own terms—is core to who we are as a company and how we make decisions. Our team is made up of thousands of people across the globe who take risks, think big, and do good for our customers, communities, and the planet. Ready to learn fast, create with audacity and lead boldly? Join our team.
About the Role",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469fe4c6ab568efa1a4540514&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6572c07b&cb=1668225590207&jobListingId=1007976825067&jrtk=3-0-1ghkvsj4ria2m801-1ghkvsj5fghqu800-e2116837101785f0-
"['Gap Inc.', '3.7']",http://jobs.gapinc.com/,Software Engineer II,"San Francisco, CA",,"About Gap Inc.
Our brands bridge the gaps we see in the world. Old Navy democratizes style to ensure everyone has access to quality fashion at every price point. Athleta unleashes the potential of every woman, regardless of body size, age or ethnicity. Banana Republic believes in sustainable luxury for all. And Gap inspires the world to bring individuality to modern, responsibly made essentials.
This simple idea—that we all deserve to belong, and on our own terms—is core to who we are as a company and how we make decisions. Our team is made up of thousands of people across the globe who take risks, think big, and do good for our customers, communities, and the planet. Ready to learn fast, create with audacity and lead boldly? Join our team.
About the Role",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469fe725887dcb89f98b2473d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d1431fc8&cb=1668225599651&jobListingId=1007976825067&jrtk=3-0-1ghkvssjtm6ot801-1ghkvsskej4hn800-e2116837101785f0-
"['GAP Solutions, Inc.', '4.4']",http://www.gapsi.com/,Contracting/Acquisitions Program Manager,"Washington, DC",$71K - $109K (Glassdoor est.),"This position will be directly supporting the Contracting Officers in the Division of Contract Management & Acquisitions within the Biomedical Advanced Research and Development Authority (BARDA). In addition to extensive FAR based contracting experience, successful candidates will need to have understanding and some experience with Other Transaction Agreements and preferably R&D contracting.

Duties and Responsibilities:
Must have extensive FAR-based contracting experience.
General understanding of and experience in the use of Other Transaction Agreements (OTAs).",19d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469fea9b2a199e55eb44bb3aa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_15aae4df&cb=1668225614323&jobListingId=1008228246778&jrtk=3-0-1ghkvtaffkuie801-1ghkvtafui14k800-912f62f4714b5d8c-
"['Robert Half', '3.9']",http://www.roberthalf.com/,Business Systems Analyst III,Remote,$81.48 Per Hour(Employer est.),"JOB REQUISITION
Business Systems Analyst III
LOCATION
SAN RAMON
JOB DESCRIPTION
Robert Half is seeking an ambitious and talented Business Systems Analyst III to join our innovated Technology Group. Our team builds on and supports the HCM, Payroll, Benefits and Time modules, currently in PeopleSoft 9. A critical integration that the team built and supports are APIs integrating PeopleSoft Time functionality with our Native Mobile App. This year, we completed a PeopleTools Upgrade and migration of our ERP to the cloud. In the next 3-4 years, the planning and implementation of the next-gen application to replace PeopleSoft 9.
We have a consistent track record of success in achieving a broad range of goals and timely delivery year after year. We have great leadership and individual contributor skills that have made our group successful and highly trusted by our business owners and IT partners. We have strong relationships within our team members, upper management and partner organizations that often result in win-win situations and foundation for future success. As a team, we are work-focused, cohesive, adaptable, and flexible with a positive attitude resulting in quantifiable results and wins! We believe that our employees are our most valuable asset, and we embody a culture of recognition, caring, and involvement in company and community activities. We work hard but make the effort to enjoy a healthy work-life balance and fun while at work. We are very proud of our team which we consider our family at work!





CA SAN RAMON CORP",1d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018469fed0aa9dc247e600debc38&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_da446187&cb=1668225632400&jobListingId=1008273120167&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkvtk72kuhi801-1ghkvtk7jj4hn800-0c2b772b7469dfd7--6NYlbfkN0CpzDdaQkua3np5pkmj49lKioZwmwxQ-yx5plwbYmV_M1rAU60J3Su8F0L1WdWOEHnDjjTr7e0YAC_rIQhwyOtVXayils3zvVQeT0WEEr5Cp0Lele7ReZ7zOfqIktP2B_koNi7UORCpGyZiZHFZSTs6M1bZbpcp7VHLTWHnVo4Q9Eep863nVxrBXOoHxwsMzIEX41N231nYsrXBFcm9PRrrH4KSLXmDABpXpZvz8sODDAImbW9okOflRbEVxW5WVAp3iBXjg4hh4MSGqM0GrzaCap19I8r-31z7osbC2aHEqA4ISzHjO3FV7Ivyx-YYP6261-MmVlrRTy8bhr6-5zZhN0yQMIb68plBbz-W1EXCFlqqfK3oZ7q0SCdAceLL3M6CN3KixsJBxABcINFaWPQ6E6KUxTZLxByX8DNpk-fWdO2KjMekt9wlJkBpgjNV_pKKwFFldr5SUiO9hXUOts9E2GspDwr0J4oW-icnS53Bn-XZoY4-OfAWmpwyhVpoXaDk-tFzDsn_EU0NBH5_dAuV46MnEeUTjXLMSbZGdds26leui5SxSOthslcp0dWpaCzZoGC5EcDBFrpxQVQGUgtT
"['Cenlar FSB', '3.0']",https://www.cenlar.com/,Business Systems Analyst III,Remote,$81.48 Per Hour(Employer est.),"Start something good. Empower your career. Become an employee owner at Cenlar.
Employee owners have made Cenlar the nation’s leading mortgage loan subservicer. Our unique culture is defined by our core values of respect, trust, integrity and care. Company ownership, a promote-from-within philosophy, and opportunities for continuous professional growth make Cenlar a great place to launch or boost your career. Consider this opportunity to join our team as Director, Technology Risk Management.
The Director, Technology Risk Management assists the Chief Technology Risk Officer (CTRO) in overseeing the establishment of Cenlar’s Technology Risk Management function and implementing the second level Line-of-Defense (LOD) oversight of Cenlar’s Information Technology (IT) related functions and activities across the company. This position maintains a close partnership with IT leadership and ensures appropriate governance over the risk associated with IT resources and systems.",30d+,
"['CorTech', '4.5']",http://www.cor-tech.net/,Business Systems Analyst III,Remote,$81.48 Per Hour(Employer est.),"Systems Analyst - Informatica

The company has embarked on a Digital transformation. We are moving to SAP and need your help to get us there! Want to use your technical skills and love of process to bring this new capability to Check out this opportunity!

Position Summary:

As a part of our transformation, we know that data is at the center of everything that we do. We seek a dedicated professional to help take us to the next level of our Master Data Management (MDM) journey. We depend on our Systems Analysts to investigate data, seeking opportunities to reduce duplicates, improve the quality and discover anomalies that may exist, and then create the specifications and designs that will allow us to develop intuitive solutions.

Job Responsibilities:


Job Requirements:

Desired Skills:",7d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018469fed0aa9dc247e600debc38&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_54d27ff1&cb=1668225640079&jobListingId=1008257876267&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkvtk72kuhi801-1ghkvtk7jj4hn800-cd783575d5393ac2--6NYlbfkN0ATCZlh4at3dJuJ3v9QYE_c1VOYF6jG6qQshNoY64OlFGro_RWsbK-5x6dqJxWmdNs8RRRGRL60ccYFPxQd1xbAFD6iOrMtTVimL2Lq9I4Pw_YeHy20jTr-hhUyiEx9e-uDNihT0utVC3w96MPrzf_fuZ5qDEOAvklRtcz8wooeNFYFPXSSPQAbxZZKjU-JgjDnoiSyu2oNRkdFENjEI9PJIktmAIwE83RXU7A215OgHUGl_E6uQ6QJL4XShWpI9jxg53TQtFxKOqZ74gX7iJue-LojcGIM3ipsve6OFJoFApRmVR0m5vqqu3hd4d5uaOtOwfgKkWzAWYcOmB8zuaFZ2SlRyQt39_qV4JtOtfrstmZOaXcd_ypVPMhWIlcKNcopeG9HU1LgiRqpm0gYtFjgZViPyCumvcpVN9VWlm0rP0R-8xrpNmb2X0upXI2JDyEvHLTYbfIIbr9bGMTkPd66HdWCJ71KrEK-xClqt2Lf5s-HVUhOh0guPM9PD6NKiV69ACFTYDalrNrGolLoWvSVmWpD7QRFVJ30C8XbCANsAfjzw2-mFaxTNVj1TV8EU9aVC9-D5QpfagG7QeRvOgvfIuw84IKSc8k%3D
"['DeVry University', '3.7']",http://www.devry.edu/,Business Systems Analyst III,Remote,$81.48 Per Hour(Employer est.),"DeVry University strives to close our society’s opportunity gap by preparing learners to thrive in careers shaped by continuous technological change. Through innovative programs, relevant partnerships, and exceptional care, we empower students to meaningfully improve their lives, communities, and workplaces.
When you apply for a DeVry University career, you become part of an institution that dates back to 1931. Our colleagues are passionate about higher education and shaping the future of today’s learners.
Opportunity:
As a Data Solution Architect, you will expand DeVry University’s use of data as an asset and enable strategic goals and objectives through a wide range of responsibilities and duties.
**
*Responsibilities: *
**
*Strategy & Planning (20%)*",9d,
"['ALTA IT Services', '4.0']",http://www.altaits.com/,Business Systems Analyst III,Remote,$81.48 Per Hour(Employer est.),"Job Title: IT Systems Analyst

Location: ALTA is supporting a contract opportunity working remote from anywhere preferably in either the EST or CST time zone for a client located in the Cincinnati, OH area

Position Summary:
As a part of our transformation, we know that data is at the center of everything that we do. We seek a dedicated professional to help take us to the next level of our Master Data Management (MDM) journey. We depend on our Systems Analysts to investigate data, seeking opportunities to reduce duplicates, improve the quality and discover anomalies that may exist, and then create the specifications and designs that will allow us to develop intuitive solutions.





6",7d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018469fed0aa9dc247e600debc38&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b91bf90f&cb=1668225647052&jobListingId=1008258181459&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkvtk72kuhi801-1ghkvtk7jj4hn800-7cb2c0cccde3d4ca--6NYlbfkN0AXtvPDqDev6liskt-h_3vAUEMM26GmMOlWYCAn-kvNiXTWhOpXUsJAjGAig0pzkvZMHr2iZQoCfaAwT5Rnz47vOGSRkpEsO73Zp2CWMyK-gsSgfRVTNfPo3CvBIj-L9r-sJsahSe7zLU29aKrlqzWQtE6J8Nij82W3--lFLlAiNLCxoGiPVnKrNu94usF2Nz3jseyuq9Na8SkvqWjRe9Ajeg0BbN266C0yztvc7Kz_dEhkw3IC42JGhliV7TNnEnjRJyZ2LbvhXTg4Gwd4CaA_WVuF2xBn97a1sqKxD6jY9t9OFnOsGcnbQF39nz2n_0ARsQ8wrCHhGPGYRgKJt8tV-MSGQksC6hRB9EdSrINCmes4a27Uc5fyyK9gQgq1_zlnm8GACFQJdWUiPHxw3ruAIVOL7FT6EDtJSUajj7kpsK492ZKz_vI_WfaJMxCFQDngx9oo8EukSg0yiOMrwcDiNehOjZSl1GOJYwfa1n7gtVHGJ7BY59SUbTum3RYFdd4MaeMOr1atHMZoWlT7xizSNV5fKlRQ7zsDoFYKwaie86IrI7H49-EcbTH3nBJnkAQHTuTd_5zFyhui88-Ff_2-
"['Vaco', '3.7']",http://www.vaco.com/,Business Systems Analyst III,Remote,$81.48 Per Hour(Employer est.),"IT Compliance Lead Analyst, Enterprise Fortune 500 (REMOTE)
PLEASE NOTE: This is a remote 6 month contract-to-hire opportunity, must be located in the United States (MIAMI,FL Preferred) unable to sponsor now, unable to sponsor in future, no c2c, no third-party inquiries, no 1099, no recruiters, must be able to work w2. Serious inquiries only please.
Compensation: w2, hourly rate: $70-80/HR (depending on experience)**
You will lead IT Audits & cyber control design for information security initiatives, this includes the source authorization for corporate standards; Sarbanes Oxley (SOX); Control Objectives for Info and Technology-Related (COBIT); National Institute of Standards and Technology (NIST); &/or International Organization of Standards (ISO). The IT Compliance Lead Analyst handles remediation projects, plans & activities for risk assessment and improvement on overall routine and control activities.",23d,
,,Business Systems Analyst III,Remote,$81.48 Per Hour(Employer est.),,2d,
