Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['General Dynamics Mission Systems, Inc', '3.9']",http://www.gdmissionsystems.com/,Entry level Embedded Software Engineer,"Dedham, MA",$85K - $95K (Employer est.),"Basic Qualifications :
Bachelor of Science in a STEM (Science, Technology, Engineering, Mathematics) related field is required. Agile experience preferred.

CLEARANCE REQUIREMENTS:
Department of Defense Secret security clearance is required at time of hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position:
Imagine building your career by developing the solutions that support the mission of our nation’s service members, intelligence analysts and first responders. That’s the challenge that’s waiting for you at General Dynamics Mission Systems. Here you have the opportunity to redefine innovation and excellence for the world. Are you ready? Then make a career move that makes an impact at General Dynamics Mission Systems.

We apply advanced technologies such as Artificial Intelligence, Blockchain, AR/VR, Cloud Native and Quantum Physics to solve our customers’ missions in cyber, RF, undersea, interstellar space and everything in between.

Working successfully within a team, the Software Engineer will assist project leaders in the research, design, development and testing of software and tools, to include development of new work products or enhancing existing applications, systems or embedded products. This may include coding, testing and documenting software solutions to advance our technology solutions.



Salary Note: This estimate represents the typical salary range for this position based on experience and other factors (geographic location, etc.). Actual pay may vary. Combined Salary Range: USD $85,000.00 - USD $95,000.00 /Yr. Company Overview:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846b69fd10aad5b81edc630548&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7c3bb08f&cb=1668249426470&jobListingId=1008184507990&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlmjva4jij6801-1ghlmjvamirkn800-b80d08bd7ce2c8d9--6NYlbfkN0B5xS56b1g7mvncPywWyZDp-BPUVgtUsCCxDsF8tAuebrqhsTU-_oa2HSoHs5zjdrSHLZjgB-Ra2QGkmfcGZMI0YPHYXjM8XPvE1N_B6bpqKcaueCExxOBhW3hiwTn-XfZ93OZqyhPNlfmWTtk4HgAuoRajb_zPdJJ6GO83D5-kfu2Y5BlZYJcQGbVmumv3rNNDKmdZpovmURXQQhw9o7-lQ0urI9_JZ8hsi1e2FuJ6BooLSaRaIvgL6vYRJWMOeQzRnAQH-WuaY1gfjwE3dYW_oSN0xv4fnT9UE8PlFADQE7UURnegTIvji3Hz2WFeywco25O2gbfi43YcITMAJk3t2h4m1KK3wpKCfo9PDZFupIRtU_MOuoSTmd0c-1_-bKseNaVNpZ_EngyEFWPvbwV62C-i0qaZjJy6NCIPFg0yA2lTyqI2Akpbv90CuRxeF-7Skg5wOOIVrHx8UL5n3lsaOcxyC1qEKkfyuyEZGSYLFgvwUNkp3RlhtfG2OVaqGo3K4-JVIa0cdy9Eg_N3k62QBQpATHa4NLh99fm0EgEgBRo6miHzy9nTLhPl7AHzx7UfYC7b-WvO1is-HVhaznjE5poTX2z1idLLM81SqLggVyCxkkkTAWgYBNZ8EwkoOVHaVptBRj9nrtAC85rwh1-cjAo7D6wPYRqoCf4_WMVPz23Z4vAwEhT5YBsrVe5QdDwTk14nbyVU9zVkR4IwKFTAYIn4_j8JUgzhGZ-DzkOgmA%3D%3D
"['General Dynamics Information Technology', '4.0']",http://www.gdit.com/,Entry level Embedded Software Engineer,"Dedham, MA",$85K - $95K (Employer est.),"Clearance Level
Other
Category
Software Engineering
Location
Remote, Based in the USA

Travel Required: Less than 10%
Requisition Type: Pipeline
General Dynamics Information Technology is seeking numerous candidates to fill multiple-level Appian Developer roles on a new contract to support the Food and Drug Administration (FDA) and their critical mission needs.",15d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846b69fd10aad5b81edc630548&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6991b7c5&cb=1668249429224&jobListingId=1008238714224&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlmjva4jij6801-1ghlmjvamirkn800-e34ab090cc1314ca--6NYlbfkN0AUQZ8Asas8Wm1wDdnz5O06L7oB7puhrAg0PYDUnAGveRI2UpZ792dDT-aa0VKOkLHDGkPskIBYPDTIcLR_k3CyYfzfJazCBz3N3VSoAokP_JJ6k4hc6hTBaLs2xkO2BOf5dQtMahbauJnvGawDVia16KzIeZGccvaNRBTYj3LxcM_meywGa_wbuDlWKI4qmx2VdQ0IaMhxud2gtL38Drt0LTQTQnsWRh4q_WuOIms4Gf-MpMG43o9rcidqJpHESUsG3DiJDHOlcRwYO4OYQTJIOb7cxcaaFDWPIxEuYO2GbUa2j4MlIEQZ2czAJ2j7al7HuyhWFDIfLDtzFkJOxJxqCp1A7urI2WJ0eY1rr0mozaUf5x-swDbKfX4LI5UMm4oFhbIEPZQbMr6j4svP0jg37uw3exMdhMtYPP-x1k0bJJjOaSeTDQCedR8U4gR4-1q0Bd27_m5dDuRwlo7eGyeYDQKHVwyyxMmPUO3YRJo7ppZJQmDS7YUlWGXz21pEmo6c97ljHWSpa74Pg3B9QHZOKd-lVBxdt2Yhc-JD-Y4DBl7Y9rAGZgo2CO-0XY4bMyg%3D
"['General Dynamics Mission Systems, Inc', '3.9']",http://www.gdmissionsystems.com/,Entry level Embedded Software Engineer,"Dedham, MA",$85K - $95K (Employer est.),"Basic Qualifications :
Requires a Bachelor’s degree in Software Engineering, or a related Science, Engineering or Mathematics field. Also requires 5+ years of job-related experience, or a Master's degree plus 3 years of job-related experience. Agile experience preferred.

CLEARANCE REQUIREMENTS: Ability to obtain a Department of Defense Secret security clearance is required at time of hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position:
“You can’t take your data back once the bad guys take it!”

Our job is to make sure that our country never needs to! As a Software Engineer, you’ll work on the country’s most advanced data protection systems implementing Cryptographic Algorithms, Secure Operating Systems and Software Development Tools for our ground-breaking software definable cryptographic platform, the third generation AIM processor.



Salary Note: This estimate represents the typical salary range for this position based on experience and other factors (geographic location, etc.). Actual pay may vary. Combined Salary Range: USD $107,600.00 - USD $119,400.00 /Yr. Company Overview:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846b69fd10aad5b81edc630548&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1d82830e&cb=1668249432226&jobListingId=1008045648739&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlmjva4jij6801-1ghlmjvamirkn800-6bf2670624807f7e--6NYlbfkN0B5xS56b1g7mvncPywWyZDp-BPUVgtUsCCxDsF8tAuebrqhsTU-_oa2of0bxoViCG8RnKgXGLBgATtxSUty1cor4yinw6zMvfh5cYyogVhA28xbxBrHtzzy6dcodJHXpOtglwCPGcFuU-pIy_90RmAjpuHsvKUvqSRu0BJXimMEn7yYXsPyL1QLCSGn7vBKcM2n-g9TiHN2xkR99r1gyOZn64ZnsQgNPJbVrXpj6-dFu6id6LKKzA8hHGjxPn61o0kKgZwA6jZXNpyJS7F2uQOhIqzhLQQxkSNUNuZqVjORXURa2rD4sMYrnP5gxzNO_Tq6Z85s5I0IwWOiNDFg_Ok-5gk_XHlIUDPsuSjILa8-Kt5Y2bkSBHelJ5CRk68v5W1JpgtLZZlyTILe-o2eqcT6KksKppAlhXyuUOONKlqIccMYqJIpJcQlf-E8NyBLLFLtrmWlIObDZ2a501rLimWjdZZnh3md6R5kHwZibvmmFJSvQzhLvQHuTDlcaxm-TvdX4bRaDes6zfqc8hPA24GAkqJ7uoPMOFZsG2lrNhnLMjLG1Ob7lBdbleZYQi6ePmmrJIsRI_s3TdMT4nhJjrQz5we8_61Ujh5UL9VsWabLtX7GxWaotmxYW2s0_4hGSS5fe7FbNGN2fVZMpj9gAMMOhANWq9MHVrTwveB4pGTI4j6601yJx9ZVrJv9mrm0bBajjv4iX_OdrSBt8b0_Dp-YNEcBu2Pf_hFYai4NMLy4Tg%3D%3D
"['General Dynamics Mission Systems, Inc', '3.9']",http://www.gdmissionsystems.com/,Entry level Embedded Software Engineer,"Dedham, MA",$85K - $95K (Employer est.),"Basic Qualifications :
Requires a Bachelor’s degree in Software Engineering, or a related Science, Engineering or Mathematics field. Also requires 5+ years of job-related experience, or a Master's degree plus 3 years of job-related experience. Agile experience preferred.

CLEARANCE REQUIREMENTS: Department of Defense TS security clearance is required at time of hire. Candidates must be able to obtain a TS/SCI clearance within a reasonable amount of time from date of hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.

Responsibilities for this Position:
Help make the technologies, products and services that make a difference. That’s the opportunity that’s waiting for you at General Dynamics Mission Systems. We help our nation’s heroes keep our nation safe by creating solutions so advanced, they redefine innovation for the world. It’s an amazing challenge. And it’s waiting for you now.

We apply advanced technologies such as Artificial Intelligence, Blockchain, AR/VR, Cloud Native and Quantum Physics to solve our customers’ missions in cyber, RF, undersea, interstellar space and everything in between.

As a Senior Software Engineer, you’ll perform software requirements analysis, participate in research and design, and develop and test software and tools. From inventing new products or enhancing existing applications, your talent will be front and center.


























Salary Note: This estimate represents the typical salary range for this position based on experience and other factors (geographic location, etc.). Actual pay may vary. Combined Salary Range: USD $113,000.00 - USD $125,400.00 /Yr. Company Overview:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846b69fd10aad5b81edc630548&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_79663329&cb=1668249435119&jobListingId=1007970840270&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlmjva4jij6801-1ghlmjvamirkn800-d32bd8449cc45b1d--6NYlbfkN0B5xS56b1g7mvncPywWyZDp-BPUVgtUsCCxDsF8tAuebrqhsTU-_oa2KP7wcbeoKgM77brPUECnsPByttN444VuLhI1FOthfj5rg-u8E83iqlUZLtbJ1Iab01eAkc_h1CCXYTQ8m8bZHwixVNh6SnyqPRrHzWZ-AKYqJk0--j9yCo0oDP5guMFzZC74y5IYmEiHZgw4O1dP3BwmsC0nAwqUDv92L13R1mGC8PFM-y6OQ172WaP29dKFcns5MLzX8SCMy9l-HGqxPnIOOrIus3zJClZzCC3vNoTEA-mAM7KBtMvcVeLuPb_vRDowRJweRN6-0Ha6gr39c4_A-aZFcBSM8koSmMfedtdzFRMJpwhOguVzSwdcgpeWqXQAYuEOwH4WBJ0YsSyVsSBvrBmuQrtFxR_GfNU5yETeiqlgPQCbRlDhaibsf7bxozcN6Ij7ufRCu7m9cKa2o8YYt84eUFVpv3y44_TwLnz0RktT3l_V4seOahkOkdvynAcXpSgfD_0LsM-9_mmjDl_qGZYdP07cRe9h2xn0xDmgDt1VwGCjCn-M7tknLFGYlRGB6RbKa7TsesWrdJkmEVS8vlVZBkEijCr1DwGH1C3D4FW8GOC8yz6VBcc2a9OfUHLncnu3UhogU0TgIkZZMxCGJHOhRvKaVfhHJ-eB9kx4-4TPb0T6RV4nHFNH7YM8NozQUUMkl7wxv9iXmM8d0iKccADU4bLkI8GL4v7u2oD3R1mAWMFWxg%3D%3D
"['General Dynamics Information Technology', '4.0']",http://www.gdit.com/,Entry level Embedded Software Engineer,"Dedham, MA",$85K - $95K (Employer est.),"Clearance Level
Top Secret/SCI
Category
Web Development
Location
Fort Meade, Maryland

Travel Required: Less than 10%
Requisition Type: Regular
GDIT is seeking candidates to support the US Army Intelligence and Security Command (INSCOM). Under the I2TS 3 task order, INSCOM ensures reliable, uninterrupted availability of Command, Control, Communications, Computers, and Information Management (C4IM) including: networks, hardware, software, engineering, and specialized tools at the point of customer need to support INSCOM's mission. INSCOM and its MSCs provide the enabling layer to connect the Army and its tactical formations to defense and national intelligence agencies via tactical networks. The ability to provide mission critical intelligence is dependent on the successful use of its information technology (IT) networks worldwide.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846b69fd10aad5b81edc630548&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2193b45a&cb=1668249439182&jobListingId=1007886953200&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlmjva4jij6801-1ghlmjvamirkn800-3a7aea82b2df51b0--6NYlbfkN0AUQZ8Asas8Wm1wDdnz5O06L7oB7puhrAg0PYDUnAGveRI2UpZ792dDT-aa0VKOkLHk-dT34-Oxbwpuh6cXI9li8njsy8mrGZitBTuoS5FHk1BelCSfQgKgmIcnrKnrnONiPWaMuDyVdoEA1fKqhzc208lijWIb-ge-cm1al842yhq_wcc9oPSasF5-7o2wmzVk6yLSLzSJlka-mw64USIRERBGn3TEt1rfPOnggNkJE7ZQhbry2pzQI0qcrM_6lQvLSDDszd-hrrkgHCMiAru1eywnxXuGPRl-IaxBbumH3W-cpIw7kdAjeAilaoTH6D96BF5k6_rVheR7YrCEZk4NtY9mq14fJv3dCFhWNEFjEvL3erRvT16MEgMdQC27Okbn67rCJiSlFrXS3QfcpjSB-anooFkW93nhMjoAsp1RSFUyMhhyGrn0FfMrIRgbVg4FXuFvwSNoCm8QjKG3k2RgJ5xrAdMV05LtUj8hUg-BZc77hfSyHLbFRq-h2UnD4qbYHJ3rrFwLY6Das8INzf5Vlc9RUOPSyiHxr-OC1wgCY_Zf0jeLFAhk
"['General Dynamics Information Technology', '4.0']",http://www.gdit.com/,Entry level Embedded Software Engineer,"Dedham, MA",$85K - $95K (Employer est.),"Clearance Level
Secret
Category
Software Development
Location
Philadelphia, Pennsylvania

Travel Required: 10-25%
Public Trust: None
Requisition Type: Regular
GDIT is seeking a Software Developer to help support our Code 50 White Collar program.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846b69fd10aad5b81edc630548&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8874cf49&cb=1668249443532&jobListingId=1008010414745&jrtk=3-0-1ghlmjva4jij6801-1ghlmjvamirkn800-bf1e8b335ccdc378--6NYlbfkN0AUQZ8Asas8Wm1wDdnz5O06L7oB7puhrAg0PYDUnAGveRI2UpZ792dDT-aa0VKOkLGzyn5lRV_qLXoh_3DVb0sfWVu8igaYyt-fjlXfM2YdmsMspPhl5GJ0XKEsX52QUYv4RAqU-Ox8jfzkhHfZKBNx3zMAVzOYLJ2c0TNLzMJvb84FtKHJhpQWmhUO91CYc91ZzFiU5OgJXUVWUMd4g6Gr8oK5sT86xmx4n-_9JQxu8PafSj-CJQBSM7PyLOG6dd0TmAEws7BwG_bsvmt3Uni17FNS4UOY4jMrtolqkocfjOZJSuHr-H0ogeJL8DRBTT0yLJ34vqDcueXeBhuyMnH2ANpBIWwSLJlzZZAxVvulkWidVbUrr3DZxlKV3WthcoE33J5KHLkaKpApr-ACFJgTk8ioeJSdfmDbKngDDPdlQ4oZ4dK42ALpRnLUgZPyYdXJOofWbSt4tJGks-9sSbEKiIe2MfHpHekN2TZ2HsjvJxPA6ZMCR9zI6W4JKlgsxsbNicGsR2kXmdP6GbaRM8kuEGLZ5la0GEhb9PkCLaUesl487mBfsxjT0dAVWL9sizc%3D
"['General Dynamics Information Technology', '4.0']",http://www.gdit.com/,Entry level Embedded Software Engineer,"Dedham, MA",$85K - $95K (Employer est.),"Clearance Level
None
Category
Software Development
Location
Remote, Based in the USA

Travel Required: None
Requisition Type: Pipeline
Seeking a Tableau Developer to support a large civilian agency to develop a Proof of Concept (POC) for a workforce management application. The POC will be developed using an Agile based iterative approach using Microsoft Excel, Microsoft Access and Tableau with an initial target completion timeframe of three months. The project will require frequent interaction with multiple stakeholders and agency subject matter experts. Outputs from the POC will be used by senior management for decision making purposes.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b69fd10aad5b81edc630548&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d38ec4c6&cb=1668249446063&jobListingId=1007910266635&jrtk=3-0-1ghlmjva4jij6801-1ghlmjvamirkn800-4f483ffeee63f828-
"['General Dynamics Information Technology', '4.0']",http://www.gdit.com/,Entry level Embedded Software Engineer,"Dedham, MA",$85K - $95K (Employer est.),"Clearance Level
None
Category
Software Development
Location
Remote, Based in the USA

Travel Required: None
Public Trust: Other
Requisition Type: Regular
At GDIT we build cutting-edge applications that help the end user accomplish their mission.",3d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b69fd10aad5b81edc630548&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6a313203&cb=1668249448033&jobListingId=1008265993191&jrtk=3-0-1ghlmjva4jij6801-1ghlmjvamirkn800-50d46771902a8389-
"['General Dynamics Mission Systems, Inc', '3.9']",http://www.gdmissionsystems.com/,Entry level Embedded Software Engineer,"Dedham, MA",$85K - $95K (Employer est.),"Basic Qualifications :
Requires a Bachelor’s degree in Software Engineering, or a related Science, Engineering or Mathematics field. Agile experience preferred.

CLEARANCE REQUIREMENTS: Department of Defense Secret security clearance is preferred at time of hire. Candidates must be able to obtain a Secret clearance within a reasonable amount of time from date of hire. Applicants selected will be subject to a U.S. Government security investigation and must meet eligibility requirements for access to classified information. Due to the nature of work performed within our facilities, U.S. citizenship is required.
Responsibilities for this Position:
Imagine building your career by developing the solutions that support the mission of our nation’s service members, intelligence analysts and first responders. That’s the challenge that’s waiting for you at General Dynamics Mission Systems. Here you have the opportunity to redefine innovation and excellence for the world. Are you ready? Then make a career move that makes an impact at General Dynamics Mission Systems.

We apply advanced technologies such as Artificial Intelligence, Blockchain, AR/VR, Cloud Native and Quantum Physics to solve our customers’ missions in cyber, RF, undersea, interstellar space and everything in between.

Working successfully within a team, the Software Engineer will assist project leaders in the research, design, development and testing of software and tools, to include development of new work products or enhancing existing applications, systems or embedded products. This may include coding, testing and documenting software solutions to advance our technology solutions.


Salary Note: This estimate represents the typical salary range for this position based on experience and other factors (geographic location, etc.). Actual pay may vary. Combined Salary Range: USD $70,600.00 - USD $78,400.00 /Yr. Company Overview:",2d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b69fd10aad5b81edc630548&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_62eca2d9&cb=1668249450978&jobListingId=1008269545492&jrtk=3-0-1ghlmjva4jij6801-1ghlmjvamirkn800-85669805af80c6e7-
"['General Dynamics Information Technology', '4.0']",http://www.gdit.com/,Entry level Embedded Software Engineer,"Dedham, MA",$85K - $95K (Employer est.),"Clearance Level
Top Secret
Category
IT Quality Assurance
Location
Fort Belvoir, Virginia

Travel Required: Less than 10%
Requisition Type: Regular
GDIT is looking for an IT Quality Assurance Analyst to provide continuous monitoring and improvement on all new and modified software applications related to the Defense Stockpile Management System (DSMS) Support contract, ensuring that applications meet high quality standards and functionality throughout their software lifecycle",3d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b69fd10aad5b81edc630548&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_20af7f75&cb=1668249454912&jobListingId=1008265992752&jrtk=3-0-1ghlmjva4jij6801-1ghlmjvamirkn800-2f7ca85da2131996-
