Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['General Dynamics Electric Boat', '3.3']",http://www.gdeb.com/,Entry Level Software Engineer,"Groton, CT",$58K - $83K (Glassdoor est.),"Overview:
Software Engineer
Entry Level Software Engineer

The Integrated Power System Directorate supports the development of platforms for the All Electric Navy. This technology is focused on electric drive propulsion, electric power generation, and advanced power systems. This technology is part of the continuing trend in making ships more electric, more capable, and more affordable. Electric Drive enables COLUMBIA class submarines to be the ultimate guarantor of U.S. National Security as they will constitute the most secured and survivable portion of the U.S. Navy’s National Deterrence.

The Integrated Power System’s - Main Propulsion System Modeling, Analysis and Software Team is in search of an entry level software engineer to support production of real-time computing systems. The software engineer will work as part of a team to support all aspects of the product lifecycle, from the derivation of requirements through the obsolescence management of delivered systems. The individual in this position will adhere to software development best practices and deliver a quality product that conforms with defined specifications and execution schedule. The software team is responsible for the development of real-time operating equipment that support a full scale prototype test facility, component level acceptance and regression testing, shipboard test programs as well as on-going development opportunities for the use of new technologies.

Qualifications:
Skills:",9d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846bc0bfe1943ff656a5631cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b18dcf00&cb=1668255113096&jobListingId=1008253623877&jrtk=3-0-1ghls1g0akujb801-1ghls1g0tg4es800-9b049961c2f50f8d-
"['General Dynamics Electric Boat', '3.3']",http://www.gdeb.com/,Entry Level Software Engineer,"Groton, CT",$58K - $83K (Glassdoor est.),"Overview:
This position is for a computer programmer/data analyst to support Engineering Planning schedule development. The successful candidate will analyze data, develop processes, maintain programming applications, and produce reports/dashboards combining data from various tables and legacy execution systems. Employees will use this output to interface with all levels of management for planning and monitoring work, performing audits, and providing corporate forensics.
Responsibilities include:

Program applications, develop specifications, develop databases, write queries, and create reports/charts/dashboards
Qualifications:


Skills:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846bc0bfe1943ff656a5631cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_99f684e5&cb=1668255114889&jobListingId=1008193705963&jrtk=3-0-1ghls1g0akujb801-1ghls1g0tg4es800-a7a4b419b036c846-
"['General Dynamics Electric Boat', '3.3']",http://www.gdeb.com/,Entry Level Software Engineer,"Groton, CT",$58K - $83K (Glassdoor est.),"Overview:
Engineers of various experience levels supporting a multidisciplinary team designing, building, and maintaining the ship control systems for the safe operation of US submarines. We seek highly motivated candidates across multiple engineering disciplines including systems engineering, electronics hardware engineering and software engineering. Candidates will either support simulation system development or software test to support verification and validation of complex integrated electronics systems.

Responsibilities may include but are not limited to:
Software development and peer reviews
Test plan development, unit test, code coverage testing
Qualifications:",14d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846bc0bfe1943ff656a5631cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_70744b67&cb=1668255117197&jobListingId=1008242278113&jrtk=3-0-1ghls1g0akujb801-1ghls1g0tg4es800-aaadd9999ac72624-
"['GE Corporate', '3.9']",http://www.ge.com/,Entry Level Software Engineer,"Groton, CT",$58K - $83K (Glassdoor est.),"Job Description Summary
Would you like to help improve the lives of billions of people? Are you excited about contributing to the Future of Flight, Precision Health and Decarbonization? As a Software Engineer at GE Research, you’ll work on multi-disciplinary teams to deliver software that brings value to the real world. You will help identify customer needs, propose technical differentiators and develop modular, scalable software solutions that bring value to society. Connect your passion to purpose and help move, cure and power the future!
Job Description
This is a hands-on software engineering position. You will work on fast-paced, multi-disciplinary teams to solve technical challenges. You will collaborate with scientists/engineers, GE business units, government agencies and end-customers to devise software that meets program requirements. You will be provided ample opportunity to learn on the job, shape your career and define new research areas.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846bc0bfe1943ff656a5631cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b7429f6c&cb=1668255118693&jobListingId=1007733846250&jrtk=3-0-1ghls1g0akujb801-1ghls1g0tg4es800-d8268e8d001ea0bc-
"['General Dynamics Electric Boat', '3.3']",http://www.gdeb.com/,Entry Level Software Engineer,"Groton, CT",$58K - $83K (Glassdoor est.),"Overview:
Department 454 Tactical Software Engineering applies software and computer engineering skills to specify, design, develop, integrate, test, and subcontract manage software development for US Navy Nuclear Submarines.

Collaborating with systems engineers, tactical submarine software is developed and maintained for a variety of submarine platforms and control systems such as: Ship Control, Combat Launch Control, Weapons Stowage and Handling, as well as other specialized embedded real-time safety critical shipboard and database systems, simulators, and land based trainers. Knowledge of the software development lifecycle is required for this position.

Additional responsibilities include software research and development, preparing presentations, participating in NAVSEA design reviews and interfacing closely with hardware and system engineering departments.

Qualifications:",7d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846bc0bfe1943ff656a5631cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e69d2725&cb=1668255122770&jobListingId=1008258599424&jrtk=3-0-1ghls1g0akujb801-1ghls1g0tg4es800-919ded205355a5bf-
"['General Dynamics Electric Boat', '3.3']",http://www.gdeb.com/,Entry Level Software Engineer,"Groton, CT",$58K - $83K (Glassdoor est.),"Overview:
Dept 448 Software Engineer – Trainers

The D448 Trainer group installs, upgrades, and maintains Ship Control Operator Trainers (SCOTs) and Ship Control Maintenance Trainers for Los Angeles, Seawolf, Ohio and Virginia class submarines. The trainers are used to certify pilots for each of these different classes in operation and maintenance of ship control components. The trainer group consists of software and hardware engineers that design and modify complex mechatronic systems.
The D448 Trainers group has an opening for a software engineer to develop, troubleshoot and implement complex software systems on full motion ship control trainers. Ship control operator trainer software engineers serve as team members to solve emergent problems, implement fixes to improve training, perform upgrades, and introduce new technology to the training community. Ship control operator trainers are used to certify and train sailors on the ship control system outfitted on a motion platform.


Qualifications:

Skills:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846bc0bfe1943ff656a5631cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_58cec420&cb=1668255125317&jobListingId=1007643488495&jrtk=3-0-1ghls1g0akujb801-1ghls1g0tg4es800-b5a49681fcdb9f31-
"['General Dynamics Electric Boat', '3.3']",http://www.gdeb.com/,Entry Level Software Engineer,"Groton, CT",$58K - $83K (Glassdoor est.),"Overview:
Department 422, Environment, Safety and Occupational Health (ESOH) engineering ensures that potential hazards are identified during technology development, design, construction and maintenance activities. The ESOH group proactively identifies risks to people, equipment, and the environment inherent in design, operation, and construction, and determines sufficient means to mitigate the risks.

The system safety engineer must perform technical ESOH analyses on submarine ship systems, components, materials, drawings, specifications and other design disclosures in accordance with MIL-STD-882E and other requirements, and develop analysis reports that identify and document safety hazards and environmental impacts.

The role of this position is to perform software safety engineering on both new and modified submarine electronic, electromechanical and electrohydraulic systems. Tasks include conducting and documenting safety analysis of software controlled system design; system requirements, software requirements, code analysis, test plans, test procedures, and test results. Position requires the engineer to work independently and take initiative to learn submarine systems and associated software safety concerns as well as to work effectively in a team environment with system hardware and software developers.
Qualifications:
Skills:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846bc0bfe1943ff656a5631cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_754a6beb&cb=1668255127297&jobListingId=1008015578464&jrtk=3-0-1ghls1g0akujb801-1ghls1g0tg4es800-4babcdd774609035-
"['Portland General Electric', '3.4']",https://www.portlandgeneral.com/,Entry Level Software Engineer,"Groton, CT",$58K - $83K (Glassdoor est.),"At PGE, our work involves dreaming about, planning for, and realizing a smarter, cleaner, more enduring Oregon neighborhood. Its core to our DNA and we haven’t stopped since we started in 1888. We energize lives, strengthen communities and drive advancements in energy that promote social, economic and environmental progress. We’re always on the lookout for people passionate about leading and being a part of teams that are advancing innovative clean energy solutions that are also affordable and accessible to all.
Manager, Application Development - IT Grid Operations
Job Function Summary
IT Grid Operations manager is responsible for leading the outage management team, providing technical expertise and operational leadership to maintain and grow outage platform for business and customers. IT Grid Operations manager is responsible for owning all platform & technology decisions for outage management at PGE by providing technical leadership & direction, timely coaching, and feedback to employees. They are accountable for maintaining & supporting end to end Outage management system, real time ADMS, field operations and customer applications’ integrations for outage information, which are mission critical 24X7 IT applications.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846bc0bfe1943ff656a5631cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f9816a0d&cb=1668255128998&jobListingId=1008183790555&jrtk=3-0-1ghls1g0akujb801-1ghls1g0tg4es800-880eff0ea748190a-
"['GE Corporate', '3.9']",http://www.ge.com/,Entry Level Software Engineer,"Groton, CT",$58K - $83K (Glassdoor est.),"Job Description Summary
As a Cybersecurity Engineer – Embedded Systems, you will have the opportunity to architect and develop state-of-the-art embedded systems for real-time controls and communication applications in the aerospace, power generation, renewable energy, healthcare, and/or defense industry. You will lead and contribute to R&D programs aligned with GE’s businesses such as Aviation, Power, Renewables, or Healthcare as well as with U.S. Government Agencies such as DOD, DARPA, DHS, and DOE. The technologies developed under these programs will be matured and transitioned into GE business products. Are you ready to join our team of technology enthusiasts to help make GE’s industrial assets safer and more secure to protect the world’s most critical infrastructure?
Job Description",4d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846bc0bfe1943ff656a5631cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ea5f5839&cb=1668255132924&jobListingId=1008263143853&jrtk=3-0-1ghls1g0akujb801-1ghls1g0tg4es800-78dad8699e0dfe97-
"['GE Corporate', '3.9']",http://www.ge.com/,Entry Level Software Engineer,"Groton, CT",$58K - $83K (Glassdoor est.),"Job Description Summary
As a Cybersecurity Engineer - Embedded Systems, you will have the opportunity to architect and develop state-of-the-art embedded systems for real-time controls and communication applications in the aerospace, power generation, renewable energy, healthcare, and/or defense industry. You will lead and contribute to R&D programs aligned with GE’s businesses such as Aviation, Power, Renewables, or Healthcare as well as with U.S. Government Agencies such as DOD, DARPA, DHS, and DOE. The technologies developed under these programs will be matured and transitioned into GE business products.
Job Description
Roles and Responsibilities
#LI-Remote - This is a remote position",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846bc0bfe1943ff656a5631cd6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_266a482b&cb=1668255136752&jobListingId=1007560230587&jrtk=3-0-1ghls1g0akujb801-1ghls1g0tg4es800-4385dd69639ea239-
