Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['General Mills', '4.1']",http://www.generalmills.com/,.Net Developer - US Remote Eligible,"Minneapolis, MN",$53K - $75K (Glassdoor est.),"Job Description:
ADVANCED DEVELOPER, APPLICATIONS:

WHO WE ARE:
We’re passionate about food and driven by data.

Do you want to impact our future through data, analytics and innovative technology? Do you thrive on leading big things and making it happen? Bring your passion, expertise and problem-solving skills to the table and make an impact.

General Mills is reshaping the future, and technology & data play an important role for us. Your technology experience will help us get the right solutions at the right time, every time. As one of the world’s leading food companies, General Mills operates across the globe with more than 100 recognizable consumer brands, including: Cheerios, LÄRABAR, Pillsbury, Yoplait, Annie’s, Totino’s, Epic Provisions and Blue Buffalo.


Company Overview:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469101f65acff43c371884258&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c4395b1d&cb=1668210002497&jobListingId=1008135964621&jrtk=3-0-1ghkh07stma7e801-1ghkh07thi7nt800-10a88260317f8156-
"['General Mills', '4.1']",http://www.generalmills.com/,.Net Developer - US Remote Eligible,"Minneapolis, MN",$53K - $75K (Glassdoor est.),"Job Description:
AUTOMATION ENGINEER, CYBER SECURITY

OVERVIEW:
As a member of Cyber Security Engineering & Operations team, you will be responsible for new development and automation across a wide range of cyber security platforms and projects. We will empower you, whilst you leverage your creativity to propose and implement code optimized services and integrate solutions with existing cyber security controls and capabilities, while keeping up to date on new and emerging technologies. You will be accountable for developing solutions, recommending optimizations of current services, maintaining existing platforms and services, and providing technical support in service the advancement of our security automation capabilities. A successful candidate will possess strong learning agility, keen intellectual integrity, and a robust background in automation.



Company Overview:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469101f65acff43c371884258&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dd50d908&cb=1668210007777&jobListingId=1008164580263&jrtk=3-0-1ghkh07stma7e801-1ghkh07thi7nt800-8d678093f146b013-
"['General Mills', '4.1']",http://www.generalmills.com/,.Net Developer - US Remote Eligible,"Minneapolis, MN",$53K - $75K (Glassdoor est.),"Job Description:
The DevOps Cloud Engineer (.Net) role will architect, build and maintain General Mills Cloud DevOps tools and processes to ensure General Mills’ Cloud Infrastructure, Line of Business and Data & Analytics projects have efficient and secure software & configuration delivery pipelines.

KEY ACCOUNTABILITIES:

Technical Competencies
Ownership one/multiple process like Server Patching, Certificate renewal, Incident Trend Analysis etc. Ownership accountability includes Automation of process, Optimizing the process etc.
Company Overview:",15d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469101f65acff43c371884258&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3d987903&cb=1668210010690&jobListingId=1008237552137&jrtk=3-0-1ghkh07stma7e801-1ghkh07thi7nt800-4fb9221734b48579-
"['General Mills', '4.1']",http://www.generalmills.com/,.Net Developer - US Remote Eligible,"Minneapolis, MN",$53K - $75K (Glassdoor est.),"Job Description:
OVERVIEW

The logistics automation engineer will drive the automation and digital innovation pipeline for the General Mills warehouse network, with a goal of improved efficiency that delivers reduced operating costs and improved service resiliency. This role will deliver these improvements for the current fiscal year, scope viable projects for the next fiscal year, and lead the long-term warehousing strategy pipeline. The GMI warehousing network is complex, with over 80 sites, 3 temperature channels, and multiple missions. They range from small public warehouses to 1.5MM sq ft dedicated buildings, all operated by independent 3PLs. This role is a part of the transformation and strategy team supporting logistics operations.

The preferred location for this role is Minneapolis, MN however remote work-at-home applications will be considered

Company Overview:",30d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018469101f65acff43c371884258&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5fae3c85&cb=1668210013205&jobListingId=1008201147296&jrtk=3-0-1ghkh07stma7e801-1ghkh07thi7nt800-06b36c21b6db2328-
"['General Mills', '4.1']",http://www.generalmills.com/,.Net Developer - US Remote Eligible,"Minneapolis, MN",$53K - $75K (Glassdoor est.),"Job Description:
General Mills is looking for a Lead Machine Learning Engineer. In this role, you are a technical thought leader within the data science group focused on leading efforts in operationalizing machine learning based solutions from concept to production-level operational excellence. You will lead initiatives building scalable, resilient, and automated solutions in GCP (Google Cloud Platform) to ensure that models deliver on organizational objectives. You will professionally engineer solutions taking into account notions of risk and FMEA (failure modes and effects analysis).

ACCOUNTABILITIES:
As a technical thought leader, you will be working as a Lead ML Engineer to operationalize key strategic ML models.
Leads complex ML and dev ops projects/programs involving teams of resources spanning the globe including full accountability for stakeholder management and overall project success while adhering to timeline/resource constraints.
Company Overview:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018469101f65acff43c371884258&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_df1145ac&cb=1668210017175&jobListingId=1007601300123&jrtk=3-0-1ghkh07stma7e801-1ghkh07thi7nt800-1c261b774bffed76-
"['General Mills', '4.1']",http://www.generalmills.com/,.Net Developer - US Remote Eligible,"Minneapolis, MN",$53K - $75K (Glassdoor est.),"Job Description:
Senior Data and Analytics Platform Engineer

OVERVIEW:
Work in a fast-paced, dynamic environment, applying learning agility and deep cloud engineering skillsets to implement and mature diverse data platform technologies to accelerate General Mills’ business. Negotiate a complex set of priorities to deliver business capabilities while maintaining technical sustainability. Engage cross-functionally with other technical contributors to provide leadership in the delivery of shared objectives. Collaborate with General Mills architects, product owners and engineers to help shape technical direction for the Data Platforms Team.

RESPONSIBILITIES:


Company Overview:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018469101f65acff43c371884258&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_73d801d5&cb=1668210020167&jobListingId=1008159026574&jrtk=3-0-1ghkh07stma7e801-1ghkh07thi7nt800-25c67d6b6d5aadba-
"['General Mills', '4.1']",http://www.generalmills.com/,"Agile Product Coach (Minneapolis Preferred, US Remote Eligible Considered)","Minneapolis, MN",$49K - $69K (Glassdoor est.),"Job Description:

Agile Product Coach
Digital & Tecnology Project Management Office (PMO) - Agile Transformation Services Team

OVERVIEW:
Digital & Tecnology Project Management Office (PMO) - Agile Transformation Services Team, Agile Product Coach

About the work
The Agile Product Coach will work with Product Owners, Pods, and Leaders on Product: vision, mission, personas, objectives & key results; Agile: mindset, values, servant leadership, self-organization, and practices.
You will join a team of Agile Coaches to work on Agile Transformations across the organization in standing up new scaled agile programs and the importance of product mindset. You will also work across diverse roles, lines of business, and at all levels of the organization.






Company Overview:",27d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846910ffdfb61b4dc32cec2934&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8cc8c7b1&cb=1668210040281&jobListingId=1008208545195&jrtk=3-0-1ghkh200jkf3c801-1ghkh201324hh000-afc1e99439284cf7-
"['General Mills', '4.1']",http://www.generalmills.com/,"Agile Product Coach (Minneapolis Preferred, US Remote Eligible Considered)","Minneapolis, MN",$49K - $69K (Glassdoor est.),"Job Description:
POSITION SUMMARY
The Senior Project Management Lead, is responsible for leading assigned projects/product teams to deliver high impact, high value outcomes, while staying within identified project constraints for budget, scope, and schedule.

MAIN RESPONSIBILITIES
Successfully deliver desired outcomes of assigned project(s)/product teams.
Manage team progress, timelines, budget, and ensure highest-value deliverables are being appropriately prioritized. Facilitate agile ceremonies (daily scrum, spring planning, sprint review and retrospective) and estimations.
Manage project or workstream, own schedules, outline key milestones, traffic deliverables, identify risks and solutions, and deliver specific project artifacts.",17d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846910ffdfb61b4dc32cec2934&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_10c51247&cb=1668210043535&jobListingId=1008232145062&jrtk=3-0-1ghkh200jkf3c801-1ghkh201324hh000-cea345b8bb986fb3-
"['General Mills', '4.1']",http://www.generalmills.com/,"Agile Product Coach (Minneapolis Preferred, US Remote Eligible Considered)","Minneapolis, MN",$49K - $69K (Glassdoor est.),"Job Description:
OVERVIEW
The Associate Manufacturing Platform Manager, internally called a Platform Lead, is overall accountable for the 24-hour results of one of our cereal platforms. They will be responsible for providing business leadership and direction through Zero Loss Culture on a designated site platform within the Cereal Morning Foods Operating Unit business. Owns the development of their team’s technical and leadership capability to build a high performing team. Most of the day will be spent on the floor coaching and removing barriers for their team. This leader will manage 4 salaried direct reports and indirectly ~80 wage employees across all shifts.

The General Mills Covington plant is a high-performing/flexible work system that operates 24 hours a day 7 days a week. Our team is comprised of highly skilled technicians, many of whom hold post-secondary and graduate school degrees. The Covington plant has two non-union plants on the property, Covington West and Covington East, combined there are ~ 475 employees who work here. The Covington plant is a key plant for General Mills producing a number of beloved General Mills cereals such as Cinnamon Toast Crunch, Cocoa Puffs and a variety of our Cheerios cereals.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846910ffdfb61b4dc32cec2934&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b80097a2&cb=1668210047401&jobListingId=1008105408059&jrtk=3-0-1ghkh200jkf3c801-1ghkh201324hh000-47299a4fba3cde00-
"['General Mills', '4.1']",http://www.generalmills.com/,"Agile Product Coach (Minneapolis Preferred, US Remote Eligible Considered)","Minneapolis, MN",$49K - $69K (Glassdoor est.),"Job Description:
Project Manager - Supply Chain Finance Modernization:

OVERVIEW:

About the work
This is an exciting time to work in General Mills’ Data and Analytics organization! We are accelerating a Digital Transformation of our Supply Chain to provide a competitive advantage to our business. To this end, we are looking for a D&T Project Manager with passion for DnA to join the SC MillsWorks Finance Modernization Pod. The Project Manager will deliver capabilities that are high impact, high value outcomes, while managing budget, scope, and schedule.

Responsibilities

Company Overview:",24d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846910ffdfb61b4dc32cec2934&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6304c33b&cb=1668210051131&jobListingId=1008214857474&jrtk=3-0-1ghkh200jkf3c801-1ghkh201324hh000-3e270548a42566ea-
